Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Research & Development,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2003,1089.047,,-937.704,,,151.343,,-42.506,,,108.837,-30.839,30.839,32.216,-1.377,0.0,0.0,77.998,-27.977,50.021,0.0,,,50.021,-0.284,49.737,0.0,0.0,49.737,49.737,,95.137,0.52,0.52,0.52,105.026,0.5,0.5,0.5,
06/30/2003,1226.880981,,-1047.397949,,,179.483032,,-50.737,,,128.746002,-44.936998,,33.655998,,0.0,11.281,83.809004,-30.025999,53.783001,0.0,,,53.783005,-0.404,53.379002,0.0,0.0,53.379002,53.379002,,95.642998,0.56,0.56,0.63,105.583,0.53,0.53,0.6,
09/30/2003,1264.610962,,-1060.626953,,,203.984009,,-51.612,,,152.371994,-31.593001,,32.360001,,0.0,-0.767,120.778993,-42.810001,77.969002,0.0,,,77.968992,-1.862,76.107002,0.0,0.0,76.107002,76.107002,,96.434998,0.79,0.79,0.79,106.574997,0.74,0.74,0.74,
12/31/2003,1481.055,,-1242.556,,,238.499,,-47.433,,,191.066,-36.324,34.451,34.451,,0.0,1.873,154.742,-55.36,99.382,0.0,,,99.382,-0.965,98.417,0.0,0.0,98.417,98.417,,96.8,1.02,1.02,1.03,106.9,0.94,0.94,0.95,
03/31/2004,1521.644,,-1320.324,,,201.32,,-49.718,,,151.602,-37.588,37.588,36.535,1.053,0.0,0.0,114.014,-41.391,72.623,0.0,,,72.623,-0.615,72.008,0.0,0.0,72.008,72.008,,104.562,0.69,0.69,0.69,108.069,0.67,0.67,0.67,
06/30/2004,1679.985,,-1448.701,,,231.284,,-53.166,,,178.118,-37.752,35.39,35.39,,0.0,2.362,140.366,-50.623,89.743,0.0,,,89.743,-1.672,88.071,0.0,0.0,88.071,88.071,,106.07,0.83,0.83,0.83,109.172,0.81,0.81,0.81,
09/30/2004,1784.131958,,-1529.657959,,,254.473999,,-55.113998,,,199.360001,-33.167,34.854,34.854,,0.0,-1.687,166.193001,-58.911999,107.280998,0.0,,,107.281002,-4.791,102.489998,0.0,0.0,102.489998,102.489998,,107.004997,0.96,0.96,0.96,110.010002,0.93,0.93,0.93,
12/31/2004,1911.236,,-1636.952,,,274.284,,-54.745,,,219.539,-34.562,38.569,38.569,,0.0,-4.007,184.977,-63.882,121.095,0.0,,,121.095,-1.784,119.311,0.0,0.0,119.311,119.311,,113.7,1.05,1.05,1.08,118.6,1.01,1.01,1.04,
03/31/2005,1962.542,,-1707.394,,,255.148,,-55.943,,,199.205,-35.414,38.11,38.11,,0.0,-2.696,163.791,-58.129,105.662,0.0,,,105.662,-3.215,102.447,0.0,0.0,102.447,102.447,,116.251,0.88,0.88,0.88,119.542,0.86,0.86,0.86,
06/30/2005,2075.547,,-1792.021,,,283.526,,-58.602,,,224.924,-35.654,38.502,38.502,,0.0,-2.848,189.27,-67.728,121.542,0.0,,,121.542,-2.176,119.366,0.0,0.0,119.366,119.366,,118.812,1.0,1.0,1.0,120.988,0.99,0.99,0.99,
09/30/2005,2506.372,,-2183.698,,,322.674,,-56.231,,,266.443,-59.004,59.934,59.934,,0.0,-0.93,207.439,-69.63,137.809,0.0,,,137.809,-2.554,135.255,0.0,0.0,135.255,135.255,,119.693,1.13,1.13,1.13,122.091,1.11,1.11,1.11,
12/31/2005,2900.2,,-2536.3,,,363.9,,-57.8,,,306.1,-68.554,,67.654,,0.0,0.9,237.546,-84.4,153.2,0.0,,,153.146,-1.8,151.4,0.0,0.0,151.4,151.4,,120.1,1.26,1.26,1.26,122.4,1.24,1.24,1.24,
03/31/2006,2903.8,,-2549.2,,,354.6,,-66.2,,,288.4,-66.0,71.9,71.9,,0.0,-5.9,222.4,-81.2,141.2,0.0,,,141.2,-2.3,138.9,0.0,0.0,138.9,138.9,,121.2,1.15,1.15,1.15,123.3,1.13,1.13,1.13,
06/30/2006,3083.4,,-2693.7,,,389.7,,-73.1,,,316.6,-239.1,72.9,72.9,,0.0,166.2,77.5,-25.2,52.3,0.0,,,52.3,-2.5,49.8,0.0,0.0,49.8,49.8,,122.1,0.41,0.41,1.26,124.1,0.4,0.4,1.24,
09/30/2006,3104.5,,-2694.1,,,410.4,,-77.1,,,333.3,-70.4,76.8,76.8,,0.0,-6.4,262.9,-95.6,167.3,0.0,,,167.3,-3.5,163.8,0.0,0.0,163.8,163.8,,123.8,1.32,1.32,1.32,125.3,1.31,1.31,1.31,
12/31/2006,3385.2,,-2968.3,,,416.9,,-76.1,,,340.8,-68.7,74.5,74.5,,0.0,-5.8,272.1,-96.5,175.6,0.0,,,175.6,-2.0,173.6,0.0,0.0,173.6,173.6,,125.1,1.39,1.39,1.39,126.4,1.37,1.37,1.37,
03/31/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2007,3407.5,,-2963.5,,,444.0,,-89.300003,,,354.700012,-65.399999,73.599998,73.599998,,0.0,-8.2,289.300014,-98.599998,190.699997,0.0,,,190.700015,-2.6,188.100006,0.0,0.0,188.100006,188.100006,,124.900002,1.51,1.51,1.51,126.400002,1.49,1.49,1.49,
09/30/2007,3447.7,,-2990.9,,,456.8,,-85.5,,,371.3,-65.8,74.3,74.3,,0.0,-8.5,305.5,-104.3,201.2,0.0,,,201.2,-2.7,198.5,0.0,0.0,198.5,198.5,,125.4,1.58,1.58,1.58,126.9,1.56,1.56,1.56,
12/31/2007,3805.6,,-3314.2,,,491.4,,-95.4,,,396.0,-65.9,65.9,75.1,-9.2,0.0,0.0,330.1,-121.7,208.4,0.0,,,208.4,-1.0,207.4,0.0,0.0,207.4,207.4,,124.7,1.66,1.66,1.66,126.9,1.63,1.63,1.63,
03/28/2008,3506.0,,-3048.0,,,458.0,,-90.0,,,368.0,-63.0,71.0,71.0,,,-8.0,305.0,-110.0,195.0,,,,195.0,-3.0,192.0,0.0,0.0,192.0,192.0,,122.6,1.57,1.57,1.57,124.5,1.54,1.54,1.54,
06/27/2008,3722.0,,-3124.0,,,598.0,,-97.0,,,501.0,-54.0,61.0,61.0,,0.0,-7.0,447.0,-166.0,281.0,0.0,,,281.0,-3.0,278.0,0.0,0.0,278.0,278.0,,122.0,2.28,2.28,1.7,124.0,2.24,2.24,1.67,
09/26/2008,3662.0,,-3173.0,,,489.0,,-89.0,,,400.0,-61.0,68.0,68.0,,0.0,-7.0,339.0,-125.0,214.0,0.0,,,214.0,-2.0,212.0,0.0,0.0,212.0,212.0,,121.0,1.75,1.75,1.75,122.599998,1.73,1.73,1.73,
12/31/2008,4011.0,,-3595.0,,,416.0,0.0,,,,416.0,-65.0,,71.0,,,-6.0,351.0,-101.0,250.0,-20.0,,,270.0,-3.0,267.0,0.0,0.0,267.0,267.0,,119.5,2.23,2.06,2.06,120.7,2.21,2.04,2.04,
03/27/2009,3636.0,3636.0,-3260.0,3260.0,,376.0,0.0,0.0,,0.0,376.0,-63.0,,66.0,,,-3.0,313.0,-112.0,201.0,0.0,0.0,0.0,201.0,-2.0,199.0,0.0,-2.0,197.0,197.0,0.0,118.4,1.66,1.66,1.66,118.8,1.66,1.66,1.66,
06/26/2009,3929.0,3929.0,-3512.0,3512.0,,417.0,0.0,0.0,,0.0,417.0,-63.0,,69.0,,,-6.0,354.0,-127.0,227.0,0.0,0.0,0.0,227.0,-2.0,225.0,0.0,-2.0,223.0,223.0,0.0,116.5,1.91,1.91,1.91,117.2,1.9,1.9,1.9,
09/25/2009,3842.0,3842.0,-3424.0,3424.0,,418.0,0.0,0.0,,0.0,418.0,-65.0,,68.0,,,-3.0,353.0,-100.0,253.0,0.0,0.0,0.0,253.0,-3.0,250.0,0.0,-2.0,248.0,248.0,0.0,116.4,2.13,2.13,2.13,117.0,2.12,2.12,2.12,
12/31/2009,4208.0,4208.0,-3762.0,3762.0,,446.0,0.0,0.0,,0.0,446.0,-79.0,,76.0,,,3.0,367.0,-137.0,230.0,0.0,0.0,0.0,230.0,-3.0,227.0,0.0,-2.0,225.0,231.0,6.0,115.8,1.94,1.94,1.994819,116.6,1.93,1.93,1.981458,
03/26/2010,3624.0,3624.0,-3214.0,3214.0,,410.0,0.0,0.0,,0.0,410.0,-60.0,,64.0,,,-4.0,350.0,-128.0,222.0,0.0,0.0,0.0,222.0,-1.0,221.0,0.0,-2.0,219.0,224.0,5.0,115.9,1.89,1.89,1.932701,116.9,1.87,1.87,1.912772,
06/25/2010,3966.0,3966.0,-3524.0,3524.0,,442.0,0.0,0.0,,0.0,442.0,-77.0,,72.0,,,5.0,365.0,-134.0,231.0,0.0,0.0,0.0,231.0,-3.0,228.0,0.0,-1.0,227.0,235.0,8.0,115.4,1.97,1.97,2.036395,116.5,1.95,1.95,2.01867,
09/24/2010,3835.0,3835.0,-3398.0,3398.0,,437.0,0.0,0.0,,0.0,437.0,-66.0,,64.0,,,2.0,371.0,-130.0,241.0,0.0,0.0,0.0,241.0,-3.0,238.0,0.0,-1.0,237.0,240.0,3.0,114.0,2.08,2.08,2.105263,114.7,2.07,2.07,2.096155,
12/31/2010,4255.0,4255.0,-3794.0,3794.0,,461.0,0.0,0.0,,0.0,461.0,-63.0,,69.0,,,-6.0,398.0,-126.0,272.0,0.0,0.0,0.0,272.0,-4.0,268.0,0.0,-1.0,267.0,275.45,8.45,112.0,2.38,2.38,2.459375,112.8,2.37,2.37,2.444911,
04/01/2011,3601.0,3601.0,-3211.0,3211.0,,390.0,0.0,0.0,,0.0,390.0,-79.0,,63.0,,,16.0,311.0,-104.0,207.0,0.0,0.0,0.0,207.0,-3.0,204.0,0.0,-1.0,203.0,215.0,12.0,108.5,1.87,1.87,1.981567,109.5,1.85,1.85,1.959589,
07/01/2011,3766.0,3766.0,-3362.0,3362.0,,404.0,0.0,0.0,,0.0,404.0,-51.0,,56.0,,,-5.0,353.0,-107.0,246.0,0.0,0.0,0.0,246.0,-3.0,243.0,0.0,-1.0,242.0,248.5,6.5,106.1,2.28,2.28,2.34213,107.2,2.26,2.26,2.320634,
09/30/2011,3301.0,3301.0,-2942.0,2942.0,,359.0,0.0,0.0,,0.0,359.0,-47.0,,50.0,,,-3.0,312.0,-98.0,214.0,-24.0,-24.0,0.0,238.0,-3.0,235.0,0.0,0.0,235.0,214.25,3.25,103.5,2.27,2.05,2.070048,104.8,2.24,2.02,2.051011,
12/31/2011,3543.0,3543.0,-3046.0,3027.0,,497.0,0.0,-143.0,100.0,43.0,354.0,-79.0,,52.0,,,27.0,275.0,-21.0,254.0,-23.0,-23.0,0.0,277.0,-3.0,274.0,0.0,0.0,274.0,316.9,65.9,99.7,2.75,2.52,3.178536,100.9,2.72,2.49,3.143122,
03/30/2012,3160.0,3160.0,-2765.0,2744.0,,395.0,0.0,-70.0,70.0,0.0,325.0,-42.0,,45.0,,,-3.0,283.0,-96.0,187.0,-16.0,-16.0,0.0,203.0,-2.0,201.0,0.0,0.0,201.0,189.55,4.55,99.0,2.03,1.88,1.914646,100.2,2.01,1.86,1.905409,
06/29/2012,3143.0,3143.0,-2744.0,2720.0,,399.0,0.0,-68.0,68.0,0.0,331.0,-42.0,,45.0,,,-3.0,289.0,-98.0,191.0,-17.0,-17.0,0.0,208.0,-3.0,205.0,0.0,0.0,205.0,191.25,3.25,97.2,2.11,1.934156,1.967593,98.5,2.08,1.907411,1.940406,
09/28/2012,3283.0,3283.0,-2894.0,2876.0,,389.0,0.0,-58.0,58.0,0.0,331.0,-56.0,,48.0,,,8.0,275.0,-80.0,195.0,1.0,1.0,0.0,194.0,-2.0,192.0,0.0,0.0,192.0,204.55,11.55,96.1,2.0,2.01,2.128512,97.4,1.97,1.98,2.098583,
12/31/2012,3560.0,3560.0,-3113.0,3113.0,,447.0,0.0,-83.0,83.0,0.0,364.0,-49.0,,46.0,,,3.0,315.0,-100.0,215.0,0.0,0.0,0.0,215.0,-3.0,212.0,0.0,0.0,212.0,220.3,8.3,93.0,2.28,2.28,2.368817,94.3,2.25,2.25,2.338017,
03/29/2013,3185.0,3185.0,-2800.0,2780.0,,385.0,0.0,-72.0,72.0,0.0,313.0,-40.0,,43.0,,,-3.0,273.0,-79.0,194.0,0.0,0.0,0.0,194.0,-1.0,193.0,0.0,0.0,193.0,196.25,3.25,90.3,2.14,2.14,2.173311,91.5,2.11,2.11,2.145519,
06/28/2013,3189.0,3189.0,-2827.0,2802.0,,362.0,0.0,-72.0,72.0,0.0,290.0,-37.0,,44.0,,,-7.0,253.0,-77.0,176.0,0.0,0.0,0.0,176.0,-1.0,175.0,0.0,0.0,175.0,180.85,5.85,89.9,1.95,1.95,2.01168,91.1,1.92,1.92,1.984215,
09/27/2013,3002.0,3002.0,-2626.0,2609.0,,376.0,0.0,-70.0,70.0,0.0,306.0,-40.0,,44.0,,,-4.0,266.0,-62.0,204.0,0.0,0.0,0.0,204.0,-4.0,200.0,0.0,0.0,200.0,203.25,3.25,89.6,2.23,2.23,2.268415,91.3,2.19,2.19,2.225597,
12/31/2013,3234.0,3234.0,-2832.0,2832.0,14.0,402.0,0.0,-96.0,82.0,0.0,306.0,-40.0,46.0,46.0,0.0,,-6.0,266.0,-78.0,188.0,0.0,0.0,0.0,188.0,-3.0,185.0,0.0,0.0,185.0,191.5,6.5,88.0,2.1,2.1,2.176136,90.5,2.04,2.04,2.111823,
03/28/2014,2957.0,2957.0,-2595.0,2577.0,,362.0,0.0,-76.0,76.0,0.0,286.0,-38.0,38.0,43.0,-5.0,,0.0,248.0,-76.0,172.0,0.0,0.0,0.0,172.0,-2.0,170.0,0.0,0.0,170.0,175.2,5.2,86.1,1.97,1.97,2.034843,89.4,1.9,1.9,1.958166,
06/27/2014,3019.0,3019.0,-2700.0,2683.0,,319.0,0.0,-80.0,80.0,0.0,239.0,-35.0,,39.0,,,-4.0,204.0,-63.0,141.0,0.0,0.0,0.0,141.0,-4.0,137.0,0.0,0.0,137.0,141.8,4.8,86.1,1.59,1.59,1.646922,89.3,1.53,1.53,1.583751,
09/26/2014,2940.0,2940.0,-2613.0,2599.0,,327.0,0.0,-70.0,70.0,0.0,257.0,-42.0,,47.0,,,-5.0,215.0,-58.0,157.0,0.0,0.0,0.0,157.0,-3.0,154.0,0.0,0.0,154.0,155.95,1.95,85.1,1.81,1.81,1.83255,86.6,1.78,1.78,1.802517,
12/31/2014,2961.0,2961.0,-2572.0,2572.0,25.0,389.0,0.0,-95.0,70.0,0.0,294.0,-39.0,43.0,43.0,0.0,,-4.0,255.0,-50.0,205.0,-2.0,-2.0,0.0,207.0,-4.0,203.0,0.0,0.0,203.0,204.9,3.9,84.4,2.41,2.38,2.427725,86.0,2.36,2.34,2.385349,
03/27/2015,2488.0,2488.0,-2209.0,2209.0,12.0,279.0,0.0,-92.0,58.0,22.0,187.0,-36.0,,39.0,,,-3.0,151.0,-46.0,105.0,-4.0,-4.0,0.0,109.0,-4.0,105.0,0.0,0.0,105.0,109.0,8.0,82.3,1.28,1.23,1.324423,83.8,1.25,1.2,1.295465,
06/26/2015,2543.0,2543.0,-2315.0,2315.0,13.0,228.0,0.0,-75.0,64.0,-2.0,153.0,-37.0,,42.0,,,-5.0,116.0,4.0,120.0,-4.0,-4.0,0.0,124.0,-4.0,120.0,0.0,0.0,120.0,115.6,-0.4,82.1,1.46,1.41,1.408039,83.2,1.44,1.39,1.385192,
09/25/2015,2564.0,2564.0,-2236.0,2223.0,,328.0,0.0,-97.0,53.0,44.0,231.0,-40.0,,43.0,,,-3.0,191.0,-63.0,128.0,424.0,424.0,0.0,-296.0,-3.0,-299.0,0.0,0.0,-299.0,168.6,43.6,80.0,-3.74,1.56,2.1075,81.2,-3.74,1.54,2.076946,
12/31/2015,2871.0,2871.0,-2555.0,2555.0,14.0,316.0,0.0,-412.0,47.0,351.0,-96.0,-40.0,45.0,45.0,0.0,,-5.0,-136.0,80.0,-56.0,106.0,106.0,0.0,-162.0,-4.0,-166.0,0.0,0.0,-166.0,172.65,232.65,78.5,-2.11,-0.76,2.199363,78.5,-2.11,-0.76,2.199363,
03/25/2016,2353.0,2353.0,-2049.0,2049.0,11.0,304.0,0.0,-52.0,41.0,0.0,252.0,-37.0,41.0,41.0,0.0,,-4.0,215.0,-48.0,167.0,-63.0,-63.0,0.0,230.0,-3.0,227.0,0.0,0.0,227.0,164.0,0.0,77.8,2.92,2.11,2.11,79.0,2.87,2.08,2.08,
06/24/2016,2664.0,2664.0,-2358.0,2345.0,,306.0,0.0,-59.0,59.0,0.0,247.0,-43.0,43.0,43.0,0.0,,0.0,204.0,-53.0,151.0,0.0,0.0,0.0,151.0,-4.0,147.0,0.0,0.0,147.0,152.85,5.85,77.2,1.9,1.9,1.979922,78.4,1.88,1.88,1.954617,
09/23/2016,2505.0,2505.0,-2237.0,2237.0,16.0,268.0,0.0,-53.0,37.0,0.0,215.0,-35.0,41.0,41.0,0.0,,-6.0,180.0,-29.0,151.0,0.0,0.0,0.0,151.0,-3.0,148.0,0.0,0.0,148.0,142.918,-5.082,77.3,1.91,1.91,1.848875,78.8,1.88,1.88,1.815508,
12/31/2016,2643.0,2643.0,-2302.0,2302.0,14.0,341.0,0.0,-59.0,45.0,0.0,282.0,-41.0,43.0,43.0,0.0,,-2.0,241.0,-54.0,187.0,-5.0,-5.0,0.0,192.0,-4.0,188.0,0.0,0.0,188.0,184.3,1.3,77.3,2.43,2.37,2.384217,78.9,2.38,2.32,2.336477,
03/31/2017,2321.0,2321.0,-1726.0,1726.0,,595.0,0.0,-358.0,358.0,0.0,237.0,-38.0,42.0,42.0,0.0,,-4.0,199.0,-42.0,157.0,-11.0,-11.0,0.0,168.0,-4.0,164.0,0.0,0.0,164.0,153.0,0.0,77.7,2.11,1.97,1.97,79.3,2.07,1.93,1.93,
06/30/2017,2385.0,2385.0,-1732.0,1732.0,17.0,653.0,0.0,-359.0,342.0,0.0,294.0,-40.0,42.0,42.0,0.0,,-2.0,254.0,-59.0,195.0,-12.0,-12.0,0.0,207.0,-5.0,202.0,0.0,0.0,202.0,190.0,0.0,78.0,2.59,2.44,2.44,79.5,2.54,2.39,2.39,
09/29/2017,2293.0,2293.0,-1681.0,1681.0,75.0,612.0,0.0,-380.0,305.0,0.0,232.0,-40.0,42.0,42.0,0.0,,-2.0,192.0,-46.0,146.0,121.0,121.0,0.0,25.0,-3.0,22.0,0.0,0.0,22.0,143.0,0.0,78.2,0.28,1.83,1.83,79.8,0.28,1.79,1.79,
12/31/2017,2574.0,2574.0,-1883.0,1883.0,84.0,691.0,0.0,-423.0,339.0,0.0,268.0,-42.0,43.0,43.0,0.0,,-1.0,226.0,45.0,271.0,-22.0,-22.0,0.0,293.0,-4.0,289.0,0.0,0.0,289.0,267.0,0.0,78.2,3.7,3.42,3.42,79.9,3.62,3.34,3.34,
03/30/2018,2371.0,2371.0,-1723.0,1723.0,,648.0,0.0,-397.0,397.0,0.0,251.0,-35.0,41.0,41.0,0.0,,-6.0,216.0,-24.0,192.0,-16.0,-16.0,0.0,208.0,-5.0,203.0,0.0,0.0,203.0,187.0,0.0,78.2,2.6,2.4,2.4,79.9,2.54,2.34,2.34,
06/29/2018,2583.0,2583.0,-1927.0,1927.0,86.0,656.0,0.0,-335.0,297.0,-48.0,321.0,-84.0,44.0,44.0,0.0,,40.0,237.0,-48.0,189.0,-190.0,-190.0,0.0,379.0,-4.0,375.0,0.0,0.0,375.0,185.0,0.0,78.4,4.78,2.36,2.36,79.4,4.72,2.33,2.33,
09/28/2018,2519.0,2519.0,-1842.0,1842.0,82.0,677.0,0.0,-405.0,314.0,9.0,272.0,-46.0,40.0,40.0,0.0,,6.0,226.0,-18.0,208.0,0.0,0.0,0.0,208.0,-6.0,202.0,0.0,0.0,202.0,225.7,23.7,78.5,2.57,2.57,2.875159,79.4,2.54,2.54,2.838489,
12/31/2018,2771.0,2771.0,-2045.0,2045.0,83.0,726.0,0.0,-450.0,342.0,25.0,276.0,-31.0,39.0,39.0,0.0,,-8.0,245.0,-13.0,232.0,1.0,1.0,0.0,231.0,-6.0,225.0,0.0,0.0,225.0,247.0,21.0,78.8,2.86,2.87,3.134518,79.7,2.82,2.83,3.093488,
03/29/2019,2700.0,2700.0,-2007.0,2007.0,71.0,693.0,0.0,-400.0,311.0,18.0,293.0,-33.0,37.0,37.0,0.0,,-4.0,260.0,-37.0,223.0,0.0,0.0,0.0,223.0,-6.0,217.0,0.0,0.0,217.0,231.0,14.0,79.2,2.74,2.74,2.916667,80.0,2.71,2.71,2.885,
