Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2013,1122.0,1122.0,-409.0,409.0,713.0,0.0,-152.0,152.0,0.0,561.0,-40.0,,41.0,-1.0,,0.0,0.0,521.0,-193.0,328,0.0,0.0,0.0,328.0,0.0,328,0.0,-1.0,327,250.0,-77.0,378.62,0.86,0.86,0.660293,379.42,0.86,0.86,0.657059,
06/30/2013,1288.0,1288.0,-610.0,610.0,678.0,0.0,-138.0,138.0,0.0,540.0,-41.0,,41.0,0.0,,,0.0,499.0,-186.0,313,0.0,0.0,0.0,313.0,0.0,313,0.0,0.0,313,307.0,-6.0,375.86,0.83,0.83,0.816793,376.61,0.83,0.83,0.814068,
09/30/2013,1310.0,1310.0,-641.0,641.0,669.0,0.0,-211.0,211.0,0.0,458.0,-45.0,,45.0,0.0,,,0.0,413.0,-155.0,258,0.0,0.0,0.0,258.0,0.0,258,0.0,0.0,258,310.0,52.0,371.01,0.69,0.69,0.835557,371.77,0.69,0.69,0.829871,
12/31/2013,1253.0,1253.0,-594.0,594.0,659.0,0.0,-164.0,164.0,0.0,495.0,-44.0,,45.0,-1.0,,,0.0,451.0,-170.0,281,0.0,0.0,0.0,281.0,0.0,281,0.0,0.0,281,295.0,14.0,366.53,0.77,0.77,0.804845,367.19,0.76,0.76,0.798127,
03/31/2014,1147.0,1147.0,-528.0,528.0,619.0,0.0,-147.0,147.0,0.0,472.0,-37.0,,45.0,-8.0,0.0,0.0,0.0,435.0,-164.0,271,0.0,0.0,0.0,271.0,0.0,271,0.0,0.0,271,271.0,0.0,362.12,0.75,0.75,0.75,362.71,0.74,0.74,0.74,
06/30/2014,1297.0,1297.0,-614.0,614.0,683.0,0.0,-151.0,151.0,0.0,532.0,-47.0,,45.0,2.0,,,0.0,485.0,-185.0,300,0.0,0.0,0.0,300.0,0.0,300,0.0,0.0,300,296.0,-4.0,360.31,0.83,0.83,0.831515,360.93,0.83,0.83,0.818918,
09/30/2014,1324.0,1324.0,-613.0,613.0,711.0,0.0,-194.0,194.0,0.0,517.0,-45.0,,45.0,0.0,,,0.0,472.0,-183.0,289,0.0,0.0,0.0,289.0,0.0,289,0.0,0.0,289,323.0,34.0,359.06,0.8,0.8,0.899571,359.68,0.8,0.8,0.894528,
12/31/2014,1283.0,1283.0,-556.0,556.0,727.0,0.0,-139.0,139.0,0.0,588.0,-43.0,,44.0,-1.0,0.0,0.0,0.0,545.0,-218.0,327,0.0,0.0,0.0,327.0,0.0,327,0.0,0.0,327,330.0,3.0,359.07,0.91,0.91,0.919041,359.7,0.91,0.91,0.91834,
03/31/2015,1210.0,1210.0,-544.0,544.0,666.0,0.0,-179.0,179.0,0.0,487.0,-44.0,,45.0,-1.0,0.0,0.0,0.0,443.0,-168.0,275,0.0,0.0,0.0,275.0,0.0,275,0.0,0.0,275,291.0,16.0,359.23,0.76,0.76,0.810066,359.91,0.76,0.76,0.804456,
06/30/2015,1357.714,,,,735.880988,,,,,599.5,,,,,,,,552.25,,328,,,,,,328,,,328,343.8,,,0.953,0.953,0.948,,0.953,0.953,0.948,
09/30/2015,1371.429,,,,752.914521,,,,,619.25,,,,,,,,576.75,,352,,,,,,352,,,352,360.8,,,1.003,1.003,1.001,,1.003,1.003,1.001,
