Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2003,29330,2606,120,2486,796,796.0,,516,0.0,0.0,516.0,0.0,764,,,4682,19460,29003.0,-9543.0,0.0,5188,1253.0,0.0,1253.0,,3935,24648,,967,967,,,,804,603.0,201.0,201.0,,,4788,,,4788,6559,13126,11901.0,1225.0,1225.0,,9599,,,9599,22725,29284,0.0,2787,,,-1405.0,-551.0,-785,46,0.0,46,29330,
03/31/2004,29950,3226,152,3074,965,965.0,,490,,,,,725,,,5406,19353,19353.0,,,5191,1245.0,,,,3946,24544,,1022,1022,,,,815,619.0,196.0,196.0,,,5273,,,5273,7110,13577,12403.0,1174.0,1174.0,,9398,,,9398,22975,30085,0.0,2779,,,-1395.0,-717.0,-802,-135,0.0,-135,29950,
06/30/2004,30001,3364,196,3168,919,919.0,,505,,,,,725,,,5513,19332,19332.0,,,5156,1238.0,,,,3918,24488,,1133,1133,,,,811,626.0,185.0,185.0,,,5353,,,5353,7297,13626,12491.0,1135.0,1135.0,,9200,,,9200,22826,30123,0.0,2727,,,-1336.0,-711.0,-802,-122,0.0,-122,30001,
09/30/2004,29261,3135,117,3018,903,903.0,,519,,,,,743,,,5300,19254,19254.0,,,4707,1231.0,,,,3476,23961,,1043,1043,,,,795,647.0,148.0,148.0,,,5286,,,5286,7124,13588,12488.0,1100.0,1100.0,,8863,,,8863,22451,29575,0.0,2718,,,-1325.0,-925.0,-782,-314,0.0,-314,29261,
12/31/2004,28773,2929,120,2809,836,836.0,,488,0.0,0.0,488.0,0.0,718,,,4971,19137,29708.0,-10571.0,0.0,4665,1223.0,0.0,1223.0,,3442,23802,,1003,1003,,,,806,659.0,147.0,147.0,,,5209,,,5209,7018,13524,12436.0,1088.0,1088.0,,8812,,,8812,22336,29354,0.0,2703,,,-1308.0,-1312.0,-664,-581,0.0,-581,28773,
03/31/2005,29167,3060,148,2912,1033,1033.0,,489,0.0,0.0,489.0,0.0,838,,,5420,19116,20119.8,-1003.8,0.0,4631,1216.0,0.0,1216.0,,3415,23747,,1131,1131,,,,879,709.0,170.0,170.0,,,5721,,,5721,7731,13375,12366.0,1009.0,1009.0,,8758,,,8758,22133,29864,0.0,2691,,,-1295.0,-1474.0,-619,-697,0.0,-697,29167,
06/30/2005,29494,3399,166,3233,1052,1052.0,,488,0.0,0.0,488.0,0.0,850,,,5789,19096,30096.0,-11000.0,0.0,4609,1209.0,0.0,1209.0,,3400,23705,,1202,1202,,,,910,738.0,172.0,172.0,,,5907,,,5907,8019,13322,12357.0,965.0,965.0,,8768,,,8768,22090,30109,0.0,2562,,,-1154.0,-1416.0,-607,-615,0.0,-615,29494,
09/30/2005,29436,3412,127,3285,1111,1111.0,,540,0.0,0.0,540.0,0.0,924,,,5987,18911,29111.0,-10200.0,0.0,4538,1202.0,0.0,1202.0,,3336,23449,,1101,1101,,,,960,790.0,170.0,170.0,,,5808,,,5808,7869,13231,12292.0,939.0,939.0,,9065,,,9065,22296,30165,0.0,2496,,,-1081.0,-1569.0,-575,-729,0.0,-729,29436,
12/31/2005,29495,3814,138,3676,991,991.0,,515,0.0,0.0,515.0,0.0,844,,,6164,17527,27925.0,-10398.0,0.0,5804,365.0,0.0,365.0,,5439,23331,,1078,1078,,,,1239,1077.0,162.0,162.0,,,5955,,,5955,8272,13456,12530.0,926.0,926.0,,9197,,,9197,22653,30925,0.0,2453,,,-779.0,-2125.0,-979,-1430,0.0,-1430,29495,
03/31/2006,29918,4268,144,4124,1073,1073.0,,494,0.0,0.0,494.0,0.0,985,,,6820,17396,27896.0,-10500.0,0.0,5702,1188.0,0.0,1188.0,,4514,23098,,1160,1160,,,,1185,1049.0,136.0,136.0,,,6399,,,6399,8744,13165,12292.0,873.0,873.0,,9281,,,9281,22446,31190,0.0,2335,,,-384.0,-2265.0,-958,-1272,0.0,-1272,29918,
06/30/2006,30752,5153,167,4986,1121,1121.0,,510,,,,,1056,,,7840,18218,29018.0,-10800.0,,4694,,,,,4694,22912,,1263,1263,,,,1152,1042.0,110.0,110.0,,,6817,,,6817,9232,12968,12106.0,862.0,862.0,,9060,,,9060,22028,31260,,2780,,,-367.0,-1974.0,-947,-508,,-508,30752,
09/30/2006,30128,5054,114,4940,1160,1160.0,,506,0.0,0.0,506.0,0.0,753,,,7473,17152,28152.0,-11000.0,0.0,5503,1174.0,0.0,1174.0,,4329,22655,,1087,1087,,,,1506,1400.0,106.0,106.0,,,6082,,,6082,8675,12407,11571.0,836.0,836.0,,9560,,,9560,21967,30642,0.0,2805,,,-367.0,-1959.0,-993,-514,0.0,-514,30128,
12/31/2006,29145,4715,121,4594,988,988.0,,506,0.0,0.0,506.0,0.0,693,,,6902,17076,28188.0,-11112.0,0.0,5167,338.0,0.0,338.0,,4829,22243,,1073,1073,,,,1349,1246.0,103.0,103.0,,,6083,,,6083,8505,12041,11217.0,824.0,824.0,,9205,,,9205,21246,29751,0.0,2946,,,-367.0,-1894.0,-1291,-606,0.0,-606,29145,
03/31/2007,29884,5383,145,5238,1124,1124.0,,503,0.0,0.0,503.0,0.0,823,,,7833,16983,28283.0,-11300.0,,5068,1160.0,0.0,1160.0,,3908,22051,,1212,1212,,,,1289,1165.0,124.0,124.0,,,6457,,,6457,8958,11471,10720.0,751.0,751.0,,9229,,,9229,20700,29658,,3624,,,-366.0,-1813.0,-1219,226,,226,29884,
06/30/2007,30410,5900,215,5685,1219,1219.0,,532,,,,,937,,,8588,17700,,,,4122,,,,,4122,21822,,1359,1359,,,,1318,1195.0,123.0,123.0,,,6716,,,6716,9393,11242,10511.0,731.0,731.0,,9165,,,9165,20407,29800,,3692,,,-367.0,-1496.0,-1219,610,,610,30410,
09/30/2007,29599,5390,161,5229,1166,1166.0,,556,,,,,950,,,8062,17553,30553.0,-13000.0,,3984,,,,,3984,21537,,1269,1269,,,,1463,1325.0,138.0,138.0,,,6504,,,6504,9236,10528,9830.0,698.0,698.0,,9007,,,9007,19535,28771,,3726,,,-367.0,-1321.0,-1210,828,,828,29599,
12/31/2007,28571,4535,148,4387,1027,1027.0,,601,,,,,1066,,,7229,16631,28485.0,-11854.0,,4711,,,,,4711,21342,,1182,1182,,,,1049,902.0,147.0,147.0,,,6252,,,6252,8483,10093,9413.0,680.0,680.0,,7338,,,7338,17431,25914,,3744,,,-367.0,-1390.0,670,2657,,2657,28571,
03/31/2008,28766,4519,203,4316,1109,1109.0,,637,,,,,1248,,,7513,17345,17345.0,,,3908,,,,,3908,21253,,1318,1318,,,,1558,1412.0,146.0,146.0,,,6696,,,6696,9572,9375,8745.0,630.0,630.0,,7330,,,7330,16705,26277,,3751,,,-367.0,-1718.0,823,2489,,2489,28766,
06/30/2008,28925,5069,287,4782,1166,1166.0,,702,,,,,2135,,,9072,15982,25882.0,-9900.0,,3871,,,,,3871,19853,,1389,1389,,,,1558,1425.0,133.0,133.0,,,7693,,,7693,10640,9331,8708.0,623.0,623.0,,7294,,,7294,16625,27265,,3748,,,-367.0,-3166.0,1445,1660,,1660,28925,
09/30/2008,26950,4621,273,4348,1104,1104.0,,670,,,,,1112,,,7507,15928,26028.0,-10100.0,,3515,1116.0,,,,2399,19443,,1164,1164,,,,1590,1469.0,121.0,121.0,,,6730,,,6730,9484,9536,8946.0,590.0,590.0,,6996,,,6996,16532,26016,,4054,,,-367.0,-3121.0,368,934,,934,26950,
12/31/2008,25175,3107,191,2916,811,811.0,,525,,,525.0,,1492,,,5935,15735,26180.0,-10445.0,,3505,281.0,,,,3224,19240,,952,952,,,,1952,1845.0,107.0,107.0,,,6466,,,6466,9370,9005,8423.0,582.0,582.0,,9735,,,9735,18740,28110,,4277,,,-367.0,-3668.0,-3177,-2935,,-2935,25175,
03/31/2009,24518,2864,187,2677,785,785.0,,494,,,,,1219,,717.0,5362,15574,25674.0,-10100.0,,3582,,,,,3582,19156,,2981,1005,,,1976.0,1469,0.0,98.0,98.0,,1371.0,4458,,,0,8908,8842,8314.0,528.0,528.0,,9877,,6739.0,3138,18719,27627,,4289,285.0,4004.0,-367.0,-4043.0,-2988,-3109,,-3109,24518,
06/30/2009,24138,2808,191,2617,780,780.0,,535,,,,,1017,,872.0,5140,15572,25772.0,-10200.0,,3426,,,,,3426,18998,,3061,1143,,,1918.0,1228,0.0,104.0,104.0,,1124.0,3981,,,0,8270,8864,8292.0,572.0,572.0,,10004,,6881.0,3123,18868,27138,,4299,286.0,4013.0,-367.0,-4433.0,-2499,-3000,,-3000,24138,
09/30/2009,25754,4112,171,3941,814,814.0,,546,,,,,981,,792.0,6453,15596,25796.0,-10200.0,,3705,,,,,3705,19301,,3040,1081,,,1959.0,1132,0.0,91.0,91.0,,1041.0,3729,,,0,7901,10461,9872.0,589.0,589.0,,10251,,7005.0,3246,20712,28613,,4696,335.0,4361.0,-367.0,-4792.0,-2396,-2859,,-2859,25754,
12/31/2009,25438,4399,153,4246,768,768.0,,557,,,,,918,,769.0,6642,15476,26310.0,-10834.0,,3320,0.0,0.0,0.0,,3320,18796,,3103,1064,,,2039.0,1114,0.0,90.0,90.0,,1024.0,3511,272.0,,0,7728,10583,9984.0,599.0,599.0,,10616,,7397.0,2947,21199,28927,,4738,339.0,4399.0,-367.0,-5136.0,-2724,-3489,,-3489,25438,
03/31/2010,25525,4546,189,4357,842,842.0,,552,,,,,894,,745.0,6834,15393,25893.0,-10500.0,,3298,,,,,3298,18691,,3150,1140,,,2010.0,1140,0.0,85.0,85.0,,1055.0,3951,,,0,8241,10420,9861.0,559.0,559.0,,10756,,7531.0,3225,21176,29417,,4751,339.0,4412.0,-367.0,-5641.0,-2635,-3892,,-3892,25525,
06/30/2010,25885,5084,197,4887,910,910.0,,569,,,,,781,,726.0,7344,15267,25867.0,-10600.0,,3274,,,,,3274,18541,,3308,1305,,,2003.0,1829,0.0,102.0,102.0,,1727.0,4222,,,0,9359,9668,9142.0,526.0,526.0,,10788,,7598.0,3190,20456,29815,0.0,4763,339.0,4424.0,-367.0,-5652.0,-2674,-3930,,-3930,25885,
09/30/2010,25357,4557,202,4355,889,889.0,,575,,,,,816,,684.0,6837,15296,26096.0,-10800.0,,3224,,,,,3224,18520,,3262,1220,,,2042.0,1776,0.0,107.0,107.0,,1669.0,3901,,,0,8939,9513,9010.0,503.0,503.0,,10548,,7409.0,3139,20061,29000,0.0,4773,339.0,4434.0,-367.0,-5509.0,-2540,-3643,,-3643,25357,
12/31/2010,25088,4496,168,4328,738,738.0,,594,,,,,1010,,741.0,6838,15082,26717.0,-11635.0,,3168,0.0,0.0,0.0,,3168,18250,,3241,1156,,,2085.0,1883,0.0,107.0,107.0,,1776.0,3656,270.0,,0,8780,9253,8756.0,497.0,497.0,,11000,,7877.0,2853,20253,29033,,4784,339.0,4445.0,-367.0,-5607.0,-2755,-3945,,-3945,25088,
03/31/2011,27113,5799,286,5513,922,922.0,,595,,,,,1509,,816.0,8825,15116,26316.0,-11200.0,,3172,,,,,3172,18288,,3601,1267,,,2334.0,1962,0.0,100.0,100.0,,1862.0,4290,,,0,9853,10156,9568.0,588.0,588.0,,11053,,7926.0,3127,21209,31062,,4794,339.0,4455.0,-367.0,-6043.0,-2333,-3949,,-3949,27113,
06/30/2011,25787,5176,318,4858,945,945.0,,641,,,,,1235,,871.0,7997,15155,26455.0,-11300.0,,2635,,,,,2635,17790,,3300,1291,,,2009.0,1830,0.0,89.0,89.0,,1741.0,4636,,,0,9766,10052,9428.0,624.0,624.0,,10478,,7969.0,2509,20530,30296,,4800,341.0,4459.0,-367.0,-6329.0,-2613,-4509,,-4509,25787,
09/30/2011,24719,4296,304,3992,925,925.0,,631,,,,,986,,849.0,6838,15142,26642.0,-11500.0,,2739,,,,,2739,17881,,3047,1150,,,1897.0,1453,0.0,79.0,79.0,,1374.0,4423,,,0,8923,10167,9552.0,615.0,615.0,,10462,,7875.0,2587,20629,29552,,4808,341.0,4467.0,-367.0,-6491.0,-2783,-4833,,-4833,24719,
12/31/2011,23848,4001,283,3718,902,902.0,,617,,,,,1237,,1140.0,6757,14306,24854.0,-10548.0,,2785,186.0,0.0,186.0,,2599,17091,,2887,1007,,,1880.0,1518,0.0,,,,1518.0,4225,110.0,,0,8630,6702,6702.0,0.0,0.0,,15627,0.0,9204.0,6313,22329,30959,,4806,341.0,4465.0,-367.0,-7586.0,-3964,-7111,,-7111,23848,
03/31/2012,24511,4819,375,4444,1056,1056.0,,619,,,,,1284,,1160.0,7778,13918,24218.0,-10300.0,,2815,,,,,2815,16733,,3036,1336,,,1700.0,1659,0.0,66.0,66.0,,1593.0,4848,,,0,9543,6891,6575.0,316.0,316.0,,16763,,77.0,16686,23654,33197,,4811,341.0,4470.0,-367.0,-9246.0,-3884,-8686,,-8686,24511,
06/30/2012,24726,4980,371,4609,1129,1129.0,,593,,,,,1282,,1258.0,7984,13784,24084.0,-10300.0,,2958,,,,,2958,16742,,3244,1362,,,1882.0,1654,0.0,56.0,56.0,,1598.0,5168,,,0,10066,6716,6323.0,393.0,393.0,,16912,,77.0,16835,23628,33694,,4816,341.0,4475.0,-367.0,-9487.0,-3930,-8968,,-8968,24726,
09/30/2012,23927,4226,508,3718,1160,1160.0,,596,,,,,1321,,1223.0,7303,13620,24318.0,-10698.0,,3004,,,,,3004,16624,,3312,1283,,,2029.0,1544,0.0,36.0,36.0,,1508.0,4730,,,0,9586,6489,6097.0,392.0,392.0,,15227,,76.0,15151,21716,31302,,4818,341.0,4477.0,-367.0,-9725.0,-2101,-7375,,-7375,23927,
12/31/2012,23510,3892,480,3412,1124,1124.0,0.0,580,,,,,1476,0.0,1411.0,7072,13402,24233.0,-10831.0,0.0,3036,161.0,0.0,161.0,,2875,16438,,3361,1244,0.0,0.0,2117.0,1419,0.0,31.0,31.0,,1388.0,4524,,0.0,0,9304,7116,6735.0,381.0,381.0,,15077,0.0,6780.0,8297,22193,31497,0.0,4822,341.0,4481.0,-367.0,-9462.0,-2980,-7987,0.0,-7987,23510,
03/31/2013,23852,4244,606,3638,1243,1243.0,0.0,595,,,,,1443,,1377.0,7525,13305,24105.0,-10800.0,0.0,3022,,,,,3022,16327,,3524,1440,,,2084.0,1286,0.0,30.0,30.0,,1256.0,5180,,,0,9990,7021,6646.0,375.0,375.0,,15217,,6730.0,8487,22238,32228,0.0,4824,341.0,4483.0,-367.0,-9803.0,-3030,-8376,0.0,-8376,23852,
06/30/2013,26216,6210,604,5606,1376,1376.0,,589,,,,,1460,,1439.0,9635,13550,24550.0,-11000.0,0.0,3031,,,,,3031,16581,,3661,1507,,,2154.0,1327,0.0,29.0,29.0,,1298.0,5681,,,0,10669,8354,7987.0,367.0,367.0,,15409,,6702.0,8707,23763,34432,0.0,4825,341.0,4484.0,-367.0,-9584.0,-3090,-8216,0.0,-8216,26216,
09/30/2013,26780,6763,717,6046,1340,1340.0,0.0,681,,,,,1457,,1399.0,10241,13472,24272.0,-10800.0,0.0,3067,,,,,3067,16539,,3446,1307,,,2139.0,1359,0.0,24.0,24.0,,1335.0,5293,,,0,10098,9208,8863.0,345.0,345.0,,15396,,6641.0,8755,24604,34702,0.0,4830,342.0,4488.0,-367.0,-9295.0,-3090,-7922,0.0,-7922,26780,
12/31/2013,42278,9251,1140,8111,1560,1560.0,0.0,1012,,,,,2500,,2500.0,14323,19259,30392.0,-11133.0,0.0,8696,6397.0,4086.0,2311.0,,2299,27955,,4975,1368,0.0,0.0,3607.0,1446,0.0,,,,1446.0,7385,,,0,13806,21281,21281.0,,,,9922,0.0,5828.0,4094,31203,45009,0.0,10597,5.0,10592.0,0.0,-11296.0,-2032,-2731,0.0,-2731,42278,
