Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1995,24.622,,,-17.233,,,7.389,,-1.774,,,,5.615,0.198,,0.01,,0.0,-0.208,5.813,-2.044,,,,3.769,0.0,,,3.769,0.0,3.769,0.0,,3.769,3.769,,73.195999,0.0525,0.0525,,73.195999,0.0525,0.0525,0.0525,
12/31/1995,26.136,,,-17.599001,,,8.536999,,-1.471,,,,7.066,0.1,,0.068,,0.0,-0.168,7.166,-2.491,,,,4.675,0.0,,,4.675,0.0,4.675,0.0,,4.675,4.675,,73.484,0.0625,0.0625,0.0625,73.484,0.0625,0.0625,0.0625,
03/31/1996,32.962002,,,-18.066999,,,14.895002,,-2.772,,,,12.123,0.08,,0.074,,0.0,-0.154,12.203,-4.274,,,,7.929,0.0,,,7.929,0.0,7.929,0.0,,7.929,7.929,,73.568001,0.1075,0.1075,0.1075,73.568001,0.1075,0.1075,0.1075,
06/30/1996,33.013,,,-18.677,,,14.336,,-2.174,,,,12.162,0.059,,0.07,,0.0,-0.129,12.221,-4.272,,,,7.949,0.0,,,7.949,0.0,7.949,0.0,,7.949,7.949,,74.648003,0.1075,0.1075,0.1075,74.648003,0.1075,0.1075,0.1075,
09/30/1996,35.799,,,-20.885,,,14.914,,-1.836,,,,13.078,0.252,,0.053,,0.0,-0.305,13.33,-4.657,,,,8.673,0.0,,,8.673,0.0,8.673,0.0,,8.673,8.673,,75.099998,0.115,0.115,0.115,75.099998,0.115,0.115,0.115,
12/31/1996,47.481998,,,-23.343,,,24.138998,,-2.713,,,,21.426001,0.106,,0.223,,0.0,-0.329,21.532001,-7.589,,,,13.943,0.0,,,13.943001,0.0,13.943,0.0,,13.943,13.943,,37.694,0.37,0.37,0.37,37.694,0.37,0.37,0.37,
03/31/1997,46.926998,,,-25.337,,,21.589998,,-3.383,,,,18.207001,0.048,,0.325,,0.0,-0.373,18.255001,-6.368,,,,11.887,0.0,,,11.887001,0.0,11.887,0.0,,11.887,11.887,,70.5,0.17,0.17,0.17,75.517998,0.155,0.155,0.155,
06/30/1997,42.345001,,,-27.240999,,,15.104002,,-2.852,,,,12.252,-0.297,,0.532,,0.0,-0.235,11.955,-4.182,,,,7.773,0.0,,,7.773,0.0,7.773,0.0,,7.773,7.773,,71.010002,0.11,0.11,0.11,75.613998,0.105,0.105,0.105,
09/30/1997,49.862999,,,-32.618999,,,17.243999,,-3.021,,,,14.223,-0.766,,0.926,,0.0,-0.16,13.457,-4.742,,,,8.715,0.0,,,8.714999,0.0,8.715,0.0,,8.715,8.715,,71.517998,0.12,0.12,0.12,76.426003,0.115,0.115,0.115,
12/31/1997,60.264,,,-33.111,,,27.153,,-3.014,,,,24.139,-5.385,,1.485,,0.0,3.9,18.754,-6.526,,,,12.228,0.0,,,12.228,0.0,12.228,0.0,,12.228,12.228,,71.928002,0.17,0.17,0.245,76.424004,0.16,0.16,0.235,
03/31/1998,49.981998,,,-34.84,,,15.141998,,-3.446,,,,11.696,-1.328,,1.653,,0.0,-0.325,10.368,-3.656,,,,6.712,0.0,,,6.712,0.0,6.712,0.0,,6.712,6.712,,72.101997,0.095,0.095,0.095,76.568001,0.09,0.09,0.09,
06/30/1998,49.902,,,-8.584,,,41.318,0.0,-33.533,,,,7.785,-1.937,2.224,2.511,-0.287,,-0.287,5.848,-2.076,,,,3.772,,,,3.772,,3.772,0.0,0.0,3.772,3.772,,72.35,0.05,0.05,0.05,76.696,0.05,0.05,0.05,
09/30/1998,45.296,,,-38.058,,,7.238,0.0,-2.861,,,,4.377,-2.998,3.188,3.378,-0.19,,-0.19,1.379,-0.529,,,,0.85,,,,0.85,,0.85,0.0,0.0,0.85,0.85,,73.442,0.01,0.01,0.01,77.552,0.01,0.01,0.01,
12/31/1998,50.505001,,,-46.632999,,,3.872002,,-2.607,,,,1.265,-107.235999,,2.443,,0.0,104.792999,-105.970999,36.938,,,,-69.032997,0.0,,,-69.033,0.0,-69.032997,0.0,,-69.032997,-69.032997,,80.601562,-0.855,-0.855,-0.01,80.601997,-0.855,-0.855,-0.01,
03/31/1999,52.914,,,-46.085,,,6.829,,-3.593,,,,3.236,-3.377,3.525,3.525,,0.0,-0.148,-0.141,-0.029,,,,-0.17,0.0,,,-0.17,0.0,-0.17,0.0,,-0.17,-0.17,,81.024,0.0,0.0,0.0,81.024,0.0,0.0,0.0,
06/30/1999,60.072,,,-46.532,,,13.54,,-3.654,,,,9.886,-2.984,3.124,3.124,,0.0,-0.14,6.902,-2.527,,,,4.375,0.0,,,4.375,0.0,4.375,0.0,,4.375,4.375,,82.156,0.055,0.055,0.055,84.442,0.05,0.05,0.05,
09/30/1999,78.648,,,-51.361,,,27.287,,-4.588,,,,22.699,-3.416,2.675,2.675,,0.0,0.741,19.283,-6.87793,,,,12.405,0.0,,,12.40507,0.0,12.405,0.0,,12.405,12.405,,83.034,0.15,0.15,0.15,85.18,0.144997,0.145,0.145,
12/31/1999,90.242,,,-56.351,,,33.891,,-4.569,,,,29.322,-3.351,0.963,1.864,-0.901,0.0,2.388,25.971,-9.377,,,,16.594,0.0,,,16.594,0.0,16.594,0.0,,16.594,16.594,,83.308,0.2,0.2,0.2,85.172,0.195,0.195,0.195,
03/31/2000,95.039,,,-57.756,,,37.283,,-6.935,,,,30.348,-4.081,2.26,2.26,,0.0,1.821,26.267,-9.144,,,,17.123,0.0,,,17.123,0.0,17.123,0.0,,17.123,17.123,,83.764,0.205,0.205,0.205,85.682,0.2,0.2,0.2,
06/30/2000,118.878,,,-62.711,,,56.167,,-7.163,,,,49.004,-4.842,2.506,2.913,-0.407,0.0,2.336,44.162,-14.601,,,,29.561,0.0,,,29.561,0.0,29.561,0.0,,29.561,29.561,,84.804,0.35,0.35,0.35,94.644,0.33,0.33,0.33,
09/30/2000,151.263,,,-71.78,,,79.483,,-9.306,,,,70.177,-4.197,1.861,1.861,,0.0,2.336,65.98,-21.642,,,,44.338,0.0,,,44.338,0.0,44.338,0.0,,44.338,44.338,,84.986,0.52,0.52,0.52,94.732,0.485,0.485,0.485,
12/31/2000,163.685,,,-78.452,,,85.233,,-9.183,,,,76.05,-3.42,1.084,1.706,-0.622,0.0,2.336,72.63,-26.072,,,,46.558,0.0,,,46.558,0.0,46.558,0.0,0.0,46.558,46.558,,85.132,0.545,0.545,0.545,94.9,0.505,0.505,0.505,
03/31/2001,209.326,,,-90.35,,,118.976,,-11.285,,,,107.691,-8.933,5.039,5.652,-0.613,0.0,3.894,98.758,-35.613,,,,63.145,4.794,,,58.351,0.0,58.351,0.0,0.0,58.351,58.351,,88.25,0.66,0.715,0.725,97.764,0.61,0.66,0.67,
06/30/2001,200.747,,,-101.353,,,99.394,,-11.939,,,,87.455,0.095,3.817,3.817,,0.0,-3.912,87.55,-30.813,,,,56.737,0.0,,,56.737,0.0,56.737,0.0,0.0,56.737,56.737,,89.302,0.635,0.635,0.595,98.628,0.59,0.59,0.55,
09/30/2001,183.259,,,-109.14,,,74.119,,-12.135,,,,61.984,4.538,4.543,4.543,,0.0,-9.081,66.522,-23.546,,,,42.976,0.0,,,42.976,0.0,42.976,0.0,0.0,42.976,42.976,,88.438,0.485,0.485,0.4,97.596,0.455,0.455,0.38,
12/31/2001,156.073,,,-107.738,,,48.335,,-8.596,,,,39.739,-101.209,2.421,4.956,-2.535,0.0,98.788,-61.47,22.36,,,,-39.11,0.0,,,-39.11,0.0,-39.11,0.0,0.0,-39.11,-39.11,61.9,88.036,-0.445,-0.445,0.25,88.036,-0.445,-0.445,0.25,
03/31/2002,148.039,,,-95.591,,,52.448,,-15.755,,,,36.693,-11.236,5.071,5.071,,0.0,6.165,25.457,-9.131,,,,16.326,0.0,,,16.326,0.0,16.326,0.0,0.0,16.326,16.326,,88.424,0.185,0.185,0.185,97.49,0.185,0.185,0.185,
06/30/2002,161.611,,,-105.049,,,56.562,,-16.824,,,,39.738,-14.467,5.004,5.004,,0.0,9.463,25.271,-9.001,,,,16.27,0.0,,,16.27,0.0,16.27,0.0,0.0,16.27,16.27,,88.752,0.185,0.185,0.185,97.856,0.18,0.18,0.18,
09/30/2002,141.978,,,-91.949,,,50.029,,-17.125,,,,32.904,-20.92,4.769,4.769,,0.0,16.151,11.984,-4.344,,,,7.64,-1.731,,,9.371,0.0,9.371,0.0,0.0,9.371,9.371,,88.84,0.105,0.085,0.188078,89.81,0.105,0.085,0.186046,
12/31/2002,199.49,,,-115.113,,,84.377,,-21.413,,,,62.964,-17.206,10.872,10.872,,0.0,6.334,45.758,-13.878,,,,31.88,0.0,,,31.88,0.0,31.88,0.0,0.0,31.88,31.88,2.447,94.454,0.34,0.34,0.36,103.426,0.325,0.325,0.345,
03/31/2003,279.284,,,-130.519,,,148.765,,-30.156,,,,118.609,-27.647,12.867,12.867,,0.0,14.78,90.962,-32.396,,,,58.566,-5.575,,,64.141,0.0,64.141,0.0,0.0,64.141,64.141,6.5,103.772,0.62,0.565,0.625,112.416,0.585,0.535,0.595,
06/30/2003,255.552,,,-135.43,,,120.122,,-15.19,,,,104.932,-25.443,11.083,11.083,,0.0,14.36,79.489,-26.434,,,,53.055,7.24,,,45.815,0.0,45.815,0.0,0.0,45.815,45.815,6.8,106.936,0.43,0.5,0.5595,115.402,0.41,0.475,0.5185,
09/30/2003,248.664,,,-133.604,,,115.06,,-21.303,,,,93.757,-5.334,9.347,9.347,,0.0,-4.013,88.423,-30.072,,,,58.351,8.972,,,49.379,0.0,49.379,0.0,0.0,49.379,49.379,,111.774,0.44,0.52,0.52,112.694,0.44,0.52,0.52,
12/31/2003,244.879,,,-136.09,,,108.789,,-22.206,,,,86.583,-14.97,8.563,8.563,,0.0,6.407,71.613,-31.459,,,,40.154,0.0,,,40.154,0.0,40.154,0.0,0.0,40.154,40.154,,112.138,0.36,0.36,0.36,113.286,0.355,0.355,0.355,
03/31/2004,305.355,,,-145.569,,,159.786,,-18.56,,,,141.226,-20.178,8.597,8.597,,0.0,11.581,121.048,-43.14,,,,77.908,0.0,,,77.908,0.0,77.908,0.0,0.0,77.908,77.908,,111.842,0.695,0.695,0.695,113.266,0.69,0.69,0.69,
06/30/2004,282.737,,,-145.173,,,137.564,,-19.061,,,,118.503,-12.801,7.547,7.547,,0.0,5.254,105.702,-38.288,,,,67.414,0.0,,,67.414,0.0,67.414,0.0,0.0,67.414,67.414,,112.228,0.6,0.6,0.6,114.058,0.59,0.59,0.59,
09/30/2004,327.725,,,-172.707,,,155.018,,-21.838,,,,133.18,-12.545,8.528,8.528,,0.0,4.017,120.635,-44.103,,,,76.532,0.0,,,76.532,0.0,76.532,0.0,0.0,76.532,76.532,,118.58,0.645,0.645,0.685,120.634,0.635,0.635,0.675,
12/31/2004,436.883,,,-202.251,,,234.632,,-24.541,,,,210.091,-58.576,,7.228,,0.0,51.348,151.515,-61.269,,,,90.246,0.0,,,90.246,0.0,90.246,0.0,0.0,90.246,90.246,,123.8,0.735,0.735,1.0,126.0,0.715,0.715,0.98,
03/31/2005,410.8,,,-149.2,,,261.6,0.0,-66.0,,,,195.6,-113.2,,6.6,,,106.6,82.4,-22.4,,,,60.0,,,,60.0,,60.0,0.0,0.0,60.0,60.0,77.63,124.4,0.48,0.48,0.48,126.6,0.475,0.475,0.475,
06/30/2005,445.0,,,-202.0,,,243.0,,-28.0,,,,215.0,-52.0,8.0,8.0,,0.0,44.0,163.0,-59.0,,,,104.0,0.0,,,104.0,0.0,104.0,0.0,0.0,104.0,104.0,,125.0,0.83,0.83,1.06,128.0,0.82,0.82,1.05,
09/30/2005,426.0,,,-200.0,,,226.0,,-18.0,,,,208.0,-208.0,6.0,6.0,,0.0,202.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,126.0,0.0,0.0,1.02,126.0,0.0,0.0,1.02,
12/31/2005,442.8,,,-196.1,,,246.7,,-37.9,,,,208.8,88.4,12.2,6.1,,0.0,-100.6,297.2,-113.2,,,,184.0,0.0,,,184.0,0.0,184.0,0.0,0.0,184.0,184.0,,126.0,1.46,1.46,0.79,129.0,1.43,1.43,0.77,
03/31/2006,429.0,,,-199.0,,,230.0,,-30.0,,,,200.0,33.0,6.0,6.0,,0.0,-39.0,233.0,-84.0,,,,149.0,0.0,,,149.0,0.0,149.0,0.0,0.0,149.0,149.0,,126.0,1.18,1.18,1.14,128.0,1.17,1.17,1.13,
06/30/2006,426.0,,,-226.0,,,200.0,,-53.0,,,,147.0,0.0,14.0,14.0,,0.0,-14.0,147.0,-53.0,,,,94.0,0.0,,,94.0,0.0,94.0,0.0,0.0,94.0,94.0,,127.0,0.74,0.74,0.81,129.0,0.73,0.73,0.79,
09/30/2006,463.0,,,-207.0,,,256.0,,-28.0,,,,228.0,193.0,12.0,12.0,,0.0,-205.0,421.0,-155.0,,,,266.0,0.0,,,266.0,0.0,266.0,0.0,0.0,266.0,266.0,,126.0,2.1,2.1,0.9,129.0,2.06,2.06,0.89,
12/31/2006,489.0,,,-330.0,,,159.0,,-32.0,,,,127.0,21.0,11.0,11.0,,0.0,-32.0,148.0,-66.0,,,,82.0,0.0,,,82.0,0.0,82.0,0.0,0.0,82.0,82.0,30.0,127.0,0.65,0.65,0.89,130.0,0.64,0.64,0.88,
03/31/2007,528.0,,,-310.0,,,218.0,,-39.0,,,,179.0,-304.0,12.0,12.0,,0.0,292.0,-125.0,29.0,,,,-96.0,0.0,,,-96.0,0.0,-96.0,0.0,0.0,-96.0,-96.0,215.0,127.0,-0.75,-0.75,0.94,127.0,-0.75,-0.75,0.94,
06/30/2007,526.0,,,-311.0,,,215.0,,-32.0,,,,183.0,61.0,17.0,17.0,,0.0,-78.0,244.0,-92.0,,,,152.0,2.0,,,150.0,0.0,150.0,0.0,0.0,150.0,150.0,,127.0,1.17,1.2,0.92,130.0,1.15,1.17,0.89,
09/30/2007,480.0,,,-251.0,,,229.0,,-37.0,,,,192.0,-38.0,16.0,16.0,,0.0,22.0,154.0,-62.0,,,,92.0,9.0,,,83.0,0.0,83.0,0.0,0.0,83.0,83.0,,128.0,0.65,0.72,0.82,131.0,0.64,0.7,0.8,
12/31/2007,404.0,,,-227.0,,,177.0,,-47.0,,,,130.0,-157.0,10.0,10.0,,0.0,147.0,-27.0,2.0,,,,-25.0,-338.0,,,313.0,0.0,313.0,0.0,0.0,313.0,313.0,,128.0,2.43,-0.2,0.65,131.0,2.38,-0.2,0.64,
03/31/2008,475.0,,,-267.0,,,208.0,,-32.0,,,,176.0,-284.0,6.0,6.0,,0.0,278.0,-108.0,44.0,,,,-64.0,0.0,,,-64.0,0.0,-64.0,0.0,0.0,-64.0,-64.0,,129.0,-0.5,-0.5,0.88,129.0,-0.5,-0.5,0.88,
06/30/2008,547.0,,,-276.0,,,271.0,,-37.0,,,,234.0,-523.0,15.0,15.0,,0.0,508.0,-289.0,45.0,,,,-244.0,0.0,,,-244.0,0.0,-244.0,0.0,0.0,-244.0,-244.0,,129.0,-1.89,-1.89,1.09,129.0,-1.89,-1.89,1.09,
09/30/2008,560.0,,,-299.0,,,261.0,,-36.0,,,,225.0,834.0,20.0,20.0,,0.0,-854.0,1059.0,-335.0,,,,724.0,0.0,,,724.0,0.0,724.0,0.0,0.0,724.0,724.0,-589.0,129.0,5.59,5.59,1.02,132.0,5.48,5.48,1.02,
12/31/2008,338.0,,,-196.0,,,142.0,0.0,-40.0,,,,102.0,-1251.0,,12.0,,0.0,1239.0,-1149.0,409.0,,,,-740.0,0.0,,,-740.0,0.0,-740.0,0.0,0.0,-740.0,-740.0,815.0,130.0,-6.09,-6.09,0.18,130.0,-6.09,-6.09,0.18,
03/31/2009,467.0,262.0,205.0,-239.0,80.0,159.0,228.0,0.0,-1378.0,32.0,32.0,1346.0,-1150.0,58.0,,18.0,,,-76.0,-1092.0,398.0,5.0,-403.0,,-694.0,0.0,0.0,0.0,-694.0,0.0,-694.0,0.0,0.0,-694.0,111.0,805.0,130.0,-5.338462,-5.338462,0.853846,130.0,-5.338462,-5.338462,0.853846,
06/30/2009,528.0,287.0,241.0,-209.0,72.0,137.0,319.0,0.0,-39.0,34.0,34.0,5.0,280.0,-340.0,,20.0,,,320.0,-60.0,21.0,-4.0,-17.0,,-39.0,0.0,0.0,0.0,-39.0,0.0,-39.0,0.0,0.0,-39.0,169.0,208.0,130.0,-0.3,-0.3,1.3,130.0,-0.3,-0.3,1.3,
09/30/2009,610.0,375.0,235.0,-222.0,78.0,144.0,388.0,0.0,-41.0,40.0,40.0,1.0,347.0,-262.0,,18.0,,,244.0,85.0,-7.0,35.0,-28.0,,78.0,0.0,0.0,0.0,78.0,0.0,78.0,0.0,0.0,78.0,209.0,131.0,130.0,0.6,0.6,1.607692,132.0,0.590909,0.590909,1.583333,
12/31/2009,589.0,414.0,175.0,-239.0,92.0,147.0,350.0,0.0,-38.0,38.0,38.0,0.0,312.0,-130.0,,19.0,,,111.0,182.0,-69.0,,,,113.0,0.0,0.0,0.0,113.0,0.0,113.0,0.0,0.0,113.0,186.0,73.0,130.0,0.869231,0.869231,1.430769,133.0,0.849624,0.849624,1.398496,
03/31/2010,552.0,458.0,94.0,-239.0,92.0,147.0,313.0,0.0,-44.0,36.0,36.0,8.0,269.0,119.0,,26.0,,,-145.0,388.0,-144.0,13.0,131.0,,244.0,0.0,0.0,0.0,244.0,0.0,244.0,0.0,0.0,244.0,157.35,-86.65,130.0,1.876923,1.876923,1.210385,133.0,1.834586,1.834586,1.183083,
06/30/2010,565.0,448.0,117.0,-275.0,115.0,160.0,290.0,0.0,-43.0,41.0,41.0,2.0,247.0,-95.0,,23.0,,,72.0,152.0,-56.0,14.0,42.0,,96.0,0.0,0.0,0.0,96.0,0.0,96.0,0.0,0.0,96.0,141.74,45.74,132.0,0.727273,0.727273,1.073788,134.0,0.716418,0.716418,1.057761,
09/30/2010,560.0,449.0,111.0,-263.0,107.0,156.0,297.0,0.0,-40.0,40.0,40.0,0.0,257.0,-3.0,,24.0,,,-21.0,254.0,-93.0,7.0,86.0,,161.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,0.0,161.0,147.74,-13.26,132.0,1.219697,1.219697,1.119242,134.0,1.201493,1.201493,1.102537,
12/31/2010,632.0,528.0,104.0,-319.0,138.0,181.0,313.0,0.0,-46.0,39.0,39.0,7.0,267.0,-232.0,,25.0,,,207.0,35.0,-13.0,,,,22.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,22.0,156.52,134.52,133.0,0.165414,0.165414,1.176842,134.0,0.164179,0.164179,1.16806,
03/31/2011,600.0,545.0,55.0,-330.0,164.0,166.0,270.0,0.0,-37.0,37.0,37.0,0.0,233.0,-260.0,,22.0,,,238.0,-27.0,10.0,23.0,-33.0,,-17.0,0.0,0.0,0.0,-17.0,0.0,-17.0,0.0,0.0,-17.0,132.35,149.35,133.0,-0.12782,-0.12782,0.995113,133.0,-0.12782,-0.12782,0.995113,
06/30/2011,661.0,621.0,40.0,-377.0,204.0,173.0,284.0,0.0,-44.0,44.0,44.0,0.0,240.0,107.0,,22.0,,,-129.0,347.0,-128.0,7.0,121.0,,219.0,0.0,0.0,0.0,219.0,,219.0,0.0,0.0,219.0,137.87,-81.13,134.0,1.634328,1.634328,1.028881,135.0,1.622222,1.622222,1.021259,
09/30/2011,689.0,628.0,61.0,-399.0,210.0,189.0,290.0,0.0,-51.0,51.0,51.0,0.0,239.0,185.0,,19.0,,,-204.0,424.0,-155.0,9.0,146.0,,269.0,0.0,0.0,0.0,269.0,,269.0,0.0,0.0,269.0,139.805,-129.195,134.0,2.007463,2.007463,1.043321,135.0,1.992593,1.992593,1.035593,
12/31/2011,716.0,677.0,39.0,-444.0,205.0,239.0,272.0,0.0,-53.0,53.0,53.0,0.0,219.0,-123.0,,30.0,,,93.0,96.0,-28.0,,,,68.0,0.0,0.0,0.0,68.0,0.0,68.0,0.0,0.0,68.0,126.675,58.675,134.0,0.507463,0.507463,0.945336,135.0,0.503704,0.503704,0.938333,
03/31/2012,712.0,678.0,34.0,-436.0,210.0,226.0,276.0,0.0,-45.0,45.0,45.0,0.0,231.0,-44.0,,33.0,,,11.0,187.0,-71.0,48.0,23.0,,116.0,0.0,0.0,0.0,116.0,0.0,116.0,0.0,0.0,116.0,121.35,5.35,134.0,0.865672,0.865672,0.905597,135.0,0.859259,0.859259,0.898889,
06/30/2012,402.0,350.0,52.0,-290.0,118.0,172.0,112.0,0.0,-59.0,59.0,59.0,0.0,53.0,48.0,,31.0,,,-79.0,101.0,-37.0,,37.0,,64.0,-71.0,-71.0,0.0,135.0,0.0,135.0,0.0,0.0,135.0,10.805,-53.195,134.0,1.007463,0.477612,0.080634,135.0,1.0,0.474074,0.080037,
09/30/2012,652.0,615.0,37.0,-444.0,207.0,237.0,208.0,0.0,-65.0,59.0,59.0,6.0,143.0,-187.0,,36.0,,,151.0,-44.0,11.0,38.0,-49.0,,-33.0,0.0,0.0,0.0,-33.0,0.0,-33.0,0.0,0.0,-33.0,64.35,97.35,135.0,-0.244444,-0.244444,0.476667,135.0,-0.244444,-0.244444,0.476667,
12/31/2012,364.0,352.0,12.0,-288.0,115.0,173.0,76.0,0.0,-1547.0,50.0,50.0,1497.0,-1471.0,23.0,,37.0,,,-60.0,-1448.0,525.0,,,,-923.0,479.0,479.0,0.0,-1402.0,0.0,-1402.0,0.0,0.0,-1402.0,17.095,940.095,135.0,-10.385185,-6.837037,0.12663,135.0,-10.385185,-6.837037,0.12663,
03/31/2013,397.0,370.0,27.0,-247.0,100.0,147.0,150.0,0.0,-45.0,45.0,45.0,0.0,105.0,-146.0,,37.0,,,109.0,-41.0,16.0,,-16.0,,-25.0,-17.0,-17.0,0.0,-8.0,0.0,-8.0,0.0,0.0,-8.0,43.35,68.35,135.0,-0.06,-0.19,0.321111,135.0,-0.06,-0.19,0.316296,
06/30/2013,443.0,435.0,8.0,-292.0,128.0,164.0,151.0,0.0,-54.0,54.0,54.0,0.0,97.0,74.0,,37.0,,,-111.0,171.0,-65.0,,65.0,,106.0,-5.0,-5.0,0.0,111.0,,111.0,0.0,0.0,111.0,44.545,-61.455,135.0,0.822222,0.785185,0.329963,136.0,0.816176,0.779412,0.327537,
09/30/2013,493.0,486.0,7.0,-294.0,123.0,171.0,199.0,0.0,-61.0,61.0,61.0,0.0,138.0,-144.0,,39.0,,,105.0,-6.0,2.0,-4.0,2.0,,-4.0,-31.0,-31.0,0.0,27.0,0.0,27.0,0.0,-20.0,7.0,43.35,67.35,136.0,0.05,-0.18,0.31875,136.0,0.05,-0.18,0.315221,
12/31/2013,528.0,510.0,18.0,-323.0,135.0,188.0,205.0,0.0,-61.0,59.0,59.0,2.0,144.0,-92.0,,40.0,,,52.0,52.0,-68.0,,,0.0,-16.0,-33.0,-33.0,0.0,17.0,0.0,17.0,0.0,0.0,17.0,14.805,30.805,136.0,0.13,-0.12,0.10886,137.0,0.13,-0.12,0.104854,
03/31/2014,514.0,553.0,-39.0,-324.0,136.0,188.0,190.0,0.0,-56.0,56.0,56.0,0.0,134.0,-93.0,,38.0,,,55.0,41.0,-17.0,,17.0,,24.0,-260.0,-260.0,0.0,284.0,0.0,284.0,0.0,0.0,284.0,60.0,36.0,136.0,2.08,0.17,0.441176,137.0,2.07,0.17,0.432774,
