Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1999,23527,1991,1991,0.0,3896,,,,3436,1027.0,973.0,1589.0,0.0,1099,,,,,10422,5630,12703.0,-7073.0,782,,6693,4660.0,4282.0,378.0,,2033,13105,,2129,2129,,,,2609,,,,,,3534,,,3534,8272,2457,,,,,4199,,,,4199,6656,14928,0.0,3276,,,-4254.0,,9577.0,8599,,8599,23527,
03/31/2000,24837,1000,1000,,3926,,,,3744,1095.0,952.0,1853.0,-156.0,1080,,,,,9750,5637,,,1050,,8400,1600.0,1600.0,0.0,,6800,15087,,2173,2173,,,,2848,,,,,,3293,,,3293,8314,3477,,,,,4101,,,,4101,7578,15892,,3305,,,-4258.0,10289.0,-391.0,8945,,8945,24837,
06/30/2000,24936,959,959,0.0,4039,,,,3744,1094.0,978.0,1826.0,-154.0,1109,,,,,9851,5502,12710.0,-7208.0,1061,,8522,6232.0,1600.0,4632.0,,2290,15085,,2256,2256,,,,2600,,,,,,3139,,,3139,7995,3444,,,,,4045,,,,4045,7489,15484,0.0,3444,,,-4237.0,10757.0,-512.0,9452,,9452,24936,
09/30/2000,25917,2065,2065,0.0,4162,,,,3848,1244.0,910.0,1854.0,-160.0,1111,,,,,11186,5194,12321.0,-7127.0,999,,8538,6120.0,,,,2418,14731,,2243,2243,,,,2839,,,,,,3187,,,3187,8269,4155,,,,,4157,,,,4157,8312,16581,0.0,3481,,,-4382.0,10889.0,-652.0,9336,,9336,25917,
12/31/2000,25175,1196,1196,0.0,4623,,,,3734,1262.0,809.0,1797.0,0.0,1108,,,,,10661,5230,12460.0,-7230.0,748,,8536,5898.0,5600.0,298.0,,2638,14514,,2364,2364,,,,1682,,,,,,3168,,,3168,7214,3941,,,,,4313,,,,4313,8254,15468,0.0,3740,,,-4296.0,,10263.0,9707,,9707,25175,
03/31/2001,24788,1074,1074,0.0,4153,,,,3830,1218.0,906.0,1888.0,0.0,1234,,,,,10291,5128,,,653,,8716,5921.0,,,,2795,14497,,2189,2189,,,,1741,,,,,,3148,,,3148,7078,3906,,,,,4212,,,,4212,8118,15196,0.0,3810,,,-4291.0,10880.0,-807.0,9592,,9592,24788,
06/30/2001,24935,1230,1230,0.0,4122,,,,3740,1174.0,915.0,1827.0,0.0,1224,,,,,10316,5111,,,606,,8902,5874.0,,,,3028,14619,,2130,2130,,,,1937,,,,,,3579,,,3579,7646,3503,,,,,4266,,,,4266,7769,15415,0.0,3888,,,-4281.0,10779.0,-866.0,9520,,9520,24935,
09/30/2001,25332,1324,1324,0.0,3981,,,,3812,1227.0,951.0,1796.0,0.0,1352,,,,,10469,5157,,,617,,9089,5831.0,,,,3258,14863,,2106,2106,,,,1964,,,,,,4174,,,4174,8244,3519,,,,,4317,,,,4317,7836,16080,0.0,3927,,,-4267.0,10318.0,-726.0,9252,,9252,25332,
12/31/2001,24226,1393,1393,0.0,3440,,,,3355,1024.0,869.0,1603.0,0.0,1706,,,,,9894,4933,11681.0,-6748.0,466,,8933,6356.0,5441.0,915.0,,2577,14332,,1862,1862,,,,539,,,,,,3819,,,3819,6220,4731,,,,,4105,,,,4105,8836,15056,0.0,3973,,,-4252.0,10284.0,-835.0,9170,,9170,24226,
03/31/2002,24193,1592,1592,0.0,3430,,,,3351,1207.0,835.0,1457.0,0.0,1364,,,,,9737,4812,,,680,,8964,6362.0,5439.0,923.0,,2602,14456,,1801,1801,,,,593,,,,,,3609,,,3609,6003,4653,,,,,4054,,,,4054,8707,14710,0.0,4035,,,-4232.0,10507.0,-827.0,9483,,9483,24193,
06/30/2002,24785,1976,1976,0.0,3594,,,,3215,1055.0,806.0,1498.0,-144.0,1462,,,,,10247,4769,,,698,,9071,6394.0,5453.0,941.0,,2677,14538,,1818,1818,,,,397,,,,,,3768,,,3768,5983,4707,,,,,4024,,,,4024,8731,14714,0.0,4088,,,-4222.0,,10205.0,10071,,10071,24785,
09/30/2002,24547,2002,2002,0.0,3476,,,,3132,971.0,911.0,1404.0,-154.0,1366,,,,,9976,4689,,,610,,9272,6400.0,5453.0,947.0,,2872,14571,,1786,1786,,,,180,,,,,,3400,,,3400,5366,4708,,,,,4101,,,,4101,8809,14175,0.0,4126,,,-4210.0,,10456.0,10372,,10372,24547,
12/31/2002,27565,2021,2021,0.0,3264,3264.0,,,2953,936.0,804.0,1361.0,-148.0,1962,,,,,10200,4055,11157.0,-7102.0,624,,12686,6772.0,5698.0,1074.0,,5914,17365,,1912,1912,,,,370,,,,,,4403,,,4403,6685,4719,,,,,7236,,,,7236,11955,18640,0.0,4367,,,-3783.0,9450.0,-1109.0,8925,,8925,27565,
03/31/2003,27961,2290,2290,0.0,3297,,,,3049,939.0,844.0,1401.0,-135.0,2184,,,,,10820,4080,,,626,,12435,6832.0,5752.0,1080.0,,5603,17141,,2023,2023,,,,483,,,,,,4383,,,4383,6889,4721,,,,,7127,,,,7127,11848,18737,0.0,4385,,,-3716.0,9543.0,-988.0,9224,,9224,27961,
06/30/2003,28533,2626,2626,0.0,3353,,,,3055,1050.0,840.0,1301.0,-136.0,2082,,,,,11116,4222,,,649,,12546,6804.0,5717.0,1087.0,,5742,17417,,2093,2093,,,,388,,,,,,4168,,,4168,6649,5042,,,,,7103,,,,7103,12145,18794,0.0,4401,,,-3674.0,9701.0,-689.0,9739,,9739,28533,
09/30/2003,28385,2870,2870,0.0,3354,2930.0,,,2930,1000.0,832.0,1235.0,-137.0,2069,,,,,11223,4168,,,643,,12351,6813.0,5712.0,1101.0,,5538,17162,,2032,2032,,,,201,,,,,,4361,,,4361,6594,5006,,,,,6901,,,,6901,11907,18501,0.0,4417,,,-3636.0,9884.0,-781.0,9884,,9884,28385,
12/31/2003,29344,2950,2950,0.0,3643,3643.0,,,2939,972.0,802.0,1311.0,-146.0,1991,,,,,11523,4295,11745.0,-7450.0,569,,12957,6887.0,5789.0,1098.0,,6070,17821,,2240,2240,,,,199,,,,,,4344,,,4344,6783,4961,,,,,6871,,,,6871,11832,18615,0.0,4444,,,-3655.0,10129.0,-189.0,10729,,10729,29344,
03/31/2004,29666,3200,3200,0.0,3888,,,,3090,968.0,807.0,1462.0,-147.0,1865,,,,,12043,4248,,,412,,12963,6998.0,5895.0,1103.0,,5965,17623,,2314,2314,,,,563,,,,,,4344,,,4344,7221,4954,,,,,6734,,,,6734,11688,18909,0.0,4476,,,-3807.0,10263.0,-175.0,10757,,10757,29666,
06/30/2004,29551,3232,3232,0.0,3905,3905.0,,,3003,996.0,747.0,1404.0,-144.0,1877,,,,,12017,4185,,,414,,12935,6947.0,5837.0,1110.0,,5988,17534,,2273,2273,,,,285,,,,,,4495,,,4495,7053,4825,,,,,6787,,,,6787,11612,18665,0.0,4505,,,-3827.0,10463.0,-255.0,10886,,10886,29551,
09/30/2004,29988,3433,3433,0.0,4074,4074.0,,,3074,1123.0,788.0,1302.0,-139.0,1774,,,,,12355,4186,,,414,,13033,7039.0,5909.0,1130.0,,5994,17633,,2346,2346,,,,198,,,,,,4686,,,4686,7230,4839,,,,,6714,,,,6714,11553,18783,0.0,4526,,,-3828.0,10674.0,-167.0,11205,,11205,29988,
12/31/2004,31062,3586,3586,0.0,4243,4243.0,,,3160,1153.0,779.0,1382.0,-154.0,1831,,,,,12820,4331,11662.0,-7331.0,542,,13369,7426.0,6013.0,1413.0,,5943,18242,,2564,2564,,,,1204,,,,,,4971,,,4971,8739,4069,,,,,7002,,,,7002,11071,19810,0.0,4532,,,-4185.0,10767.0,138.0,11252,,11252,31062,
03/31/2005,34660,4096,4096,0.0,4424,,,,3391,1381.0,777.0,1384.0,-151.0,3002,,,,,14913,4386,,,482,,14879,8817.0,7575.0,1242.0,,6062,19747,,2644,2644,,,,2027,2027.0,0.0,0.0,,,6880,,,6880,11551,4042,4042.0,0.0,0.0,,7636,,,,7636,11678,23229,0.0,4542,,,-4097.0,10950.0,36.0,11431,0.0,11431,34660,
06/30/2005,32568,1929,1929,0.0,4559,,,,3376,1400.0,736.0,1389.0,-149.0,3006,,,,,12870,4353,,,468,,14877,8913.0,7343.0,1570.0,,5964,19698,,2657,2657,,,,1624,,,,,,5391,,,5391,9672,4091,,,,,7287,,,,7287,11378,21050,0.0,4554,,,-4036.0,11080.0,-80.0,11518,0.0,11518,32568,
09/30/2005,32206,1452,1452,0.0,4772,,,,3398,1462.0,735.0,1350.0,-149.0,2947,,,,,12569,4335,,,406,,14896,9008.0,7422.0,1586.0,,5888,19637,,2627,2627,,,,1438,1438.0,0.0,0.0,,,5641,,,5641,9706,3972,3972.0,0.0,0.0,,7153,,,,7153,11125,20831,0.0,4571,,,-4537.0,11374.0,-33.0,11375,0.0,11375,32206,
12/31/2005,31633,1234,1234,0.0,5017,,,,3401,1438.0,695.0,1427.0,-159.0,2310,,,,,11962,4658,12286.0,-7628.0,370,,14643,8833.0,7660.0,1173.0,,5810,19671,,2886,2886,,,,2024,2024.0,0.0,0.0,,,5520,,,5520,10430,3082,3082.0,0.0,0.0,,7359,,,,7359,10441,20871,0.0,4584,,,-5027.0,11230.0,-25.0,10762,0.0,10762,31633,
03/31/2006,32206,1442,1442,0.0,5175,,,,3630,1747.0,817.0,1233.0,-167.0,1931,,,,,12178,4633,,,348,,15047,9424.0,8123.0,1301.0,,5623,20028,,3056,3056,,,,1340,1340.0,0.0,0.0,,,5509,,,5509,9905,3964,3964.0,0.0,0.0,,7424,,,,7424,11388,21293,0.0,4658,,,-5163.0,11477.0,-59.0,10913,0.0,10913,32206,
06/30/2006,32504,1424,1424,0.0,5426,,,,3680,1812.0,796.0,1238.0,-166.0,1683,,,,,12213,4679,,,311,,15301,9506.0,8277.0,1229.0,,5795,20291,,3086,3086,,,,1810,1810.0,0.0,0.0,,,5313,,,5313,10209,3911,3911.0,0.0,0.0,,7406,,,,7406,11317,21526,0.0,4670,,,-5544.0,11811.0,41.0,10978,0.0,10978,32504,
09/30/2006,32704,1415,1415,0.0,5723,,,,3734,1765.0,919.0,1217.0,-167.0,1663,,,,,12535,4713,,,351,,15105,9648.0,8335.0,1313.0,,5457,20169,,3222,3222,,,,1501,1501.0,0.0,0.0,,,5363,,,5363,10086,3909,3909.0,0.0,0.0,,7388,,,,7388,11297,21383,0.0,4683,,,-5635.0,12168.0,105.0,11321,0.0,11321,32704,
12/31/2006,30941,1224,1224,0.0,5740,,,,3588,1625.0,808.0,1342.0,-187.0,1752,,,,,12304,4797,12799.0,-8002.0,382,,13458,9650.0,8403.0,1247.0,,3808,18637,,3518,3518,,,,1154,1154.0,0.0,0.0,,,5463,,,5463,10135,3909,3909.0,0.0,0.0,,7177,,,,7177,11086,21221,0.0,4803,,,-6339.0,12563.0,-1307.0,9720,0.0,9720,30941,
03/31/2007,31213,1378,1378,0.0,5873,,,,3749,1623.0,838.0,1460.0,-172.0,1696,,,,,12696,4710,,,405,,13402,9623.0,8400.0,1223.0,,3779,18517,,3582,3582,,,,1289,1289.0,0.0,0.0,,,5503,,,5503,10374,4704,4704.0,0.0,0.0,,6972,,,,6972,11676,22050,0.0,4838,,,-7350.0,12924.0,-1249.0,9163,0.0,9163,31213,
06/30/2007,31771,1633,1633,0.0,6118,,,,3807,1681.0,777.0,1519.0,-170.0,1551,,,,,13109,4692,,,505,,13465,9670.0,8457.0,1213.0,,3795,18662,,3661,3661,,,,3066,3066.0,0.0,0.0,,,5642,,,5642,12369,4485,4485.0,0.0,0.0,,7117,,,,7117,11602,23971,0.0,4921,,,-9295.0,13341.0,-1167.0,7800,0.0,7800,31771,
09/30/2007,32902,1787,1787,0.0,6461,,,,3919,1779.0,869.0,1437.0,-166.0,1489,,,,,13656,4770,,,526,,13950,10120.0,8784.0,1336.0,,3830,19246,,3812,3812,,,,2462,2462.0,0.0,0.0,,,5818,,,5818,12092,5391,5391.0,0.0,0.0,,7164,,,,7164,12555,24647,0.0,4949,,,-9431.0,13771.0,-1034.0,8255,0.0,8255,32902,
12/31/2007,33805,1829,1829,0.0,6387,,,,3861,1692.0,870.0,1501.0,-202.0,1608,,,,,13685,4985,13362.0,-8377.0,500,,14635,10673.0,9175.0,1498.0,,3962,20120,,3962,3962,,,,2238,2238.0,0.0,0.0,,,5741,,,5741,11941,5419,5419.0,0.0,0.0,,7223,,,,7223,12642,24583,0.0,4972,,,-9479.0,14273.0,-544.0,9222,0.0,9222,33805,
03/31/2008,34944,2234,2234,0.0,6604,,,,4149,1800.0,890.0,1623.0,-164.0,1756,,,,,14743,5012,,,522,,14667,10743.0,9251.0,1492.0,,3924,20201,,4097,4097,,,,1476,1476.0,0.0,0.0,,,5759,,,5759,11332,6576,6576.0,0.0,0.0,,7400,,,,7400,13976,25308,0.0,5017,,,-9807.0,14711.0,-285.0,9636,0.0,9636,34944,
