Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1994,158.201004,,-110.439003,,47.762001,,-31.436001,,,,,,16.326,-0.258,,8.918,,0.0,,-8.66,16.068,2.264,18.332001,0.0,,,18.332,-1.548,16.784,-3.954,,12.83,12.83,,86.199997,0.15,0.15,0.15,86.199997,0.15,0.15,0.15,
03/31/1995,134.459,,-107.903999,,26.555,,-20.354,,,,,,6.201,12.67,,8.716,,0.0,,-21.386,18.871,-1.873,16.997999,0.0,,,16.998,-1.405,15.593,-3.953,,11.64,11.64,,86.149002,0.14,0.14,,86.149002,0.14,0.14,0.14,
06/30/1995,145.061005,,-113.459999,,31.601006,,-25.488001,,,,,,6.113,102.303997,,8.73,,0.0,,-111.033997,108.416997,-32.960999,75.456001,0.0,,,75.455998,-7.696,67.760002,-3.953,,63.807002,63.807002,,86.347,0.74,0.74,,86.347,0.74,0.74,0.74,
09/30/1995,172.330002,,-120.241997,,52.088005,,-29.037001,,,,,,23.051001,5.402,,8.691,,0.0,,-14.093,28.453001,-0.594,27.858999,0.0,,,27.859001,-2.567,25.292,-3.953,,21.339,21.339,,86.481003,0.25,0.25,,86.481003,0.25,0.25,0.25,
12/31/1995,184.369003,,-135.845993,,48.52301,,-28.365,,,,,,20.158001,-34.035,,10.278,,0.0,,23.757,-13.876999,18.436001,4.559,0.0,,,4.559002,-0.57,3.989,0.0,,3.989,3.989,,89.300003,0.05,0.05,0.05,89.300003,0.05,0.05,0.05,
03/31/1996,236.623993,,-188.216003,,48.40799,,-33.734001,,,,,,14.674,2.360001,,13.348,,0.0,,-15.708,17.034,-0.673,16.361,0.0,,,16.361,-1.024,15.337,0.0,,15.337,15.337,,154.600006,0.1,0.1,0.1,155.983002,0.1,0.1,0.1,
06/30/1996,261.424011,,-205.684998,,55.739014,,-35.654999,,,,,,20.084,2.888,,12.998,,0.0,,-15.886,22.971999,2.734,25.705999,0.0,,,25.705999,-1.607,24.099001,0.0,,24.099001,24.099001,,156.0,0.15,0.15,0.15,156.832001,0.15,0.15,0.15,
09/30/1996,302.164001,,-228.298004,,73.865997,,-40.567001,,,,,,33.299,1.351,,15.934,,0.0,,-17.285,34.65,5.476,40.125999,0.0,,,40.126,-2.509,37.617001,0.0,,37.617001,37.617001,,156.0,0.24,0.24,0.24,156.322998,0.24,0.24,0.24,
12/31/1996,305.45401,,-234.186996,,71.267014,,-48.577999,,,,,,22.688999,-8.109001,,16.339001,,0.0,,-8.23,14.579998,8.412,22.992001,0.0,,,22.991998,-1.444,21.548,0.0,,21.548,21.548,,156.0,0.14,0.14,0.14,156.322998,0.14,0.14,0.14,
03/31/1997,355.054993,,-244.494995,,110.559998,,-38.717999,,,,,,71.842003,11.518,,19.289,,0.0,,-30.806999,83.360003,-13.421,69.939003,0.0,,,69.939003,-18.690001,51.249001,0.0,,51.249001,51.249001,,156.072998,0.33,0.33,0.24,156.167999,0.33,0.33,0.24,
06/30/1997,421.76001,,-277.881012,,143.878998,,-44.035999,,,,,,99.843002,-180.855995,,19.652,,0.0,,161.203995,-81.012993,28.809,-52.203999,0.0,,,-52.203993,-12.44,-64.643997,0.0,,-64.643997,-64.643997,,156.119003,-0.41,-0.41,0.29,156.119003,-0.41,-0.41,0.29,
09/30/1997,383.832001,,-251.645996,,132.186005,,-36.111,,,,,,96.074997,-14.409999,,19.028999,,0.0,,-4.619,81.664998,-16.290001,65.375,0.0,,,65.374997,-22.233,43.141998,0.0,,43.141998,43.141998,,156.309006,0.28,0.28,0.28,156.453995,0.28,0.28,0.28,
12/31/1997,412.109985,,-291.787994,,120.321991,,-45.935001,,,,,,74.387001,-26.484,,19.097,,0.0,,7.387,47.903001,8.802,56.705002,0.0,,,56.705001,-18.075001,38.630001,0.0,,38.630001,38.630001,,156.5,0.25,0.25,0.27,156.5,0.25,0.25,0.27,
03/31/1998,378.066986,,-281.906006,,96.16098,,-30.601999,,,,,,65.558998,-13.586,,21.0,,0.0,,-7.414,51.972998,-7.444,44.528999,32.924,,,11.604999,-14.255,-2.65,0.0,,-2.65,-2.65,,156.479996,-0.02,0.19,0.2,156.477005,-0.02,0.19,0.2,
06/30/1998,373.962006,,-279.186005,,94.776001,,-29.146999,,,,,,65.628998,-22.123999,,19.643999,,0.0,,2.48,43.504999,-6.173,37.332001,0.0,,,37.331999,-12.728,24.604,0.0,,24.604,24.604,,156.511002,0.16,0.16,0.16,156.511002,0.16,0.16,0.16,
09/30/1998,349.917999,,-279.40799,,70.51001,,-30.632999,,,,,,39.876999,-17.308,,19.448,,0.0,,-2.14,22.568999,3.288,25.857,0.0,,,25.856999,-19.764,6.093,0.0,,6.093,6.093,,156.518005,0.04,0.04,0.04,156.518005,0.04,0.04,0.04,
12/31/1998,351.899994,,-273.399994,,78.5,,-27.700001,,,,,,50.799999,-639.900013,,18.700001,,0.0,,621.200012,-589.100014,191.199997,-397.899994,0.0,,,-397.900017,-23.5,-421.399994,0.0,,-421.399994,-421.399994,,166.531006,-2.53,-2.53,0.03,166.531006,-2.53,-2.53,0.03,
03/31/1999,327.140991,,-255.139999,,72.000992,,-24.091,,,,,,47.91,-20.177999,,18.372999,,0.0,,1.805,27.732001,-5.621,22.111,0.0,,,22.111001,-12.167,9.944,0.0,,9.944,9.944,,167.296997,0.06,0.06,0.08,167.302994,0.06,0.06,0.08,
06/30/1999,315.755005,,-259.256989,,56.498016,,-27.084,,,,,,29.414,-7.298,,17.104,,0.0,,-9.806,22.115999,-2.093,20.023001,0.0,,,20.022999,-12.955,7.068,0.0,,7.068,7.068,,167.417007,0.04,0.04,0.02,167.647995,0.04,0.04,0.02,
09/30/1999,327.963989,,-267.269989,,60.694,,-26.872,,,,,,33.821999,-61.522,,14.662,,0.0,,46.860001,-27.700002,7.816,-19.884001,0.0,,,-19.884002,-19.150999,-39.035,0.0,,-39.035,-39.035,,167.522995,-0.23,-0.23,-0.01,167.522995,-0.23,-0.23,-0.01,
12/31/1999,428.066986,,-289.914001,,138.152985,,-32.160999,,,,,,105.991997,-16.477,,12.415,,0.0,,4.062,89.514997,-14.502,75.013,0.0,,,75.012997,-28.197001,46.816002,0.0,,46.816002,46.816002,,167.600006,0.28,0.28,0.3,167.600006,0.28,0.28,0.3,
03/31/2000,453.089996,,-347.388,,105.701996,,-32.462002,,,,,,73.239998,-29.362,,24.732,,-0.5,,5.13,43.877998,-11.062,32.816002,12.572,,,20.243998,-24.839001,-4.595,-1.869,0.0,-6.464,-6.464,,191.897003,-0.03,0.03,0.03,191.897003,-0.03,0.03,0.03,
06/30/2000,411.22699,,-324.319,,86.90799,,-36.519001,,,,,,50.389,-46.681,,23.347,,4.9,,18.434,3.708,-5.272,-1.564,0.0,,,-1.564,-22.398001,-23.962,-1.868,0.0,-25.83,-25.83,,192.014008,-0.13,-0.13,-0.07,192.014008,-0.13,-0.13,-0.07,
09/30/2000,419.394989,,-345.523987,,73.871002,,-39.292,,,,,,34.578999,-60.294999,,22.983999,,2.7,,34.611,-25.716,10.552,-15.164,0.0,,,-15.164,-19.496,-34.66,-1.87,0.0,-36.53,-36.53,,192.190994,-0.19,-0.19,-0.12,192.190994,-0.19,-0.19,-0.12,
12/31/2000,472.799988,,-361.600006,,111.199982,,-29.5,,,,,,81.699997,-26.899999,,19.799999,,,,7.1,54.799998,-9.5,45.299999,0.0,,,45.299998,-25.6,19.700001,,,19.700001,19.700001,,168.699997,0.12,0.12,0.21,168.699997,0.12,0.12,0.21,
03/31/2001,424.097,,-343.036,,81.061,,-31.226,,,,,,49.835,-69.719,19.655,20.272,-0.617,1.017,,49.047,-19.884,-2.546,-22.43,,,,-22.43,-14.816,-37.246,-1.869,,-39.115,-39.115,,192.607,-0.2,-0.2,0.0,192.607,-0.2,-0.2,0.0,
06/30/2001,367.403015,,-326.005005,,41.39801,,-30.268999,,,,,,11.129,-29.593999,,23.559999,,-0.23,,6.264,-18.464999,-1.364,-19.829,0.0,,,-19.828999,-10.943,-30.771999,-1.868,0.0,-32.639999,-32.639999,,195.636993,-0.17,-0.17,-0.17,195.854004,-0.17,-0.17,-0.17,
09/30/2001,424.665,,-347.794,,76.871,,-26.52,,,,,,50.351,-23.375,24.643,24.643,,4.496,,-5.764,26.976,8.226,35.202,0.0,,,35.202,-21.23,13.972,-1.87,0.0,12.102,12.102,,195.88,0.06,0.06,0.06,196.068,0.06,0.06,0.06,
12/31/2001,450.540985,,-377.552995,,72.98799,,-28.666001,,,,,,44.322,-73.487001,50.806,29.605001,-2.359,-0.195,,46.436,-29.165001,54.952,25.787,0.0,,,25.786999,-18.385,7.401999,-1.868,0.0,5.533999,5.533999,,196.112007,0.04,0.04,0.04,195.706996,0.04,0.04,0.04,
03/31/2002,495.404,,-433.173,,62.231,,-32.882,,,,,,29.349,-32.11,28.341,31.137,-2.796,,,3.769,-2.761,-1.188,-3.949,-7.701,,,3.752,-10.55,-6.798,,,-6.798,-6.798,,281.467,-0.03,-0.06,-0.06,281.467,-0.03,-0.06,-0.06,
06/30/2002,643.653,,-515.791,,127.862,,-46.44,,,,,,81.422,36.673,29.999,35.101,-5.102,-6.144,,-60.528,118.095,-29.821,88.274,,,,88.274,-19.284,68.99,-1.869,,67.121,67.121,,397.532,0.17,0.17,0.17,399.468,0.17,0.17,0.17,
09/30/2002,720.068,,-570.119,,149.949,,-55.098,,,,,,94.851,-31.319,33.082,33.082,,-2.411,,0.648,63.532,-11.157,52.375,0.0,,,52.375,-28.341,24.034,0.0,0.0,24.034,24.034,,401.422,0.06,0.06,0.09,402.96,0.06,0.06,0.09,
12/31/2002,794.356,,-532.984,,261.372,,-70.4,,,,,,190.972,-103.48,21.752,38.197,-16.445,-13.291,,95.019,87.492,20.226,107.718,-7.701,,,115.419,-40.274,75.145,0.0,0.0,75.145,75.145,,386.181,0.19,0.19,0.19,387.9675,0.19,0.19,0.19,
03/31/2003,748.469,,-537.276,,211.193,,-47.882,,,,,,163.311,88.829,27.741,29.946,-2.205,,,-116.57,252.14,-62.563,189.577,34.533,,,155.044,-37.789,117.255,0.0,,117.255,117.255,,401.89,0.29,0.38,0.4477,404.219,0.29,0.38,0.4477,
06/30/2003,747.222,,-573.01,,174.212,,-61.539,,,,,,112.673,103.019,19.854,22.669,-2.815,-27.178,,-95.695,215.692,-89.038,126.654,,,,126.654,-35.807,90.847,0.0,,90.847,90.847,,405.388,0.22,0.22,-0.19688,408.242,0.22,0.22,-0.19688,
09/30/2003,881.16,,-612.791,,268.369,,-59.6,,,,,,208.769,43.767,17.841,18.756,-0.915,-18.937,,-42.671,252.536,-80.977,171.559,0.0,,,171.559,-57.125,114.434,0.0,0.0,114.434,114.434,,408.379,0.28,0.28,0.17,412.922,0.28,0.28,0.17,
12/31/2003,831.837,,-541.605,,290.232,,-76.419,,,,,,213.813,-34.908,3.646,8.263,-4.617,-26.15,,57.412,178.905,25.628,204.533,0.0,,,204.533,-42.457,153.131,0.0,0.0,153.131,153.131,,426.743,0.38,0.38,0.38,429.509,0.38,0.38,0.38,
03/31/2004,1122.0,,-757.0,,365.0,0.0,-69.0,,,,,,296.0,2.0,22.0,26.0,-4.0,,2.0,-24.0,298.0,-87.0,213.0,47.0,,,166.0,-79.0,87.0,0.0,0.0,87.0,87.0,,443.0,0.2,0.3,0.320134,447.0,0.2,0.3,0.320134,
06/30/2004,982.0,,-700.0,,282.0,0.0,-87.0,,,,,,195.0,-60.0,20.0,25.0,-5.0,,-1.0,40.0,135.0,-32.0,102.0,4.0,,,98.0,-61.0,37.0,0.0,0.0,37.0,37.0,,443.0,0.08,0.09,0.128668,446.0,0.08,0.09,0.125874,
09/30/2004,1144.0,,-731.0,,413.0,0.0,-109.0,,,,,,304.0,10.0,21.0,27.0,-6.0,-3.0,,-28.0,314.0,-94.0,220.0,1.0,,,219.0,-90.0,129.0,0.0,0.0,129.0,129.0,,443.0,0.29,0.293454,0.31,447.0,0.29,0.292237,0.31,
12/31/2004,1163.0,,-689.0,,474.0,0.0,-71.0,,,,,,403.0,-8.0,12.0,20.0,-8.0,-4.0,1.0,31.0,364.0,-112.0,253.0,-42.0,,,295.0,-105.0,190.0,0.0,0.0,190.0,190.0,,443.0,0.428894,0.66591,0.08217,448.0,0.424107,0.65848,0.08125,
03/31/2005,961.0,,-718.0,,243.0,0.0,-100.0,,,,,,143.0,47.0,10.0,21.0,-11.0,,4.0,-57.0,190.0,-51.0,143.0,,,,143.0,-59.0,84.0,0.0,0.0,84.0,84.0,,446.0,0.19,0.19,0.273543,448.0,0.19,0.19,0.273543,
06/30/2005,997.0,,-705.0,,292.0,,-98.0,,,,,,194.0,12.0,18.0,31.0,-13.0,,,-31.0,206.0,-44.0,162.0,38.0,,,124.0,-74.0,50.0,0.0,,50.0,50.0,,446.0,0.11,0.2,0.13,449.0,0.11,0.2,0.13,
09/30/2005,1145.0,,-743.0,,402.0,,-109.0,,,,,,293.0,43.0,6.0,23.0,-17.0,-8.0,,-41.0,336.0,-96.0,240.0,-1.0,,,241.0,-115.0,126.0,0.0,,126.0,126.0,,446.0,0.28,0.28,0.25,449.0,0.28,0.28,0.25,
12/31/2005,1249.0,,-762.0,,487.0,,-74.0,,,,,,413.0,-126.0,4.0,22.0,-18.0,0.0,,122.0,287.0,-119.0,168.0,1.0,,,167.0,-132.0,62.0,0.0,0.0,62.0,62.0,,446.0,0.14,0.16,0.35,449.0,0.14,0.15,0.34,
03/31/2006,1132.0,,-699.0,,433.0,0.0,-105.0,,,,,,328.0,15.0,1.0,20.0,-19.0,,,-16.0,343.0,-37.0,306.0,-2.0,,,308.0,-99.0,209.0,0.0,0.0,209.0,209.0,,448.0,0.47,0.47,0.37,451.0,0.46,0.46,0.36,
06/30/2006,1293.0,,-774.0,,519.0,,-107.0,,,,,,412.0,-35.0,6.0,23.0,-17.0,0.0,,29.0,377.0,-121.0,256.0,-33.0,,,289.0,-128.0,161.0,0.0,0.0,161.0,161.0,,449.0,0.36,0.29,0.29,452.0,0.36,0.29,0.29,
09/30/2006,1102.0,,-740.0,,362.0,,-126.0,,,,,,236.0,-36.0,-16.0,,-16.0,-2.0,,54.0,200.0,-106.0,94.0,-156.0,,,250.0,-52.0,198.0,0.0,0.0,198.0,198.0,,450.0,0.44,0.09,-0.13,452.0,0.44,0.09,-0.13,
12/31/2006,1424.0,,-898.0,,526.0,,-203.0,,,,,,323.0,8.0,,27.0,-15.0,0.0,,-20.0,331.0,-76.0,171.0,-52.0,,,307.0,-84.0,223.0,0.0,0.0,223.0,223.0,,450.0,0.5,0.38,0.28,452.0,0.49,0.38,0.28,
03/31/2007,1224.0,,-1073.0,,151.0,0.0,-274.0,,,,,,-123.0,-81.0,11.0,24.0,-13.0,5.0,,65.0,-204.0,-44.0,-248.0,-28.0,,,-220.0,-56.0,-276.0,0.0,0.0,-276.0,-276.0,,451.0,0.15,0.09,0.09,452.0,0.15,0.09,0.09,
06/30/2007,1276.0,,-900.0,,376.0,,-101.0,,,,,,275.0,-597.0,15.0,25.0,-10.0,-8.0,,590.0,-322.0,19.0,-303.0,1661.0,,,-1964.0,-98.0,-2062.0,0.0,0.0,-2062.0,-2062.0,,451.0,-4.57,-0.89,-0.89,451.0,-4.57,-0.89,-0.89,
09/30/2007,1616.0,,-859.0,,757.0,,-118.0,,,,,,639.0,-24.0,17.0,28.0,-11.0,-14.0,,21.0,615.0,-86.0,529.0,-66.0,,,595.0,-198.0,397.0,0.0,0.0,397.0,397.0,,452.0,0.88,0.73,0.73,453.0,0.88,0.73,0.73,
12/31/2007,1410.0,,-858.0,,552.0,,-638.0,,,,,,-86.0,-700.0,,28.0,-29.0,-8.0,,709.0,-786.0,-89.0,-875.0,-644.0,,,-231.0,-58.0,-289.0,0.0,0.0,-289.0,-289.0,,452.0,-0.63,-2.06,0.55,452.0,-0.63,-2.06,0.55,
03/31/2008,1943.0,,-791.0,,1152.0,0.0,-351.0,,,,,,801.0,-18.0,18.0,28.0,-10.0,6.0,,-11.0,783.0,-232.0,551.0,-6.0,,,557.0,-192.0,365.0,0.0,0.0,365.0,365.0,,453.0,0.81,0.8,0.83,457.0,0.8,0.79,0.82,
06/30/2008,1503.0,,-749.0,,754.0,0.0,-443.0,,,,,,311.0,-16.0,28.0,35.0,-7.0,7.0,,-19.0,295.0,42.0,337.0,-2.0,,,339.0,-68.0,271.0,0.0,0.0,271.0,271.0,,454.0,0.6,0.6,0.4,456.0,0.59,0.59,0.39,
09/30/2008,1371.0,,-780.0,,591.0,0.0,-400.0,,,,,,191.0,31.0,35.0,42.0,-7.0,7.0,-1.0,-73.0,222.0,-6.0,215.0,-7.0,,,222.0,-31.0,191.0,0.0,0.0,191.0,191.0,-4.55,454.0,0.42,0.4,0.4,455.0,0.42,0.4,0.39,
12/31/2008,1325.0,,-769.0,,556.0,0.0,-351.0,,,,,,205.0,-253.0,32.0,37.0,-5.0,0.0,1.0,221.0,-48.0,93.0,46.0,4.0,,,42.0,-38.0,4.0,0.0,0.0,4.0,4.0,,454.0,0.01,0.02,0.45,455.0,0.01,0.02,0.45,
03/31/2009,1536.0,1536.0,-739.0,739.0,797.0,0.0,-387.0,39.0,39.0,31.0,191.0,126.0,410.0,-23.0,32.0,35.0,-3.0,3.0,-5.0,-12.0,387.0,-105.0,277.0,0.0,0.0,0.0,277.0,-88.0,189.0,0.0,0.0,189.0,210.6,21.6,472.0,0.4,0.4,0.446186,473.0,0.4,0.4,0.445666,
06/30/2009,1602.0,1602.0,-696.0,696.0,906.0,0.0,-433.0,40.0,40.0,42.0,176.0,175.0,473.0,-14.0,23.0,29.0,-6.0,-1.0,-3.0,-8.0,459.0,-136.0,320.0,14.0,14.0,0.0,306.0,-144.0,162.0,0.0,0.0,162.0,219.3,43.3,490.0,0.33,0.35,0.447551,491.0,0.33,0.35,0.438187,
09/30/2009,2049.0,2049.0,-765.0,765.0,1284.0,0.0,-395.0,39.0,39.0,27.0,199.0,130.0,889.0,15.0,10.0,12.0,-2.0,-2.0,-6.0,-23.0,904.0,-253.0,645.0,0.0,0.0,0.0,645.0,-257.0,388.0,0.0,0.0,388.0,387.35,-0.65,490.0,0.79,0.79,0.79051,491.0,0.79,0.79,0.788676,
12/31/2009,2518.0,2518.0,-836.0,836.0,1682.0,0.0,-496.0,41.0,41.0,35.0,,420.0,1186.0,-10.0,55.0,60.0,-5.0,1.0,-2.0,-46.0,1176.0,-307.0,867.0,2.0,2.0,0.0,865.0,-307.0,558.0,0.0,0.0,558.0,566.4,6.4,491.0,1.14,1.14,1.153564,493.0,1.13,1.13,1.142982,
03/31/2010,2242.0,2242.0,-869.0,869.0,1373.0,0.0,-460.0,45.0,45.0,46.0,,369.0,913.0,-27.0,75.0,78.0,-3.0,9.0,-2.0,-57.0,886.0,-141.0,743.0,0.0,0.0,0.0,743.0,-197.0,546.0,0.0,0.0,546.0,522.0,-24.0,491.0,1.11,1.11,1.063136,493.0,1.11,1.11,1.061318,
06/30/2010,2153.0,2153.0,-848.0,848.0,1305.0,0.0,-458.0,43.0,43.0,57.0,,358.0,847.0,-25.0,69.0,71.0,-2.0,-5.0,-2.0,-39.0,822.0,-283.0,537.0,0.0,0.0,0.0,537.0,-155.0,382.0,0.0,0.0,382.0,367.9,-14.1,492.0,0.78,0.78,0.747764,499.0,0.77,0.77,0.741743,
09/30/2010,2597.0,2597.0,-891.0,891.0,1706.0,0.0,-468.0,45.0,45.0,46.0,,377.0,1238.0,-61.0,66.0,69.0,-3.0,44.0,-3.0,-49.0,1177.0,-360.0,814.0,0.0,0.0,0.0,814.0,-277.0,537.0,0.0,0.0,537.0,529.75,-7.25,493.0,1.09,1.09,1.074544,502.0,1.07,1.07,1.055558,
12/31/2010,2548.0,2548.0,-877.0,877.0,1671.0,0.0,-503.0,45.0,45.0,67.0,,391.0,1168.0,-57.0,69.0,72.0,-3.0,16.0,10.0,-28.0,1111.0,-71.0,1050.0,28.0,28.0,0.0,1022.0,-210.0,812.0,0.0,0.0,812.0,390.85,-449.15,492.0,1.65,1.71,0.794411,500.0,1.61,1.67,0.7717,
