Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
10/01/1995,130.0,-57.299999,28.299999,69.0,,69.0,90.0,,,90.0,,,-44.900002,,,,-44.900002,,,,,,,,,,44.900002,,,,,,,,,,,,,
12/31/1995,-27.5,0.5,-13.6,35.900002,,35.900002,-50.299999,,,-50.299999,,-52.400002,-52.400002,,,,-52.400002,,,,,,,,,,0.0,,,,,,,,,,,,-79.900002,
03/31/1996,-103.300003,5.5,20.200001,-8.8,,-8.8,-120.199997,,,-120.199997,,,-57.700001,,,,-57.700001,,,,,,,,,,57.700001,,,,,,,,,,,,,
06/30/1996,38.700001,11.8,21.299999,-9.3,,-9.3,14.9,,,14.9,,,-46.299999,,,,-46.299999,,,,,,,,,,46.299999,,,,,,,,,,,,,
09/29/1996,73.400002,20.1,22.0,21.200001,,21.200001,10.1,,,10.1,,,-40.5,,,,-40.5,,,,,,,,,,40.5,,,,,,,,,,,,,
12/31/1996,75.5,-13.2,30.0,20.799999,,20.799999,37.900002,,,37.900002,,-51.599998,-51.599998,,,,-51.599998,,,,,,,,,,0.0,,,,,,,,,,,,23.900002,
03/30/1997,-58.0,7.0,24.0,-1.0,,-1.0,-88.0,,,-88.0,,-178.699997,-27.200001,0.0,,,-27.200001,,,0.0,0.0,0.0,,,,,-151.499996,102.399997,-4.8,112.399997,,,,-5.7,4.5,-10.2,0.5,,-134.300003,
06/29/1997,41.299999,20.799999,30.4,-2.3,,-2.3,-7.6,,,-7.6,,-7.6,-32.200001,0.0,,,-32.200001,,,0.0,0.0,0.0,,,,,24.600001,-40.699999,-7.0,-32.299999,,,,-3.5,4.0,-7.5,2.1,,-7.0,
09/28/1997,90.800003,22.700001,31.6,2.3,,2.3,34.200001,,,34.200001,,-59.799999,-24.1,0.0,,,-24.1,,,0.0,0.0,0.0,,,,,-35.699999,-30.8,-4.3,-23.499999,,,,-1.0,7.1,-8.1,-2.0,,0.2,
12/31/1997,69.400002,7.8,31.5,11.3,,11.3,18.799999,,,18.799999,,-4.8,-14.2,0.0,,,-14.2,,,0.0,0.0,0.0,,,,,9.4,-67.2,-6.8,-59.1,,,,-0.2,6.1,-6.3,-1.1,,-2.6,
03/29/1998,-12.3,2.2,29.4,13.5,,13.5,-57.400002,,,-57.400002,,-17.299999,-16.9,0.0,,,-16.9,,,0.0,0.0,0.0,,,,,-0.4,45.4,-4.5,48.8,,,,2.6,5.1,-2.5,-1.5,,15.8,
06/29/1998,84.599998,19.0,31.1,2.099996,,2.099996,32.400002,,,32.400002,,-21.6,-20.799999,0.0,,,-20.799999,,,0.0,0.0,0.0,,,,,-0.800001,-35.9,-6.8,-32.2,,,,4.6,10.3,-5.7,-1.5,,27.1,
09/27/1998,127.699997,13.1,39.400002,1.1,,1.1,74.099998,,,74.099998,,-811.0,-14.0,0.0,,,-14.0,,,0.0,0.0,0.0,,,,,-797.0,648.900017,-3.9,680.000015,,,,5.9,9.8,-3.9,-33.099998,,-34.400002,
12/31/1998,187.099991,-17.9,49.299999,44.600002,,44.600002,111.099998,,,111.099998,,-65.199997,-32.5,0.0,,,-32.5,,,0.0,0.0,0.0,,,,,-32.699997,-121.899986,-6.8,-77.299988,,,,-15.999999,6.3,-22.299999,-21.799999,,1.1e-05,
04/04/1999,-109.3,15.7,41.5,15.0,,15.0,-181.5,,,-181.5,,-18.3,-21.5,0.0,,,-21.5,,,0.0,0.0,0.0,,,,,3.2,135.7,-4.5,142.5,,,,-1.8,7.0,-8.8,-0.5,,8.1,
07/04/1999,116.5,32.0,39.7,11.2,,11.2,33.6,,,33.6,,-20.3,-22.9,0.0,,,-22.9,,,0.0,0.0,0.0,,,,,2.6,-89.6,-6.8,-74.5,,,,-7.4,17.5,-24.9,-0.9,,6.6,
10/03/1999,108.5,37.0,40.8,13.3,,13.3,17.4,,,17.4,,-26.8,-24.7,0.0,,,-24.7,,,0.0,0.0,0.0,,,,,-2.1,-99.8,-4.6,-86.0,,,,-8.1,6.3,-14.4,-1.1,,-18.1,
12/31/1999,190.3,19.5,40.9,0.1,,0.1,129.8,,,129.8,,-27.3,-37.9,0.0,,,-37.9,,,0.0,0.0,0.0,,,,,10.6,-157.8,-6.6,-133.1,,,,-18.2,6.0,-24.2,0.1,,5.2,
04/02/2000,-128.0,20.0,40.4,-2.0,,-2.0,-186.4,,,-186.4,,10.9,-23.5,0.0,,,-23.5,,,0.0,0.0,0.0,,,,,34.4,123.8,-4.5,130.7,,,,-0.4,15.2,-15.6,-2.0,,6.7,
07/02/2000,87.8,-15.4,38.9,68.0,,68.0,-3.7,,,-3.7,,-18.7,-22.7,0.0,,,-22.7,,,0.0,0.0,0.0,,,,,4.0,-76.8,-6.4,-54.0,,,,-15.9,6.1,-22.0,-0.5,,-7.7,
10/01/2000,89.1,44.5,39.3,-3.6,,-3.6,8.9,,,8.9,,-20.1,-23.6,0.0,,,-23.6,,,0.0,0.0,0.0,,,,,3.5,-76.4,-4.5,-55.3,,,,-15.2,4.6,-19.8,-1.4,,-7.4,
12/31/2000,127.6,19.1,40.5,16.9,,16.9,51.1,,,51.1,,-24.6,-28.9,0.0,,,-28.9,,,0.0,0.0,0.0,,,,,4.3,-104.8,-6.2,-69.4,,,,-29.4,0.0,-29.4,0.2,,-1.8,
04/01/2001,-140.6,18.5,38.3,2.1,,2.1,-199.5,,,-199.5,,-5.5,-18.9,0.0,,,-18.9,,,0.0,0.0,0.0,,,,,13.4,148.5,-4.1,176.8,,,,-23.0,9.6,-32.6,-1.2,,2.4,
07/01/2001,127.1,-162.1,38.8,240.3,,240.3,10.1,,,10.1,,-14.1,-18.3,0.0,,,-18.3,,,0.0,0.0,0.0,,,,,4.2,-116.1,-6.1,-115.9,,,,7.0,7.0,0.0,-1.1,,-3.1,
09/30/2001,118.0,36.3,37.6,7.6,22.6,-15.0,36.5,,,36.5,,-10.9,-12.3,0.0,,,-12.3,,,0.0,0.0,0.0,,,,,1.4,-95.6,-4.2,-71.3,,,,-18.7,6.8,-25.5,-1.4,,11.5,
12/31/2001,216.3,8.1,37.8,-25.4,,-25.4,195.8,,,195.8,,-92.4,-19.0,0.0,,,-19.0,,,0.0,0.0,0.0,,,,,-73.4,-77.2,-6.0,-51.9,,,,-19.1,0.0,-19.1,-0.2,,46.7,
03/31/2002,-50.0,27.5,35.7,2.1,,2.1,-115.3,,,-115.3,,-39.1,-30.0,0.0,,,-30.0,,,0.0,0.0,0.0,,,,,-9.1,27.9,-5.1,76.1,,,,-43.1,13.3,-56.4,0.0,,-61.2,
06/30/2002,178.2,49.9,37.1,10.9,,10.9,80.3,,,80.3,,-35.4,-34.4,0.0,,,-34.4,,,0.0,0.0,0.0,,,,,-1.0,-128.2,-5.1,-112.4,,,,-10.8,6.8,-17.6,0.1,,14.6,
09/29/2002,123.2,50.0,36.2,-8.9,,-8.9,45.9,,,45.9,,-75.2,-23.3,0.0,,,-23.3,,,0.0,0.0,0.0,,,,,-51.9,-26.3,-5.1,-10.0,,,,-11.1,9.2,-20.3,-0.1,,21.7,
12/31/2002,200.9,28.7,40.2,-20.6,,-20.6,152.6,,,152.6,,-871.5,-70.7,0.0,,,-70.7,,,0.0,0.0,0.0,,,,,-800.8,871.6,-5.1,905.1,,,,-4.1,5.7,-9.8,-24.3,,201.0,
03/30/2003,-304.5,31.5,49.9,-134.9,5.8,-140.7,-251.0,,,-251.0,,-63.9,-30.3,0.0,,,-30.3,,,0.0,0.0,0.0,,,,,-33.6,163.3,-4.9,162.1,,,,6.2,13.5,-7.3,-0.1,,-205.1,
06/29/2003,175.3,74.3,51.5,-1.7,15.8,-17.5,51.2,,,51.2,,-17.3,-41.6,0.0,,,-41.6,,,0.0,0.0,0.0,,,,,24.3,-172.3,-5.1,-142.0,,,,-30.1,2.0,-32.1,4.9,,-14.3,
09/28/2003,167.4,68.8,49.9,47.5,35.7,11.8,1.2,,,1.2,,-21.3,-26.6,0.0,,,-26.6,,,0.0,0.0,0.0,,,,,5.3,-127.5,-8.4,-98.2,,,,-7.0,10.0,-17.0,-13.9,,18.6,
12/31/2003,325.8,55.3,54.2,-42.7,,-42.7,259.0,,,259.0,,-21.3,-38.7,0.0,,,-38.7,,,0.0,0.0,0.0,,,,,17.4,-326.4,-8.4,-315.6,,,,3.0,10.0,-7.0,-5.4,,-21.9,
04/04/2004,-69.4,46.8,53.8,20.1,8.3,11.8,-190.1,,,-190.1,,-70.7,-34.9,0.0,,,-34.9,,,0.0,0.0,0.0,,,,,-35.8,144.8,-8.4,168.3,,,,-14.6,7.7,-22.3,-0.5,,4.7,
07/04/2004,169.9,90.7,52.2,0.1,8.7,-8.6,26.9,,,26.9,,-33.1,-32.5,0.0,,,-32.5,,,0.0,0.0,0.0,,,,,-0.6,-142.1,-8.3,-106.4,,,,-27.5,9.1,-36.6,0.1,,-5.3,
10/03/2004,191.3,101.7,56.7,-20.6,12.9,-33.5,53.5,,,53.5,,-27.1,-32.5,0.0,,,-32.5,,,0.0,0.0,0.0,,,,,5.4,-132.3,-11.1,-120.3,,,,-1.4,7.5,-8.9,0.5,,31.9,
12/31/2004,244.1,56.4,52.4,18.5,12.9,5.6,116.8,,,116.8,,-78.7,-96.1,0.0,,,-96.1,,,0.0,0.0,0.0,,,,,17.4,-34.5,-11.1,-19.9,,,,-6.5,11.0,-17.5,3.0,,130.9,
04/03/2005,-161.0,58.6,53.4,-124.4,-11.8,-112.6,-148.6,,,-148.6,,-88.5,-80.6,0.0,,,-80.6,,,0.0,0.0,0.0,,,,,-7.9,139.9,-11.1,142.3,,,,8.7,10.8,-2.1,0.0,,-111.9,
07/03/2005,231.2,79.0,53.0,115.0,-8.8,123.8,-15.8,,,-15.8,,-69.3,-67.7,0.0,,,-67.7,,,0.0,0.0,0.0,,,,,-1.6,-171.9,-10.7,15.7,,,,-176.7,9.3,-186.0,-0.2,,-11.1,
10/02/2005,214.6,79.3,54.4,-18.6,-38.5,19.9,99.5,,,99.5,,-45.6,-45.9,0.0,,,-45.9,,,0.0,0.0,0.0,,,,,0.3,-155.8,-10.5,-3.1,,,,-142.4,8.1,-150.5,0.2,,14.7,
12/31/2005,274.0,47.4,52.7,20.9,7.5,13.4,153.0,,,153.0,,-86.6,-97.5,0.0,,,-97.5,,,0.0,0.0,0.0,,,,,10.9,-216.8,-10.2,-153.4,,,,-47.7,7.4,-55.1,-5.5,,-29.4,
04/02/2006,-171.8,44.4,54.6,-18.0,-5.5,-12.5,-252.8,,,-252.8,,-830.8,-64.4,0.0,,,-64.4,,,0.0,0.0,0.0,,,,,-766.4,988.5,-10.2,1029.6,,,,-26.8,9.3,-36.1,-4.1,,-14.1,
07/02/2006,178.0,129.8,64.9,0.9,17.7,-16.8,-17.6,,,-17.6,,-41.1,-63.1,0.0,,,-63.1,,,0.0,0.0,0.0,,,,,22.0,-58.9,-10.5,-44.6,,,,-4.7,9.9,-14.6,0.9,,78.0,
10/01/2006,109.9,107.1,64.5,-71.4,15.5,-86.9,9.7,,,9.7,,-60.0,-60.1,0.0,,,-60.1,,,0.0,0.0,0.0,,,,,0.1,-115.7,-10.0,-94.8,,,,-13.2,8.7,-21.9,2.3,,-65.8,
12/31/2006,285.3,48.3,68.6,49.1,12.1,37.0,119.3,,121.6,-2.3,,-61.5,-92.0,0.0,,,-92.0,,,0.0,0.0,0.0,,,,,30.5,-130.2,-10.3,-122.8,,,,-1.0,10.5,-11.5,3.9,,92.4,
04/01/2007,-107.7,81.2,65.0,6.5,-7.5,14.0,-260.4,,,-260.4,,-37.1,-88.1,0.0,,,-88.1,,,0.0,0.0,0.0,,,,,51.0,44.5,-10.2,139.2,,,,-87.5,11.0,-98.5,3.0,,-100.3,
07/01/2007,358.8,105.9,69.9,28.9,11.2,17.7,154.1,,,154.1,,-79.9,-78.2,0.0,,,-78.2,,,0.0,0.0,0.0,,,,,-1.7,-238.2,-10.2,-224.8,,,,-7.8,16.1,-23.9,4.6,,40.7,
09/30/2007,154.1,60.9,71.8,69.6,-11.4,81.0,-48.2,,,-48.2,,-62.7,-56.6,0.0,,,-56.6,,,0.0,0.0,0.0,,,,,-6.1,-103.9,-10.0,-36.0,,,,-59.8,10.9,-70.7,1.9,,-12.5,
12/31/2007,267.8,33.3,74.3,-29.0,-13.3,-15.7,189.2,,,189.2,,-86.1,-85.6,0.0,,,-85.6,,,0.0,0.0,0.0,,,,,-0.5,-109.5,-10.2,-48.4,,,,-56.2,8.5,-64.7,5.3,,72.2,
03/30/2008,-214.6,83.8,74.6,-30.3,-5.1,-25.2,-342.7,,,-342.7,,-68.1,-74.5,0.0,,,-74.5,,,0.0,0.0,0.0,,,,,6.4,217.8,-9.6,352.1,,,,-125.1,6.4,-131.5,0.4,,-61.7,
06/29/2008,145.0,100.0,76.2,-11.0,8.0,-19.0,-20.2,,,-20.2,,-93.9,-86.0,0.0,,,-86.0,,,0.0,0.0,0.0,,,,,-7.9,-77.6,-9.4,-16.8,,,,-56.1,9.2,-65.3,4.7,,-26.5,
09/28/2008,208.0,101.9,73.9,8.6,2.6,6.0,23.6,,,23.6,,-50.3,-70.3,0.0,,,-70.3,,,0.0,0.0,0.0,,,,,20.0,-107.2,-9.3,-19.2,,,,-76.3,6.5,-82.8,-2.4,,50.5,
12/31/2008,489.2,33.8,72.7,44.9,14.1,30.8,337.8,,15.7,322.1,,-205.7,-76.1,0.0,,,-76.1,,,0.0,0.0,0.0,,,,,-129.6,-236.2,-9.2,-188.8,,,,-42.1,5.1,-47.2,3.9,,13.5,
03/29/2009,-307.8,69.5,66.7,8.0,-4.5,12.5,-452.0,,,-452.0,,-47.2,-67.8,0.0,0.0,0.0,-67.8,-67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,283.9,-9.3,285.9,8.3,394.3,-116.7,4.9,6.0,-1.1,2.4,-3.2,-74.3,
06/28/2009,317.0,133.3,69.4,-24.1,-7.0,-17.1,138.4,,,138.4,,30.1,-40.3,0.0,0.0,0.0,-40.3,-40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4,-346.7,-9.4,-343.9,16.6,117.1,-477.6,6.1,6.3,-0.2,0.5,6.0,6.4,
09/27/2009,-3.1,103.7,70.4,10.6,-3.1,13.7,-187.8,,,-187.8,,-0.8,-33.2,0.0,0.0,0.0,-33.2,-33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,363.0,-9.4,389.7,-98.2,771.8,-283.9,-8.8,12.1,-20.9,-8.5,-0.5,358.6,
12/31/2009,553.6,81.4,36.6,-13.1,-9.7,-3.4,364.8,,,364.8,,-563.5,-16.6,0.0,0.0,0.0,-16.6,-16.6,0.0,0.0,0.0,0.0,-537.7,37.0,-574.7,0.0,-15.7,-199.4,-9.3,-183.8,-18.7,53.5,-218.6,-7.3,7.5,-14.8,1.0,1.8,-207.5,
03/28/2010,-272.0,79.3,62.7,2.5,-10.7,13.2,-425.8,,,-425.8,,-48.3,-33.3,0.0,0.0,0.0,-33.3,-33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.3,498.2,-9.2,633.5,66.7,789.0,-222.2,-119.7,9.7,-129.4,-6.4,2.9,180.8,
06/27/2010,302.7,69.0,59.7,3.3,-0.7,4.0,70.1,0.0,,67.4,,-127.6,-31.9,0.0,0.0,0.0,-31.9,-31.9,0.0,0.0,0.0,0.0,-89.2,0.0,-89.2,0.0,0.9,-486.2,-9.1,-452.8,14.3,288.4,-755.5,-21.4,12.1,-33.5,-2.9,-5.3,-316.4,
09/26/2010,340.7,227.5,67.1,-89.7,-39.8,-49.9,147.5,,,147.5,,181.7,-62.0,0.0,0.0,0.0,-62.0,-62.0,0.0,0.0,0.0,0.0,245.4,280.0,-34.6,0.0,0.1,-428.6,-8.9,-246.3,-75.8,121.9,-292.4,-176.9,13.2,-190.1,3.5,-0.1,93.7,
12/31/2010,143.8,92.2,73.3,44.6,22.5,22.1,-67.2,,,-67.2,,-116.0,-119.1,0.0,0.0,0.0,-119.1,-119.1,0.0,0.0,0.0,0.0,-20.5,-18.5,-2.0,0.0,23.6,-43.0,-8.6,167.4,9.9,1032.3,-874.8,-188.7,12.5,-201.2,-13.1,-1.5,-16.7,
04/03/2011,-74.4,91.3,73.6,41.9,4.3,37.6,-280.9,,,-280.9,,-384.2,-95.0,0.0,0.0,0.0,-95.0,-95.0,0.0,0.0,0.0,0.0,-295.2,0.0,-295.2,0.0,6.0,498.0,-11.7,657.9,196.2,463.9,-2.2,-150.6,13.7,-164.3,2.4,1.7,41.1,
07/03/2011,235.6,143.1,74.1,46.4,9.7,36.7,-28.0,,,-28.0,,-125.1,-118.5,0.0,0.0,0.0,-118.5,-118.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6,-158.3,-11.6,-57.6,8.3,73.6,-139.5,-90.5,9.1,-99.6,1.4,-0.5,-48.3,
10/02/2011,279.8,132.1,74.5,5.3,0.3,5.0,72.2,,,72.2,,-117.0,-110.3,0.0,0.0,0.0,-110.3,-110.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.7,-123.4,-11.3,27.2,135.6,148.2,-256.6,-140.2,9.0,-149.2,0.9,5.9,45.3,
12/31/2011,507.4,77.5,78.9,10.2,14.1,-3.9,342.2,,,342.2,,-111.7,-120.0,0.0,0.0,0.0,-120.0,-120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,-433.1,-11.1,-320.7,-44.8,141.6,-417.5,-92.6,7.5,-100.1,-8.7,13.1,-24.3,
04/01/2012,-218.3,88.3,69.0,-51.1,9.1,-60.2,-324.3,,,-324.3,,-86.7,-76.0,0.0,0.0,0.0,-76.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.7,251.5,-15.6,473.1,-30.9,1140.1,-636.1,-191.1,19.7,-210.8,-14.9,-5.5,-59.0,
07/01/2012,293.0,139.5,66.5,23.7,3.6,20.1,62.8,,,62.8,,-68.0,-62.5,0.0,0.0,0.0,-62.5,-62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5,-217.0,-15.6,-149.0,44.6,129.7,-323.3,-57.6,10.0,-67.6,5.2,8.7,16.7,
09/30/2012,313.6,115.1,74.7,49.2,2.7,46.5,73.0,,,73.0,,-49.5,-68.4,0.0,0.0,0.0,-68.4,-68.4,0.0,0.0,0.0,0.0,-15.3,0.0,-15.3,0.0,34.2,-204.3,-15.4,-135.8,-112.5,0.0,-23.3,-56.2,11.1,-67.3,3.1,-2.1,57.7,
12/31/2012,464.9,60.6,72.7,105.5,-1.4,106.9,230.3,,,230.3,,-151.8,-98.1,0.0,0.0,0.0,-98.1,-98.1,0.0,0.0,0.0,0.0,-55.9,0.0,-55.9,0.0,2.2,-317.1,-15.2,-110.5,-238.2,216.6,-88.9,-189.2,12.3,-201.5,-2.2,-3.1,-7.1,
03/31/2013,-324.6,72.0,72.5,-16.7,9.6,-26.3,-450.3,,,-450.3,0.0,-109.3,-88.7,0.0,0.0,0.0,-88.7,-88.7,0.0,0.0,0.0,0.0,-12.6,0.0,-12.6,0.0,-8.0,469.0,-19.3,545.6,231.2,425.5,-111.1,-65.8,3.4,-69.2,8.5,-1.2,33.9,
06/30/2013,267.1,95.1,74.5,41.9,-1.7,43.6,55.7,,,55.7,,-108.9,-112.4,0.0,0.0,0.0,-112.4,-112.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,-192.5,-18.7,-12.3,-29.2,1121.5,-1104.6,-136.5,10.2,-146.7,-25.0,-4.2,-38.5,
09/30/2013,509.4,115.2,76.6,90.1,-4.6,94.7,228.0,,,228.0,,-103.4,-108.5,0.0,0.0,0.0,-108.5,-108.5,0.0,0.0,0.0,0.0,-1.6,0.0,-1.6,0.0,6.7,-403.1,-18.8,-319.6,,,,-65.6,10.7,-76.3,0.9,-4.2,-1.3,
12/31/2013,387.1,124.5,76.3,-46.1,-4.9,-41.2,232.4,,,232.4,,-57.5,-68.7,0.0,0.0,0.0,-68.7,-68.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,-77.4,-18.4,76.9,-2.2,96.5,-17.4,-130.9,8.6,-139.5,-5.0,-4.4,247.8,
03/31/2014,-136.2,93.5,68.8,3.5,2.6,0.9,-302.0,,,-302.0,0.0,-55.1,-61.4,0.0,0.0,0.0,-61.4,-61.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,-45.1,-18.6,161.2,299.5,375.1,-513.4,-193.5,9.3,-202.8,5.8,-4.2,-240.6,
06/30/2014,346.2,153.1,69.6,29.6,3.9,25.7,93.9,,,93.9,,-69.0,-73.9,0.0,0.0,0.0,-73.9,-73.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,-298.9,-18.2,-233.4,-6.8,21.8,-248.4,-45.0,9.3,-54.3,-2.3,1.6,-20.1,
09/30/2014,440.0,147.4,71.3,-10.2,1.8,-12.0,231.5,,,231.5,,-114.8,-114.7,0.0,0.0,0.0,-114.7,-114.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-289.3,-18.0,-206.2,-93.7,0.0,-112.5,-69.3,9.1,-78.4,4.2,-1.7,34.2,
12/31/2014,362.0,76.0,71.3,72.1,3.7,68.4,142.6,,,468.0,0.0,-152.1,-141.0,0.0,,,-141.0,-141.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,-17.1,-212.7,-18.2,-139.6,-131.0,15.1,-23.7,-52.2,9.3,-61.5,-2.7,4.3,1.5,
03/31/2015,-180.5,20.7,68.3,44.1,-24.7,68.8,-313.6,,,-313.6,0.0,-120.5,-105.5,0.0,0.0,0.0,-105.5,-105.5,0.0,0.0,0.0,0.0,-29.1,0.0,-29.1,0.0,14.1,327.4,-18.2,358.3,171.1,1275.0,-1087.8,6.0,9.2,-3.2,-18.7,11.0,37.4,
06/30/2015,392.2,160.4,71.3,2.6,23.9,-21.3,157.9,,,157.9,0.0,-114.7,-122.2,0.0,0.0,0.0,-122.2,-122.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,-276.5,-17.9,-245.9,-65.6,1040.0,-1220.3,9.6,9.7,-0.1,-22.3,-2.5,-1.5,
09/30/2015,385.3,45.0,72.4,127.2,-67.2,194.4,140.7,,,140.7,0.0,-132.8,-129.3,0.0,0.0,0.0,-129.3,-129.3,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,-3.6,-235.9,-17.9,-94.4,5.5,0.0,-99.9,-125.6,7.1,-132.7,2.0,1.5,18.1,
