Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2000,9.825,-27.308,,39.533,,,,39.533,-2.4,,,-60.715,0.0,0.0,0.0,-76.877,0.0,,,,-76.877,,,,16.162,,,,,,,,0.0,79.596,0.0,78.574,,,,,1.022,1.022,0.0,0.0,0.0,,28.706,,3.963,
12/31/2000,12.586,2.651,,12.389,,,,12.389,-2.454,,,-86.531,0.0,0.0,0.0,-104.355,,,,,-104.355,,,,18.324,,,,,,,,-0.5,52.997,-26.308,-67.611,,,,,61.959,61.959,0.0,0.0,84.957,,-20.948,,3.471,
03/31/2001,9.035,-9.902,0.0,24.629,,,,24.629,-5.692,,,-27.008,0.0,0.0,0.0,-39.387,14.999,,,,-54.386,,,,12.379,,,,,,,,0.0,11.148,-21.162,4.31,,,,,0.0,0.0,0.0,0.0,28.0,,-6.825,,1.791,
06/30/2001,12.314,11.222,0.0,5.595,,,,5.595,-4.503,,,-62.390999,0.0,0.0,0.0,-97.492996,0.0,,,,-97.492996,,,,35.102001,,,,,,,,-4e-06,47.607998,-21.864,-56.478001,,,,,126.028999,126.028999,0.0,0.0,-0.079,,-2.469,,2.87,
09/30/2001,11.248,-1.632,0.486,19.187,,,,19.187,-6.793,,,-67.750999,-1.11,0.0,-1.11,-82.730003,0.0,,,,-82.730003,,,,16.089001,,,,,,,,3e-06,80.110999,0.0,30.614,,,,,48.967999,48.967999,0.0,0.0,0.529,,23.608,,1.941,
12/31/2001,4.71,18.917,0.0,7.417,,,,7.417,-21.624001,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,3.445,
03/31/2002,11.032,3.617,0.102,13.625,,,,13.625,-6.312,,,-101.104,-0.162,0.0,-0.162,-105.761,0.0,,,,-105.761,,,,4.819,,,,,,,,0.0,76.86,-26.105,-45.872,,,,,0.112,0.112,0.0,0.0,148.725,,-13.212,,,
06/30/2002,14.516,12.252,0.235,10.497,,,,10.497,-8.468,,,-96.029,-0.415,0.0,-0.415,-131.809,0.0,,,,-131.809,,,,36.195,,,,,,,,0.0,83.531,-23.939,110.654,,,,,0.03,0.03,0.0,0.0,-3.214,,2.018,,,
09/30/2002,22.794,-11.524,0.21,37.889,,,,37.889,-3.781,,,-125.053,-0.372,0.0,-0.372,-145.272,1.345,,,,-146.617,,,,16.72,,,,,,,,3.871,128.877,,-95.888,,,,,74.785,74.785,0.0,0.0,149.98,,26.618,,,
12/31/2002,24.576,15.716,0.274,3.299,,,,3.299,5.287,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,3.619,
03/31/2003,18.297,-0.975,0.26,25.299,,,,25.299,-6.287,,,-78.196,-0.54,0.0,-0.54,-174.538,4.343,,,,-178.881,,,,96.882,,,,,,,,0.0,75.441,-33.004,-132.664,,,,,245.275,245.275,0.0,0.0,-4.166,,15.542,,,
06/30/2003,24.455,26.309,0.24,3.615,,,,3.615,-5.709,,,-101.862,-0.826,0.0,-0.826,-145.832,30.95,,,,-176.782,,,,50.296,,,,,,,,-5.5,99.127,-37.154,-115.588,,,,,0.785,0.785,0.0,0.0,251.084,,21.72,,,
09/30/2003,30.178,26.507,0.274,12.503,,,,12.503,-9.106,,,-169.78,-0.395,0.0,-0.395,-236.2,42.314,,,,-278.514,,,,61.239,,,,,,,,5.576,142.046,-0.012,117.456,,,,,47.676,47.676,0.0,0.0,-23.074,,2.444,,,
12/31/2003,44.52,66.142998,0.361,-18.910999,,,,-18.910999,-3.073,,,-0.476,-0.476,,-0.476,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,44.044,,,
03/31/2004,24.217,34.603,0.323,1.353,,,,1.353,-12.062,,,-164.925,-0.471,0.0,-0.471,-242.153,0.586,,,,-242.739,,,,77.699,,,,,,,,0.0,141.365,-50.335,57.426,,,,,94.915,94.915,0.0,0.0,39.359,,0.657,,,
06/30/2004,57.463,88.899,0.383,-20.674,,,,-20.674,-11.145,,,-361.515,-0.703,0.0,-0.703,-491.371,98.045,,,,-589.416,,,,138.143,,,,,,,,-7.584,358.991,0.0,233.54,,,,,184.564,184.564,0.0,0.0,-59.113,,54.939,,,
09/30/2004,44.372002,60.598999,0.383,0.212,,,,0.212,-16.822001,,,-233.145996,-0.486,0.0,-0.486,-24.537994,436.671997,,,,-461.209991,,,,-204.113998,,,,,,,,-4.008003,216.819004,-48.122002,67.43,,,,,196.518005,196.518005,0.0,0.0,0.993,,28.045,,,
12/31/2004,109.44,97.344,0.387,29.334,,,,29.334,-17.625,,,-429.263,-0.571,0.0,-0.571,-848.456,0.0,,,,-848.456,,,,416.048,,,,,,,,3.716,324.399,-114.642,-47.843,,,,,136.817,136.817,0.0,0.0,350.067,,4.576,,,
03/31/2005,29.961,111.68,0.401,-58.38,,,,-58.38,-23.74,,,-310.267,-0.646,0.0,-0.646,-434.947,58.636,,,,-493.583,,,,126.844,,,,,,,,-1.518,307.23,-5.094,177.021,,,,,65.422,65.422,0.0,0.0,69.881,,26.924,,,
06/30/2005,92.679,79.349,0.499,-5.839,,,,-5.839,18.67,,,-434.664,-2.09,0.0,-2.09,-595.888,222.916,,,,-818.804,,,,164.472,,,,,,,,-1.158,355.422,-57.133,252.613,,,,,197.115,197.115,0.0,0.0,-37.173,,13.437,,,
09/30/2005,39.856,94.057,0.582,-50.006,,,,-50.006,-4.777,,,-535.148,-1.269,0.0,-1.269,-726.114,97.547,,,,-823.661,,,,194.35,,,,,,,,-2.115,507.863,-64.727,276.201,,,,,309.846,316.376,-6.53,31.392,-44.849,,12.571,,,
12/31/2005,133.984,79.823,1.065,133.272,,,,133.272,-80.176,,,-534.914,-4.537,0.0,-4.537,-960.996,255.494,,,,-1216.49,,,,434.815,,,,,,,,-4.196,381.939,-146.879,199.933,,,,,342.261,343.49,-1.229,-11.269,-2.107,,-18.991,,,
03/31/2006,28.151,162.054,0.969,-132.285,,,,-132.285,-2.587,,,-299.875,-5.394,,-5.394,-741.52,141.449,,,,-882.969,,,,445.515,,,,,,,,1.524,242.42,-2.997,-15.902,,,,,156.069,156.57,-0.501,37.742,67.508,,-29.304,,,
06/30/2006,165.038,452.398,1.835,-281.496,,,,-281.496,-7.699,,,-1624.357,-12.072,,-12.072,-2219.775,248.482,,,,-2468.257,,,,598.436,,,,,,,,9.054,1534.535,-88.634,831.383,,,,,671.992,767.552,-95.56,,119.794,,75.216,,,
09/30/2006,253.237,583.96,3.425,-320.639,,,,-320.639,-13.509,,,-2071.195,-16.263,,-16.263,-3325.472,546.139,,,,-3871.611,,,,1251.34,,,,,,,,19.2,1754.953,-187.135,1135.42,,,,,822.83,923.838,-101.008,-2.543,-13.619,,-63.005,,,
12/31/2006,152.763,312.0,0.575,-12.321,,,,-12.321,-147.491,,,-317.805,-8.737,0.0,-8.737,-941.528,1011.861,,,,-1953.389,,,,637.66,,,,,,,,-5.2,208.047,-110.865,321.58,,,,,117.17,140.162,-22.992,-108.457,-11.381,,43.005,,,
03/31/2007,83.0,134.0,0.0,-33.0,,,,-33.0,-18.0,,,-527.0,-8.0,0.0,-8.0,-606.0,444.0,,,,-1050.0,,,,84.0,,,,,,,,3.0,520.0,-118.0,225.0,,,,,414.0,424.0,-10.0,0.0,-1.0,,76.0,,,
06/30/2007,108.0,788.0,0.0,-685.0,,,,-685.0,5.0,,,-2205.0,-12.0,0.0,-12.0,-3373.0,0.0,,,,-3373.0,,,,1170.0,,,,,,,,10.0,2123.0,-125.0,1248.0,,,,,1010.0,1013.0,-3.0,0.0,-10.0,,26.0,,,
09/30/2007,119.0,21.0,0.0,114.0,,,,114.0,-16.0,,,487.0,-10.0,0.0,-10.0,-917.0,0.0,,,,-917.0,,,,1438.0,,,,,,,,-24.0,-686.0,-139.0,-854.0,,,,,205.0,269.0,-64.0,107.0,-5.0,,-80.0,,,
12/31/2007,183.0,-243.0,0.0,627.0,,,,627.0,-201.0,,,-262.0,-5.0,0.0,-5.0,847.0,2534.0,,,,-1687.0,,,,-1207.0,,,,,,,,103.0,130.0,-160.0,272.0,,,,,291.0,325.0,-34.0,-275.0,2.0,,51.0,,,
03/31/2008,-10.0,-813.0,0.0,801.0,,,,801.0,2.0,,,469.0,-4.0,0.0,-4.0,-69.0,380.0,,,,-449.0,,,,517.0,,,,,,,,25.0,-565.0,-201.0,-635.0,,,,,271.0,305.0,-34.0,0.0,0.0,,-106.0,,,
06/30/2008,151.0,-70.0,0.0,211.0,,,,211.0,10.0,,,-311.0,-2.0,0.0,-2.0,-315.0,170.0,,,,-485.0,,,,4.0,,,,,,,,2.0,385.0,-203.0,447.0,,,,,141.0,143.0,-2.0,0.0,0.0,,225.0,,,
09/30/2008,98.0,-548.0,0.0,649.0,,,,649.0,-3.0,,,1.0,-1.0,0.0,-1.0,-229.0,250.0,,,,-479.0,,,,221.0,,,,,,,,10.0,-41.0,-197.0,194.0,,,,,-20.0,0.0,-20.0,0.0,-18.0,,58.0,,,
12/31/2008,144.0,-1684.0,,1805.0,,,81.0,1724.0,5.0,,,112.0,0.0,0.0,0.0,9.0,113.0,,,,-104.0,,,,92.0,,,,,,,,11.0,-367.0,-218.0,-72.0,,,,,-20.0,1.0,-21.0,0.0,-57.0,,-111.0,,,
03/31/2009,31.0,-547.0,3.0,604.0,623.0,,17.0,-36.0,-29.0,-29.0,0.0,-113.0,-1.0,0.0,-1.0,-36.0,15.0,0.0,0.0,15.0,-51.0,0.0,0.0,-51.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,-39.0,0.0,-24.0,0.0,0.0,3.0,-27.0,0.0,0.0,0.0,0.0,-15.0,0.0,-121.0,,,
06/30/2009,58.0,-547.0,3.0,600.0,567.0,,17.0,16.0,2.0,2.0,0.0,86.0,0.0,0.0,0.0,7.0,53.0,0.0,0.0,53.0,-46.0,0.0,0.0,-46.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,-49.0,0.0,-47.0,0.0,0.0,13.0,-60.0,0.0,0.0,0.0,0.0,-2.0,0.0,95.0,,,
09/30/2009,31.0,77.0,5.0,-46.0,-45.0,,18.0,-19.0,-5.0,-5.0,0.0,398.0,1.0,,,188.0,198.0,0.0,0.0,198.0,-10.0,0.0,0.0,-10.0,202.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-167.0,-24.0,-141.0,,,,,0.0,0.0,0.0,0.0,-2.0,0.0,262.0,,,
12/31/2009,45.0,107.0,7.0,-91.0,-88.0,,34.0,-37.0,22.0,22.0,0.0,448.0,0.0,0.0,0.0,46.0,57.0,0.0,0.0,57.0,-11.0,0.0,0.0,-11.0,406.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-103.0,0.0,-101.0,0.0,0.0,0.0,-101.0,0.0,0.0,0.0,0.0,-2.0,0.0,390.0,,,
03/31/2010,21.0,187.0,5.0,-171.0,-138.0,,10.0,-43.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,-50.0,49.0,0.0,0.0,49.0,-99.0,0.0,0.0,-99.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-96.0,0.0,-96.0,0.0,0.0,17.0,-113.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,,,
06/30/2010,-22.0,281.0,4.0,-277.0,-252.0,,10.0,-35.0,-30.0,-30.0,0.0,317.0,0.0,0.0,0.0,24.0,45.0,0.0,0.0,45.0,-21.0,0.0,0.0,-21.0,286.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-939.0,0.0,-1209.0,,,,,296.0,296.0,0.0,0.0,-26.0,0.0,-644.0,,,
09/30/2010,48.0,149.0,3.0,-100.0,-90.0,,10.0,-20.0,-4.0,-4.0,0.0,236.0,0.0,0.0,0.0,13.0,75.0,0.0,0.0,75.0,-62.0,0.0,0.0,-62.0,235.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-351.0,0.0,-350.0,0.0,0.0,0.0,-350.0,-1.0,,,0.0,0.0,0.0,-67.0,,,
12/31/2010,40.0,381.0,2.0,-343.0,-314.0,,12.0,-41.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,94.0,97.0,0.0,0.0,97.0,-3.0,0.0,0.0,-3.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-312.0,0.0,-315.0,0.0,0.0,0.0,-315.0,3.0,3.0,0.0,0.0,0.0,0.0,160.0,,,
03/31/2011,42.0,434.0,2.0,-388.0,-351.0,0.0,10.0,-47.0,-6.0,-6.0,0.0,213.0,0.0,0.0,0.0,14.0,63.0,0.0,0.0,63.0,-49.0,0.0,0.0,-49.0,163.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,-426.0,0.0,-430.0,0.0,0.0,87.0,-517.0,4.0,4.0,0.0,0.0,0.0,0.0,-171.0,,,
06/30/2011,43.0,410.0,2.0,-374.0,-339.0,0.0,10.0,-45.0,5.0,5.0,0.0,159.0,0.0,0.0,0.0,22.0,28.0,0.0,0.0,28.0,-6.0,0.0,0.0,-6.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-114.0,0.0,-118.0,,,,,5.0,5.0,0.0,0.0,-1.0,0.0,88.0,,,
09/30/2011,50.0,-464.0,1.0,522.0,529.0,0.0,13.0,-20.0,-9.0,-9.0,0.0,116.0,0.0,0.0,0.0,10.0,127.0,0.0,0.0,127.0,-117.0,0.0,0.0,-117.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-165.0,0.0,-92.0,0.0,0.0,100.0,-192.0,-74.0,1.0,-75.0,,1.0,0.0,1.0,,,
12/31/2011,39.0,594.0,2.0,-552.0,-82.0,-428.0,12.0,-54.0,-5.0,-5.0,0.0,299.0,0.0,0.0,0.0,140.0,176.0,0.0,0.0,176.0,-36.0,0.0,0.0,-36.0,156.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-321.0,0.0,-263.0,0.0,0.0,5.0,-268.0,-58.0,1.0,-59.0,0.0,0.0,0.0,17.0,,,
03/31/2012,46.0,580.0,2.0,-542.0,-530.0,,12.0,-24.0,6.0,6.0,0.0,348.0,0.0,0.0,0.0,-26.0,47.0,0.0,0.0,47.0,-73.0,0.0,0.0,-73.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,-285.0,0.0,-243.0,0.0,0.0,0.0,-243.0,-41.0,7.0,-48.0,0.0,-1.0,0.0,109.0,,,
06/30/2012,39.0,237.0,1.0,-194.0,4.0,,12.0,-210.0,-5.0,-5.0,0.0,173.0,0.0,0.0,0.0,-58.0,42.0,0.0,0.0,42.0,-100.0,0.0,0.0,-100.0,249.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-219.0,0.0,-137.0,,,,,-83.0,3.0,-86.0,0.0,1.0,0.0,-7.0,,,
09/30/2012,32.0,196.0,2.0,-148.0,-144.0,33.0,10.0,-47.0,-18.0,-18.0,0.0,95.0,0.0,0.0,0.0,48.0,56.0,0.0,0.0,56.0,-8.0,0.0,0.0,-8.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,-129.0,0.0,-9.0,0.0,0.0,656.0,-665.0,-115.0,10.0,-125.0,0.0,-5.0,0.0,-2.0,,,
12/31/2012,47.0,123.0,2.0,-60.0,-67.0,64.0,10.0,-67.0,-18.0,-18.0,0.0,207.0,0.0,0.0,0.0,-278.0,129.0,0.0,0.0,129.0,-407.0,0.0,0.0,-407.0,396.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,-227.0,0.0,-147.0,,,,,-87.0,16.0,-103.0,0.0,7.0,0.0,27.0,,,
03/31/2013,50.0,346.0,2.0,-319.0,-287.0,6.0,7.0,-45.0,21.0,21.0,0.0,117.0,0.0,0.0,0.0,-65.0,60.0,0.0,0.0,60.0,-125.0,0.0,0.0,-125.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,-138.0,0.0,-26.0,0.0,0.0,87.0,-113.0,-116.0,12.0,-128.0,0.0,4.0,0.0,29.0,,,
06/30/2013,36.0,21.0,1.0,18.0,38.0,10.0,8.0,-38.0,-4.0,-4.0,0.0,50.0,0.0,0.0,0.0,-20.0,18.0,0.0,0.0,18.0,-38.0,0.0,0.0,-38.0,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,-139.0,0.0,-21.0,0.0,0.0,28.0,-49.0,-121.0,4.0,-125.0,0.0,3.0,0.0,-53.0,,,
09/30/2013,50.0,-1.0,2.0,45.0,23.0,23.0,9.0,-10.0,4.0,4.0,0.0,265.0,0.0,0.0,0.0,-26.0,39.0,0.0,0.0,39.0,-65.0,0.0,0.0,-65.0,181.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,11.0,0.0,180.0,0.0,0.0,370.0,-190.0,-170.0,6.0,-176.0,0.0,1.0,0.0,326.0,,,
12/31/2013,57.0,-182.0,1.0,229.0,221.0,13.0,8.0,-13.0,9.0,9.0,0.0,-259.0,0.0,0.0,0.0,-555.0,245.0,0.0,0.0,245.0,-800.0,0.0,0.0,-800.0,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,-116.0,0.0,5.0,0.0,0.0,5.0,0.0,-123.0,9.0,-132.0,0.0,2.0,0.0,-318.0,,,
03/31/2014,8.0,70.0,2.0,-56.0,-56.0,0.0,10.0,-10.0,-8.0,-8.0,0.0,260.0,0.0,0.0,0.0,181.0,324.0,0.0,0.0,324.0,-143.0,0.0,0.0,-143.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,-115.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.0,13.0,-137.0,0.0,9.0,0.0,153.0,,,
06/30/2014,39.0,212.0,,-158.0,-158.0,-11.0,8.0,3.0,-15.0,-15.0,0.0,-371.0,0.0,0.0,0.0,-630.0,142.0,0.0,0.0,142.0,-772.0,0.0,0.0,-772.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,-4.0,0.0,-333.0,,,
09/30/2014,42.0,114.0,,-84.0,-52.0,-1.0,11.0,-42.0,12.0,12.0,0.0,-289.0,0.0,0.0,0.0,-761.0,656.0,0.0,0.0,656.0,-1417.0,0.0,0.0,-1417.0,360.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,576.0,0.0,566.0,0.0,0.0,595.0,-29.0,8.0,8.0,0.0,0.0,2.0,0.0,329.0,,,
12/31/2014,56.0,38.0,,17.0,-49.0,72.0,19.0,-25.0,1.0,1.0,0.0,-104.0,0.0,0.0,0.0,-473.0,401.0,0.0,0.0,401.0,-874.0,0.0,0.0,-874.0,238.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,203.0,0.0,191.0,,,,,14.0,14.0,0.0,0.0,-2.0,0.0,155.0,,,
03/31/2015,-12.0,15.0,,47.0,2.0,62.0,7.0,-24.0,-74.0,-74.0,0.0,-488.0,0.0,0.0,0.0,-714.0,93.0,0.0,0.0,93.0,-807.0,0.0,0.0,-807.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,312.0,0.0,293.0,0.0,0.0,304.0,-11.0,17.0,17.0,0.0,0.0,2.0,-19.0,-207.0,,,
06/30/2015,84.0,62.0,,21.0,17.0,15.0,8.0,-19.0,1.0,1.0,0.0,-332.0,0.0,0.0,0.0,-841.0,90.0,0.0,0.0,90.0,-931.0,0.0,0.0,-931.0,495.0,495.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,46.0,0.0,103.0,0.0,0.0,161.0,-58.0,-58.0,35.0,-93.0,0.0,1.0,7.0,-195.0,,,
09/30/2015,73.0,-37.0,,114.0,141.0,4.0,5.0,-36.0,-4.0,-4.0,0.0,-504.0,0.0,0.0,0.0,-818.0,177.0,0.0,0.0,177.0,-995.0,0.0,0.0,-995.0,299.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,401.0,0.0,526.0,0.0,0.0,621.0,-95.0,-125.0,9.0,-134.0,0.0,0.0,0.0,-30.0,,,
12/31/2015,125.0,-227.0,,327.0,253.0,79.0,6.0,-11.0,25.0,25.0,0.0,1739.0,0.0,0.0,0.0,-648.0,28.0,0.0,0.0,28.0,-676.0,0.0,0.0,-676.0,2354.0,2354.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,-1623.0,0.0,-1352.0,,,,,-271.0,28.0,-299.0,0.0,0.0,-2.0,239.0,,,
03/31/2016,50.0,-80.0,,152.0,171.0,-14.0,7.0,-12.0,-22.0,-22.0,0.0,488.0,0.0,0.0,0.0,-122.0,32.0,0.0,0.0,32.0,-154.0,0.0,0.0,-154.0,596.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-657.0,0.0,-367.0,0.0,0.0,1.0,-368.0,-293.0,4.0,-297.0,0.0,3.0,0.0,-119.0,,,
06/30/2016,73.0,106.0,,-53.0,-9.0,-23.0,4.0,-25.0,20.0,20.0,0.0,712.0,0.0,0.0,0.0,287.0,447.0,0.0,0.0,447.0,-160.0,0.0,0.0,-160.0,306.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,-267.0,0.0,-104.0,0.0,0.0,0.0,-104.0,-167.0,13.0,-180.0,0.0,4.0,-1.0,517.0,,,
09/30/2016,52.0,141.0,,-101.0,-88.0,-21.0,3.0,5.0,12.0,12.0,0.0,877.0,0.0,0.0,0.0,602.0,635.0,0.0,0.0,635.0,-33.0,0.0,0.0,-33.0,252.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,-786.0,0.0,-797.0,0.0,0.0,0.0,-797.0,11.0,11.0,0.0,0.0,0.0,1.0,144.0,,,
