Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1997,3186,,,-2686.0,,,500.0,,-160.0,,,,,,340.0,-44.0,,64.0,,,,-20.0,296.0,-104.0,192.0,0.0,,,192.0,0.0,192.0,0.0,,192.0,192.0,,576.190002,0.335,0.335,0.29,583.713989,0.33,0.33,0.285,
12/31/1997,5951,,,-2799.0,,,3152.0,,-2864.0,,,,,,288.0,-256.0,,9.0,,,,247.0,32.0,2.0,38.0,0.0,,,34.0,0.0,38.0,0.0,,38.0,38.0,,577.197998,0.07,0.07,0.23,581.039978,0.065,0.065,0.23,
03/31/1998,4361,,,-3993.0,,,368.0,,-265.0,,,,,,103.0,245.0,,54.0,,,,-299.0,348.0,-111.0,237.0,0.0,,,237.0,-54.0,183.0,0.0,,183.0,183.0,,577.692016,0.315,0.315,0.13,578.97998,0.315,0.315,0.13,
06/30/1998,4538,,,-3871.0,,,667.0,,-251.0,,,,,,416.0,-12.0,,49.0,,,,-37.0,404.0,-84.0,320.0,0.0,,,320.0,-158.0,162.0,0.0,,162.0,162.0,,579.182007,0.28,0.28,0.28,580.526001,0.28,0.28,0.28,
09/30/1998,4582,,,-4108.0,,,474.0,,-274.0,,,,,,200.0,-48.0,,63.0,,,,-15.0,152.0,-31.0,121.0,0.0,,,121.0,-70.0,51.0,0.0,,51.0,51.0,,582.640015,0.09,0.09,0.125,583.606018,0.085,0.085,0.12,
12/31/1998,4323,,,-3953.0,,,370.0,,-233.0,,,,,,137.0,-340.0,,84.0,,,,256.0,-203.0,84.0,-119.0,0.0,,,-119.0,33.0,-86.0,0.0,,-86.0,-86.0,,603.494019,-0.145,-0.145,0.02,604.367981,-0.145,-0.145,0.02,
03/31/1999,3927,,,-3642.0,,,285.0,,-242.0,,,,,,43.0,285.0,,75.0,,,,-360.0,328.0,-64.0,264.0,0.0,,,264.0,-145.0,119.0,0.0,,119.0,119.0,,618.057984,0.19,0.19,-0.02,618.392028,0.19,0.19,-0.02,
06/30/1999,4444,,,-3891.0,,,553.0,,-254.0,,,,,,299.0,29.0,,71.0,,,,-100.0,328.0,-82.0,246.0,0.0,,,246.0,-112.0,134.0,0.0,,134.0,134.0,,618.107972,0.215,0.215,0.195,618.924012,0.215,0.215,0.195,
09/30/1999,5457,,,-4840.0,,,617.0,,-82.0,,,,,,535.0,-46.0,,72.0,,,,-26.0,489.0,-111.0,378.0,0.0,,,378.0,-148.0,230.0,0.0,,230.0,230.0,,618.783996,0.37,0.37,0.285,619.619996,0.37,0.37,0.285,
12/31/1999,7250,,,-5640.0,,,1610.0,,-1305.0,,,,,,305.0,-67.0,,70.0,,,,-3.0,238.0,-67.0,171.0,0.0,,,171.0,-42.0,129.0,0.0,,129.0,129.0,,622.578002,0.275,0.275,0.235,623.106018,0.275,0.275,0.235,
03/31/2000,6700,,,-6045.0,,,655.0,,-246.0,,,,,,409.0,45.0,,71.0,,,,-116.0,454.0,-145.0,309.0,0.0,,,309.0,-55.0,254.0,0.0,0.0,254.0,254.0,,624.255982,0.405,0.405,0.32,624.570008,0.405,0.405,0.32,
06/30/2000,8680,,,-7612.0,,,1068.0,,-238.0,,,,,,830.0,-38.0,,68.0,,,,-30.0,792.0,-222.0,570.0,0.0,,,570.0,-203.0,367.0,0.0,,367.0,367.0,,624.466004,0.59,0.59,0.59,624.862,0.59,0.59,0.59,
09/30/2000,9169,,,-8226.0,,,943.0,,-273.0,,,,,,670.0,6.0,,53.0,,,,-59.0,676.0,-440.0,236.0,0.0,,,236.0,-115.0,121.0,0.0,,121.0,121.0,,623.69397,0.19,0.19,0.57,624.187988,0.19,0.19,0.57,
12/31/2000,8899,,,-7068.0,,,1831.0,,-1464.0,,,,,,367.0,-880.0,,44.0,,,,836.0,-513.0,325.0,-188.0,136.0,,,-324.0,-125.0,-449.0,-2.0,,-451.0,-451.0,,619.859986,-0.5,-0.505,0.625,619.859986,-0.5,-0.505,0.625,
03/31/2001,7569,,,-6524.0,,,1045.0,,-252.0,,,,,,793.0,73.0,42.0,42.0,,,,-115.0,866.0,-258.0,608.0,-8.0,,,616.0,-107.0,509.0,-2.0,0.0,507.0,507.0,-28.0,617.506,0.81,0.795,0.765,618.146,0.81,0.795,0.765,
06/30/2001,7981,,,-6500.0,,,1481.0,,-283.0,,,,,,1198.0,13.0,42.0,42.0,,,,-55.0,1211.0,-311.0,900.0,28.0,,,872.0,-320.0,552.0,0.0,0.0,552.0,552.0,7.0,618.202,0.895,0.94,0.94,619.254,0.895,0.94,0.94,
09/30/2001,7362,,,-6360.0,,,1002.0,,-259.0,,,,,,743.0,-216.0,50.0,50.0,,,,166.0,527.0,-120.0,407.0,14.0,,,393.0,-223.0,170.0,0.0,0.0,170.0,170.0,126.0,618.618,0.315,0.295,0.5,619.846,0.31,0.295,0.495,
12/31/2001,6803,,,-5124.0,,,1679.0,,-1434.0,,,,,,245.0,-68.0,,39.0,,,,29.0,177.0,-70.0,107.0,1127.0,,,-1020.0,-54.0,-1074.0,-2.0,-15.0,-1091.0,-1091.0,,618.856,-1.45,0.085,0.16,619.362,-1.45,0.085,0.16,
03/31/2002,5423,,,-5063.0,,,360.0,0.0,-237.0,187.0,,,,50.0,123.0,-19.0,64.0,64.0,,,,-45.0,104.0,-39.0,65.0,-13.0,,,78.0,-11.0,67.0,0.0,0.0,67.0,67.0,,619.136,0.11,0.09,0.045,619.672,0.11,0.09,0.045,
06/30/2002,6995,,,-6287.0,,,708.0,,-295.0,,,,,,413.0,-73.0,76.0,76.0,,,,-3.0,340.0,-90.0,250.0,0.0,,,250.0,-82.0,168.0,0.0,0.0,168.0,168.0,25.0,619.614,0.27,0.27,0.31,620.142,0.27,0.27,0.31,
09/30/2002,7283,,,-6705.0,,,578.0,,-300.0,,,,,,278.0,-5.0,75.0,75.0,,,,-70.0,273.0,-154.0,119.0,-13.0,,,132.0,-45.0,87.0,0.0,0.0,87.0,87.0,62.0,619.748,0.14,0.12,0.385,619.94,0.14,0.12,0.22,
12/31/2002,8530,,,-6802.0,,,1728.0,,-1430.0,,,,,,298.0,31.0,53.0,53.0,,,,-84.0,329.0,-100.0,229.0,0.0,,,229.0,-35.0,194.0,0.0,0.0,194.0,194.0,,619.828,0.31,0.31,0.31,619.89,0.31,0.31,0.31,
03/31/2003,9016,,,-8201.0,,,815.0,,-335.0,,,,,,480.0,1.0,66.0,66.0,,,,-67.0,481.0,-166.0,315.0,-22.0,,,337.0,-30.0,307.0,0.0,0.0,307.0,307.0,-4.0,619.83,0.495,0.46,0.46,619.922,0.495,0.46,0.46,
06/30/2003,8553,,,-7818.0,,,735.0,,-271.0,,,,,,464.0,10.0,52.0,52.0,,,,-62.0,474.0,-134.0,340.0,-13.0,,,353.0,-105.0,248.0,0.0,0.0,248.0,248.0,4.0,620.074,0.4,0.38,0.385,620.232,0.4,0.38,0.385,
09/30/2003,9149,,,-8287.0,,,862.0,,-279.0,,,,,,583.0,20.0,55.0,55.0,,,,-75.0,603.0,-178.0,425.0,12.0,,,413.0,-132.0,281.0,0.0,0.0,281.0,281.0,1.0,620.422,0.45,0.47,0.47,620.808,0.45,0.47,0.47,
12/31/2003,9960,,,-9316.0,,,644.0,,-358.0,,,,,,286.0,54.0,13.0,13.0,,,,-67.0,340.0,-106.0,234.0,-286.0,,,520.0,-35.0,485.0,0.0,0.0,485.0,485.0,-15.0,620.694,0.785,0.32,0.295,621.638,0.785,0.32,0.295,
03/31/2004,9600,,,-8825.0,,,775.0,,-338.0,,,,,,437.0,3.0,38.0,38.0,,,,-41.0,440.0,-165.0,275.0,0.0,,,275.0,-17.0,258.0,0.0,0.0,258.0,258.0,,620.392,0.415,0.415,0.415,623.37,0.415,0.415,0.415,
06/30/2004,11376,,,-10230.0,,,1146.0,,-395.0,,,,,,751.0,27.0,51.0,51.0,,,,-78.0,778.0,-214.0,564.0,-4.0,,,568.0,-216.0,352.0,0.0,0.0,352.0,352.0,-1.0,689.262,0.51,0.505,0.505,692.244,0.51,0.505,0.505,
09/30/2004,11112,,,-10244.0,,,868.0,,-393.0,,,,,,475.0,28.0,40.0,40.0,,,,-68.0,503.0,-133.0,370.0,0.0,,,370.0,-148.0,222.0,0.0,0.0,222.0,222.0,74.0,690.074,0.32,0.32,0.425,693.938,0.32,0.32,0.425,
12/31/2004,14306,,,-13033.0,,,1273.0,,-452.0,,,,,,821.0,-62.0,,32.0,,,,30.0,759.0,-215.0,604.0,,,,544.0,-147.0,429.0,0.0,0.0,429.0,429.0,,691.02,0.62,0.62,0.6,694.84,0.615,0.615,0.595,
03/31/2005,11848,,,-8176.0,,,3672.0,,-3126.0,,,,,,546.0,46.0,32.0,32.0,,0.0,,-78.0,592.0,-199.0,393.0,0.0,,,393.0,-69.0,324.0,0.0,0.0,324.0,324.0,28.497,692.012,0.47,0.47,0.51,697.29,0.465,0.465,0.505,
06/30/2005,14899,,,-9717.0,,,5182.0,,-3746.0,,,,,,1436.0,-120.0,35.0,,,,,85.0,1316.0,-334.0,982.0,-5.0,,,987.0,-314.0,673.0,0.0,0.0,673.0,673.0,66.66,694.15,0.97,0.965,1.06,699.836,0.96,0.955,1.05,
09/30/2005,15942,,,-11272.0,,,4670.0,,-3426.0,,,,,,1244.0,-39.0,31.0,,,,,8.0,1205.0,-458.0,747.0,-20.0,,,767.0,3.0,770.0,0.0,0.0,770.0,770.0,19.55,730.274,1.055,1.025,1.05,737.128,1.045,1.015,1.04,
12/31/2005,15911,,,-10487.0,,,5424.0,,-3438.0,,,,,,1986.0,-3.0,250.0,403.0,-55.0,-17.0,,-328.0,1983.0,-723.0,1260.0,-1.0,,,1261.0,4.0,1265.0,0.0,0.0,1265.0,1265.0,,731.588,1.725,1.72,1.795,738.394,1.715,1.705,1.78,
03/31/2006,15175,,,-10307.0,,,4868.0,,-3591.0,,,,,,1277.0,176.0,23.0,23.0,,0.0,,-199.0,1453.0,-685.0,768.0,-13.0,,,781.0,3.0,784.0,0.0,0.0,784.0,784.0,-52.15,730.0,1.075,1.055,0.985,736.0,1.065,1.045,0.975,
06/30/2006,16919,,,-12135.0,,,4784.0,0.0,-2124.0,308.0,,,,1816.0,2660.0,103.0,-9.0,,,,-97.0,3.0,2763.0,-1281.0,1482.0,-264.0,,,1746.0,2.0,1748.0,0.0,0.0,1748.0,1748.0,,721.72,2.42,2.055,1.73,728.32,2.4,2.035,1.71,
09/30/2006,15074,,,-11774.0,,,3300.0,,-619.0,,,,,,2681.0,270.0,-7.0,,,,,-263.0,2951.0,-1330.0,1621.0,0.0,,,1621.0,2.0,1623.0,0.0,0.0,1623.0,1623.0,-86.8,712.66,2.275,2.275,2.155,718.736,2.26,2.26,2.14,
12/31/2006,12567,,,-10298.0,,,2269.0,,-655.0,333.0,,,,322.0,1614.0,188.0,-44.0,,,,-93.0,-51.0,1802.0,-726.0,1076.0,0.0,,,1076.0,3.0,1079.0,0.0,0.0,1079.0,1079.0,,699.208,1.545,1.545,1.245,704.766,1.53,1.53,1.23,
03/31/2007,11651,,,-10080.0,,,1571.0,0.0,-409.0,287.0,,,,122.0,1162.0,171.0,-19.0,0.0,,0.0,-107.0,-45.0,1333.0,-618.0,715.0,0.0,,,715.0,2.0,717.0,0.0,0.0,717.0,717.0,,688.0,1.04,1.04,1.015,694.0,1.035,1.035,1.01,
06/30/2007,15429,,,-12298.0,,,3131.0,0.0,-526.0,327.0,,,,199.0,2605.0,188.0,-20.0,,,,-117.0,-51.0,2793.0,-1234.0,1559.0,8.0,,,1551.0,-1.0,1550.0,0.0,0.0,1550.0,1550.0,,683.0,2.27,2.26,2.25,689.0,2.25,2.24,2.23,
09/30/2007,15533,,,-13557.0,,,1976.0,0.0,-426.0,336.0,,,,90.0,1550.0,197.0,-19.0,,,,-170.0,-8.0,1747.0,-726.0,1021.0,0.0,,,1021.0,0.0,1021.0,0.0,0.0,1021.0,1021.0,,680.0,1.5,1.5,1.49,685.0,1.49,1.49,1.48,
12/31/2007,16999,,,-15539.0,,,1460.0,0.0,-569.0,377.0,,,,192.0,891.0,100.0,17.0,,,,-151.0,34.0,991.0,-323.0,668.0,0.0,,,668.0,0.0,668.0,0.0,0.0,668.0,668.0,,708.0,0.95,0.95,0.71,713.0,0.94,0.94,0.7,
03/31/2008,16606,,,-15165.0,,,1441.0,0.0,-429.0,300.0,,,,129.0,1012.0,287.0,-9.0,,,,-209.0,-69.0,1299.0,-568.0,731.0,0.0,,,731.0,0.0,731.0,0.0,0.0,731.0,731.0,,713.0,1.03,1.03,1.03,717.0,1.02,1.02,1.02,
06/30/2008,20594,,,-18704.0,,,1890.0,0.0,-618.0,361.0,,,,257.0,1272.0,302.0,,,,,-256.0,-46.0,1574.0,-806.0,768.0,-6.0,,,774.0,0.0,774.0,0.0,0.0,774.0,774.0,,710.0,1.09,1.08,1.08,714.0,1.08,1.07,1.07,
09/30/2008,21743,,,-17932.0,,,3811.0,0.0,-457.0,349.0,,,,108.0,3354.0,239.0,,,,,-270.0,31.0,3593.0,-1601.0,1992.0,-72.0,,,2064.0,,2064.0,0.0,0.0,2064.0,2064.0,-75.4,706.849315,2.92,2.82,2.714,711.0,2.9,2.8,2.694,
12/31/2008,13004,,,-11057.0,,,1947.0,0.0,-602.0,374.0,,,,228.0,1345.0,-976.0,,,,,-30.0,1006.0,369.0,-418.0,-49.0,-8.0,,,-41.0,,-41.0,0.0,0.0,-41.0,-41.0,890.9,707.0,-0.06,-0.07,1.318104,707.0,-0.06,-0.07,1.318104,
03/31/2009,9054,8982.0,72.0,-7452.0,7452.0,660.0,1602.0,0.0,-1111.0,291.0,,,,160.0,491.0,31.0,,,,,-47.0,16.0,522.0,-257.0,265.0,-17.0,-17.0,0.0,282.0,0.0,282.0,0.0,0.0,282.0,171.0,-94.0,709.0,0.4,0.37,0.241185,712.0,0.4,0.37,0.237978,
06/30/2009,11838,11792.0,46.0,-9870.0,9870.0,683.0,1968.0,0.0,-988.0,321.0,,,,-16.0,980.0,50.0,,,,,-62.0,12.0,1030.0,-702.0,328.0,-85.0,-85.0,0.0,413.0,0.0,413.0,0.0,0.0,413.0,204.5,-123.5,709.0,0.58,0.46,0.288434,711.0,0.58,0.46,0.286301,
09/30/2009,13139,13077.0,62.0,-11096.0,11096.0,627.0,2043.0,0.0,-1101.0,323.0,,,,151.0,942.0,40.0,,,,,-75.0,35.0,982.0,-590.0,392.0,-21.0,-21.0,0.0,413.0,0.0,413.0,0.0,0.0,413.0,406.3,14.3,709.0,0.58,0.55,0.573061,711.0,0.58,0.55,0.570113,
12/31/2009,14605,14522.0,83.0,-12551.0,12551.0,634.0,2054.0,0.0,-1175.0,328.0,,,,213.0,879.0,28.0,,,,,-114.0,86.0,907.0,-708.0,199.0,-156.0,-156.0,0.0,355.0,0.0,355.0,0.0,0.0,355.0,221.25,22.25,709.0,0.5,0.28,0.312059,711.0,0.5,0.28,0.311294,
03/31/2010,14535,14482.0,53.0,-12859.0,12859.0,649.0,1676.0,0.0,-781.0,298.0,,,,-166.0,895.0,75.0,,,,,-105.0,30.0,970.0,-513.0,457.0,0.0,0.0,0.0,457.0,0.0,457.0,0.0,0.0,457.0,197.0,-260.0,709.0,0.64,0.64,0.277856,711.0,0.64,0.64,0.274318,
06/30/2010,2810,2793.0,17.0,-1265.0,1265.0,416.0,1545.0,0.0,-706.0,118.0,,,,172.0,839.0,-24.0,,,,,-83.0,107.0,815.0,-441.0,374.0,-335.0,-335.0,0.0,709.0,0.0,709.0,0.0,0.0,709.0,486.15,112.15,710.0,1.0,0.53,0.684718,712.0,1.0,0.53,0.684718,
09/30/2010,2878,2839.0,39.0,-1164.0,1164.0,530.0,1714.0,0.0,-741.0,108.0,,108.0,,103.0,973.0,61.0,,,,,-77.0,16.0,1034.0,-567.0,467.0,-229.0,-229.0,0.0,696.0,0.0,696.0,0.0,0.0,696.0,462.45,-4.55,710.0,0.98,0.66,0.651338,712.0,0.98,0.66,0.651338,
12/31/2010,3383,3347.0,36.0,-1442.0,1442.0,680.0,1941.0,0.0,-1177.0,163.0,,163.0,,334.0,764.0,77.0,,,,,-99.0,22.0,841.0,-417.0,424.0,-282.0,-282.0,0.0,706.0,0.0,706.0,0.0,0.0,706.0,515.4,91.4,710.0,0.99,0.6,0.725915,713.0,0.99,0.6,0.725915,
03/31/2011,3687,3656.0,31.0,-1460.0,1460.0,635.0,2227.0,0.0,-1055.0,137.0,,137.0,,283.0,1172.0,-181.0,,,,,-117.0,298.0,991.0,-536.0,455.0,-541.0,-541.0,0.0,996.0,0.0,996.0,0.0,0.0,996.0,633.1,178.1,711.0,1.4,0.64,0.890436,715.0,1.39,0.64,0.889091,
06/30/2011,3700,3680.0,20.0,-1738.0,1738.0,564.0,1962.0,0.0,-1154.0,130.0,,,,460.0,808.0,107.0,,,,,-120.0,13.0,915.0,-617.0,298.0,-698.0,-698.0,0.0,996.0,0.0,996.0,0.0,0.0,996.0,468.35,170.35,713.0,1.4,0.42,0.656872,717.0,1.39,0.42,0.656872,
09/30/2011,3663,3633.0,30.0,-1657.0,1657.0,517.0,2006.0,0.0,-796.0,104.0,,104.0,,175.0,1210.0,93.0,,,,,-123.0,30.0,1303.0,-898.0,405.0,0.0,0.0,0.0,405.0,0.0,405.0,0.0,0.0,405.0,419.7,14.7,711.0,0.57,0.57,0.590295,714.0,0.57,0.57,0.590295,
