Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/27/2009,2910.179,589.874,429.16,160.714,351.266,351.266,0.0,162.501,99.664,7.118,55.719,0.0,140.846,5.581,,102.673,,118.68,1244.487,911.869,1066.827,-154.958,150.901,,138.239,12.662,602.922,294.962,294.962,0.0,25.0,180.287,1665.692,,219.302,55.631,57.336,,106.335,76.639,0.0,,,,76.639,70.187,,2.604,22.744,366.128,156.935,156.935,,,,102.225,60.88,,,,38.741,259.16,625.288,0.0,1576.217,0.085,1576.132,0.0,706.399,2.275,2284.891,0.0,2284.891,2910.179,
09/26/2009,3095.072,523.661,364.814,158.847,348.965,348.965,0.0,178.032,107.966,10.627,59.439,0.0,152.734,6.28,0.0,117.449,,122.365,1203.392,962.732,1152.639,-189.907,314.989,,306.415,8.574,613.959,284.005,284.005,0.0,25.0,187.505,1891.68,,232.383,72.338,17.555,,142.49,29.169,0.0,,,,29.169,85.107,,1.829,21.033,346.659,163.32,163.32,,,,125.919,76.932,,,,47.158,289.239,635.898,0.0,1632.996,0.085,1632.911,0.0,859.743,-33.565,2459.174,0.0,2459.174,3095.072,
12/26/2009,3349.512,784.735,664.499,120.236,226.826,226.826,0.0,152.821,100.587,6.248,45.986,0.0,186.889,33.095,0.0,130.515,,124.206,1351.271,988.782,1214.572,-225.79,380.139,,329.608,50.531,629.32,286.763,286.515,0.248,25.0,187.042,1998.241,,277.761,75.744,8.74,0.0,193.277,28.559,0.0,0.0,0.0,,28.559,88.607,0.0,0.905,26.699,394.927,146.399,146.397,0.002,0.002,,155.399,92.799,0.0,0.0,0.0,61.695,301.798,696.725,0.0,1658.176,0.085,1658.091,0.0,1001.363,-6.752,2652.787,0.0,2652.787,3349.512,
03/27/2010,3473.514,714.174,420.886,293.288,269.222,269.222,0.0,172.119,101.45,5.282,65.387,0.0,249.018,31.852,0.794,150.031,0.0,170.127,1404.533,1030.219,1284.935,-254.716,331.497,,305.802,25.695,707.265,286.515,286.515,0.0,25.0,244.925,2068.981,,233.228,76.029,15.729,,141.47,26.355,0.0,,,,26.355,62.891,,1.286,40.353,322.474,136.129,136.129,,,,168.056,97.836,,,,68.934,304.185,626.659,0.0,1674.592,0.085,1674.507,0.0,1173.708,-1.445,2846.855,0.0,2846.855,3473.514,
06/26/2010,3631.315,796.475,510.482,285.993,256.344,256.344,0.0,194.308,105.949,5.858,82.501,0.0,368.743,31.733,1.236,157.778,0.0,276.405,1615.87,1094.877,1381.962,-287.085,164.017,,164.017,0.0,756.551,286.515,286.515,0.0,25.0,286.022,2015.445,,280.709,68.268,28.552,,183.889,24.465,0.0,0.0,0.0,,24.465,20.045,,1.608,17.98,325.219,114.168,114.168,0.0,0.0,,179.682,101.757,,,,76.317,293.85,619.069,0.0,1694.693,0.086,1694.607,0.0,1332.75,-15.197,3012.246,0.0,3012.246,3631.315,
09/25/2010,4201.771,833.416,621.216,212.2,316.172,316.172,0.0,184.006,103.953,22.536,57.517,0.0,281.247,42.64,0.0,257.683,,209.608,1614.841,1244.598,1573.269,-328.671,163.546,,163.546,0.0,1178.786,433.288,433.288,0.0,25.0,462.815,2586.93,,371.579,71.135,17.612,,282.832,26.639,0.0,,,,26.639,59.56,,3.739,16.619,457.778,223.756,223.756,,,,218.891,128.664,,,,86.488,442.647,900.425,0.0,1820.354,0.086,1820.268,0.0,1509.619,-28.627,3301.346,0.0,3301.346,4201.771,
12/31/2010,4380.403,933.578,765.689,167.889,305.537,305.537,0.0,195.863,119.462,21.528,54.873,0.0,149.482,46.016,0.88,259.236,,82.092,1584.46,1430.789,1794.094,-363.305,180.271,,180.271,,1184.883,433.662,433.288,0.374,,491.105,2795.943,,343.414,82.312,16.831,0.0,244.271,26.587,0.0,0.213,0.213,,26.374,99.676,0.0,1.038,61.962,469.677,210.804,209.281,1.523,1.523,,244.977,132.951,0.0,0.0,0.0,110.988,455.781,925.458,0.0,1815.506,0.086,1815.42,0.0,1665.564,-26.125,3454.945,0.0,3454.945,4380.403,
03/31/2011,4433.981,555.51,355.725,199.785,362.695,362.695,0.0,271.215,144.605,27.466,99.144,0.0,204.835,56.308,0.0,265.591,0.0,142.212,1394.255,1549.529,1959.151,-409.622,157.442,,157.442,,1332.755,458.808,458.808,0.0,,608.356,3039.726,,356.502,99.398,28.148,,228.956,28.169,0.0,,,,28.169,85.218,,2.146,39.686,469.889,103.531,103.531,,,,294.712,155.57,,,,136.996,398.243,868.132,0.0,1834.6,0.086,1834.514,0.0,1781.532,-50.283,3565.849,0.0,3565.849,4433.981,
06/30/2011,4939.232,464.443,357.477,106.966,541.977,541.977,0.0,322.995,155.248,30.499,137.248,0.0,506.816,64.792,0.0,268.243,0.0,417.26,1836.231,1727.993,2190.934,-462.941,50.996,,50.996,,1324.012,458.808,458.808,0.0,,596.961,3103.001,,468.618,189.875,36.493,,242.25,28.334,0.0,,,,28.334,94.917,,1.918,10.479,591.869,332.492,332.492,,,,333.333,176.644,,,,154.771,665.825,1257.694,0.0,1878.515,0.086,1878.429,0.0,1842.67,-39.647,3681.538,0.0,3681.538,4939.232,
09/30/2011,5723.312,762.91,678.56,84.35,481.978,481.978,0.0,432.887,173.79,27.128,231.969,0.0,752.693,55.744,0.408,278.772,,613.312,2430.468,1840.295,2350.583,-510.288,31.859,,31.859,,1420.69,458.808,458.808,0.0,,682.702,3292.844,,476.306,170.904,33.411,,271.991,25.597,0.0,,,,25.597,245.098,,1.085,212.737,747.001,582.744,582.744,,,,367.783,185.16,,,,181.538,950.527,1697.528,0.0,1965.926,0.086,1965.84,0.0,2039.183,20.675,4025.784,0.0,4025.784,5723.312,
12/31/2011,5777.614,671.765,605.619,66.146,310.568,310.568,0.0,475.867,169.924,28.817,277.126,0.0,1155.061,151.63,0.0,340.274,,898.614,2613.261,1815.958,2433.745,-617.787,116.192,,116.192,,1232.203,68.299,65.444,2.855,,823.63,3164.353,,592.648,176.448,9.541,0.0,406.659,44.505,0.0,0.379,0.379,,44.126,336.571,0.0,7.07,257.304,973.724,619.143,617.082,2.061,2.061,,540.884,167.378,0.0,0.0,0.0,366.436,1160.027,2133.751,0.0,2022.829,0.086,2022.743,0.0,1626.071,-5.037,3643.863,0.0,3643.863,5777.614,
03/31/2012,5773.512,663.587,610.48,53.107,315.915,315.915,0.0,582.607,53.509,21.208,507.89,0.0,1338.294,54.533,0.0,343.174,0.0,1238.656,2900.403,1540.953,2218.005,-677.052,107.481,,86.131,21.35,1224.675,65.444,65.444,0.0,,816.057,2873.109,,668.528,218.216,15.979,,434.333,58.238,0.0,,,,58.238,444.267,,3.179,254.451,1171.033,806.07,806.07,,,,587.413,177.439,,,,406.795,1393.483,2564.516,0.0,2043.233,0.087,2043.146,0.0,1176.655,-10.892,3208.996,0.0,3208.996,5773.512,
06/30/2012,5487.334,743.693,630.24,113.453,143.67,143.67,0.0,580.737,43.514,16.205,521.018,0.0,996.324,43.121,0.0,341.012,0.0,913.516,2464.424,1567.367,2289.789,-722.422,21.373,,0.0,21.373,1434.17,65.444,65.444,0.0,,1027.714,3022.91,,680.546,194.554,9.175,,476.817,47.768,0.0,,,,47.768,233.951,,6.927,25.455,962.265,471.083,471.083,,,,692.547,185.324,,,,500.296,1163.63,2125.895,0.0,2079.278,0.087,2079.191,0.0,1287.638,-5.477,3361.439,0.0,3361.439,5487.334,
09/30/2012,5981.729,716.994,614.699,102.295,485.048,467.64,17.408,537.567,51.949,7.244,478.374,0.0,970.427,36.313,,328.263,,893.911,2710.036,1549.689,2326.733,-777.044,0.0,,0.0,,1722.004,65.444,65.444,0.0,,1328.297,3271.693,,817.882,235.744,6.982,,575.156,61.398,0.0,,,,61.398,260.547,,3.586,249.586,1139.827,468.294,468.294,,,,915.454,213.407,,,,698.461,1383.748,2523.575,0.0,2084.344,0.087,2084.257,0.0,1375.555,-1.745,3458.154,0.0,3458.154,5981.729,
12/31/2012,6348.692,1003.872,901.294,102.578,553.567,553.567,,434.921,49.631,14.868,370.422,0.0,839.964,207.368,0.0,317.473,,581.296,2832.324,1525.382,2328.883,-803.501,0.0,,,,1990.986,69.179,65.444,3.735,,1604.334,3516.368,,910.137,350.23,5.474,0.0,554.433,62.349,0.0,0.344,0.344,,62.005,128.888,0.0,2.576,121.007,1101.374,500.223,498.612,1.611,1.611,,1141.569,212.835,0.0,0.0,0.0,926.158,1641.792,2743.166,0.0,2065.614,0.087,2065.527,0.0,1529.733,10.179,3605.526,0.0,3605.526,6348.692,
03/31/2013,6294.425,1011.746,842.753,168.993,279.131,279.131,0.0,388.509,42.824,18.612,327.073,0.0,1430.54,42.853,,321.42,0.0,1342.781,3109.926,1553.205,2400.138,-846.933,0.0,,,,1631.294,68.833,68.833,0.0,,1241.041,3184.499,,641.59,209.019,2.068,,430.503,61.106,0.0,,,,61.106,830.745,,3.509,823.231,1533.441,501.111,501.111,,,,585.891,228.779,,,,353.603,1087.002,2620.443,0.0,2094.192,0.088,2094.104,0.0,1588.875,-9.085,3673.982,0.0,3673.982,6294.425,
06/30/2013,6868.126,1285.272,928.657,356.615,192.58,192.58,0.0,334.261,44.402,11.672,278.187,0.0,1789.166,31.099,,332.688,0.0,1726.11,3601.279,1560.908,2413.671,-852.763,0.0,,,0.0,1705.939,118.169,74.93,43.239,,1255.082,3266.847,,614.1,217.587,4.749,,391.764,61.194,0.0,,,,61.194,1179.501,,3.556,1173.06,1854.795,194.57,194.57,,,,662.023,248.178,,,,410.289,856.593,2711.388,0.0,2555.97,0.098,2555.872,0.0,1622.473,-21.705,4156.738,0.0,4156.738,6868.126,
09/30/2013,6862.71,1531.884,1192.648,339.236,147.741,147.741,0.0,311.7,35.629,10.837,265.234,0.0,1605.241,27.794,,324.275,0.0,1549.8,3596.566,1397.784,2278.338,-880.554,0.0,,0.0,,1868.36,201.634,84.985,116.649,,1342.451,3266.144,,555.719,184.837,6.337,,364.545,60.329,0.0,,,,60.329,1020.138,,7.289,1014.196,1636.186,168.885,168.885,,,,638.264,214.262,,,,416.713,807.149,2443.335,0.0,2629.236,0.099,2629.137,0.0,1817.511,-27.372,4419.375,0.0,4419.375,6862.71,
12/31/2013,6883.502,1764.174,1325.072,439.102,136.383,136.383,0.0,388.951,36.141,11.874,340.936,0.0,1503.256,24.572,0.282,296.603,,1406.789,3792.764,1385.084,2325.814,-940.73,0.0,,,0.0,1705.654,202.401,84.985,117.416,,1206.368,3090.738,,588.117,261.333,6.707,,320.077,60.543,0.0,0.362,0.362,,60.181,939.401,,8.108,930.112,1588.061,162.78,161.101,1.679,1.679,,629.544,225.163,,,,396.273,792.324,2380.385,0.0,2646.122,0.1,2646.022,0.0,1882.771,-25.776,4503.117,0.0,4503.117,6883.502,
03/31/2014,6376.353,1379.227,975.194,404.033,233.761,233.761,0.0,387.05,34.796,17.233,335.021,0.0,1035.999,30.733,,233.172,0.0,937.672,3036.037,1370.537,2335.77,-965.233,0.0,,,,1969.779,202.102,84.985,117.117,,1534.505,3340.316,,514.255,186.278,6.638,,321.339,60.656,0.0,,,,60.656,423.023,,6.337,416.45,997.934,138.229,138.229,,,,606.801,241.39,,,,359.074,745.03,1742.964,0.0,2646.495,0.1,2646.395,0.0,1994.779,-7.885,4633.389,0.0,4633.389,6376.353,
06/30/2014,6612.015,1348.867,851.346,497.521,237.924,237.924,0.0,385.247,36.166,17.569,331.512,0.0,1198.231,39.64,,245.08,0.0,1049.115,3170.269,1418.206,2440.139,-1021.933,0.0,,,,2023.54,201.92,84.985,116.935,,1576.54,3441.746,,522.906,187.53,40.708,,294.668,60.838,0.0,,,,60.838,627.499,,4.503,618.776,1211.243,133.836,133.836,,,,598.981,249.99,,,,344.488,732.817,1944.06,0.0,2661.22,0.1,2661.12,0.0,1999.306,7.429,4667.955,0.0,4667.955,6612.015,
09/30/2014,6439.954,1115.398,622.523,492.875,282.783,282.783,0.0,445.201,43.575,18.881,382.745,0.0,1409.644,54.008,,228.661,0.0,1286.91,3253.026,1432.33,2508.886,-1076.556,0.0,,0.0,,1754.598,204.433,84.985,119.448,,1321.504,3186.928,,573.945,219.997,5.346,,348.602,54.607,0.0,,,,54.607,290.12,,4.647,271.137,918.672,163.646,163.646,,,,564.419,247.441,,,,312.331,728.065,1646.737,0.0,2682.299,0.1,2682.199,0.0,2087.731,23.187,4793.217,0.0,4793.217,6439.954,
12/31/2014,6720.991,1991.086,1482.054,509.032,135.434,135.434,0.0,505.088,41.851,20.829,442.408,0.0,446.046,42.193,0.0,313.891,,394.062,3077.654,1466.381,2600.805,-1134.424,9.127,,,9.127,2167.829,204.221,84.985,119.236,,1649.717,3643.337,,604.539,214.656,1.727,,388.156,51.399,0.0,0.372,0.372,,51.027,344.601,0.0,9.041,315.065,1000.539,162.074,160.888,1.186,1.186,,566.891,246.307,0.0,0.0,0.0,311.543,728.965,1729.504,0.0,2697.658,0.1,2697.558,0.0,2243.689,50.14,4991.487,0.0,4991.487,6720.991,
03/31/2015,6674.674,1484.582,779.908,704.674,254.217,254.217,0.0,496.599,47.801,23.731,425.067,0.0,914.305,109.075,,210.536,0.0,728.21,3149.703,1414.166,2604.161,-1189.995,9.127,,,9.127,2101.678,203.349,84.985,118.364,,1687.793,3524.971,,642.55,202.755,2.882,,436.913,42.123,0.0,,,,42.123,300.233,,10.921,270.557,984.906,200.386,200.386,,,,502.276,236.155,,,,255.2,702.662,1687.568,0.0,2698.235,0.101,2698.134,0.0,2217.397,71.474,4987.106,0.0,4987.106,6674.674,
06/30/2015,6803.805,1775.161,1075.144,700.017,276.819,276.819,0.0,481.975,55.36,23.34,403.275,0.0,622.251,107.355,,262.389,0.0,430.466,3156.206,1399.464,2642.432,-1242.968,9.852,,,9.852,2238.283,200.439,84.985,115.454,,1775.455,3647.599,,645.405,273.28,4.771,,367.354,41.898,0.0,,,,41.898,226.804,,11.521,197.903,914.107,257.787,257.787,,,,590.441,240.972,,,,337.948,848.228,1762.335,0.0,2716.594,0.101,2716.493,0.0,2311.888,12.988,5041.47,0.0,5041.47,6803.805,
09/30/2015,7060.642,1809.517,1189.703,619.814,328.927,328.927,0.0,379.183,50.258,25.467,303.458,0.0,733.702,64.337,,264.2,0.0,589.54,3251.329,1423.474,2708.991,-1285.517,17.754,,0.0,17.754,2368.085,197.455,84.985,112.47,,1906.43,3809.313,,717.788,303.593,2.028,,412.167,38.663,0.0,,,,38.663,139.836,,15.364,120.338,896.287,246.814,246.814,,,,528.813,164.304,,,,349.145,775.627,1671.914,0.0,2734.262,0.101,2734.161,0.0,2625.975,28.491,5388.728,0.0,5388.728,7060.642,
12/31/2015,7316.331,1830.28,1126.826,703.454,500.629,500.629,0.0,380.424,51.319,19.736,309.369,0.0,634.253,51.317,0.0,357.693,,580.245,3345.586,1377.877,2717.676,-1339.799,17.887,,,17.887,2574.981,194.987,84.985,110.002,,2022.301,3970.745,,748.45,337.668,1.33,,409.452,38.09,0.0,0.374,0.374,,37.716,174.26,0.0,14.12,139.853,960.8,251.325,250.634,0.691,0.691,,555.719,163.407,0.0,0.0,0.0,378.192,807.044,1767.844,0.0,2742.897,0.102,2742.795,0.0,2790.11,15.48,5548.487,0.0,5548.487,7316.331,
03/31/2016,7577.789,1880.5,1086.28,794.22,349.467,349.467,0.0,443.777,59.144,20.62,364.013,0.0,600.413,60.322,,359.959,0.0,536.961,3274.157,1380.635,2774.275,-1393.64,17.851,,,17.851,2905.146,192.005,84.985,107.02,,2353.182,4303.632,,634.27,274.991,7.414,,351.865,94.08,0.0,,,,94.08,335.779,,9.405,288.736,1064.129,205.262,204.321,0.941,0.941,,569.453,167.65,,,,392.398,774.715,1838.844,0.0,2751.176,0.102,2751.074,0.0,2960.675,27.094,5738.945,0.0,5738.945,7577.789,
06/30/2016,7544.02,1667.439,916.66,750.779,369.135,369.135,0.0,384.504,61.161,14.63,308.713,0.0,655.543,62.894,,351.714,0.0,588.216,3076.621,1679.026,3119.573,-1440.547,22.254,,,22.254,2766.119,147.106,78.888,68.218,,2267.299,4467.399,,619.105,263.062,1.518,,354.525,71.591,0.0,,,,71.591,261.333,,0.319,230.357,952.029,161.839,161.839,,,,625.507,167.74,,,,457.448,787.346,1739.375,0.0,2773.923,0.102,2773.821,0.0,2974.083,56.639,5804.645,0.0,5804.645,7544.02,
09/30/2016,8087.66,2090.204,1414.219,675.985,323.049,323.049,0.0,369.086,53.429,22.916,292.741,0.0,683.079,60.223,,347.081,0.0,622.384,3465.418,1753.583,3247.41,-1493.827,28.164,,0.0,28.164,2840.495,151.274,78.888,72.386,,2342.14,4622.242,,541.29,201.835,10.486,,328.969,626.026,0.0,,,,626.026,240.008,,0.358,225.139,1407.324,161.131,161.131,,,,573.446,169.679,,,,403.409,734.577,2141.901,0.0,2767.666,0.104,2767.562,0.0,3128.229,49.864,5945.759,0.0,5945.759,8087.66,
12/31/2016,6824.368,1955.146,1347.155,607.991,266.687,266.687,0.0,363.219,47.71,13.204,302.305,0.0,1202.777,42.007,,255.152,,1154.692,3787.829,1077.743,2608.387,-1530.644,54.737,,,54.737,1904.059,102.432,14.462,87.97,,1546.475,3036.539,,424.269,148.73,12.562,,262.977,27.966,0.0,0.355,0.355,,27.611,455.646,0.0,0.0,140.3,907.881,160.422,160.215,0.207,0.207,,537.716,166.277,0.0,0.0,0.0,371.439,698.138,1606.019,0.0,2765.414,0.104,2765.31,0.0,2462.842,-9.907,5218.349,0.0,5218.349,6824.368,
03/31/2017,6604.503,2445.687,1656.245,789.442,151.186,151.186,0.0,432.602,41.012,10.505,381.085,0.0,300.763,42.243,,251.453,,257.337,3330.238,1143.841,2553.32,-1409.479,278.463,228.469,,49.994,1851.961,100.364,14.462,85.902,,1500.144,3274.265,,333.794,143.455,5.002,,185.337,11.54,0.0,,,,11.54,181.717,,5.433,135.391,527.051,265.823,265.387,0.436,0.436,,583.823,169.071,,,,409.319,849.646,1376.697,0.0,2768.045,0.104,2767.941,0.0,2471.971,-12.21,5227.806,0.0,5227.806,6604.503,
06/30/2017,6680.286,2229.085,1509.516,719.569,260.994,260.994,0.0,344.473,32.833,8.294,303.346,0.0,602.36,38.993,,262.879,,556.393,3436.912,1246.554,2437.495,-1190.941,49.996,,,49.996,1946.824,98.296,14.462,83.834,,1585.649,3243.374,,310.082,118.075,1.554,,190.453,13.574,0.0,,,,13.574,180.192,,6.549,129.681,503.848,307.459,307.149,0.31,0.31,,577.67,175.001,,,,396.12,885.129,1388.977,0.0,2779.398,0.104,2779.294,0.0,2523.934,-12.023,5291.309,0.0,5291.309,6680.286,
09/30/2017,7054.693,2718.617,2019.073,699.544,344.645,344.645,0.0,217.555,32.407,9.756,175.392,0.0,685.677,33.862,,276.423,,642.171,3966.494,1394.602,2598.312,-1203.71,69.432,,,69.432,1624.165,96.227,14.462,81.765,,1251.515,3088.199,,452.425,130.704,4.396,,317.325,13.451,0.0,,,,13.451,113.141,,0.0,27.195,579.017,330.209,330.209,,,,633.071,163.707,,,,469.364,963.28,1542.297,0.0,2788.571,0.104,2788.467,0.0,2729.681,-5.856,5512.396,0.0,5512.396,7054.693,
12/31/2017,6864.501,2988.913,2268.534,720.379,211.797,211.797,0.0,172.37,35.691,14.085,122.594,0.0,459.692,41.447,0.0,51.417,,413.942,3832.772,1571.645,2790.321,-1218.676,48.37,,,48.37,1411.714,94.689,14.462,80.227,,1265.608,3031.729,,506.628,120.22,19.581,,366.827,13.075,0.0,,,,13.075,130.573,0.0,5.932,21.46,650.276,380.465,380.309,0.156,0.156,,735.063,166.609,0.0,0.0,0.0,562.522,1115.528,1765.804,0.0,2799.211,0.104,2799.107,0.0,2297.227,2.259,5098.697,0.0,5098.697,6864.501,
03/31/2018,6840.189,2878.474,1858.338,1020.136,273.277,273.277,0.0,174.07,52.002,17.085,104.983,0.0,444.478,52.77,,64.427,,388.378,3770.299,1666.785,2902.533,-1235.748,248.753,200.955,,47.798,1154.352,94.069,14.462,79.607,,995.856,3069.89,,444.507,136.897,10.164,,297.446,6.062,0.0,,,,6.062,103.169,,6.532,19.474,553.738,431.817,431.69,0.127,0.127,,695.263,170.352,,,,518.379,1127.08,1680.818,0.0,2797.776,0.105,2797.671,0.0,2380.178,-18.583,5159.371,0.0,5159.371,6840.189,
06/30/2018,7025.692,3134.912,2024.491,1110.421,125.379,125.379,0.0,234.201,61.676,23.667,148.858,0.0,491.548,68.832,,93.73,13.187,405.772,3986.04,1800.741,3050.725,-1249.984,17.76,8.11,,9.65,1221.151,91.557,14.462,77.095,,1035.864,3039.652,,572.014,161.139,29.822,,381.053,7.741,0.0,,,,7.741,235.657,,7.996,24.842,815.412,448.554,448.449,0.105,0.105,,650.898,166.837,,,,476.065,1099.452,1914.864,0.0,2809.377,0.105,2809.272,0.0,2331.688,-30.237,5110.828,0.0,5110.828,7025.692,
