Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Other Share Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1992,25070,691,534,157.0,4543.0,,,2668,,,,,694,,,,,8596,9938,20013.0,-10075.0,,6536,,,,,6536,16474,,3607,3607.0,,,,2869.0,,,,,,496,,,,496,6972,7764,,,,,3783,,,,3783,11547,18519,0.0,945.0,,,,-2052,,7658.0,6551,,6551,25070,
09/30/1992,25116,708,548,160.0,4444.0,,,2735,,,,,624,,,,,8511,10039,20340.0,-10301.0,,6566,,,,,6566,16605,,3825,3825.0,,,,2467.0,,,,,,630,,,,630,6922,7820,,,,,3649,,,,3649,11469,18391,0.0,951.0,,,,-2051,,7825.0,6725,,6725,25116,
12/31/1992,20341,547,361,186.0,3433.0,,,1991,,,,,466,,,,,6437,6764,13607.0,-6843.0,1473.0,5667,,,,,5667,13904,,719,719.0,,,,1732.0,,,,,,3095,,,,3095,5546,5402,,,,,2836,,,,2836,8238,13784,0.0,962.0,,,,-2041,,7636.0,6557,,6557,20341,
03/31/1993,23565,640,509,131.0,3773.0,,,2863,,,,,535,,,,,7811,9684,19732.0,-10048.0,,6070,,,,,6070,15754,,3817,3817.0,,,,2496.0,,,,,,477,,,,477,6790,6986,,,,,5250,,,,5250,12236,19026,0.0,1032.0,,,,-2041,,5548.0,4539,,4539,23565,
06/30/1993,21005,682,523,159.0,3740.0,,,2446,,,,,434,,,,,7302,6477,13337.0,-6860.0,,7226,,,,,7226,13703,,3206,3206.0,,,,2598.0,,,,,,446,,,,446,6250,5202,,,,,4973,,,,4973,10175,16425,0.0,1049.0,,,,-2040,,5571.0,4580,,4580,21005,
09/30/1993,20429,585,447,138.0,3462.0,,,2377,,,,,468,,,,,6892,6434,13453.0,-7019.0,,7103,,,,,7103,13537,,3535,3535.0,,,,1792.0,,,,,,522,,,,522,5849,5088,,,,,5086,,,,5086,10174,16023,0.0,1128.0,,,,-2040,,5318.0,4406,,4406,20429,
12/31/1993,18810,1858,1635,223.0,2817.0,,,1532,,,,,542,,,,,6749,5027,11601.0,-6574.0,1020.0,6014,,,,,6014,12061,,2877,2877.0,,,,611.0,,,,,,565,,,,565,4053,6727,,,,,4674,,,,4674,11401,15454,0.0,1161.0,,,,-2039,,4234.0,3356,,3356,18810,
03/31/1994,19701,1290,1163,127.0,3359.0,,,2150,,,,,769,,,,,7568,6326,13454.0,-7128.0,1224.0,4583,,,,,4583,12133,,3331,3331.0,,,,2232.0,,,,,,532,,,,532,6095,4866,,,,,5279,,,,5279,10145,16240,0.0,1183.0,,,,-1957,,4235.0,3461,,3461,19701,
06/30/1994,18434,625,491,134.0,3178.0,,,1752,,,,,614,,,,,6169,5308,12214.0,-6906.0,916.0,6041,,,,,6041,12265,,2744,2744.0,,,,1874.0,,,,,,528,,,,528,5146,4467,,,,,4869,,,,4869,9336,14482,0.0,1459.0,,,,-1956,,4449.0,3952,,3952,18434,
09/30/1994,19083,727,585,142.0,3148.0,,,1765,,,,,849,,,,,6489,5426,12429.0,-7003.0,782.0,6386,,,,,6386,12594,,3025,3025.0,,,,2460.0,,,,,,597,,,,597,6082,4667,,,,,4274,,,,4274,8941,15023,0.0,1476.0,,,,-1956,,4540.0,4060,,4060,19083,
12/31/1994,14968,2068,2020,48.0,3064.0,,,1480,,,,,1071,,,,,7683,5292,12299.0,-7007.0,872.0,1121,,,,,1121,7285,,3398,3398.0,,,,371.0,,,,,,1966,,,,1966,5735,660,,,,,4556,,,,4556,5216,10951,0.0,1481.0,,,,-1957,,4493.0,4017,,4017,14968,
03/31/1995,13693,633,573,60.0,2855.0,,,1834,,,,,980,,,,,6302,5406,12667.0,-7261.0,887.0,1098,,,,,1098,7391,,3212,3212.0,,,,373.0,,,,,,602,,,,602,4187,652,,,,,4636,,,,4636,5288,9475,0.0,1500.0,,,,-1955,,4673.0,4218,,4218,13693,
06/30/1995,14177,888,823,65.0,3265.0,,,1873,,,,,778,,,,,6804,5373,12694.0,-7321.0,893.0,1107,,,,,1107,7373,,3295,3295.0,,,,507.0,,,,,,582,,,,582,4384,654,,,,,4626,,,,4626,5280,9664,0.0,1554.0,,,,-1955,,4914.0,4513,,4513,14177,
09/30/1995,14413,1333,1268,65.0,3076.0,,,1947,,,,,713,,,,,7069,5348,12623.0,-7275.0,911.0,1085,,,,,1085,7344,,3326,3326.0,,,,412.0,,,,,,684,,,,684,4422,653,,,,,4578,,,,4578,5231,9653,0.0,1565.0,,,,-1955,,5150.0,4760,,4760,14413,
12/31/1995,14477,1811,1764,47.0,3145.0,,,1660,,,,,693,,,,,7309,5377,12652.0,-7275.0,911.0,880,,,,,880,7168,,3327,3327.0,,,,586.0,,,,,,730,,,,730,4643,665,,,,,4048,,,,4048,4713,9356,0.0,1777.0,,,,-1933,,5277.0,5121,,5121,14477,
03/31/1996,13868,1167,1139,28.0,2838.0,,,1898,,,,,762,,,,,6665,5373,12716.0,-7343.0,966.0,864,,,,,864,7203,,3024,3024.0,,,,557.0,,,,,,956,,,,956,4537,507,,,,,4071,,,,4071,4578,9115,0.0,1859.0,,,,-2504,,5398.0,4753,,4753,13868,
06/30/1996,14183,968,940,28.0,3275.0,,,1951,,,,,766,,,,,6960,5378,12811.0,-7433.0,996.0,849,,,,,849,7223,,3048,3048.0,,,,636.0,,,,,,1027,,,,1027,4711,571,,,,,4049,,,,4049,4620,9331,0.0,1897.0,,,,-2740,,5695.0,4852,,4852,14183,
09/30/1996,14038,943,916,27.0,3171.0,,,1947,,,,,758,,,,,6819,5417,12937.0,-7520.0,961.0,841,,,,,841,7219,,3098,3098.0,,,,601.0,,,,,,1028,,,,1028,4727,564,,,,,3908,,,,3908,4472,9199,0.0,1885.0,,,,-3020,,5974.0,4839,,4839,14038,
12/31/1996,14438,1796,1777,19.0,2738.0,,,1575,,,,,856,,,,,6965,5422,12585.0,-7163.0,1238.0,813,,,,,813,7473,,4116,4116.0,,,,541.0,,,,,,760,,,,760,5417,559,,,,,3728,,,,3728,4287,9704,0.0,1888.0,,,,-3160,,6006.0,4734,,4734,14438,
03/31/1997,13628,872,843,29.0,2583.0,,,1734,,,,,882,,,,,6071,5449,12578.0,-7129.0,1214.0,894,,,,,894,7557,,3364,3364.0,,,,557.0,,,,,,865,,,,865,4786,577,,,,,3923,,,,3923,4500,9286,0.0,1870.0,,,,-3427,,5899.0,4342,,4342,13628,
06/30/1997,13818,400,371,29.0,2884.0,,,1730,,,,,924,,,,,5938,5620,12814.0,-7194.0,1359.0,901,,,,,901,7880,,3397,3397.0,,,,874.0,,,,,,761,,,,761,5032,610,,,,,3896,,,,3896,4506,9538,0.0,1889.0,,,,-3702,,6093.0,4280,,4280,13818,
09/30/1997,13584,338,310,28.0,2703.0,,,1679,,,,,904,,,,,5624,5736,12954.0,-7218.0,1337.0,887,,,,,887,7960,,3286,3286.0,,,,689.0,,,,,,817,,,,817,4792,627,,,,,3898,,,,3898,4525,9317,0.0,1891.0,,,,-3765,,6141.0,4267,,4267,13584,
12/31/1997,13145,752,728,24.0,2271.0,,,1252,460.0,538.0,788.0,,1200,,,,,5475,5509,12824.0,-7315.0,1231.0,930,548.0,,,,382,7670,,3832,3832.0,,,,611.0,,,,,,734,,,,734,5177,585,,,,,4222,,,,4222,4807,9984,0.0,1892.0,,,,-3872,,5141.0,3161,,3161,13145,
03/31/1998,13464,539,489,50.0,2221.0,,,1455,,,,,1240,,,,,5455,5480,12854.0,-7374.0,1305.0,1224,852.0,,,,372,8009,,3637,3637.0,,,,1158.0,,,,,,748,,,,748,5543,494,,,,,4228,,,,4228,4722,10265,0.0,1886.0,,,,-3900,,5213.0,3199,,3199,13464,
06/30/1998,14013,546,416,130.0,2644.0,,,1488,,,,,1197,,,,,5875,5467,12924.0,-7457.0,1428.0,1243,884.0,,,,359,8138,,3581,3581.0,,,,1386.0,,,,,,776,,,,776,5743,459,,,,,4248,,,,4248,4707,10450,0.0,1870.0,,,,-3904,,5597.0,3563,,3563,14013,
09/30/1998,14079,434,381,53.0,2519.0,,,1597,,,,,1206,,,,,5756,5511,13093.0,-7582.0,1468.0,1344,1014.0,,,,330,8323,,3554,3554.0,,,,1252.0,,,,,,696,,,,696,5502,459,,,,,4204,,,,4204,4663,10165,0.0,1884.0,,,,-3856,,5886.0,3914,,3914,14079,
12/31/1998,14733,500,457,43.0,2527.0,,,1424,439.0,569.0,907.0,-491.0,1148,,,,,5599,5914,13482.0,-7568.0,1705.0,1515,1232.0,,,,283,9134,,3906,3906.0,,,,1518.0,,,,,,754,,,,754,6178,504,,,,,4063,,,,4063,4567,10745,0.0,1880.0,,,,-3944,,6052.0,3988,,3988,14733,
03/31/1999,14505,384,338,46.0,2497.0,2497.0,,1453,,,,,1220,,,,,5554,5778,13333.0,-7555.0,1790.0,1383,1103.0,1103.0,0.0,,280,8951,,3448,3448.0,,,,1863.0,,,,,,857,,,,857,6168,481,,,,,3981,,,,3981,4462,10630,0.0,1876.0,,,,-4020,6212.0,-193.0,3875,,3875,14505,
06/30/1999,14822,305,292,13.0,2945.0,2945.0,,1398,,,,,1166,,,,,5814,5845,13113.0,-7268.0,1834.0,1329,1053.0,1053.0,0.0,,276,9008,,3479,3479.0,,,,2278.0,,,,,,873,,,,873,6630,487,,,,,3889,,,,3889,4376,11006,0.0,1869.0,,,,-4407,6563.0,-209.0,3816,,3816,14822,
09/30/1999,15241,604,580,24.0,2787.0,,,1563,,,,,1266,,,,,6220,5882,13370.0,-7488.0,1860.0,1279,1029.0,,,,250,9021,,3698,3698.0,,,,1879.0,,,,,,993,,,,993,6570,920,,,,,3859,,,,3859,4779,11349,0.0,1862.0,,,,-4478,,6508.0,3892,,3892,15241,
12/31/1999,14370,393,373,20.0,2537.0,,,1519,471.0,487.0,1026.0,0.0,995,,,,,5444,5947,13289.0,-7342.0,1801.0,1178,982.0,982.0,0.0,,196,8926,,3832,3832.0,,,,1163.0,,,,,,774,,,,774,5769,936,,,,,3753,,,,3753,4689,10458,0.0,1867.0,,,,-4805,,6752.0,3814,98.0,3912,14370,
03/31/2000,14502,421,394,27.0,2431.0,2431.0,,1721,,,,,1043,,,,,5616,5855,13240.0,-7385.0,1930.0,1101,949.0,949.0,0.0,,152,8886,,3220,3220.0,,,,1807.0,1807.0,0.0,0.0,,,912,,,,912,5939,918,918.0,0.0,0.0,,3707,,,,3707,4625,10564,0.0,978.0,,,,-4842,7148.0,654.0,3938,,3938,14502,
06/30/2000,14859,276,258,18.0,2988.0,2988.0,,1739,,,,,1011,,,,,6014,5808,13000.0,-7192.0,1926.0,1111,968.0,968.0,0.0,,143,8845,,3317,3317.0,,,,1798.0,1798.0,0.0,0.0,,,829,,,,829,5944,1155,1155.0,0.0,0.0,,3660,,,,3660,4815,10759,0.0,1847.0,,,,-4953,7517.0,-311.0,4100,,4100,14859,
09/30/2000,14318,226,217,9.0,2718.0,2718.0,,1897,,,,,905,,,,,5746,5776,12892.0,-7116.0,1760.0,1036,940.0,940.0,0.0,,96,8572,,3219,3219.0,,,,1878.0,1878.0,0.0,0.0,,,751,,,,751,5848,1066,1066.0,0.0,0.0,,3617,,,,3617,4683,10531,0.0,1840.0,,,,-5397,7802.0,-458.0,3787,,3787,14318,
12/31/2000,14212,251,246,5.0,2653.0,,,1718,589.0,423.0,1155.0,-449.0,869,,,,,5491,5919,12963.0,-7044.0,1767.0,1035,947.0,947.0,0.0,,88,8721,,3275,3275.0,,,,2206.0,2206.0,0.0,0.0,,,734,,,,734,6215,1166,1166.0,0.0,0.0,,3403,,,,3403,4569,10784,0.0,1849.0,,,,-5808,,7294.0,3335,93.0,3428,14212,
03/31/2001,14330,251,231,20.0,2549.0,,,1833,,,,,830,,,,,5463,5874,12925.0,-7051.0,1902.0,1091,1005.0,1005.0,0.0,,86,8867,,2920,2920.0,,,,2827.0,2827.0,0.0,0.0,,,768,,,,768,6515,1125,1125.0,0.0,0.0,,3352,,,,3352,4477,10992,0.0,1839.0,,,,-5820,,7319.0,3338,,3338,14330,
06/30/2001,14268,292,292,0.0,2818.0,,,1566,,,,,831,,,,,5507,5778,12973.0,-7195.0,1921.0,1062,984.0,984.0,0.0,,78,8761,,3073,3073.0,,,,2026.0,2026.0,0.0,0.0,,,698,,,,698,5797,1823,1823.0,0.0,0.0,,3387,,,,3387,5210,11007,0.0,1823.0,,,,-5772,,7210.0,3261,,3261,14268,
09/30/2001,13910,252,252,0.0,2724.0,,,1462,,,,,815,,,,,5253,5734,13063.0,-7329.0,1902.0,1021,954.0,954.0,0.0,,67,8657,,3011,3011.0,,,,1701.0,1701.0,0.0,0.0,,,677,,,,677,5389,1792,1792.0,0.0,0.0,,3414,,,,3414,5206,10595,0.0,1825.0,,,,-5769,,7259.0,3315,,3315,13910,
12/31/2001,13362,448,448,0.0,2337.0,,,1071,346.0,318.0,851.0,0.0,761,,,,,4617,5659,12982.0,-7323.0,,3086,948.0,948.0,0.0,,2138,8745,,3276,3276.0,,,,1534.0,1534.0,0.0,0.0,,,544,,,,544,5354,1666,1666.0,0.0,0.0,,3448,,,,3448,5114,10468,0.0,1827.0,,,,-5767,7431.0,-597.0,2894,0.0,2894,13362,
03/31/2002,13320,511,511,0.0,2202.0,,,1205,398.0,329.0,898.0,-420.0,771,,,,,4689,5563,,,,3068,971.0,971.0,0.0,,2097,8631,,3101,3101.0,,,,1865.0,1865.0,0.0,0.0,,,505,,,,505,5471,1459,1459.0,0.0,0.0,,3458,,,,3458,4917,10388,0.0,1827.0,,,,-5721,,6826.0,2932,,2932,13320,
06/30/2002,13717,524,524,0.0,2551.0,,,1218,411.0,324.0,900.0,-417.0,763,,,,,5056,5538,,,,3123,986.0,986.0,0.0,,2137,8661,,3559,3559.0,,,,1813.0,1813.0,0.0,0.0,,,521,,,,521,5893,1240,1240.0,0.0,0.0,,3483,,,,3483,4723,10616,0.0,1827.0,,,,-5721,,6995.0,3101,,3101,13717,
09/30/2002,13466,561,561,0.0,2301.0,,,1238,403.0,329.0,916.0,-410.0,756,,,,,4856,5443,,,,3167,975.0,975.0,0.0,,2192,8610,,3284,3284.0,,,,1515.0,1515.0,0.0,0.0,,,551,,,,551,5350,1227,1227.0,0.0,0.0,,3499,,,,3499,4726,10076,0.0,1826.0,,,,-5719,,7283.0,3390,,3390,13466,
12/31/2002,13494,569,569,0.0,2234.0,,,1062,301.0,322.0,831.0,-392.0,669,,,,,4534,5420,13288.0,-7868.0,0.0,3540,981.0,981.0,0.0,,2559,8960,,3351,3351.0,,,,1442.0,1442.0,0.0,0.0,,,709,,,,709,5502,1164,1164.0,0.0,0.0,,4051,,,,4051,5215,10717,0.0,1827.0,,,,-5890,7611.0,-771.0,2777,0.0,2777,13494,
03/31/2003,13315,597,597,0.0,2073.0,,,1197,308.0,330.0,934.0,-375.0,698,,,,,4565,5336,,,0.0,3414,981.0,981.0,0.0,,2433,8750,,3179,3179.0,,,,1659.0,1659.0,0.0,0.0,,,513,,,,513,5351,1045,1045.0,0.0,0.0,,4055,,,,4055,5100,10451,0.0,1827.0,,,,-5859,7609.0,-713.0,2864,,2864,13315,
06/30/2003,14076,838,838,0.0,2462.0,2462.0,,1190,334.0,317.0,905.0,-366.0,669,,,,,5159,5289,,,0.0,3628,992.0,992.0,0.0,,2636,8917,,3538,3538.0,,,,1474.0,1474.0,0.0,0.0,,,604,,,,604,5616,1516,1516.0,0.0,0.0,,4090,,,,4090,5606,11222,0.0,1827.0,,,,-5856,7462.0,-579.0,2854,,2854,14076,
09/30/2003,14037,983,983,0.0,2340.0,2340.0,,1202,320.0,314.0,929.0,-361.0,708,,,,,5233,5157,,,,3647,1021.0,1021.0,0.0,,2626,8804,,3531,3531.0,,,,1410.0,1410.0,0.0,0.0,,,619,,,,619,5560,1480,1480.0,0.0,0.0,,4073,,,,4073,5553,11113,0.0,1827.0,,,,-5852,7509.0,-560.0,2924,,2924,14037,
12/31/2003,14846,1250,1250,0.0,2327.0,2389.0,,1078,328.0,300.0,818.0,-368.0,797,,,,,5452,5051,13176.0,-8125.0,0.0,4343,1678.0,1349.0,329.0,,2665,9394,,3630,3630.0,,,,946.0,,,,,,679,,,,679,5255,2302,,,,,3999,,,,3999,6301,11556,0.0,1828.0,,,,-5852,7515.0,-246.0,3245,45.0,3290,14846,
03/31/2004,14433,510,510,0.0,2259.0,2259.0,,1207,363.0,305.0,895.0,-356.0,886,,,,,4862,4954,,,0.0,4617,1418.0,1418.0,0.0,,3199,9571,,3507,3507.0,,,,710.0,,,,,,659,,,,659,4876,2256,,,,,4083,,,,4083,6339,11215,0.0,1828.0,,,,-5850,7555.0,-315.0,3218,,3218,14433,
06/30/2004,14720,519,519,,2605.0,2605.0,,1256,391.0,300.0,899.0,-334.0,895,,,,,5275,4795,,,,4650,1432.0,1432.0,0.0,,3218,9445,,3626,3626.0,,,,1043.0,,,,,,694,,,,694,5363,1997,,,,,4089,,,,4089,6086,11449,,1828.0,,,,-5851,7636.0,-342.0,3271,,3271,14720,
09/30/2004,15110,1113,1113,0.0,2500.0,2500.0,,1427,402.0,320.0,1027.0,-322.0,902,,,,,5942,4683,,,0.0,4485,1448.0,1448.0,0.0,,3037,9168,,3825,3825.0,,,,711.0,,,,,,816,,,,816,5352,1953,,,,,4014,,,,4014,5967,11319,0.0,1828.0,,,,-5854,8115.0,-298.0,3791,,3791,15110,
12/31/2004,14737,1255,1255,0.0,2544.0,2544.0,,1158,391.0,275.0,822.0,-330.0,691,,,,,5648,4512,12694.0,-8182.0,0.0,4577,1924.0,1446.0,478.0,,2653,9089,,3896,3896.0,,,,469.0,,,,,,625,,,,625,4990,1852,,,,,4059,,,,4059,5911,10901,0.0,1828.0,,,,-5844,7922.0,-95.0,3811,25.0,3836,14737,
03/31/2005,14135,1031,1031,0.0,2281.0,2281.0,,1330,420.0,302.0,925.0,-317.0,761,,,,,5403,4276,,,0.0,4456,1457.0,1457.0,0.0,,2999,8732,,3584,3584.0,,,,553.0,553.0,0.0,0.0,,,573,,,,573,4710,1856,1856.0,0.0,0.0,,3911,,,,3911,5767,10477,0.0,1831.0,,,,-5821,7768.0,-120.0,3658,0.0,3658,14135,
06/30/2005,15582,553,553,0.0,2976.0,2976.0,,1523,420.0,285.0,1116.0,-298.0,748,,,,,5800,4462,,,0.0,5320,2897.0,2004.0,893.0,,2423,9782,,3876,3876.0,,,,966.0,966.0,0.0,0.0,,,707,,,,707,5549,2755,2755.0,0.0,0.0,,4044,,,,4044,6799,12348,0.0,1842.0,,,,-5815,7540.0,-333.0,3234,0.0,3234,15582,
09/30/2005,14378,610,610,0.0,2867.0,2867.0,,1657,391.0,319.0,1241.0,-294.0,291,,,,,5425,4137,,,0.0,4816,2958.0,2125.0,833.0,,1858,8953,,3932,3932.0,,,,1004.0,1004.0,0.0,0.0,,,560,,,,560,5496,2559,2559.0,0.0,0.0,,3991,,,,3991,6550,12046,0.0,1849.0,,,,-5814,6516.0,-219.0,2332,0.0,2332,14378,
12/31/2005,15236,1665,1665,0.0,2760.0,2760.0,,1455,319.0,243.0,893.0,0.0,216,,,,,6096,3778,11379.0,-7601.0,0.0,5362,2947.0,2141.0,806.0,,2415,9140,,4187,4187.0,,,,819.0,819.0,0.0,0.0,,,483,,,,483,5489,2764,2764.0,0.0,0.0,,4701,,,,4701,7465,12954,0.0,1845.0,,,,-5813,6717.0,-467.0,2282,0.0,2282,15236,
03/31/2006,14452,1077,1077,0.0,2482.0,2482.0,,1672,341.0,284.0,1047.0,0.0,323,,,,,5554,3497,,,0.0,5401,2947.0,2184.0,763.0,,2454,8898,,3656,3656.0,,,,815.0,815.0,0.0,0.0,,,581,,,,581,5052,2750,2750.0,0.0,0.0,,4484,,,,4484,7234,12286,0.0,1856.0,,,,-5810,6417.0,-297.0,2166,0.0,2166,14452,
06/30/2006,14251,1055,1055,0.0,2580.0,2580.0,,1439,305.0,235.0,899.0,0.0,243,,,,,5317,3250,,,0.0,5684,2901.0,2174.0,727.0,,2783,8934,,3655,3655.0,,,,284.0,284.0,0.0,0.0,,,769,,,,769,4708,3247,3247.0,0.0,0.0,,4421,,,,4421,7668,12376,0.0,1861.0,,,,-5810,6062.0,-238.0,1875,0.0,1875,14251,
09/30/2006,14060,1102,1102,0.0,2541.0,2541.0,,1478,284.0,230.0,964.0,0.0,247,,,,,5368,3018,10647.0,-7629.0,0.0,5674,2892.0,2187.0,705.0,,2782,8692,,3740,3740.0,,,,92.0,92.0,0.0,0.0,,,669,,,,669,4501,3247,3247.0,0.0,0.0,,4498,,,,4498,7745,12246,0.0,1859.0,,,,-5807,6022.0,-260.0,1814,0.0,1814,14060,
12/31/2006,14320,1469,1469,0.0,2072.0,2072.0,,1001,203.0,192.0,606.0,0.0,1015,,,,,5557,2602,9649.0,-7047.0,0.0,6161,2094.0,1584.0,510.0,,4067,8763,,3712,3712.0,,,,64.0,64.0,0.0,0.0,,,778,,,,778,4554,2714,2714.0,0.0,0.0,,5664,,,,5664,8378,12932,0.0,1859.0,,,,-5803,5967.0,-635.0,1388,0.0,1388,14320,
03/31/2007,13701,1026,1026,0.0,1801.0,1801.0,,1157,237.0,236.0,684.0,0.0,1003,,,,,4987,2404,,,0.0,6310,2074.0,1589.0,485.0,,4236,8714,,3263,3263.0,,,,44.0,44.0,0.0,0.0,,,717,,,,717,4024,2710,2710.0,0.0,0.0,,5377,,,,5377,8087,12111,0.0,1857.0,,,,-5793,5810.0,-284.0,1590,0.0,1590,13701,
06/30/2007,13074,1925,1925,0.0,2021.0,2021.0,,1188,247.0,243.0,698.0,0.0,231,,,,,5365,1993,7984.0,-5991.0,0.0,5716,2076.0,1621.0,455.0,,3640,7709,,3355,3355.0,,,,292.0,292.0,0.0,0.0,,,394,,,,394,4041,1332,1332.0,0.0,0.0,,5226,,,,5226,6558,10599,0.0,1858.0,,,,-5776,6305.0,88.0,2475,0.0,2475,13074,
