Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2012,1109.617,1106.118,3.499,-1096.789,1096.789,12.828,0.0,-7.359,3.035,3.035,,2.016,2.308,5.469,-0.113,0.113,0.142,-0.029,,0.0,5.356,-1.739,3.617,0.0,0.0,0.0,3.617,0.0,3.617,0.0,-3.043,0.574,0.7001,0.1261,21.878872,0.03,0.03,0.031999,21.878872,0.03,0.03,0.031999,
12/31/2012,1010.635,1008.025,2.61,-996.024,996.024,14.611,0.0,-5.299,3.177,3.177,,1.238,0.884,9.312,-0.516,0.516,0.681,-0.165,,0.0,8.796,-0.22,8.576,0.0,0.0,0.0,8.576,0.0,8.576,0.0,0.0,8.576,8.6488,0.0728,21.878872,0.39,0.39,0.395304,21.878872,0.39,0.39,0.393327,
03/31/2013,1090.417,1087.489,2.928,-1074.861,1074.861,15.556,0.0,-6.577,3.899,3.899,,1.821,0.857,8.979,-0.683,0.683,0.791,-0.108,,0.0,8.296,-0.069,8.227,0.0,0.0,0.0,8.227,0.0,8.227,0.0,0.0,8.227,8.2413,0.0143,21.878872,0.38,0.38,0.376678,21.891026,0.38,0.38,0.376678,
06/30/2013,1120.897,1117.414,3.483,-1103.941,1103.941,16.956,0.0,-6.426,3.649,3.649,,1.837,0.94,10.53,-0.766,0.766,0.843,-0.077,,0.0,9.764,-0.084,9.68,0.0,0.0,0.0,9.68,0.0,9.68,0.0,0.0,9.68,9.7268,0.0468,21.878872,0.44,0.44,0.444575,21.915794,0.44,0.44,0.442135,
09/30/2013,1163.716,1159.665,4.051,-1145.313,1145.313,18.403,0.0,-7.74,4.329,4.329,,2.432,0.979,10.663,-0.921,0.921,0.969,-0.048,,0.0,9.742,-0.145,9.597,0.0,0.0,0.0,9.597,0.0,9.597,0.0,0.0,9.597,9.6698,0.0728,21.903107,0.44,0.44,0.441481,21.903107,0.44,0.44,0.441481,
12/31/2013,1114.468,1109.259,5.209,-1094.419,1094.419,20.049,0.0,-9.283,4.937,4.937,,2.597,1.749,10.766,-1.101,1.101,1.133,-0.032,,0.0,9.665,-0.142,9.523,0.0,0.0,0.0,9.523,0.0,9.523,0.0,0.0,9.523,9.5997,0.0767,21.953923,0.43,0.43,0.437266,21.953923,0.43,0.43,0.433494,
03/31/2014,1216.587,1210.656,5.931,-1194.467,1194.467,22.12,0.0,-10.479,4.87,4.87,,3.326,2.283,11.641,-1.502,1.502,1.525,-0.023,,0.0,10.139,-0.007,10.132,0.0,0.0,0.0,10.132,0.0,10.132,0.0,0.0,10.132,10.132,0.0,21.956797,0.46,0.46,0.46,21.981634,0.46,0.46,0.46,
06/30/2014,1376.025,1370.124,5.901,-1353.822,1353.822,22.203,0.0,-10.714,5.372,5.372,,3.333,2.009,11.489,-1.774,1.774,1.797,-0.023,,0.0,9.715,-0.12,9.595,0.0,0.0,0.0,9.595,0.0,9.595,0.0,-0.064,9.531,11.716858,2.185858,22.041528,0.43,0.43,0.531581,22.092578,0.43,0.43,0.528941,
09/30/2014,2670.16,2653.788,16.372,-2588.699,2588.699,81.461,0.0,-96.185,17.677,17.677,,17.107,61.401,-14.724,-4.862,4.862,4.896,-0.034,,0.0,-19.586,-1.071,-20.657,0.0,0.0,0.0,-20.657,0.0,-20.657,0.0,21.684,1.027,1.51905,0.49205,21.993235,0.046696,0.046696,0.069069,21.993235,0.046696,0.046696,0.069069,
12/31/2014,5054.776,5020.409,34.367,-4738.795,4738.795,315.981,0.0,-276.385,35.436,35.436,,47.026,193.923,39.596,-7.564,7.564,7.661,-0.097,,0.0,32.032,-68.697,-36.665,0.0,0.0,0.0,-36.665,-1.043,-37.708,0.0,73.761,36.053,35.487561,-0.565439,60.055676,0.600326,0.600326,0.590911,60.055676,0.600326,0.600326,0.590911,
03/31/2015,4342.388,4287.925,54.463,-3901.296,3901.296,441.092,0.0,-375.746,44.934,44.934,,66.743,264.069,65.346,-7.977,7.977,9.292,-1.315,,0.0,57.369,-8.063,49.306,0.0,0.0,0.0,49.306,-32.234,17.072,0.0,0.0,17.072,17.96575,0.89375,35.038613,0.487234,0.487234,0.512741,35.076284,0.486711,0.486711,0.512191,
06/30/2015,5126.084,5059.486,66.598,-4580.874,4580.874,545.21,0.0,-421.552,65.941,65.941,,70.2,285.411,123.658,-21.198,21.198,21.493,-0.295,,0.0,102.46,-8.926,93.534,0.0,0.0,0.0,93.534,-0.847,92.687,0.0,-57.82,34.867,35.4936,0.6266,35.834095,0.973012,0.973012,0.990498,35.875631,0.971885,0.971885,0.989351,
09/30/2015,4906.772,4838.079,68.693,-4382.014,4382.014,524.758,0.0,-431.406,61.547,61.547,,65.984,303.875,93.352,-28.517,28.517,29.007,-0.49,,0.0,64.835,-30.124,34.711,0.0,0.0,0.0,34.711,-0.852,33.859,0.0,0.0,33.859,34.8223,0.9633,54.711462,0.618865,0.618865,0.636472,54.711578,0.618864,0.618864,0.63647,
12/31/2015,4084.756,4007.51,77.246,-3611.816,3611.816,472.94,0.0,-421.296,44.578,44.578,,75.073,301.645,51.644,-30.308,30.308,31.208,-0.9,,0.0,21.336,-4.887,16.449,0.0,0.0,0.0,16.449,29.933,46.382,0.0,-45.18,1.202,-0.63165,-1.83365,98.245582,0.012235,0.012235,-0.006429,98.245582,0.012235,0.012235,-0.012058,
03/31/2016,3215.0,3143.0,72.0,-2704.0,2704.0,511.0,0.0,-419.0,58.0,58.0,,78.0,283.0,92.0,-28.0,28.0,28.0,0.0,,0.0,64.0,-2.0,62.0,0.0,0.0,0.0,62.0,0.0,62.0,0.0,0.0,62.0,60.7,-1.3,87.453333,0.70895,0.70895,0.694084,87.474687,0.708776,0.708776,0.693915,
06/30/2016,2123.0,2070.0,53.0,-1896.0,1896.0,227.0,0.0,-123.0,36.0,36.0,,28.0,59.0,104.0,-44.0,44.0,47.0,-3.0,,0.0,60.0,-3.0,57.0,-15.0,-15.0,0.0,72.0,0.0,72.0,0.0,0.0,72.0,53.1,-3.9,95.339786,0.755194,0.597862,0.556955,95.395742,0.754751,0.597511,0.556629,
09/30/2016,2167.0,2108.0,59.0,-1975.0,1975.0,192.0,0.0,-138.0,45.0,45.0,,31.0,62.0,54.0,-47.0,47.0,50.0,-3.0,,0.0,7.0,26.0,33.0,-12.0,-12.0,0.0,45.0,0.0,45.0,0.0,0.0,45.0,36.9,3.9,95.339786,0.471996,0.34613,0.387037,95.414444,0.471627,0.34586,0.386734,
12/31/2016,2481.0,2449.0,32.0,-2255.0,2255.0,226.0,0.0,-331.0,16.0,16.0,,39.0,276.0,-105.0,-42.0,42.0,46.0,-4.0,,0.0,-147.0,51.0,-96.0,489.0,489.0,0.0,-585.0,0.0,-585.0,0.0,0.0,-585.0,51.55,147.55,96.169215,-6.083028,-0.99824,0.536034,96.169215,-6.083028,-0.99824,0.536034,
03/31/2017,2808.0,2618.0,190.0,-2552.0,2552.0,256.0,0.0,-200.0,32.0,32.0,,54.0,114.0,56.0,-58.0,58.0,59.0,-1.0,,0.0,-2.0,14.0,12.0,11.0,11.0,0.0,1.0,0.0,1.0,0.0,-23.0,-22.0,-9.7,1.3,98.609608,-0.22,-0.11,-0.098368,98.715958,-0.22,-0.11,-0.098368,
06/30/2017,2892.0,2685.0,207.0,-2633.0,2633.0,259.0,0.0,-279.0,36.0,36.0,,36.0,207.0,-20.0,-54.0,54.0,61.0,-7.0,,0.0,-74.0,45.0,-29.0,193.0,193.0,0.0,-222.0,0.0,-222.0,-8.0,-22.0,-252.0,0.8,59.8,99.466424,-2.533518,-0.58,0.008043,99.466424,-2.533518,-0.58,0.008043,
09/30/2017,3064.0,2871.0,193.0,-2748.0,2748.0,316.0,0.0,-188.0,30.0,30.0,,34.0,124.0,128.0,-51.0,51.0,51.0,0.0,,0.0,77.0,44.0,121.0,-17.0,-17.0,0.0,138.0,0.0,138.0,-7.0,-24.0,107.0,95.2,5.2,99.469643,1.08,0.92,0.957076,100.117016,1.08,0.91,0.957076,
12/31/2017,3960.0,3543.0,417.0,-3524.0,3524.0,436.0,0.0,-433.0,38.0,38.0,,58.0,337.0,3.0,-46.0,46.0,46.0,,,0.0,-43.0,191.0,148.0,-84.0,-84.0,0.0,232.0,0.0,232.0,-23.0,-68.0,141.0,137.6,80.6,99.534805,1.41659,0.572664,1.382431,100.180435,1.40746,0.568973,1.373522,
03/31/2018,3749.0,3573.0,176.0,-3453.0,3453.0,296.0,0.0,-200.0,35.0,35.0,,49.0,116.0,96.0,-143.0,34.0,36.0,-2.0,,109.0,-47.0,-31.0,-78.0,237.0,237.0,0.0,-315.0,0.0,-315.0,-2.0,-19.0,-336.0,7.65,106.65,89.75395,-3.74,-1.11,0.085233,90.271751,-3.74,-1.11,0.071433,
06/30/2018,4607.0,4507.0,100.0,-4297.0,4297.0,310.0,0.0,-182.0,34.0,34.0,,41.0,107.0,128.0,-36.0,36.0,37.0,-1.0,,0.0,92.0,2.0,94.0,26.0,26.0,0.0,68.0,0.0,68.0,0.0,-19.0,49.0,76.58,1.58,82.494976,0.593976,0.909146,0.928299,82.947669,0.590734,0.904185,0.923233,
09/30/2018,4761.0,4697.0,64.0,-4428.0,4428.0,333.0,0.0,-174.0,34.0,34.0,,42.0,98.0,159.0,-35.0,35.0,36.0,-1.0,,0.0,124.0,-10.0,114.0,2.0,2.0,0.0,112.0,0.0,112.0,0.0,-19.0,93.0,88.68,-6.32,82.506279,1.13,1.16,1.074827,83.084713,1.12,1.15,1.073933,
12/31/2018,3877.0,3823.0,54.0,-3694.0,3694.0,183.0,0.0,-221.0,38.0,38.0,0.0,50.0,133.0,-38.0,-39.0,39.0,39.0,0.0,,0.0,-77.0,5.0,-72.0,0.0,0.0,0.0,-72.0,0.0,-72.0,0.0,-19.0,-91.0,-73.62,17.38,82.543312,-1.102452,-1.102452,-0.891895,83.226399,-1.102452,-1.102452,-0.893624,
03/31/2019,3692.0,3618.0,74.0,-3322.0,3322.0,370.0,0.0,-218.0,27.0,27.0,,45.0,146.0,152.0,-45.0,42.0,43.0,-1.0,,3.0,107.0,2.0,109.0,0.0,0.0,0.0,109.0,0.0,109.0,0.0,-20.0,89.0,129.29,40.29,82.711188,1.08,1.08,1.56315,83.380167,1.07,1.07,1.553208,
06/30/2019,4475.0,4401.0,74.0,-4206.0,4206.0,269.0,0.0,-172.0,34.0,34.0,,47.0,91.0,97.0,-37.0,43.0,43.0,0.0,,-6.0,60.0,-5.0,55.0,0.0,0.0,0.0,55.0,0.0,55.0,0.0,-19.0,36.0,32.84,-3.16,82.742323,0.44,0.44,0.396895,83.509987,0.43,0.43,0.39216,
09/30/2019,4331.0,4262.0,69.0,-4039.0,4039.0,292.0,0.0,-175.0,40.0,40.0,,45.0,90.0,117.0,-45.0,45.0,46.0,-1.0,,0.0,72.0,-6.0,66.0,0.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,66.0,62.84,-3.16,82.749644,0.797587,0.797587,0.759399,83.649898,0.789003,0.789003,0.751226,
12/31/2019,4098.0,4037.0,61.0,-3813.0,3813.0,285.0,0.0,-187.0,35.0,35.0,0.0,46.0,106.0,98.0,-41.0,43.0,44.0,-1.0,-2.0,0.0,57.0,26.0,83.0,0.0,0.0,0.0,83.0,0.0,83.0,0.0,-20.0,63.0,79.59,16.59,82.813411,0.76,0.76,0.961076,83.713959,0.75,0.75,0.948175,
03/31/2020,3272.0,3201.0,71.0,-3164.0,3164.0,108.0,0.0,-190.0,34.0,34.0,,45.0,111.0,-82.0,-43.0,44.0,45.0,-1.0,-1.0,0.0,-125.0,-3.0,-128.0,0.0,0.0,0.0,-128.0,0.0,-128.0,0.0,0.0,-128.0,-121.68,6.32,83.013768,-1.541913,-1.541913,-1.465781,83.013768,-1.541913,-1.541913,-1.465781,
06/30/2020,2080.0,2026.0,54.0,-1722.0,1722.0,358.0,0.0,-150.0,25.0,25.0,,47.0,78.0,208.0,-43.0,44.0,45.0,-1.0,-1.0,0.0,165.0,-8.0,157.0,0.0,0.0,0.0,157.0,0.0,157.0,0.0,-19.0,138.0,147.48,9.48,83.030286,1.65,1.65,1.776219,83.59873,1.64,1.64,1.753399,
09/30/2020,3421.6,,,,,236.0904,,,,,,,,116.25,,,,,,,75.85,,64.075,,,,,,64.075,,,64.075,74.325,,,0.673,0.673,0.789,,0.673,0.673,0.789,
12/31/2020,3503.4,,,,,241.7346,,,,,,,,112.75,,,,,,,60.95,,70.95,,,,,,70.95,,,70.95,69.05,,,0.727,0.727,0.747,,0.727,0.727,0.747,
