Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/1997,4088,1820,1361,434,,,434,473,,473,,-2139.0,-1969.0,0.0,,,-1969.0,,,0.0,0.0,0.0,,,,,-170.0,-1888.0,-1017.0,-60.0,,,,-568.0,0.0,-568.0,-243.0,,61.0,,,
12/31/1997,2661,2500,1406,-45,,,-45,-1200,,-1200,,-1590.0,-2093.0,0.0,,,-2093.0,,,0.0,0.0,0.0,,,,,503.0,-1805.0,-1014.0,39.0,,,,-691.0,340.0,-1031.0,-139.0,,-734.0,,,
03/31/1998,3015,1820,1344,-105,,,-105,-44,,-44,,-1147.0,-1554.0,125.0,,,-1679.0,,,0.0,0.0,0.0,,,,,407.0,-2075.0,-1009.0,-205.0,,,,-797.0,0.0,-797.0,-64.0,,-207.0,565.0,270.0,
06/30/1998,2829,1620,1346,121,,,121,-258,,-258,,-1916.0,-1872.0,135.0,,,-2007.0,,,0.0,0.0,0.0,,,,,-44.0,-2065.0,-1004.0,-126.0,,,,-856.0,0.0,-856.0,-79.0,,-1152.0,924.0,111.0,
09/30/1998,3508,1400,1290,-47,,,-47,865,,865,,-2486.0,-2106.0,43.0,,,-2149.0,,,0.0,0.0,0.0,,,,,-380.0,-1488.0,-1001.0,-22.0,,,,-678.0,0.0,-678.0,213.0,,-466.0,238.0,82.0,
12/31/1998,7084,3234,4375,432,,,432,-957,,-957,,-6433.0,-5676.0,1219.0,,,-6895.0,,,0.0,0.0,0.0,,,,,-757.0,-1485.0,-2829.0,2571.0,,,,-709.0,507.0,-1216.0,-518.0,,-834.0,2902.0,603.0,
03/31/1999,3060,1484,2171,-705,,,-705,110,,110,,-2301.0,-2423.0,234.0,,,-2657.0,,,0.0,0.0,0.0,,,,,122.0,-814.0,-1455.0,789.0,,,,-77.0,0.0,-77.0,-71.0,,-55.0,650.0,177.0,
06/30/1999,3461,1954,1989,-374,,,-374,-108,,-108,,-2970.0,-2788.0,286.0,,,-3074.0,,,0.0,0.0,0.0,,,,,-182.0,-647.0,-1455.0,1303.0,,,,-215.0,0.0,-215.0,-280.0,,-156.0,617.0,207.0,
09/30/1999,4240,2188,1991,219,,,219,-158,,-158,,-2692.0,-2405.0,78.0,,,-2483.0,,,0.0,0.0,0.0,,,,,-287.0,-1408.0,-1453.0,101.0,,,,-52.0,0.0,-52.0,-4.0,,140.0,662.0,230.0,
12/31/1999,7156,4185,4110,-259,,,-259,-880,,-880,,-5778.0,-4716.0,358.0,,,-5074.0,,,0.0,0.0,0.0,,,,,-1062.0,-1786.0,-2883.0,1379.0,,,,92.0,348.0,-256.0,-374.0,,-408.0,2636.0,635.0,
03/31/2000,5490,3480,2128,-1948,,,-1948,1830,,1830,,858.0,213.0,1982.0,,,-1769.0,,,0.0,0.0,0.0,,,,,645.0,-5108.0,-1531.0,-3531.0,,,,109.0,109.0,0.0,-155.0,,1240.0,974.0,225.0,
06/30/2000,5964,4530,1939,-899,,,-899,394,,394,,-751.0,-805.0,1227.0,,,-2032.0,,,0.0,0.0,0.0,,,,,54.0,-2328.0,-1532.0,-786.0,,,,86.0,86.0,0.0,-96.0,,2885.0,1608.0,251.0,
09/30/2000,5408,4490,1901,-491,,,-491,-492,,-492,,-1810.0,-1530.0,505.0,,,-2035.0,,,0.0,0.0,0.0,,,,,-280.0,-2767.0,-1533.0,0.0,,,,-856.0,0.0,-856.0,-378.0,,831.0,1629.0,114.0,
12/31/2000,6075,5220,2162,673,,,673,-1980,,-1980,,-1595.0,-554.0,2056.0,,,-2610.0,,,0.0,0.0,0.0,,,,,-1041.0,-4044.0,-1527.0,-1388.0,,,,-1198.0,298.0,-1496.0,69.0,,436.0,4460.0,139.0,
03/31/2001,8729,5000,1976,75,,,75,1678,,1678,,-1092.0,-1741.0,287.0,,,-2028.0,,,0.0,0.0,0.0,,,,,649.0,-3811.0,-1522.0,-691.0,,,,-1370.0,0.0,-1370.0,-228.0,,3826.0,1491.0,166.0,
06/30/2001,5515,4460,1871,-394,,,-394,-422,,-422,,-2222.0,-1884.0,458.0,,,-2342.0,,,0.0,0.0,0.0,,,,,-338.0,-4901.0,-1515.0,-1694.0,,,,-1406.0,0.0,-1406.0,-286.0,,-1608.0,2691.0,78.0,
09/30/2001,5255,3180,1957,542,,,542,-424,,-424,,-2631.0,-2350.0,143.0,,,-2493.0,,,0.0,0.0,0.0,,,,,-281.0,-2896.0,-1646.0,13.0,,,,-1289.0,0.0,-1289.0,26.0,,-272.0,2357.0,159.0,
12/31/2001,3390,2680,2044,1474,,,1474,-2808,,-2808,,-2266.0,-2936.0,190.0,,,-3126.0,,,0.0,0.0,0.0,,,,,670.0,-3603.0,-1571.0,-400.0,,,,-1355.0,301.0,-1656.0,-277.0,,-2479.0,3316.0,159.0,
03/31/2002,4624,2090,2020,-358,,,-358,872,,872,,-1237.0,-1658.0,768.0,,,-2426.0,,,0.0,0.0,0.0,,,,,421.0,-3312.0,-1563.0,-346.0,,,,-1317.0,0.0,-1317.0,-86.0,,75.0,1644.0,153.0,
06/30/2002,4116,2640,2020,240,,,240,-784,,-784,,-3133.0,-2727.0,110.0,,,-2837.0,,,0.0,0.0,0.0,,,,,-406.0,-1905.0,-1558.0,535.0,,,,-1052.0,0.0,-1052.0,170.0,,-922.0,1479.0,55.0,
09/30/2002,7449,2640,2195,192,,,192,2422,,2422,,-3155.0,-2703.0,181.0,,,-2884.0,,,0.0,0.0,0.0,,,,,-452.0,-3057.0,-1551.0,-478.0,,,,-1033.0,0.0,-1033.0,5.0,,1237.0,1237.0,120.0,
12/31/2002,5079,4090,2075,-328,,,-328,-758,,-758,,-2233.0,-1556.0,1734.0,,,-3290.0,,,0.0,0.0,0.0,,,,,-677.0,-2554.0,-1545.0,-18.0,,,,-1097.0,299.0,-1396.0,106.0,,292.0,1746.0,109.0,
03/31/2003,8646,7040,2182,-2504,,,-2504,1928,,1928,,-735.0,-1605.0,1333.0,,,-2938.0,,,0.0,0.0,0.0,,,,,870.0,-2812.0,-1541.0,-187.0,,,,-1155.0,0.0,-1155.0,71.0,,5099.0,1168.0,92.0,
06/30/2003,7349,4170,2169,468,,,468,542,,542,,-3636.0,-3046.0,248.0,,,-3294.0,,,0.0,0.0,0.0,,,,,-590.0,-3520.0,-1667.0,-611.0,,,,-1056.0,0.0,-1056.0,-186.0,,193.0,2802.0,67.0,
09/30/2003,5704,3650,2203,-2186,,,-2186,2037,,2037,,-3335.0,-2833.0,240.0,,,-3073.0,,,0.0,0.0,0.0,,,,,-502.0,-3875.0,-1658.0,-636.0,,,,-1577.0,0.0,-1577.0,-4.0,,-1506.0,1268.0,161.0,
12/31/2003,6799,6650,2493,2377,,,2377,-4721,,-4721,,-3136.0,-3085.0,469.0,,,-3554.0,,,0.0,0.0,0.0,,,,,-51.0,-4052.0,-1649.0,-690.0,,,,-1659.0,434.0,-2093.0,-54.0,,-389.0,2911.0,109.0,
03/31/2004,10138,5440,2373,-48,,,-48,2373,,2373,,-1581.0,-2356.0,454.0,,,-2810.0,,,0.0,0.0,0.0,,,,,775.0,-3289.0,-1642.0,320.0,,,,-1745.0,0.0,-1745.0,-222.0,,5268.0,1502.0,73.0,
06/30/2004,8652,5790,2350,-138,,,-138,650,,650,,-6569.0,-2004.0,928.0,,,-2932.0,,,0.0,0.0,0.0,,,,,-4565.0,-3800.0,-1763.0,-154.0,,,,-1730.0,0.0,-1730.0,-153.0,,-1717.0,3529.0,58.0,
09/30/2004,9453,5680,2431,210,,,210,1132,,1132,,-2870.0,-2267.0,570.0,,,-2837.0,,,0.0,0.0,0.0,,,,,-603.0,-4652.0,-1753.0,-152.0,,,,-2760.0,0.0,-2760.0,13.0,,1931.0,3461.0,88.0,
12/31/2004,12308,8420,2613,-219,,,-219,1494,,1494,,-3890.0,-2605.0,802.0,,,-3407.0,,,0.0,0.0,0.0,,,,,-1285.0,-5995.0,-1738.0,-1965.0,,,,-2756.0,960.0,-3716.0,464.0,,2423.0,5018.0,109.0,
03/31/2005,12968,7860,2553,-994,,,-994,3549,,3549,,-1086.0,-916.0,1797.0,,,-2713.0,,,0.0,0.0,0.0,,,,,-170.0,-5248.0,-1728.0,9.0,,,,-3087.0,0.0,-3087.0,-442.0,,6634.0,3820.0,66.0,
06/30/2005,9013,7640,2516,-167,,,-167,-976,,-976,,-2128.0,-1706.0,2029.0,,,-3735.0,,,0.0,0.0,0.0,,,,,-422.0,-6402.0,-1840.0,-286.0,,,,-3609.0,0.0,-3609.0,-667.0,,483.0,7047.0,72.0,
09/30/2005,15767,9920,2513,-319,,,-319,3653,,3653,,-4165.0,-2738.0,754.0,,,-3492.0,,,0.0,0.0,0.0,,,,,-1427.0,-8010.0,-1822.0,-738.0,,,,-5289.0,0.0,-5289.0,-161.0,,3592.0,4237.0,223.0,
12/31/2005,10390,10710,2671,-430,,-429.0,-1,-2561,-434.0,-2127,,-2891.0,-2443.0,1456.0,,,-3899.0,,,0.0,0.0,0.0,,,,,-448.0,-8068.0,-1795.0,-487.0,,,,-5295.0,941.0,-6236.0,-491.0,,-569.0,7431.0,112.0,
03/31/2006,14631,8400,2644,330,,,330,3257,,3257,,-3503.0,-3336.0,394.0,,,-3730.0,,,0.0,0.0,0.0,,,,,-167.0,-7854.0,-1957.0,-55.0,,,,-5764.0,0.0,-5764.0,-78.0,,3274.0,4088.0,108.0,
06/30/2006,11296,10360,2760,431,,,431,-2255,,-2255,,-3273.0,-4250.0,0.0,,,-4250.0,,,0.0,0.0,0.0,,,,,977.0,-7855.0,-1926.0,206.0,,,,-6502.0,128.0,-6630.0,367.0,,168.0,8133.0,880.0,
09/30/2006,14497,10490,2730,-1557,,,-1557,2834,,2834,,-3988.0,-3715.0,0.0,,,-3715.0,,,0.0,0.0,0.0,,,,,-273.0,-9888.0,-1892.0,186.0,,,,-7843.0,142.0,-7985.0,-339.0,,621.0,6416.0,111.0,
12/31/2006,8862,10250,3282,-371,,1717.0,-2088,-4299,,-4299,,-3466.0,-1081.0,2686.0,,,-3767.0,,,0.0,0.0,0.0,,,,,-2385.0,-9886.0,-1853.0,-264.0,,,,-7814.0,1365.0,-9179.0,45.0,,-4490.0,7528.0,283.0,
03/31/2007,14286,9280,2942,221,,,221,1843,,1843,,-3238.0,-2568.0,538.0,,,-3106.0,,,0.0,0.0,0.0,,,,,-670.0,-9298.0,-1825.0,331.0,,,,-7788.0,0.0,-7788.0,-16.0,,1750.0,3998.0,137.0,
06/30/2007,11318,10260,2994,273,,,273,-2209,,-2209,,-3085.0,-2651.0,1135.0,,,-3786.0,,,0.0,0.0,0.0,,,,,-434.0,-9268.0,-1961.0,-61.0,,,,-7396.0,237.0,-7633.0,150.0,,-1035.0,8384.0,109.0,
09/30/2007,15063,9410,3159,845,,,845,1649,,1649,,-3742.0,-3186.0,749.0,,,-3935.0,,,0.0,0.0,0.0,,,,,-556.0,-8857.0,-1932.0,-91.0,,,,-7453.0,1010.0,-8463.0,619.0,,2464.0,5565.0,130.0,
12/31/2007,11335,11660,3155,-3336,,124.0,-3460,-144,,-144,,337.0,-2778.0,1782.0,,,-4560.0,,,0.0,0.0,0.0,,,,,3115.0,-9114.0,-1903.0,419.0,,,,-7737.0,201.0,-7938.0,107.0,,2558.0,8395.0,179.0,
03/31/2008,21420,10890,3104,-377,,,-377,7803,,7803,,-4300.0,-3566.0,413.0,,,-3979.0,,,0.0,0.0,0.0,,,,,-734.0,-10188.0,-1879.0,179.0,,,,-9334.0,131.0,-9465.0,846.0,,6932.0,4849.0,184.0,
06/30/2008,13418,11680,3090,-835,,,-835,-517,,-517,,-4468.0,-3713.0,1159.0,,,-4872.0,,,0.0,0.0,0.0,,,,,-755.0,-10895.0,-2098.0,-411.0,,,,-8304.0,457.0,-8761.0,-82.0,,-1945.0,11078.0,153.0,
09/30/2008,14403,14830,3008,-579,,,-579,-2856,,-2856,,-4104.0,-2512.0,2630.0,,,-5142.0,,,0.0,0.0,0.0,,,,,-1592.0,-12593.0,-2063.0,551.0,,,,-8600.0,63.0,-8663.0,-2481.0,,-2294.0,9267.0,151.0,
12/31/2008,10484,7820,3177,2485,,1399.0,1086,-2998,,-2998,,-2627.0,-3542.0,1783.0,,,-5325.0,,,-245.0,1868.0,-2113.0,,,,,1160.0,-13094.0,-2018.0,-846.0,,,,-8410.0,435.0,-8845.0,-1820.0,,-5237.0,8747.0,162.0,
03/31/2009,8910,4550,2793,435,,,435,1132,,1132,0.0,-4740.0,-4532.0,141.0,141.0,0.0,-4673.0,-4673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-208.0,-10105.0,-1981.0,-192.0,-203.0,22.0,-11.0,-7731.0,121.0,-7852.0,-201.0,-530.0,-6465.0,3817.0,101.0,
06/30/2009,2197,3950,3004,-2633,,,-2633,-2124,,-2124,0.0,-4973.0,-4795.0,770.0,770.0,0.0,-5565.0,-5565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-178.0,-7255.0,-2039.0,-33.0,-147.0,123.0,-9.0,-5127.0,119.0,-5246.0,-56.0,635.0,-9396.0,4723.0,94.0,
09/30/2009,8827,4730,2927,1030,,,1030,140,,140,0.0,-6284.0,-5318.0,172.0,172.0,0.0,-5490.0,-5490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-966.0,-6028.0,-2011.0,188.0,148.0,47.0,-7.0,-4098.0,135.0,-4233.0,-107.0,381.0,-3104.0,3602.0,528.0,
12/31/2009,8504,6050,3193,-432,,,-432,-307,,-307,0.0,-6422.0,-6301.0,462.0,462.0,0.0,-6763.0,-6763.0,0.0,555.0,571.0,-16.0,0.0,0.0,0.0,0.0,-676.0,-3895.0,-1992.0,-116.0,-108.0,33.0,-41.0,-1758.0,614.0,-2372.0,-29.0,34.0,-1779.0,3285.0,97.0,
03/31/2010,13046,6300,3280,265,,,265,3201,,3201,0.0,-5167.0,-5332.0,424.0,424.0,0.0,-5756.0,-5756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,-4620.0,-1986.0,-97.0,-121.0,27.0,-3.0,-2453.0,42.0,-2495.0,-84.0,-210.0,3049.0,3896.0,130.0,
06/30/2010,9235,7560,3366,-558,,,-558,-1133,,-1133,0.0,-5078.0,-5216.0,428.0,428.0,0.0,-5644.0,-5644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,-4177.0,-2066.0,-583.0,-576.0,6.0,-13.0,-1471.0,97.0,-1568.0,-57.0,-470.0,-490.0,5591.0,164.0,
09/30/2010,13077,7350,3844,229,,,229,1654,,1654,0.0,-6879.0,-7046.0,755.0,755.0,0.0,-7801.0,-7801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,-7697.0,-2234.0,-2262.0,-32.0,341.0,-2571.0,-3095.0,177.0,-3272.0,-106.0,491.0,-1008.0,4463.0,166.0,
12/31/2010,13055,9250,4270,-588,,,-588,123,,123,0.0,-7080.0,-6016.0,1654.0,1654.0,0.0,-7670.0,-7670.0,0.0,140.0,155.0,-15.0,0.0,0.0,0.0,0.0,-1204.0,-10430.0,-2212.0,-3268.0,-400.0,769.0,-3637.0,-4909.0,849.0,-5758.0,-41.0,36.0,-4419.0,4991.0,243.0,
03/31/2011,16856,10650,3761,-442,,,-442,2887,,2887,0.0,-5353.0,-5710.0,1341.0,1341.0,0.0,-7051.0,-7051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,-6749.0,-2188.0,812.0,743.0,98.0,-29.0,-5269.0,384.0,-5653.0,-104.0,254.0,5008.0,5173.0,103.0,
06/30/2011,12889,10680,3881,137,,,137,-1809,,-1809,0.0,-10504.0,-6315.0,1497.0,1497.0,0.0,-7812.0,-7812.0,0.0,-1754.0,,-1754.0,0.0,0.0,0.0,0.0,-2435.0,-7065.0,-2308.0,576.0,439.0,151.0,-14.0,-5273.0,239.0,-5512.0,-60.0,134.0,-4546.0,8374.0,159.0,
09/30/2011,14849,10330,3866,-423,,,-423,1076,,1076,0.0,-4296.0,-6070.0,1408.0,1408.0,0.0,-7478.0,-7478.0,0.0,1674.0,1674.0,0.0,0.0,0.0,0.0,0.0,100.0,-7397.0,-2277.0,247.0,232.0,208.0,-193.0,-5255.0,213.0,-5468.0,-112.0,-421.0,2735.0,6802.0,128.0,
12/31/2011,10751,9400,4075,442,,,442,-3166,,-3166,0.0,-2012.0,-1747.0,6887.0,6887.0,0.0,-8634.0,-8634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-265.0,-7045.0,-2247.0,322.0,107.0,245.0,-30.0,-5074.0,348.0,-5422.0,-46.0,-52.0,1642.0,6905.0,167.0,
03/31/2012,19287,9450,3842,203,0.0,,203,5792,,5792,0.0,-5351.0,-5330.0,2513.0,2513.0,0.0,-7843.0,-7843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,-8130.0,-2221.0,-403.0,-527.0,129.0,-5.0,-5622.0,82.0,-5704.0,116.0,200.0,6006.0,5416.0,99.0,
06/30/2012,10217,15910,3899,-7208,,,-7208,-2384,,-2384,0.0,-3756.0,-4615.0,3730.0,3730.0,0.0,-8345.0,-8345.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,859.0,-7153.0,-2657.0,567.0,313.0,260.0,-6.0,-5008.0,4.0,-5012.0,-55.0,-176.0,-868.0,6911.0,191.0,
09/30/2012,13442,9570,4037,124,0.0,,124,-289,,-289,0.0,-7492.0,-7419.0,607.0,607.0,0.0,-8026.0,-8026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.0,-10860.0,-2622.0,-3088.0,-3292.0,208.0,-4.0,-5000.0,98.0,-5098.0,-150.0,163.0,-4747.0,5568.0,97.0,
12/31/2012,13224,9950,4110,1656,,,1656,-2492,,-2492,0.0,-9002.0,-9252.0,805.0,805.0,0.0,-10057.0,-10057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,-7725.0,-2592.0,16.0,-250.0,398.0,-132.0,-5115.0,139.0,-5254.0,-34.0,30.0,-3473.0,6454.0,168.0,
03/31/2013,13592,9500,4110,-2339,0.0,,-2339,2321,,2321,0.0,-10054.0,-7134.0,360.0,360.0,0.0,-7494.0,-7494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2920.0,-6694.0,-2561.0,1592.0,1587.0,5.0,0.0,-5619.0,2.0,-5621.0,-106.0,-212.0,-3368.0,7220.0,105.0,
06/30/2013,7683,6860,4405,1701,0.0,,1701,-5283,,-5283,0.0,-8493.0,-8346.0,305.0,305.0,0.0,-8651.0,-8651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-147.0,-715.0,-2794.0,6176.0,5979.0,197.0,0.0,-4017.0,14.0,-4031.0,-80.0,-80.0,-1605.0,7440.0,114.0,
09/30/2013,13431,7870,4287,988,,,988,286,,286,0.0,-8942.0,-8892.0,206.0,206.0,0.0,-9098.0,-9098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-3889.0,-2770.0,1921.0,1917.0,4.0,0.0,-3000.0,44.0,-3044.0,-40.0,101.0,701.0,5211.0,99.0,
12/31/2013,10208,8350,4380,-478,,,-478,-2044,,-2044,0.0,-6712.0,-6590.0,1836.0,1836.0,0.0,-8426.0,-8426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.0,-4178.0,-2750.0,1915.0,1789.0,139.0,-13.0,-3264.0,38.0,-3302.0,-79.0,16.0,-666.0,5195.0,108.0,
03/31/2014,15103,9100,4192,-641,0.0,,-641,2452,,2452,0.0,-6306.0,-6217.0,1111.0,1111.0,0.0,-7328.0,-7328.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-89.0,-7816.0,-2732.0,-1168.0,-6668.0,5500.0,0.0,-3858.0,2.0,-3860.0,-58.0,-24.0,957.0,4145.0,87.0,
06/30/2014,10202,8780,4285,-414,,,-414,-2449,,-2449,0.0,-4177.0,-5986.0,2556.0,2556.0,0.0,-8542.0,-8542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1809.0,-5596.0,-2966.0,432.0,432.0,0.0,0.0,-2989.0,14.0,-3003.0,-73.0,53.0,482.0,6221.0,87.0,
09/30/2014,12396,8070,4362,427,,,427,-463,,-463,0.0,-7645.0,-8071.0,127.0,127.0,0.0,-8198.0,-8198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,-5673.0,-2946.0,312.0,309.0,3.0,0.0,-2998.0,4.0,-3002.0,-41.0,-199.0,-1121.0,3972.0,121.0,
12/31/2014,7415,6570,4458,859,,,859,-4472,,-4472,0.0,-8847.0,-8643.0,241.0,241.0,0.0,-8884.0,-8884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-204.0,1197.0,-2924.0,7390.0,7231.0,228.0,-69.0,-3193.0,125.0,-3318.0,-76.0,-111.0,-346.0,3747.0,85.0,
03/31/2015,7998,4940,4300,-733,,,-733,-509,,-509,0.0,-6352.0,-6360.0,484.0,484.0,0.0,-6844.0,-6844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-854.0,-2910.0,3877.0,-4113.0,8000.0,-10.0,-1781.0,0.0,-1781.0,-40.0,-224.0,568.0,1226.0,170.0,
