Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2013,6251,652,652,0,1199,1199,0.0,,310,89,220,0,1,230,,,317.0,,21.0,2391,2004,,,0,1856,1423,881,542,,116,3860,,446,247,,,199.0,38,0.0,,,,38.0,693,,,693,1177,1779,1779,,,,2588,,2123.0,,,404.0,,61,4367,5544,0,1893.0,1.0,1892.0,-1,39,-1224,707,0,707,6251,
06/30/2013,6047,623,623,0,1101,1101,0.0,,321,93,228,0,0,224,,,253.0,,45.0,2269,1990,,,0,1788,1418,881,537,,117,3778,,703,287,,,416.0,52,0.0,,,,52.0,465,,,465,1220,1765,1765,,,,2189,,1719.0,,,406.0,,64,3954,5174,0,1905.0,1.0,1904.0,-27,91,-1096,873,0,873,6047,
09/30/2013,6279,895,895,0,1055,1055,0.0,,340,93,248,0,-1,241,,,248.0,,23.0,2531,1964,,,0,1784,1413,881,532,,123,3748,,790,287,73.0,,430.0,65,0.0,,,,65.0,547,,,547,1402,1743,1743,,,,2199,,1738.0,,,409.0,,52,3942,5344,0,1915.0,1.0,1914.0,-57,155,-1078,935,0,935,6279,
12/31/2013,6225,1043,1043,0,1123,1123,0.0,,311,91,218,0,2,199,0.0,,,,29.0,2676,1897,3301.0,-1404.0,0,1652,1409,881,528,124.0,119,3549,,797,337,,,460.0,79,0.0,0.0,0.0,,79.0,516,0.0,0.0,516,1392,1700,1700,0.0,0.0,,1612,0.0,1006.0,,,419.0,83.0,104,3312,4704,0,1926.0,1.0,1925.0,-120,236,-521,1521,0,1521,6225,
03/31/2014,6107,742,742,0,1299,1299,0.0,,315,94,219,0,2,188,,,92.0,,25.0,2544,1856,3312.0,-1456.0,0,1707,1450,922,528,126.0,39,3563,,457,263,,,194.0,79,0.0,,,,79.0,704,,,704,1240,1700,1700,,,,1606,,986.0,,,422.0,92.0,106,3306,4546,0,1905.0,1.0,1904.0,-145,316,-515,1561,0,1561,6107,
06/30/2014,6080,592,592,0,1216,1216,0.0,,294,96,195,0,3,225,,,112.0,,46.0,2327,1850,3342.0,-1492.0,0,1903,1646,1089,557,127.0,18,3753,,740,297,,,443.0,86,0.0,,,,86.0,441,,,441,1267,1679,1679,,,,1565,,919.0,,,424.0,112.0,110,3244,4511,0,1897.0,1.0,1896.0,-225,406,-509,1569,0,1569,6080,
09/30/2014,6125,769,769,0,1144,1144,0.0,,272,95,176,0,1,195,,,118.0,,28.0,2380,1852,3377.0,-1525.0,0,1893,1637,1086,551,129.0,9,3745,,727,268,,,459.0,93,0.0,,,,93.0,414,,,414,1234,1650,1650,,,,1579,,938.0,,,424.0,118.0,99,3229,4463,0,1908.0,1.0,1907.0,-232,492,-506,1662,0,1662,6125,
12/31/2014,6239,990,990,0,1038,1038,0.0,,339,91,248,0,0,50,0.0,,341.0,,50.0,2417,1792,3143.0,-1351.0,0,2030,1573,1026,547,17.0,99,3822,,738,269,,,469.0,108,0.0,0.0,0.0,,108.0,466,0.0,0.0,466,1312,1562,1562,0.0,0.0,,2000,0.0,1446.0,,,449.0,0.0,105,3562,4874,0,1960.0,1.0,1959.0,-258,525,-862,1365,0,1365,6239,
03/31/2015,6319,904,904,0,1219,1219,0.0,,336,95,241,0,0,169,,,203.0,,37.0,2628,1768,3156.0,-1388.0,0,1923,1572,1032,540,21.0,127,3691,,713,307,,,406.0,108,0.0,,,,108.0,511,,,511,1332,1592,1592,,,,2015,,1458.0,,,453.0,,104,3607,4939,0,1923.0,1.0,1922.0,-287,593,-849,1380,0,1380,6319,
06/30/2015,6312,960,960,0,1244,1244,0.0,,319,93,226,0,0,171,,,204.0,,39.0,2694,1757,3173.0,-1416.0,0,1861,1507,973,534,25.0,125,3618,,691,269,,,422.0,374,0.0,,,,374.0,524,,,524,1589,1305,1305,,,,1933,,1377.0,,,454.0,,102,3238,4827,0,1943.0,1.0,1942.0,-351,729,-836,1485,0,1485,6312,
09/30/2015,6042,671,671,0,1278,1278,0.0,,308,91,217,0,0,162,,,188.0,,36.0,2419,1750,3203.0,-1453.0,0,1873,1501,973,528,28.0,156,3623,,738,296,,,442.0,0,0.0,,,,0.0,556,,,556,1294,1305,1305,,,,1953,,1392.0,,,458.0,,103,3258,4552,0,1949.0,1.0,1948.0,-454,821,-826,1490,0,1490,6042,
12/31/2015,6024,894,894,0,1074,1074,0.0,,285,92,193,0,0,31,0.0,,336.0,,31.0,2284,1827,3316.0,-1489.0,0,1913,1451,956,495,0.0,126,3740,,759,317,,,442.0,0,0.0,0.0,0.0,,0.0,515,0.0,0.0,515,1274,1273,1273,0.0,0.0,,1987,0.0,1424.0,,,460.0,,103,3260,4534,0,1979.0,1.0,1978.0,-492,848,-845,1490,0,1490,6024,
03/31/2016,5896,793,793,0,1086,1086,0.0,,283,94,189,0,0,41,,,313.0,,41.0,2203,1809,3328.0,-1519.0,0,1884,1446,956,490,,125,3693,,666,252,,,414.0,0,,,,,,489,,,489,1155,1275,1275,,,,1945,,1383.0,960.0,423.0,462.0,,100,3220,4375,0,1934.0,1.0,1933.0,-540,960,-833,1521,0,1521,5896,
06/30/2016,5859,852,852,0,1022,1022,0.0,,280,96,184,0,0,43,,,282.0,,43.0,2197,1813,3368.0,-1555.0,0,1849,1440,956,484,,127,3662,,677,252,,,425.0,0,,,,,,464,,,464,1141,1276,1276,,,,1830,,1280.0,856.0,424.0,462.0,,88,3106,4247,0,1940.0,1.0,1939.0,-576,1069,-821,1612,0,1612,5859,
09/30/2016,6008,957,957,0,1046,1046,0.0,,268,98,170,0,0,73,,,253.0,,73.0,2344,1841,3433.0,-1592.0,0,1823,1435,956,479,,135,3664,,731,293,,,438.0,0,,,,,,497,,,497,1228,1277,1277,,,,1851,,1290.0,866.0,424.0,462.0,,99,3128,4356,0,1950.0,1.0,1949.0,-644,1154,-808,1652,0,1652,6008,
12/31/2016,6352,720,720,0,1164,1164,0.0,,210,94,116,0,0,48,0.0,,314.0,,48.0,2142,1986,3613.0,-1627.0,0,2224,1782,1234,548,,128,4210,,774,316,,,458.0,0,0.0,0.0,0.0,,,569,0.0,0.0,569,1343,1278,1278,0.0,0.0,,2078,0.0,1547.0,1116.0,431.0,441.0,,90,3356,4699,0,1965.0,1.0,1964.0,-684,1323,-951,1653,0,1653,6352,
03/31/2017,6234,608,608,0,1178,1178,0.0,,230,96,134,0,0,47,,,292.0,,47.0,2063,1986,3647.0,-1661.0,0,2185,1771,1234,537,,122,4171,,759,333,,,426.0,0,0.0,,,,,514,,,514,1273,1280,1280,,,,2043,,1511.0,1080.0,431.0,443.0,,89,3323,4596,0,1915.0,1.0,1914.0,-756,1414,-935,1638,0,1638,6234,
06/30/2017,6190,553,553,0,1201,1201,0.0,,204,97,107,0,0,75,,,267.0,,75.0,2033,2034,3733.0,-1699.0,0,2123,1746,1218,528,,110,4157,,787,325,,,462.0,0,0.0,,,,,460,,,460,1247,1281,1281,,,,2012,,1474.0,1043.0,431.0,443.0,,95,3293,4540,0,1929.0,1.0,1928.0,-894,1534,-919,1650,0,1650,6190,
09/30/2017,6172,499,499,0,1200,1200,0.0,,183,95,88,0,0,57,,,288.0,,57.0,1939,2093,3823.0,-1730.0,0,2140,1735,1217,518,,117,4233,,796,318,,,478.0,0,0.0,,,,,479,,,479,1275,1282,1282,,,,1903,,1356.0,926.0,430.0,448.0,,99,3185,4460,0,1936.0,1.0,1935.0,-931,1656,-949,1712,0,1712,6172,
12/31/2017,6374,701,701,0,429,429,0.0,759.0,183,93,90,0,0,123,0.0,,114.0,,123.0,2195,2215,3985.0,-1770.0,0,1964,1725,1217,508,,125,4179,,870,375,,,495.0,0,0.0,0.0,0.0,,,521,0.0,0.0,375,1391,1279,1279,0.0,0.0,,1946,0.0,1336.0,922.0,414.0,509.0,,101,3225,4616,0,1943.0,1.0,1942.0,-972,1687,-900,1758,0,1758,6374,
03/31/2018,6376,528,528,0,343,343,0.0,1064.0,188,95,93,0,0,87,,,102.0,,87.0,2210,2219,4374.0,-2155.0,0,1947,1716,1217,499,,129,4166,,840,344,,,496.0,0,0.0,,,,,623,,,623,1463,1280,1280,,,,1915,,1301.0,887.0,414.0,512.0,,102,3195,4658,0,1925.0,1.0,1924.0,-1138,2029,-1098,1718,0,1718,6376,
06/30/2018,6375,398,398,0,364,364,0.0,1078.0,174,99,75,0,0,138,,,92.0,,138.0,2152,2258,4033.0,-1775.0,0,1965,1707,1217,490,,166,4223,,883,378,,,505.0,0,0.0,,,,,626,,,626,1509,1281,1281,,,,1886,,1250.0,836.0,414.0,506.0,,130,3167,4676,0,1933.0,1.0,1932.0,-1385,2236,-1085,1699,0,1699,6375,
09/30/2018,6199,68,68,0,472,472,0.0,1039.0,180,103,77,0,0,100,,,98.0,,100.0,1859,2332,3593.0,-1261.0,0,2008,1697,1217,480,,213,4340,,908,407,,,501.0,0,0.0,,,,,723,,,456,1631,1282,1282,,,,1461,,849.0,436.0,413.0,471.0,,141,2743,4374,0,1945.0,1.0,1944.0,-1484,2434,-1070,1825,0,1825,6199,
12/31/2018,6383,240,240,0,252,252,0.0,1003.0,128,94,34,0,0,122,0.0,,163.0,,122.0,1745,2517,4346.0,-1829.0,0,2121,1755,1263,492,,203,4638,,1035,562,,,473.0,0,0.0,0.0,0.0,,,794,0.0,0.0,463,1829,1283,1283,0.0,0.0,,1755,0.0,1112.0,764.0,348.0,454.0,,189,3038,4867,0,1955.0,1.0,1954.0,-1760,2609,-1288,1516,0,1516,6383,
03/31/2019,7000,51,51,0,375,375,0.0,1250.0,127,98,29,0,0,119,,,140.0,,119.0,1922,2789,4651.0,-1862.0,0,2289,1932,1402,530,,217,5078,,1107,618,,,489.0,36,0.0,36.0,,36.0,,817,,,457,1960,1680,1496,184.0,,184.0,1797,,1113.0,765.0,348.0,459.0,,225,3477,5437,0,1937.0,1.0,1936.0,-1796,2691,-1269,1563,0,1563,7000,
06/30/2019,7230,29,29,0,564,564,0.0,1259.0,126,99,27,0,0,145,,,120.0,,145.0,2123,2842,4738.0,-1896.0,0,2265,1921,1403,518,,224,5107,,1126,616,,,510.0,37,0.0,37.0,,37.0,,739,,,401,1902,1877,1698,179.0,,179.0,1823,,1109.0,763.0,346.0,459.0,,255,3700,5602,0,1944.0,1.0,1943.0,-1848,2783,-1251,1628,0,1628,7230,
09/30/2019,7184,32,32,0,489,489,0.0,1218.0,139,102,37,0,0,147,,,102.0,,147.0,2025,2908,4843.0,-1935.0,0,2251,1908,1402,506,,241,5159,,1143,616,,,527.0,36,0.0,36.0,,36.0,,771,,,427,1950,1721,1549,172.0,,172.0,1808,,1094.0,749.0,345.0,455.0,,259,3529,5479,0,1951.0,1.0,1950.0,-1916,2902,-1232,1705,0,1705,7184,
12/31/2019,7031,75,75,0,318,318,0.0,989.0,136,106,30,0,0,267,0.0,95.0,108.0,148.0,24.0,1785,3033,4994.0,-1961.0,0,2213,1865,1373,492,,240,5246,,987,497,,,490.0,51,0.0,51.0,0.0,51.0,,852,0.0,0.0,479,1890,1450,1286,164.0,0.0,164.0,2103,0.0,1355.0,975.0,380.0,457.0,,291,3553,5443,0,1962.0,1.0,1961.0,-1974,3009,-1409,1588,0,1588,7031,
03/31/2020,7615,28,28,0,418,418,0.0,1211.0,154,117,37,0,0,326,,178.0,85.0,108.0,40.0,2137,3033,4972.0,-1939.0,0,2445,2129,1648,481,,231,5478,,1030,536,,,494.0,151,88.0,63.0,,63.0,,899,,,512,2080,1820,1667,153.0,,153.0,2072,,1319.0,941.0,378.0,462.0,,291,3892,5972,0,1956.0,1.0,1955.0,-2058,3139,-1394,1643,0,1643,7615,
06/30/2020,8233,631,631,0,494,494,0.0,1134.0,160,123,37,0,0,320,,173.0,78.0,104.0,43.0,2739,3053,5028.0,-1975.0,0,2441,2118,1576,542,,245,5494,,968,437,,,531.0,57,0.0,57.0,,57.0,,1089,,,516,2114,2423,2276,147.0,,147.0,2018,,1258.0,882.0,376.0,464.0,,296,4441,6555,0,1962.0,1.0,1961.0,-2058,3150,-1376,1678,0,1678,8233,
