Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Maintenance Expense,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Income from Uncon JVs,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Abnormal Losses/(Gains),Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Recurring Capital Expenditure,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
09/30/1996,28.313,27.74,,0.0,0.0,0.573,-17.874,9.682,,,,1.542,5.296,0.0,,1.354,10.439,-6.947,6.925,,0.022,3.492,0.0,,,,,0.0,,,3.492,,2.848,,,1.601,1.601,,10.944,0.26,0.26,0.26,10.944,0.26,0.26,0.26,,,,,,,,,,,,8.813,,8.813,,8.813,0.805281,0.805281,0.51,63.331898,63.331898,63.315558,
12/31/1996,29.143,28.563,,0.0,0.0,0.58,-18.154,8.489,,,,1.533,5.711,0.0,,2.421,10.989,-6.241,6.482,,-0.241,4.748,0.0,,,,,0.0,,,4.748,,3.876,,,1.639,1.639,,10.949,0.27,0.27,0.27,10.949,0.27,0.27,0.27,,,,,,,,,,,,9.228,,9.228,,9.228,0.842817,0.842817,0.51,60.511381,60.511381,60.500654,
03/31/1997,29.839001,29.356001,0.0,0.0,0.0,0.483,-18.385,9.822,,,,1.416,5.895,0.0,,1.252,11.454,-6.75,6.75,0.0,0.0,4.704,0.0,,,,,0.0,,,4.704,,4.177,,,2.99,2.99,,11.417,0.26,0.26,0.26,11.489,0.26,0.26,0.26,,,,,,,,,,,,8.885,,8.885,,8.885,0.773348,0.773348,0.535,69.179688,69.179688,65.931341,
06/30/1997,32.720001,32.272999,0.0,0.0,0.0,0.447,-20.417,10.762,,,,1.6,6.455,0.0,,1.6,12.303,-6.842,6.842,0.0,0.0,5.461,0.0,,,,,0.0,,,5.461,,4.81,,,3.622,3.622,,13.356,0.27,0.27,0.27,13.41,0.27,0.27,0.27,,,,,,,,,,,,10.077,,10.077,,10.077,0.751454,0.751454,0.535,71.195301,71.195301,70.646028,
09/30/1997,34.395,33.758999,0.0,0.0,0.0,0.636,-21.922,11.864,,,,1.691,6.739,0.0,,1.628,12.473,-7.388,7.388,0.0,0.0,5.085,0.0,,,,,0.0,,,5.085,,4.465,,,3.278,3.278,,13.39,0.24,0.24,0.24,13.453,0.24,0.24,0.24,,,,,,,,,,,,9.815,,9.815,,9.815,0.729577,0.729577,0.535,73.330165,73.330165,72.868062,
12/31/1997,42.162,40.285,,0.164,,1.713,-25.824,15.476,,,,1.831,8.517,,,,16.338,-9.046,8.982,,0.064,7.292,,,,,,8.622,,,,,-2.225,,,-3.915,-3.915,,20.038,-0.23,-0.23,-0.23,20.038,-0.23,-0.23,-0.23,,,,,,,,,,,,,,,,,,,0.55,,,,
03/31/1998,50.982,49.93,0.0,0.382,0.0,0.67,-21.139,18.523,,,,2.616,10.842,0.0,,2.189,19.001,-11.534,11.534,0.0,0.0,7.467,0.0,,,,,0.371,,,7.096,,6.675,,,4.412,4.412,,18.551,0.24,0.26,0.26,18.613,0.24,0.26,0.26,,,,,,,,,,,,15.601,,15.601,,15.601,0.838178,0.838178,0.55,65.618552,65.618552,65.752198,
06/30/1998,52.166,51.112999,0.0,0.265,0.0,0.788,-32.859999,17.261999,,,,2.377,11.242,0.0,,1.979,19.306,-11.847,12.269,0.0,-0.422,7.459,0.0,,,,,0.619,,,6.84,,6.094,,,3.818,3.818,,18.693001,0.2,0.23,0.23,21.725,0.2,0.23,0.23,,,,,,,,,,,,15.109,,15.109,,15.109,0.695466,0.695466,0.55,79.083661,79.083661,68.422795,
09/30/1998,56.085999,54.362999,0.0,0.814,0.0,0.909,-36.098999,18.539,,,,3.423,11.657,0.0,,2.48,19.987,-12.223,12.223,0.0,0.0,7.764,0.0,,,,,0.0,,,7.764,,7.154,,,3.719,3.719,,18.802,0.2,0.2,0.2,21.841999,0.2,0.2,0.2,,,,,,,,,,,,15.327,,15.327,,15.327,0.701721,0.701721,0.55,78.378678,78.378678,67.60619,
12/31/1998,56.244,55.185,,0.38,,0.679,-36.581,20.982,,,,3.319,12.28,0.0,,0.0,19.663,-12.353,12.284,0.0,0.069,7.31,0.0,,,,,,,,7.31,,6.833,,,3.377,3.377,,21.852,0.18,0.18,0.18,21.852,0.18,0.18,0.18,,,,,,,,,,,,17.956,,17.956,,17.956,0.82171,0.82171,0.575,69.976053,69.976053,69.976053,
03/31/1999,57.11,56.182,0.0,0.246,0.0,0.682,-24.389,21.25,,,,3.139,12.516,0.0,,0.0,20.205,-7.974,12.693,-0.021,-4.698,12.21,0.0,,,,,0.067,,,12.143,,10.947,,,6.92,6.92,,18.902,0.37,0.369643,0.37,22.941,0.37,0.369643,0.37,,,,,,,,,,,,15.902,,15.902,,15.902,0.693169,0.693169,0.575,82.952302,82.952302,68.40649,
06/30/1999,56.362,55.04,0.0,0.177,0.0,1.145,-24.216,21.206,,,,3.01,12.625,0.0,,2.579,19.521,-17.216,12.88,-0.03,4.366,2.275,0.0,,,,,0.0,,,2.275,,2.689,,,-1.34,-1.34,,18.967,-0.07,-0.07,-0.07,18.967,-0.07,-0.07,-0.07,,,,,,,,,,,,31.232,,31.232,,31.232,1.646649,1.646649,0.575,34.919394,34.919394,34.919394,
09/30/1999,56.983,55.956,0.0,0.149,0.0,0.878,-25.67,21.826,,,,3.844,12.195,0.0,,0.0,19.118,-7.688,12.798,0.015,-5.125,11.445,0.0,,,,,0.0,,,11.445,,10.528,,,6.5,6.5,,19.013,0.34,0.34,0.34,19.013,0.34,0.34,0.34,,,,,,,,,,,,-31.232,,-31.232,,-31.232,-1.642666,-1.642666,0.575,,,,
12/31/1999,55.918996,54.920008,0.0,0.179,0.0,0.82,-27.431004,10.378004,,,,4.486,12.567,0.0,,,15.408998,9.508002,9.930998,0.052,-19.491,24.917,0.0,,,,,0.0,,,24.917,,9.407999,,,5.377999,5.377999,,18.254,0.29462,0.29462,0.29462,18.323003,0.293511,0.293511,0.293511,,,,,,,,,,,,-32.961999,,-32.961999,,-32.961999,-1.798941,-1.798941,0.58,,,,
03/31/2000,55.449001,54.492001,0.0,0.18,0.0,0.777,-37.552999,20.313999,,,,3.78,13.459,0.0,,0.0,17.896,-9.984,12.934,0.041,-2.991,7.912,0.0,,,,,0.056,,,7.856,,7.316,,,3.286,3.286,,17.629999,0.19,0.19,0.19,17.655001,0.19,0.19,0.19,,,,,,,,,,,,14.553,,14.553,,14.553,0.824299,0.824299,0.58,70.362816,70.362816,70.260427,
06/30/2000,55.709999,54.256001,0.0,0.182,0.0,1.272,-37.482001,20.259001,,,,3.746,13.477,0.0,,0.0,18.228,-6.033,12.318,0.109,-6.394,12.195,0.0,,,,,0.148,,,12.047,,10.644,,,6.615,6.615,,17.584,0.37,0.38,0.38,17.653999,0.37,0.38,0.38,,,,,,,,,,,,14.635,,14.635,,14.635,0.828991,0.828991,0.58,69.964601,69.964601,69.689101,
09/30/2000,56.966,55.494999,0.0,0.187,0.0,1.284,-38.465999,22.028999,,,,3.7,12.737,0.0,,0.0,18.5,-12.536,13.626,0.029,-1.119,5.964,0.0,,,,,0.0,,,5.964,,5.627,,,1.599,1.599,,17.483,0.09,0.09,0.09,17.568001,0.09,0.09,0.09,,,,,,,,,,,,13.69,,13.69,,13.69,0.779258,0.779258,0.58,74.429807,74.429807,74.068663,
12/31/2000,56.672001,54.796001,0.0,0.19,0.0,1.686,-39.373,20.844,,,,3.6,14.929,0.0,,0.0,17.299,-10.753,11.858,-0.022,-1.083,6.546,0.0,,,,,0.0,,,6.546,,6.2,,,2.173,2.173,,17.5,0.12,0.12,0.12,17.51,0.12,0.12,0.12,,,,,,,,,,,,14.578,,14.578,,14.578,0.832553,0.832553,0.58,69.665248,69.665248,69.543144,
03/31/2001,56.756001,55.535,0.0,0.188,0.0,1.033,-38.358001,23.391001,,,,1.441,13.526,0.0,,0.0,18.398,-13.435,13.459,0.145,-0.169,4.963,0.0,,,,,0.0,,,4.963,,4.861,,,0.833,0.833,,17.479,0.05,0.05,0.05,17.51,0.05,0.05,0.05,,,,,,,,,,,,14.143,,14.143,,14.143,0.80771,0.80771,0.585,72.426996,72.426996,84.444602,
06/30/2001,58.073002,56.699001,0.0,0.191,0.0,1.183,-38.429001,23.863001,,,,1.472,13.094,0.0,,0.0,19.644,-14.45,14.479,-0.034,0.005,5.194,0.0,,,,,0.443,,,4.751,,4.602,,,0.573,0.573,,17.396999,0.03,0.06,0.06,17.48,0.03,0.06,0.06,,,,,,,,,,,,14.415,,14.415,,14.415,0.824657,0.824657,0.585,70.938606,70.938606,70.600069,
09/30/2001,57.240002,56.046001,0.0,0.19,0.0,1.004,-38.396999,23.966999,,,,1.514,12.916,0.0,,0.0,18.843,-3.717,13.554,0.063,-9.9,15.126,0.0,,,,,0.183,,,14.943,,13.09,,,9.062,9.062,,17.406,0.52,0.53,0.53,17.569,0.52,0.53,0.53,,,,,,,,,,,,14.274,,14.274,,14.274,0.812454,0.812454,0.585,72.004098,72.004098,71.339498,
12/31/2001,56.265999,57.990002,0.0,0.186,0.0,0.0,-37.534,23.566999,,,,1.452,12.515,0.0,,0.0,18.732,-11.711,13.458,0.122,-1.869,7.021,0.0,,,,,0.407,,,6.614,,6.145,,,2.117,2.117,,17.568001,0.12,0.14,0.14,17.568001,0.12,0.14,0.14,,,,,,,,,,,,14.38,,14.38,,14.38,0.818534,0.818534,0.585,71.469263,71.469263,60.653686,
03/31/2002,57.191002,55.023998,0.0,0.186,0.0,1.981,-39.826,24.712,,,,1.605,13.509,0.0,,0.0,17.365,-12.978,13.019,0.023,-0.064,4.387,0.0,,,,,0.0,,,4.387,,4.3,,,0.272,0.272,,17.455,0.02,0.02,0.02,17.596001,0.02,0.02,0.02,,,,,,,,,,,,13.877,,13.877,,13.877,0.788645,0.788645,0.585,74.177852,74.177852,74.180298,
06/30/2002,58.332001,55.955002,0.0,0.193,0.0,2.184,-40.368,25.024,,,,1.697,13.647,0.0,,0.0,17.964,-12.748,13.026,0.19,-0.468,5.216,0.0,,,,,0.0,,,5.216,,4.97,,,0.941,0.941,,17.497999,0.05,0.06,0.06,17.749001,0.05,0.05,0.05,,,,,,,,,,,,14.392,,14.392,,14.392,0.810863,0.810863,0.585,72.145397,72.145397,71.122846,
09/30/2002,59.595001,57.116001,0.0,0.191,0.0,2.288,-42.13,26.23,,,,1.686,14.214,0.0,,0.0,17.465,-13.678,13.347,0.204,0.127,3.787,0.0,,,,,-0.038,,,3.825,,3.797,,,-0.231,-0.231,,17.579,-0.01,-0.01,-0.01,17.579,-0.01,-0.01,-0.01,,,,,,,,,,,,14.211,,14.211,,14.211,0.808408,0.808408,0.585,72.364471,72.364471,72.366477,
12/31/2002,58.227001,57.756001,0.0,0.205,0.0,0.266,-40.83,25.458,,,,1.557,13.815,0.0,,0.0,17.397,-14.335,12.768,0.115,1.452,3.062,0.0,,,,,-0.039,,,3.101,,3.074,,,-2.911,-2.911,,17.712,-0.16,-0.16,-0.08,17.712,-0.16,-0.16,-0.08,,,,,,,,,,,,10.872,,10.872,,10.872,0.613821,0.613821,0.585,95.304636,95.304636,95.290655,
03/31/2003,57.775002,55.249001,0.0,0.248,0.0,2.278,-41.02,25.319,,,,1.826,13.875,0.0,,0.0,16.755,-12.305,12.259,0.125,-0.079,4.45,0.0,,,,,-0.009,,,4.459,,4.326,,,0.401,0.401,,17.752001,0.02,0.02,0.02,17.921,0.02,0.02,0.02,,,,,,,,,,,,14.524,,14.524,,14.524,0.810446,0.810446,0.585,72.182491,72.182491,71.502341,
06/30/2003,58.317001,56.048,0.0,0.266,0.0,2.003,-41.809,26.052,,,,1.774,13.983,0.0,,0.0,16.508,-11.136,11.276,0.183,-0.323,5.372,0.0,,,,,0.061,,,5.311,,5.105,,,1.18,1.18,,17.823999,0.07,0.07,0.05,18.047001,0.07,0.07,0.05,,,,,,,,,,,,15.069,,15.069,,15.069,0.834986,0.834986,0.585,70.061023,70.061023,69.195036,
09/30/2003,59.534,57.0,0.0,0.215,0.0,2.319,-44.310999,27.962999,,,,1.749,14.599,0.0,,0.0,15.223,-9.719,11.887,0.008,-2.176,5.504,0.0,,,,,-1.744,,,7.248,,6.47,,,-3.062,-3.062,,18.302,-0.17,-0.26,-0.38,18.302,-0.17,-0.26,-0.38,,,,,,,,,,,,8.655,,8.655,,8.655,0.472899,0.472899,0.585,123.705026,123.705026,123.708839,
12/31/2003,63.640999,63.375,0.0,0.093,0.0,0.173,-46.63,28.643,,,,1.886,16.101,0.0,,0.0,17.011,-12.3,12.142,0.633,-0.475,4.711,0.0,,,,,0.163,,,4.548,,4.305,,,0.281,0.281,,19.948999,0.01,0.02,0.0,19.948999,0.01,0.02,0.0,,,,,,,,,,,,17.118999,,17.118999,,17.118999,0.858138,0.858138,0.585,68.170831,68.170831,68.169872,
03/31/2004,65.643997,62.917999,0.0,0.145,0.0,2.581,-48.961001,29.584,,,,2.371,17.006001,0.0,,0.0,16.683,-11.132,12.801,0.041,-1.71,5.551,0.0,,,,,0.076,,,5.475,,5.055,,,1.349,1.349,,20.038,0.07,0.07,-0.01,20.365,0.07,0.07,-0.01,,,,,,,,,,,,17.490999,,17.490999,,17.490999,0.858875,0.858875,0.585,68.112319,68.112319,67.017327,
06/30/2004,66.202003,63.353001,0.0,0.149,0.0,2.7,-49.610002,30.221001,,,,2.515,16.874001,0.0,,0.0,16.592,-11.539,12.435,0.033,-0.929,5.053,0.0,,,,,-0.473,,,5.526,,4.992,,,1.286,1.286,,20.275,0.06,0.04,-0.01,20.584999,0.06,0.04,-0.01,,,,,,,,,,,,17.275,,17.275,,17.275,0.839203,0.839203,0.585,69.708969,69.708969,69.70767,
09/30/2004,67.681999,64.862,0.0,0.149,0.0,2.671,-50.954,31.82,,,,1.953,17.181,0.0,,0.0,16.728,-13.079,13.304,0.061,-0.286,3.649,0.0,,,,,0.054,,,3.595,,3.131,,,-0.576,-0.576,,20.337999,-0.03,-0.03,-0.04,20.337999,-0.03,-0.03,-0.04,,,,,,,,,,,,17.135,,17.135,,17.135,0.842512,0.842512,0.585,69.435246,69.435246,69.436825,
03/31/2005,71.693,71.575,0.0,0.118,0.0,0.0,-53.599,32.434,,,,2.656,18.509,0.0,,0.0,18.094,-13.254,13.732,-0.318,-0.16,4.84,0.0,,,,4.326,0.254,,,4.586,0.26,4.326,-3.713,,0.613,0.613,,20.928,0.03,0.04,0.04,21.212,0.03,0.04,0.04,,17.718,0.132,,,,,0.025,,,-0.007,37.482,-0.018,37.464,-2.805,34.659,1.571147,1.453512,0.585,37.233945,40.247338,32.663358,
06/30/2005,72.517,72.414,0.0,0.103,0.0,0.0,-53.528,33.121,,,,2.163,18.244,0.0,,0.0,18.989,-9.971,14.893,-1.53,-3.392,9.018,0.0,,,,8.193,0.047,,,8.971,0.778,8.193,-3.635,,4.558,4.558,,21.351,0.21,0.22,0.22,21.625,0.21,0.21,0.21,,17.909,0.115,,0.343,,,-0.016,,,0.016,20.502,,20.502,-4.404,16.098,0.845164,0.663616,0.585,69.217296,88.153373,60.92252,
09/30/2005,74.922,74.871,0.0,0.051,0.0,0.0,-56.46,35.114,,,,2.329,19.017,0.0,,0.0,18.462,-14.809,15.713,0.052,-0.956,3.653,0.0,,,,3.615,-0.053,,,3.706,0.091,3.615,-3.49,,0.125,0.125,,21.548,0.01,0.01,-0.03,21.844,0.01,0.01,-0.03,,18.682,,,0.116,,,,0.118,,-0.874,18.299,0.0,18.299,-5.035,13.264,0.747966,0.542162,0.585,78.212061,107.901274,68.886715,
12/31/2005,77.141,85.712,0.0,0.053,0.0,-8.624,-56.714,34.865,,,,3.206,18.643,0.0,,0.0,20.427,-16.566,16.115,0.008,0.443,3.861,0.0,,,,3.61,-0.191,,,4.052,0.442,3.61,3.491,,0.119,0.119,,21.78,0.0,-0.01,0.03,22.0,0.0,-0.01,0.03,,,0.119,18.916,,,,,,,-0.116,19.872,,19.872,,19.872,0.808199,0.808199,0.595,73.620471,73.620471,65.212862,
03/31/2006,77.391,73.854,0.0,0.052,0.0,3.485,-55.441,33.44,,,,3.361,18.64,0.0,,0.0,21.95,-16.604,16.087,0.084,0.433,5.346,0.0,,,,5.126,-0.193,,,5.539,0.413,5.126,-3.49,,1.636,1.636,,22.134,0.07,0.06,0.08,22.366,0.07,0.06,0.08,,18.302,0.14,,0.29,,,,,,0.0,20.781,0.0,20.781,-2.982,17.799,0.835081,0.71525,1.19,142.501083,166.375358,126.747798,
06/30/2006,79.795,76.305,0.0,0.052,0.0,3.438,-57.909,35.841,,,,2.682,19.386,0.0,,0.0,21.886,-15.836,16.24,0.035,-0.439,6.05,0.0,,,,5.892,-0.25,,,6.3,0.408,5.892,-3.491,,2.401,2.401,,23.152,0.1,0.09,0.09,23.374,0.1,0.09,0.09,,19.042,0.121,,0.13,,,,,,-0.225,21.877,0.0,21.877,-6.9,14.977,0.845194,0.57862,0.595,70.398044,102.830874,62.967683,
09/30/2006,82.183,78.598,0.0,0.053,0.0,3.532,-60.584,38.548,,,,2.555,19.481,0.0,,0.0,21.599,-15.793,15.917,0.016,-0.14,5.806,0.0,,,,5.63,-0.199,,,6.005,0.375,5.63,-3.491,,2.139,2.139,,23.99,0.09,0.08,0.08,24.215,0.09,0.08,0.08,,19.154,0.118,,0.132,,,,,,0.054,21.972,0.0,21.972,-6.72,15.252,0.822429,0.570894,0.595,72.346714,104.222528,64.964728,
12/31/2006,84.472,94.695,0.0,0.053,0.0,-10.276,-63.052,40.419,,,,1.279,21.354,0.0,,0.0,21.42,-17.509,16.911,-0.021,0.619,3.911,0.0,,,,4.297,-0.78,,,4.691,0.394,4.297,-3.49,,0.807,0.807,,23.474,0.04,0.03,0.06,23.698,0.03,0.03,0.06,,21.023,0.121,,0.135,,,,,,0.087,22.567,0.0,22.567,-3.897,18.67,0.826721,0.683958,0.605,73.180684,88.455731,72.371383,
03/31/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,11.324,,,,,1.038,,-3.491,,,,,,,,,,,,,,20.971,0.014,,0.133,-5.387,,,,,-0.51,24.092,0.0,24.092,-2.958,21.134,0.867305,0.760818,,,,0.0,
06/30/2007,86.779,82.875,0.0,0.0,0.0,3.904,-64.513,40.849,,,,2.556,21.108,0.0,,0.0,22.266,-16.102,16.608,0.051,-0.557,6.164,0.0,,,,9.118,-3.717,,,9.881,0.763,9.118,-3.49,,5.628,5.628,,25.288,0.22,0.07,0.06,25.464,0.22,0.07,0.06,,20.781,,,-0.001,,,,-3.443,,-0.332,23.396,0.0,23.396,-6.106,17.29,0.837036,0.618583,0.605,72.27883,97.804251,65.392546,
09/30/2007,88.423,84.513,0.0,,0.0,3.91,-33.523,31.122,,,,2.401,21.525,0.0,,9.64,23.735,-16.739,16.501,-0.001,0.239,6.996,0.004,,,,11.9,-5.934,,,12.934,1.034,11.9,-3.491,,8.409,8.409,,25.362,0.33,0.1,0.11,25.514,0.33,0.1,0.11,,21.218,,,0.435,-0.001,,,-5.714,,0.197,25.578,0.0,25.578,-5.585,19.993,0.913631,0.714138,0.605,66.219329,84.717551,59.989092,
12/31/2007,89.634,89.634,0.0,0.0,0.0,0.0,-65.133,40.488,,,,3.179,21.466,0.0,,,24.501,-16.446,16.716,,-0.27,8.055,,,,,7.604,-0.224,,,,0.675,7.604,-3.216,,4.388,4.388,,25.576,0.15,0.15,0.15,25.576,0.15,0.15,0.15,,21.16,0.001,,0.352,,,,-0.007,,0.056,22.036,0.0,22.036,-3.805,18.231,0.785793,0.650109,0.615,78.264862,94.599556,72.931181,
03/31/2008,90.749,86.597,,0.028,0.0,4.124,-65.996,41.16,,,,2.92,21.916,,,,24.753,-16.683,16.833,0.083,-0.233,8.07,0.0,,,,7.679,-0.141,,,8.211,0.532,7.679,-3.216,,4.463,4.463,-0.128,25.628,0.17,0.17,0.16,25.797,0.17,0.17,0.16,,21.609,0.095,,0.352,,,,0.059,-0.128,,26.982,,26.982,-3.867,23.115,0.957488,0.820263,0.615,64.230598,74.97599,58.094285,
06/30/2008,91.436,87.277,0.0,0.061,0.0,4.098,-45.108,42.277,,,,2.831,22.07,0.0,,0.0,24.258,-15.188,15.521,0.199,-0.532,9.07,0.0,,,,8.644,-0.087,,,9.157,0.513,8.644,-3.217,,5.427,5.427,-0.416,26.599,0.2,0.2,0.2,26.761,0.2,0.2,0.18,,21.656,0.275,,0.35,-0.038,,,0.061,-0.416,,27.828,0.0,27.828,-7.171,20.657,0.954779,0.708742,0.615,64.412786,86.773442,60.550525,
09/30/2008,93.792,89.344,,0.058,0.0,4.39,-48.187,45.191,,,,2.996,22.559,,,,23.046,-16.918,15.625,0.274,1.019,6.128,0.0,,,,6.193,-0.386,,,6.514,0.321,6.193,-3.216,,2.977,2.977,0.003,27.474,0.11,0.09,0.13,27.597,0.11,0.09,0.13,,22.123,0.281,,0.004,,,,,,1.131,26.837,,26.837,-7.0,19.837,0.895522,0.661939,0.615,68.675038,92.908807,62.959757,
