Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Cash From Disc Ops,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/1996,103.075996,62.109001,29.070999,3.444,,,3.444,8.452,,,8.452,,-43.707001,,,,-43.707001,,,,,,,,,,43.707001,,,,,,,,,,,,,,,,
12/31/1996,125.880997,47.803001,29.892,4.349,,,4.349,43.837002,,,43.837002,-34.063,-34.063,,,,-34.063,,,,,,,,,,0.0,,,,,,,,,,,,,91.817997,,,
03/31/1997,43.485001,21.926001,28.603001,3.93,,,3.93,-10.974,,,-10.974,-36.422001,-36.421999,1.511,,,-37.932999,,,0.0,0.0,0.0,,,,,-2e-06,-41.5,-16.007,-0.184,,,,-25.309,0.0,-25.309,0.0,,,-34.437,,,
06/30/1997,96.339996,62.764,29.291,4.166,,,4.166,0.119,,,0.119,-51.244999,-49.804,7.57,,,-57.374001,,,0.0,0.0,0.0,,,,,-1.440999,-26.778,-15.891,-4.919,,,,-5.968,0.0,-5.968,0.0,,,18.316999,,,
09/30/1997,81.587997,73.306,30.219,13.891,,,13.891,-35.827999,,,-35.827999,-30.082001,-30.080001,5.064,,,-35.144001,,,0.0,0.0,0.0,,,,,-0.002,-24.422,-15.894,1.291,,,,-9.819,0.0,-9.819,0.0,,,27.084,,,
12/31/1997,124.401001,51.148998,32.511002,13.385,,,13.385,27.356001,,,27.356001,-38.979,-28.486001,2.301,,,-30.787001,,,0.0,0.0,0.0,,,,,-10.492999,-18.636,-15.83,-0.842,,,,-1.964,0.0,-1.964,0.0,,,66.786003,,,
03/31/1998,53.257999,36.508999,31.188,-32.720001,,,-32.720001,18.281,,,18.281,-48.063999,-29.663002,17.882999,,,-47.546001,,,0.0,0.0,0.0,,,,,-18.400997,-37.793999,-17.417999,-0.977,,,,-19.399,0.0,-19.399,0.0,,,-32.599998,4.379,0.797,
06/30/1998,58.330002,70.029999,32.683998,18.827,,,18.827,-63.210999,,,-63.210999,-40.879002,-40.988001,5.955,,,-46.943001,,,0.0,0.0,0.0,,,,,0.108999,-48.312999,-17.667999,-5.342,,,,-25.302999,0.0,-25.302999,0.0,,,-30.862,32.397999,3.126,
09/30/1998,113.440002,89.926003,38.606998,21.488001,,,21.488001,-36.581001,,,-36.581001,-29.91,-42.487,2.652,,,-45.139,,,0.0,0.0,0.0,,,,,12.577,-38.193001,-17.493,-0.399,,,,-20.301001,0.0,-20.301001,0.0,,,45.337002,,,
12/31/1998,137.567993,59.443001,35.313,12.594,,,12.594,30.218,,,30.218,-81.917999,-63.066001,0.564,,,-63.630001,,,0.0,0.0,0.0,,,,,-18.851998,14.476999,-17.436001,-0.001,,,,0.0,0.0,0.0,31.914,,,70.126999,,,
03/31/1999,64.57,26.365,48.967999,-1.978,,,-1.978,-8.785,,,-8.785,-851.387024,-83.736004,4.424,,,-88.160004,,,0.0,0.0,0.0,,,,,-767.65102,650.808,-19.666,657.651001,,,,-0.049,0.0,-0.049,12.872,,,-136.009003,2.301,7.348,
06/30/1999,46.287998,62.726002,51.091,0.676,,,0.676,-68.205002,,,-68.205002,0.902,-26.481003,55.416,,,-81.897003,,,0.0,0.0,0.0,,,,,27.383003,-14.285999,-19.702999,-3.165,,,,0.0,0.0,0.0,8.582,,,32.903999,7.896,10.087,
09/30/1999,110.098,85.783997,52.403999,-0.751,,,-0.751,-27.339001,,,-27.339001,-54.835999,-58.854,4.244,,,-63.098,,,0.0,0.0,0.0,,,,,4.018001,-48.102001,-19.705999,-35.042002,,,,0.0,0.0,0.0,6.646,,,7.16,55.162998,3.03,
12/31/1999,182.013,64.818001,54.645,-30.417999,,,-30.417999,92.968002,,,92.968002,-70.568001,-42.512001,38.983002,,,-81.495003,,,0.0,0.0,0.0,,,,,-28.056,-143.226,-19.655001,-128.682999,,,,-12.459,0.0,-12.459,17.570999,,,-31.781,20.396,18.614,
03/31/2000,69.390999,23.261,53.118999,-2.438,,,-2.438,-4.551,,,-4.551,-93.000999,-92.997999,4.212,,,-97.209999,,,0.0,0.0,0.0,,,,,-0.003,-7.992998,-21.153999,-10.525,,,,0.0,0.0,0.0,23.686001,,,-31.603001,2.596,2.181,
06/30/2000,45.404999,76.060997,54.832001,-5.63,,,-5.63,-79.858002,,,-79.858002,-84.489998,-91.493998,13.483,,,-104.976997,,,0.0,0.0,0.0,,,,,7.004,49.357001,-21.195999,45.396,,,,41.019001,41.019001,0.0,-15.862,,,10.272,14.986,17.278,
09/30/2000,141.074005,85.949997,57.305,-1.745,,,-1.745,-0.436,,,-0.436,-37.953999,-37.954002,36.595001,,,-74.549004,,,0.0,0.0,0.0,,,,,4e-06,-66.077002,-21.198999,-41.292,,,,-41.019001,0.0,-41.019001,37.432999,,,37.042999,43.462002,4.392,
12/31/2000,162.287003,34.620998,67.109001,-9.391,,,-9.391,69.947998,,,69.947998,-314.468994,-55.614,8.059,,,-63.673,,,0.0,0.0,0.0,,,,,-258.854994,138.912003,-21.216,160.981003,,,,0.0,0.0,0.0,-0.853,,,-13.27,9.571,25.402,
03/31/2001,75.915001,5.72,66.998001,3.332,,,3.332,-0.135,,,-0.135,-213.479996,-90.519998,4.123,,,-94.642998,,,0.0,0.0,0.0,,,,,-122.959998,111.234999,-22.740999,133.100998,,,,0.0,0.0,0.0,0.875,,,-26.33,2.962,3.371,
06/30/2001,62.353001,79.628998,69.918999,-19.587999,,,-19.587999,-67.607002,,,-67.607002,-77.598999,-71.297001,8.535,,,-79.832001,,,0.0,0.0,0.0,,,,,-6.301998,23.927999,-22.764,43.550999,,,,0.0,0.0,0.0,3.141,,,8.682,10.611,21.934,
09/30/2001,205.908997,92.227997,72.410004,10.696,,,10.696,30.575001,,,30.575001,-53.904999,-53.905,5.359,,,-59.264,,,0.0,0.0,0.0,,,,,0.0,-123.949003,-22.783001,-104.330002,,,,0.0,0.0,0.0,3.164,,,28.055,3.576,9.285,
12/31/2001,175.404999,45.103001,68.882004,21.239,,,21.239,40.181,,,40.181,-41.674,-32.142002,20.973,,,-53.115002,,,0.0,0.0,0.0,,,,,-9.531998,-98.611998,-22.792,-66.976997,,,,0.0,0.0,0.0,-8.843,,,35.118999,40.258999,20.893999,
03/31/2002,89.926,11.624,63.104,3.253,,,3.253,11.945,,,11.945,-70.715,-69.508,1.385,,,-70.893,,,0.0,,0.0,,,,,-1.207,-38.998,-23.829,-17.465,,,,0.0,0.0,0.0,2.296,,,-19.787,4.947,7.233,
06/30/2002,81.974998,65.369003,66.143997,3.16,,,3.16,-52.698002,,,-52.698002,-75.140999,-52.737999,10.75,,,-63.487999,,,0.0,0.0,0.0,,,,,-22.403,-31.196999,-23.841999,-4.29,,,,0.0,0.0,0.0,-3.065,,,-24.363001,1.638,19.966999,
09/30/2002,141.727005,76.819,68.982002,4.861,,,4.861,-8.935,,,-8.935,-82.625,-64.096998,5.879,,,-69.975998,,,0.0,0.0,0.0,,,,,-18.528002,-33.002999,-23.855,-8.763,,,,0.0,0.0,0.0,-0.385,,,26.099001,30.549,7.806,
12/31/2002,144.414993,36.601002,69.445999,24.966999,,,24.966999,13.401,,,13.401,-40.375,-36.547001,7.874,,,-44.421001,,,0.0,0.0,0.0,,,,,-3.827999,-16.063,-23.858,-0.755,,,,4.443,4.443,0.0,4.107,,,87.976997,2.043,20.459,
03/31/2003,75.907997,-17.549999,67.718002,19.865,,,19.865,5.875,,,5.875,-49.988998,-46.335999,4.771,,,-51.106998,,,0.0,0.0,0.0,,,,,-3.653,-30.346,-24.878,-2.761,,,,0.248,0.248,0.0,-2.955,,,-4.427,-4.536,7.338,
06/30/2003,91.246002,56.023998,69.356003,9.143,,,9.143,-43.277,,,-43.277,-47.307999,-43.126,7.291,,,-50.417,,,0.0,0.0,0.0,,,,,-4.181999,-26.607999,-24.879999,-2.403,,,,0.675,0.675,0.0,0.0,,,17.33,1.895,19.882,
09/30/2003,184.095001,99.149002,71.023003,-45.914001,,,-45.914001,59.837002,,,59.837002,-6.633,-1.927998,36.325001,,,-38.252998,,,0.0,0.0,0.0,,,,,-4.705002,-30.887999,-24.9,-8.222,,,,1.591,1.591,0.0,0.643,,,146.574005,14.575,7.666,
12/31/2003,167.796997,57.328999,68.994003,31.812,,,31.812,9.662,,,9.662,-247.257004,-20.833,33.313,,,-54.146,,,0.0,0.0,0.0,,,,,-226.424004,-59.256001,-24.922001,-36.75,,,,2.602,2.602,0.0,-0.186,,,-138.716003,35.956001,19.523001,
03/31/2004,94.014,14.995,63.493999,3.523,,,3.523,12.002,,,12.002,159.942993,-36.812999,5.106,,,-41.918999,,,0.0,0.0,0.0,,,,,196.755992,-27.634,-26.52,-7.501,,,,6.573,6.573,0.0,-0.186,,,226.322998,1.239,7.609,
06/30/2004,112.517998,87.795998,63.751999,-10.092,,,-10.092,-28.938,,,-28.938,-113.110001,-38.337999,19.004,,,-57.341999,,,0.0,0.0,0.0,,,,,-74.772002,-266.070997,-26.565001,-244.872996,,,,3.798,3.798,0.0,1.569,,,-266.662994,10.254,18.246,
09/30/2004,157.098999,98.961998,63.800999,-0.036,,,-0.036,-5.628,,,-5.628,-104.167999,-40.201001,2.555,,,-42.756001,,,0.0,0.0,0.0,,,,,-63.966998,-0.782002,-26.599001,21.636999,,,,4.18,4.18,0.0,0.0,,,52.148998,47.141998,7.19,
12/31/2004,216.984,85.327,54.003,39.018,,,39.018,38.636,,,38.636,44.645,-40.071,21.712,,,-61.783,,,0.0,0.0,0.0,,,,,84.716,-67.942,-26.647,-48.252,,,,6.957,6.957,0.0,0.0,,,193.687,31.494,11.146,
03/31/2005,102.347,54.351,52.661,-4.964,,,-4.964,0.299,,,0.299,-37.946,-43.724,1.481,,,-45.205,,,,,,,,,,5.778,-64.299,-29.839,-0.489,,,,-40.106,9.376,-49.482,6.135,,,0.102,10.021,7.418,
06/30/2005,111.72,121.547,54.978,-4.807,,,-4.807,-59.998,,,-59.998,-48.85,-52.054,2.866,,,-54.92,,,0.0,0.0,0.0,,,,,3.204,-48.288,-29.597,-8.891,,,,-3.712,15.811,-19.523,-6.088,,,14.582,51.676,11.518,
09/30/2005,60.071,122.216,55.753,-14.098,,,-14.098,-103.8,,,-103.8,-18.923,-50.363,0.722,,,-51.085,,,0.0,0.0,0.0,,,,,31.44,-73.688,-29.61,-0.164,,,,-43.913,10.207,-54.12,-0.001,,,-32.54,111.356,7.234,
12/31/2005,199.046,90.643,57.564,-78.879,,-62.336,-16.543,129.718,,,129.718,-43.453,-58.876,5.56,,,-64.436,,,0.596,0.596,0.0,,,,,14.827,-134.049,-29.183,-2.059,,,,-102.808,2.546,-105.354,0.001,,,21.544,38.932,11.161,
03/31/2006,19.626,70.085,53.691,-51.759,5.478,,-57.237,-52.391,,,-52.391,-0.539,-93.215,2.572,,,-95.787,,,0.104,0.104,0.0,,,,,92.572,-266.182,-37.167,-240.305,,,,2.468,21.805,-19.337,8.822,,,-247.095,9.154,6.999,
06/30/2006,122.084,150.633,55.17,-83.719,,,-83.719,0.0,,,0.0,2.485,-89.316,2.17,,,-91.486,,,0.0,0.0,0.0,,,,,91.801,-133.721,-36.688,217.0,,,,-308.529,19.337,-327.866,-5.504,,,-9.152,48.804,11.06,
09/30/2006,169.517,135.687,58.027,-24.197,,,-24.197,0.0,,,0.0,26.474,-110.707,1.167,,,-111.874,,,0.0,0.0,0.0,,,,,137.181,-198.531,-35.254,19.585,,,,-179.544,0.0,-179.544,-3.318,,,-2.54,114.168,1.619,
12/31/2006,238.367,113.809,59.482,119.559,8.874,,110.685,-54.483,,,-54.483,-108.578,-134.051,2.009,,,-136.06,,,175.34,175.34,0.0,,,,,-149.867,122.421,-34.973,128.988,,,,28.406,28.406,0.0,0.0,,,252.21,47.092,12.938,
03/31/2007,98.145,88.874,60.801,-51.53,3.871,,-55.401,,,,,-120.505,-71.813,50.823,,,-122.636,,,,,,,,,,-48.692,37.09,-43.762,41.153,,,,33.681,38.481,-4.8,6.018,,,14.73,3.145,1.632,
06/30/2007,119.794,142.011,63.904,-86.121,4.411,,-90.532,,,,,-106.868,-107.495,4.669,,,-112.164,,,,,,,,,,0.627,-48.293,-43.848,-16.42,,,,17.993,17.993,0.0,-6.018,,,-35.367,58.849,13.272,
09/30/2007,203.374,135.412,66.366,1.596,8.724,,-7.128,0.0,,,0.0,-87.999,-111.064,5.622,,,-116.686,,,0.0,0.0,0.0,,,,,23.065,-118.983,-43.949,-76.504,,,,1.47,1.47,0.0,0.0,,,-3.514,83.019,0.76,
12/31/2007,286.831,84.612,80.404,91.79,,,91.79,30.025,,,30.025,-3338.927,-104.011,27.825,,,-131.836,,,5.026,5.026,0.0,,,,,-3239.942,3055.905,-49.756,3165.767,,,,6.364,6.364,0.0,-66.47,,,3.809,,,
03/31/2008,12.917,13.933,95.856,-96.872,1.057,1.62,-99.549,0.0,,,0.0,-107.305,-102.698,6.588,,,-109.286,,,0.0,0.0,0.0,,,,,-4.607,110.523,-53.177,100.786,,,,62.439,62.439,0.0,0.475,,,16.135,13.094,31.404,
06/30/2008,121.136,140.755,96.919,-116.538,,-1.426,-115.112,0.0,,,0.0,73.661,-82.384,6.988,,,-89.372,,,0.0,0.0,0.0,,,,,156.045,-123.256,-53.799,-34.191,,,,3.088,3.088,0.0,-38.354,,,71.541,23.961,58.128,
09/30/2008,36.532,59.05,98.716,-121.234,4.874,-2.613,-123.495,0.0,,,0.0,-101.209,-93.006,3.221,,,-96.227,,,-0.341,0.0,-0.341,,,,,-7.862,-74.449,-53.84,-46.082,,,,25.816,25.816,0.0,-0.343,,,-139.126,55.499,20.192,
12/31/2008,264.6,14.813,97.569,262.011,13.165,,248.846,-109.793,,,-109.793,-54.187,-49.566,8.745,,,-58.311,,,-0.86,0.0,-0.86,,,,,-3.761,-183.657,-53.967,-129.229,,,,-0.46,,-0.46,-0.001,,,26.756,-1.01,70.156,
03/31/2009,105.098,-32.78,99.315,38.563,5.595,2.619,30.349,,,,,14.608,-22.568,3.07,3.07,0.0,-25.638,-25.638,0.0,0.0,,,11.65,11.65,0.0,0.0,25.526,-82.454,-54.069,-34.898,-432.558,397.66,,9.751,9.751,0.0,-3.238,,0.0,37.252,-0.33,13.334,
06/30/2009,64.304,22.211,99.6,-57.507,8.09,3.052,-68.649,,,,,-64.797,-33.482,0.981,0.981,0.0,-34.463,-34.463,0.0,0.0,,,-37.093,-0.113,-36.98,0.0,5.778,-3.242,-54.683,-521.079,-521.079,0.0,,572.508,572.508,0.0,0.012,,0.0,-3.735,-9.138,85.537,
09/30/2009,185.42,54.232,99.243,31.945,6.856,-32.148,57.237,,,,,-27.216,-31.716,2.348,2.348,0.0,-34.064,-34.064,0.0,0.0,,,4.538,4.538,0.0,0.0,-0.038,-155.368,-31.296,-141.036,-141.036,0.0,,17.157,17.157,0.0,-0.193,,0.0,2.836,-0.238,10.715,
12/31/2009,98.213,-13.349,96.454,15.108,0.507,,14.601,,,,,-2.597,-4.213,11.351,11.351,0.0,-15.564,-15.564,0.0,0.0,,,0.0,0.0,0.0,0.0,1.616,-119.898,-31.42,-115.014,246.71,0.0,-361.724,26.529,26.529,0.0,0.007,,0.0,-24.282,,,
03/31/2010,6.439,-38.747,94.197,-49.011,5.277,-32.369,-21.919,,,,,28.687,-18.705,1.054,1.054,0.0,-19.759,-19.759,0.0,0.0,0.0,0.0,51.064,51.064,0.0,0.0,-3.672,-21.451,-31.6,-11.606,-11.606,,,21.355,21.355,0.0,0.4,,0.0,13.675,-2.657,7.035,
06/30/2010,12.217,-23.992,97.279,-17.112,5.247,-22.386,0.027,-43.958,,,-43.958,-20.696,-20.229,2.17,2.17,0.0,-22.399,-22.399,0.0,0.0,,,-0.11,-0.11,0.0,0.0,-0.357,14.712,-32.0,19.906,20.001,,-0.095,26.556,26.556,0.0,0.25,,0.0,6.233,3.787,83.907,
09/30/2010,109.171,13.246,97.698,-1.773,4.674,3.695,-10.142,,,,,-50.174,-19.162,0.784,0.784,0.0,-19.946,-19.946,0.0,0.0,,,-35.404,0.0,-35.404,0.0,4.392,-18.674,-32.096,11.194,-320.0,450.0,-118.806,6.42,6.42,0.0,-4.192,,0.0,40.323,2.767,10.975,
12/31/2010,202.706,-96.49,382.093,-68.444,19.829,,-88.273,-14.453,-49.656,6.708,28.495,-88.376,-72.722,13.602,13.602,0.0,-86.324,-86.324,0.0,0.0,,,-19.58,50.954,-70.534,0.0,3.926,-89.054,-127.792,-20.216,48.988,450.0,-519.204,63.044,63.044,0.0,-4.09,,0.0,25.276,-15.745,172.653,
03/31/2011,44.05,-54.733,90.586,-60.177,3.676,-50.563,-13.29,68.374,,,68.374,-10.931,-23.615,0.592,0.592,0.0,-24.207,-24.207,0.0,0.0,0.0,0.0,12.284,12.284,0.0,0.0,0.4,-17.496,-32.265,11.441,14.5,,-3.059,3.303,3.303,0.0,0.025,,0.0,15.623,-35.938,4.448,
06/30/2011,-37.034,-8.139,92.137,-15.067,5.173,-41.468,21.228,-105.965,,,-105.965,-20.216,-21.18,6.125,6.125,0.0,-27.305,-27.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964,100.83,-32.305,-934.68,-200.0,,-734.68,4.865,4.865,0.0,1082.103,-19.153,0.0,43.58,2.868,98.536,
09/30/2011,114.71,19.959,90.948,-1.93,4.142,33.462,-39.534,5.733,,,5.733,40.059,-20.807,5.013,5.013,0.0,-25.82,-25.82,0.0,0.0,0.0,0.0,60.546,60.546,0.0,0.0,0.32,-109.134,-32.308,-100.213,-100.0,,-0.213,0.0,0.0,0.0,23.387,,0.0,45.635,1.943,,
12/31/2011,47.317,-27.865,88.048,-19.438,5.342,-35.17,10.39,6.572,,,6.572,-28.391,-19.635,1.945,1.945,0.0,-21.58,-21.58,0.0,0.0,0.0,0.0,-8.622,1.909,-10.531,0.0,-0.134,-15.466,-1.294,-24.276,-19.153,0.0,-5.123,0.504,0.504,0.0,9.6,,0.0,3.46,1.253,102.828,
03/31/2012,29.144,-52.053,85.167,-49.798,1.877,-30.966,-20.709,45.828,,,45.828,3.76,-8.098,10.75,10.75,0.0,-18.848,-18.848,0.0,0.0,0.0,0.0,11.827,11.827,0.0,0.0,0.031,2.429,-1.295,-0.09,0.0,,-0.09,3.483,3.483,0.0,0.331,,0.0,35.333,1.816,0.175,
06/30/2012,-32.205,-18.283,84.116,-32.177,1.724,-20.647,-13.254,-65.861,,,-65.861,0.601,0.583,15.319,15.319,0.0,-14.736,-14.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,-1.267,-1.295,-0.015,0.0,,-0.015,0.041,0.041,0.0,0.002,,0.0,-32.871,7.258,103.451,
09/30/2012,96.82,14.26,84.108,-11.695,5.761,-14.581,-2.875,10.147,,,10.147,-13.196,-12.973,2.861,2.861,0.0,-15.834,-15.834,0.0,0.0,0.0,0.0,-1.137,-1.137,0.0,0.0,0.914,1.201,-1.295,-0.015,0.0,0.0,-0.015,2.643,2.643,0.0,-0.132,,0.0,84.825,10.145,0.814,
12/31/2012,144.716,3.483,78.568,33.13,7.845,-3.636,28.921,29.535,,,29.535,19.234,7.96,51.899,51.899,0.0,-43.939,-43.939,0.0,0.0,0.0,0.0,10.476,10.476,0.0,0.0,0.798,-131.598,-1.298,-134.66,0.0,,-134.66,4.562,4.562,0.0,-0.202,,0.0,32.352,1.155,103.305,
03/31/2013,-12.867,-54.836,75.597,-55.977,4.933,-39.918,-20.992,22.349,,,22.349,-67.274,-25.228,1.623,1.623,0.0,-26.851,-26.851,0.0,0.0,0.0,0.0,-42.048,18.164,-60.212,0.0,0.002,-7.256,-1.299,-10.016,,,-10.016,3.203,3.203,0.0,0.856,,0.0,-87.397,0.584,1.426,
06/30/2013,-32.478,28.772,76.96,-7.566,6.169,8.337,-22.072,-130.644,,,-130.644,-27.291,-32.296,0.894,0.894,0.0,-33.19,-33.19,0.0,0.0,0.0,0.0,5.005,34.744,-29.739,0.0,0.0,-41.333,-1.299,-40.461,,111.0,-151.461,0.395,0.395,0.0,0.032,,0.0,-101.102,8.503,99.172,
09/30/2013,305.357,41.364,78.32,156.325,5.687,5.719,144.919,29.348,,,29.348,-46.116,-44.812,12.457,12.457,0.0,-57.269,-57.269,0.0,0.0,0.0,0.0,-1.304,-1.304,0.0,0.0,0.0,-100.407,-1.292,-100.016,,45.0,-145.016,0.893,0.893,0.0,0.008,,0.0,158.834,20.822,1.539,
12/31/2013,96.487,9.082,76.231,-21.596,5.143,-9.201,-17.538,32.77,,,32.77,-155.509,-155.468,2.602,2.602,0.0,-158.07,-158.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041,6.947,-1.301,-0.109,,,-0.109,9.253,9.253,0.0,-0.896,,0.0,-52.075,1.029,94.657,
03/31/2014,-4.972,53.995,69.378,-168.472,1.322,-7.648,-162.146,40.127,,,40.127,628.811,-28.221,17.785,17.785,0.0,-46.006,-46.006,0.0,0.0,0.0,0.0,720.056,720.056,0.0,0.0,-63.024,-548.804,-6.531,-579.676,,,-579.676,37.404,37.404,0.0,-0.001,,0.0,75.035,3.209,83.801,
06/30/2014,27.872,45.968,68.324,13.6,7.364,7.672,-1.436,-100.02,,,-100.02,-67.874,-67.637,2.669,2.669,0.0,-70.306,-70.306,0.0,0.0,0.0,0.0,-1.174,-0.967,-0.207,0.0,0.937,-1.087,-6.543,-0.018,,,-0.018,5.472,5.472,0.0,0.002,,0.0,-41.089,10.658,78.309,
09/30/2014,126.826,66.939,71.156,18.726,6.364,13.134,-0.772,-29.995,,,-29.995,-258.352,-52.042,0.866,0.866,0.0,-52.908,-52.908,0.0,0.0,0.0,0.0,-268.397,0.0,-268.397,0.0,62.087,-4.29,-7.899,-0.017,,70.0,-70.017,3.632,3.632,0.0,-0.006,,0.0,-135.816,50.672,1.483,
