Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Operating Income (Loss),(Income) Loss from Affiliates,Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2003,6743.0,3311.0,,3311.0,0.0,2220.0,1212.0,,,-4352.0,0.0,3256.0,1096.0,-1748.0,,,,593.0,,-114.0,-34.0,445.0,-237.0,322.0,25.0,,,183.0,0.0,297.0,0.0,0.0,297.0,297.0,42.9,543.476159,0.546482,0.592482,0.67,545.863,0.544093,0.589892,0.67,
12/31/2003,7125.0,3534.0,,,,2257.0,1334.0,,,-4822.0,0.0,3699.0,1123.0,-1434.0,,,,869.0,,,0.0,869.0,-273.0,596.0,21.0,,,575.0,0.0,575.0,0.0,0.0,575.0,575.0,,541.9,0.93,0.96,0.65,541.9,0.92,0.95,0.64,
03/31/2004,6751.0,3081.0,,3081.0,0.0,2321.0,1349.0,,,-4393.0,0.0,3240.0,1153.0,-1599.0,,,,759.0,,-53.0,0.0,706.0,-220.0,486.0,85.0,,,401.0,0.0,401.0,0.0,0.0,401.0,401.0,-128.0,531.7,0.754185,0.914049,0.673312,541.9,0.739989,0.896844,0.660638,
06/30/2004,6882.0,3216.0,,3216.0,0.0,2432.0,1234.0,,,-4410.0,0.0,3325.0,1085.0,-1726.0,,,,746.0,,-57.0,0.0,689.0,-149.0,540.0,-9.0,,,549.0,0.0,549.0,0.0,0.0,549.0,549.0,-123.5,523.5,1.048711,1.031519,0.795607,534.2,1.027705,1.010857,0.77967,
09/30/2004,7332.0,3037.0,,3037.0,0.0,2622.0,1673.0,,,-4498.0,0.0,3136.0,1362.0,-1680.0,,,,1154.0,,-83.0,0.0,1071.0,-329.0,742.0,14.0,,,728.0,0.0,728.0,0.0,0.0,728.0,728.0,-198.9,515.9,1.411126,1.438263,0.801907,527.71,1.379546,1.406075,0.783893,
12/31/2004,7388.0,3253.0,,3253.0,0.0,2423.0,1712.0,,,-4546.0,0.0,3274.0,1272.0,-1604.0,,,,1238.0,,-386.0,0.0,852.0,-264.0,588.0,10.0,,,578.0,0.0,578.0,0.0,0.0,578.0,578.0,116.3,516.9,1.12,1.14,1.36,526.8,1.08,1.12,1.34,
03/31/2005,7713.0,3350.0,,3350.0,0.0,3024.0,1339.0,,,-4599.0,0.0,3438.0,1161.0,-1685.0,,,,1429.0,,-111.0,0.0,1318.0,-388.0,930.0,1.0,,,929.0,0.0,929.0,0.0,0.0,929.0,929.0,-307.0,523.8,1.773578,1.775487,1.189385,532.0,1.746241,1.74812,1.171052,
06/30/2005,8335.0,3552.0,,3552.0,0.0,3105.0,1678.0,,,-5091.0,0.0,3564.0,1527.0,-1794.0,,,,1450.0,,-134.0,0.0,1316.0,-389.0,927.0,44.0,,,883.0,0.0,883.0,0.0,0.0,883.0,883.0,-338.65,518.5,1.702989,1.78785,1.134716,527.2,1.674886,1.758346,1.11599,
09/30/2005,7791.0,3399.0,,3399.0,0.0,2895.0,1497.0,,,-4718.0,0.0,3381.0,1337.0,-1812.0,,,,1261.0,,-143.0,0.0,1118.0,261.0,1379.0,15.0,,,1364.0,0.0,1364.0,0.0,0.0,1364.0,1364.0,-149.5,511.1,2.668754,2.698102,2.012327,520.3,2.621564,2.650394,1.976743,
12/31/2005,7861.0,3455.0,,,,2951.0,1354.0,,,-5024.0,0.0,3500.0,1524.0,-1973.0,,,,763.0,,-227.0,142.0,678.0,-292.0,386.0,22.0,,,364.0,0.0,364.0,0.0,0.0,364.0,364.0,-100.55,501.8,0.725389,0.769231,0.568852,512.1,0.710799,0.753759,0.557411,
03/31/2006,7850.0,3452.0,,3452.0,0.0,2922.0,1476.0,,,-4725.0,0.0,3479.0,1246.0,-1957.0,,,,1168.0,,-201.0,51.0,1018.0,-279.0,739.0,6.0,,,733.0,0.0,733.0,0.0,0.0,733.0,733.0,-122.2,496.6,1.476037,1.488119,1.1639,506.1,1.44833,1.460186,1.1639,
06/30/2006,7313.0,3515.0,,3515.0,0.0,2465.0,1333.0,,,-4743.0,0.0,3636.0,1107.0,-1764.0,,,,806.0,,-223.0,45.0,628.0,-165.0,463.0,10.0,,,453.0,0.0,453.0,0.0,0.0,453.0,453.0,213.2,490.2,0.924113,0.944512,1.377669,499.1,0.907634,0.92767,1.354839,
09/30/2006,8361.0,3364.0,,3364.0,0.0,3270.0,1727.0,,,-5163.0,0.0,3516.0,1647.0,-1486.0,,,,1712.0,,-239.0,50.0,1523.0,-384.0,1139.0,-66.0,,,1205.0,0.0,1205.0,0.0,0.0,1205.0,1205.0,-259.35,482.8,2.495857,2.359155,1.821976,492.5,2.446701,2.31269,1.786091,
12/31/2006,8744.0,3577.0,,3577.0,0.0,3437.0,1730.0,,,-5191.0,0.0,3652.0,1539.0,-1684.0,,,,1869.0,,-498.0,124.0,1433.0,-417.0,1016.0,-21.0,,,1037.0,0.0,1037.0,0.0,0.0,1037.0,1037.0,-220.0,475.2,2.182239,2.138047,1.675107,486.3,2.132429,2.089245,1.636849,
03/31/2007,8775.0,3559.0,,3559.0,0.0,3355.0,1861.0,,,-5239.0,0.0,3685.0,1554.0,-1768.0,,,,1768.0,,-341.0,77.0,1504.0,-423.0,1081.0,-39.0,,,1120.0,0.0,1120.0,0.0,0.0,1120.0,1120.0,-19.0,470.4,2.380952,2.298044,2.258395,479.2,2.337229,2.255843,2.216194,
06/30/2007,8425.0,3629.0,,3629.0,0.0,3141.0,1655.0,,,-5063.0,0.0,3733.0,1330.0,-1867.0,,,,1495.0,,-352.0,56.0,1199.0,-324.0,875.0,29.0,,,846.0,0.0,846.0,0.0,0.0,846.0,846.0,-72.8,465.7,1.81662,1.878892,1.722568,474.8,1.781803,1.842881,1.693229,
09/30/2007,8393.0,3472.0,,3472.0,0.0,2992.0,1929.0,,,-5128.0,0.0,3543.0,1585.0,-1781.0,,,,1484.0,,-364.0,67.0,1187.0,-316.0,871.0,4.0,,,867.0,0.0,867.0,0.0,0.0,867.0,867.0,44.85,459.0,1.888889,1.897603,1.995315,466.9,1.856929,1.865496,1.961555,
12/31/2007,8762.0,3691.0,,3691.0,0.0,3086.0,1985.0,,,-5444.0,0.0,3788.0,1656.0,-1946.0,,,,1372.0,,-378.0,92.0,1040.0,-181.0,857.0,-12.0,,,871.0,0.0,871.0,0.0,0.0,871.0,871.0,-109.2,452.1,1.926565,1.895598,1.654059,460.3,1.892244,1.861829,1.624593,
03/31/2008,7564.0,3958.0,,3958.0,0.0,2115.0,1491.0,,,-5231.0,,4035.0,1196.0,-1906.0,,,,427.0,43.0,-364.0,0.0,63.0,-23.0,83.0,-1.0,,,84.0,-24.0,60.0,0.0,0.0,60.0,60.0,592.8,444.1,0.135105,0.132853,1.467687,448.9,0.13366,0.131432,1.451993,
06/30/2008,7703.0,3927.0,,3927.0,0.0,2128.0,1648.0,,,-4914.0,0.0,4011.0,903.0,-1859.0,,,,930.0,,-302.0,24.0,652.0,-60.0,592.0,3.0,,,589.0,-8.0,581.0,0.0,0.0,581.0,581.0,,433.9,1.339018,1.345932,0.62,438.5,1.324971,1.331813,,
09/30/2008,7030.0,3618.0,,3618.0,0.0,2658.0,754.0,,,-5229.0,0.0,3954.0,1275.0,-1664.0,,,,137.0,,-333.0,-129.0,-325.0,149.0,-176.0,-5.0,,,-171.0,-5.0,-176.0,0.0,0.0,-176.0,-176.0,,425.8,-0.25,-0.27,1.02,425.8,-0.25,-0.27,1.02,
12/31/2008,6922.0,3965.0,,3965.0,0.0,2581.0,376.0,,,-5710.0,0.0,4531.0,1179.0,-2444.0,,,,-1232.0,,-402.0,-385.0,-2019.0,421.0,-1598.0,-15.0,,,-1583.0,1.0,-1582.0,0.0,0.0,-1582.0,-1582.0,,423.0,-3.89,-3.92,-2.04,423.0,-3.89,-3.92,-2.04,
03/31/2009,8525.0,4034.0,,4034.0,0.0,2987.0,1504.0,726.0,778.0,-5509.0,,4341.0,1168.0,-2710.0,2710.0,2710.0,,306.0,,-303.0,0.0,-3.0,2.0,-1.0,-4.0,-4.0,0.0,3.0,11.0,14.0,0.0,0.0,14.0,679.5,669.5,424.1,0.033011,0.023579,1.602216,425.2,0.032926,0.023518,1.598071,
06/30/2009,6879.0,4187.0,,4187.0,0.0,560.0,2132.0,713.0,1419.0,-5262.0,,3886.0,1376.0,-1324.0,1324.0,1324.0,,293.0,,-303.0,0.0,-5.0,163.0,158.0,-22.0,-22.0,0.0,180.0,-17.0,163.0,0.0,0.0,163.0,1057.5,916.5,432.9,0.37653,0.32571,2.442827,434.3,0.375317,0.32466,2.434953,
09/30/2009,8543.0,4100.0,,4100.0,0.0,2410.0,2033.0,613.0,1420.0,-5808.0,,3925.0,1883.0,-1604.0,1604.0,1604.0,,1131.0,,-283.0,0.0,879.0,153.0,1032.0,0.0,0.0,0.0,1032.0,50.0,1082.0,0.0,0.0,1082.0,1174.95,92.95,463.2,2.335924,2.335924,2.536593,466.6,2.318903,2.318903,2.51811,
12/31/2009,8619.0,4224.0,,4224.0,0.0,2549.0,1846.0,781.0,1065.0,-5549.0,,4194.0,1355.0,-2066.0,2066.0,572.0,1494.0,1004.0,,-293.0,0.0,2204.0,-264.0,1940.0,65.0,65.0,0.0,1875.0,-10.0,1865.0,0.0,0.0,1865.0,357.0,-1573.0,463.8,4.021129,4.182837,0.749235,472.3,3.948761,4.107558,0.721134,
03/31/2010,9247.0,4242.0,,4242.0,0.0,3261.0,1744.0,816.0,928.0,-5995.0,,4243.0,1752.0,-2243.0,2243.0,1817.0,426.0,1009.0,,,0.0,1019.0,-351.0,668.0,-3.0,-3.0,0.0,671.0,26.0,697.0,0.0,0.0,697.0,603.65,-90.35,465.0,1.498925,1.492473,1.298172,473.5,1.472017,1.465681,1.274868,
06/30/2010,10987.0,4604.0,,4604.0,0.0,4698.0,1685.0,859.0,826.0,-6636.0,,4887.0,1749.0,-2543.0,2543.0,1551.0,992.0,1808.0,,-302.0,0.0,1515.0,-426.0,1089.0,-15.0,-15.0,0.0,1104.0,-27.0,1077.0,0.0,0.0,1077.0,432.15,-629.85,466.3,2.309672,2.277504,0.926764,475.3,2.265937,2.234378,0.909215,
09/30/2010,9917.0,4654.0,,4654.0,0.0,3045.0,2218.0,761.0,1457.0,-6224.0,,4538.0,1686.0,-1636.0,1636.0,1642.0,-6.0,2057.0,,-307.0,0.0,1764.0,-524.0,1240.0,-2.0,-2.0,0.0,1242.0,2.0,1244.0,0.0,0.0,1244.0,1004.1,-237.9,466.8,2.664953,2.660668,2.151028,475.2,2.617845,2.613636,2.113005,
12/31/2010,8049.0,4760.0,,4760.0,0.0,1911.0,1378.0,885.0,493.0,-5828.0,,4617.0,1211.0,-1780.0,1780.0,1755.0,25.0,441.0,,-314.0,0.0,178.0,-2.0,176.0,-13.0,-13.0,0.0,189.0,-12.0,177.0,0.0,0.0,177.0,1654.45,1490.45,477.2,0.370914,0.343671,3.466995,485.5,0.364573,0.337796,3.407724,
03/31/2011,10170.0,5510.0,,5510.0,0.0,3068.0,1592.0,948.0,644.0,-6804.0,,5433.0,1371.0,-2420.0,2420.0,2066.0,354.0,946.0,,-318.0,0.0,732.0,-160.0,572.0,-14.0,-14.0,0.0,586.0,-25.0,561.0,0.0,0.0,561.0,818.05,271.05,486.9,1.152187,1.123434,1.680119,495.9,1.131276,1.103045,1.649627,
06/30/2011,12244.0,6270.0,,6270.0,0.0,3795.0,2179.0,1005.0,1174.0,-7960.0,,6035.0,1925.0,-2872.0,2872.0,2361.0,511.0,1412.0,,-328.0,0.0,1094.0,-292.0,802.0,-16.0,-16.0,0.0,818.0,-29.0,789.0,0.0,0.0,789.0,634.55,-138.45,488.0,1.616803,1.584016,1.300307,496.8,1.588164,1.555958,1.277275,
09/30/2011,14931.0,6084.0,,6084.0,0.0,5861.0,2986.0,958.0,2028.0,-8350.0,,6208.0,2142.0,-3844.0,3844.0,2334.0,1510.0,2737.0,,-331.0,0.0,2473.0,-860.0,1613.0,9.0,9.0,0.0,1604.0,-10.0,1594.0,0.0,-24.0,1570.0,163.3,-1415.7,483.2,3.249172,3.267798,0.337955,491.3,3.195604,3.213922,0.332383,
12/31/2011,11680.0,6409.0,,6409.0,0.0,3231.0,2040.0,1013.0,1027.0,-7707.0,,5938.0,1769.0,-2936.0,2936.0,3129.0,-193.0,1037.0,,-338.0,0.0,698.0,-118.0,580.0,-14.0,-14.0,0.0,594.0,-8.0,586.0,0.0,-167.0,419.0,1843.45,1438.45,470.8,0.889975,0.860238,3.915569,478.7,0.875287,0.846041,3.85095,
03/31/2012,9623.0,6773.0,,6773.0,0.0,1936.0,914.0,1049.0,-135.0,-7851.0,,6443.0,1408.0,-2193.0,2193.0,2418.0,-225.0,-421.0,,-342.0,0.0,-756.0,-179.0,-935.0,-7.0,-7.0,0.0,-928.0,-11.0,-939.0,0.0,8.0,-931.0,268.4,1206.4,471.2,-1.975806,-1.990662,0.56961,479.5,-1.975806,-1.990662,0.525292,
06/30/2012,16136.0,7556.0,,7556.0,0.0,5121.0,3459.0,1062.0,2397.0,-9278.0,,7427.0,1851.0,-3540.0,3540.0,2303.0,1237.0,3318.0,,-349.0,0.0,2975.0,-743.0,2232.0,-7.0,-7.0,0.0,2239.0,-15.0,2224.0,0.0,-13.0,2211.0,722.925,-1481.075,468.1,4.72335,4.708396,1.544382,475.5,4.643533,4.628812,1.514038,
09/30/2012,13144.0,9027.0,,9027.0,0.0,1988.0,2129.0,1224.0,905.0,-11150.0,,9576.0,1574.0,-2577.0,2577.0,2395.0,182.0,-583.0,,-347.0,0.0,-885.0,328.0,-557.0,2.0,2.0,0.0,-559.0,-25.0,-584.0,0.0,4.0,-580.0,659.6,1237.6,466.4,-1.243568,-1.23928,1.414237,466.4,-1.243568,-1.23928,1.414237,
12/31/2012,45944.0,41998.0,,41998.0,0.0,3175.0,771.0,771.0,,-43262.0,,41685.0,1577.0,-2789.0,2789.0,2479.0,310.0,-107.0,,-351.0,0.0,-456.0,359.0,-97.0,-3.0,-3.0,0.0,-94.0,1.0,-93.0,0.0,54.0,-39.0,1863.15,1905.15,464.6,-0.083943,-0.0904,4.010224,466.8,-0.083943,-0.0904,3.990928,
03/31/2013,10171.0,7084.0,,7084.0,0.0,2915.0,172.0,1356.0,-1184.0,-8829.0,,7219.0,1610.0,-2537.0,2537.0,2319.0,218.0,-1195.0,,-364.0,0.0,-1513.0,827.0,-686.0,-1.0,-1.0,0.0,-685.0,-35.0,-720.0,0.0,2.0,-718.0,1172.798,1891.798,464.3,-1.546414,-1.548568,2.525949,471.7,-1.546414,-1.548568,2.28,
06/30/2013,10041.0,6922.0,,6922.0,0.0,2687.0,432.0,1375.0,-943.0,-7863.0,,7024.0,839.0,-2616.0,2616.0,2396.0,220.0,-438.0,,-331.0,0.0,-764.0,275.0,-489.0,-2.0,-2.0,0.0,-487.0,-27.0,-514.0,0.0,-1.0,-515.0,1031.796,1548.796,464.1,-1.109675,-1.113984,2.223219,472.2,-1.109675,-1.113984,2.223219,
09/30/2013,11310.0,6141.0,,6141.0,0.0,1540.0,3629.0,1257.0,2372.0,-7578.0,,6237.0,1341.0,-1864.0,1864.0,2316.0,-452.0,1868.0,,-342.0,0.0,1529.0,-497.0,1032.0,-8.0,-8.0,0.0,1040.0,-13.0,1027.0,0.0,-7.0,1020.0,1190.1,178.1,464.6,2.195437,2.178218,2.561558,474.0,2.006329,1.989451,2.36519,
12/31/2013,9889.0,6090.0,,6090.0,0.0,2381.0,1427.0,1427.0,,-7624.0,,6253.0,1371.0,-2851.0,2851.0,2597.0,254.0,-586.0,,-346.0,0.0,-930.0,463.0,-467.0,4.0,4.0,0.0,-471.0,-11.0,-482.0,0.0,7.0,-475.0,3254.8,3725.8,463.3,-1.025254,-1.01662,7.025254,463.3,-1.025254,-1.01662,7.025254,
03/31/2014,12854.0,5868.0,,5868.0,0.0,4046.0,2940.0,1501.0,1439.0,-8001.0,,6386.0,1615.0,-2776.0,2776.0,2339.0,437.0,2077.0,,-359.0,0.0,1718.0,-473.0,1245.0,-4.0,-4.0,0.0,1249.0,-11.0,1238.0,0.0,-13.0,1225.0,977.732,-243.268,462.9,2.63,2.637719,2.112188,472.3,2.59,2.581531,2.06646,
06/30/2014,13146.0,6068.0,,6068.0,0.0,4363.0,2715.0,1520.0,1195.0,-8355.0,,6466.0,1889.0,-2965.0,2965.0,2483.0,482.0,1826.0,,-319.0,0.0,1513.0,-404.0,1109.0,-4.0,-4.0,0.0,1113.0,-23.0,1090.0,0.0,-13.0,1077.0,940.8,-132.2,459.4,2.344362,2.335655,2.047889,470.5,2.204038,2.195537,1.914559,
09/30/2014,12380.0,6644.0,,6644.0,0.0,3916.0,1820.0,1496.0,324.0,-8961.0,,7334.0,1627.0,-2752.0,2752.0,2406.0,346.0,667.0,,-383.0,0.0,289.0,234.0,523.0,0.0,0.0,0.0,523.0,-11.0,512.0,0.0,-7.0,505.0,1323.35,818.35,458.0,1.10262,1.10262,2.88941,467.2,0.980308,0.980308,2.731914,
12/31/2014,15725.0,10713.0,,10713.0,0.0,4567.0,445.0,445.0,,-13249.0,,11401.0,1848.0,-3396.0,3396.0,2688.0,708.0,-920.0,,-830.0,0.0,-1745.0,294.0,-1451.0,-4.0,-4.0,0.0,-1447.0,-12.0,-1459.0,0.0,4.0,-1455.0,448.906,1907.906,449.8,-3.234771,-3.243664,0.998012,459.0,-3.234771,-3.243664,0.913172,
03/31/2015,15552.0,6647.0,,6647.0,0.0,6130.0,2775.0,1608.0,1167.0,-9253.0,,7239.0,2014.0,-3225.0,3225.0,2436.0,789.0,3074.0,,-326.0,0.0,2745.0,-699.0,2046.0,0.0,0.0,0.0,2046.0,-10.0,2036.0,0.0,-13.0,2023.0,457.15,-1565.85,454.3,4.44,4.44,1.006273,463.0,4.37,4.37,0.988035,
06/30/2015,13712.0,7582.0,,7582.0,0.0,3800.0,2330.0,1250.0,1080.0,-8965.0,,7852.0,1113.0,-2281.0,2281.0,2146.0,135.0,2466.0,,-337.0,0.0,2138.0,-679.0,1459.0,0.0,0.0,0.0,1459.0,-53.0,1406.0,0.0,-15.0,1391.0,1094.6,-296.4,452.6,3.07,3.07,2.418471,461.4,3.03,3.03,2.387607,
09/30/2015,13599.0,5985.0,,5985.0,0.0,5441.0,2173.0,1624.0,549.0,-7855.0,,6648.0,1207.0,-3355.0,3355.0,2433.0,922.0,2389.0,,-340.0,0.0,2051.0,-584.0,1467.0,0.0,0.0,0.0,1467.0,-2.0,1465.0,0.0,-14.0,1451.0,1009.65,-441.35,451.0,3.22,3.22,2.238692,459.7,3.16,3.16,2.199917,
12/31/2015,14256.0,8307.0,,8307.0,0.0,3483.0,2466.0,1490.0,976.0,-10245.0,,8888.0,1357.0,-2843.0,2843.0,2569.0,274.0,1168.0,,-325.0,-8.0,835.0,-110.0,740.0,0.0,0.0,0.0,740.0,-5.0,735.0,0.0,10.0,745.0,2455.24,1710.24,449.0,1.659243,1.659243,5.468241,457.4,1.628771,1.628771,5.367818,
03/31/2016,14329.0,6297.0,,6297.0,0.0,5551.0,2481.0,1599.0,882.0,-8583.0,,7031.0,1552.0,-3687.0,3687.0,2485.0,1202.0,2059.0,,-327.0,0.0,1737.0,-368.0,1369.0,0.0,0.0,0.0,1369.0,-33.0,1336.0,0.0,-15.0,1321.0,771.75,-549.25,445.3,2.97,2.97,1.733101,453.2,2.93,2.93,1.718063,
06/30/2016,14439.0,6935.0,,6935.0,0.0,5222.0,2282.0,1276.0,1006.0,-9645.0,,7989.0,1656.0,-3093.0,3093.0,2666.0,427.0,1701.0,,-360.0,0.0,1356.0,-431.0,925.0,0.0,0.0,0.0,925.0,-4.0,921.0,0.0,-11.0,910.0,310.05,-599.95,441.1,2.06,2.06,0.702902,449.3,2.04,2.04,0.702902,
09/30/2016,16961.0,9635.0,,9635.0,0.0,4886.0,2440.0,1540.0,900.0,-11548.0,,10155.0,1393.0,-2782.0,2782.0,2667.0,115.0,2631.0,,-316.0,0.0,2333.0,-501.0,1832.0,0.0,0.0,0.0,1832.0,-5.0,1827.0,0.0,-21.0,1806.0,2724.45,918.45,435.9,4.14,4.14,6.250172,444.3,4.07,4.07,6.137184,
12/31/2016,13050.0,8097.0,,8097.0,0.0,2055.0,2898.0,1407.0,1491.0,-9642.0,,9049.0,593.0,-2771.0,2771.0,3349.0,-578.0,637.0,,-320.0,0.0,328.0,-35.0,293.0,0.0,0.0,0.0,293.0,-9.0,284.0,0.0,0.0,284.0,-1450.584616,-1734.584616,436.923077,0.65,0.65,-3.32,436.923077,0.65,0.65,-3.32,
03/31/2017,13670.0,6481.0,,6481.0,0.0,4488.0,2701.0,1533.0,1168.0,-8580.0,,7025.0,1555.0,-3023.0,3023.0,2584.0,439.0,2067.0,25.0,-325.0,0.0,1742.0,-395.0,1372.0,0.0,0.0,0.0,1372.0,-3.0,1369.0,0.0,-17.0,1352.0,1002.95,-349.05,429.9,3.14,3.14,2.332984,439.1,3.09,3.09,2.295079,
06/30/2017,13441.0,8326.0,,8326.0,0.0,2997.0,2118.0,725.0,1393.0,-9766.0,,8328.0,1438.0,-2740.0,2740.0,2656.0,84.0,935.0,13.0,-327.0,0.0,608.0,-125.0,496.0,0.0,0.0,0.0,496.0,-5.0,491.0,0.0,-6.0,485.0,1400.2,915.2,428.3,1.13,1.13,3.269204,437.2,1.12,1.12,3.213321,
09/30/2017,16313.0,7795.0,,7795.0,0.0,5684.0,2834.0,1502.0,1332.0,-9728.0,,8193.0,1535.0,-3234.0,3234.0,2591.0,643.0,3351.0,,-330.0,0.0,3041.0,-800.0,2241.0,0.0,0.0,0.0,2241.0,-3.0,2238.0,0.0,-27.0,2211.0,346.15,-1864.85,426.2,5.19,5.19,0.812177,435.0,5.09,5.09,0.802989,
12/31/2017,16265.0,9489.0,,9489.0,0.0,3698.0,3078.0,1543.0,1535.0,-11633.0,,10733.0,900.0,-3170.0,3170.0,3442.0,-272.0,1462.0,,-346.0,0.0,1107.0,2758.0,3865.0,0.0,0.0,0.0,3865.0,-100.0,3765.0,0.0,0.0,3765.0,4485.85,720.85,423.7,8.886004,8.886004,10.587326,432.7,8.701179,8.701179,10.367114,
