Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2000,441.798,692.957,224.43,-388.874,,-388.874,-86.715,80.183,-166.898,0.0,,-135.786,-300.562,0.0,,,-300.562,,,0.0,0.0,0.0,,,,,164.776,-233.215,-263.062,-25.0,,,,27.321,27.321,0.0,27.526,,72.797,0.0,0.0,
06/30/2000,1205.756,685.202,211.343,524.526,,524.526,-215.315,-129.879,-85.436,0.0,,-210.575,-230.283,0.0,,,-230.283,,,0.0,0.0,0.0,,,,,19.708,-835.926,-294.4,-523.0,,,,22.665,22.665,0.0,-41.191,,159.255,0.0,0.0,
09/30/2000,677.881,654.419,192.883,-78.371,,-78.371,-91.05,-18.49,-72.56,0.0,,-31.14,-197.399,0.0,,,-197.399,,,0.0,0.0,0.0,,,,,166.259,-608.775,-294.487,-38.0,,,,-202.927,,-202.927,-73.361,,37.966,,,
12/31/2000,774.183,753.399,198.775,-125.874,,-125.874,-52.117,,,-52.117,,-240.163,-102.629,205.0,,,-307.629,,,167.754,235.839,-68.085,,,,,-305.288,-497.917,-293.945,-86.769,,,,-126.359,135.57,-261.929,9.156,,36.103,0.0,0.0,
03/31/2001,918.566,-223.613,230.068,1003.299,,1003.299,-91.188,74.907,-166.095,0.0,,-6631.288,-236.773,,,,-236.773,,,,,,,,,,-6394.515,5290.694,-288.803,5506.0,,,,30.896,30.896,,42.601,,-422.028,,,
06/30/2001,1591.514,529.048,311.185,809.321,,809.321,-58.04,-34.81,-23.23,0.0,,-1582.076,-154.617,0.0,,,-154.617,,,,,,,,,,-1427.459,163.119,-330.207,489.0,,,,59.184,59.184,,-54.858,,172.557,,,
09/30/2001,2679.458,,849.126,1142.674,,1142.674,-249.177,-46.697,-202.48,0.0,,-7789.498,-801.609,,,,-801.609,,,,,,,,,,-6987.889,4789.975,-944.738,5622.0,,,,107.302,107.302,,5.411,,-320.065,,,
12/31/2001,887.39,613.555,318.892,350.033,,350.033,-395.09,,,-395.09,,-595.376,-362.098,0.0,,,-362.098,,,82.776,232.51,-149.734,,,,,-316.054,-228.789,-326.044,120.54,,,,44.756,62.12,-17.364,-68.041,,63.225,,,
03/31/2002,1163.613,854.28,323.121,99.337,,99.337,-113.125,62.891,-176.016,0.0,,-295.806,-324.914,,,,-324.914,,,,,,,,,,29.108,-580.202,-326.598,-390.0,,,,108.431,108.431,,27.965,,287.605,,,
06/30/2002,918.869,592.265,276.927,139.187,,139.187,-89.51,-104.018,14.508,0.0,,-884.389,-275.574,,,,-275.574,,,,,,,,,,-608.815,-497.326,-366.923,-454.0,,,,13.363,13.363,,310.234,,-462.846,,,
