Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
07/02/2011,1223,1223.0,-706,706.0,517,0.0,-486,137.0,207.0,63.0,79.0,31,-193,150.0,,,,43,-162,-6,-168,0.0,0.0,0.0,-168,0.0,-168,0.0,0.0,-168,73.8,241.8,213.0,-0.79,-0.79,0.346479,215.0,-0.79,-0.79,0.334651,
09/30/2011,1142,1142.0,-661,661.0,481,0.0,-371,129.0,200.0,62.0,-20.0,110,-184,131.0,,,,53,-74,-14,-88,0.0,0.0,0.0,-88,0.0,-88,0.0,0.0,-88,-6.1,81.9,246.0,-0.36,-0.36,-0.024797,248.0,-0.36,-0.36,-0.029758,
12/31/2011,1013,1013.0,-600,600.0,413,0.0,-277,113.0,188.0,44.0,-68.0,136,-131,133.0,,,,-2,5,-11,-6,0.0,0.0,0.0,-6,0.0,-6,0.0,0.0,-6,-295.25,-289.25,246.0,-0.02439,-0.02439,-1.200203,246.0,-0.02439,-0.02439,-1.200203,
03/30/2012,950,950.0,-548,548.0,402,0.0,-234,102.0,181.0,3.0,-52.0,168,-163,133.0,,,,30,5,-14,-9,0.0,0.0,0.0,-9,0.0,-9,0.0,0.0,-9,-23.3,-14.3,247.0,-0.04,-0.04,-0.094332,251.0,-0.04,-0.04,-0.096972,
06/29/2012,1029,1029.0,-589,589.0,440,0.0,-328,116.0,188.0,4.0,20.0,112,-135,125.0,,,,10,-23,-11,-34,0.0,0.0,0.0,-34,0.0,-34,0.0,0.0,-34,-15.8,18.2,248.0,-0.14,-0.14,-0.06371,250.0,-0.14,-0.14,-0.0672,
09/28/2012,1009,1009.0,-585,585.0,424,0.0,-297,110.0,187.0,3.0,-3.0,127,-137,125.0,,,,12,-10,-14,-24,0.0,0.0,0.0,-24,0.0,-24,0.0,0.0,-24,-19.45,4.55,249.0,-0.1,-0.1,-0.078112,251.0,-0.1,-0.1,-0.081873,
12/31/2012,957,957.0,-582,582.0,375,0.0,-319,110.0,186.0,3.0,20.0,56,-128,127.0,,,,1,-72,37,-35,0.0,0.0,0.0,-35,0.0,-35,0.0,0.0,-35,40.4,75.4,248.0,-0.14,-0.14,0.162903,252.0,-0.14,-0.14,0.160317,
03/29/2013,981,981.0,-583,583.0,398,0.0,-294,111.0,182.0,3.0,-2.0,104,-142,121.0,,,,21,-38,-10,-48,0.0,0.0,0.0,-48,0.0,-48,0.0,0.0,-48,-35.65,12.35,252.0,-0.19,-0.19,-0.141468,256.0,-0.19,-0.19,-0.141758,
06/28/2013,1038,1038.0,-597,597.0,441,0.0,-316,115.0,187.0,4.0,10.0,125,-184,125.0,,,,59,-59,-6,-65,0.0,0.0,0.0,-65,0.0,-65,0.0,0.0,-65,-20.15,44.85,255.0,-0.25,-0.25,-0.07902,259.0,-0.25,-0.25,-0.07902,
09/27/2013,1085,1085.0,-612,612.0,473,0.0,-316,120.0,191.0,3.0,2.0,157,-119,118.0,,,,1,38,-15,23,0.0,0.0,0.0,23,0.0,23,0.0,0.0,23,24.95,1.95,258.0,0.09,0.09,0.096705,261.0,0.09,0.09,0.096705,
12/31/2013,1082,1082.0,-607,607.0,475,0.0,-330,118.0,195.0,3.0,14.0,145,-254,119.0,,,,135,-109,-9,-118,0.0,0.0,0.0,-118,0.0,-118,0.0,0.0,-118,-1.0,117.0,259.0,-0.46,-0.46,-0.003861,260.0,-0.46,-0.46,-0.003861,
04/04/2014,1127,1127.0,-622,622.0,505,0.0,-350,126.0,210.0,3.0,11.0,155,-162,102.0,,,,60,-7,-16,-23,0.0,0.0,0.0,-23,0.0,-23,0.0,0.0,-23,22.5,45.5,280.0,-0.08,-0.08,0.080357,285.0,-0.08,-0.08,0.079649,
07/04/2014,1191,1191.0,-654,654.0,537,0.0,-357,128.0,219.0,4.0,6.0,180,-83,82.0,,,,1,97,-11,86,0.0,0.0,0.0,86,0.0,86,0.0,0.0,86,90.55,4.55,303.0,0.28,0.28,0.298845,308.0,0.28,0.28,0.294773,
10/03/2014,1213,1213.0,-651,651.0,562,0.0,-347,122.0,213.0,4.0,8.0,215,-92,81.0,,,,11,123,2,125,0.0,0.0,0.0,125,0.0,125,0.0,0.0,125,136.7,11.7,304.0,0.41,0.41,0.449671,309.0,0.4,0.4,0.437864,
12/31/2014,1103,1103.0,-582,582.0,521,0.0,-343,123.0,204.0,4.0,12.0,178,-87,78.0,,,,9,91,-28,63,0.0,0.0,0.0,63,0.0,63,0.0,0.0,63,77.3,14.3,304.0,0.21,0.21,0.254276,310.0,0.2,0.2,0.246129,
