Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A from Disc Ops,Impairment of Assets,Income from Uncon JVs,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
09/30/2000,60.879,58.567,0.0,0.0,0.0,2.312,-28.637,2.735,2.602,10.831,0.0,,12.469,32.242,-23.661,23.661,0.0,0.0,8.581,0.0,,0.0,,,8.581,,8.581,0.0,,8.581,8.581,,68.038,0.13,0.13,0.13,68.224,0.13,0.13,0.13,,,,,,,,,,19.103,,19.103,,,,,,19.103,0.280004,0.280004,0.62,221.425326,221.425326,220.821651,
12/31/2000,62.368999,58.553001,0.0,0.0,0.0,3.816,-123.572001,0.0,6.522,10.801,0.0,,106.249001,-61.203001,-23.075,24.032,0.0,-0.957,-84.278001,0.0,,0.0,,,-84.278001,,-84.278,0.0,,-84.278,-84.278,,68.0,-1.24,-1.24,0.4,68.099998,-1.24,-1.24,0.4,,,,,,,,,,21.764,,21.764,,,,,,21.764,0.319589,0.319589,0.29,90.741589,90.741589,90.539423,
03/31/2001,47.624,46.118,0.0,0.0,0.0,1.506,-15.249,1.799,2.549,10.901,0.0,,0.0,32.375,-21.121,21.121,0.0,0.0,11.254,-0.675,,0.0,,,10.579,,10.579,0.0,,10.579,10.579,,68.222,0.16,0.16,0.16,68.872,0.15,0.15,0.15,,,,,,,,,,21.054,,21.054,,,,,,21.054,0.305698,0.305698,0.22,71.966562,71.966562,71.287356,
06/30/2001,46.722,45.66,,,,1.062,-14.549,1.097,2.593,10.859,,,,32.173,-23.405,23.405,,,8.768,-1.184,,-0.521,,,8.105,,8.105,,,8.105,8.105,,68.409,0.12,0.11,0.11,69.307,0.12,0.11,0.11,,,,,,,,,,18.581,,18.581,,,,,,18.581,0.268097,0.268097,0.22,82.059846,82.059846,80.996609,
09/30/2001,47.002,46.063,,,,0.939,-14.188,0.699,2.598,10.891,,,,32.814,-23.491,23.491,,,9.323,-0.469,,-0.303,,,9.157,,9.157,,,9.157,9.157,,68.491,0.13,0.13,0.13,69.584,0.13,0.13,0.13,,,,,,,,,,19.343,,19.343,,,,,,19.343,0.277981,0.277981,0.22,79.142222,79.142222,77.899085,
12/31/2001,62.305,46.382999,0.0,0.0,0.0,15.922,-15.271,0.0,3.567,10.079,0.33,,1.295,47.034001,-22.987,22.987,0.0,0.0,24.047001,0.0,,1.322,,,22.725001,,22.725,0.0,,22.725,22.725,,68.519997,0.33,0.33,0.33,69.68,0.33,0.33,0.33,,,,,,,,,,37.540001,,37.540001,,,,,,37.540001,0.538749,0.538749,0.26,48.259988,48.259988,47.440063,
03/31/2002,46.444,46.102,0.0,0.0,0.0,0.342,-13.703,0.565,2.311,10.827,0.0,,0.0,32.741,-21.211,21.211,0.0,0.0,11.53,0.0,,-1.171,,,12.701,,12.701,0.0,,12.701,12.701,,68.698,0.18,0.16,0.16,69.844,0.18,0.16,0.16,,,,,,,,,,22.068,,22.068,,,,,,22.068,0.315961,0.315961,0.2375,75.167437,75.167437,73.93409,
06/30/2002,45.347,44.974,0.0,0.0,0.0,0.373,-19.662,0.936,2.601,10.538,0.0,,5.587,25.685,-22.597,19.5,0.0,3.097,3.088,0.0,,-23.38,,,26.468,,26.468,0.0,,26.468,26.468,,68.85,0.38,0.04,0.14,70.002,0.38,0.04,0.14,,,,,,,,,,21.395,,21.395,,,,,,21.395,0.305634,0.305634,0.2375,77.707291,77.707291,76.428488,
09/30/2002,45.686,45.449,0.0,0.0,0.0,0.237,-13.605,0.9,2.41,10.177,0.0,,0.118,32.081,-17.946,19.138,0.0,-1.192,14.135,2.2,,-0.758,,,17.093,,17.093,0.0,,17.093,17.093,,69.098,0.25,0.24,0.24,70.047,0.24,0.23,0.23,,,,,,,,,,27.452,,27.452,,,,,,27.452,0.391908,0.391908,0.2375,60.600913,60.600913,59.779889,
12/31/2002,46.404999,45.183998,0.0,0.0,0.0,1.221,-13.439,0.0,3.19,9.887,0.0,,0.362,32.966001,-24.683001,19.037001,0.0,5.646,8.283,0.0,,-1.161,,,9.444,,9.444,0.0,,9.444,9.444,,70.637001,0.13,0.12,0.2,71.204002,0.13,0.12,0.2,,,,,,,,,,24.245001,,24.245001,,,,,,24.245001,0.340501,0.340501,0.238,69.897102,69.897102,69.193642,
03/31/2003,47.003,45.764,,,,1.239,-14.119,0.76,3.14,10.219,,,,32.884,3.05,17.114,,-20.164,35.934,,,-1.354,,,,,37.288,,,37.288,37.288,,78.834,0.47,0.46,0.46,79.296,0.47,0.45,0.45,,,,,,,,,,48.024,,48.024,,,,,,48.024,0.60563,0.60563,0.2675,44.168916,44.168916,43.911575,
06/30/2003,48.016,46.705,0.0,0.0,0.758,0.553,-14.386,0.702,3.08,10.235,0.0,,0.369,33.63,-18.501,19.423,0.0,-0.922,15.129,0.0,,-1.0,,,16.129,,16.129,0.0,,16.129,16.129,,78.935,0.2,0.19,0.19,79.575,0.2,0.19,0.19,,,,,,,,,,32.118,,32.118,,,,,,32.118,0.403619,0.403619,0.2675,66.275336,66.275336,65.742302,
09/30/2003,50.401001,49.355,,,,1.046,-13.813,0.416,3.136,10.261,,,,36.587999,-6.196,14.313,,-8.117,30.391999,,,-1.82,,,,,32.212002,,,32.212002,32.212002,,79.389,0.41,0.38,0.38,80.258003,0.4,0.38,0.38,,,,,,,,,,40.311001,,40.311001,,,,,,40.311001,0.502268,0.502268,0.2675,53.258457,53.258457,52.681791,
12/31/2003,50.209999,49.074001,0.0,0.0,0.0,1.136,-14.148,0.0,4.288,9.86,0.0,,0.0,36.061999,-20.948,15.696,0.0,5.252,15.113999,0.0,,-62.009998,,,77.123998,,77.124001,0.0,,77.124001,77.124001,,80.186996,0.96,0.19,0.25,81.232002,0.95,0.18,0.24,,,,,,,,,,32.262001,,32.262001,,,,,,32.262001,0.397159,0.397159,0.268,67.479315,67.479315,66.486889,
03/31/2004,54.277,53.24,,,,1.037,-15.674,0.814,3.731,11.129,,,,38.603,-15.328,15.328,,,23.275,,,,,,,,23.275,,,23.275,23.275,,81.703,0.28,0.28,0.28,82.76,0.28,0.28,0.28,,,,,,,,,,34.048,,34.048,,,,,,34.048,0.411406,0.411406,0.325,78.997298,78.997298,77.988355,
06/30/2004,59.767,58.71,0.0,0.0,0.0,1.057,-17.121,1.053,3.653,12.415,0.0,,0.0,42.646,-16.992,16.992,0.0,0.0,25.654,0.0,,0.0,,,25.654,,25.654,0.0,,25.654,25.654,,83.82,0.31,0.31,0.31,84.565,0.3,0.3,0.3,,,,,,,,,,37.696,,37.696,,,,,,37.696,0.445764,0.445764,0.325,72.908598,72.908598,72.266288,
09/30/2004,61.262,60.31,,,0.763,0.189,-17.944,0.372,4.368,13.204,,,,43.318,-18.218,16.848,,1.37,25.1,,,-0.197,,,,,25.297,,,25.297,25.297,,84.073,0.3,0.3,0.32,84.889,0.3,0.3,0.32,,,,,,,,,,38.45,,38.45,,,,,,38.45,0.452944,0.452944,0.325,71.752731,71.752731,71.063004,
12/31/2004,62.226,61.327,0.0,0.0,,0.899,-17.207,0.468,4.452,12.287,0.0,,0.0,44.367,-17.849,17.849,0.0,0.0,26.518,0.0,,-20.156,,,46.674,,46.674,0.0,,46.674,46.674,,84.532,0.56,0.32,0.32,85.18,0.55,0.31,0.31,,,,,,,,,,40.128,,40.128,,,,,,40.128,0.471097,0.471097,0.325,68.987988,68.987988,68.463417,
03/31/2005,64.003,62.739,0.0,0.0,0.652,0.612,-19.258,0.552,5.44,13.266,0.0,,0.0,44.745,-17.172,17.172,0.0,0.0,27.573,0.0,,0.0,,,27.573,,27.573,0.0,,27.573,27.573,,84.657,0.33,0.33,0.33,85.4,0.32,0.32,0.32,,,,,,,,,,40.748,,40.748,,,,,,40.748,0.477143,0.477143,0.36,75.449102,75.449102,74.792677,
06/30/2005,74.952,72.34,0.0,0.0,1.492,1.12,-24.939,0.641,6.059,18.239,0.0,,0.0,50.013,-22.905,22.73,0.0,0.175,27.108,0.0,,0.04,,,27.068,,27.068,0.0,,27.068,27.068,,88.574,0.31,0.31,0.31,89.35,0.3,0.3,0.3,,,,,,,,,,45.433,,45.433,,,,,,45.433,0.508483,0.508483,0.36,70.798759,70.798759,70.183875,
09/30/2005,95.933,93.569,,,1.573,0.791,-34.951,0.677,6.58,27.694,,,,60.982,-32.263,32.263,,,28.719,,,-0.002,,,,,28.721,,,28.721,28.721,,103.081,0.28,0.28,0.28,103.88,0.28,0.28,0.28,,,,,,,,,,56.343,,56.343,,,,,,56.343,0.542385,0.542385,0.36,66.373463,66.373463,65.862947,
12/31/2005,98.303,96.274,0.0,0.0,1.284,0.745,-36.351,0.706,6.996,28.649,0.0,,0.0,61.71,-19.902,33.416,0.0,-13.514,41.808,0.0,,-5.413,,,47.221,,47.221,0.0,,47.221,47.221,,103.542,0.46,0.4,0.28,104.176,0.45,0.4,0.28,,,,,,,,,,70.679,,70.679,,,,,,70.679,0.678458,0.678458,0.36,53.061532,53.061532,51.239661,
03/31/2006,97.814,96.505,,0.0,0.968,0.341,-35.723,0.622,6.631,28.47,0.0,,0.0,62.091,-32.957,32.957,0.0,0.0,29.134,0.0,29.134,0.0,,,29.134,,29.134,0.0,,29.134,29.134,,103.751,0.28,0.28,0.28,104.3,0.28,0.28,0.28,,28.329,,,,,,,,57.463,,57.463,-4.95,,,,,52.513,0.55094,0.50348,0.395,71.6957,78.453907,71.318318,
06/30/2006,96.736,95.525,0.0,0.0,0.839,0.372,-35.439,0.654,6.287,28.498,0.0,,0.0,61.297,-33.69,32.417,0.0,1.273,27.607,0.0,29.258,-1.651,,,29.258,,29.258,0.0,,29.258,29.258,,103.884,0.28,0.26,0.27,104.374,0.28,0.26,0.27,,28.356,,0.613,,,,,,58.227,1.273,59.5,-4.914,,,,,54.586,0.570065,0.522985,0.395,69.290303,75.528029,70.47277,
09/30/2006,106.85523,104.00423,0.0,0.0,2.566,0.285,-41.882,0.727,6.539,29.024,0.0,,5.592,64.97323,-34.019,34.019,0.0,0.0,30.95423,0.0,32.241,-1.287,,,32.24123,,32.24123,0.0,,32.24123,32.24123,,104.021,0.22,0.23,0.23,104.568,0.22,0.23,0.23,,28.543,,0.613,,,,,,61.397,-1.761639,59.635361,-4.871,,-0.046,,,54.718361,0.570302,0.52328,0.395,69.261524,75.485375,66.922317,
12/31/2006,114.447,109.918,0.0,0.0,2.641,1.888,-39.027,1.168,6.679,31.18,0.0,,0.0,75.42,-37.151,37.151,0.0,0.0,38.269,0.0,40.797,-2.528,,,40.797,,40.797,0.0,,40.797,40.797,,105.168,0.39,0.37,0.36,105.682,0.38,0.36,0.35,,30.56,,1.224,,,,,,66.989,-1.379,65.61,-5.228,,-0.089,,,60.293,0.620825,0.570513,0.395,63.625042,69.235881,62.84596,
03/31/2007,117.417,116.345,0.0,0.0,0.823,0.249,-40.801,0.941,7.581,32.279,0.0,,0.0,76.616,-33.023,38.809,0.0,-5.786,43.593,0.0,45.106,-1.518,,,45.111,,45.106,0.0,,45.106,45.106,,106.044,0.43,0.41,0.41,106.775,0.42,0.41,0.41,,31.682,,1.136,,,,,,77.924,-5.786,72.138,-4.269,,-0.036,,,67.833,0.675608,0.635289,0.475,70.307085,74.769102,64.641061,
06/30/2007,191.917,118.252,0.0,71.4,1.679,0.586,-115.897,50.407,8.023,57.467,0.0,,0.0,76.02,-36.631,54.414,0.0,-17.783,39.389,5.611,174.598,-135.205,,,180.205,-0.938,179.797,-5.199,,174.598,174.598,,117.419,1.49,0.34,0.35,117.825,1.48,0.33,0.34,,57.3,,0.73,,,,,-129.478,107.411,-20.156,87.255,-4.337,,-1.166,,,81.752,0.740547,0.693843,0.475,64.14174,68.459334,51.925804,
09/30/2007,223.492,118.365,0.0,103.938,0.477,0.712,-150.53,71.382,9.315,69.833,0.0,,0.0,72.962,-54.524,52.961,0.0,1.563,18.438,9.463,28.014,-0.788,,,28.689,1.42,28.014,0.0,,28.014,28.014,,133.205,0.21,0.2,0.21,133.503,0.21,0.2,0.21,,69.666,,0.883,,,,,,97.143,-8.45,88.693,-4.326,,-2.243,,,82.124,0.664352,0.615147,0.475,71.49823,77.217287,65.133231,
12/31/2007,219.894,112.107,0.0,106.888,,0.899,-153.375,75.395,11.506,66.474,0.0,,0.0,63.777,-2.482,49.547,0.0,-47.065,61.295,12.968,29.401,-3.43,,,77.693,-4.231,29.401,0.0,,29.401,29.401,,133.72,0.22,0.22,0.225,133.945,0.22,0.22,0.225,,67.706,,4.661,,,,,0.0,97.537,-32.846,64.691,4.159,,-4.093,,,64.757,0.482967,0.48346,0.475,98.350427,98.250189,65.120928,
03/31/2008,228.672,119.661,,107.726,0.467,0.818,-85.214,76.957,8.257,70.514,,,0.0,72.944,-52.839,52.351,,0.488,20.105,10.038,31.154,-1.489,,,31.632,-1.501,31.154,0.0,,31.154,31.154,0.567,136.381,0.23,0.22,0.22,136.673,0.23,0.22,0.22,,70.334,,1.322,,,,,,101.309,-9.837,91.472,-3.759,,-0.823,,,86.89,0.669276,0.635751,0.5125,76.57525,80.613319,68.992155,
06/30/2008,229.031,119.441,,107.312,1.48,0.798,-81.452,71.842,9.61,56.642,,,0.0,90.937,-52.791,51.389,,1.402,38.146,3.712,70.153,-28.84,,,70.698,-1.578,70.153,0.0,,70.153,70.153,1.429,138.133,0.51,0.3,0.3,138.737,0.51,0.3,0.3,,56.458,,1.333,,,,,-25.869,100.497,-2.742,97.755,-3.67,,-1.133,,,92.952,0.704607,0.669987,0.5125,72.735627,76.49401,70.44306,
09/30/2008,235.121,121.172,0.0,108.61,3.426,1.913,-93.324,81.698,11.626,49.997,0.0,,0.0,91.8,-28.964,50.745,0.0,-21.781,62.836,0.415,63.766,-1.555,,,64.806,-1.59,63.766,0.0,,63.766,63.766,,140.759,0.45,0.44,0.45,141.141,0.45,0.44,0.45,,49.811,,0.972,,,,,,112.959,-16.724,96.235,-3.786,,-2.512,,,89.937,0.681836,0.637214,0.5125,75.164714,80.428258,63.862983,
12/31/2008,232.453,122.673,0.0,105.609,3.474,0.697,-87.605,76.447,11.158,53.728,0.0,,0.0,91.12,-48.428,49.965,0.0,-1.537,42.692,1.72,57.53,-14.631,,,59.043,-1.582,58.422,0.0,,58.422,58.422,,142.963,0.4,0.3,0.29,143.047,0.4,0.3,0.29,,53.555,,1.246,,,,,-13.157,97.592,-3.585,94.007,-3.437,,-3.66,,,86.91,0.657176,0.607563,0.5125,77.985243,84.353455,75.076377,
03/31/2009,228.904,122.398,0.0,102.939,3.281,0.286,-137.618,75.468,10.598,49.498,,0.0,2.054,91.286,-46.029,45.93,,0.099,45.257,0.547,74.228,-29.165,-29.165,0.0,74.969,,74.228,0.0,,74.228,47.222,2.159,143.091,0.52,0.32,0.330014,143.145,0.52,0.32,0.330014,,49.328,-1.62,0.41,,,,,-27.871,94.475,1.117,95.592,-2.938,,-1.144,,,91.51,0.667798,0.639282,0.5125,76.74472,80.168083,77.622797,
06/30/2009,231.452,124.612,0.0,103.399,3.333,0.108,-135.064,72.564,10.355,48.643,,0.0,3.502,96.388,-49.974,43.994,,5.98,46.414,0.395,88.381,-42.374,-42.374,0.0,89.183,,88.381,0.0,,88.381,16.464,-29.543,154.441,0.57,0.3,0.106604,154.51,0.57,0.3,0.106604,,48.472,-1.496,0.266,,,,,-39.02,96.603,8.541,105.144,-3.052,,-0.632,,,101.46,0.6805,0.656657,0.5125,75.31231,78.04689,81.934321,
09/30/2009,234.637,124.809,0.0,106.515,3.214,0.099,-141.873,76.338,9.657,49.984,,0.0,5.894,92.764,-43.323,43.291,0.0,0.032,49.441,0.41,49.805,-0.579,-0.579,0.0,50.43,,49.805,0.0,,49.805,55.0,5.774,156.25,0.32,0.32,0.352,156.516,0.32,0.32,0.352,,49.819,-1.58,0.365,,,,,-0.12,98.289,5.097,103.386,-2.971,,-3.156,,,97.259,0.660546,0.6214,0.5125,77.587343,82.475092,81.472113,
12/31/2009,237.896,126.063,0.0,108.205,3.279,0.349,-139.958,78.443,8.22,51.73,,0.0,1.565,97.938,-44.267,44.248,0.0,0.019,53.671,0.367,54.081,-0.74,-0.74,0.0,54.778,,54.081,0.0,,54.081,54.612,1.271,156.296,0.35,0.35,0.349414,156.692,0.35,0.35,0.349414,,51.546,-1.653,0.362,,,,,-0.294,104.042,0.776,104.818,-2.918,,-6.614,,,95.286,0.668943,0.60811,0.5125,76.613416,84.277491,76.989773,
03/31/2010,240.888,128.522,0.0,108.486,3.617,0.263,-144.195,78.879,10.683,52.314,,0.0,2.319,96.693,-43.984,44.09,0.0,-0.106,52.709,-0.286,52.619,-0.745,-0.745,0.0,53.168,,52.619,0.0,,52.619,54.009,2.135,156.453,0.34,0.34,0.345209,156.967,0.34,0.34,0.345209,,52.085,-1.726,0.223,,,,,-0.184,103.017,2.186,105.203,-2.449,,-4.295,,,98.459,0.670224,0.627259,0.535,79.824097,85.29169,81.251012,
06/30/2010,243.32,129.626,0.0,109.867,3.705,0.122,-139.288,75.183,9.858,50.04,,0.0,4.207,104.032,-50.51,43.84,0.0,6.67,53.522,-0.409,58.067,-5.852,-5.852,0.0,58.965,,58.067,0.0,,58.067,57.93,5.715,156.611,0.37,0.33,0.369897,157.441,0.37,0.33,0.366299,,49.787,-1.68,0.145,,,,,-5.041,101.278,10.606,111.884,-2.526,,-2.783,,,106.575,0.710641,0.67692,0.535,75.284165,79.034422,82.729601,
09/30/2010,264.665,140.723,0.0,119.893,4.014,0.035,-159.164,82.007,15.278,52.104,,0.0,9.775,105.501,-45.492,45.519,0.392,-0.419,60.009,-1.657,57.898,-0.542,-0.542,0.0,58.894,,57.898,0.0,,57.898,62.33,4.974,156.631,0.37,0.37,0.397942,157.941,0.37,0.37,0.397942,,51.449,-0.352,0.096,,,,,-0.168,108.923,6.524,115.447,-3.0,,-6.165,,,106.282,0.73095,0.672922,0.535,73.192404,79.503994,76.932865,
12/31/2010,265.965,138.672,0.0,122.153,5.076,0.064,-157.052,79.884,14.011,50.697,,0.0,12.46,108.913,-48.804,44.614,0.272,3.918,60.109,-2.849,77.583,-21.442,-21.442,0.0,78.702,,77.583,0.0,,77.583,47.11,-9.031,156.734,0.49,0.36,0.300573,158.231,0.49,0.35,0.292925,,50.2,-0.092,0.445,,,,,-19.848,108.288,13.159,121.447,-2.192,,-21.815,,,97.44,0.76753,0.615809,0.535,69.704138,86.877653,77.434887,
03/31/2011,268.432,140.81,0.0,121.459,6.085,0.078,-164.918,86.787,14.832,51.314,,0.0,11.985,103.514,-58.431,41.74,0.17,16.521,45.083,3.197,48.984,-0.766,-0.766,0.0,49.046,,48.984,0.0,,48.984,71.187,22.969,160.42,0.31,0.3,0.443754,162.023,0.3,0.3,0.441764,,50.728,0.831,0.445,,,,,,100.988,20.028,121.016,-1.772,,-7.963,,,111.281,0.746906,0.686822,0.575,76.984221,83.718896,91.33907,
06/30/2011,359.506,139.908,0.0,211.129,8.391,0.078,-302.996,144.172,15.554,79.509,,0.0,63.761,56.51,-44.076,52.043,0.083,-8.05,12.434,6.11,19.676,-1.19,-1.19,0.0,19.734,,19.676,0.0,,19.676,74.299,55.813,176.262,0.11,0.1,0.421526,177.945,0.11,0.1,0.413653,,78.926,0.721,1.246,,,,,,100.569,40.972,141.541,-1.977,,-5.717,,,133.847,0.79542,0.752182,0.575,72.28886,76.44428,100.777228,
09/30/2011,555.378,261.368,0.0,283.565,10.072,0.373,-375.014,207.427,20.624,156.593,,0.0,-9.63,180.364,-91.903,69.518,-0.182,22.567,88.461,13.732,102.885,0.209,0.209,0.0,101.984,,102.885,0.0,,102.885,95.802,-7.292,287.365,0.36,0.36,0.333381,290.794,0.35,0.35,0.324924,,155.969,0.934,4.434,,,,,,264.222,-9.155,255.067,-5.505,,-15.109,,,234.453,0.87714,0.806251,0.575,65.553972,71.317727,62.53638,
12/31/2011,563.145,264.177,0.0,288.413,9.867,0.688,-306.404,208.808,23.527,161.439,,0.0,-87.37,256.741,-71.261,67.443,-0.019,3.837,185.48,7.622,192.948,0.605,0.605,0.0,192.497,,192.948,0.0,,192.948,101.331,-92.222,287.793,0.67,0.67,0.352097,290.607,0.66,0.66,0.342657,,160.805,0.595,4.724,,,,,,359.072,-99.733,259.339,-5.631,,-16.432,,-6.442,230.834,0.892405,0.794317,0.575,64.432663,72.38926,46.085736,
03/31/2012,566.424,267.54,0.0,290.801,8.036,0.047,-409.425,215.837,22.198,160.421,,0.0,10.969,156.999,-98.933,68.13,-0.317,31.12,58.066,-11.338,90.626,-43.364,-43.364,0.0,90.092,,90.626,0.0,,90.626,84.787,37.525,288.375,0.31,0.16,0.294016,290.813,0.31,0.16,0.289035,,159.519,0.664,4.215,,,,,-40.233,214.791,19.575,234.366,-4.89,4.834,-8.902,-15.268,-1.888,208.252,0.805899,0.716103,0.62,76.932686,86.57975,83.24022,
