Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/31/2016,3796,783,783,0,437,437,0.0,474,0,0,218,256,160,,392,156,1854,512,1676.0,-1164.0,55,15,40.0,1375,944,736,208,,39,1942,,405,189,41,175,0,0,0.0,0.0,,0.0,239,72,,,51,644,1093,1093,0.0,0.0,,546,0.0,405.0,69,1639,2283,0,1244,2.0,1242.0,-62,949.0,-618,1513,0,1513,3796,
01/31/2017,3869,896,896,0,395,395,0.0,479,0,0,218,261,162,,342,155,1932,494,,,60,60,,1383,918,721,197,,123,1937,,331,172,19,140,0,0,,,,,265,74,,,68,596,1093,1093,,,,532,,384.0,74,1625,2221,0,1273,2.0,1271.0,-62,1048.0,-611,1648,0,1648,3869,
04/30/2017,6014,1023,983,40,518,518,0.0,585,0,0,293,292,188,,345,183,2314,545,,,44,44,,3111,2620,1702,918,16.0,130,3700,,412,180,22,210,170,140,,,,30.0,294,91,,,57,876,2156,2156,,,,810,,374.0,345,2966,3842,0,1732,2.0,1730.0,-62,1097.0,-595,2172,0,2172,6014,
07/31/2017,5840,876,873,3,521,521,0.0,561,0,0,276,285,200,,216,196,2158,546,,,43,43,,3093,2726,1861,865,17.0,134,3682,,400,181,39,180,40,0,,,,40.0,344,92,,,77,784,2047,2047,,,,790,,371.0,327,2837,3621,0,1774,2.0,1772.0,-62,1079.0,-572,2219,0,2219,5840,
10/31/2017,5933,818,818,0,547,547,0.0,588,0,0,286,302,224,,186,218,2177,530,1749.0,-1219.0,63,16,47.0,3163,2737,1882,855,,240,3756,,455,211,28,216,10,0,,,,10.0,354,101,,,62,819,2038,2034,4.0,4.0,,766,0.0,309.0,356,2804,3623,0,1788,2.0,1786.0,-62,1041.0,-457,2310,0,2310,5933,
01/31/2018,6050,980,980,0,454,454,0.0,609,0,0,296,313,232,,204,223,2275,539,,,61,61,,3175,2701,1894,807,,270,3775,,430,229,35,166,20,0,,,,20.0,436,105,,,78,886,2028,2028,,,,652,,315.0,232,2680,3566,0,1817,2.0,1815.0,-62,1141.0,-412,2484,0,2484,6050,
04/30/2018,5923,784,784,0,579,579,0.0,597,0,0,277,320,229,,203,222,2189,546,,,59,59,,3129,2645,1891,754,,281,3734,,525,240,47,238,0,0,,,,0.0,428,119,,,78,953,1789,1789,,,,658,,309.0,230,2447,3400,0,1839,2.0,1837.0,-102,1205.0,-419,2523,0,2523,5923,
07/31/2018,5846,742,742,0,597,597,0.0,609,0,0,276,333,234,,186,228,2182,549,,,54,54,,3061,2590,1888,702,,285,3664,,487,231,45,211,0,0,,,,0.0,413,122,,,78,900,1790,1790,,,,543,,220.0,201,2333,3233,0,1878,2.0,1876.0,-142,1326.0,-449,2613,0,2613,5846,
10/31/2018,5824,913,913,0,624,624,0.0,619,0,0,283,336,222,0.0,750,216,2378,555,1832.0,-1277.0,46,16,30.0,2845,1816,1171,645,,279,3446,,554,242,42,270,499,0,,,,499.0,409,127,0.0,,69,1462,1291,1287,4.0,4.0,,638,0.0,224.0,287,1929,3391,0,1891,2.0,1889.0,-182,1212.0,-488,2433,0,2433,5824,
01/31/2019,5978,1098,1098,0,580,580,0.0,641,0,0,286,355,225,,741,222,2544,558,,,52,52,,2824,1775,1181,594,,308,3434,,483,222,56,205,499,0,,,,499.0,418,126,,,96,1400,1291,1291,,,,629,,219.0,284,1920,3320,0,1927,2.0,1925.0,-222,1402.0,-449,2658,0,2658,5978,
04/30/2019,6190,1277,1277,0,660,660,0.0,660,0,0,290,370,227,,727,225,2824,563,,,42,42,,2761,1717,1174,543,,317,3366,,574,236,61,277,500,0,,,,500.0,411,150,,,74,1485,1292,1292,,,,615,,214.0,251,1907,3392,0,1956,2.0,1954.0,-252,1555.0,-461,2798,0,2798,6190,
07/31/2019,6348,1394,1394,0,618,618,0.0,696,0,0,304,392,227,,703,223,2935,568,,,46,46,,2799,1755,1209,546,,341,3413,,516,247,48,221,500,0,,,,500.0,416,177,,,88,1432,1292,1292,,,,686,,212.0,297,1978,3410,0,1996,2.0,1994.0,-312,1714.0,-460,2938,0,2938,6348,
10/31/2019,6623,1598,1598,0,668,668,0.0,705,0,0,317,388,244,0.0,755,242,3215,576,1923.0,-1347.0,46,0,46.0,2786,1699,1209,490,,332,3408,,580,253,55,272,0,0,,,,0.0,423,176,0.0,,83,1003,1788,1784,4.0,4.0,,828,0.0,357.0,295,2616,3619,0,2015,2.0,2013.0,-342,1909.0,-578,3004,0,3004,6623,
01/31/2020,6841,1691,1691,0,670,670,0.0,737,0,0,342,395,228,,737,223,3326,733,,,48,48,,2734,1650,1215,435,,347,3515,,488,224,51,213,36,0,36.0,,36.0,,458,176,,,93,982,1916,1788,128.0,,128.0,816,,350.0,290,2732,3714,0,2033,2.0,2031.0,-417,2072.0,-561,3127,0,3127,6841,
04/30/2020,6757,1841,1841,0,485,485,0.0,756,0,0,350,406,211,,726,211,3293,728,,,57,57,,2679,1599,1217,382,,354,3464,,520,182,25,313,38,0,38.0,,38.0,,391,167,,,0,949,1912,1788,124.0,,124.0,811,,344.0,300,2723,3672,0,2046,2.0,2044.0,-537,2143.0,-567,3085,0,3085,6757,
07/31/2020,7161,1697,1697,0,569,569,0.0,778,0,0,351,427,234,,746,234,3278,771,,,62,62,,3050,1929,1510,419,,375,3883,,463,193,40,230,43,0,43.0,,43.0,,474,173,,,88,980,1944,1789,155.0,,155.0,883,,352.0,358,2827,3807,0,2092,2.0,2090.0,-537,2319.0,-520,3354,0,3354,7161,
