Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2012,14537.0,295,295.0,0,1057.0,1057.0,0.0,0,0,0,0,0,297.0,,297.0,1649.0,611.0,,,0,12277.0,11776.0,7232.0,4544.0,179.0,,322.0,12888,,887.0,,,,887.0,293.0,0,,,,293.0,502,,15.0,972.0,0,1682.0,6563.0,6563.0,,,,1520.0,,,533.0,8083.0,9765.0,0,6475.0,30.0,6445.0,,-1500.0,-211.0,4764.0,8.0,4772.0,14537.0,
06/30/2012,14405.0,283,283.0,0,1089.0,1089.0,0.0,0,0,0,0,0,272.0,,272.0,1644.0,572.0,,,0,12189.0,11739.0,7188.0,4551.0,128.0,,322.0,12761,,842.0,,,,842.0,324.0,0,,,,324.0,465,,19.0,942.0,0,1631.0,6519.0,6519.0,,,,1470.0,,,509.0,7989.0,9620.0,0,6478.0,30.0,6448.0,,-1396.0,-301.0,4781.0,4.0,4785.0,14405.0,
09/30/2012,14496.0,325,325.0,0,1079.0,1079.0,0.0,0,0,0,0,0,279.0,,279.0,1683.0,555.0,,,0,12258.0,11832.0,7276.0,4556.0,114.0,,312.0,12813,,910.0,,,,910.0,428.0,0,,,,428.0,468,,22.0,936.0,0,1806.0,6252.0,6252.0,,,,1457.0,,,499.0,7709.0,9515.0,0,6503.0,30.0,6473.0,,-1291.0,-236.0,4976.0,5.0,4981.0,14496.0,
12/31/2012,14585.0,288,288.0,0,1110.0,1110.0,0.0,0,0,0,0,0,278.0,0.0,278.0,1676.0,560.0,1307.0,-747.0,0,12349.0,11907.0,7352.0,4555.0,170.0,9.0,263.0,12909,,739.0,150.0,0.0,49.0,540.0,355.0,0,10.0,10.0,,345.0,657,0.0,16.0,1006.0,222,1751.0,6229.0,6132.0,97.0,97.0,,1627.0,0.0,252.0,353.0,7856.0,9607.0,0,6515.0,30.0,6485.0,,-1252.0,-333.0,4930.0,48.0,4978.0,14585.0,
03/31/2013,14416.0,233,233.0,0,1076.0,1076.0,0.0,0,0,0,0,0,300.0,,300.0,1609.0,537.0,,,0,12270.0,11841.0,7322.0,4519.0,170.0,,259.0,12807,,845.0,,,,845.0,372.0,0,,,,372.0,422,,15.0,996.0,0,1639.0,5948.0,5948.0,,,,1581.0,,,570.0,7529.0,9168.0,0,6769.0,31.0,6738.0,,-1217.0,-353.0,5199.0,49.0,5248.0,14416.0,
06/30/2013,14540.0,1157,1157.0,0,1104.0,1104.0,0.0,0,0,0,0,0,280.0,,280.0,2541.0,535.0,,,0,11464.0,11021.0,6691.0,4330.0,167.0,,276.0,11999,,827.0,,,,827.0,335.0,0,,,,335.0,372,,7.0,951.0,0,1534.0,5920.0,5920.0,,,,1506.0,,,548.0,7426.0,8960.0,0,6756.0,31.0,6725.0,,-791.0,-432.0,5533.0,47.0,5580.0,14540.0,
09/30/2013,15715.0,737,737.0,0,1138.0,1138.0,0.0,0,0,0,0,0,336.0,,336.0,2211.0,555.0,,,0,12949.0,12541.0,7686.0,4855.0,166.0,,242.0,13504,,989.0,,,,989.0,361.0,0,,,,361.0,424,,12.0,1136.0,0,1774.0,6521.0,6521.0,,,,1708.0,,,560.0,8229.0,10003.0,0,6702.0,32.0,6670.0,,-657.0,-379.0,5666.0,46.0,5712.0,15715.0,
12/31/2013,15530.0,564,564.0,0,1196.0,1196.0,0.0,0,0,0,0,0,374.0,,374.0,2134.0,560.0,1276.0,-716.0,0,12836.0,12465.0,7684.0,4781.0,115.0,40.0,216.0,13396,,782.0,143.0,0.0,44.0,595.0,148.0,0,12.0,12.0,,136.0,605,0.0,8.0,864.0,242,1535.0,6492.0,6393.0,99.0,99.0,,1696.0,0.0,190.0,634.0,8188.0,9723.0,0,6628.0,32.0,6596.0,,-512.0,-387.0,5729.0,78.0,5807.0,15530.0,
03/31/2014,15473.0,301,301.0,0,1186.0,1186.0,0.0,0,0,0,0,0,446.0,2.0,446.0,1933.0,530.0,,,0,13010.0,12629.0,7812.0,4817.0,116.0,,263.0,13540,,916.0,,,,916.0,185.0,0,,,,185.0,430,,10.0,871.0,0,1531.0,6461.0,6461.0,,,,1684.0,,,803.0,8145.0,9676.0,0,6560.0,32.0,6528.0,,-454.0,-390.0,5716.0,81.0,5797.0,15473.0,
06/30/2014,15556.0,310,310.0,0,1266.0,1266.0,0.0,0,0,0,0,0,411.0,,411.0,1987.0,530.0,,,0,13039.0,12606.0,7841.0,4765.0,119.0,,314.0,13569,,882.0,,,,882.0,136.0,0,,,,136.0,485,,10.0,859.0,0,1503.0,6556.0,6556.0,,,,1653.0,,,784.0,8209.0,9712.0,0,6491.0,32.0,6459.0,,-380.0,-349.0,5762.0,82.0,5844.0,15556.0,
09/30/2014,15361.0,369,369.0,0,1189.0,1189.0,0.0,0,0,0,0,0,424.0,2.0,424.0,1982.0,525.0,,,0,12854.0,12431.0,7715.0,4716.0,96.0,,325.0,13379,,915.0,,,,915.0,112.0,0,,,,112.0,515,,5.0,839.0,0,1542.0,6508.0,6508.0,,,,1611.0,,,767.0,8119.0,9661.0,0,6413.0,32.0,6381.0,,-289.0,-509.0,5615.0,85.0,5700.0,15361.0,
12/31/2014,15326.0,273,273.0,0,1241.0,1241.0,0.0,0,0,0,0,0,497.0,1.0,497.0,2011.0,533.0,1379.0,-846.0,0,12782.0,12386.0,7671.0,4715.0,83.0,35.0,277.0,13315,,799.0,223.0,0.0,41.0,535.0,393.0,0,18.0,18.0,,375.0,602,0.0,2.0,1025.0,232,1794.0,6419.0,6319.0,100.0,100.0,,1980.0,0.0,320.0,633.0,8399.0,10193.0,0,6376.0,32.0,6344.0,-415.0,-128.0,-777.0,5056.0,77.0,5133.0,15326.0,
03/31/2015,15388.0,343,343.0,0,1168.0,1168.0,0.0,0,0,0,0,0,554.0,,554.0,2065.0,512.0,,,0,12811.0,12377.0,7640.0,4737.0,67.0,,367.0,13323,,855.0,,,,855.0,188.0,0,,,,188.0,395,,7.0,1026.0,0,1438.0,7159.0,7159.0,,,,1948.0,,,915.0,9107.0,10545.0,0,6317.0,32.0,6285.0,-544.0,-65.0,-940.0,4768.0,75.0,4843.0,15388.0,
06/30/2015,15465.0,331,331.0,0,1227.0,1227.0,0.0,0,0,0,0,0,556.0,1.0,556.0,2114.0,508.0,,,0,12843.0,12392.0,7690.0,4702.0,70.0,,380.0,13351,,831.0,,,,831.0,331.0,0,,,,331.0,471,,9.0,1017.0,0,1633.0,7142.0,7142.0,,,,1938.0,,,912.0,9080.0,10713.0,0,6211.0,32.0,6179.0,-685.0,49.0,-898.0,4677.0,75.0,4752.0,15465.0,
09/30/2015,15277.0,358,358.0,0,1163.0,1163.0,0.0,0,0,0,0,0,585.0,1.0,585.0,2106.0,486.0,,,0,12685.0,12243.0,7588.0,4655.0,73.0,,368.0,13171,,915.0,,,,915.0,339.0,0,,,,339.0,501,,12.0,993.0,0,1755.0,7114.0,7114.0,,,,1910.0,,,905.0,9024.0,10779.0,0,5281.0,32.0,5249.0,0.0,191.0,-1046.0,4426.0,72.0,4498.0,15277.0,
12/31/2015,15303.0,357,357.0,0,1235.0,1235.0,0.0,0,0,0,0,0,316.0,1.0,316.0,1908.0,490.0,1270.0,-780.0,0,12905.0,12555.0,7783.0,4772.0,78.0,22.0,249.0,13395,,782.0,216.0,0.0,48.0,518.0,310.0,0,31.0,31.0,,279.0,595,0.0,5.0,1074.0,230,1687.0,7028.0,6917.0,111.0,111.0,,1961.0,0.0,224.0,658.0,8989.0,10676.0,0,5151.0,32.0,5119.0,0.0,341.0,-1059.0,4433.0,194.0,4627.0,15303.0,
03/31/2016,15588.0,432,432.0,0,1239.0,1239.0,0.0,0,0,0,0,0,383.0,,383.0,2054.0,482.0,,,0,13052.0,12686.0,7887.0,4799.0,93.0,,273.0,13534,,915.0,,,,915.0,189.0,0,,,,189.0,400,,14.0,1024.0,0,1504.0,7471.0,7471.0,,,,1901.0,,,863.0,9372.0,10876.0,0,5098.0,32.0,5066.0,,387.0,-969.0,4516.0,196.0,4712.0,15588.0,
06/30/2016,15718.0,346,346.0,0,1313.0,1313.0,0.0,0,0,0,0,0,376.0,,376.0,2035.0,478.0,,,0,13205.0,12834.0,7971.0,4863.0,97.0,,274.0,13683,,868.0,,,,868.0,1075.0,0,,,,1075.0,472,,18.0,1038.0,0,2415.0,6933.0,6933.0,,,,1902.0,,,846.0,8835.0,11250.0,0,4897.0,32.0,4865.0,,389.0,-1011.0,4275.0,193.0,4468.0,15718.0,
09/30/2016,15700.0,446,446.0,0,1240.0,1240.0,0.0,0,0,0,0,0,365.0,,365.0,2051.0,485.0,,,0,13164.0,12797.0,7963.0,4834.0,96.0,,271.0,13649,,923.0,,,,923.0,578.0,0,,,,578.0,510,,10.0,1022.0,0,2011.0,7379.0,7379.0,,,,1875.0,,,843.0,9254.0,11265.0,0,4859.0,32.0,4827.0,,408.0,-1021.0,4246.0,189.0,4435.0,15700.0,
12/31/2016,15730.0,754,754.0,0,1171.0,1171.0,0.0,0,0,0,0,0,297.0,3.0,297.0,2222.0,471.0,1296.0,-825.0,0,13037.0,12581.0,7845.0,4736.0,127.0,21.0,305.0,13508,,795.0,238.0,,51.0,506.0,188.0,0,38.0,38.0,,150.0,611,,4.0,1175.0,216,1594.0,7738.0,7618.0,120.0,120.0,,2105.0,,296.0,630.0,9843.0,11437.0,0,4857.0,32.0,4825.0,,456.0,-1211.0,4102.0,191.0,4293.0,15730.0,
03/31/2017,16332.0,451,451.0,0,1287.0,1287.0,0.0,0,0,0,0,0,363.0,4.0,363.0,2101.0,464.0,,,0,13767.0,13298.0,8212.0,5086.0,133.0,,332.0,14231,,933.0,,,,933.0,236.0,0,,,,236.0,466,,2.0,1272.0,0,1635.0,8180.0,8180.0,,,,2200.0,,,926.0,10380.0,12015.0,0,4841.0,32.0,4809.0,,416.0,-1134.0,4123.0,194.0,4317.0,16332.0,
06/30/2017,16494.0,510,510.0,0,1367.0,1367.0,0.0,0,0,0,0,0,340.0,4.0,340.0,2217.0,454.0,,,0,13823.0,13349.0,8291.0,5058.0,133.0,,337.0,14277,,924.0,,,,924.0,163.0,0,,,,163.0,488,,3.0,1245.0,0,1575.0,8360.0,8360.0,,,,2168.0,,,920.0,10528.0,12103.0,0,4816.0,32.0,4784.0,,426.0,-1051.0,4191.0,200.0,4391.0,16494.0,
09/30/2017,16585.0,662,662.0,0,1282.0,1282.0,0.0,0,0,0,0,0,328.0,7.0,328.0,2272.0,458.0,,,0,13855.0,13394.0,8352.0,5042.0,131.0,,323.0,14313,,1014.0,,,,1014.0,67.0,0,,,,67.0,527,,2.0,1219.0,0,1608.0,8377.0,8377.0,,,,2140.0,,,919.0,10517.0,12125.0,0,4787.0,32.0,4755.0,,451.0,-979.0,4259.0,201.0,4460.0,16585.0,
12/31/2017,16866.0,656,656.0,0,1280.0,1280.0,0.0,0,0,0,0,0,346.0,13.0,346.0,2282.0,482.0,1486.0,-1004.0,0,14102.0,13572.0,8495.0,5077.0,170.0,23.0,324.0,14584,,894.0,296.0,0.0,61.0,537.0,84.0,0,49.0,49.0,,35.0,719,0.0,3.0,1435.0,247,1697.0,8357.0,8239.0,118.0,118.0,,2369.0,0.0,234.0,697.0,10726.0,12423.0,0,4774.0,32.0,4742.0,,411.0,-940.0,4245.0,198.0,4443.0,16866.0,
03/31/2018,16923.0,462,462.0,0,1374.0,1374.0,,0,0,0,0,0,428.0,32.0,428.0,2264.0,468.0,,,0,14191.0,13606.0,8524.0,5082.0,171.0,,382.0,14659,,969.0,,,,969.0,360.0,0,,,,360.0,510,,0.0,1423.0,0,1839.0,8286.0,8286.0,,,,2340.0,,,917.0,10626.0,12465.0,0,4782.0,32.0,4750.0,,362.0,-886.0,4258.0,200.0,4458.0,16923.0,
06/30/2018,16698.0,394,394.0,0,1320.0,1320.0,0.0,0,0,0,0,0,406.0,32.0,401.0,2120.0,471.0,,,0,14107.0,13509.0,8441.0,5068.0,169.0,,397.0,14578,,977.0,,,,977.0,343.0,0,,,,343.0,469,,0.0,1416.0,0,1789.0,8321.0,8321.0,,,,2343.0,,,927.0,10664.0,12453.0,0,4755.0,32.0,4723.0,,309.0,-1015.0,4049.0,196.0,4245.0,16698.0,
09/30/2018,16635.0,446,446.0,0,1249.0,1249.0,0.0,0,0,0,0,0,352.0,35.0,347.0,2047.0,461.0,,,0,14127.0,13507.0,8454.0,5053.0,166.0,,419.0,14588,,996.0,,,,996.0,307.0,0,,,,307.0,491,,0.0,1406.0,0,1794.0,8304.0,8304.0,,,,2322.0,,,916.0,10626.0,12420.0,0,4746.0,32.0,4714.0,,281.0,-1010.0,4017.0,198.0,4215.0,16635.0,
12/31/2018,15179.0,524,524.0,0,1118.0,1118.0,0.0,0,0,0,0,0,361.0,29.0,361.0,2003.0,468.0,1501.0,-1033.0,0,12708.0,12011.0,6987.0,5024.0,333.0,17.0,318.0,13176,,857.0,288.0,0.0,64.0,505.0,107.0,0,51.0,51.0,,56.0,693,0.0,3.0,1108.0,259,1657.0,8280.0,8170.0,110.0,110.0,,2199.0,,217.0,871.0,10479.0,12136.0,0,4752.0,32.0,4720.0,,-795.0,-1110.0,2847.0,196.0,3043.0,15179.0,
03/31/2019,15742.0,402,402.0,0,1221.0,1221.0,0.0,0,0,0,0,0,424.0,14.0,424.0,2047.0,979.0,,,0,12716.0,12029.0,7009.0,5020.0,334.0,,339.0,13695,,957.0,,,,957.0,499.0,0,181.0,67.0,114.0,318.0,461,,6.0,1100.0,0,1917.0,8711.0,8146.0,565.0,96.0,469.0,2125.0,,,1019.0,10836.0,12753.0,0,4646.0,32.0,4614.0,,-752.0,-1104.0,2790.0,199.0,2989.0,15742.0,
06/30/2019,15588.0,393,393.0,0,1227.0,1227.0,0.0,0,0,0,0,0,406.0,2.0,406.0,2026.0,903.0,,,0,12659.0,11998.0,7017.0,4981.0,329.0,,330.0,13562,,891.0,,,,891.0,523.0,0,172.0,61.0,111.0,351.0,475,,0.0,1078.0,0,1889.0,8651.0,8143.0,508.0,90.0,418.0,2060.0,,,982.0,10711.0,12600.0,0,4533.0,32.0,4501.0,,-629.0,-1115.0,2789.0,199.0,2988.0,15588.0,
09/30/2019,14343.0,389,389.0,0,1146.0,1146.0,0.0,0,0,0,0,0,412.0,0.0,412.0,1947.0,848.0,,,0,11548.0,10884.0,5973.0,4911.0,322.0,,342.0,12396,,2064.0,1087.0,,,977.0,408.0,0,163.0,53.0,110.0,245.0,390,,30.0,1068.0,0,1775.0,8582.0,8104.0,478.0,85.0,393.0,1633.0,,,535.0,10215.0,11990.0,0,4422.0,32.0,4390.0,,-1101.0,-1166.0,2155.0,198.0,2353.0,14343.0,
12/31/2019,14319.0,454,454.0,0,1103.0,1103.0,0.0,0,0,0,0,0,420.0,33.0,420.0,1977.0,859.0,1987.0,-1128.0,0,11483.0,10874.0,5993.0,4881.0,276.0,26.0,274.0,12342,,692.0,230.0,0.0,61.0,401.0,1024.0,0,163.0,53.0,110.0,861.0,785,0.0,0.0,1052.0,358,2501.0,7765.0,7303.0,462.0,92.0,370.0,1665.0,0.0,219.0,394.0,9430.0,11931.0,0,4410.0,32.0,4378.0,,-1210.0,-1005.0,2195.0,193.0,2388.0,14319.0,
03/31/2020,14193.0,359,359.0,0,1182.0,1182.0,0.0,0,0,0,0,0,473.0,3.0,473.0,2014.0,804.0,,,0,11375.0,10785.0,5979.0,4806.0,267.0,,320.0,12179,,971.0,,,,971.0,1160.0,0,158.0,52.0,106.0,1002.0,437,,65.0,1031.0,0,2568.0,7722.0,7275.0,447.0,84.0,363.0,1672.0,,,576.0,9394.0,11962.0,0,4402.0,32.0,4370.0,,-1228.0,-1130.0,2044.0,187.0,2231.0,14193.0,
06/30/2020,14122.0,438,438.0,0,1131.0,1131.0,0.0,0,0,0,0,0,504.0,2.0,504.0,2073.0,779.0,,,0,11270.0,10682.0,5984.0,4698.0,276.0,,310.0,12049,,996.0,,,,996.0,395.0,0,147.0,43.0,104.0,248.0,361,,65.0,1016.0,0,1752.0,8502.0,8051.0,451.0,79.0,372.0,1661.0,,,580.0,10163.0,11915.0,0,4391.0,32.0,4359.0,,-1258.0,-1112.0,2021.0,186.0,2207.0,14122.0,
