Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,403.863,,,-108.032,,295.831,,-239.553,,,,,,56.278,-17.72,28.358,28.358,,,0.0,,-10.638,38.558,-11.498,27.06,2.334,,,24.726,2.053,26.779,-1.552,0.0,25.227,25.227,0.0,17.65059,1.46675,1.613425,1.613425,17.689042,1.46675,1.613425,1.613425,
06/30/1998,366.347,,,-80.695,,285.652,,-244.147,,,,,,41.505,-22.458,30.141,30.141,0.0,,0.0,,-7.683,19.047,-7.638,11.409,0.0,,,11.409,3.053,14.462,0.0,0.0,14.462,14.462,0.0,17.568526,0.88665,0.88665,0.88665,17.616167,0.88665,0.88665,0.88665,
09/30/1998,236.324005,,,,,,,-217.337997,,,,,,18.986,-9.151,,17.181,,,0.0,,-8.03,9.835,-1.504,8.331,-3.895,,,12.226,2.235,14.461,0.0,,14.461,14.461,,17.472671,0.8933,0.8933,0.8933,17.472671,0.8933,0.8933,0.8933,
12/31/1998,247.483002,,,-31.35,,216.133002,0.0,-232.134003,,13.529,,,218.605003,15.349,-40.379999,,19.368,,,0.0,,21.011999,-25.030999,3.096,-21.934999,-19.738001,,,-2.196998,3.555,1.358,0.0,0.0,1.358,1.358,,17.311933,0.15,-1.2,-1.2,17.311933,0.15,-1.2,-1.2,
03/31/1999,264.75,,,,,,,-257.618011,,,,,,7.132,56.423004,,19.098,,,0.0,,-75.521004,63.555004,-26.606001,36.949001,-13.235,,,50.184003,4.441,54.625,0.0,,54.625,54.625,,17.3134,3.15,2.4,2.4,17.3568,3.15,2.4,2.4,
06/30/1999,273.946014,,,,,,,-258.975006,,,,,,14.971,-11.356,,18.299,,,0.0,,-6.943,3.615,-0.25,3.365,-0.247,,,3.612,4.141,7.753,0.0,,7.753,7.753,,17.325267,0.45,0.45,1.5,17.439533,0.45,0.45,1.5,
09/30/1999,337.091003,,,-51.518002,,285.573001,,-267.029999,,,,,,18.543,-19.169,,27.319,,,0.0,,-8.15,-0.626,-1.041,-1.667,-8.272,,,6.605,5.301,11.906,0.0,,11.906,11.906,,17.373801,0.75,0.15,0.15,17.5858,0.75,0.15,0.15,
12/31/1999,277.214996,,,,,,,-312.246002,,,,,,-35.030998,123.824999,,27.83,,,,,-151.654999,88.794001,-33.775002,55.019001,-10.496,,,65.514999,4.687,70.202003,0.0,,70.202003,70.202003,,17.429867,4.05,0.75,0.75,17.429867,3.9,0.75,0.75,
03/31/2000,448.701996,,,-121.166,,327.535996,,-284.829987,,,,,,42.706001,-35.966,,37.59,0.0,,0.0,,-1.624,6.740001,-4.827,1.913,-0.681,,,2.594001,4.732,7.326,0.0,,7.326,7.326,,17.428468,0.45,0.45,0.45,17.731668,0.45,0.3,0.3,
06/30/2000,418.606995,,,-103.433998,,315.172997,,-281.207001,,,,,,33.966,-37.531,,41.75,0.0,,0.0,,-4.219,-3.565,-0.471,-4.036,-2.663,,,-1.373,4.385,3.012,0.0,0.0,3.012,3.012,,17.414334,0.15,0.0,0.0,17.831601,0.15,0.15,0.0,
09/30/2000,452.709991,,,-114.497002,,338.212989,,-295.770996,,,,,,42.442001,-44.462998,,49.558998,0.0,,0.0,,-5.096,-2.020997,0.202,-1.819,-4.838,,,3.019003,-1.553,1.466,0.0,0.0,1.466,1.466,,17.649934,0.15,-0.15,0.15,18.051801,0.15,-0.15,0.15,
12/31/2000,482.338989,,,-110.024002,,372.314987,,-329.699005,,,,,,42.616001,-105.985001,,58.466999,0.0,,0.0,,47.518002,-63.369,21.228001,-42.140999,-3.495,,,-38.645999,-1.553,-40.198,0.0,0.0,-40.198,-40.198,,17.484602,-2.25,-2.1,-2.1,17.484602,-2.25,-2.1,-2.1,
03/31/2001,624.281006,,,-226.121002,,398.160004,,-304.792999,,,,,,93.366997,-64.172,,61.452,0.0,,0.0,,2.72,29.194997,-9.047,20.148001,-1.108,,,21.255997,-1.533,19.723,0.0,0.0,19.723,19.723,,17.535735,1.2,1.05,1.35,18.018867,1.05,1.05,1.35,
06/30/2001,505.740997,,,-128.528,,377.212997,,-316.664001,,,,,,60.549,-62.487998,,73.128998,0.0,,0.0,,-10.641,-1.938998,-0.525,-2.464,-3.367,,,0.903002,-1.552,-0.649,0.0,-12.647,-13.296,-13.296,,17.941934,-0.75,-0.15,0.3,18.378667,-0.75,-0.15,0.3,
09/30/2001,661.120972,,,-123.213997,,537.906975,,-466.673004,,,,,,71.234001,6.591,,123.452003,0.0,,0.0,,-130.043003,77.825001,-39.61,38.213,37.103,,,1.112001,-1.553,-0.441,0.0,-1.003,-1.444,-1.444,,19.078333,-0.15,1.8,-4.5,19.459134,-0.15,1.8,-4.5,
12/31/2001,665.848999,,,-122.271004,,543.577995,,-485.959991,,,,,,57.618,-236.121002,,121.292999,0.0,,0.0,,114.828003,-178.503002,63.987999,-114.514999,-6.2,,,-108.315003,,-108.315,0.0,0.0,-108.315,-108.315,,18.645,-5.85,-6.15,-0.3,18.645,-5.85,-6.15,-0.3,
03/31/2002,679.333984,,,-128.238007,,551.095977,,-439.028015,,,,,,112.068001,-182.267002,,122.050003,0.0,,0.0,,60.216999,-70.199001,26.941999,-43.257,-128.035995,,,84.778993,-1.553,83.225998,0.0,0.0,83.225998,83.225998,,18.6838,4.5,-2.4,-1.95,18.973801,4.35,-2.4,-1.95,
06/30/2002,662.439026,,,-113.786003,,548.653023,,-437.803986,,,,,,110.848999,-177.415996,,121.058998,0.0,,0.0,,56.356998,-66.566997,26.559999,-40.007,0.0,,,-40.006998,-1.552,-41.558998,0.0,0.0,-41.558998,-41.558998,,18.707333,-2.25,-2.25,-1.2,19.016934,-2.25,-2.25,-1.2,
09/30/2002,668.830994,,,-115.794998,,553.035996,,-448.289001,,,,,,104.746995,-457.089,,116.459,0.0,,0.0,,340.63,-352.342005,371.186005,-700.104,0.0,,,18.844,0.0,-700.104,-1.553,0.0,-701.657,-701.657,,18.718535,-37.349998,-37.349998,-0.15,18.954867,-37.349998,-37.349998,-0.15,
12/31/2002,658.728027,,,-119.100998,,539.627029,,-425.830994,,,,,,113.795998,-140.484999,,113.279999,0.0,,0.0,,27.205,-26.689001,-9.814,-36.502998,-12.043,,,-24.460001,0.0,-24.459999,0.0,0.0,-24.459999,-24.459999,,18.739735,-1.35,-1.95,-1.65,18.739735,-1.35,-1.95,-1.65,
03/31/2003,651.862,,,-113.219002,,538.642998,,-374.368988,,,,,,164.274002,-62.636002,,109.276001,0.0,,0.0,,-46.639999,101.638,-39.976002,61.661999,-65.769001,,,127.430999,0.0,127.431,0.0,0.0,127.431,127.431,,18.7758,6.75,3.3,2.1,19.069001,6.75,3.3,2.1,
06/30/2003,643.953979,,,-113.537003,,530.416976,,-382.85199,,,,,,147.565002,-87.571999,,107.987999,0.0,,0.0,,-20.416,59.993003,-24.384001,35.609001,0.0,,,35.609002,-1.552,34.056999,0.0,0.0,34.056999,34.056999,,18.812,1.8,1.8,1.5,19.171268,1.8,1.8,1.5,
09/30/2003,595.037,,,-85.869,,509.168,,-372.154,,,,,,137.014,-132.812,,103.124,0.0,,0.0,,29.688,4.202,7.21,11.412,0.0,,,11.412,0.0,11.412,-1.553,0.0,9.859,9.859,,18.855868,0.6,0.6,1.65,19.2068,0.6,0.6,1.65,
12/31/2003,554.085022,,,-57.064999,,497.020023,,-367.652008,,,,,,129.367996,-104.349998,,99.239998,0.0,,0.0,,5.11,25.017998,-10.066,14.952,0.0,,,14.951998,0.0,14.952,0.0,0.0,14.952,14.952,,18.873001,0.75,0.75,1.05,18.873001,0.75,0.75,1.05,
03/31/2004,552.310974,,,-55.549999,,496.760975,,-359.162994,,,,,,137.598007,-72.486997,,97.780998,0.0,,0.0,,-25.294001,65.11101,-23.705,41.405998,-1.461,,,42.86701,0.0,42.868,0.0,0.0,42.868,42.868,,18.932667,2.25,2.25,13.499999,20.313467,2.25,2.25,1.5,
06/30/2004,537.796021,,,-46.709999,,491.086022,,-365.071991,,,,,,126.014,-92.444,,97.652,0.0,,0.0,,-5.208,33.57,-11.098,22.472,-1.32,,,23.792,0.0,23.792,0.0,0.0,23.792,23.792,,18.985468,1.2,1.2,1.65,19.423601,1.2,1.2,1.65,
09/30/2004,545.393005,,,-51.272999,,494.120006,,-346.308014,,,,,,147.811996,-180.373001,,90.863998,0.0,,0.0,,89.509003,-32.561005,21.271,-11.29,0.0,,,-11.290005,0.0,-11.29,0.0,0.0,-11.29,-11.29,,20.648801,-0.6,-0.6,2.1,20.947468,-0.6,-0.6,2.1,
12/31/2004,545.028,,,-48.534,,496.494,,-352.143,,,,,,144.351,-129.315,,92.726,0.0,,0.0,,36.589,15.036,1.744,19.562,2.781,,,13.999,0.0,16.78,0.0,0.0,16.78,16.78,,22.342868,0.75,0.75,2.7,22.342868,0.75,0.75,2.7,
03/31/2005,502.334,,,-39.722,,462.612,,-318.131,,,,,,144.481,-79.757,83.725,83.725,0.0,,0.0,,-3.968,64.724,-25.216,39.508,-3.126,,,42.634,0.0,42.634,0.0,0.0,42.634,42.634,0.0,22.563334,1.95,1.8,1.8,23.124668,1.8,1.65,1.65,
06/30/2005,496.133,,,-35.595,,460.538,,-318.257,,,,,,142.281,-83.492,84.065,84.065,0.0,,0.0,,-0.573,58.789,-17.326,41.463,-3.121,,,44.584,0.0,44.584,0.0,0.0,44.584,44.584,0.0,22.692601,1.95,1.8,1.8,22.909401,1.95,1.8,1.8,
09/30/2005,501.211,,,-41.281,,459.93,,-323.01,,,,,,136.92,-79.2,85.219,85.219,0.0,,0.0,,-6.019,57.72,-22.514,35.206,-3.17,,,38.376,0.0,38.376,0.0,0.0,38.376,38.376,0.0,22.595201,1.65,1.5,1.5,22.960601,1.65,1.5,1.5,
12/31/2005,517.363,,,-40.224,,477.139,,-311.853,,,,,,165.286,-83.307,,85.726,0.0,,0.0,,-2.419,81.979,-10.214,71.765,-2.749,,,74.514,0.0,76.781,0.0,0.0,76.781,76.781,0.0,21.328001,3.6,3.45,3.45,21.328001,3.6,3.45,3.45,
03/31/2006,506.861,,,-40.218,,466.643,,-309.305,,,,,,157.338,-86.744,85.393,85.393,0.0,,0.0,,1.351,70.594,-26.607,43.987,-6.496,,,50.483,0.0,50.483,0.0,0.0,50.483,50.483,24.05,21.808801,2.25,1.95,3.0,21.970001,2.25,1.95,3.0,
06/30/2006,506.912,,,-38.402,,468.51,,-299.052,,,,,,169.458,-19.978,85.341,85.341,0.0,,0.0,,-65.363,149.48,-54.734,94.746,-6.956,,,101.702,0.0,101.702,0.0,0.0,101.702,101.702,0.0,21.489134,4.8,4.5,4.5,21.592134,4.65,4.35,4.35,
09/30/2006,507.198,,,-42.791,,464.407,,-303.687,,,,,,160.72,-77.824,82.186,82.186,0.0,,0.0,,-4.362,82.896,-31.562,51.334,-77.125,,,128.459,0.0,128.459,0.0,0.0,128.459,128.459,0.0,21.326068,6.0,2.4,2.4,21.428934,6.0,2.4,2.4,
12/31/2006,504.396,,,-49.836,,454.56,,-297.587,,,,,,156.973,-69.456,83.526,83.526,0.0,,0.0,,-14.07,87.517,-23.576,63.941,0.03,,,63.911,0.0,63.911,0.0,0.0,63.911,63.911,0.0,21.384934,3.0,3.0,3.0,21.384934,3.0,3.0,3.0,
03/31/2007,556.147,,,-50.793,,505.354,0.0,-312.052,,,,,,193.302,-83.947,,93.964,,,,,-10.017,109.355,-41.688,67.667,,,,67.667,,67.667,,0.0,67.667,67.667,,21.769468,3.15,3.15,3.15,21.858468,3.15,3.15,3.15,
06/30/2007,578.826,,,-51.878,,526.948,0.0,-355.65,,,,,,171.298,-105.166,,98.649,,,,,6.517,66.132,-25.573,40.559,,,,40.559,,40.559,0.0,0.0,40.559,40.559,,22.697934,1.8,1.8,1.8,22.772534,1.8,1.8,1.8,
09/30/2007,575.814,,,-56.566,,519.248,,-353.323,,,,,,165.925,-87.986,95.158,95.158,0.0,,0.0,,-7.172,77.939,-30.524,47.415,0.0,,,47.415,0.0,47.415,0.0,0.0,47.415,47.415,7.358,22.275201,2.1,2.1,2.4,22.342268,2.1,2.1,2.4,
12/31/2007,577.228,,,-69.005,,508.223,,-333.332,,,,,,174.891,-83.789,,92.925,,,0.0,,-9.136,91.102,-30.229,60.873,0.0,,,60.873,-1.86,59.013,0.0,0.0,59.013,59.013,4.10605,22.275201,2.7,2.7,2.85,22.342268,2.7,2.7,2.85,
03/31/2008,569.205,,,-60.549,,508.656,0.0,-344.344,,,,,,164.312,-92.095,90.86,90.86,0.0,,0.0,,1.235,72.217,-26.628,45.589,0.0,,,45.589,0.0,45.589,0.0,0.0,45.589,45.589,,21.744868,2.1,2.1,2.25,21.777334,2.1,2.1,2.25,
06/30/2008,562.55,,,-53.998,,508.552,0.0,-346.583,,,,,,161.969,-84.317,90.71,90.71,0.0,,0.0,,-6.393,77.652,-21.874,55.778,0.0,,,55.778,0.0,55.778,0.0,0.0,55.778,55.778,,21.389201,2.55,2.55,2.55,21.420468,2.55,2.55,2.55,
09/30/2008,557.871,,,-52.478,,505.393,,-341.152,,,,,,164.241,-89.031,89.186,90.333,-1.147,,0.0,,-0.155,75.21,-28.215,46.995,0.0,,,46.995,0.0,46.995,0.0,0.0,46.995,46.995,0.0,20.866468,2.25,2.25,2.25,20.914668,2.25,2.25,2.25,
12/31/2008,547.392,,,-54.988,,492.404,,-340.47,,,,,,151.934,-86.243,,90.731,,,0.0,,-4.488,65.691,-29.779,35.912,0.0,,,35.912,-1.614,34.298,0.0,0.0,34.298,34.298,1.92595,20.642268,1.65,1.65,1.8,20.642268,1.65,1.65,1.8,
03/31/2009,537.956,537.956,,-60.684,60.684,477.272,0.0,-337.762,,,0.0,137.558,200.204,139.51,-80.502,,88.749,,,0.0,0.0,-8.247,59.008,-22.053,36.955,0.0,0.0,0.0,36.955,-0.652,36.303,0.0,0.0,36.303,36.303,0.0,20.168334,1.8,1.8,1.8,20.168334,1.8,1.8,1.8,
06/30/2009,532.142,532.142,,-59.203,59.203,472.939,0.0,-336.323,,,,132.818,203.505,136.616,-94.052,,98.67,,-1.263,,,-3.355,42.564,-14.254,28.31,0.0,0.0,0.0,28.31,-0.392,27.918,0.0,0.0,27.918,32.3546,4.4366,20.673001,1.35,1.35,1.56507,20.673001,1.35,1.35,1.564605,
09/30/2009,526.816,526.816,,-54.549,54.549,472.267,0.0,-299.777,,,,103.123,196.654,172.49,-90.723,,96.578,,-0.655,,,-5.2,81.767,-29.021,52.746,0.0,0.0,0.0,52.746,-0.587,52.159,,0.0,52.159,59.29435,7.13535,20.673401,2.55,2.55,2.86815,20.673401,2.55,2.55,2.86815,
12/31/2009,520.98,520.98,,-51.471,51.471,469.509,0.0,-311.96,,,,102.892,209.068,157.549,-147.779,,94.217,,-53.562,,,107.124,9.77,-4.6,5.17,0.0,0.0,0.0,5.17,-0.767,4.403,0.0,0.0,4.403,48.04365,43.64065,20.674468,0.15,0.15,2.323815,20.674468,0.15,0.15,2.260845,
03/31/2010,519.849,519.849,,-53.543,53.543,466.306,0.0,-304.444,,,,101.049,203.395,161.862,-86.334,,93.787,,-2.497,,,-4.956,75.528,-32.056,43.472,0.0,0.0,0.0,43.472,-0.907,42.565,0.0,0.0,42.565,49.1573,6.5923,20.693068,2.1,2.1,2.37555,20.693068,2.1,2.1,2.37555,
06/30/2010,516.137,516.137,,-53.139,53.139,462.998,0.0,-326.587,,,,99.974,226.613,136.411,-84.134,,93.968,,-3.5,,,-6.334,52.277,-16.338,35.939,0.0,0.0,0.0,35.939,-0.818,35.121,0.0,0.0,35.121,57.08155,21.96055,20.710934,1.65,1.65,2.7561,20.742468,1.65,1.65,2.70873,
09/30/2010,1402.968,1402.968,,-136.373,136.373,1266.595,0.0,-1032.55,,,,339.894,692.656,234.045,-164.003,,166.607,,-0.397,,,-2.207,70.042,-40.358,29.684,0.0,0.0,0.0,29.684,-0.689,28.995,0.0,0.0,28.995,83.06775,54.07275,65.92967,0.45,0.45,1.25994,65.98667,0.45,0.45,1.25994,
12/31/2010,1358.721,1358.721,,-140.624,140.624,1218.097,0.0,-978.417,,,,352.802,625.615,239.68,-166.811,,167.458,,,,,-0.647,72.869,-26.247,46.622,0.0,0.0,0.0,46.622,-0.63,45.992,0.0,0.0,45.992,54.60075,8.60875,65.960737,0.75,0.75,0.827775,65.960737,0.75,0.75,0.827775,
03/31/2011,1346.697,1346.697,,-151.284,151.284,1195.413,0.0,-944.82,,,,351.257,593.563,250.593,-157.83,,167.415,,-3.115,,,-6.47,92.763,-36.567,56.196,0.0,0.0,0.0,56.196,-1.485,54.711,0.0,0.0,54.711,63.3612,8.6502,65.98327,0.75,0.75,0.960255,66.095737,0.75,0.75,0.880875,
06/30/2011,1322.255,1322.255,,-126.629,126.629,1195.626,0.0,-957.346,,,,358.986,598.36,238.28,-167.246,,166.864,,-0.175,,,0.557,71.034,-37.19,33.844,0.0,0.0,0.0,33.844,-1.583,32.261,0.0,0.0,32.261,62.041,29.78,65.957137,0.45,0.45,0.94062,66.010803,0.45,0.45,0.90114,
09/30/2011,1290.939,1290.939,,-119.941,119.941,1170.998,0.0,-990.707,,,,351.907,638.8,180.291,-164.919,,165.755,,0.666,,,-1.502,15.372,6.948,22.32,0.0,0.0,0.0,22.32,-1.925,20.395,0.0,0.0,20.395,50.243,29.848,66.01727,0.3,0.3,0.761055,66.085603,0.3,0.3,0.75165,
12/31/2011,1283.152,1283.152,,-120.828,120.828,1162.324,0.0,-931.867,,,,341.025,590.842,230.457,-163.675,,165.162,,-1.487,,,0.0,66.782,-21.534,45.248,0.0,0.0,0.0,45.248,-3.001,42.247,0.0,0.0,42.247,68.2456,25.9986,66.018403,0.6,0.6,1.03374,66.018403,0.6,0.6,0.99381,
03/31/2012,1268.054,1268.054,,-115.569,115.569,1152.485,0.0,-944.027,,,,357.3,586.727,208.458,-159.274,,164.862,,-2.103,,,-3.485,49.184,-18.694,30.49,0.0,0.0,0.0,30.49,-3.722,26.768,0.0,0.737,27.505,53.238,25.733,65.92487,0.45,0.45,0.807555,65.967203,0.45,0.45,0.807555,
06/30/2012,1258.777,1258.777,,-115.433,115.433,1143.344,0.0,-875.56,,,,307.047,568.513,267.784,-234.068,,172.054,,-9.991,,,72.005,33.716,-11.717,21.999,0.0,0.0,0.0,21.999,-4.01,17.989,0.0,0.735,18.724,75.755,57.031,66.07887,0.3,0.3,1.146435,66.07887,0.3,0.3,1.146435,
09/30/2012,1252.469,1252.469,,-102.051,102.051,1150.418,0.0,-875.222,,,,298.416,576.806,275.196,-167.831,,172.188,,-0.323,,,-4.034,107.365,-35.739,71.626,0.0,0.0,0.0,71.626,-4.626,67.0,0.0,0.0,67.0,66.786,-0.214,66.086337,1.05,1.05,1.01058,66.097203,1.05,1.05,1.01058,
12/31/2012,1232.553,1232.553,,-108.535,108.535,1124.018,0.0,-888.288,,,,304.044,584.244,235.73,-197.043,,178.881,,,,,18.162,38.687,-9.488,29.199,0.0,0.0,0.0,29.199,-4.32,24.879,0.0,-2.901,21.978,55.046,33.068,66.087737,0.3,0.3,0.83292,66.087737,0.3,0.3,0.80037,
03/31/2013,1205.396,1205.396,,-109.398,109.398,1095.998,0.0,-845.174,,,,303.675,541.499,250.824,-166.766,,171.42,,,,,-4.654,84.058,-33.275,50.783,0.0,0.0,0.0,50.783,-2.643,48.14,0.0,0.521,48.661,49.338,0.677,66.12487,0.75,0.75,0.74613,66.16987,0.75,0.75,0.74613,
06/30/2013,1190.533,1190.533,,-107.114,107.114,1083.419,0.0,-817.263,,,,297.849,519.414,266.156,-323.371,,166.547,,,,,156.824,-57.215,18.755,-38.46,0.0,0.0,0.0,-38.46,0.0,-38.46,0.0,0.755,-37.705,62.054,99.759,66.17407,-0.6,-0.6,0.93774,66.21427,-0.6,-0.6,0.906615,
09/30/2013,1185.278,1185.278,,-103.955,103.955,1081.323,0.0,-875.151,,,,285.701,589.45,206.172,-162.311,,163.835,,,,,-1.524,43.861,-8.461,35.4,0.0,0.0,0.0,35.4,0.0,35.4,0.0,0.632,36.032,57.101,21.069,66.20767,0.6,0.6,0.862455,66.27367,0.6,0.6,0.862455,
12/31/2013,1180.369,1180.369,,-110.606,110.606,1069.763,0.0,-812.194,254.901,,,282.275,275.018,257.569,-165.553,,165.596,,,,,-0.043,92.016,-24.261,67.755,0.0,0.0,0.0,67.755,0.0,67.755,0.0,0.0,67.755,71.462,3.707,66.216337,1.05,1.05,1.07922,66.216337,1.05,1.05,1.07922,
03/31/2014,1154.046,1154.046,,-107.092,107.092,1046.954,0.0,-820.929,,,,281.407,539.522,226.025,-169.562,,170.957,,,,,-1.395,56.463,-17.189,39.274,0.0,0.0,0.0,39.274,0.0,39.274,0.0,0.767,40.041,49.133,9.092,66.268403,0.6,0.6,0.74142,66.368537,0.6,0.6,0.736995,
06/30/2014,1147.265,1147.265,,-106.224,106.224,1041.041,0.0,-816.699,,,,273.463,543.236,224.342,-167.628,,167.611,,,,,0.017,56.714,-19.034,37.68,0.0,0.0,0.0,37.68,0.0,37.68,0.0,0.746,38.426,54.427,16.001,66.308537,0.6,0.6,0.820815,66.452337,0.6,0.6,0.820815,
09/30/2014,1140.874,1140.874,,-107.866,107.866,1033.008,0.0,-835.977,,,,260.897,575.08,197.031,-145.265,,170.371,,,,,-25.106,51.766,-9.773,41.993,0.0,0.0,0.0,41.993,0.0,41.993,0.0,0.749,42.742,48.4,5.658,66.309803,0.6,0.6,0.7299,66.52367,0.6,0.6,0.68505,
12/31/2014,1330.305,1330.305,,-144.213,144.213,1186.092,0.0,-1013.549,300.798,,,323.175,389.576,172.543,-174.049,,186.561,,,,,-12.512,-1.506,15.452,13.946,0.0,0.0,0.0,13.946,0.0,13.946,0.0,0.0,13.946,36.0,22.054,66.302737,0.15,0.15,0.54297,66.302737,0.15,0.15,0.482625,
03/31/2015,1371.0,1371.0,,-155.0,155.0,1216.0,0.0,-1053.0,330.0,,,341.0,382.0,163.0,-244.0,,245.0,,,,,-1.0,-81.0,30.0,-51.0,0.0,0.0,0.0,-51.0,0.0,-51.0,0.0,1.0,-50.0,22.0,72.0,66.314403,-0.75,-0.75,0.331755,66.314403,-0.75,-0.75,0.331755,
06/30/2015,1368.0,1368.0,,-161.0,161.0,1207.0,0.0,-1014.0,331.0,,,335.0,348.0,193.0,-259.0,,260.0,,,,,-1.0,-66.0,38.0,-28.0,0.0,0.0,0.0,-28.0,0.0,-28.0,0.0,0.0,-28.0,42.0,70.0,69.16047,-0.45,-0.45,0.60729,69.16047,-0.45,-0.45,0.56214,
09/30/2015,1424.0,1424.0,,-159.0,159.0,1265.0,0.0,-1058.0,344.0,,,325.0,389.0,207.0,-245.0,,246.0,,-1.0,,,0.0,-38.0,24.0,-14.0,0.0,0.0,0.0,-14.0,0.0,-14.0,-67.0,0.0,-81.0,-31.0,50.0,77.413804,-1.05,-1.05,-0.40044,77.413804,-1.05,-1.05,-0.404115,
