Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2008,50227,3621,3621,0,6904,6904,0.0,2753,,,,,557,,557.0,13835,5874,,,0,,,30518,23299,14372,8927,2368.0,4851,36392,,5130,,5130.0,81,81,,,,3174,,3.0,2185,8385,13192,13192,,,7801,,,3364.0,4434,20993,29378,0.0,17279,26.0,17253.0,,2718,,19997,852,20849,50227,
03/31/2009,52045,6054,6054,0,6348,6348,0.0,2581,,,,,503,,503.0,15486,5739,,,0,,,30820,23369,14521,8848,2515.0,4936,36559,,5295,,5295.0,2076,2076,,,,3405,,2.0,2500,10776,12186,12186,,,5952,,,3251.0,2699,18138,28914,0.0,17356,26.0,17330.0,,5109,,22465,666,23131,52045,
06/30/2009,53121,6540,6540,0,6287,6287,0.0,2477,,,,,532,0.0,532.0,15836,6245,11546.0,-5301.0,3239,2957.0,282.0,27801,23307,14382,8925,,4494,37285,,5279,,5279.0,2085,0,0.0,0.0,2085.0,3275,0.0,4.0,2503,10639,12204,12204,0.0,0.0,6303,0.0,759.0,3276.0,2264,18507,29146,0.0,17380,26.0,17354.0,,5844,0.0,23224,751,23975,53121,
09/30/2009,55316,7832,7832,0,6208,6208,0.0,2783,,,,,602,,602.0,17425,6248,,,3105,3105.0,,28538,23439,14492,8947,,5099,37891,,5577,,5577.0,2071,2071,,,,3342,,8.0,2556,10990,13182,13182,,,6323,,,3326.0,2989,19505,30495,0.0,17355,26.0,17329.0,,6698,,24053,768,24821,55316,
12/31/2009,56133,7266,7266,0,7516,7516,0.0,2995,,,,,558,,558.0,18335,6220,,,3162,3162.0,,28416,23358,14465,8893,,5058,37798,,5983,,5983.0,1840,1840,,,,3370,,8.0,2564,11193,13435,13435,,,6310,,,3330.0,2972,19745,30938,0.0,17309,26.0,17283.0,,7092,,24401,794,25195,56133,
03/31/2010,55028,8183,8183,0,6788,6788,0.0,2732,,,,,485,,485.0,18188,6064,,,3423,3423.0,,27353,22493,14007,8486,,4860,36840,,5613,,5613.0,310,310,,,,3973,,,3138,9896,13196,13196,,,6365,,,3483.0,2882,19561,29457,0.0,17361,26.0,17335.0,,7412,,24773,798,25571,55028,
06/30/2010,54384,8709,8709,0,6431,6431,0.0,2392,,,,,492,0.0,492.0,18024,5980,11614.0,-5634.0,3515,3515.0,,26865,22055,13749,8306,,4810,36360,,5204,,5204.0,129,0,0.0,0.0,129.0,3529,0.0,0.0,2817,8862,13191,13191,0.0,0.0,6465,0.0,892.0,3486.0,2087,19656,28518,0.0,17434,26.0,17408.0,,7679,0.0,25113,753,25866,54384,
09/30/2010,55945,8814,8814,0,6418,6418,0.0,2520,,,,,501,,501.0,18253,6259,,,3846,3846.0,,27587,22311,14064,8247,,5276,37692,,5608,,5608.0,146,146,,,,3374,,,2606,9128,13172,13172,,,6312,,,3441.0,2871,19484,28612,0.0,17345,26.0,17319.0,,9228,,26573,760,27333,55945,
12/31/2010,56712,8456,8456,0,7091,7091,,2760,,,,,444,,444.0,18751,6286,,,4436,4071.0,365.0,27239,22104,13858,8246,,5135,37961,,5309,,5309.0,146,146,,,,3489,,,2740,8944,13179,13179,,,6404,,,3393.0,3011,19583,28527,,17404,26.0,17378.0,,10010,,27414,771,28185,56712,
03/31/2011,60431,11784,11784,0,6687,6687,,2358,,,,,436,,436.0,21265,6425,,,4941,4571.0,370.0,27800,22646,14311,8335,,5154,39166,,5493,,5493.0,37,37,,,,3698,,,2840,9228,15455,15455,,,6513,,,3468.0,3045,21968,31196,,17461,26.0,17435.0,,10952,,28413,822,29235,60431,
06/30/2011,61980,12680,12680,0,6330,6330,0.0,2332,,,,,442,,442.0,21784,6542,13029.0,-6487.0,4867,4867.0,,28787,23284,14697,8587,,5503,40196,,5773,,5773.0,32,0,0.0,0.0,32.0,3766,0.0,,2809,9571,15463,15463,0.0,0.0,6057,0.0,793.0,3149.0,2115,21520,31091,0.0,17461,26.0,17435.0,,12608,0.0,30069,820,30889,61980,
09/30/2011,59708,11429,11429,0,6384,6384,0.0,2522,,,,,464,,464.0,20799,6173,,,4367,4367.0,,28369,22605,14364,8241,,5764,38909,,5788,,5788.0,0,0,,,,3853,,,2848,9641,15446,15446,,,6521,,,3556.0,2965,21967,31608,0.0,16903,26.0,16877.0,,10463,,27366,734,28100,59708,
12/31/2011,59936,9432,9432,0,7151,7151,,2872,,,,,669,,669.0,20124,5940,,,4499,4499.0,,29373,23295,15018,8277,,6078,39812,,5344,,5344.0,0,0,,,,4058,,,3100,9402,15454,15454,,,6544,,,3571.0,2973,21998,31400,,16726,25.0,16701.0,,10728,,27454,1082,28536,59936,
03/31/2012,60897,10686,10686,0,6616,6616,,2864,,,,,689,,689.0,20855,5959,,,4718,4718.0,,29365,23294,14953,8341,,6071,40042,,5668,,5668.0,273,273,,,,4103,,,3127,10044,15187,15187,,,6619,,,3692.0,2927,21806,31850,,16570,24.0,16546.0,,11337,,27907,1140,29047,60897,
06/30/2012,56663,9626,9626,0,6608,6608,0.0,2595,,,,,619,0.0,619.0,19448,5814,12313.0,-6499.0,4968,4968.0,,26433,20307,13174,7133,,6126,37215,,5405,,5405.0,273,0,0.0,0.0,273.0,3939,0.0,0.0,3059,9617,15182,15182,0.0,0.0,6038,0.0,1460.0,2388.0,2190,21220,30837,0.0,16163,23.0,16140.0,,8521,0.0,24684,1142,25826,56663,
09/30/2012,59676,12007,12007,0,6634,6634,0.0,2856,,,,,770,,770.0,22267,5830,,,4725,4725.0,,26854,20318,13190,7128,,6536,37409,,5615,,5615.0,273,273,,,,4157,,,3154,10045,16184,16184,,,6022,,,2329.0,3693,22206,32251,0.0,16039,23.0,16016.0,,10225,,26264,1161,27425,59676,
12/31/2012,62745,7806,7806,0,7760,7760,0.0,3282,,,,,896,,896.0,19744,5857,,,7441,7441.0,,29703,23024,15875,7149,,6679,43001,,5260,,5260.0,273,273,,,,4727,,,3564,10260,16184,16184,,,6647,,,2447.0,4200,22831,33091,0.0,15921,23.0,15898.0,,12231,,28152,1502,29654,62745,
03/31/2013,68490,9324,9324,0,7136,7136,0.0,3476,,,,,857,,857.0,20793,5984,,,6622,6622.0,,35091,28470,20139,8331,,6621,47697,,6030,,6030.0,157,157,,,,4866,,,3691,11053,16317,16317,,,7226,,,2947.0,4279,23543,34596,0.0,15925,23.0,15902.0,,14139,,30064,3830,33894,68490,
06/30/2013,50944,6659,6659,0,5459,5459,0.0,2784,,,,,665,0.0,665.0,15567,2829,7309.0,-4480.0,3704,3704.0,,28844,22319,17255,5064,,6525,35377,,4434,,4434.0,137,0,0.0,0.0,137.0,3864,0.0,0.0,3187,8435,16321,16321,0.0,0.0,5544,0.0,584.0,2280.0,2680,21865,30300,0.0,15863,23.0,15840.0,,1135,0.0,16998,3646,20644,50944,
09/30/2013,53025,6681,6681,0,5605,5605,0.0,3278,,,,,979,,979.0,16543,2875,,,3802,3802.0,,29805,22915,16297,6618,,6890,36482,,4744,,4744.0,140,140,,,,4029,,,3268,8913,17333,17333,,,5884,,,2712.0,3172,23217,32130,0.0,15555,23.0,15532.0,,1669,,17224,3671,20895,53025,
12/31/2013,53286,6345,6345,0,6424,6424,,3316,,,,,636,,636.0,16721,2866,,,3590,3590.0,,30109,23120,16554,6566,,6989,36565,,4454,,4454.0,884,884,,,,4146,,,3414,9484,16588,16588,,,5893,,,2605.0,3288,22481,31965,0.0,15409,23.0,15386.0,,2240,,17649,3672,21321,53286,
03/31/2014,55293,5517,5517,0,6314,6314,,3387,,,,,431,,431.0,15649,2942,,,2908,2908.0,,33794,26212,17918,8294,,7582,39644,,4434,,4434.0,797,797,,,,4484,,,3802,9715,18257,18257,,,5823,,,2723.0,3100,24080,33795,0.0,15222,22.0,15200.0,,2241,,17463,4035,21498,55293,
06/30/2014,54793,5415,5415,0,6468,6468,,3092,0.0,1437.0,2285.0,-630.0,401,,401.0,15376,2931,8231.0,-5300.0,2859,2859.0,,33627,26124,18052,8072,,7503,39417,,4183,,4183.0,799,0,0.0,0.0,799.0,3874,,,3184,8856,18259,18259,0.0,0.0,6236,,807.0,2729.0,2700,24495,33351,0.0,15063,22.0,15041.0,,2389,-34.0,17418,4024,21442,54793,
09/30/2014,54711,4656,4656,0,6350,6350,0.0,3385,,,,,559,,559.0,14950,2794,,,3734,3734.0,,33233,25440,17609,7831,,7793,39761,,4383,,4383.0,814,814,,,,3961,,,3289,9158,19395,19395,,,6078,,,2562.0,3516,25473,34631,0.0,14890,22.0,14868.0,,2131,-756.0,16265,3815,20080,54711,
12/31/2014,52652,10051,10051,0,6669,6669,,3226,0.0,1372.0,2296.0,-442.0,318,,318.0,20264,1718,,,4885,4423.0,462.0,25785,18875,12448,6427,,6910,32388,,3628,,3628.0,227,227,,,,3384,,,2854,7239,18901,18901,,,5177,,,1782.0,3395,24078,31317,0.0,14120,21.0,14099.0,,7168,-1475.0,19813,1522,21335,52652,
03/31/2015,51492,9276,9276,0,6345,6345,,3062,0.0,1426.0,2158.0,-522.0,366,,366.0,19049,1696,,,4859,4441.0,418.0,25888,18874,12502,6372,,7014,32443,,3860,,3860.0,227,227,,,,3403,,,2935,7490,18865,18865,,,5524,,,2169.0,3355,24389,31879,0.0,13668,21.0,13647.0,,6168,-1847.0,17989,1624,19613,51492,
06/30/2015,50039,8428,8428,0,5912,5912,0.0,2749,0.0,1608.0,2056.0,-915.0,259,0.0,259.0,17348,1722,4188.0,-2466.0,4923,4529.0,394.0,26046,18833,12513,6320,,7213,32691,,3717,,3717.0,244,0,0.0,0.0,244.0,3081,0.0,0.0,2633,7042,18795,18795,0.0,0.0,5395,0.0,707.0,2290.0,2398,24190,31232,0.0,13447,20.0,13427.0,,5343,-1570.0,17220,1587,18807,50039,
09/30/2015,47997,5830,5830,0,6034,6034,0.0,2987,0.0,1759.0,2215.0,-987.0,342,,342.0,15193,1667,,,4784,4398.0,386.0,26353,18777,12514,6263,,7576,32804,,3529,,3529.0,244,244,,,,3219,,,2762,6992,18767,18767,,,5367,,,2278.0,3089,24134,31126,0.0,12818,20.0,12798.0,,4182,-1719.0,15281,1590,16871,47997,
12/31/2015,48096,4293,4293,0,6842,6842,0.0,3305,0.0,1654.0,2364.0,-713.0,386,,386.0,14826,1668,,,4463,4053.0,410.0,27139,19480,12716,6764,,7659,33270,,3359,,3359.0,486,486,,,,3423,,,2879,7268,19251,19251,,,5465,,,2275.0,3190,24716,31984,0.0,12592,19.0,12573.0,,3851,-1939.0,14504,1608,16112,48096,
03/31/2016,49248,4993,4993,0,6756,6756,0.0,3522,0.0,1843.0,2277.0,-598.0,349,,349.0,15620,1660,,,4616,4155.0,461.0,27352,19439,12732,6707,,7913,33628,,3828,,3828.0,475,475,,,,3973,,,3375,8276,19270,19270,,,5641,,,2415.0,3226,24911,33187,0.0,12522,19.0,12503.0,,3814,-1865.0,14471,1590,16061,49248,
06/30/2016,48193,4424,4424,0,6258,6258,0.0,3291,0.0,1337.0,2286.0,-332.0,976,0.0,976.0,14949,1692,4292.0,-2600.0,4252,3863.0,389.0,27300,19510,12733,6777,,7790,33244,,3181,,3181.0,427,0,0.0,0.0,427.0,3460,0.0,0.0,2955,7068,19126,19126,0.0,0.0,6566,0.0,825.0,2888.0,2853,25692,32760,0.0,12230,19.0,12211.0,,3575,-2144.0,13661,1772,15433,48193,
09/30/2016,48626,4681,4681,0,6099,6099,0.0,3300,0.0,1602.0,2493.0,-795.0,841,,841.0,14921,1669,,,4377,3912.0,465.0,27659,19454,12739,6715,,8205,33705,,3438,,3438.0,454,454,,,,3530,,,2918,7422,19034,19034,,,6562,,,2782.0,3780,25596,33018,0.0,12251,19.0,12232.0,,3741,-2185.0,13807,1801,15608,48626,
12/31/2016,49207,4530,4530,0,6983,6983,0.0,3507,0.0,1862.0,2390.0,-745.0,685,,685.0,15705,1657,,,4106,3616.0,490.0,27739,19355,12720,6635,,8384,33502,,3156,,3156.0,80,0,,,80.0,3513,,,2891,6749,19813,19813,,,6512,,,2709.0,3803,26325,33074,0.0,12243,19.0,12224.0,,4479,-2382.0,14340,1793,16133,49207,
03/31/2017,50684,5572,5572,0,7219,7219,0.0,3418,0.0,1951.0,2429.0,-962.0,529,,529.0,16738,1691,,,4217,3679.0,538.0,28038,19312,12733,6579,,8726,33946,,3832,,3832.0,107,0,,,107.0,3517,,,2896,7456,19789,19789,,,6568,,,2742.0,3826,26357,33813,0.0,12293,19.0,12274.0,,4919,-2195.0,15017,1854,16871,50684,
06/30/2017,50872,6163,6163,0,6625,6625,0.0,3101,0.0,1772.0,2412.0,-1083.0,545,,545.0,16434,1781,4494.0,-2713.0,4445,3902.0,543.0,28212,19366,12792,6574,,8846,34438,,3451,,3451.0,457,0,0.0,0.0,457.0,3478,0.0,,2750,7386,19456,19456,0.0,0.0,6398,0.0,683.0,2782.0,2933,25854,33240,0.0,12425,19.0,12406.0,,5315,-2018.0,15722,1910,17632,50872,
09/30/2017,52028,6901,6901,0,6619,6619,0.0,2856,0.0,2380.0,2020.0,-1544.0,622,,622.0,16998,1779,,,4750,4066.0,684.0,28501,19068,12779,6289,,9433,35030,,3966,,3966.0,707,707,,,,3503,,,2832,8176,19142,19142,,,6455,,,2801.0,3654,25597,33773,0.0,12364,19.0,12345.0,,5816,-1876.0,16304,1951,18255,52028,
12/31/2017,52858,5809,5809,0,7554,7554,0.0,3132,0.0,2244.0,2214.0,-1326.0,907,,907.0,17402,1840,,,5096,4364.0,732.0,28520,19017,12789,6228,,9503,35456,,3692,,3692.0,631,631,,,,3732,,,3013,8055,19163,19163,,,5297,,,1622.0,3675,24460,32515,0.0,12411,19.0,12392.0,,7627,-1649.0,18389,1954,20343,52858,
03/31/2018,53978,7372,7372,0,6905,6905,0.0,3645,0.0,2253.0,2194.0,-802.0,739,,739.0,18661,1861,,,4992,4256.0,736.0,28464,18968,12794,6174,,9496,35317,,3979,,3979.0,1538,1538,,,,3582,,,2865,9099,18459,18459,,,5436,,,1638.0,3798,23895,32994,0.0,12549,19.0,12530.0,,8121,-1699.0,18971,2013,20984,53978,
06/30/2018,53831,7622,7622,0,7120,7120,0.0,3669,0.0,2158.0,2134.0,-623.0,922,,922.0,19333,1956,4887.0,-2931.0,4836,4112.0,724.0,27706,18869,12768,6101,,8837,34498,,3248,,3248.0,1054,0,0.0,0.0,1054.0,3942,0.0,,3116,8244,18469,18469,0.0,0.0,5556,0.0,655.0,1892.0,3009,24025,32269,0.0,12631,19.0,12612.0,,8934,-2001.0,19564,1998,21562,53831,
09/30/2018,54512,7083,7083,0,7326,7326,0.0,3804,0.0,2481.0,2008.0,-685.0,915,,915.0,19128,1949,,,5532,4640.0,892.0,27903,18787,12755,6032,,9116,35384,,3381,,3381.0,872,872,,,,3549,,,2785,7802,18379,18379,,,5856,,,1949.0,3907,24235,32037,0.0,12553,19.0,12534.0,,10499,-2354.0,20698,1777,22475,54512,
12/31/2018,65886,21281,21281,0,8083,8083,0.0,3934,0.0,2887.0,1949.0,-902.0,719,,719.0,34017,1971,,,1692,833.0,859.0,28206,18728,12758,5970,,9478,31869,,3236,,3236.0,887,887,,,,3812,,,2957,7935,18321,18321,,,5819,,,1971.0,3848,24140,32075,0.0,12592,19.0,12573.0,,21292,-1879.0,32005,1806,33811,65886,
