Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1992,26.514,,,,-17.896,,8.618,,-5.643,,,,,2.975,-0.029,,0.407,,,-0.378,2.946,-0.883,2.063,0.0,,,2.063,0.0,2.063,0.0,,2.063,2.063,,53.571999,0.04,0.04,,53.571999,0.04,0.04,0.04,
12/31/1992,29.874001,,,,-21.934999,,7.939001,,-5.992,,,,,1.947,-0.644,,0.487,,,0.157,1.303,0.558,1.861,0.0,,,1.861,0.0,1.861,0.0,,1.861,1.861,,54.977997,0.035,0.035,,54.977997,0.035,0.035,0.035,
03/31/1993,9.113,,,,-5.584,,3.529,,-1.959,,,,,1.57,-0.679,,,,0.0,0.679,0.891,0.0,0.891,0.471,,,0.42,0.0,0.42,0.0,,0.42,0.42,,54.695999,0.01,0.02,,54.695999,0.01,0.02,0.02,
06/30/1993,10.917,,,,-6.877,,4.04,,-2.347,,,,,1.693,-0.185,,,,0.0,0.185,1.508,0.0,1.508,0.105,,,1.403,0.0,1.403,0.0,,1.403,1.403,,55.264,0.025,0.025,,55.264,0.025,0.025,0.025,
09/30/1993,10.452,,,,-6.346,,4.105999,,-2.247,,,,,1.859,-0.293,,,,0.0,0.293,1.566,0.0,1.566,-0.398,,,1.964,0.0,1.964,0.0,,1.964,1.964,,55.34,0.035,0.03,,55.34,0.035,0.03,0.03,
12/31/1993,10.613,,,,-6.47,,4.143,,-2.282,,,,,1.861,-9.731,,,,0.0,9.731,-7.87,0.0,-7.87,14.401,,,-22.271,0.0,-22.271,0.0,,-22.271,-22.271,,55.009998,-0.405,-0.145,,55.009998,-0.405,-0.145,-0.145,
03/31/1994,42.188999,,,,-28.104,,14.084999,,-9.408,,,,,4.677,-1.706,,,,0.0,1.706,2.971,-0.865,2.106,,,,2.106,0.0,2.106,0.0,,2.106,2.106,,84.239998,0.025,0.025,,84.239998,0.025,0.025,0.025,
06/30/1994,46.483002,,,,-31.712,,14.771002,,-10.366,,,,,4.405,1.056,,,,0.0,-1.056,5.461,-0.953,4.508,,,,4.508,0.0,4.508,0.0,,4.508,4.508,,112.699997,0.04,0.04,,112.699997,0.04,0.04,0.04,
09/30/1994,48.047001,,,,-31.316,,16.731001,,-10.714,,,,,6.017,0.415,,,,0.0,-0.415,6.432,-0.985,5.447,,,,5.447,0.0,5.447,0.0,,5.447,5.447,,108.940002,0.05,0.05,,108.940002,0.05,0.05,0.05,
12/31/1994,50.391998,,,,-32.744999,,17.646999,,-11.237,,,,,6.41,-0.322,,,,0.0,0.322,6.088,-1.033,5.055,,,,5.055,0.0,5.055,0.0,,5.055,5.055,,112.334,0.045,0.045,,112.334,0.045,0.045,0.045,
03/31/1995,54.480999,,,,-35.278,,19.202999,,-11.327,,,,,7.876,-0.758,,,,0.0,0.758,7.118,-2.817,4.302,,,,4.301,0.0,4.302,0.0,,4.302,4.302,,107.550003,0.04,0.045,,107.550003,0.04,0.045,0.045,
06/30/1995,60.592999,,,,-39.854,,20.738998,,-12.597,,,,,8.142,-1.092,,,,0.0,1.092,7.05,-3.133,3.917,0.0,,,3.917,0.0,3.917,0.0,,3.917,3.917,,87.043999,0.045,0.045,,87.043999,0.045,0.045,0.045,
09/30/1995,70.133003,,,,-48.673,,21.460003,,-14.581,,,,,6.879,1.663,,,,0.0,-1.663,8.542,-3.626,4.916,0.0,,,4.916,0.0,4.916,0.0,,4.916,4.916,,140.457993,0.035,0.035,,140.457993,0.035,0.035,0.035,
12/31/1995,1606.239014,,,,-729.953979,,876.285035,,-882.971985,,,,,-6.687,9.939,,,,0.0,-9.939,3.252,5.4,-14.598,,,,8.652,0.0,-39.721001,0.0,,-39.721001,-39.721001,,181.350006,-0.055,-0.135,-0.135,181.350006,-0.055,-0.135,-0.135,
03/31/1996,1015.900024,,,,-811.0,,204.900024,,-179.100006,,,,,25.799999,-1.4,,8.4,,0.0,-7.0,24.399999,-12.0,12.4,0.0,,,12.399999,0.0,12.4,0.0,0.0,12.4,12.4,,283.299988,0.04,0.04,0.04,283.299988,0.04,0.04,0.04,
06/30/1996,1501.300049,,,,-1218.300049,,283.0,,-226.699997,,,,,56.299999,-1.7,,11.5,,0.0,-9.8,54.599999,-24.6,30.0,0.0,,,29.999999,0.0,30.0,0.0,0.0,30.0,30.0,,286.600006,0.1,0.1,0.1,318.600006,0.09,0.09,0.09,
09/30/1996,1603.599976,,,,-1289.400024,,314.199952,,-226.699997,,,,,87.5,-5.9,,12.0,,0.0,-6.1,81.6,-38.599998,43.0,-2.1,,,45.100002,0.0,45.099998,0.0,0.0,45.099998,45.099998,,344.5,0.13,0.12,0.12,344.5,0.13,0.12,0.12,
12/31/1996,1973.800049,,,,-1747.300049,,226.5,,-283.299988,,,,,-56.799999,-39.4,,13.5,,0.0,25.9,-96.199999,18.200001,-78.0,25.299999,,,-103.299997,0.0,-103.300003,0.0,0.0,-103.300003,-103.300003,,252.623001,-0.41,-0.31,-0.31,252.623001,-0.41,-0.31,-0.31,
03/31/1997,1825.400024,,,,-1521.699951,,303.700073,,-256.200012,,,,,47.5,7.4,,3.7,,0.0,-11.1,54.9,-20.0,34.900002,-2.7,,,37.6,0.0,37.599998,0.0,,37.599998,37.599998,,379.5,0.1,0.09,0.09,404.100006,0.09,0.09,0.09,
06/30/1997,2513.899902,,,,-2103.0,,410.899902,,-304.600006,,,,,106.300003,5.3,,6.2,,0.0,-11.5,111.600003,0.0,70.900002,-3.6,,,115.200003,0.0,74.5,0.0,,74.5,74.5,,392.799988,0.19,0.18,0.15,423.5,0.18,0.17,0.14,
09/30/1997,2921.300049,,,,-2390.0,,531.300049,,-341.0,,,,,190.300003,1.5,,3.1,,0.0,-4.6,191.800003,-69.699997,122.099998,-3.2,,,125.300006,0.0,125.300003,0.0,,125.300003,125.300003,,411.700012,0.3,0.3,0.3,437.299988,0.29,0.28,0.28,
12/31/1997,2928.199951,,,,-2440.800049,,487.399902,,-390.100006,,,,,97.300003,-142.0,,,,0.0,142.0,-44.699997,15.9,-28.799999,-230.0,,,201.200003,0.0,201.199997,0.0,,201.199997,201.199997,,427.600006,0.47,-0.07,0.15,427.600006,0.47,-0.07,0.15,
03/31/1998,2343.399902,,,,-2026.099976,,317.299926,,-271.399994,,,,,45.900002,-2.7,,0.9,,0.0,1.8,43.200002,-15.5,27.700001,-49.400002,,,77.100004,0.0,77.099998,0.0,0.0,77.099998,77.099998,,440.0,0.18,0.06,0.06,458.399994,0.17,0.06,0.06,
06/30/1998,3172.600098,,,,-2741.0,,431.600098,,-336.700012,,,,,94.900002,-10.2,,9.8,,0.0,0.4,84.700002,-30.5,54.200001,-73.199997,,,127.399999,0.0,127.400002,0.0,0.0,127.400002,127.400002,,454.700012,0.28,0.12,0.12,473.899994,0.27,0.11,0.11,
09/30/1998,3508.0,,,,-3003.199951,,504.800049,,-385.100006,,,,,119.699997,7.3,,1.0,,0.0,-8.3,126.999997,-45.700001,81.300003,-98.400002,,,179.699998,0.0,179.699997,0.0,0.0,179.699997,179.699997,,462.799988,0.39,0.18,0.18,475.600006,0.38,0.17,0.17,
12/31/1998,3640.600098,,,,-3139.300049,,501.300049,,-405.5,,,,,95.800003,1.9,,2.3,,0.0,-4.2,97.700003,-35.099998,62.599998,-52.700001,,,115.300006,0.0,115.300003,0.0,0.0,115.300003,115.300003,,472.600006,0.24,0.13,0.13,472.600006,0.24,0.13,0.13,
03/31/1999,4562.700195,,,,-3952.5,,610.200195,,-517.299988,,,,,92.900002,-1.6,,6.7,-3.4,0.0,-1.7,91.300002,-32.900002,58.400002,-21.700001,,,80.100001,0.0,80.099998,0.0,,80.099998,80.099998,,456.200012,0.18,0.13,0.13,465.0,0.17,0.13,0.13,
06/30/1999,5069.600098,,,,-4362.799805,,706.800293,,-551.900024,,,,,154.899994,-3.2,,9.9,-5.3,0.0,-1.4,151.699994,-54.599998,97.099609,-404.099976,,,501.199972,0.0,501.200012,0.0,,501.200012,501.200012,,444.299988,1.13,0.22,0.22,453.100006,1.11,0.21,0.21,
09/30/1999,5459.700195,,,,-4685.399902,,774.300293,,-632.900024,,,,,141.399994,3.3,,5.3,-6.9,0.0,-1.7,144.699994,-52.099998,92.599998,-12.1,,,104.699996,0.0,104.699997,0.0,,104.699997,104.699997,,424.399994,0.25,0.22,0.22,429.700012,0.24,0.22,0.22,
12/31/1999,5019.799805,,,,-4374.600098,,645.199707,,-633.400024,659.6,,,-26.199976,11.8,-427.0,8.0,13.0,,0.0,419.0,-415.2,135.600006,-279.600006,123.499996,,,-403.09999,0.0,-403.100006,0.0,,-403.100006,-403.100006,,394.899994,-1.02,-0.71,0.1,394.899994,-1.02,-0.71,0.1,
03/31/2000,5230.200195,,,,-4478.100098,,752.100098,,-589.099976,,,,,163.0,-59.5,,12.0,-3.8,0.0,51.3,103.5,-38.799999,64.699997,2.4,,,62.300001,0.0,62.299999,0.0,0.0,62.299999,62.299999,,367.299988,0.17,0.18,0.18,367.5,0.17,0.18,0.18,
06/30/2000,5339.5,,,,-4555.5,,784.0,,-580.099976,,,,,203.899994,-49.4,,10.4,-4.9,0.0,43.9,154.499994,-57.900002,96.599998,-4.2,,,100.799992,0.0,100.800003,0.0,0.0,100.800003,100.800003,,361.100006,0.28,0.27,0.27,361.299988,0.28,0.27,0.27,
09/30/2000,5338.100098,,,,-4560.700195,,777.399902,,-582.299988,,,,,195.100006,-46.099998,,61.599998,-3.0,0.0,-12.5,149.000008,-55.900002,93.099998,0.0,,,93.100006,0.0,93.099998,0.0,0.0,93.099998,93.099998,,361.299988,0.26,0.26,0.24,361.299988,0.26,0.26,0.24,
12/31/2000,4701.799805,,,,-3781.899902,,919.899903,,-631.900024,,,,,288.0,-170.0,,11.5,,0.0,158.5,118.0,-44.299999,73.699997,0.0,,,73.700001,0.0,73.699997,0.0,0.0,73.699997,73.699997,,355.700012,0.21,0.21,0.17,355.700012,0.21,0.21,0.17,
03/31/2001,4887.600098,,,,-4195.100098,,692.5,,-585.700012,,,,,106.800003,-9.5,,11.0,-1.4,0.0,-0.1,97.300003,-37.400002,59.900002,0.0,,,59.900002,0.0,59.900002,0.0,0.0,59.900002,59.900002,,343.799988,0.17,0.17,0.17,344.299988,0.17,0.17,0.17,
06/30/2001,4945.0,,,,-4221.899902,,723.100098,,-581.299988,,,,,141.800003,-0.3,,8.4,-2.2,0.0,-5.9,141.500003,-55.200001,86.300003,0.0,,,86.300002,0.0,86.300003,0.0,0.0,86.300003,86.300003,,334.700012,0.26,0.26,0.24,337.0,0.26,0.26,0.24,
09/30/2001,5010.8,,,,-4279.0,,731.8,0.0,-592.2,554.8,,,37.4,139.6,-9.7,8.7,11.2,-2.5,,1.0,129.9,-50.7,79.2,,,,79.2,,79.2,0.0,0.0,79.2,79.2,,331.2,0.24,0.24,0.24,333.4,0.24,0.24,0.24,
12/31/2001,5145.899902,,,,-4419.399902,,726.5,,-598.900024,,,,,127.599998,-95.500003,,10.2,-2.9,0.0,88.200003,32.099995,-12.5,19.6,12.7,,,6.899995,0.0,6.9,0.0,0.0,6.9,6.9,,326.100006,0.02,0.06,0.22,326.100006,0.02,0.06,0.22,
03/31/2002,4750.700195,,,,-4010.800049,,739.900146,,-564.400024,,,,,175.5,-27.0,,29.9,-3.3,0.0,0.4,148.5,-56.799999,91.699997,0.0,,,91.700001,0.0,91.699997,0.0,0.0,91.699997,91.699997,,321.399994,0.29,0.29,0.29,325.899994,0.28,0.28,0.28,
06/30/2002,5015.600098,,,,-4246.5,,769.100098,,-573.299988,,,,,195.800003,-27.7,,30.6,-2.8,0.0,-0.1,168.100003,-64.300003,103.800003,0.0,,,103.8,0.0,103.800003,0.0,0.0,103.800003,103.800003,,320.5,0.32,0.32,0.32,328.799988,0.32,0.32,0.32,
09/30/2002,5193.700195,,,,-4411.0,,782.700195,,-587.200012,,,,,195.5,-22.7,,13.0,-2.6,0.0,12.3,172.8,-66.099998,106.699997,0.0,,,106.700002,0.0,106.699997,0.0,0.0,106.699997,106.699997,,317.200012,0.34,0.34,0.33,321.899994,0.33,0.33,0.32,
12/31/2002,4401.7,,,,-3843.2,,558.5,,-545.7,528.5,,,17.2,12.8,115.8,-104.9,13.7,-118.6,,-10.9,128.6,-49.2,79.4,,,,79.4,,79.4,,,79.4,79.4,,309.4,0.26,0.26,,309.4,0.26,,0.26,
03/31/2003,4459.299805,,,,-3751.199951,,708.099854,,-540.5,,,,,167.600006,-30.299998,,35.099998,-1.1,0.0,-3.7,137.300008,74.599998,211.899994,26.9,,,185.000007,0.0,185.0,0.0,0.0,185.0,185.0,,290.399994,0.64,0.73,0.29,294.200012,0.63,0.72,0.29,
06/30/2003,4975.399902,,,,-4206.700195,,768.699707,,-562.599976,,,,,206.100006,-32.8,,40.0,-0.9,0.0,-6.3,173.300006,-66.699997,106.599998,0.3,,,106.300009,0.0,106.300003,0.0,0.0,106.300003,106.300003,,279.200012,0.38,0.38,0.38,285.200012,0.37,0.37,0.37,
09/30/2003,5142.600098,,,,-4359.299805,,783.300293,,-576.099976,,,,,207.199997,-34.200001,,33.700001,-0.8,0.0,1.3,172.999996,-63.5,109.5,0.7,,,108.799996,0.0,108.800003,0.0,0.0,108.800003,108.800003,,275.399994,0.4,0.4,0.4,286.600006,0.38,0.38,0.38,
12/31/2003,4444.2,,,,-3763.9,,680.3,,-523.9,,,,,156.4,-34.8,32.8,33.4,-0.6,0.0,2.0,121.6,-34.8,86.8,7.7,,,79.1,0.0,79.1,0.0,0.0,79.1,79.1,,282.2,0.28,0.31,0.31,282.2,0.28,0.31,0.31,
03/31/2004,4605.899902,,,,-3870.699951,,735.199951,,-551.099976,,,,,184.100006,-37.800001,,36.200001,-0.7,0.0,2.3,146.300005,-57.799999,88.5,1.2,,,87.300006,0.0,87.300003,0.0,0.0,87.300003,87.300003,,269.299988,0.32,0.33,0.33,275.700012,0.32,0.32,0.32,
06/30/2004,4836.5,,,,-4088.0,,748.5,,-553.0,,,,,195.5,-40.299998,,41.099998,-0.7,0.0,-0.1,155.200002,-58.700001,96.5,4.4,,,92.100001,0.0,92.099998,0.0,0.0,92.099998,92.099998,,267.200012,0.34,0.36,0.36,273.200012,0.34,0.35,0.35,
09/30/2004,4948.7,,,,-4201.1,,747.6,,-552.4,,,,,195.2,-39.8,37.8,38.7,-0.9,0.0,2.0,155.4,-59.7,95.7,3.3,,,92.4,0.0,92.4,0.0,0.0,92.4,92.4,,265.6,0.35,0.36,0.36,270.6,0.34,0.35,0.35,
12/31/2004,4751.1,,,,-4021.0,,730.1,,-537.1,,,,,193.0,-42.1,33.6,40.0,-1.2,0.0,3.3,150.9,-34.5,116.4,-45.4,,,161.8,0.0,161.8,0.0,0.0,161.8,161.8,,264.5,0.61,0.44,0.35,270.7,0.6,0.43,0.34,
03/31/2005,4504.9,,,,-3765.8,,739.1,,-539.5,519.5,,,20.0,199.6,-56.1,55.2,56.7,-1.5,0.0,0.9,143.5,-54.2,89.3,-7.7,,,97.0,0.0,97.0,0.0,0.0,97.0,97.0,,264.5,0.37,0.34,0.34,270.3,0.36,0.33,0.33,
06/30/2005,5038.4,,,,-4253.1,,785.3,,-575.7,,,,,209.6,-42.8,43.5,44.9,-1.4,0.0,-0.7,166.8,-61.0,105.8,-89.0,,,194.8,0.0,194.8,0.0,0.0,194.8,194.8,,262.3,0.74,0.4,0.4,267.8,0.73,0.4,0.4,
09/30/2005,5071.0,,,,-4282.0,,789.0,,-569.7,549.3,,,20.4,219.3,-38.4,38.5,40.0,-1.5,0.0,-0.1,180.9,-60.3,120.6,-8.7,,,129.3,0.0,129.3,0.0,0.0,129.3,129.3,,261.6,0.49,0.46,0.42,267.2,0.48,0.45,0.41,
12/31/2005,4485.3,,,,-3771.7,,713.6,,-535.5,,,,,178.1,-44.2,44.7,47.8,-3.1,0.0,-0.5,133.9,-52.7,81.2,5.9,,,75.3,0.0,75.3,0.0,0.0,75.3,75.3,,262.0,0.29,0.31,0.32,266.8,0.28,0.3,0.31,
03/31/2006,4571.1,,,,-3816.8,,754.3,,-552.1,532.7,,,19.4,202.2,-39.7,39.7,43.2,-3.5,0.0,0.0,162.5,-64.5,98.0,10.8,,,87.2,0.0,87.2,0.0,0.0,87.2,87.2,,262.8,0.33,0.37,0.37,267.4,0.33,0.37,0.37,
06/30/2006,4892.7,,,,-4111.4,,781.3,,-569.3,548.4,,,20.9,212.0,-92.0,92.7,95.8,-3.1,0.0,-0.7,120.0,-46.1,73.9,1.2,,,72.7,0.0,72.7,0.0,0.0,72.7,72.7,,220.4,0.33,0.34,0.43,225.2,0.32,0.33,0.42,
09/30/2006,4855.0,,,,-4090.2,,764.8,,-561.9,541.4,,,20.5,202.9,-61.9,62.4,63.3,-0.9,0.0,-0.5,141.0,-55.6,85.4,3.6,,,81.8,0.0,81.8,0.0,0.0,81.8,81.8,,210.9,0.39,0.4,0.4,215.0,0.38,0.4,0.4,
12/31/2006,4394.6,,,,-3697.1,,697.5,,-520.6,,,,,176.9,-58.1,64.3,62.1,-0.8,0.0,-3.2,118.8,-44.6,74.2,-1.0,,,75.2,0.0,75.2,0.0,0.0,75.2,75.2,,211.5,0.36,0.35,0.35,211.5,0.36,0.35,0.35,
03/31/2007,4299.9,,,,-3582.1,,717.8,,-532.1,511.2,,,20.9,185.7,-57.1,57.2,58.1,-0.9,0.0,-0.1,128.6,-46.1,82.5,4.9,,,77.6,0.0,77.6,0.0,0.0,77.6,77.6,,208.1,0.37,0.4,0.4,210.7,0.37,0.39,0.39,
06/30/2007,4559.3,,,,-3833.6,,725.7,,-540.9,517.7,,,23.2,184.8,-58.3,59.1,60.0,-0.9,0.0,-0.8,126.5,-47.2,79.3,2.0,,,77.3,0.0,77.3,0.0,0.0,77.3,77.3,,206.8,0.37,0.38,0.38,208.6,0.37,0.38,0.38,
09/30/2007,4513.3,,,,-3799.2,,714.1,,-528.8,506.7,,,22.1,185.3,-62.6,61.7,62.5,-0.8,,0.9,122.7,-46.1,76.6,4.5,,,72.1,,72.1,0.0,0.0,72.1,72.1,,196.1,0.37,0.39,0.39,197.5,0.37,0.39,0.39,
12/31/2007,3974.0,,,,-3338.3,,635.7,,-487.9,,,,,147.8,-65.2,61.7,62.5,-0.8,0.0,3.5,82.6,-32.3,50.3,-1.4,,,51.7,0.0,51.7,0.0,0.0,51.7,51.7,,183.5,0.3,0.29,0.29,183.5,0.28,0.27,0.27,
03/31/2008,3839.3,,,,-3196.1,,643.2,0.0,-497.6,474.6,,,23.0,145.6,-51.9,50.2,50.7,-0.5,,1.7,93.7,-38.0,55.7,5.0,,,50.7,,50.7,0.0,0.0,50.7,50.7,,180.0,0.28,0.31,0.31,180.6,0.28,0.31,0.31,
06/30/2008,3663.6,,,,-3057.2,,606.4,0.0,-472.3,451.4,,,20.9,134.1,-40.0,41.0,41.3,-0.3,,-1.0,94.1,-38.6,55.5,3.7,,,51.8,0.0,51.8,0.0,0.0,51.8,51.8,0.0,178.0,0.29,0.311798,0.311798,178.7,0.29,0.310705,0.310705,
09/30/2008,3359.3,,,,-2799.5,,559.8,0.0,-447.1,423.3,,,23.8,112.7,-1766.0,38.5,39.2,-0.7,,1727.5,-1653.3,257.5,-1395.8,16.9,,,-1412.7,0.0,-1412.7,0.0,0.0,-1412.7,-1412.7,1121.445,176.7,-7.99,-7.9,-1.56,176.7,-7.99,-7.9,-1.56,
12/31/2008,2597.0,,,,-2140.9,,456.1,,-388.0,384.2,,,3.8,68.1,-2.0,38.6,40.1,-0.7,0.0,-37.4,60.8,7.3,73.4,6.3,,,61.8,0.0,67.1,0.0,0.0,67.1,67.1,,176.8,0.38,0.42,0.13,176.8,0.38,0.42,0.13,
03/31/2009,2400.8,2310.6,76.8,13.4,-1944.5,1944.5,456.3,0.0,-361.3,352.3,,19.8,-10.8,95.0,-11.1,21.4,21.7,-0.3,,-10.3,83.9,-31.3,52.6,18.0,18.0,0.0,34.6,0.0,34.6,0.0,0.0,34.6,44.1,-8.5,176.8,0.2,0.3,0.249434,177.0,0.2,0.3,0.249434,
06/30/2009,2597.4,2497.2,88.6,11.6,-2123.7,2123.7,473.7,0.0,-372.8,362.1,,19.0,-8.3,100.9,-15.4,19.5,19.8,-0.3,,-4.1,85.5,-31.5,54.0,17.3,17.3,0.0,36.7,0.0,36.7,0.0,0.0,36.7,50.9,-3.1,177.8,0.21,0.3,0.286277,178.8,0.21,0.3,0.282662,
09/30/2009,2891.0,2784.3,95.0,11.7,-2381.4,2381.4,509.6,0.0,-391.6,375.5,,19.2,-3.1,118.0,-14.8,17.5,17.8,-0.3,,-2.7,103.2,-38.8,64.4,-0.6,-0.6,0.0,65.0,0.0,65.0,0.0,0.0,65.0,64.0,-0.4,178.1,0.36,0.36,0.359349,179.2,0.36,0.36,0.357768,
12/31/2009,2794.0,2694.8,88.7,10.5,-2320.9,2320.9,473.1,0.0,-377.8,360.2,,18.8,-1.2,95.3,-17.8,19.2,19.4,-0.2,,-1.4,77.5,-14.8,62.7,1.0,1.0,0.0,61.7,0.0,61.7,0.0,0.0,61.7,49.2,-13.5,174.2,0.35,0.36,0.282434,174.2,0.35,0.36,0.282434,
03/31/2010,2836.6,2729.6,95.3,11.7,-2328.2,2328.2,508.4,0.0,-393.3,373.4,,18.9,1.0,115.1,-18.5,18.4,18.6,-0.2,,0.1,96.6,-37.8,58.8,3.6,3.6,0.0,55.2,0.0,55.2,0.0,0.0,55.2,58.8,0.0,170.7,0.32,0.34,0.34,171.7,0.32,0.34,0.34,
06/30/2010,3104.3,2987.6,104.7,12.0,-2575.0,2575.0,529.3,0.0,-403.3,383.1,,19.6,0.6,126.0,-44.0,24.1,24.4,-0.3,,19.9,82.0,-32.0,50.0,2.8,2.8,0.0,47.2,0.0,47.2,0.0,0.0,47.2,62.1,12.1,161.9,0.29,0.31,0.38357,163.2,0.29,0.31,0.38357,
09/30/2010,3273.9,3149.8,111.9,12.2,-2728.5,2728.5,545.4,0.0,-424.5,402.9,,18.7,2.9,120.9,-27.3,26.6,26.9,-0.3,,0.7,93.6,-35.1,58.5,1.6,1.6,0.0,56.9,0.0,56.9,0.0,0.0,56.9,71.24,12.74,147.5,0.39,0.4,0.482983,149.6,0.38,0.39,0.47516,
12/31/2010,3246.2,3127.3,107.0,11.9,-2701.7,2701.7,544.5,0.0,-409.9,392.7,,19.6,-2.4,134.6,-25.5,28.0,28.6,-0.6,,-2.5,109.1,-41.1,68.0,0.7,0.7,0.0,67.3,0.0,67.3,0.0,0.0,67.3,80.74,12.74,150.4,0.45,0.46,0.536835,150.4,0.45,0.45,0.534707,
03/31/2011,3311.1,3186.5,110.7,13.9,-2744.9,2744.9,566.2,0.0,-426.2,407.7,,20.7,-2.2,140.0,-25.5,27.2,27.5,-0.3,,-1.7,114.5,-44.2,70.3,0.9,0.9,0.0,69.4,0.0,69.4,0.0,0.0,69.4,70.3,0.0,149.1,0.47,0.47,0.47,151.8,0.46,0.46,0.46,
06/30/2011,3336.3,3205.9,117.0,13.4,-2752.9,2752.9,583.4,0.0,-439.0,417.6,,21.1,0.3,144.4,-26.0,26.5,26.8,-0.3,,-0.5,118.4,-45.1,73.3,1.4,1.4,0.0,71.9,0.0,71.9,0.0,0.0,71.9,73.3,0.0,147.4,0.49,0.5,0.5,150.0,0.48,0.49,0.49,
