Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1992,437.0,176.0,861.0,650.0,211.0,-685.0,261.0,0.0,,,,243.0,18.0,-112.0,325.0,-94.0,0.0,94.0,231.0,0.0,0.0,231,-70.0,,161,0.0,,,161.0,0.0,161,-11.0,,150,150,,721.039978,0.2075,0.2075,,721.039978,0.2075,0.2075,0.2075,
12/31/1992,429.0,159.0,938.0,683.0,255.0,-779.0,270.0,0.0,,,,249.0,21.0,-101.0,328.0,-106.0,0.0,106.0,222.0,0.0,0.0,222,-67.0,,155,0.0,,,155.0,0.0,155,-11.0,,144,144,,720.0,0.2,0.2,0.2,720.0,0.2,0.2,0.2,
03/31/1993,504.0,221.0,903.0,678.0,225.0,-682.0,283.0,0.0,,,,262.0,21.0,-75.0,429.0,-135.0,0.0,135.0,294.0,0.0,0.0,294,-92.0,,202,0.0,,,202.0,0.0,202,-11.0,,191,191,,721.252014,0.265,0.265,,721.252014,0.265,0.265,0.265,
06/30/1993,478.0,184.0,1054.0,789.0,265.0,-870.0,294.0,0.0,,,,264.0,30.0,-75.0,403.0,-144.0,0.0,144.0,259.0,0.0,0.0,259,-79.0,,180,0.0,,,180.0,0.0,180,-11.0,,169,169,,721.195984,0.235,0.235,,721.195984,0.235,0.235,0.235,
09/30/1993,510.0,230.0,1143.0,864.0,279.0,-913.0,280.0,0.0,,,,239.0,41.0,-75.0,435.0,-159.0,0.0,159.0,276.0,0.0,0.0,276,-76.0,,200,0.0,,,200.0,0.0,200,-14.0,,186,186,,722.200012,0.2575,0.2575,,722.200012,0.2575,0.2575,0.2575,
12/31/1993,521.0,217.0,1323.0,965.0,358.0,-1106.0,304.0,0.0,,,,268.0,36.0,-75.0,446.0,-147.0,0.0,147.0,299.0,0.0,0.0,299,-95.0,,204,0.0,,,204.0,0.0,204,-16.0,,188,188,,722.059996,0.26,0.26,0.26,722.059996,0.26,0.26,0.26,
03/31/1994,582.0,274.0,1302.0,1008.0,294.0,-1028.0,308.0,0.0,,,,272.0,36.0,-50.0,532.0,-147.0,0.0,147.0,385.0,0.0,0.0,385,-108.0,,277,44.0,,,233.0,0.0,233,-16.0,,217,217,,722.223999,0.3,0.36,,722.223999,0.3,0.36,0.36,
06/30/1994,562.0,270.0,1350.0,1073.0,277.0,-1080.0,292.0,0.0,,,,276.0,16.0,-50.0,512.0,-153.0,0.0,153.0,359.0,0.0,0.0,359,-110.0,,249,0.0,,,249.0,0.0,249,-16.0,,233,233,,722.283997,0.3225,0.3225,,722.283997,0.3225,0.3225,0.3225,
09/30/1994,570.0,282.0,1497.0,1163.0,334.0,-1215.0,288.0,0.0,,,,282.0,6.0,-50.0,520.0,-151.0,0.0,151.0,369.0,0.0,0.0,369,-120.0,,249,0.0,,,249.0,0.0,249,-16.0,,233,233,,723.116028,0.3225,0.3225,,723.116028,0.3225,0.3225,0.3225,
12/31/1994,572.0,286.0,1666.0,1284.0,382.0,-1380.0,286.0,0.0,,,,278.0,8.0,-50.0,522.0,-153.0,0.0,153.0,369.0,0.0,0.0,369,-117.0,,252,0.0,,,252.0,0.0,252,-17.0,,235,235,,723.012024,0.325,0.325,0.325,723.012024,0.325,0.325,0.325,
03/31/1995,606.0,293.0,1837.0,1382.0,455.0,-1544.0,313.0,0.0,,,,295.0,18.0,-60.0,546.0,-171.0,0.0,171.0,375.0,0.0,0.0,375,-117.0,,258,0.0,,,258.0,0.0,258,-16.0,,242,242,,723.028015,0.335,0.335,,723.028015,0.335,0.335,0.335,
06/30/1995,609.0,299.0,2003.0,1493.0,510.0,-1704.0,310.0,0.0,,,,295.0,15.0,-60.0,549.0,-170.0,0.0,170.0,379.0,0.0,0.0,379,-115.0,,264,0.0,,,264.0,0.0,264,-16.0,,248,248,,722.859985,0.3425,0.3425,,722.859985,0.3425,0.3425,0.3425,
09/30/1995,650.0,343.0,2196.0,1678.0,518.0,-1853.0,307.0,0.0,,,,295.0,12.0,-65.0,585.0,-177.0,0.0,177.0,408.0,0.0,0.0,408,-130.0,,278,0.0,,,278.0,0.0,278,-16.0,,262,262,,721.471985,0.3625,0.3625,,721.471985,0.3625,0.3625,0.3625,
12/31/1995,676.0,363.0,2283.0,1878.0,405.0,-1920.0,313.0,0.0,,,,300.0,13.0,-70.0,606.0,-182.0,0.0,182.0,424.0,0.0,0.0,424,-133.0,,291,0.0,,,291.0,0.0,291,-17.0,,274,274,,717.880004,0.3825,0.3825,0.3825,717.880004,0.3825,0.3825,0.3825,
03/31/1996,709.0,387.0,2427.0,2058.0,369.0,-2040.0,322.0,0.0,,,,305.0,17.0,-80.0,629.0,-189.0,0.0,189.0,440.0,0.0,0.0,440,-139.0,,301,0.0,,,301.0,0.0,301,-16.0,,285,285,,712.859985,0.4,0.4,0.4,721.515991,0.395,0.395,0.395,
06/30/1996,729.0,389.0,2655.0,2202.0,453.0,-2266.0,340.0,0.0,,,,310.0,30.0,-80.0,649.0,-190.0,0.0,190.0,459.0,0.0,0.0,459,-135.0,,324,15.0,,,309.0,0.0,309,-18.0,,291,291,,713.023987,0.4075,0.4275,0.4275,722.97998,0.4025,0.4225,0.4225,
09/30/1996,713.0,379.0,2803.0,2319.0,484.0,-2424.0,334.0,0.0,,,,315.0,19.0,-80.0,633.0,-187.0,0.0,187.0,446.0,0.0,0.0,446,-134.0,,312,0.0,,,312.0,0.0,312,-19.0,,293,293,,710.419983,0.4125,0.4125,0.4125,719.0,0.4075,0.4075,0.4075,
12/31/1996,724.0,387.0,2898.0,2459.0,439.0,-2511.0,337.0,0.0,,,,319.0,18.0,-80.0,644.0,-192.0,0.0,192.0,452.0,0.0,0.0,452,-131.0,,321,0.0,,,321.0,0.0,321,-22.0,,299,299,,700.90802,0.4275,0.4275,0.4275,700.90802,0.4275,0.4275,0.4275,
03/31/1997,742.0,398.0,3067.0,2579.0,488.0,-2669.0,344.0,0.0,,,,322.0,22.0,-80.0,662.0,-197.0,0.0,197.0,465.0,0.0,0.0,465,-136.0,,329,0.0,,,329.0,0.0,329,-24.0,,305,305,,691.434021,0.44,0.44,0.44,698.13501,0.44,0.44,0.44,
06/30/1997,733.0,387.0,3258.0,2709.0,549.0,-2871.0,346.0,0.0,,,,324.0,22.0,-80.0,653.0,-186.0,0.0,186.0,467.0,0.0,0.0,467,-127.0,,340,0.0,,,340.0,0.0,340,-26.0,,314,314,,688.017029,0.46,0.46,0.46,694.755005,0.45,0.45,0.45,
09/30/1997,764.0,407.0,3232.0,2804.0,428.0,-2825.0,357.0,0.0,,,,325.0,32.0,-75.0,689.0,-187.0,0.0,187.0,502.0,0.0,0.0,502,-148.0,,354,0.0,,,354.0,0.0,354,-21.0,,333,333,,681.34198,0.49,0.49,0.49,687.948975,0.48,0.48,0.48,
12/31/1997,790.0,439.0,3444.0,2938.0,506.0,-3005.0,351.0,0.0,,,,327.0,24.0,-75.0,715.0,-185.0,0.0,185.0,530.0,0.0,0.0,530,-158.0,,372,0.0,,,372.0,0.0,372,-24.0,,348,348,,679.129028,0.51,0.51,0.51,686.138977,0.51,0.51,0.51,
03/31/1998,802.0,444.0,3627.0,3133.0,494.0,-3183.0,358.0,0.0,,,,326.0,32.0,-60.0,742.0,-191.0,0.0,191.0,551.0,0.0,0.0,551,-158.0,,393,0.0,,,393.0,0.0,393,-25.0,,368,368,,678.661987,0.54,0.54,0.54,683.724976,0.54,0.54,0.54,
06/30/1998,812.0,466.0,3972.0,3409.0,563.0,-3506.0,346.0,0.0,,,,324.0,22.0,-50.0,762.0,-190.0,0.0,190.0,572.0,0.0,0.0,572,-158.0,,414,0.0,,,414.0,0.0,414,-29.0,,385,385,,677.619019,0.57,0.57,0.57,682.562988,0.56,0.56,0.56,
09/30/1998,821.0,480.0,4161.0,3619.0,542.0,-3681.0,341.0,0.0,,,,328.0,13.0,-40.0,781.0,-197.0,0.0,197.0,584.0,0.0,0.0,584,-159.0,,425,0.0,,,425.0,0.0,425,-29.0,,396,396,,677.250977,0.58,0.58,0.58,681.880005,0.58,0.58,0.58,
12/31/1998,902.0,537.0,4878.0,4108.0,770.0,-4341.0,365.0,0.0,,,,329.0,36.0,-40.0,862.0,-213.0,0.0,213.0,649.0,0.0,0.0,649,-181.0,,468,0.0,,,468.0,0.0,468,-38.0,,430,430,,685.580017,0.63,0.63,0.63,690.427979,0.62,0.62,0.62,
03/31/1999,997.0,626.0,5256.0,4439.0,817.0,-4630.0,371.0,0.0,,,,338.0,33.0,-15.0,982.0,-218.0,0.0,218.0,764.0,0.0,0.0,764,-244.0,,520,7.0,,,513.0,0.0,513,-36.0,,477,477,,695.340027,0.69,0.7,0.7,700.161987,0.68,0.69,0.69,
06/30/1999,1009.0,640.0,5449.0,4791.0,658.0,-4809.0,369.0,0.0,,,,349.0,20.0,-15.0,994.0,-199.0,0.0,199.0,795.0,0.0,0.0,795,-238.0,,557,5.0,,,552.0,0.0,552,-36.0,,516,516,,695.838989,0.74,0.75,0.75,700.835022,0.74,0.74,0.74,
09/30/1999,1000.0,610.0,5879.0,5115.0,764.0,-5269.0,390.0,0.0,,,,356.0,34.0,-15.0,985.0,-207.0,0.0,207.0,778.0,0.0,0.0,778,-223.0,,555,-9.0,,,564.0,0.0,564,-39.0,,525,525,,696.409973,0.75,0.74,0.74,700.224976,0.75,0.74,0.74,
12/31/1999,1049.0,664.0,6169.0,5369.0,800.0,-5505.0,385.0,0.0,,,,362.0,23.0,-15.0,1034.0,-210.0,0.0,210.0,824.0,0.0,0.0,824,-238.0,,586,-8.0,,,594.0,0.0,594,-42.0,,552,552,,696.559998,0.79,0.78,0.78,700.09198,0.79,0.78,0.78,
03/31/2000,1066.0,667.0,6531.0,5553.0,978.0,-5864.0,399.0,0.0,,,,366.0,33.0,-10.0,1056.0,-216.0,0.0,216.0,840.0,0.0,0.0,840,-232.0,,608,0.0,,,608.0,0.0,608,-45.0,0.0,563,563,,695.239014,0.81,0.81,0.81,698.083984,0.81,0.81,0.81,
06/30/2000,1107.0,696.0,6912.0,5852.0,1060.0,-6216.0,411.0,0.0,,,,368.0,43.0,-10.0,1097.0,-225.0,0.0,225.0,872.0,0.0,0.0,872,-246.0,,626,-5.0,,,631.0,0.0,631,-45.0,0.0,586,586,,695.197998,0.84,0.84,0.84,697.945007,0.84,0.83,0.83,
09/30/2000,1125.0,737.0,7264.0,6136.0,1128.0,-6527.0,388.0,0.0,,,,372.0,16.0,-10.0,1115.0,-217.0,0.0,217.0,898.0,0.0,0.0,898,-256.0,,642,-3.0,,,645.0,0.0,645,-45.0,0.0,600,600,,691.54303,0.87,0.86,0.86,693.718994,0.86,0.86,0.86,
12/31/2000,1159.0,738.0,7643.0,6420.0,1223.0,-6905.0,421.0,0.0,,,,383.0,38.0,-10.0,1149.0,-225.0,0.0,225.0,924.0,0.0,0.0,924,-261.0,,663,0.0,,,663.0,0.0,663,-45.0,0.0,618,618,,692.278015,0.89,0.89,0.89,695.869995,0.89,0.89,0.89,
03/31/2001,84.0,1295.0,8472.0,8472.0,0.0,-7177.0,-1211.0,-1624.0,,,,363.0,50.0,-15.0,69.0,-286.0,0.0,286.0,-217.0,0.0,0.0,-217,82.0,,-135,-78.0,,,-57.0,-54.0,-111,-47.0,0.0,-158,-158,,691.469971,-0.23,-0.34,-0.34,691.469971,-0.23,-0.34,-0.34,
06/30/2001,1439.0,1518.0,8754.0,8754.0,0.0,-7236.0,-79.0,-505.0,,,,378.0,48.0,13.0,1452.0,-261.0,0.0,261.0,1191.0,-56.0,56.0,1135,-326.0,,809,35.0,,,774.0,-53.0,721,-53.0,0.0,668,668,,695.583008,0.96,1.01,1.01,695.583008,0.96,1.01,1.01,
09/30/2001,3945.0,2158.0,9331.0,9331.0,0.0,-7173.0,1787.0,1307.0,,,,433.0,47.0,-73.0,3872.0,-271.0,0.0,271.0,3601.0,-99.0,99.0,3502,-1037.0,,2465,0.0,,,2465.0,-51.0,2414,-58.0,0.0,2356,2356,,696.239014,3.38,3.38,3.38,696.239014,3.38,3.38,3.38,
12/31/2001,734.0,2021.0,8811.0,8811.0,0.0,-6790.0,-1287.0,-1724.0,,,,353.0,84.0,43.0,777.0,-334.0,0.0,334.0,443.0,-201.0,201.0,242,-58.0,,184,0.0,,,184.0,-50.0,134,-59.0,0.0,75,75,,696.530029,0.11,0.11,0.11,696.530029,0.11,0.11,0.11,
03/31/2002,1870.0,2414.0,9465.0,9465.0,0.0,-7051.0,-544.0,-1032.0,,,,430.0,58.0,-14.0,1856.0,-292.0,0.0,292.0,1564.0,-106.0,106.0,1458,-463.0,,995,0.0,,,995.0,-48.0,947,-60.0,0.0,887,887,,698.424988,1.27,1.27,1.27,695.924011,1.26,1.26,1.26,
06/30/2002,3483.0,2123.0,9511.0,9511.0,0.0,-7388.0,1360.0,869.0,,,,441.0,50.0,-33.0,3450.0,-321.0,0.0,321.0,3129.0,-148.0,148.0,2981,-963.0,,2018,0.0,,,2018.0,-47.0,1971,-59.0,0.0,1912,1912,,692.754028,2.76,2.76,2.76,696.723999,2.74,2.74,2.74,
09/30/2002,8856.0,2079.0,9553.0,9553.0,0.0,-7474.0,6777.0,6231.0,,,,441.0,105.0,-4.0,8852.0,-284.0,0.0,284.0,8568.0,-82.0,82.0,8486,-2779.0,,5707,0.0,,,5707.0,-45.0,5662,-57.0,0.0,5605,5605,,693.687988,8.08,8.08,8.08,695.390991,8.06,8.06,8.06,
12/31/2002,3133.0,2909.0,9947.0,9947.0,0.0,-7038.0,224.0,-364.0,,,,480.0,108.0,-77.0,3056.0,-656.0,0.0,656.0,2400.0,-338.0,338.0,2062,-508.0,,1554,0.0,,,1554.0,-44.0,1510,-58.0,0.0,1452,1452,,688.151978,2.11,2.11,2.11,691.453979,2.1,2.1,2.1,
03/31/2003,4085.0,2421.0,9380.0,9380.0,0.0,-6959.0,1664.0,693.0,,,,691.0,280.0,26.0,4111.0,-390.0,0.0,390.0,3721.0,-421.0,421.0,3300,-991.0,,2309,0.0,,,2309.0,-42.0,2267,-58.0,0.0,2209,2209,,688.276978,3.21,3.21,3.21,688.276978,3.21,3.21,3.21,
06/30/2003,5278.0,2185.0,8948.0,8948.0,0.0,-6763.0,3093.0,2437.0,,,,563.0,93.0,14.0,5292.0,-584.0,0.0,584.0,4708.0,-1266.0,1266.0,3442,-1096.0,,2346,0.0,,,2346.0,-40.0,2306,-54.0,0.0,2252,2252,,686.585022,3.28,3.28,3.28,688.926025,3.27,3.27,3.27,
09/30/2003,176.0,2442.0,9414.0,9414.0,0.0,-6972.0,-2266.0,-2650.0,,,,315.0,69.0,-34.0,142.0,-485.0,0.0,485.0,-343.0,-33.0,33.0,-376,126.0,,-250,0.0,,,-250.0,-38.0,-288,-52.0,0.0,-340,-340,,688.835999,-0.49,-0.49,-0.49,688.835999,-0.49,-0.49,-0.49,
12/31/2003,1475.0,2450.0,9356.0,9356.0,0.0,-6906.0,-975.0,-1447.0,,,,421.0,51.0,-16.0,1459.0,-595.0,0.0,595.0,864.0,-55.0,55.0,809,-241.0,,568,0.0,,,568.0,-37.0,531,-52.0,0.0,479,479,,689.104004,0.7,0.7,0.7,689.104004,0.69,0.69,0.69,
03/31/2004,2457.0,2256.0,8759.0,8759.0,0.0,-6503.0,201.0,-482.0,,,,423.0,260.0,-2.0,2455.0,-466.0,0.0,466.0,1989.0,-357.0,357.0,1632,-386.0,,1246,0.0,,,1246.0,-35.0,1211,-52.0,0.0,1159,1159,,690.867981,1.68,1.68,1.68,690.867981,1.68,1.68,1.68,
06/30/2004,4082.0,2513.0,9041.0,9041.0,0.0,-6528.0,1569.0,1000.0,,,,296.0,273.0,-27.0,4055.0,-487.0,0.0,487.0,3568.0,75.0,-75.0,3643,-871.0,,2772,0.0,,,2772.0,-34.0,2738,-52.0,0.0,2686,2686,,690.757019,3.89,3.89,3.89,690.757019,3.89,3.89,3.89,
09/30/2004,-1481.0,2196.0,8892.0,8892.0,0.0,-6696.0,-3677.0,-4289.0,,,,416.0,196.0,-56.0,-1537.0,-516.0,0.0,516.0,-2053.0,111.0,-111.0,-1942,476.0,,-1466,0.0,,,-1466.0,-31.0,-1497,-53.0,0.0,-1550,-1550,,689.51001,-2.25,-2.25,-2.25,689.51001,-2.25,-2.25,-2.25,
12/31/2004,1367.0,2172.0,8911.0,8911.0,0.0,-6739.0,-805.0,-1444.0,,,,406.0,233.0,-58.0,1309.0,-630.0,0.0,630.0,679.0,-156.0,156.0,523,-117.0,,406,0.0,,,406.0,-29.0,377,-53.0,0.0,324,324,,693.026978,0.47,0.47,0.47,693.026978,0.47,0.47,0.47,
03/31/2005,1135.0,1637.0,8546.0,8546.0,0.0,-6909.0,-502.0,-979.0,,,,354.0,123.0,-37.0,1098.0,-903.0,0.0,903.0,195.0,74.0,-74.0,269,16.0,,285,59.0,,,226.0,,226,-53.0,0.0,173,173,,690.60199,0.25,0.34,0.34,693.007996,0.25,0.34,0.34,
06/30/2005,969.0,1503.0,8773.0,8773.0,0.0,-7270.0,-534.0,-1224.0,,,,421.0,269.0,-16.0,953.0,-567.0,0.0,567.0,386.0,22.0,-22.0,408,-68.0,,340,0.0,,,340.0,,340,-56.0,0.0,284,284,,691.320984,0.41,0.41,0.41,692.968018,0.41,0.41,0.41,
09/30/2005,1761.0,1663.0,9181.0,9181.0,0.0,-7518.0,98.0,-614.0,,,,401.0,311.0,-146.0,1615.0,-583.0,0.0,583.0,1032.0,25.0,-25.0,1057,-177.0,,880,0.0,,,880.0,,880,-57.0,0.0,823,823,,693.642029,1.19,1.19,1.38,693.642029,1.19,1.19,1.38,
12/31/2005,1498.0,1625.0,9827.0,9827.0,0.0,-8202.0,-127.0,-767.0,,,,399.0,241.0,-52.0,1446.0,-709.0,0.0,709.0,737.0,85.0,-85.0,822,-138.0,,684,0.0,,,684.0,,684,-57.0,0.0,627,627,,693.924011,0.9,0.9,1.51,693.924011,0.9,0.9,1.51,
03/31/2006,2414.0,1520.0,10059.0,10059.0,0.0,-8539.0,894.0,207.0,,,,461.0,226.0,36.0,2450.0,-602.0,0.0,602.0,1848.0,64.0,-64.0,1912,115.0,,2027,0.0,,,2027.0,-18.0,2009,-58.0,0.0,1951,1951,,692.814026,2.81,2.81,2.81,694.596008,2.8,2.8,2.8,
06/30/2006,2140.0,1582.0,11037.0,11037.0,0.0,-9455.0,558.0,-103.0,,,,420.0,241.0,-56.0,2084.0,-875.0,0.0,875.0,1209.0,244.0,-244.0,1453,-40.0,,1413,0.0,,,1413.0,-16.0,1397,-59.0,-3.0,1335,1335,,691.77301,1.93,1.93,1.93,693.026001,1.93,1.93,1.93,
09/30/2006,111.0,1365.0,11057.0,11057.0,0.0,-9692.0,-1254.0,-1953.0,,,,457.0,242.0,-93.0,18.0,-896.0,0.0,896.0,-878.0,155.0,-155.0,-723,21.0,,-702,0.0,,,-702.0,-13.0,-715,-72.0,0.0,-787,-787,,675.55603,-1.17,-1.17,-1.17,675.55603,-1.17,-1.17,-1.17,
12/31/2006,367.0,-1055.0,10111.0,5849.0,4262.0,-11166.0,1422.0,-679.0,,,,1055.0,1046.0,-183.0,184.0,-489.0,0.0,489.0,-305.0,3.0,-3.0,-302,-51.0,,-353,0.0,,,-353.0,-11.0,-364,-81.0,-3.0,-448,-448,,685.249766,-0.53,-0.53,-0.53,686.46051,-0.53,-0.53,-0.53,
03/31/2007,687.0,771.0,10589.0,9617.0,972.0,-9818.0,-84.0,-1226.0,,,,628.0,514.0,-248.0,439.0,-967.0,0.0,967.0,-528.0,7.0,-7.0,-521,397.0,,-124,0.0,,,-124.0,-9.0,-133,-95.0,-2.0,-230,-230,,661.376,-0.35,-0.35,-0.35,661.376,-0.35,-0.35,-0.35,
06/30/2007,2253.0,793.0,10825.0,9859.0,966.0,-10032.0,1460.0,265.0,,,,591.0,604.0,-447.0,1806.0,-1063.0,0.0,1063.0,743.0,89.0,-89.0,832,-94.0,,738,0.0,,,738.0,-9.0,729,-95.0,-2.0,632,632,,652.877,0.97,0.97,0.97,655.784,0.96,0.96,0.96,
09/30/2007,787.0,761.0,11005.0,10046.0,959.0,-10244.0,26.0,-1337.0,,,,718.0,645.0,-1372.0,-585.0,-1694.0,0.0,1694.0,-2279.0,91.0,-91.0,-2188,954.0,,-1234,0.0,,,-1234.0,-4.0,-1238,-102.0,-2.0,-1342,-1342,,647.377,-2.07,-2.07,-2.164349,647.377,-2.07,-2.07,-2.164349,
12/31/2007,-779.0,774.0,10491.0,9820.0,671.0,-9717.0,-1553.0,-3144.0,,,,698.0,893.0,-787.0,-1566.0,-2700.0,0.0,2700.0,-4266.0,158.0,-158.0,-4108,1626.0,,-2482,0.0,,,-2482.0,30.0,-2452,-106.0,-1.0,-2559,-2559,,590.68,-3.97,-3.97,-3.97,590.68,-3.97,-3.97,-3.97,
03/31/2008,1224.0,798.0,9896.0,9896.0,,-9098.0,426.0,-1805.0,,,,789.0,1442.0,-1240.0,-16.0,-860.0,0.0,860.0,-876.0,305.0,-305.0,-571,422.0,,-149,0.0,,,-149.0,-2.0,-151,-272.0,-1.0,-424,-424,-198.25,646.338,-0.66,-0.66,-0.97,646.338,-0.66,-0.66,-0.97,
06/30/2008,1722.0,1529.0,10220.0,9700.0,520.0,-8691.0,193.0,-1529.0,,,,757.0,965.0,-2537.0,-815.0,-1003.0,0.0,1003.0,-1818.0,-29.0,29.0,-1847,1031.0,,-816,0.0,,,-816.0,-5.0,-821,-231.0,-1.0,-1053,-1053,,646.868,-1.63,-1.63,-1.63,646.868,-1.63,-1.63,-1.63,
09/30/2008,-9474.0,1844.0,10469.0,9951.0,518.0,-8625.0,-11318.0,-13049.0,,,,832.0,899.0,-5702.0,-15176.0,-1102.0,0.0,1102.0,-16278.0,-1046.0,1046.0,-17324,-7971.0,,-25295,0.0,,,-25295.0,0.0,-25295,-6.0,0.0,-25301,-25301,,1301.43,-19.44,-19.44,-19.44,1301.43,-19.44,-19.44,-19.44,
12/31/2008,-15607.0,2625.0,10892.0,11832.0,-940.0,-8267.0,-18232.0,-21364.0,,,,992.0,2140.0,-6953.0,-22560.0,-2156.0,0.0,2156.0,-24716.0,-103.0,103.0,-24819,967.0,,-23852,0.0,,,-23852.0,0.0,-23852,-166.0,-1.0,-24019,-24019,,3259.023,-7.37,-7.37,-7.37,3259.023,-7.37,-7.37,-7.37,
