Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/26/2015,1397.4,1341.6,55.8,-565.5,565.5,831.9,0.0,-422.6,377.6,45.0,0.0,409.3,-0.7,0.6,0.2,0.0,-0.1,408.6,-114.4,294.2,0.0,0.0,0.0,294.2,0.4,294.6,0.0,0.0,294.6,295.24,0.64,182.176452,1.62,1.62,1.620627,184.851616,1.59,1.59,1.593462,
04/02/2016,1198.7,1163.1,35.6,-501.5,501.5,697.2,0.0,-453.1,391.7,50.5,10.9,244.1,1.4,0.6,2.5,0.1,-4.6,245.5,-69.2,176.3,0.0,0.0,0.0,176.3,0.7,177.0,0.0,0.0,177.0,183.955,6.955,177.814521,1.0,1.0,1.034533,180.439102,0.98,0.98,1.018545,
07/02/2016,987.9,957.3,30.6,-396.6,396.6,591.3,0.0,-404.4,354.0,50.4,0.0,186.9,-1.3,0.3,1.3,,-0.3,185.6,-39.3,146.3,0.0,0.0,0.0,146.3,0.8,147.1,0.0,0.0,147.1,156.16,9.06,174.158571,0.84,0.84,0.896654,176.613751,0.83,0.83,0.881298,
10/01/2016,1088.2,1049.4,38.8,-443.5,443.5,644.7,0.0,-441.0,379.7,56.4,4.9,203.7,-1.1,1.4,0.0,,-0.3,202.6,-41.9,160.7,0.0,0.0,0.0,160.7,0.2,160.9,0.0,0.0,160.9,165.3,4.4,166.695631,0.97,0.97,0.991628,168.839967,0.95,0.95,0.97606,
12/31/2016,1352.8,1309.8,43.0,-547.1,547.1,805.7,0.0,-463.8,407.6,55.7,0.5,341.9,-0.2,3.4,0.9,,-4.1,341.7,-70.4,271.3,0.0,0.0,0.0,271.3,0.0,271.3,0.0,0.0,271.3,271.6,0.3,163.148597,1.66,1.66,1.66474,165.214045,1.64,1.64,1.641816,
04/01/2017,1064.8,1031.4,33.4,-445.1,445.1,619.7,0.0,-662.3,411.2,57.3,193.8,-42.6,1.3,-1.0,0.4,,-0.7,-41.3,14.5,-26.8,0.0,0.0,0.0,-26.8,0.0,-26.8,0.0,0.0,-26.8,118.72,145.52,159.944132,-0.17,-0.17,0.742259,161.827486,-0.17,-0.17,0.729229,
07/01/2017,952.4,923.5,28.9,-377.7,377.7,574.7,0.0,-425.3,377.7,47.6,0.0,149.4,0.7,1.1,-1.2,,-0.6,150.1,-24.6,125.5,0.0,0.0,0.0,125.5,0.0,125.5,0.0,0.0,125.5,125.82,0.32,154.486898,0.81,0.81,0.814438,156.871518,0.8,0.8,0.80204,
09/30/2017,1146.6,1108.6,38.0,-455.8,455.8,690.8,0.0,-491.7,405.1,48.3,38.3,199.1,40.0,0.8,-40.5,,-0.3,239.1,-36.4,202.7,0.0,0.0,0.0,202.7,0.2,202.9,0.0,0.0,202.9,204.5,1.6,151.78134,1.34,1.34,1.347333,154.168094,1.32,1.32,1.330378,
12/30/2017,1440.1,1391.8,48.3,-556.1,556.1,884.0,0.0,-570.5,485.9,54.0,30.6,313.5,-35.2,8.3,27.0,,-0.1,278.3,-58.9,219.4,0.0,0.0,0.0,219.4,0.0,219.4,0.0,0.0,219.4,273.4,54.0,152.047963,1.44,1.44,1.798117,154.623339,1.42,1.42,1.769236,
03/31/2018,1179.9,1179.9,,-470.4,470.4,709.5,0.0,-622.5,499.6,58.1,64.8,87.0,-12.5,11.8,1.7,,-1.0,74.5,-30.1,44.4,0.0,0.0,0.0,44.4,-0.2,44.2,0.0,0.0,44.2,96.5,52.3,150.818143,0.293068,0.293068,0.639843,154.748588,0.285625,0.285625,0.623592,
06/30/2018,1203.0,1203.0,,-452.0,452.0,751.0,0.0,-536.0,465.0,56.0,15.0,215.0,-10.0,8.0,3.0,,-1.0,205.0,-19.0,186.0,0.0,0.0,0.0,186.0,,186.0,0.0,0.0,186.0,201.0,15.0,149.502101,1.25,1.25,1.344463,152.399655,1.22,1.22,1.318425,
09/29/2018,1253.0,1253.0,,-490.0,490.0,763.0,0.0,-573.0,494.0,53.0,26.0,190.0,-38.0,6.0,33.0,,-1.0,152.0,-15.0,137.0,0.0,0.0,0.0,137.0,1.0,138.0,0.0,0.0,138.0,192.0,54.0,149.575112,0.92,0.92,1.283636,151.705685,0.91,0.91,1.265952,
12/29/2018,1438.0,1438.0,,-565.0,565.0,873.0,0.0,-583.0,507.0,51.0,25.0,290.0,-48.0,7.0,43.0,,-2.0,242.0,-42.0,200.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0,0.0,200.0,265.0,65.0,149.183049,1.34,1.34,1.776341,150.268424,1.33,1.33,1.762559,
03/30/2019,1344.0,1344.0,,-551.0,551.0,793.0,0.0,-753.0,609.0,65.0,79.0,40.0,-18.0,17.0,1.0,,0.0,22.0,-3.0,19.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,19.0,95.0,76.0,150.801608,0.13,0.13,0.629967,152.083632,0.13,0.13,0.629725,
06/29/2019,1346.0,1346.0,,-512.0,512.0,834.0,0.0,-770.0,598.0,60.0,112.0,64.0,-13.0,13.0,2.0,,-2.0,51.0,-6.0,45.0,0.0,0.0,0.0,45.0,,45.0,0.0,0.0,45.0,145.0,100.0,151.049572,0.3,0.3,0.95995,152.334153,0.3,0.3,0.956452,
09/28/2019,1442.0,1442.0,,-568.0,568.0,874.0,0.0,-799.0,623.0,65.0,111.0,75.0,-6.0,3.0,4.0,,-1.0,69.0,4.0,73.0,0.0,0.0,0.0,73.0,0.0,73.0,0.0,0.0,73.0,176.0,103.0,151.602502,0.48,0.48,1.160931,152.576283,0.47,0.47,1.145072,
12/28/2019,1571.0,1571.0,,-639.0,639.0,932.0,0.0,-727.0,630.0,63.0,34.0,205.0,0.0,3.0,-2.0,,-1.0,205.0,4.0,209.0,0.0,0.0,0.0,209.0,1.0,210.0,0.0,0.0,210.0,253.0,43.0,150.826196,1.39,1.39,1.677427,152.154372,1.38,1.38,1.662608,
03/28/2020,1192.0,1192.0,,-561.0,561.0,631.0,0.0,-1167.0,613.0,61.0,493.0,-536.0,-4.0,-1.0,7.0,,-2.0,-540.0,-12.0,-552.0,0.0,0.0,0.0,-552.0,1.0,-551.0,0.0,0.0,-551.0,-87.0,464.0,149.380121,-3.69,-3.69,-0.582407,149.380121,-3.69,-3.69,-0.58383,
06/27/2020,451.0,451.0,,-149.0,149.0,302.0,0.0,-464.0,402.0,54.0,8.0,-162.0,-13.0,17.0,-3.0,,-1.0,-175.0,-5.0,-180.0,0.0,0.0,0.0,-180.0,,-180.0,0.0,0.0,-180.0,-164.0,16.0,149.55631,-1.21,-1.21,-1.096577,149.55631,-1.21,-1.21,-1.103017,
09/30/2020,885.0,,,,,554.2224,,,,,,7.454,,,,,,-11.44,,-15.207,,,,,,-15.207,,,-15.207,-9.338,,,-0.092,-0.092,-0.046,,-0.092,-0.092,-0.046,
12/31/2020,1252.8,,,,,760.061232,,,,,,174.722,,,,,,163.313,,143.222,,,,,,143.222,,,143.222,148.722,,,0.944,0.944,0.979,,0.944,0.944,0.979,
