Date,Revenue,Sales & Services Revenue,Other Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2010,2029.0,873.0,1156.0,,0.0,-892.0,364.0,277.0,87.0,,63.0,465.0,1137.0,-15.0,,13.0,,-1.0,,,3.0,1122.0,-406.0,716.0,0.0,0.0,0.0,716.0,0.0,716.0,0.0,0.0,716.0,716.0,0.0,1976.0,0.362348,0.362348,0.362348,2952.0,0.242547,0.242547,0.242547,
09/30/2010,2117.0,912.0,1205.0,,0.0,-1004.0,350.0,233.0,117.0,,78.0,576.0,1113.0,82.0,,15.0,,-20.0,,,-77.0,1195.0,-422.0,773.0,0.0,0.0,0.0,773.0,1.0,774.0,,0.0,774.0,771.4,-2.6,2903.9,0.266538,0.266538,0.265643,3859.9,0.200523,0.200523,0.19985,
12/31/2010,2238.0,1008.0,1230.0,,0.0,-872.0,307.0,197.0,110.0,,67.0,498.0,1366.0,16.0,,,-4.0,-10.0,,,-2.0,1382.0,-498.0,884.0,0.0,0.0,0.0,884.0,0.0,884.0,0.0,0.0,884.0,884.0,0.0,1976.0,0.447369,0.447369,0.447369,2876.0,0.307371,0.307371,0.307371,
03/31/2011,2245.0,1093.0,1152.0,,0.0,-862.0,278.0,183.0,95.0,,70.0,514.0,1383.0,-6.0,,12.0,,-9.0,,,3.0,1377.0,-497.0,880.0,0.0,0.0,0.0,880.0,1.0,881.0,0.0,0.0,881.0,884.9,3.9,2020.0,0.436138,0.436138,0.438069,2856.0,0.308474,0.308474,0.309839,
06/30/2011,2322.0,1055.0,1267.0,,0.0,-977.0,365.0,251.0,114.0,,74.0,538.0,1345.0,198.0,,11.0,,-88.0,,,-121.0,1543.0,-539.0,1004.0,0.0,0.0,0.0,1004.0,1.0,1005.0,0.0,0.0,1005.0,961.0,-44.0,2084.0,0.482246,0.482246,0.461133,2816.0,0.356889,0.356889,0.341264,
09/30/2011,2383.0,1105.0,1278.0,,0.0,-1021.0,334.0,239.0,95.0,,77.0,610.0,1362.0,-8.0,,13.0,,-1.0,,,-4.0,1354.0,-476.0,878.0,0.0,0.0,0.0,878.0,2.0,880.0,,0.0,880.0,880.65,0.65,2746.34,0.320427,0.320427,0.320663,3442.34,0.25564,0.25564,0.255829,
12/31/2011,2547.0,1151.0,1396.0,,0.0,-929.0,292.0,190.0,102.0,,80.0,557.0,1618.0,-1.0,,10.0,,-10.0,,,1.0,1617.0,-590.0,1027.0,0.0,0.0,0.0,1027.0,2.0,1029.0,,0.0,1029.0,1029.0,0.0,2080.0,0.494712,0.494712,0.494712,3360.892,0.306169,0.306169,0.306169,
03/31/2012,2578.0,1241.0,1337.0,,0.0,-972.0,276.0,170.0,106.0,,80.0,616.0,1606.0,3.0,,7.0,,-9.0,,,-1.0,1609.0,-317.0,1292.0,0.0,0.0,0.0,1292.0,0.0,1292.0,0.0,0.0,1292.0,1292.0,0.0,2096.0,0.616412,0.616412,0.616412,2704.0,0.477811,0.477811,0.477811,
06/30/2012,2565.0,1216.0,1349.0,,0.0,-5172.0,354.0,242.0,112.0,,84.0,4734.0,-2607.0,0.0,,11.0,,-12.0,,,1.0,-2607.0,768.0,-1839.0,0.0,0.0,0.0,-1839.0,0.0,-1839.0,0.0,0.0,-1839.0,1055.0,2894.0,2100.0,-0.875714,-0.875714,0.502381,2688.0,-0.875714,-0.875714,0.200923,
09/30/2012,2731.0,1264.0,1467.0,,0.0,-1209.0,402.0,271.0,131.0,,89.0,718.0,1522.0,66.0,-57.0,,,-5.0,,,-4.0,1588.0,74.0,1662.0,0.0,0.0,0.0,1662.0,,1662.0,0.0,0.0,1662.0,1036.3,-625.7,2664.188,0.62383,0.62383,0.388974,3240.188,0.512933,0.512933,0.319827,
12/31/2012,2846.0,1300.0,1546.0,,0.0,-1046.0,299.0,193.0,106.0,,92.0,655.0,1800.0,1.0,,,,,,,-1.0,1801.0,-508.0,1293.0,0.0,0.0,0.0,1293.0,0.0,1293.0,0.0,0.0,1293.0,1294.95,1.95,2656.188,0.486788,0.486788,0.487522,2676.0,0.483184,0.483184,0.483913,
03/31/2013,2958.0,1369.0,1589.0,,0.0,-1098.0,303.0,195.0,108.0,,98.0,697.0,1860.0,-3.0,,,,,,,3.0,1857.0,-587.0,1270.0,0.0,0.0,0.0,1270.0,0.0,1270.0,0.0,0.0,1270.0,1270.65,0.65,2620.188,0.484698,0.484698,0.484946,2640.0,0.481061,0.481061,0.481307,
06/30/2013,3001.0,1298.0,1703.0,,0.0,-1173.0,360.0,252.0,108.0,,101.0,712.0,1828.0,5.0,,,,,,,-5.0,1833.0,-608.0,1225.0,0.0,0.0,0.0,1225.0,0.0,1225.0,0.0,0.0,1225.0,1224.35,-0.65,2584.188,0.474037,0.474037,0.473785,2604.0,0.47043,0.47043,0.470181,
09/30/2013,2973.0,1385.0,1588.0,,0.0,-1222.0,365.0,236.0,129.0,,106.0,751.0,1751.0,15.0,,,,,,,-15.0,1766.0,-574.0,1192.0,0.0,0.0,0.0,1192.0,0.0,1192.0,0.0,0.0,1192.0,1192.0,0.0,2556.188,0.466319,0.466319,0.466319,2576.0,0.462733,0.462733,0.462733,
12/31/2013,3155.0,1419.0,1736.0,,0.0,-1078.0,294.0,186.0,108.0,,107.0,677.0,2077.0,6.0,,0.0,,,,,-6.0,2083.0,-676.0,1407.0,0.0,0.0,0.0,1407.0,0.0,1407.0,0.0,0.0,1407.0,1407.0,0.0,2540.188,0.553896,0.553896,0.553896,2556.0,0.550469,0.550469,0.550469,
03/31/2014,3163.0,1462.0,1701.0,,0.0,-1115.0,365.0,245.0,120.0,,107.0,643.0,2048.0,13.0,,,,,,,-13.0,2061.0,-463.0,1598.0,0.0,0.0,0.0,1598.0,0.0,1598.0,0.0,0.0,1598.0,1598.0,0.0,2520.188,0.63408,0.63408,0.63408,2536.0,0.630126,0.630126,0.630126,
06/30/2014,3155.0,1417.0,1738.0,,0.0,-1135.0,354.0,228.0,126.0,,109.0,672.0,2020.0,10.0,,,,,,,-10.0,2030.0,-670.0,1360.0,0.0,0.0,0.0,1360.0,0.0,1360.0,0.0,0.0,1360.0,1360.0,0.0,2500.188,0.543959,0.543959,0.543959,10044.0,0.135404,0.135404,0.135404,
09/30/2014,3229.0,1499.0,1730.0,,0.0,-1677.0,394.0,241.0,153.0,,112.0,1171.0,1552.0,-2.0,,,,,,,2.0,1550.0,-477.0,1073.0,0.0,0.0,0.0,1073.0,0.0,1073.0,0.0,0.0,1073.0,1356.0,283.0,2476.188,0.433327,0.433327,0.547616,2492.0,0.430578,0.430578,0.544141,
12/31/2014,3382.0,1538.0,1844.0,,0.0,-1144.0,331.0,205.0,126.0,,120.0,693.0,2238.0,24.0,,,,,,,-24.0,2262.0,-693.0,1569.0,0.0,0.0,0.0,1569.0,0.0,1569.0,0.0,0.0,1569.0,1569.0,0.0,2467.858,0.635774,0.635774,0.635774,2476.0,0.633683,0.633683,0.633683,
03/31/2015,3409.0,1577.0,1832.0,,0.0,-1128.0,331.0,190.0,141.0,,125.0,672.0,2281.0,1.0,,,,,,,-1.0,2282.0,-732.0,1550.0,0.0,0.0,0.0,1550.0,0.0,1550.0,0.0,0.0,1550.0,1551.95,1.95,1963.0,0.789608,0.789608,0.790601,2460.0,0.630081,0.630081,0.630874,
06/30/2015,3518.0,1550.0,1968.0,,0.0,-1256.0,361.0,224.0,137.0,,130.0,765.0,2262.0,-94.0,,,-8.0,,,,102.0,2168.0,-471.0,1697.0,0.0,0.0,0.0,1697.0,0.0,1697.0,0.0,0.0,1697.0,1568.0,-129.0,1955.0,0.868031,0.868031,0.802046,2448.0,0.693219,0.693219,0.640523,
09/30/2015,3571.0,1637.0,1934.0,,0.0,-1288.0,396.0,253.0,143.0,,119.0,773.0,2283.0,0.0,,,,,,,0.0,2283.0,-771.0,1512.0,0.0,0.0,0.0,1512.0,0.0,1512.0,0.0,0.0,1512.0,1519.15,7.15,1948.0,0.776181,0.776181,0.779851,2440.0,0.619672,0.619672,0.622602,
12/31/2015,3565.0,1645.0,1920.0,,0.0,-1169.0,350.0,194.0,156.0,,120.0,699.0,2396.0,243.0,,29.0,,,,,-272.0,2639.0,-698.0,1941.0,0.0,0.0,0.0,1941.0,0.0,1941.0,0.0,0.0,1941.0,1686.0,-255.0,1937.0,1.002065,1.002065,0.870418,2430.0,0.798765,0.798765,0.693827,
03/31/2016,3626.0,1699.0,1927.0,,0.0,-1192.0,350.0,186.0,164.0,,121.0,721.0,2434.0,7.0,,132.0,,,,,-139.0,2441.0,-734.0,1707.0,0.0,0.0,0.0,1707.0,0.0,1707.0,0.0,0.0,1707.0,1626.65,-80.35,1909.0,0.894185,0.894185,0.852095,2401.0,0.710954,0.710954,0.677489,
06/30/2016,3630.0,1635.0,1995.0,,0.0,-3202.0,435.0,189.0,246.0,,120.0,2647.0,428.0,-6.0,,131.0,,,,,-125.0,422.0,-10.0,412.0,0.0,0.0,0.0,412.0,0.0,412.0,0.0,0.0,412.0,1726.0,1314.0,1899.0,0.216956,0.216956,0.908899,2386.0,0.172674,0.172674,0.723386,
09/30/2016,4261.0,1768.0,2493.0,,0.0,-1636.0,530.0,300.0,230.0,,141.0,965.0,2625.0,-115.0,,135.0,,,,,-20.0,2510.0,-579.0,1931.0,0.0,0.0,0.0,1931.0,0.0,1931.0,0.0,0.0,1931.0,1915.65,-15.35,1878.0,1.028222,1.028222,1.020048,2440.0,0.791393,0.791393,0.785102,
12/31/2016,4461.0,1918.0,2543.0,,0.0,-1361.0,404.0,218.0,186.0,,146.0,811.0,3100.0,-121.0,,140.0,,,,,-19.0,2979.0,-909.0,2070.0,0.0,0.0,0.0,2070.0,0.0,2070.0,,0.0,2070.0,2079.75,9.75,2122.0,0.975495,0.975495,0.98009,2421.0,0.855019,0.855019,0.859046,
03/31/2017,4477.0,1993.0,2484.0,,0.0,-1669.0,599.0,193.0,406.0,,131.0,939.0,2808.0,-106.0,,135.0,,,,,-29.0,2702.0,-2272.0,430.0,0.0,0.0,0.0,430.0,0.0,430.0,0.0,0.0,430.0,1946.3,1516.3,1854.0,0.231931,0.231931,1.049784,2406.0,0.212801,0.212801,0.843017,
06/30/2017,4565.0,1948.0,2617.0,,0.0,-1541.0,451.0,221.0,230.0,,132.0,958.0,3024.0,-110.0,,140.0,,,,,-30.0,2914.0,-855.0,2059.0,0.0,0.0,0.0,2059.0,0.0,2059.0,,0.0,2059.0,2059.0,0.0,1840.0,1.119022,1.119022,1.119022,2385.0,0.863312,0.863312,0.863312,
09/30/2017,4855.0,2116.0,2739.0,,0.0,-1643.0,528.0,290.0,238.0,,147.0,968.0,3212.0,-113.0,,148.0,,,,,-35.0,3099.0,-959.0,2140.0,0.0,0.0,0.0,2140.0,0.0,2140.0,0.0,0.0,2140.0,2141.3,1.3,1825.0,1.172603,1.172603,1.173315,2368.0,0.903716,0.903716,0.904265,
12/31/2017,4862.0,2146.0,2716.0,,0.0,-1535.0,459.0,223.0,236.0,,145.0,931.0,3327.0,-88.0,,154.0,,,,,-66.0,3239.0,-717.0,2522.0,0.0,0.0,0.0,2522.0,0.0,2522.0,,0.0,2522.0,2536.0,14.0,1811.0,1.392601,1.392601,1.400331,2353.0,1.071823,1.071823,1.077773,
03/31/2018,5073.0,2253.0,2820.0,,0.0,-1737.0,483.0,261.0,222.0,,153.0,1101.0,3336.0,-119.0,,153.0,,,,,-34.0,3217.0,-612.0,2605.0,0.0,0.0,0.0,2605.0,0.0,2605.0,0.0,0.0,2605.0,2605.0,0.0,1798.0,1.448832,1.448832,1.448832,2337.0,1.331194,1.331194,1.331194,
06/30/2018,5240.0,2196.0,3044.0,,0.0,-2355.0,470.0,240.0,230.0,,152.0,1733.0,2885.0,-73.0,,155.0,,,,,-82.0,2812.0,-483.0,2329.0,0.0,0.0,0.0,2329.0,0.0,2329.0,,0.0,2329.0,2792.0,463.0,1784.0,1.305493,1.305493,1.565022,2321.0,1.003447,1.003447,1.20293,
09/30/2018,5434.0,2323.0,3111.0,,0.0,-2028.0,721.0,264.0,457.0,0.0,163.0,1144.0,3406.0,132.0,,150.0,,,,,-282.0,3538.0,-693.0,2845.0,0.0,0.0,0.0,2845.0,0.0,2845.0,0.0,0.0,2845.0,2850.53,5.53,1774.0,1.60372,1.60372,1.606838,2306.0,1.233738,1.233738,1.236136,
12/31/2018,5506.0,2342.0,3164.0,,0.0,-1789.0,552.0,276.0,276.0,,159.0,1078.0,3717.0,-87.0,,145.0,,,,,-58.0,3630.0,-653.0,2977.0,0.0,0.0,0.0,2977.0,0.0,2977.0,0.0,0.0,2977.0,2985.53,8.53,1760.0,1.691477,1.691477,1.696324,2291.0,1.299433,1.299433,1.303156,
03/31/2019,5494.0,2417.0,3077.0,,0.0,-1853.0,505.0,241.0,264.0,,160.0,1188.0,3641.0,36.0,,140.0,,,,,-176.0,3677.0,-700.0,2977.0,0.0,0.0,0.0,2977.0,0.0,2977.0,0.0,0.0,2977.0,2994.38,17.38,1748.0,1.703089,1.703089,1.713032,2279.0,1.562527,1.562527,1.570154,
06/30/2019,5840.0,2405.0,3435.0,,0.0,-1932.0,597.0,282.0,315.0,,165.0,1170.0,3908.0,-42.0,,128.0,,,,,-86.0,3866.0,-765.0,3101.0,0.0,0.0,0.0,3101.0,0.0,3101.0,0.0,0.0,3101.0,3101.79,0.79,1735.0,1.78732,1.78732,1.787775,2265.0,1.638852,1.638852,1.639201,
09/30/2019,6137.0,2536.0,3601.0,,0.0,-2402.0,647.0,306.0,341.0,,172.0,1583.0,3735.0,-24.0,,120.0,,,,,-96.0,3711.0,-686.0,3025.0,0.0,0.0,0.0,3025.0,0.0,3025.0,0.0,0.0,3025.0,3312.0,287.0,1724.0,1.75464,1.75464,1.921114,2253.0,1.342654,1.342654,1.47004,
12/31/2019,6054.0,2555.0,3499.0,,0.0,-2038.0,587.0,274.0,313.0,,182.0,1269.0,4016.0,-42.0,,111.0,,,,,-69.0,3974.0,-702.0,3272.0,0.0,0.0,0.0,3272.0,0.0,3272.0,0.0,0.0,3272.0,3264.0,-8.0,1713.0,1.910099,1.910099,1.905429,2240.0,1.460714,1.460714,1.457143,
03/31/2020,5854.0,2623.0,3231.0,,0.0,-1930.0,504.0,235.0,269.0,,192.0,1234.0,3924.0,-95.0,,118.0,,,,,-23.0,3829.0,-745.0,3084.0,0.0,0.0,0.0,3084.0,0.0,3084.0,0.0,0.0,3084.0,3095.32,11.32,1959.0,1.574273,1.574273,1.580051,2484.0,1.48752,1.48752,1.492077,
06/30/2020,4837.0,2409.0,2428.0,,0.0,-1838.0,432.0,174.0,258.0,,197.0,1209.0,2999.0,-67.0,,142.0,,,,,-75.0,2932.0,-559.0,2373.0,0.0,0.0,0.0,2373.0,0.0,2373.0,,0.0,2373.0,2337.79,-35.21,1690.0,1.404142,1.404142,1.383308,2214.0,1.3243,1.3243,1.308397,
09/30/2020,5020.061,,,5020.061,,,,,,,,,3094.783,,,,,,,,,2991.789,,2417.333,,,,,,2417.333,,,2417.333,2422.586,,,1.101,1.101,1.101,,1.101,1.101,1.101,
12/31/2020,5766.069,,,5766.069,,,,,,,,,3745.0,,,,,,,,,3677.118,,3000.2,,,,,,3000.2,,,3000.2,2994.538,,,1.374,1.374,1.363,,1.374,1.374,1.363,
