Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2001,758.0,,-623.0,,135.0,,-135.0,,,,,0,-36.0,38.0,38.0,,0.0,,-2.0,-36.0,-63.0,,,-99,0.0,,,-99.0,0.0,-99,0.0,0.0,-99,-99.0,91.0,39.0,-2.53,-2.53,-0.19,39.2,-2.53,-2.53,-0.19,
03/31/2002,809.0,,-640.0,,169.0,,-141.0,,,,,28,-37.0,36.0,36.0,,0.0,,1.0,-9.0,8.0,,,-1,218.0,,,-219.0,-1.0,-220,0.0,0.0,-220,-220.0,,39.75,-5.54,-0.05,-0.074,40.856,-5.54,-0.05,-0.074,
06/30/2002,948.0,,-743.0,,205.0,,-145.0,,,,,60,-25.0,36.0,36.0,,0.0,,-11.0,35.0,-16.0,,,19,0.0,,,19.0,0.0,19,0.0,0.0,19,19.0,,39.745998,0.48,0.48,0.37,41.812,0.45,0.45,0.34,
09/30/2002,856.0,,-675.0,,181.0,,-138.0,,,,,43,-39.0,36.0,36.0,,0.0,,3.0,4.0,2.0,,,6,0.0,,,6.0,-1.0,5,0.0,0.0,5,5.0,,39.757999,0.13,0.13,0.11,41.984001,0.13,0.13,0.11,
12/31/2002,846.0,,-677.0,,169.0,,-138.0,,,,,31,-33.0,33.0,33.0,,0.0,,0.0,-2.0,13.0,,,11,0.0,,,11.0,-2.0,9,0.0,0.0,9,9.0,-5.0,39.9,0.22,0.22,0.1,41.7,0.21,0.21,0.09,
03/31/2003,921.0,,-743.0,,178.0,,-146.0,,,,,32,-32.0,31.0,31.0,,0.0,,1.0,0.0,2.0,,,2,0.0,,,2.0,-1.0,1,0.0,0.0,1,1.0,,40.085,0.02,0.02,0.01,40.907,0.02,0.02,0.01,
06/30/2003,998.0,,-779.0,,219.0,,-151.0,,,,,68,-39.0,38.0,38.0,,0.0,,1.0,29.0,-3.0,,,26,0.0,,,26.0,-2.0,24,0.0,0.0,24,24.0,,40.395,0.59,0.59,0.5,41.333,0.58,0.58,0.49,
09/30/2003,914.0,,-727.0,,187.0,,-149.0,,,,,38,-34.0,34.0,34.0,,0.0,,0.0,4.0,2.0,,,6,0.0,,,6.0,-2.0,4,0.0,0.0,4,4.0,,40.554001,0.11,0.11,0.06,42.187,0.1,0.1,0.05,
12/31/2003,933.0,,-745.0,,188.0,,-148.0,,,,,40,-46.0,,46.0,,0.0,,0.0,-6.0,5.0,,,-1,0.0,,,-1.0,-1.0,-2,0.0,0.0,-2,-2.0,,40.700001,-0.04,-0.04,0.06,42.400002,-0.04,-0.04,0.06,
03/31/2004,1034.0,,-830.0,,204.0,,-171.0,,,,,33,-35.0,35.0,35.0,,0.0,,0.0,-2.0,1.0,,,-1,0.0,,,-1.0,-1.0,-2,0.0,0.0,-2,-2.0,,40.861,-0.05,-0.05,0.15,43.540001,-0.05,-0.05,0.15,
06/30/2004,1114.0,,-874.0,,240.0,,-163.0,,,,,77,-35.0,34.0,34.0,,0.0,,1.0,42.0,-10.0,,,32,0.0,,,32.0,-2.0,30,0.0,0.0,30,30.0,,41.476002,0.73,0.73,0.74,44.181,0.69,0.69,0.7,
09/30/2004,998.0,,-798.0,,200.0,,-155.0,,,,,45,-36.0,35.0,35.0,,0.0,,1.0,9.0,-2.0,,,7,0.0,,,7.0,-1.0,6,0.0,0.0,6,6.0,,41.694,0.15,0.15,0.17,44.323002,0.14,0.14,0.16,
12/31/2004,1067.0,,-869.0,,198.0,,-181.0,,,,,17,-74.0,,75.0,,0.0,,-1.0,-57.0,36.0,,,-21,0.0,,,-21.0,0.0,-21,0.0,0.0,-21,-21.0,,42.2,-0.49,-0.49,0.17,44.7,-0.49,-0.49,0.17,
03/31/2005,1101.0,,-888.0,,213.0,,-168.0,,,,,45,-33.0,32.0,32.0,,0.0,,1.0,12.0,-4.0,,,8,0.0,,,8.0,-1.0,7,0.0,0.0,7,7.0,,42.674557,0.17,0.17,0.17,44.995876,0.16,0.16,0.16,
06/30/2005,1180.0,,-941.0,,239.0,,-155.0,,,,,84,-33.0,32.0,32.0,,0.0,,1.0,51.0,-18.0,,,33,0.0,,,33.0,0.0,33,0.0,0.0,33,33.0,,42.98753,0.75,0.75,0.8035,45.072762,0.71,0.71,0.761028,
09/30/2005,1096.0,,-889.0,,207.0,,-162.0,,,,,45,-28.0,33.0,33.0,,0.0,,-5.0,17.0,-7.0,,,10,0.0,,,10.0,0.0,10,0.0,0.0,10,10.0,,43.279087,0.25,0.25,0.28,45.583668,0.23,0.23,0.26,
12/31/2005,1064.0,,-865.0,,199.0,,-155.0,,,,,44,-39.0,33.0,33.0,,0.0,,6.0,5.0,4.0,,,9,0.0,,,9.0,-1.0,8,0.0,0.0,8,8.0,,43.5,0.18,0.18,0.5129,45.6,0.175,0.175,0.5039,
03/31/2006,1132.0,,-921.0,,211.0,,-167.0,,,,,44,-36.0,34.0,34.0,,0.0,,2.0,8.0,0.0,,,8,0.0,,,8.0,-1.0,7,0.0,0.0,7,7.0,,43.921691,0.15,0.15,0.17276,46.723181,0.14,0.14,0.1614,
06/30/2006,1221.0,,-971.0,,250.0,,-175.0,,,,,75,-37.0,35.0,35.0,,0.0,,2.0,38.0,-13.0,,,25,0.0,,,25.0,-1.0,24,0.0,0.0,24,24.0,,44.496639,0.55,0.55,0.75,47.175205,0.51,0.51,0.7,
09/30/2006,1121.0,,-925.0,,196.0,,-150.0,,,,,46,-33.0,30.0,30.0,,0.0,,3.0,13.0,-4.0,,,9,0.0,,,9.0,-2.0,7,0.0,0.0,7,7.0,,44.986076,0.16,0.16,0.26,47.207111,0.16,0.16,0.26,
12/31/2006,1208.0,,-1019.0,,189.0,,-153.0,,,,,36,-35.0,,37.0,,0.0,,-2.0,1.0,12.0,,,13,0.0,,,13.0,-2.0,11,0.0,0.0,11,11.0,,44.62522,0.25,0.25,0.019,46.755573,0.24,0.24,0.018,
03/31/2007,1400.0,,-1179.0,,221.0,,-170.0,,,,,51,-42.0,,40.0,,0.0,,2.0,9.0,-2.0,,,7,0.0,,,7.0,-2.0,5,0.0,0.0,5,5.0,,45.425823,0.11,0.11,0.21,47.320778,0.11,0.11,0.2,
06/30/2007,1663.0,,-1377.0,,286.0,,-183.0,,,,,103,-40.0,40.0,40.0,,0.0,,0.0,63.0,-20.0,,,43,0.0,,,43.0,-2.0,41,0.0,0.0,41,41.0,,45.828991,0.89,0.89,0.92,47.680882,0.85,0.85,0.88,
09/30/2007,1556.0,,-1313.0,,243.0,,-183.0,,,,,60,-35.0,32.0,32.0,,0.0,,3.0,25.0,0.0,,,25,0.0,,,25.0,-4.0,21,0.0,0.0,21,21.0,,45.973687,0.47,0.47,0.41,47.899357,0.45,0.45,0.39,
12/31/2007,1565.0,,-1341.0,,224.0,,-182.0,,,,,42,-51.0,52.0,52.0,,0.0,,-1.0,-9.0,-61.0,,,-70,0.0,,,-70.0,-2.0,-72,0.0,0.0,-72,-72.0,87.0,46.1,-1.57,-1.57,0.34,47.8,-1.57,-1.57,0.34,
03/31/2008,1560.0,,-1326.0,,234.0,0.0,-196.0,105.0,,,91.0,38,-24.0,,25.0,,,,-1.0,14.0,-5.0,,,9,0.0,,,9.0,-3.0,6,0.0,0.0,6,6.0,1.95,46.253272,0.14,0.14,0.17,47.737835,0.13,0.13,0.17,
06/30/2008,1651.0,,-1383.0,,268.0,0.0,-193.0,102.0,,,91.0,75,-33.0,,33.0,,,,0.0,42.0,-27.0,,,15,0.0,,,15.0,-2.0,13,0.0,0.0,13,13.0,,46.404077,0.26,0.26,0.26,47.729214,0.26,0.26,0.26,
09/30/2008,1497.0,,-1298.0,,199.0,,-172.0,,,,,27,-29.0,30.0,30.0,,0.0,,-1.0,-2.0,-131.0,,,-133,0.0,,,-133.0,-3.0,-136,0.0,0.0,-136,-136.0,,46.441954,-2.92,-2.92,0.01,46.441954,-2.92,-2.92,0.01,
12/31/2008,1208.0,,-1056.0,,152.0,,-180.0,,,,,-28,-142.0,,25.0,,0.0,,117.0,-170.0,-126.0,,,-296,0.0,,,-296.0,-2.0,-298,0.0,0.0,-298,-298.0,114.0,46.5,-6.4,-6.4,-0.51,46.5,-6.4,-6.4,-0.51,
03/31/2009,967.0,967.0,-827.0,827.0,140.0,0.0,-153.0,78.0,21.0,52.0,2.0,-13,-31.0,,31.0,,,,0.0,-44.0,-3.0,,,-47,0.0,0.0,0.0,-47.0,-2.0,-49,0.0,0.0,-49,-45.75,3.25,46.671289,-1.05,-1.05,-0.98026,46.671289,-1.05,-1.05,-0.980364,
06/30/2009,1106.0,1106.0,-913.0,913.0,193.0,0.0,-169.0,88.0,24.0,55.0,2.0,24,-42.0,,35.0,,,,7.0,-18.0,-11.0,,,-29,0.0,0.0,0.0,-29.0,-4.0,-33,0.0,0.0,-33,-26.5,6.5,46.660573,-0.72,-0.72,-0.567931,46.660573,-0.72,-0.72,-0.580696,
09/30/2009,1254.0,1254.0,-1043.0,1043.0,211.0,0.0,-174.0,90.0,27.0,55.0,2.0,37,-37.0,,35.0,,,,2.0,0.0,-4.0,,,-4,0.0,0.0,0.0,-4.0,-4.0,-8,0.0,0.0,-8,0.45,8.45,46.742403,-0.17,-0.17,0.009627,46.742403,-0.17,-0.17,0.009627,
12/31/2009,1322.0,1322.0,-1092.0,1092.0,230.0,0.0,-175.0,88.0,25.0,59.0,3.0,55,-34.0,,32.0,,,,2.0,21.0,5.0,,,26,0.0,0.0,0.0,26.0,-9.0,17,0.0,0.0,17,21.55,4.55,52.8,0.33,0.33,0.408144,54.6,0.32,0.32,0.403333,
03/31/2010,1316.0,1316.0,-1073.0,1073.0,243.0,0.0,-183.0,100.0,27.0,55.0,1.0,60,-33.0,,32.0,,,,1.0,27.0,-15.0,,,12,0.0,0.0,0.0,12.0,-5.0,7,0.0,0.0,7,10.9,3.9,58.948351,0.11,0.11,0.184908,60.811047,0.11,0.11,0.174133,
06/30/2010,1502.0,1502.0,-1222.0,1222.0,280.0,0.0,-185.0,98.0,33.0,53.0,1.0,95,-34.0,,32.0,,,,2.0,61.0,-15.0,,,46,0.0,0.0,0.0,46.0,-6.0,40,0.0,0.0,40,43.25,3.25,59.142946,0.68,0.68,0.731279,60.999029,0.66,0.66,0.71328,
09/30/2010,1542.0,1542.0,-1280.0,1280.0,262.0,0.0,-195.0,109.0,30.0,55.0,1.0,67,-36.0,,36.0,,,,0.0,31.0,-15.0,,,16,0.0,0.0,0.0,16.0,-6.0,10,0.0,0.0,10,14.55,4.55,59.235282,0.17,0.17,0.245631,61.079919,0.17,0.17,0.244493,
12/31/2010,1577.0,1577.0,-1325.0,1325.0,252.0,0.0,-190.0,110.0,27.0,53.0,0.0,62,-49.0,,49.0,,,,0.0,13.0,-24.0,,,-11,0.0,0.0,0.0,-11.0,-7.0,-18,0.0,0.0,-18,-15.4,2.6,59.5,-0.31,-0.31,-0.258824,59.5,-0.31,-0.31,-0.266303,
03/31/2011,1760.0,1760.0,-1466.0,1466.0,294.0,0.0,-196.0,109.0,35.0,51.0,1.0,98,-32.0,,28.0,,,,4.0,66.0,-14.0,,,52,0.0,0.0,0.0,52.0,-5.0,47,0.0,0.0,47,48.3,1.3,59.849278,0.78,0.78,0.807027,62.074523,0.75,0.75,0.770943,
06/30/2011,1888.0,1888.0,-1565.0,1565.0,323.0,0.0,-209.0,118.0,35.0,54.0,2.0,114,-27.0,,26.0,,,,1.0,87.0,-30.0,,,57,0.0,0.0,0.0,57.0,-7.0,50,0.0,0.0,50,52.6,2.6,59.980866,0.84,0.84,0.876946,61.813474,0.81,0.81,0.852062,
09/30/2011,1773.0,1773.0,-1492.0,1492.0,281.0,0.0,-196.0,101.0,32.0,51.0,12.0,85,-28.0,,27.0,,,,1.0,57.0,-21.0,,,36,0.0,0.0,0.0,36.0,-6.0,30,0.0,0.0,30,40.4,10.4,59.793866,0.51,0.51,0.675655,61.541476,0.49,0.49,0.658992,
12/31/2011,1784.0,1784.0,-1514.0,1514.0,270.0,0.0,-183.0,100.0,31.0,51.0,1.0,87,-26.0,,27.0,,,,-1.0,61.0,-23.0,,,38,0.0,0.0,0.0,38.0,-8.0,30,0.0,0.0,30,31.3,1.3,59.9,0.5,0.5,0.522538,61.4,0.49,0.49,0.511173,
03/31/2012,1912.0,1912.0,-1607.0,1607.0,305.0,0.0,-206.0,118.0,38.0,49.0,1.0,99,-45.0,,42.0,,,,3.0,54.0,-18.0,,,36,0.0,0.0,0.0,36.0,-6.0,30,0.0,0.0,30,31.3,1.3,60.196428,0.5,0.5,0.519964,61.736204,0.49,0.49,0.511057,
06/30/2012,1920.0,1920.0,-1595.0,1595.0,325.0,0.0,-188.0,109.0,28.0,50.0,1.0,137,-21.0,,21.0,,,,0.0,116.0,-21.0,,,95,0.0,0.0,0.0,95.0,-8.0,87,0.0,0.0,87,88.95,1.95,59.992055,1.45,1.45,1.482696,61.260871,1.42,1.42,1.451831,
09/30/2012,1778.0,1778.0,-1494.0,1494.0,284.0,0.0,-172.0,94.0,28.0,49.0,1.0,112,-22.0,,21.0,,,,1.0,90.0,42.0,,,132,0.0,0.0,0.0,132.0,-7.0,125,0.0,0.0,125,126.95,1.95,59.766097,2.09,2.09,2.124114,60.949632,2.05,2.05,2.081994,
12/31/2012,1753.0,1753.0,-1474.0,1474.0,279.0,0.0,-196.0,106.0,32.0,57.0,1.0,83,-20.0,,21.0,,,,-1.0,63.0,-22.0,,,41,0.0,0.0,0.0,41.0,-8.0,33,0.0,0.0,33,40.15,7.15,60.0,0.55,0.55,0.669167,61.1,0.54,0.54,0.657021,
03/31/2013,1903.0,1903.0,-1604.0,1604.0,299.0,0.0,-205.0,119.0,35.0,50.0,1.0,94,-21.0,,20.0,,,,1.0,73.0,-12.0,,,61,0.0,0.0,0.0,61.0,-7.0,54,0.0,0.0,54,57.25,3.25,60.288997,0.9,0.9,0.949593,61.481835,0.88,0.88,0.932861,
06/30/2013,2067.0,2067.0,-1736.0,1736.0,331.0,0.0,-190.0,106.0,33.0,50.0,1.0,141,-20.0,,20.0,,,,0.0,121.0,-47.0,,,74,0.0,0.0,0.0,74.0,-11.0,63,0.0,0.0,63,68.2,5.2,60.542361,1.04,1.04,1.126484,61.724124,1.02,1.02,1.104246,
09/30/2013,1963.0,1963.0,-1691.0,1691.0,272.0,0.0,-199.0,112.0,35.0,51.0,1.0,73,-21.0,,20.0,,,,1.0,52.0,-30.0,,,22,0.0,0.0,0.0,22.0,-10.0,12,0.0,0.0,12,50.35,38.35,60.624358,0.19,0.19,0.830524,61.865375,0.19,0.19,0.809894,
12/31/2013,2031.0,2031.0,-1703.0,1703.0,328.0,0.0,-212.0,116.0,41.0,54.0,1.0,116,-18.0,,20.0,,,,-2.0,98.0,-33.0,,,65,0.0,0.0,0.0,65.0,-11.0,54,0.0,0.0,54,60.5,6.5,60.5,0.9,0.9,1.0,61.8,0.88,0.88,0.985178,
03/31/2014,2094.0,2094.0,-1754.0,1754.0,340.0,0.0,-226.0,132.0,42.0,51.0,1.0,114,-20.0,,19.0,,,,1.0,94.0,-40.0,,,54,0.0,0.0,0.0,54.0,-8.0,46,0.0,0.0,46,53.15,7.15,60.549778,0.76,0.76,0.87779,61.503302,0.75,0.75,0.866254,
06/30/2014,2241.0,2241.0,-1851.0,1851.0,390.0,0.0,-234.0,139.0,42.0,52.0,1.0,156,-19.0,,19.0,,,,0.0,137.0,-46.0,,,91,0.0,0.0,0.0,91.0,-10.0,81,0.0,0.0,81,87.5,6.5,60.736737,1.34,1.34,1.440644,61.661896,1.32,1.32,1.425414,
09/30/2014,2081.0,2081.0,-1735.0,1735.0,346.0,0.0,-203.0,108.0,42.0,52.0,1.0,143,-23.0,,20.0,,,,3.0,120.0,-31.0,,,89,0.0,0.0,0.0,89.0,-11.0,78,0.0,0.0,78,86.45,8.45,60.762667,1.29,1.29,1.422749,61.713851,1.27,1.27,1.406922,
12/31/2014,2004.0,2004.0,-1685.0,1685.0,319.0,0.0,-237.0,140.0,43.0,53.0,1.0,82,-32.0,,33.0,,,,-1.0,50.0,-14.0,,,36,0.0,0.0,0.0,36.0,-15.0,21,0.0,0.0,21,45.65,24.65,60.9,0.34,0.34,0.749589,61.7,0.33,0.33,0.729514,
03/31/2015,2023.0,2023.0,-1686.0,1686.0,337.0,0.0,-217.0,125.0,41.0,50.0,1.0,120,-16.0,,16.0,,,,0.0,104.0,-41.0,,,63,0.0,0.0,0.0,63.0,-14.0,49,0.0,0.0,49,54.65,5.65,61.044908,0.81,0.81,0.895243,61.593087,0.8,0.8,0.891731,
06/30/2015,2130.0,2130.0,-1764.0,1764.0,366.0,0.0,-211.0,121.0,38.0,51.0,1.0,155,-17.0,,17.0,,,,0.0,138.0,-47.0,,,91,0.0,0.0,0.0,91.0,-13.0,78,0.0,0.0,78,86.65,8.65,60.829125,1.27,1.27,1.424482,61.363702,1.26,1.26,1.400963,
09/30/2015,2025.0,2025.0,-1707.0,1707.0,318.0,0.0,-202.0,113.0,35.0,53.0,1.0,116,-16.0,,16.0,,,,0.0,100.0,-34.0,,,66,0.0,0.0,0.0,66.0,-14.0,52,0.0,0.0,52,73.65,21.65,59.587628,0.89,0.89,1.235995,60.020995,0.88,0.88,1.235995,
12/31/2015,2031.0,2031.0,-1688.0,1688.0,343.0,0.0,-214.0,132.0,32.0,49.0,1.0,129,-19.0,,18.0,,,,1.0,110.0,-27.0,,,83,0.0,0.0,0.0,83.0,-15.0,68,0.0,0.0,68,77.65,9.65,57.4,1.18,1.18,1.352787,57.9,1.17,1.17,1.336667,
03/31/2016,2136.0,2136.0,-1770.0,1770.0,366.0,0.0,-242.0,147.0,39.0,54.0,2.0,124,-18.0,,18.0,,,,0.0,106.0,-34.0,,,72,0.0,0.0,0.0,72.0,-15.0,57,0.0,0.0,57,67.65,10.65,57.115496,1.0,1.0,1.184442,57.445941,0.99,0.99,1.175392,
06/30/2016,2212.0,2212.0,-1816.0,1816.0,396.0,0.0,-224.0,134.0,37.0,52.0,1.0,172,-35.0,,34.0,,,,1.0,137.0,-39.0,,,98,0.0,0.0,0.0,98.0,-16.0,82,0.0,0.0,82,98.65,16.65,56.873353,1.44,1.44,1.734556,57.331749,1.43,1.43,1.720415,
09/30/2016,2096.0,2096.0,-1743.0,1743.0,353.0,0.0,-203.0,109.0,41.0,53.0,0.0,150,-24.0,,24.0,,,,0.0,126.0,70.0,,,196,0.0,0.0,0.0,196.0,-17.0,179,0.0,0.0,179,86.3,-92.7,55.679969,3.22,3.22,1.549929,56.165709,3.19,3.19,1.539527,
12/31/2016,2155.0,2155.0,-1794.0,1794.0,361.0,0.0,-290.0,199.0,37.0,53.0,1.0,71,-16.0,,16.0,,,,0.0,55.0,3.0,,,58,0.0,0.0,0.0,58.0,-20.0,38,0.0,0.0,38,85.068,47.068,54.3,0.7,0.7,1.56663,54.8,0.69,0.69,1.548905,
03/31/2017,2292.0,2292.0,-1929.0,1929.0,363.0,0.0,-242.0,141.0,39.0,52.0,10.0,121,-15.0,,15.0,,,,0.0,106.0,-33.0,,,73,0.0,0.0,0.0,73.0,-14.0,59,0.0,0.0,59,79.65,20.65,53.856352,1.1,1.1,1.478934,54.231759,1.09,1.09,1.470773,
06/30/2017,2317.0,2317.0,-1949.0,1949.0,368.0,0.0,-341.0,252.0,36.0,55.0,-2.0,27,-20.0,,20.0,,,,0.0,7.0,8.0,,,15,0.0,0.0,0.0,15.0,-18.0,-3,0.0,0.0,-3,101.65,104.65,53.505341,-0.05,-0.05,1.89981,53.505341,-0.05,-0.05,1.89981,
09/30/2017,2274.0,2274.0,-1911.0,1911.0,363.0,0.0,-229.0,127.0,40.0,58.0,4.0,134,-19.0,19.0,19.0,0.0,,,0.0,115.0,-16.0,,,99,0.0,0.0,0.0,99.0,-16.0,83,0.0,0.0,83,88.65,5.65,52.508078,1.57,1.57,1.688312,52.687656,1.57,1.57,1.677236,
12/31/2017,2389.0,2389.0,-2019.0,2019.0,370.0,0.0,-238.0,118.0,42.0,60.0,18.0,132,-19.0,19.0,19.0,0.0,,,0.0,113.0,-32.0,,,81,0.0,0.0,0.0,81.0,-19.0,62,0.0,0.0,62,91.65,29.65,51.4,1.19,1.19,1.783074,51.6,1.19,1.19,1.764612,
03/31/2018,2581.0,2581.0,-2193.0,2193.0,388.0,0.0,-266.0,151.0,40.0,60.0,15.0,122,-23.0,23.0,23.0,0.0,,,0.0,99.0,-25.0,,,74,0.0,0.0,0.0,74.0,-14.0,60,0.0,0.0,60,83.0,23.0,51.211643,1.17,1.17,1.620725,51.501643,1.17,1.17,1.616588,
