Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1995,2878.0,1338.0,182.0,1156.0,131.0,,,0.0,,,,,124.0,,,,1593.0,382.0,649.0,-267.0,180.0,,,723.0,,,,,723.0,1285.0,,291.0,291.0,,0.0,,,,,,901.0,,,901.0,1192.0,250.0,,,,,149.0,,,,,149.0,399.0,1591.0,0.0,842.0,,,0.0,,445.0,1287.0,0.0,1287.0,2878.0,
03/31/1996,3014.0,1465.0,279.0,1186.0,135.0,,,0.0,,,,,162.0,,,,1762.0,381.0,,,158.0,,,713.0,,,,,713.0,1252.0,,299.0,299.0,,0.0,,,,,,1001.0,,,1001.0,1300.0,230.0,,,,,152.0,,,,,152.0,382.0,1682.0,0.0,27.0,,,0.0,,1305.0,1332.0,0.0,1332.0,3014.0,
06/30/1996,2909.0,1403.0,194.0,1209.0,0.0,,,0.0,,,,,314.0,,,,1717.0,378.0,,,129.0,,,685.0,,,,,685.0,1192.0,,296.0,296.0,,0.0,,,,,,1061.0,,,1061.0,1357.0,177.0,,,,,141.0,,,,,141.0,318.0,1675.0,0.0,27.0,,,0.0,,1207.0,1234.0,0.0,1234.0,2909.0,
09/30/1996,3038.0,1513.0,276.0,1237.0,190.0,,,0.0,,,,,155.0,,,,1858.0,373.0,,,132.0,,,675.0,,,,,675.0,1180.0,,331.0,331.0,,0.0,,,,,,1101.0,,,1101.0,1432.0,203.0,,,,,135.0,,,,,135.0,338.0,1770.0,0.0,27.0,,,0.0,,1241.0,1268.0,0.0,1268.0,3038.0,
12/31/1996,3153.0,1584.0,322.0,1262.0,211.0,,,0.0,,,,,207.0,,,,2002.0,371.0,681.0,-310.0,143.0,,,637.0,,,,,637.0,1151.0,,369.0,369.0,,0.0,,,,,,1131.0,,,1131.0,1500.0,225.0,,,,,136.0,,,,,136.0,361.0,1861.0,0.0,849.0,,,0.0,,443.0,1292.0,0.0,1292.0,3153.0,
03/31/1997,3185.0,1567.0,341.0,1226.0,209.0,,,0.0,,,,,236.0,,,,2012.0,373.0,,,148.0,,,652.0,,,,,652.0,1173.0,,367.0,367.0,,0.0,,,,,,1146.0,,,1146.0,1513.0,203.0,,,,,145.0,,,,,145.0,348.0,1861.0,0.0,27.0,,,0.0,,1297.0,1324.0,0.0,1324.0,3185.0,
06/30/1997,2958.0,1316.0,55.0,1261.0,256.0,,,0.0,,,,,208.0,,,,1780.0,375.0,,,157.0,,,646.0,,,,,646.0,1178.0,,370.0,370.0,,0.0,,,,,,1063.0,,,1063.0,1433.0,3.0,,,,,138.0,,,,,138.0,141.0,1574.0,0.0,27.0,,,0.0,,1357.0,1384.0,0.0,1384.0,2958.0,
09/30/1997,4734.0,1715.0,156.0,1559.0,291.0,,,0.0,,,,,281.0,,,,2287.0,421.0,777.0,-356.0,550.0,,,1476.0,,,,,1476.0,2447.0,,433.0,433.0,,0.0,,,,,,1415.0,,,1415.0,1848.0,616.0,,,,,816.0,,,,,816.0,1432.0,3280.0,0.0,27.0,,,0.0,,1427.0,1454.0,0.0,1454.0,4734.0,
12/31/1997,5418.0,2134.0,627.0,1507.0,351.0,,,0.0,,,,,265.0,,,,2750.0,420.0,728.0,-308.0,512.0,,,1736.0,,,,,1736.0,2668.0,,471.0,471.0,,0.0,,,,,,1792.0,,,1792.0,2263.0,889.0,,,,,765.0,,,,,765.0,1654.0,3917.0,0.0,868.0,,,0.0,,633.0,1501.0,0.0,1501.0,5418.0,
03/31/1998,5046.0,1779.0,352.0,1427.0,325.0,,,0.0,,,,,317.0,,,,2421.0,421.0,749.0,-328.0,463.0,,,1741.0,,,,,1741.0,2625.0,,438.0,438.0,,0.0,,,,,,1497.0,,,1497.0,1935.0,847.0,,,,,676.0,,,,,676.0,1523.0,3458.0,0.0,28.0,,,0.0,,1560.0,1588.0,0.0,1588.0,5046.0,
06/30/1998,5042.0,1803.0,310.0,1493.0,423.0,,,0.0,,,,,264.0,,,,2490.0,445.0,776.0,-331.0,379.0,,,1728.0,,,,,1728.0,2552.0,,449.0,449.0,,0.0,,,,,,1440.0,,,1440.0,1889.0,922.0,,,,,583.0,,,,,583.0,1505.0,3394.0,0.0,28.0,,,0.0,,1620.0,1648.0,0.0,1648.0,5042.0,
09/30/1998,5011.0,2041.0,478.0,1563.0,245.0,,,0.0,0.0,0.0,0.0,,264.0,,,,2550.0,429.0,766.0,-337.0,306.0,,,1726.0,1197.0,,,,529.0,2461.0,,383.0,383.0,,0.0,,,,,,1536.0,,,1536.0,1919.0,907.0,,,,,556.0,,,,,556.0,1463.0,3382.0,0.0,28.0,,,0.0,,1601.0,1629.0,0.0,1629.0,5011.0,
12/31/1998,5496.0,2507.0,913.0,1594.0,276.0,,,0.0,0.0,0.0,0.0,0.0,336.0,,,,3119.0,433.0,788.0,-355.0,305.0,,305.0,1639.0,1188.0,1188.0,0.0,,451.0,2377.0,,395.0,395.0,,484.0,,,,,,1764.0,,,1764.0,2643.0,573.0,,,,,592.0,,,,,592.0,1165.0,3808.0,0.0,922.0,,,0.0,753.0,13.0,1688.0,0.0,1688.0,5496.0,
03/31/1999,5190.0,2191.0,636.0,1555.0,278.0,,,0.0,0.0,0.0,0.0,0.0,338.0,,,,2807.0,430.0,802.0,-372.0,337.0,,,1616.0,1180.0,1180.0,0.0,,436.0,2383.0,,433.0,433.0,,397.0,,,,,,1579.0,,,1579.0,2409.0,579.0,,,,,534.0,,,,,534.0,1113.0,3522.0,0.0,28.0,,,0.0,,1640.0,1668.0,0.0,1668.0,5190.0,
06/30/1999,5007.0,2046.0,542.0,1504.0,278.0,,,0.0,0.0,0.0,0.0,0.0,364.0,,,,2688.0,442.0,828.0,-386.0,285.0,,,1592.0,1189.0,1189.0,0.0,,403.0,2319.0,,432.0,432.0,,285.0,,,,,,1460.0,,,1460.0,2177.0,643.0,,,,,510.0,,,,,510.0,1153.0,3330.0,0.0,925.0,,,0.0,,752.0,1677.0,0.0,1677.0,5007.0,
09/30/1999,4951.0,2012.0,482.0,1530.0,315.0,,,0.0,0.0,0.0,0.0,0.0,354.0,,,,2681.0,440.0,845.0,-405.0,277.0,,,1553.0,1180.0,1180.0,0.0,,373.0,2270.0,,437.0,437.0,,0.0,,,,,,1683.0,,,1683.0,2120.0,667.0,,,,,473.0,,,,,473.0,1140.0,3260.0,0.0,925.0,,,0.0,,766.0,1691.0,0.0,1691.0,4951.0,
12/31/1999,4900.0,2485.0,978.0,1507.0,225.0,,,0.0,0.0,0.0,0.0,0.0,354.0,,,,3064.0,418.0,828.0,-410.0,253.0,,,1165.0,806.0,806.0,0.0,,359.0,1836.0,,392.0,392.0,,901.0,901.0,0.0,0.0,,,1871.0,,,1871.0,3164.0,0.0,0.0,0.0,0.0,,468.0,,,,,468.0,468.0,3632.0,0.0,927.0,,,0.0,,341.0,1268.0,0.0,1268.0,4900.0,
03/31/2000,4421.0,2233.0,897.0,1336.0,262.0,,,0.0,0.0,0.0,0.0,0.0,328.0,,,,2823.0,426.0,,,158.0,,,1014.0,844.0,844.0,0.0,,170.0,1598.0,,363.0,363.0,,844.0,,,,,,1762.0,,,1762.0,2969.0,0.0,,,,,153.0,,,,,153.0,153.0,3122.0,0.0,929.0,,,0.0,,370.0,1299.0,0.0,1299.0,4421.0,
06/30/2000,4347.0,2151.0,789.0,1362.0,254.0,,,0.0,0.0,0.0,0.0,0.0,336.0,,,,2741.0,425.0,832.0,-407.0,166.0,,,1015.0,834.0,834.0,0.0,,181.0,1606.0,,358.0,358.0,,780.0,,,,,,1753.0,,,1753.0,2891.0,0.0,,,,,145.0,,,,,145.0,145.0,3036.0,0.0,927.0,,,0.0,,384.0,1311.0,0.0,1311.0,4347.0,
09/30/2000,3916.0,1827.0,364.0,1463.0,207.0,,,0.0,0.0,0.0,0.0,0.0,304.0,,,,2338.0,429.0,854.0,-425.0,153.0,,,996.0,820.0,820.0,0.0,,176.0,1578.0,,408.0,408.0,,739.0,,,,,,1306.0,,,1306.0,2453.0,0.0,,,,,142.0,,,,,142.0,142.0,2595.0,0.0,950.0,,,-13.0,,384.0,1321.0,0.0,1321.0,3916.0,
12/31/2000,4306.978027,2066.521973,658.0,1408.521973,205.259995,,,0.0,0.0,0.0,0.0,0.0,262.721985,,,,2534.065918,434.619995,878.685974,-444.06601,240.063995,,,1098.228027,790.0,790.0,0.0,,308.228027,1772.912017,,428.556,428.556,,748.515015,748.515015,0.0,0.0,,,1514.332061,,,1514.332061,2691.403076,0.0,0.0,0.0,0.0,,255.154007,,,,,255.154007,255.154007,2946.557083,0.0,951.103027,,,-14.0,,423.317993,1360.42102,0.0,1360.42102,4306.978103,
03/31/2001,4077.0,1968.0,570.0,1398.0,249.0,,,0.0,0.0,0.0,0.0,0.0,212.0,,,,2429.0,439.0,,,226.0,,,983.0,786.0,786.0,0.0,,197.0,1648.0,,378.0,378.0,,718.0,718.0,0.0,0.0,,,1443.0,,,1443.0,2539.0,0.0,,,,,143.0,,,,,143.0,143.0,2682.0,0.0,950.0,,,-13.0,,458.0,1395.0,0.0,1395.0,4077.0,
06/30/2001,4160.0,1983.0,603.0,1380.0,269.0,,,0.0,0.0,0.0,0.0,0.0,207.0,,,,2459.0,449.0,,,241.0,,,1011.0,807.0,807.0,0.0,,204.0,1701.0,,411.0,411.0,,747.0,747.0,0.0,0.0,,,1435.0,,,1435.0,2593.0,0.0,,,,,147.0,,,,,147.0,147.0,2740.0,0.0,949.0,,,-13.0,,484.0,1420.0,0.0,1420.0,4160.0,
09/30/2001,4174.0,1984.0,592.0,1392.0,282.0,,,0.0,0.0,0.0,0.0,0.0,185.0,,,,2451.0,453.0,,,274.0,,,996.0,793.0,793.0,0.0,,203.0,1723.0,,422.0,422.0,,412.0,412.0,0.0,0.0,,,1413.0,,,1413.0,2247.0,318.0,,,,,145.0,,,,,145.0,463.0,2710.0,0.0,951.0,,,-15.0,,528.0,1464.0,0.0,1464.0,4174.0,
12/31/2001,4403.638184,2041.01593,651.419983,1389.595947,322.063995,,,0.0,0.0,0.0,0.0,0.0,259.858002,,,,2622.937988,461.760986,971.807983,-510.046997,280.320007,,,1038.619019,776.874023,776.874023,0.0,,261.744996,1780.700012,,479.996002,479.996002,,415.756989,415.756989,0.0,0.0,,,1411.425964,,,1411.425964,2307.178955,315.489014,,,,,273.020996,,,,,273.020996,588.51001,2895.688965,0.0,950.888,,,-14.849,,571.909974,1507.948974,0.0,1507.948974,4403.637939,
03/31/2002,4303.907227,1894.928986,485.881989,1409.046997,372.078003,,,0.0,0.0,0.0,0.0,0.0,274.647003,,,,2541.654053,467.95401,,,281.131989,,,1013.166992,776.874023,776.874023,0.0,,236.292969,1762.252991,,500.049011,500.049011,,426.429993,,,,,,1237.645019,,,1237.645019,2164.124023,306.954987,,,,,283.175995,,,,,283.175995,590.130982,2754.255005,0.0,952.450989,,,-15.953,,613.153989,1549.651978,0.0,1549.651978,4303.906983,
06/30/2002,4361.50293,1788.476013,450.700012,1337.776001,517.460999,,,0.0,0.0,0.0,0.0,0.0,273.940002,,,,2579.876953,462.786011,,,301.791992,,,1017.047974,776.874023,776.874023,0.0,,240.173951,1781.625977,,472.122009,472.122009,,398.278992,,,,,,1277.651001,,,1277.651001,2148.052002,323.365997,,,,,268.946991,,,,,268.946991,592.312988,2740.36499,0.0,960.413025,,,-15.953,,676.677976,1621.138001,0.0,1621.138001,4361.502991,
09/30/2002,4379.330078,1796.26004,375.735992,1420.524048,557.280029,,,0.0,0.0,0.0,0.0,0.0,230.962997,,,,2584.50293,462.453003,,,317.346008,,,1015.028015,776.874023,776.874023,0.0,,238.153992,1794.827026,,475.88501,475.88501,,369.402008,,,,,,1254.40805,,,1254.40805,2099.695068,334.061005,,,,,278.130005,,,,,278.130005,612.19101,2711.886078,0.0,959.492981,,,-41.391998,,749.342987,1667.44397,0.0,1667.44397,4379.330048,
12/31/2002,4879.937012,2116.424988,721.356995,1395.067993,389.450989,,,0.0,0.0,0.0,0.0,0.0,250.856995,,,,2756.73291,459.84201,999.767029,-539.924988,299.489014,,,1363.873047,776.874023,776.874023,0.0,,586.999024,2123.204071,,552.689026,552.689026,,359.881989,359.881989,0.0,0.0,,,1477.887969,,,1477.887969,2390.458984,339.912994,339.912994,0.0,0.0,,543.091003,,,,,543.091003,883.003997,3273.462981,0.0,959.64502,,,-89.987,720.877014,15.938965,1606.473999,0.0,1606.473999,4879.93698,
03/31/2003,4429.187012,1944.007935,532.651978,1411.355957,528.697998,,,0.0,0.0,0.0,0.0,0.0,258.480988,,,,2731.187012,423.464996,,,312.516998,,,962.018005,776.874023,776.874023,0.0,,185.143982,1697.999999,,512.723022,512.723022,,349.57901,349.57901,0.0,0.0,,,1343.646943,,,1343.646943,2205.948975,334.328003,,,,,268.131012,,,,,268.131012,602.459015,2808.40799,0.0,960.021973,,,-110.463997,,771.221016,1620.778992,0.0,1620.778992,4429.186982,
06/30/2003,4493.852051,2154.161988,754.942017,1399.219971,439.509003,,,0.0,0.0,0.0,0.0,0.0,223.800003,,,,2817.468994,417.446014,,,329.178009,,,929.758972,776.874023,776.874023,0.0,,152.884949,1676.382995,,455.540985,455.540985,,344.536011,,,,,,1387.808014,,,1387.808014,2187.88501,334.609985,,,,,265.097992,,,,,265.097992,599.707977,2787.592987,0.0,967.356018,,,-110.848999,821.382996,28.369995,1706.26001,0.0,1706.26001,4493.852997,
09/30/2003,4749.724121,2318.238953,635.836975,1682.401978,472.635986,,,0.0,0.0,0.0,0.0,0.0,288.835999,,,,3079.710938,413.402008,,,320.463989,,,936.146973,776.874023,776.874023,0.0,,159.27295,1670.01297,,438.925995,438.925995,,218.751007,,,,,,1404.727051,,,1404.727051,2062.404053,644.440002,,,,,283.756012,,,,,283.756012,928.196014,2990.600067,0.0,989.869019,,,-133.975998,883.502014,19.728989,1759.124024,0.0,1759.124024,4749.724091,
12/31/2003,5293.323,2608.046,931.404,1676.642,452.404,,,,,,,,260.881,,,,3321.331,416.472,1022.825,-606.353,319.167,,,1236.353,794.918,776.874,18.044,,441.435,1971.992,,1712.496,1712.496,,219.054,,,,,,333.071,,,333.071,2264.621,642.638,,,,,550.115,,,,,550.115,1192.753,3457.374,,1003.959,,,-133.976,949.811,16.155,1835.949,,1835.949,5293.323,
03/31/2004,5275.745117,2533.430939,417.647003,2115.783936,528.557983,,,0.0,0.0,0.0,0.0,0.0,306.830994,,,,3368.820068,397.212006,,,311.408997,,,1198.303955,776.874023,776.874023,0.0,,421.429932,1906.924958,,422.567993,422.567993,,210.436996,,,,,,1528.1559,,,1528.1559,2161.160889,646.896973,,,,,558.741028,,,,,558.741028,1205.638001,3366.79889,0.0,1015.461975,,,-148.720001,1017.640991,24.563019,1908.945984,0.0,1908.945984,5275.744874,
06/30/2004,5342.90918,2525.917984,203.636002,2322.281982,543.685974,,,0.0,0.0,0.0,0.0,0.0,334.319,,,,3403.923096,392.955994,,,323.666992,,,1222.363037,813.398987,813.398987,0.0,,408.96405,1938.986023,,499.977997,499.977997,,172.061996,,,,,,1563.291062,,,1563.291062,2235.331055,623.677002,,,,,570.518005,,,,,570.518005,1194.195007,3429.526062,0.0,1016.601013,,,-184.847,1098.394043,-16.765061,1913.382995,0.0,1913.382995,5342.909057,
09/30/2004,5411.609863,2707.611969,375.089996,2332.521973,424.869995,,,0.0,0.0,0.0,0.0,0.0,273.23999,,,,3405.721924,390.734985,,,333.79599,,,1281.357056,859.734009,859.734009,0.0,,421.623047,2005.888031,,504.891998,504.891998,,116.106003,,,,,,1568.793991,,,1568.793991,2189.791992,630.911987,,,,,568.911011,,,,,568.911011,1199.822998,3389.61499,0.0,1024.151978,,,-198.447998,1182.697021,13.593995,2021.994996,0.0,2021.994996,5411.609986,
12/31/2004,5657.617,2725.724,580.079,2145.645,554.661,,,0.0,0.0,0.0,0.0,0.0,315.752,,,,3596.137,399.506,1069.211,-669.705,348.465,,,1313.509,915.894,885.572,30.322,,397.615,2061.48,,1910.342,1910.342,,192.06,192.06,0.0,0.0,,,224.166,,,224.166,2326.568,636.696,636.696,0.0,0.0,,604.229,,,,,604.229,1240.925,3567.493,0.0,1046.496,,,-201.0,1229.823,14.805,2090.124,0.0,2090.124,5657.617,
03/31/2005,6149.593,2697.105,560.264,2136.841,568.184,,,0.0,0.0,0.0,0.0,0.0,373.162,,,,3638.451,428.89,,,345.692,,,1736.56,1343.25,1244.37,98.88,,393.31,2511.142,,1941.548,1941.548,,192.741,,,,,,270.361,,,270.361,2404.65,885.271,,,,,659.867,,,,,659.867,1545.138,3949.788,0.0,1085.083,,,-202.376,1339.618,-22.52,2199.805,0.0,2199.805,6149.593,
06/30/2005,6277.907,2821.488,603.79,2217.698,588.706,,,0.0,0.0,0.0,0.0,0.0,332.876,,,,3743.07,437.393,,,358.643,,,1738.801,1327.494,1221.663,105.831,,411.307,2534.837,,385.313,385.313,,182.493,,,,,,1875.697,,,1875.697,2443.503,878.388,,,,,639.828,,,,,639.828,1518.216,3961.719,0.0,1098.083,,,-202.691,1423.755,-2.959,2316.188,0.0,2316.188,6277.907,
09/30/2005,6832.421,3207.36,978.936,2228.424,695.344,,,0.0,0.0,0.0,0.0,0.0,380.432,,,,4283.136,457.078,,,365.634,,,1726.573,1320.835,1220.461,100.374,,405.738,2549.285,,2326.664,2326.664,,560.799,,,,,,651.461,,,651.461,3538.924,317.21,,,,,610.317,,,,,610.317,927.527,4466.451,0.0,1113.399,,,-203.071,1473.699,-18.057,2365.97,0.0,2365.97,6832.421,
12/31/2005,6869.614,3086.92,732.016,2354.904,723.19,,,0.0,0.0,0.0,0.0,0.0,396.076,,,,4206.186,484.412,1241.353,-756.941,391.035,,,1787.981,1368.59,1264.575,104.015,,419.391,2663.428,,2470.232,2470.232,,581.259,581.259,0.0,0.0,,,168.099,,,168.099,3219.59,513.79,513.79,0.0,0.0,,662.129,,,,,662.129,1175.919,4395.509,0.0,1127.96,,,-203.364,1538.306,11.203,2474.105,0.0,2474.105,6869.614,
03/31/2006,8698.02,4466.414,1843.405,2623.009,763.061,,,0.0,0.0,0.0,0.0,0.0,789.851,,,,6019.326,498.267,,,374.583,,,1805.844,1363.536,1265.176,98.36,,442.308,2678.694,,3040.72,3040.72,,575.818,,,,,,1171.0,,,1171.0,4787.538,601.225,,,,,741.498,,,,,741.498,1342.723,6130.261,0.0,1294.246,,,-203.469,1505.39,-28.408,2567.759,0.0,2567.759,8698.02,
06/30/2006,9836.6,5256.904,2258.464,2998.44,767.61,,,0.0,0.0,0.0,0.0,0.0,1034.512,,,,7059.026,505.721,,,387.362,,,1884.491,1413.239,1307.65,105.589,,471.252,2777.574,,3560.562,3560.562,,571.765,,,,,,1411.127,,,1411.127,5543.454,784.399,,,,,849.952,,,,,849.952,1634.351,7177.805,0.0,1315.569,,,-208.301,1594.879,-43.352,2658.795,0.0,2658.795,9836.6,
09/30/2006,9957.165,4423.945,1181.234,3242.711,729.949,,,0.0,0.0,0.0,0.0,0.0,1999.111,,,,7153.005,518.93,,,408.281,,,1876.949,1407.699,1307.231,100.468,,469.25,2804.16,,4091.934,4091.934,,281.244,,,,,,1063.645,,,1063.645,5436.823,970.144,,,,,657.735,,,,,657.735,1627.879,7064.702,0.0,1363.894,,,-218.934,1754.077,-6.574,2892.463,0.0,2892.463,9957.165,
12/31/2006,10127.496,4932.577,1740.304,3192.273,667.657,,,,,,,,1732.739,,,,7332.973,545.004,1391.087,-846.083,414.877,,,1834.642,1406.287,1310.631,95.656,,428.355,2794.523,,4114.919,4114.919,,293.605,,,,,,783.288,,,783.288,5191.812,1269.1,,,,,612.698,,,,,612.698,1881.798,7073.61,,1387.568,,,-229.575,1909.098,-13.205,3053.886,,3053.886,10127.496,
