Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2013,25.831,25.211,0.62,-5.34,4.846,0.959,20.491,0.0,-18.651,17.154,10.339,6.815,0.538,0.0,1.84,-0.832,,0.699,,,0.133,1.008,,1.008,0.0,0.0,0.0,1.008,,1.008,,0.0,1.008,1.008,0.0,,,,,,,,,
12/31/2013,30.28,29.752,0.528,-5.938,5.437,0.966,24.342,0.0,-25.596,23.801,13.768,10.033,0.829,0.0,-1.254,0.346,,0.713,,,-1.059,-0.908,,-0.908,0.0,0.0,0.0,-0.908,,-0.908,,0.0,-0.908,-0.908,0.0,,,,,,,,,
03/31/2014,36.985,36.454,0.531,-6.922,6.922,1.091,30.063,0.0,-26.922,24.949,15.681,9.268,0.882,0.0,3.141,-1.298,,2.067,,,-0.769,1.843,-0.783,1.06,0.0,0.0,0.0,1.06,0.0,1.06,0.0,0.0,1.06,1.543,0.483,45.721584,0.02,0.02,0.033748,48.371169,0.02,0.02,0.029985,
06/30/2014,33.306,32.666,0.64,-6.365,6.365,1.072,26.941,0.0,-23.847,21.838,13.7,8.138,0.937,0.0,3.094,-4.131,,0.674,,,3.457,-1.037,0.444,-0.593,0.0,0.0,0.0,-0.593,0.0,-0.593,0.0,0.0,-0.593,2.019,2.612,50.284362,-0.01,-0.01,0.040152,50.284362,-0.01,-0.01,0.040152,
09/30/2014,36.598,35.91,0.688,-6.436,6.436,1.159,30.162,0.0,-25.484,23.266,14.856,8.41,1.059,0.0,4.678,-0.299,,0.338,,,-0.039,4.379,-1.689,2.69,0.0,0.0,0.0,2.69,0.0,2.69,0.0,0.0,2.69,2.69,0.0,51.056462,0.05,0.05,0.05,52.978051,0.05,0.05,0.05,
12/31/2014,44.04,43.177,0.863,-7.595,7.595,1.216,36.445,0.0,-31.658,28.995,19.31,9.685,1.447,0.0,4.787,-0.316,,0.342,,,-0.026,4.471,-1.965,2.506,0.0,0.0,0.0,2.506,0.0,2.506,0.0,0.0,2.506,2.899,0.393,50.12,0.05,0.05,0.057841,50.12,0.05,0.05,0.057841,
03/31/2015,55.222,54.351,0.871,-8.281,7.471,1.323,46.941,0.0,-36.403,33.213,21.229,11.984,1.867,0.0,10.538,-0.299,,0.332,,,-0.033,10.239,-4.244,5.995,0.0,0.0,0.0,5.995,0.0,5.995,0.0,0.0,5.995,6.502,0.507,54.749951,0.11,0.11,0.118758,56.562661,0.11,0.11,0.118758,
06/30/2015,48.973,47.82,1.153,-8.021,7.134,1.4,40.952,0.0,-30.144,26.837,16.741,10.096,1.907,0.0,10.808,-0.373,,0.392,,,-0.019,10.435,-4.489,5.946,0.0,0.0,0.0,5.946,0.0,5.946,0.0,0.0,5.946,6.03,0.084,57.038021,0.1,0.1,0.105719,58.369083,0.1,0.1,0.101439,
09/30/2015,55.34,54.233,1.107,-8.909,7.964,1.457,46.431,0.0,-39.576,35.77,23.774,11.996,2.349,0.0,6.855,-0.245,,0.343,,,-0.098,6.61,-2.763,3.847,0.0,0.0,0.0,3.847,0.0,3.847,0.0,0.0,3.847,3.886,0.039,57.050684,0.07,0.07,0.068115,58.36783,0.07,0.07,0.068115,
12/31/2015,65.118,63.583,1.535,-10.262,9.221,1.558,54.856,0.0,-48.622,44.56,30.81,13.75,2.504,0.0,6.234,0.007,,0.36,,,-0.367,6.241,-1.084,5.157,0.0,0.0,0.0,5.157,0.0,5.157,0.0,0.0,5.157,5.15,-0.007,57.109987,0.09,0.09,0.090177,58.365587,0.09,0.09,0.08988,
03/31/2016,90.126,88.904,1.222,-11.971,10.785,1.723,78.155,0.0,-49.451,43.868,28.662,15.206,3.86,0.0,28.704,-0.277,,0.311,,,-0.034,28.427,-9.839,18.588,0.0,0.0,0.0,18.588,0.0,18.588,0.0,0.0,18.588,18.588,0.0,57.132909,0.32,0.32,0.32,58.36204,0.31,0.31,0.31,
06/30/2016,73.88,72.492,1.388,-11.865,10.479,1.823,62.015,0.0,-46.011,39.986,24.766,15.22,4.202,0.0,16.004,-0.054,,0.17,,,-0.116,15.95,-5.529,10.421,0.0,0.0,0.0,10.421,0.0,10.421,0.0,0.0,10.421,10.42295,0.00195,57.591556,0.18,0.18,0.180981,58.697229,0.18,0.18,0.180033,
09/30/2016,77.325,75.857,1.468,-14.748,13.227,2.032,62.577,0.0,-61.995,53.731,29.274,24.457,6.232,0.0,0.582,-0.465,,0.252,,,0.213,0.117,6.081,6.198,0.0,0.0,0.0,6.198,0.0,6.198,0.0,0.0,6.198,6.34555,0.14755,57.819734,0.11,0.11,0.109747,58.907281,0.1,0.1,0.102505,
12/31/2016,87.81,86.295,1.515,-15.482,13.777,2.256,72.328,0.0,-59.647,50.719,36.556,14.163,6.672,0.0,12.681,0.068,0.303,0.303,0.0,0.0,-0.371,12.749,-4.116,8.633,0.0,0.0,0.0,8.633,0.0,8.633,0.0,0.0,8.633,8.4419,-0.1911,57.652531,0.15,0.15,0.146427,58.882966,0.15,0.15,0.146427,
03/31/2017,119.508,117.914,1.594,-17.146,15.086,2.226,102.362,0.0,-49.852,40.829,15.25,25.579,6.797,0.0,52.51,-0.162,,0.257,,,-0.095,52.348,-18.654,33.694,0.0,0.0,0.0,33.694,0.0,33.694,0.0,0.0,33.694,33.694,0.0,57.307187,0.58,0.58,0.58,58.52598,0.57,0.57,0.57,
06/30/2017,98.227,96.351,1.876,-17.876,15.609,2.44,80.351,0.0,-61.559,51.024,27.43,23.594,8.095,0.0,18.792,-0.132,0.281,0.281,0.0,,-0.149,18.66,1.356,20.016,0.0,0.0,0.0,20.016,0.0,20.016,0.0,0.0,20.016,20.016,0.0,57.898914,0.34,0.34,0.34,58.816442,0.34,0.34,0.34,
09/30/2017,101.287,99.498,1.789,-17.826,15.324,2.403,83.461,0.0,-61.454,50.939,27.732,23.207,8.112,0.0,22.007,-0.102,0.22,0.22,0.0,,-0.118,21.905,-0.995,20.91,0.0,0.0,0.0,20.91,0.0,20.91,0.0,0.0,20.91,20.91,0.0,58.003222,0.36,0.36,0.36,58.873502,0.35,0.35,0.35,
12/31/2017,114.025,111.661,2.364,-19.18,16.419,2.736,94.845,0.0,-58.444,48.282,30.105,18.177,7.426,0.0,36.401,-1.582,0.153,0.153,0.0,0.0,1.429,34.819,14.047,48.866,0.0,0.0,0.0,48.866,0.0,48.866,0.0,0.0,48.866,50.129743,1.263743,58.100141,0.84,0.84,0.862816,58.850271,0.83,0.83,0.851474,
03/31/2018,153.916,151.885,2.031,-23.605,20.568,3.032,130.311,0.0,-79.291,65.009,32.352,32.657,11.25,0.0,51.02,1.03,0.0,0.0,0.0,,-1.03,52.05,-10.89,41.16,0.0,0.0,0.0,41.16,0.0,41.16,0.0,0.0,41.16,40.632405,-0.527595,57.793023,0.71,0.71,0.703068,58.738732,0.7,0.7,0.691018,
06/30/2018,128.8,126.609,2.191,-20.931,17.677,3.459,107.869,0.0,-64.832,50.642,31.647,18.995,10.731,0.0,43.037,0.481,0.034,0.034,0.0,,-0.515,43.518,-7.796,35.722,0.0,0.0,0.0,35.722,0.0,35.722,0.0,0.0,35.722,35.813938,0.091938,57.837,0.62,0.62,0.619222,58.721,0.61,0.61,0.611566,
09/30/2018,133.288,130.83,2.458,-22.125,18.158,4.161,111.163,0.0,-74.918,59.231,37.183,22.048,11.526,0.0,36.245,0.199,0.384,0.384,0.0,,-0.583,36.444,-7.675,28.769,0.0,0.0,0.0,28.769,0.0,28.769,0.0,0.0,28.769,28.644178,-0.124822,57.72679,0.5,0.5,0.496203,58.545061,0.49,0.49,0.487868,
12/31/2018,150.332,147.931,2.401,-24.102,19.828,4.473,126.23,0.0,-82.817,65.604,42.699,22.905,12.74,0.0,43.413,-0.714,0.348,0.348,0.0,0.0,0.366,42.699,-11.285,31.414,0.0,0.0,0.0,31.414,0.0,31.414,0.0,0.0,31.414,31.94878,0.53478,57.49128,0.55,0.55,0.555715,58.238231,0.54,0.54,0.549183,
03/31/2019,199.943,196.864,3.079,-29.318,24.776,4.805,170.625,0.0,-108.137,84.843,39.645,45.198,18.489,0.0,62.488,-0.376,0.276,0.276,0.0,,0.1,62.112,-14.83,47.282,0.0,0.0,0.0,47.282,0.0,47.282,0.0,0.0,47.282,47.656589,0.374589,57.35749,0.82,0.82,0.830869,58.316154,0.81,0.81,0.816423,
06/30/2019,169.313,165.998,3.315,-25.239,20.289,5.378,144.074,0.0,-91.188,69.035,41.575,27.46,16.775,0.0,52.886,-0.521,0.258,0.258,0.0,,0.263,52.365,-3.603,48.762,0.0,0.0,0.0,48.762,0.0,48.762,0.0,0.0,48.762,48.110757,-0.651243,57.569,0.85,0.85,0.835706,58.41,0.83,0.83,0.81885,
09/30/2019,175.006,171.405,3.601,-26.392,21.088,5.665,148.614,0.0,-98.058,72.788,47.06,25.728,19.605,0.0,50.556,-0.065,0.26,0.26,0.0,,-0.195,50.491,-11.339,39.152,0.0,0.0,0.0,39.152,0.0,39.152,0.0,-0.018,39.134,39.292982,0.158982,57.654,0.68,0.68,0.681531,58.383,0.67,0.67,0.672723,
12/31/2019,193.409,190.161,3.248,-28.798,23.183,5.952,164.611,0.0,-104.317,80.154,51.006,29.148,18.211,0.0,60.294,0.825,0.146,0.146,0.0,0.0,-0.971,61.119,-15.739,45.38,0.0,0.0,0.0,45.38,0.0,45.38,0.0,0.0,45.38,45.03735,-0.34265,57.659,0.79,0.79,0.781098,58.378,0.78,0.78,0.77413,
03/31/2020,242.368,238.495,3.873,-30.046,24.116,6.285,212.322,0.0,-123.058,95.152,55.018,40.134,21.621,0.0,89.264,-0.946,0.016,0.016,0.0,,0.93,88.318,-25.303,63.015,0.0,0.0,0.0,63.015,0.0,63.015,0.0,0.0,63.015,64.365971,1.350971,57.655,1.09,1.09,1.116399,58.44,1.08,1.08,1.103117,
06/30/2020,181.587,177.95,3.637,-29.558,23.257,6.774,152.029,0.0,-125.453,96.901,56.064,40.837,21.778,0.0,26.576,0.159,0.003,0.003,0.0,,-0.162,26.735,1.854,28.589,0.0,0.0,0.0,28.589,0.0,28.589,0.0,0.0,28.589,28.634113,0.045113,57.568,0.5,0.5,0.497396,58.237,0.49,0.49,0.490775,
09/30/2020,191.5,,,,,,161.972615,,,,,,,,44.588,,,,,,,43.88,,16.261,,,,,,16.261,,,16.261,32.6,,,0.293,0.293,0.554,,0.293,0.293,0.554,
12/31/2020,211.583,,,,,,179.18752687,,,,,,,,58.475,,,,,,,57.14,,31.114,,,,,,31.114,,,31.114,43.69,,,0.521,0.521,0.769,,0.521,0.521,0.769,
