Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1995,89.584999,4.452,4.452,0.0,26.979,,,37.423,,,,,3.983,,,,,72.837997,14.427,,,0.0,,2.32,,,,,2.32,16.747,,4.72,4.72,,,,10.894,,,,,,12.206999,,,12.206999,27.820999,4.938,,,,,0.0,,,,,,0.0,4.938,32.758999,0.0,22.288,,,0.0,,32.365002,54.653002,2.172,56.825002,89.584001,
09/30/1995,96.112,3.011,3.011,0.0,28.52,,,41.651001,,,,,4.412,,,,,77.594002,15.04,,,0.0,,3.478,,,,,3.478,18.518,,6.862,6.862,,,,11.379,,,,,,13.431001,,,13.431001,31.672001,4.876,,,,,0.0,,,,,,0.0,4.876,36.548001,0.0,22.351,,,0.0,,35.280998,57.631998,1.932,59.563998,96.111999,
12/31/1995,96.994003,5.981,5.981,0.0,24.931999,,,42.514999,,,,,4.719,,,,,78.147003,15.465,20.256001,-4.792,0.0,,3.382,,,,,3.382,18.847,,5.174,5.174,,,,7.173,,,,,,16.549,,,16.549,28.896,4.811,,,,,0.0,,,,,,0.0,4.811,33.707,0.0,22.351999,,,0.0,,38.917999,61.269998,2.017,63.286998,96.993998,
03/31/1996,96.594002,6.616,6.616,0.0,26.285,,,40.306999,,,,,4.456,,,,,77.664001,15.624,,,0.0,,3.306,,,,,3.306,18.93,,6.679,6.679,,,,4.767,,,,,,14.957999,,,14.957999,26.403999,4.751,,,,,0.0,,,,,,0.0,4.751,31.154999,0.0,22.351999,,,0.0,,41.013,63.365,2.074,65.439,96.593999,
06/30/1996,108.949997,7.902,7.902,0.0,30.070999,,,45.602001,,,,,4.929,,,,,88.503998,16.615,,,0.0,,3.831,,,,,3.831,20.446,,6.779,6.779,,,,16.664,,,,,,12.836999,,,12.836999,36.279999,4.45,,,,,0.0,,,,,,0.0,4.45,40.729999,0.0,22.426001,,,0.0,,43.522999,65.948999,2.271,68.219999,108.949998,
09/30/1996,124.486,6.369,6.369,0.0,35.726002,,,56.219002,,,,,5.87,,,,,104.183998,16.596001,,,0.0,,3.706,,,,,3.706,20.302001,,7.801,7.801,,,,23.271,,,,,,16.948,,,16.948,48.02,4.4,,,,,0.0,,,,,,0.0,4.4,52.420001,0.0,22.426001,,,0.0,,47.140999,69.566999,2.499,72.066,124.486,
12/31/1996,118.977997,11.981,11.981,0.0,30.253,,,49.783001,,,,,5.609,,,,,97.625999,16.719,24.389,-7.67,0.0,,4.633,,,,,4.633,21.352,,7.476,7.476,,,,10.506,,,,,,19.783,,,19.783,37.764999,4.35,,,,,0.0,,,,,,0.0,4.35,42.114999,0.0,22.899,,,0.0,,51.668999,74.567999,2.295,76.862999,118.977998,
04/05/1997,117.724998,12.361,12.361,0.0,28.705,,,49.365002,,,,,5.502,,,,,95.932999,16.974001,25.309,-8.335,0.0,,4.818,,,,,4.818,21.792001,,4.787,4.787,,,,11.507,,,,,,17.701998,,,17.701998,33.995998,4.3,,,,,0.0,,,,,,0.0,4.3,38.295999,0.0,24.155001,,,0.0,,54.134998,78.289999,1.139,79.428999,117.724998,
07/05/1997,124.514999,10.954,10.954,0.0,29.525999,,,51.708,,,,,8.081,,,,,100.268997,19.225,28.257,-9.032,0.0,,5.021,,,,,5.021,24.246,,6.434,6.434,,,,12.117,,,,,,18.572001,,,18.572001,37.123001,4.25,,,,,0.0,,,,,,0.0,4.25,41.373001,0.0,24.691999,,,0.0,,57.416,82.108,1.034,83.142,124.515001,
10/04/1997,141.501007,11.741,11.741,0.0,37.022999,,,58.632999,,,,,8.484,,,,,115.880997,20.756001,30.584999,-9.829,0.0,,4.864,,,,,4.864,25.62,,15.176,15.176,,,,11.69,,,,,,21.150999,,,21.150999,48.016998,4.2,,,,,0.0,,,,,,0.0,4.2,52.216998,0.0,25.184999,,,0.0,,62.851002,88.036001,1.248,89.284001,141.500999,
01/03/1998,139.569,21.103001,21.103001,0.0,34.237,,,51.382,,,,,6.937,,,,,113.658997,21.073,31.542999,-10.47,0.0,,4.837,,,,,4.837,25.91,,9.61,9.61,,,,7.862,,,,,,25.584,,,25.584,43.056,0.0,,,,,0.0,,,,,,0.0,0.0,43.056,0.0,26.224001,,,0.0,,69.039001,95.263002,1.25,96.513002,139.569002,
04/04/1998,140.113998,25.403,25.403,0.0,28.429001,,,53.812,,,,,6.882,,,,,114.526001,20.761,31.957001,-11.196,0.0,,4.827,,,,,4.827,25.588,,10.744,10.744,,,,3.809,,,,,,23.787999,,,23.787999,38.341,0.0,,,,,0.0,,,,,,0.0,0.0,38.341,0.0,27.413,,,0.0,,73.385002,100.798002,0.975,101.773002,140.114002,
07/04/1998,155.434998,30.788,30.788,0.0,29.572001,,,61.049999,,,,,8.008,,,,,129.417999,21.254,33.285,-12.031,0.0,,4.763,,,,,4.763,26.017,,14.036,14.036,,,,3.654,,,,,,25.161001,,,25.161001,42.851002,0.0,,,,,0.0,,,,,,0.0,0.0,42.851002,0.0,32.359001,,,0.0,,79.153,111.512001,1.072,112.584001,155.435003,
10/03/1998,183.496002,27.948999,27.948999,0.0,45.036999,,,74.606003,4.457,2.76,67.689003,,8.557,,,,,156.149002,22.591,35.298,-12.707,0.0,,4.756,,,,,4.756,27.347,,19.166,19.166,,,,3.816,,,,,,39.032999,,,39.032999,62.014999,0.0,,,,,0.0,,,,,,0.0,0.0,62.014999,0.0,32.730999,,,0.0,,87.198997,119.929996,1.551,121.480996,183.495996,
01/02/1999,194.078003,57.263,57.263,0.0,42.582001,,,57.294998,3.402,1.445,52.448002,,9.193,,,,,166.332993,23.117001,36.778999,-13.662,0.0,,4.628,3.931,,,,0.697,27.745,,14.512,14.512,,,,4.537,,,,,,38.244998,,,38.244998,57.293999,0.0,,,,,0.0,,,,,,0.0,0.0,57.293999,0.0,34.554001,,,0.0,,100.365997,134.919998,1.864,136.783998,194.077997,
04/03/1999,206.419006,68.789001,68.789001,0.0,41.118,,,57.109001,3.977,2.162,50.970001,,10.887,,,,,177.903,23.816,38.550999,-14.735,0.0,,4.7,,,,,4.7,28.516,,11.578,11.578,,,,4.276,,,,,,42.053001,,,42.053001,57.907001,0.0,,,,,0.0,,,,,,0.0,0.0,57.907001,0.0,35.313,,,0.0,,111.551003,146.864002,1.648,148.512002,206.419004,
07/03/1999,228.434006,70.648003,70.648003,0.0,38.414001,,,74.359001,3.945,1.577,61.879002,6.958,12.624,,,,,196.044998,26.566999,42.243,-15.676,0.0,,5.822,,,,,5.822,32.388999,,15.85,15.85,,,,4.255,,,,,,47.654002,,,47.654002,67.759003,0.0,,,,,0.0,,,,,,0.0,0.0,67.759003,0.0,38.953999,,,0.0,,119.619003,158.573002,2.102,160.675002,228.434005,
10/02/1999,245.597,63.995998,63.995998,0.0,54.379002,,,76.609001,5.247,1.91,69.452003,0.0,14.039,,,,,209.022995,26.802,43.804001,-17.002001,0.0,,9.772,,,,,9.772,36.574,,20.247,20.247,,,,4.899,,,,,,45.064999,,,45.064999,70.210999,0.0,,,,,0.0,,,,,,0.0,0.0,70.210999,0.0,39.699001,,,0.0,,133.082001,172.781002,2.605,175.386002,245.597001,
01/01/2000,269.364014,101.777997,90.907997,10.87,51.398998,,,63.028999,5.568,2.755,54.706001,0.0,14.601,,,,,230.807007,28.603001,47.112999,-18.51,0.0,,9.954,6.621,5.2,1.421,,3.333001,38.557001,,11.87,11.87,,,,5.043,,,,,,58.696001,,,58.696001,75.609001,0.0,,,,,0.0,,,,,,0.0,0.0,75.609001,0.0,42.095001,,,0.0,,149.102005,191.197006,2.558,193.755006,269.364007,
04/01/2000,283.436005,97.055997,92.255997,4.8,58.193001,,,72.976997,5.234,2.743,54.883999,10.116,15.572,,,,,243.798004,29.777,49.196999,-19.42,0.0,,9.861,6.27,,,,3.591,39.638,,21.476,21.476,,,,5.001,,,,,,52.246,,,52.246,78.723,0.0,,,,,0.0,,,,,,0.0,0.0,78.723,0.0,42.333,,,-0.174,,160.067997,202.226997,2.486,204.712997,283.435997,
07/01/2000,296.173004,86.682999,81.848999,4.834,50.709,,,96.554001,5.251,4.848,86.455002,0.0,17.664,,,,,251.610001,32.848999,53.610001,-20.761,0.0,,11.714,,,,,11.714,44.562999,,23.252001,23.252001,,,,4.858,,,,,,49.806,,,49.806,77.916,0.0,,,,,0.0,,,,,,0.0,0.0,77.916,0.0,42.445,,,0.0,,172.718994,215.163994,3.093,218.256994,296.172994,
09/30/2000,308.079987,68.269999,63.265999,5.004,67.875,,,104.656998,8.385,3.737,92.535004,0.0,18.584,,,,,259.385986,35.865002,57.775002,-21.91,0.0,,12.829,,,,,12.829,48.694002,,27.684999,27.684999,,,,4.759,,,,,,62.621003,,,62.621003,95.065002,0.0,,,,,0.0,,,,,,0.0,0.0,95.065002,0.0,21.917,,,0.0,,187.440994,209.357994,3.657,213.014994,308.079997,
12/30/2000,307.591003,90.813,79.500999,11.312,62.875999,,,81.117996,6.258,1.182,73.678001,0.0,18.024,,,,,252.830994,42.251999,65.837997,-23.586,0.0,,12.508,6.705,5.2,1.505,,5.803,54.759999,,18.325001,18.325001,,,,5.107,5.107,0.0,0.0,,,59.608,,,59.608,83.040001,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,83.040001,0.0,14.515,,,0.0,,206.184006,220.699006,3.852,224.551006,307.591007,
04/07/2001,311.221008,89.944999,84.682999,5.262,58.978001,,,88.579002,5.571,2.87,80.138,0.0,17.309999,,,,,254.811996,43.416,,,0.0,,12.993,,,,,12.993,56.409,,18.184999,18.184999,,,,4.734,4.734,0.0,0.0,,,58.110999,,,58.110999,81.029999,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,81.029999,0.0,11.441,,,0.0,,215.026993,226.467993,3.723,230.190993,311.220992,
07/07/2001,312.131,72.58,67.252,5.328,56.003,56.003,,97.93,5.46,3.139,65.193,24.138,17.692,,,,,244.205,51.429,,,0.0,,16.497,10.601,,,,5.896,67.926,,14.933,14.933,,,,4.651,4.651,0.0,0.0,,,55.451,,,55.451,75.035,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,75.035,0.0,14.031,,,0.0,225.712,-5.58,234.163,2.933,237.096,312.131,
10/06/2001,364.174988,41.859,36.458,5.401,81.192001,,,120.828003,7.035,4.732,109.060997,0.0,19.68,,,,,263.55899,77.045998,,,0.0,,23.57,,201.0,,,23.57,100.615997,,31.753,31.753,,,,20.521,20.521,0.0,0.0,,,62.187998,,,62.187998,114.461998,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,114.461998,0.0,14.559,,,0.0,,232.177002,246.736002,2.977,249.713002,364.175,
01/05/2002,380.863007,72.850997,67.490997,5.36,74.035004,,,103.662003,4.659,3.855,95.148003,0.0,18.969,,,,,269.516998,90.036003,122.718002,-32.681999,0.0,,21.309999,20.211,12.397,7.814,,1.098999,111.346003,,21.266001,21.266001,,,,15.955,15.955,0.0,0.0,,,69.015999,,,69.015999,106.237,0.0,0.0,0.0,0.0,,7.318,,,,,,7.318,7.318,113.554999,0.0,15.544,,,0.0,,248.479004,264.023004,3.285,267.308004,380.863003,
04/06/2002,376.747009,71.621001,66.193001,5.428,72.190002,,,95.036003,5.596,3.635,85.805,0.0,23.999001,,,,,262.846008,92.781998,,,0.0,,21.118999,19.948999,12.397,7.551999,,1.17,113.900997,,21.492001,21.492001,,,,0.051,0.051,0.0,0.0,,,62.999999,,,62.999999,84.542999,0.0,0.0,0.0,0.0,,11.099,,,,,,11.099,11.099,95.641999,0.0,20.319,,,-0.036,,257.676015,277.959015,3.146,281.105015,376.747014,
07/06/2002,405.971008,83.880999,78.320999,5.56,69.472,,,112.122002,5.686,4.471,101.964996,0.0,25.129,,,,,290.604004,94.474998,,,0.0,,20.892,19.569,12.397,7.172,,1.323,115.366999,,31.638,31.638,,,,0.0,0.0,0.0,0.0,,,63.931999,,,63.931999,95.57,0.0,0.0,0.0,0.0,,15.881,,,,,,15.881,15.881,111.450999,0.0,24.052999,,,0.0,,266.971008,291.024008,3.496,294.520008,405.971007,
10/05/2002,447.553986,75.821997,70.255997,5.566,94.973,,,129.292007,4.944,4.841,119.507004,0.0,27.504,,,,,327.591003,96.803001,,,0.0,,23.16,21.808001,14.437,7.371,,1.351999,119.963001,,40.861,40.861,,,,0.0,0.0,0.0,0.0,,,73.244003,,,73.244003,114.105003,0.0,0.0,0.0,0.0,,20.572001,,,,,,20.572001,20.572001,134.677004,0.0,26.372999,,,0.0,,282.77301,309.146009,3.731,312.877009,447.554013,
01/04/2003,482.526001,117.924,112.348,5.576,86.350998,,,121.822998,9.481,2.417,109.925003,0.0,29.541,,,,,355.639008,103.112,143.009995,-39.897999,0.0,,23.775,21.849001,15.526,6.323001,,1.925999,126.886999,,32.999001,32.999001,,,,2.505,2.505,0.0,0.0,,,78.957997,,,78.957997,114.461998,0.0,0.0,0.0,0.0,,23.599001,,,,,,23.599001,23.599001,138.060999,0.0,27.559999,,,0.0,311.019012,1.961975,340.540987,3.924,344.464987,482.525986,
04/05/2003,478.893,117.133,111.705,5.428,80.525,80.525,,122.215,6.956,2.492,112.766998,0.0,26.887,,,,,346.76,107.655,,,0.0,,24.478,22.191999,0.0,22.191999,2.286,1e-06,132.133,,29.832,29.832,,,,2.505,2.505,0.0,0.0,,,65.565,,,65.565,97.902,0.0,0.0,0.0,0.0,,27.482,,,,,,27.482,27.482,125.384,0.0,29.422,,,0.0,323.16,-2.825,349.757,3.752,353.509,478.893,
07/05/2003,489.502,132.464,126.905,5.559,71.292,71.292,,118.96,7.22,2.679,109.060997,0.0,30.345,,,,,353.061,111.427,,,0.0,,25.014,22.368999,0.0,22.368999,2.645,1e-06,136.441,,22.27,22.27,,,,2.541,2.541,0.0,0.0,,,67.33,,,67.33,92.141,0.0,0.0,0.0,0.0,,30.606,,,,,,30.606,30.606,122.747,0.0,30.539,,,0.0,333.550995,-0.961995,363.128,3.627,366.755,489.502,
10/04/2003,531.114,106.83,101.021,5.809,117.567,117.567,,139.179,8.721,2.566,127.891998,0.0,28.661,,,,,392.237,113.24,,,0.0,,25.637,22.733,0.0,22.733,2.904,0.0,138.877,,27.347,27.347,,,,7.335,7.335,0.0,0.0,,,76.349,,,76.349,111.031,0.0,0.0,0.0,0.0,,35.007,,,,,,35.007,35.007,146.038,0.0,28.394,,,0.0,350.350006,1.693994,380.438,4.638,385.076,531.114,
01/03/2004,587.541016,164.052997,158.061996,5.991,119.851997,,,126.789001,8.76,4.385,113.643997,0.0,28.625999,,,,,439.320007,116.066002,173.472,-57.405998,0.0,,32.154999,27.52,17.136,10.384001,,4.634998,148.221001,,32.362,32.362,,,,2.805,2.805,0.0,0.0,,,90.592003,,,90.592003,125.759003,0.0,0.0,0.0,0.0,,32.861,,,,,,32.861,32.861,158.620003,0.0,26.347,,,0.0,379.354004,17.725006,423.42601,5.495,428.92101,587.541013,
04/03/2004,595.979004,162.638994,156.524994,6.114,112.583,112.583,,142.307999,8.904,2.11,131.294006,0.0,31.576,,,,,449.105988,114.362999,,,0.0,,32.509998,27.499001,0.0,27.499001,5.011,-2e-06,146.872997,,20.73,20.73,,,,2.871,,,,,,87.458998,,,87.458998,111.059998,0.0,,,,,39.688999,,,,,,39.688999,39.688999,150.748997,0.0,31.808001,,,0.0,395.699005,12.958008,440.465014,4.765,445.230013,595.97901,
07/03/2004,637.901978,142.029006,136.072006,5.957,105.324997,105.325,,162.186005,11.906,4.041,146.238998,0.0,34.914001,,,,,444.45401,118.634003,,,0.0,,74.814003,3.02,57.887001,-54.867001,5.392,66.402003,193.448006,,19.278999,19.278999,,,,2.863,2.768,0.095,0.095,,,111.796004,,,111.796004,133.938004,1.415,0.0,1.415,1.415,,41.487,,,,,,41.487,42.901999,176.840003,0.0,36.231998,,,0.0,411.479004,8.105011,455.816013,5.246,461.062013,637.902016,
10/02/2004,690.506,103.64,97.465,6.175,143.158,143.158,,208.054,14.008,4.4,153.726,35.92,42.458,,,,,497.31,118.904,,,,,74.292,68.445,57.086,11.359,5.847,0.0,193.196,,49.81,49.81,,,,2.829,,,,,,116.865,,,116.865,169.504,1.411,0.0,1.411,1.411,,26.122,,,,,,26.122,27.533,197.037,,42.212,,,,434.851,10.483,487.546,5.923,493.469,690.506,
01/01/2005,783.824,191.707,185.43,6.277,155.301,155.301,,179.167,11.555,3.703,163.909,0.0,47.092,,,,,573.267,122.86,200.851,-77.991,,,87.697,80.679,39.812,40.867,7.018,0.0,210.557,,48.861,48.861,,,,27.085,26.924,0.161,0.161,,,134.157,,,134.157,210.103,1.487,0.0,1.487,1.487,,42.052,,,,,,42.052,43.539,253.642,,39.756,,,0.0,469.923,14.321,524.0,6.182,530.182,783.824,
04/02/2005,749.213,149.110007,142.807007,6.303,130.309006,130.309006,,195.623001,13.053,2.599,179.970993,0.0,62.548,,,,,537.590027,121.862,,,0.0,,89.761,82.660004,42.015999,40.644005,7.101,-4e-06,211.623,,42.178001,42.178001,,,,2.924,,,,,,129.968006,,,129.968006,175.070007,1.411,0.0,1.411,1.411,,21.872999,,,,,,21.872999,23.283999,198.354007,0.0,40.723,,,0.0,493.816986,11.610016,546.150002,4.709,550.859002,749.213008,
07/02/2005,736.463,132.786,126.281,6.505,117.943,117.943,,218.365,19.145,4.195,195.025,0.0,54.395,,,,,523.489,124.782,,,0.0,,88.192,81.464,40.882,40.582,6.728,0.0,212.974,,46.636,46.636,,,,3.721,3.721,0.0,0.0,,,118.852,,,118.852,169.209,1.271,0.0,1.271,1.271,,20.304,,,,,,20.304,21.575,190.784,0.0,33.301,,,0.0,503.47,4.639,541.41,4.269,545.679,736.463,
10/01/2005,798.392,88.64,82.137,6.503,151.823,151.823,,261.069,18.697,17.681,224.691,0.0,62.135,,,,,563.667,144.099,,,8.679,,81.947,81.947,40.99,40.957,,0.0,234.725,,62.383,62.383,,,,14.147,,,,,,121.791,,,121.791,198.321,1.241,0.0,1.241,1.241,,31.372,,,,,,31.372,32.613,230.934,,30.477,,,0.0,525.817,5.233,561.527,5.931,567.458,798.392,
12/31/2005,745.142,64.775,58.222,6.553,141.193,141.193,,241.009,14.763,4.807,233.836,-12.397,60.195,,,,,507.172,147.243,231.049,-83.806,9.352,,81.375,81.375,40.667,40.708,,0.0,237.97,,60.628,60.628,,,,8.552,8.552,0.0,0.0,,,111.49,,,111.49,180.67,0.0,0.0,0.0,0.0,,35.628,,,,,,35.628,35.628,216.298,,48.358,,,0.0,475.504,2.455,526.317,2.527,528.844,745.142,
04/08/2006,764.631,68.012,61.179,6.833,122.828,122.828,,253.986,12.393,2.758,238.835,0.0,66.697,,,,,511.523,157.098,,,0.0,,96.01,86.166,41.891,44.275,,9.844,253.108,,49.592,49.592,,,,46.774,,,,,,111.558,,,111.558,207.924,0.0,,,,,36.609,,,,,,36.609,36.609,244.533,0.0,33.007,,,-0.845,475.7,9.038,516.9,3.198,520.098,764.631,
07/08/2006,796.997,78.335,71.473,6.862,128.477005,128.477005,,264.639008,13.067,3.206,248.365997,0.0,64.512001,,,,,535.963013,163.195999,,,0.0,,97.838,87.382004,42.806999,44.575005,10.456,-4e-06,261.033999,,56.080002,56.080002,,,,52.132999,,,,,,113.387005,,,113.387005,221.600006,0.0,,,,,36.666,,,,,,36.666,36.666,258.266006,0.0,34.715,,,-0.988,484.34201,16.333001,534.402012,4.329,538.731012,796.997018,
01/06/2007,852.597,140.198,133.304,6.894,155.236,155.236,,228.225,9.786,1.691,228.822,-12.074,57.329,,,,,580.988,171.499,280.682,-109.183,10.855,,89.255,89.255,43.038,46.217,,0.0,271.609,,53.306,53.306,,,,11.338,,,,,,158.736,,,158.736,223.38,,,,,,22.914,,,,,,22.914,22.914,246.294,,54.137,,,-1.337,529.376,20.025,602.201,4.102,606.303,852.597,
04/07/2007,874.945007,148.747004,141.548004,7.199,151.886002,151.886002,,235.626999,7.681,1.659,238.498001,-12.211,65.813004,,,,,602.072998,169.899994,283.944,-114.043999,11.866,,91.106003,91.106003,44.638,46.468002,,0.0,272.871997,,46.401001,46.401001,,,,11.474,,,,,,131.466994,,,131.466994,189.341995,0.0,,,,,52.859001,,,,,,52.859001,52.859001,242.200996,0.0,57.619999,,,-1.994,550.257996,23.616986,629.50098,3.243,632.74398,874.944977,
07/07/2007,915.312012,177.904994,169.690994,8.214,151.313995,151.313995,,237.843002,9.983,2.385,237.841995,-12.367,69.486,,,,,636.547974,172.231995,293.088989,-120.857002,12.003,,94.528999,94.528999,45.173,49.355999,,0.0,278.763994,,58.200001,58.200001,,,,9.548,,,,,,136.888,,,136.888,204.636002,0.0,,,,,56.311001,,,,,,56.311001,56.311001,260.947002,0.0,62.918999,,,-2.347,562.935974,26.408035,649.916008,4.449,654.365008,915.31201,
10/06/2007,1027.478,193.357,184.762,8.595,203.447,203.447,,266.225,15.734,3.411,260.231,-13.151,77.423,,,,,740.452,178.213,306.0,-127.787,12.953,,95.86,95.86,45.395,50.465,,0.0,287.026,,86.68,86.68,,,,11.872,,,,,,150.926,,,150.926,249.478,3.396,,,,,61.401,,,,,,61.401,64.797,314.275,,84.987,,,-0.458,593.389,30.454,708.372,4.831,713.203,1027.478,
01/05/2008,1122.628,267.87,255.244,12.626,227.481,227.481,,248.448,15.615,5.129,240.923,-13.219,81.018,,,,,824.817,186.042,320.889,-134.847,13.902,,97.867,97.867,45.485,52.382,,0.0,297.811,,111.015,111.015,,,,9.993,,,,,,157.399,,,157.399,278.407,3.452,,,,,62.98,,,,,,62.98,66.432,344.839,,88.697,,,0.0,646.492,36.473,771.662,6.127,777.789,1122.628,
