Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/24/2010,19973,1150,1150,0,1730,1730,0.0,1410,322.0,324,764,0,1045,34.0,,,1029.0,5335,2611,,,0,12027,10558,7667,2891,1435,14638,,2280,583,424.0,,1273.0,4,0,4.0,4.0,,108,,169.0,,90,2392,4356,4356,,,3911,,,,,3742,8267,10659,0,6711.0,102.0,6609.0,-585.0,2870.0,318,9314,0,9314,19973,
03/25/2011,20499,1629,1629,0,1844,1844,0.0,1475,328.0,336,811,0,995,35.0,,,975.0,5943,2631,,,0,11925,10548,7692,2856,1342,14556,,2424,564,372.0,,1488.0,5,0,5.0,5.0,,152,,171.0,,119,2581,4241,4241,,,3872,,,,,3701,8113,10694,0,6789.0,102.0,6687.0,-583.0,3128.0,471,9805,0,9805,20499,
06/24/2011,20733,1755,1755,0,1880,1880,0.0,1528,328.0,339,861,0,987,11.0,,,975.0,6150,2685,,,0,11898,10523,7700,2823,1364,14583,,2248,603,288.0,,1357.0,96,90,6.0,6.0,,186,,,,162,2530,4070,4070,,,3890,,,,,3890,7960,10490,0,6915.0,103.0,6812.0,-859.0,3663.0,524,10243,0,10243,20733,
09/30/2011,20374,1503,1503,0,1744,1744,0.0,1513,316.0,310,887,0,1013,0.0,,182.0,443.0,5773,2705,5335.0,-2630.0,0,11896,10447,7683,2764,1267,14601,,2389,576,0.0,0.0,1813.0,11,0,6.0,6.0,5.0,0,0.0,25.0,745.0,0,2400,4197,4154,43.0,43.0,3960,0.0,308.0,308.0,0.0,2882,8157,10557,0,6947.0,103.0,6844.0,-1436.0,3908.0,398,9817,0,9817,20374,
12/30/2011,20585,1767,1767,0,1782,1782,0.0,1552,348.0,312,892,0,929,,,,892.0,6030,2734,,,0,11821,10374,7667,2707,1447,14555,,1774,539,63.0,,1172.0,510,0,,,510.0,128,,,,105,2412,3925,3925,,,4007,,,,,4007,7932,10344,0,6979.0,103.0,6876.0,-1441.0,4401.0,302,10241,0,10241,20585,
03/30/2012,21154,1663,1663,0,1874,1874,0.0,1640,356.0,351,933,0,905,,,,883.0,6082,2769,,,0,12303,10797,7961,2836,1506,15072,,2086,591,50.0,,1445.0,511,0,,,511.0,46,,,,29,2643,3824,3824,,,4156,,,,,4156,7980,10623,0,7081.0,103.0,6978.0,-1594.0,4682.0,362,10531,0,10531,21154,
06/29/2012,22114,1935,1935,0,1662,1662,0.0,1723,365.0,369,989,0,938,,,,904.0,6258,2806,,,0,13050,11566,8486,3080,1484,15856,,2038,596,51.0,,1391.0,511,0,,,511.0,47,,12.0,,25,2596,4574,4574,,,4232,,,,,4220,8806,11402,0,7167.0,104.0,7063.0,-1821.0,5135.0,231,10712,0,10712,22114,
09/28/2012,22257,1866,1866,0,1702,1702,0.0,1772,359.0,355,1058,0,932,0.0,,193.0,325.0,6272,2872,5780.0,-2908.0,0,13113,11627,8542,3085,1293,15985,,2403,589,53.0,,1761.0,509,0,6.0,6.0,503.0,0,0.0,34.0,828.0,0,2912,4531,4494,37.0,37.0,4249,0.0,309.0,309.0,0.0,3078,8780,11692,0,7283.0,104.0,7179.0,-2368.0,5365.0,285,10565,0,10565,22257,
12/28/2012,22049,1399,1399,0,1763,1763,0.0,1835,411.0,348,1076,0,998,,,,972.0,5995,2898,,,0,13156,11670,8562,3108,1486,16054,,1939,590,,,1349.0,515,0,,,515.0,29,,,,0,2483,4569,4569,,,4165,,,,,4165,8734,11217,0,7413.0,97.0,7316.0,-759.0,3875.0,303,10832,0,10832,22049,
03/29/2013,22610,1683,1683,0,1830,1830,0.0,1820,393.0,343,1084,0,1001,,,,953.0,6334,2916,,,0,13360,11898,8694,3204,1462,16276,,2338,582,,,1756.0,515,0,,,515.0,22,,,,0,2875,4562,4562,,,4197,,,,,4197,8759,11634,0,7528.0,97.0,7431.0,-960.0,4192.0,216,10976,0,10976,22610,
06/28/2013,20215,2119,2119,0,1562,1562,0.0,1346,294.0,162,890,0,1185,,,,1144.0,6212,1967,4495.0,-2528.0,0,12036,10884,8156,2728,1152,14003,,2428,469,687.0,,1272.0,13,0,,,13.0,18,,,,0,2459,5063,5063,,,3022,0.0,,,,3022,8085,10544,0,7587.0,97.0,7490.0,-1582.0,3437.0,229,9671,0,9671,20215,
09/27/2013,19918,1868,1868,0,1526,1526,0.0,1352,289.0,169,894,0,1121,,,163.0,657.0,5867,2012,4547.0,-2535.0,0,12039,10859,8172,2687,1017,14051,,2628,501,541.0,,1586.0,11,0,0.0,0.0,11.0,0,0.0,48.0,605.0,0,2639,5018,5018,0.0,0.0,3019,0.0,152.0,152.0,0.0,2214,8037,10676,0,7646.0,97.0,7549.0,-2210.0,3514.0,292,9242,0,9242,19918,
12/27/2013,19619,1581,1581,0,1602,1602,0.0,1354,297.0,167,890,0,1303,,,,1283.0,5840,2001,,,0,11778,10674,8125,2549,1104,13779,,2192,493,493.0,,1206.0,6,0,,,6.0,27,,,,0,2225,5016,5016,,,2982,,,,,2982,7998,10223,0,7726.0,98.0,7628.0,-2522.0,3912.0,280,9396,0,9396,19619,
03/28/2014,20507,1178,1178,0,1552,1552,0.0,1419,320.0,170,929,0,1230,,,,1212.0,5379,2033,,,0,13095,11975,8752,3223,1120,15128,,2613,511,654.0,,1448.0,6,0,,,6.0,24,,,,0,2643,5015,5015,,,3227,,,,,3227,8242,10885,0,7818.0,90.0,7728.0,-136.0,1605.0,275,9562,60,9622,20507,
06/27/2014,20223,1228,1228,0,1558,1558,0.0,1428,322.0,174,932,0,866,,,,849.0,5080,2059,,,0,13084,11927,8752,3175,1157,15143,,1782,501,7.0,,1274.0,1007,0,,,1007.0,16,,,,0,2805,4042,4042,,,3363,,,,,3363,7405,10210,0,7891.0,90.0,7801.0,-136.0,1911.0,288,9954,59,10013,20223,
09/26/2014,20701,1567,1567,0,1532,1532,0.0,1408,319.0,170,919,0,947,10.0,,193.0,437.0,5454,2024,4580.0,-2556.0,0,13223,12133,8851,3282,887,15247,,2279,501,,,1778.0,1009,0,0.0,0.0,1009.0,0,0.0,12.0,691.0,0,3288,4035,4035,0.0,0.0,3258,0.0,177.0,177.0,0.0,2378,7293,10581,0,7933.0,91.0,7842.0,-139.0,2121.0,145,10060,60,10120,20701,
12/26/2014,20615,1818,1818,0,1451,1451,0.0,1422,335.0,178,909,0,896,28.0,,,788.0,5587,1984,,,0,13044,12032,8823,3209,984,15028,,1905,473,,,1432.0,1010,0,,,1010.0,0,,21.0,,0,2915,4051,4051,,,3215,,,,,3194,7266,10181,0,8036.0,91.0,7945.0,-164.0,2469.0,31,10372,62,10434,20615,
