Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/29/1997,21005,2363,2237,126,3651,,,2630,732.0,412.0,1486.0,,1626,,,,,10270,5485,9118,-3633,379,,4871,3279.0,,,,1592,10735,,1447,1447,,,,804,,,,,,3061,,,3061,5312,1265,,,,,2706,,,,2706,3971,9283,0.0,1535,,,-1543.0,,11730.0,11722,0.0,11722,21005,
09/28/1997,21677,3116,2994,122,3628,,,2633,693.0,491.0,1449.0,,1762,,,,,11139,5484,9242,-3758,342,,4712,3276.0,,,,1436,10538,,1412,1412,,,,839,,,,,,3229,,,3229,5480,1257,,,,,2758,,,,2758,4015,9495,0.0,1535,,,-1520.0,,12167.0,12182,0.0,12182,21677,
12/28/1997,21453,2899,2753,146,3329,,,2516,655.0,417.0,1444.0,0.0,1819,,,,,10563,5810,9444,-3634,385,,4695,3261.0,1957.0,1304.0,,1434,10890,,1753,1753,,,,714,714.0,0.0,0.0,,,2816,,,2816,5283,1126,1126.0,0.0,0.0,,2685,,,,2685,3811,9094,0.0,1535,,,-1408.0,,12232.0,12359,0.0,12359,21453,
03/29/1998,21915,3021,2893,128,3500,,,2710,740.0,401.0,1569.0,,1903,,,,,11134,5668,9460,-3792,385,,4728,3303.0,,,,1425,10781,,1483,1483,,,,570,,,,,,3162,,,3162,5215,1124,,,,,2771,,,,2771,3895,9110,0.0,1535,,,-1433.0,,12703.0,12805,0.0,12805,21915,
06/28/1998,22308,3230,3114,116,3514,,,2703,778.0,378.0,1547.0,,1893,,,,,11340,5792,9687,-3895,385,,4791,3280.0,,,,1511,10968,,1517,1517,,,,565,,,,,,3057,,,3057,5139,1112,,,,,2745,,,,2745,3857,8996,0.0,1535,,,-1432.0,,13209.0,13312,0.0,13312,22308,
09/27/1998,23333,3826,3742,84,3724,,,2897,890.0,440.0,1567.0,,1729,,,,,12176,5975,10068,-4093,382,,4800,3297.0,,,,1503,11157,,1487,1487,,,,575,,,,,,3338,,,3338,5400,1117,,,,,2878,,,,2878,3995,9395,0.0,1535,,,-1433.0,,13836.0,13938,0.0,13938,23333,
01/03/1999,27292,2783,1994,789,3752,,,2898,776.0,510.0,1612.0,0.0,2053,,,,,11486,6395,10269,-3874,437,,8974,7364.0,,,,1610,15806,,1877,1877,,,,2753,,,,,,3663,,,3663,8293,1729,,,,,3193,,,,3193,4922,13215,0.0,1535,,,-1060.0,,13602.0,14077,0.0,14077,27292,
04/04/1999,26746,2585,1780,805,3935,,,2963,767.0,476.0,1720.0,0.0,2135,,,,,11618,6072,10238,-4166,418,,8638,7489.0,,,,1149,15128,,1587,1587,,,,2489,,,,,,3790,,,3790,7866,1346,,,,,3312,,,,3312,4658,12524,0.0,1535,,,-1370.0,,14057.0,14222,0.0,14222,26746,
07/04/1999,27126,2835,2024,811,4173,4173.0,,2968,836.0,462.0,1670.0,,2175,,,,,12151,6013,10273,-4260,409,409.0,8553,7335.0,,,,1218,14975,,1609,1609,,,,2566,,,,,,3711,,,3711,7886,1210,,,,,3286,,,,3286,4496,12382,0.0,1535,,,-1514.0,15259.0,-536.0,14744,0.0,14744,27126,
10/03/1999,28108,3593,2617,976,4187,,,3091,863.0,494.0,1734.0,,1986,,,,,12857,6211,10754,-4543,399,,8641,,,,,8641,15251,,1576,1576,,,,1247,,,,,,4157,,,4157,6980,1992,,,,,3752,,,,3752,5744,12724,0.0,1535,,,-1521.0,,13849.0,13863,0.0,13863,26587,
01/02/2000,29163,3879,2363,1516,4233,4233.0,,3095,663.0,416.0,2016.0,0.0,1993,,,,,13200,6719,11046,-4327,441,441.0,8803,7571.0,3846.0,3725.0,,1232,15963,,2003,2003,,,,1806,,,,,,3645,,,3645,7454,2450,,,,,3046,,,,3046,5496,12950,0.0,1535,,,-1077.0,16192.0,-437.0,16213,0.0,16213,29163,
04/02/2000,29963,4200,2663,1537,4365,4365.0,,3052,596.0,450.0,2006.0,,2359,,,,,13976,6649,11073,-4424,421,,8917,7528.0,,,,1389,15987,,1724,1724,,,,1217,,,,,,4187,,,4187,7128,2443,,,,,3242,,,,3242,5685,12813,,1535,,,-1082.0,17076.0,-379.0,17150,,17150,29963,
07/02/2000,30305,4499,2937,1562,4441,,,3060,510.0,480.0,2070.0,0.0,2366,,,,,14366,6692,11263,-4571,398,,8849,7395.0,,,,1454,15939,,1785,1785,,,,870,,,,,,3950,,,3950,6605,2434,,,,,3287,,,,3287,5721,12326,0.0,1535,,,-1010.0,,17454.0,17979,0.0,17979,30305,
10/01/2000,30784,5587,3550,2037,4212,,,3022,709.0,389.0,1924.0,0.0,2404,,,,,15225,6619,11207,-4588,246,,8694,7289.0,,,,1405,15559,,1728,1728,,,,895,,,,,,4042,,,4042,6665,2417,,,,,3216,,,,3216,5633,12298,0.0,1535,,,-1080.0,,18031.0,18486,0.0,18486,30784,
12/31/2000,34245,6757,4278,2479,4601,4601.0,,2905,718.0,480.0,1707.0,0.0,2428,,,,,16691,7409,11866,-4457,657,657.0,9488,7535.0,3837.0,3698.0,,1953,17554,,2122,2122,,,,1489,,,,,,3644,,,3644,7255,3163,,,,,3432,,,,3432,6595,13850,0.0,3120,,,-342.0,18113.0,-496.0,20395,0.0,20395,34245,
04/01/2001,31875,5900,3647,2253,4606,4606.0,,2810,726.0,478.0,1606.0,,3105,,,,,16421,6758,11134,-4376,243,243.0,8453,7164.0,,,,1289,15454,,1928,1928,,,,901,,,,,,3991,,,3991,6820,1571,,,,,3392,,,,3392,4963,11783,,1535,,,-916.0,20067.0,-594.0,20092,,20092,31875,
07/01/2001,36101,7519,4722,2797,4805,,,2913,760.0,538.0,1615.0,0.0,2954,,,,,18191,7203,11936,-4733,1143,,9564,7616.0,,,,1948,17910,,2049,2049,,,,924,,,,,,4373,,,4373,7346,2491,,,,,3553,,,,3553,6044,13390,0.0,3120,,,-296.0,,19887.0,22711,0.0,22711,36101,
09/30/2001,37053,8214,5066,3148,4960,,,3007,694.0,571.0,1742.0,0.0,2898,,,,,19079,7338,12357,-5019,1146,,9490,7532.0,,,,1958,17974,,2173,2173,,,,639,,,,,,4692,,,4692,7504,2187,,,,,3628,,,,3628,5815,13319,0.0,3120,,,-303.0,,20917.0,23734,0.0,23734,37053,
12/30/2001,38488,7972,3758,4214,4630,4630.0,,2992,842.0,605.0,1545.0,0.0,2879,,,,,18473,7719,12458,-4739,969,969.0,11327,9077.0,4571.0,4506.0,,2250,20015,,2838,2838,,,,565,,,,,,4641,,,4641,8044,2217,,,,,3994,,,,3994,6211,14255,0.0,3120,,,-1393.0,23066.0,-560.0,24233,0.0,24233,38488,
03/31/2002,38296,7413,3437,3976,4740,,,3103,973.0,635.0,1495.0,0.0,3159,,,,,18415,7655,12561,-4906,937,,11289,9016.0,4419.0,4597.0,,2273,19881,,2358,2358,,,,669,,,,,,5274,,,5274,8301,2225,,,,,4047,,,,4047,6272,14573,0.0,3120,,,-2788.0,,23391.0,23723,0.0,23723,38296,
06/30/2002,38351,6857,2606,4251,5408,,,3352,1031.0,703.0,1618.0,0.0,3237,,,,,18854,8048,13393,-5345,176,,11273,9265.0,4661.0,4604.0,,2008,19497,,2883,2883,,,,2540,,,,,,5144,,,5144,10567,2129,,,,,3764,,,,3764,5893,16460,0.0,3120,,,-5371.0,,24142.0,21891,0.0,21891,38351,
09/29/2002,38663,7245,3161,4084,5395,,,3255,1036.0,644.0,1575.0,0.0,3106,,,,,19001,8175,13698,-5523,183,,11304,9273.0,4631.0,4642.0,,2031,19662,,2503,2503,,,,2381,,,,,,5817,,,5817,10701,2102,,,,,3775,,,,3775,5877,16578,0.0,3120,,,-6100.0,,25065.0,22085,0.0,22085,38663,
12/29/2002,40556,7475,2894,4581,5399,,,3303,835.0,803.0,1665.0,0.0,3089,,,,,19266,8710,14314,-5604,121,,12459,9246.0,4653.0,4593.0,,3213,21290,,3621,3621,,,,2117,,,,,,5711,,,5711,11449,2022,,,,,4388,,,,4388,6410,17859,0.0,3120,,,-6127.0,,25704.0,22697,0.0,22697,40556,
03/30/2003,41994,7847,3061,4786,5836,5836.0,,3541,896.0,860.0,1785.0,0.0,3247,,,,,20471,8799,14899,-6100,121,,12603,9425.0,4783.0,4642.0,,3178,21523,,3077,3077,,,,2103,,,,,,6277,,,6277,11457,2004,,,,,4497,,,,4497,6501,17958,0.0,3120,,,-6100.0,27852.0,-836.0,24036,0.0,24036,41994,
06/29/2003,45653,7862,2968,4894,6426,,,3680,931.0,894.0,1855.0,0.0,3407,,,,,21375,9064,15565,-6501,124,,15090,11710.0,5359.0,6351.0,,3380,24278,,3589,3589,,,,3254,,,,,,5993,,,5993,12836,3164,,,,,5216,,,,5216,8380,21216,0.0,3120,,,-6175.0,28200.0,-708.0,24437,0.0,24437,45653,
09/28/2003,46659,8848,3850,4998,6399,,,3739,946.0,909.0,1884.0,0.0,3160,,,,,22146,9245,16054,-6809,120,,15148,11679.0,5383.0,6296.0,,3469,24513,,3660,3660,,,,2024,,,,,,7098,,,7098,12782,3149,,,,,4990,,,,4990,8139,20921,0.0,3120,,,-6136.0,29500.0,-746.0,25738,0.0,25738,46659,
12/28/2003,48263,9523,5377,4146,6574,,,3588,966.0,981.0,1641.0,0.0,3310,,,,,22995,9846,17052,-7206,84,,15338,11539.0,5390.0,6149.0,,3799,25268,,4966,4966,,,,1139,,,,,,7343,,,7343,13448,2955,,,,,4991,,,,4991,7946,21394,0.0,3120,,,-6146.0,30503.0,-608.0,26869,0.0,26869,48263,
03/28/2004,48868,10361,5637,4724,6772,6772.0,,3522,1079.0,1229.0,1214.0,,3709,,,,,24364,9669,17104,-7435,70,70.0,14765,11442.0,5370.0,6072.0,,3323,24504,,3782,3782,,,,594,,,,,,8073,,,8073,12449,2961,,,,,4964,,,,4964,7925,20374,,3120,,,-6170.0,32153.0,-609.0,28494,,28494,48868,
06/27/2004,50171,10786,5681,5105,7142,7142.0,,3528,1052.0,1114.0,1362.0,0.0,3201,,,,,24657,9557,17257,-7700,62,62.0,15895,11805.0,5570.0,6235.0,,4090,25514,,3829,3829,,,,491,,,,,,7742,,,7742,12062,2962,,,,,5095,,,,5095,8057,20119,,3120,,,-6158.0,33627.0,-537.0,30052,,30052,50171,
09/26/2004,52089,13094,7348,5746,6939,6939.0,,3669,1087.0,1048.0,1534.0,0.0,3114,,,,,26816,9595,17632,-8037,62,62.0,15616,11728.0,5578.0,6150.0,,3888,25273,,3646,3646,,,,454,,,,,,8229,,,8229,12329,2961,,,,,5286,,,,5286,8247,20576,,3120,,,-6127.0,35022.0,-502.0,31513,,31513,52089,
01/02/2005,53317,12884,9203,3681,6831,6831.0,,3744,964.0,1113.0,1667.0,0.0,3861,,,,,27320,10436,18664,-8228,46,,15515,11842.0,5863.0,5979.0,,3673,25997,,5227,5227,,,,280,,,,,,8420,,,8420,13927,2565,,,,,5012,,,,5012,7577,21504,0.0,3120,,,-6004.0,35223.0,-526.0,31813,0.0,31813,53317,
04/03/2005,54446,13650,8539,5111,7336,7336.0,,3814,1267.0,1051.0,1496.0,0.0,3966,,,,,28766,10237,18666,-8429,48,48.0,15395,11818.0,5819.0,5999.0,,3577,25680,,4038,4038,,,,319,,,,,,8624,,,8624,12981,2459,,,,,5352,,,,5352,7811,20792,0.0,3120,,,-6118.0,37300.0,-648.0,33654,0.0,33654,54446,
07/03/2005,54553,13161,12156,1005,7379,7379.0,,3963,1193.0,1134.0,1636.0,0.0,4217,,,,,28720,10091,18672,-8581,49,49.0,15693,12195.0,6002.0,6193.0,,3498,25833,,3949,3949,,,,304,,,,,,7387,,,7387,11640,2329,,,,,5415,,,,5415,7744,19384,0.0,3120,,,-5999.0,38853.0,-805.0,35169,0.0,35169,54553,
10/02/2005,56574,15179,14825,354,7154,7154.0,,4015,1246.0,1021.0,1748.0,0.0,4228,,,,,30576,10227,19086,-8859,44,44.0,15727,12086.0,6019.0,6067.0,,3641,25998,,3684,3684,,,,278,,,,,,8085,,,8085,12047,2139,,,,,5541,,,,5541,7680,19727,0.0,3120,,,-5944.0,40422.0,-751.0,36847,0.0,36847,56574,
01/01/2006,58864,16138,16055,83,7010,7010.0,,3959,931.0,1073.0,1955.0,0.0,4373,,,,,31480,10830,19716,-8886,20,,16534,12175.0,5990.0,6185.0,,4359,27384,,4315,4315,,,,668,,,,,,7652,,,7652,12635,2017,,,,,5502,,,,5502,7519,20154,0.0,3120,,,-5965.0,42310.0,-755.0,38710,0.0,38710,58864,
04/02/2006,62133,17185,16822,363,7671,7671.0,,4240,1078.0,1038.0,2124.0,0.0,4656,,,,,33752,10951,20151,-9200,20,20.0,17410,12898.0,6460.0,6438.0,,4512,28381,,3939,3939,,,,828,,,,,,8425,,,8425,13192,1980,,,,,5838,,,,5838,7818,21010,0.0,3120,,,-6077.0,44713.0,-633.0,41123,0.0,41123,62133,
07/02/2006,60990,14725,14647,78,8162,8162.0,,4313,1124.0,1067.0,2122.0,0.0,4314,,,,,31514,11287,20965,-9678,21,21.0,18168,13274.0,6657.0,6617.0,,4894,29476,,4089,4089,,,,654,,,,,,7446,,,7446,12189,1981,,,,,6078,,,,6078,8059,20248,0.0,3120,,,-8358.0,46530.0,-550.0,40742,0.0,40742,60990,
10/01/2006,61238,14692,14491,201,7978,7978.0,,4449,1143.0,1161.0,2145.0,0.0,4167,,,,,31286,11462,21490,-10028,16,16.0,18474,13331.0,6769.0,6562.0,,5143,29952,,3964,3964,,,,362,,,,,,7737,,,7737,12063,2007,,,,,6595,,,,6595,8602,20665,0.0,3120,,,-10218.0,48210.0,-539.0,40573,0.0,40573,61238,
12/31/2006,70556,4084,4083,1,8712,8712.0,,4889,980.0,1253.0,2656.0,0.0,5290,,,,,22975,13044,24028,-10984,16,16.0,34521,28688.0,13340.0,15348.0,,5833,47581,,5691,5691,,,,4579,,,,,,8891,,,8891,19161,2014,,,,,10063,,,,10063,12077,31238,0.0,3120,,,-10974.0,49290.0,-2118.0,39318,0.0,39318,70556,
04/01/2007,73066,5191,5175,16,9293,9293.0,,5047,1046.0,1627.0,2374.0,0.0,5142,,,,,24673,13180,24239,-11059,14,14.0,35199,29231.0,13663.0,15568.0,,5968,48393,,5643,5643,,,,4682,,,,,,9338,,,9338,19663,2012,,,,,10463,,,,10463,12475,32138,0.0,3120,,,-10918.0,50850.0,-2124.0,40928,0.0,40928,73066,
07/01/2007,74683,5971,5571,400,9470,9470.0,,5155,1073.0,1296.0,2786.0,0.0,5208,,,,,25804,13385,24930,-11545,17,17.0,35477,29166.0,13754.0,15412.0,,6311,48879,,5458,5458,,,,4470,,,,,,9055,,,9055,18983,2013,,,,,10565,,,,10565,12578,31561,0.0,3120,,,-10919.0,52819.0,-1898.0,43122,0.0,43122,74683,
09/30/2007,78665,8320,6640,1680,9384,9384.0,,5414,891.0,1887.0,2636.0,0.0,5823,,,,,28941,13613,25699,-12086,8,8.0,36103,29508.0,14040.0,15468.0,,6595,49724,,5963,5963,,,,3264,,,,,,10101,,,10101,19328,4633,,,,,11131,,,,11131,15764,35092,0.0,3120,,,-12210.0,54197.0,-1534.0,43573,0.0,43573,78665,
12/30/2007,80954,9315,7770,1545,9444,9444.0,,5110,905.0,1384.0,2821.0,0.0,6076,,,,,29945,14185,26466,-12281,2,,36822,28763.0,14123.0,14640.0,,8059,51009,,6909,6909,,,,2463,,,,,,10465,,,10465,19837,7074,,,,,10724,,,,10724,17798,37635,0.0,3120,,,-14388.0,55280.0,-693.0,43319,0.0,43319,80954,
03/30/2008,85995,11144,10539,605,10384,10384.0,,5575,1023.0,1846.0,2706.0,0.0,6715,,,,,33818,14486,27415,-12929,3,3.0,37688,29433.0,14615.0,14818.0,,8255,52177,,7487,7487,,,,4250,,,,,,10334,,,10334,22071,7166,,,,,11133,,,,11133,18299,40370,0.0,3120,,,-15815.0,57811.0,509.0,45625,0.0,45625,85995,
06/29/2008,88113,13058,12646,412,10539,10539.0,,5700,1137.0,1764.0,2799.0,0.0,6520,,,,,35817,14627,27989,-13362,3,3.0,37666,29201.0,14526.0,14675.0,,8465,52296,,6623,6623,,,,5156,,,,,,10001,,,10001,21780,8770,,,,,11128,,,,11128,19898,41678,0.0,3120,,,-17206.0,59960.0,561.0,46435,0.0,46435,88113,
09/28/2008,87724,14799,14018,781,10156,10156.0,,5473,943.0,1655.0,2875.0,0.0,6162,,,,,36590,14355,27601,-13246,2,2.0,36777,28571.0,14275.0,14296.0,,8206,51134,,6384,6384,,,,6245,,,,,,10101,,,10101,22730,8395,,,,,10865,,,,10865,19260,41990,0.0,3120,,,-18334.0,61878.0,-930.0,45734,0.0,45734,87724,
