Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2006,-5.825,117.7,43.41,-79.334,,21.819,-101.153,-87.601,1.101,,-88.702,,-78.23,-77.634,0.0,,,-77.634,,,0.0,0.0,0.0,,,,,-0.596,105.525,-56.738,3146.157,,,,0.0,0.0,0.0,-2983.894,,21.47,,,
03/31/2007,215.3,99.9,125.1,18.8,,-5.7,24.5,-28.5,16.8,,-45.3,,-84.4,-80.0,0.0,,,-80.0,,,0.0,0.0,0.0,,,,,-4.4,-120.1,-119.1,-1.0,,,,0.0,0.0,0.0,0.0,,10.8,,,
06/30/2007,298.2,115.9,126.9,27.1,,5.7,21.4,28.3,-8.2,,36.5,,-92.4,-98.0,0.0,,,-98.0,,,0.0,0.0,0.0,,,,,5.6,-119.6,-119.4,-0.2,,,,0.0,0.0,0.0,0.0,,86.2,,,
09/30/2007,170.3,117.7,132.7,44.9,,9.7,35.2,-125.0,-33.4,,-91.6,,-637.1,-90.3,0.0,,,-90.3,,,0.0,0.0,0.0,,,,,-546.8,50.9,-119.2,-576.5,,,,0.0,0.0,0.0,746.6,,-415.9,,,
12/31/2007,349.9,583.6,122.8,-434.9,15.9,3.3,-454.1,78.4,12.5,1.3,64.6,,-53.2,-97.4,0.0,,,-97.4,,,0.0,0.0,0.0,,,,,44.2,-292.6,-119.1,-133.3,,,,-40.1,0.0,-40.1,-0.1,,4.1,,,
03/31/2008,215.1,123.7,122.8,24.2,4.6,15.6,4.0,-55.6,-3.3,,-52.3,,-30.2,-55.8,0.0,,,-55.8,,,0.0,0.0,0.0,,,,,25.6,-203.4,-113.6,11.4,,,,-100.2,0.0,-100.2,-1.0,,-18.5,,,
06/30/2008,291.8,102.0,124.3,82.2,4.6,46.1,31.5,-16.7,-11.0,-17.3,11.6,,-75.2,-77.5,0.0,,,-77.5,,,0.0,0.0,0.0,,,,,2.3,-210.5,-111.8,1.5,,,,-100.1,0.0,-100.1,-0.1,,6.1,,,
09/30/2008,222.9,105.9,123.8,37.9,4.3,12.6,21.0,-44.7,-13.6,8.6,-39.7,,-85.2,-86.2,0.0,,,-86.2,,,0.0,0.0,0.0,,,,,1.0,-85.7,-109.9,26.4,,,,0.0,0.0,0.0,-2.2,,52.0,,,
12/31/2008,350.6,81.1,123.6,75.5,4.6,35.7,35.2,70.4,2.8,-18.9,86.5,,-42.5,-98.0,0.0,,,-98.0,,,0.0,0.0,0.0,,,,,55.5,-123.1,-109.9,-13.6,,,,0.0,0.0,0.0,0.4,,185.0,183.2,412.5,
03/31/2009,215.0,88.2,132.0,78.0,5.2,36.4,36.4,-83.2,19.4,-17.1,-85.5,0.0,-62.8,-62.8,0.0,,0.0,-62.8,-62.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-136.6,-109.9,-3.6,,,,-20.7,0.0,-20.7,-2.4,0.0,15.6,-5.1,171.6,
06/30/2009,284.2,90.8,133.3,72.5,5.4,-9.2,76.3,-12.4,-20.0,2.9,4.7,0.0,-76.4,-76.7,0.0,0.0,0.0,-76.7,-76.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-274.6,-109.5,-153.5,,,,-12.1,0.0,-12.1,0.5,0.0,-66.8,,,
09/30/2009,242.2,80.0,133.8,100.4,3.7,65.2,31.5,-72.0,-9.9,0.7,-62.8,0.0,-67.3,-67.3,0.0,0.0,0.0,-67.3,-67.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.3,-109.2,-3.6,,,,-10.7,0.0,-10.7,-6.8,0.0,44.6,,,
12/31/2009,379.4,75.5,138.7,43.2,3.1,4.4,35.7,122.0,7.1,15.3,99.6,0.0,-286.3,-91.3,0.0,0.0,0.0,-91.3,-91.3,0.0,0.0,0.0,0.0,-195.3,0.0,-195.3,0.0,0.3,679.8,-108.8,887.7,,,,-77.8,0.0,-77.8,-21.3,0.0,772.9,,28.0,
03/31/2010,173.5,74.1,155.4,14.0,3.5,7.1,3.4,-70.0,1.7,-31.7,-40.0,0.0,-258.3,-60.5,0.0,0.0,0.0,-60.5,-60.5,0.0,0.0,0.0,0.0,-198.4,0.0,-198.4,0.0,0.6,-398.0,-109.2,-284.5,,,,0.0,0.0,0.0,-4.3,0.0,-482.8,7.1,168.6,
06/30/2010,285.1,79.0,167.7,5.7,4.0,-6.3,8.0,32.7,-9.2,-6.0,47.9,0.0,-350.0,-98.9,0.0,0.0,0.0,-98.9,-98.9,0.0,0.0,0.0,0.0,-253.6,0.0,-253.6,0.0,2.5,-461.7,-114.0,-332.6,,,,0.0,0.0,0.0,-15.1,0.0,-526.6,,,
09/30/2010,252.9,85.2,179.9,50.1,4.7,59.0,-13.6,-62.3,-20.6,2.8,-44.5,0.0,-113.6,-113.3,0.0,0.0,0.0,-113.3,-113.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-37.6,-120.6,93.9,,,,0.0,0.0,0.0,-10.9,0.0,101.7,,,
12/31/2010,382.2,56.5,190.6,113.2,4.8,50.7,57.7,21.9,-14.7,16.8,19.8,0.0,-734.8,-141.7,0.0,,0.0,-141.7,-141.7,0.0,0.0,0.0,0.0,-591.9,0.0,-591.9,0.0,-1.2,239.7,-120.8,370.2,,,,0.0,0.0,0.0,-9.7,0.0,-112.9,,,
03/31/2011,212.3,29.4,205.2,104.3,5.3,52.2,46.8,-126.6,-7.7,18.9,-137.8,0.0,-165.9,-158.5,0.0,0.0,0.0,-158.5,-158.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.4,-52.9,-125.9,84.3,,,,0.0,0.0,0.0,-11.3,0.0,-6.5,-16.8,200.6,
06/30/2011,374.4,96.7,196.8,62.3,6.1,44.3,11.9,18.6,-13.8,3.7,28.7,0.0,-173.1,-171.0,0.0,0.0,0.0,-171.0,-171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-185.0,-127.4,-56.7,,,,0.0,0.0,0.0,-0.9,0.0,16.3,,,
09/30/2011,329.7,78.1,203.8,111.3,6.0,85.4,19.9,-63.5,-27.1,9.3,-45.7,0.0,-184.2,-177.0,0.0,0.0,0.0,-177.0,-177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.2,-163.3,-127.4,-31.6,,,,0.0,0.0,0.0,-4.3,0.0,-17.8,,,
12/31/2011,312.4,-34.7,241.7,201.2,6.7,-8.1,202.6,-95.8,-15.7,-8.4,-71.7,,-129.0,-195.4,0.0,0.0,0.0,-195.4,-195.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.4,9.3,-128.9,145.3,,,,0.0,0.0,0.0,-7.1,0.0,192.7,,,
03/31/2012,438.8,60.4,312.1,37.2,7.4,35.8,-6.0,29.1,-9.9,22.8,16.2,,-175.7,-169.1,57.0,57.0,0.0,-226.1,-226.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6,-425.9,-146.5,-274.8,,,,0.0,0.0,0.0,-4.6,0.0,-162.8,-120.1,139.0,
06/30/2012,398.0,51.0,320.0,46.7,6.3,28.2,12.2,-19.7,-12.1,-26.1,18.5,,-287.6,-276.0,0.0,0.0,0.0,-276.0,-276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.6,-137.1,-147.0,10.6,,,,0.0,0.0,0.0,-0.7,0.0,-26.7,,,
09/30/2012,406.8,46.8,326.4,55.3,5.6,27.9,21.8,-21.7,-49.8,1.1,27.0,,-342.6,-307.3,0.0,,0.0,-307.3,-307.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.3,13.1,-147.0,175.3,,,,0.0,0.0,0.0,-15.2,0.0,77.3,,,
12/31/2012,534.0,10.1,339.1,102.6,23.9,-12.9,91.6,82.2,-4.0,65.8,20.4,,-295.8,-291.8,0.0,0.0,0.0,-291.8,-291.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-221.0,-147.5,-75.6,,,,0.0,0.0,0.0,2.1,0.0,17.2,3.1,222.6,
03/31/2013,304.6,52.3,329.5,9.5,12.4,26.9,-29.8,-86.7,3.9,-69.2,-21.4,,-234.5,-243.5,0.0,0.0,0.0,-243.5,-243.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-147.7,-148.1,26.1,,,,0.0,0.0,0.0,-25.7,0.0,-77.6,0.5,105.2,
06/30/2013,408.0,39.7,332.4,48.0,10.4,17.1,20.5,-12.1,-36.3,35.4,-11.2,,-210.7,-228.7,0.0,0.0,0.0,-228.7,-228.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-173.4,-148.2,-25.5,,,,0.0,0.0,0.0,0.3,0.0,23.9,3.4,188.9,
09/30/2013,448.1,30.6,338.4,51.9,11.2,15.6,25.1,27.2,-38.1,59.6,5.7,,-183.1,-193.8,0.0,,0.0,-193.8,-193.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,-269.9,-148.3,-110.1,,,,0.0,0.0,0.0,-11.5,0.0,-4.9,0.5,123.3,
12/31/2013,358.7,118.4,341.2,-26.4,10.9,75.2,-112.5,-74.5,24.1,-46.8,-51.8,,-79.3,-175.0,0.0,0.0,0.0,-175.0,-175.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,65.7,-304.6,-149.0,-155.8,,,,0.0,0.0,0.0,0.2,0.0,-25.2,1.3,192.0,
03/31/2014,319.8,16.0,338.9,16.8,13.7,9.3,-6.2,-51.9,-9.7,-46.1,3.9,0.0,-123.6,-153.0,0.0,0.0,0.0,-153.0,-153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,-174.4,-150.2,-14.4,,,,0.0,0.0,0.0,-9.8,0.0,21.8,-1.0,74.7,
06/30/2014,361.8,14.0,344.0,37.1,14.0,1.2,21.9,-33.3,-9.0,7.3,-31.6,0.0,-196.0,-205.8,0.0,0.0,0.0,-205.8,-205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,-181.0,-150.7,-31.2,,,,0.0,0.0,0.0,0.9,0.0,-15.2,2.1,208.9,
09/30/2014,431.0,8.0,348.5,7.8,10.6,0.3,-3.1,66.7,-2.1,-10.4,79.2,0.0,-192.9,-193.9,0.0,0.0,0.0,-193.9,-193.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-189.2,-150.7,-38.2,,,,0.0,0.0,0.0,-0.3,0.0,48.9,2.9,74.7,
12/31/2014,354.7,-77.5,355.0,145.9,3.5,-24.2,166.6,-68.7,-34.2,36.1,-70.6,0.0,-256.6,-233.8,0.0,0.0,0.0,-233.8,-233.8,0.0,0.0,0.0,0.0,-22.6,0.0,-22.6,0.0,-0.2,-174.0,-150.6,-23.4,,,,0.0,0.0,0.0,0.0,0.0,-75.9,-12.8,206.1,
03/31/2015,243.8,5.3,340.7,-1.0,14.8,-33.8,18.0,-101.2,-33.3,-64.2,-3.7,0.0,-192.7,-189.3,0.0,0.0,0.0,-189.3,-189.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,-4.9,-151.5,153.4,,,,0.0,0.0,0.0,-6.8,0.0,46.2,-1.2,74.7,
06/30/2015,136.2,-111.2,341.8,-74.1,13.5,-49.6,-38.0,-20.3,-20.4,35.0,-34.9,0.0,-264.2,-255.0,0.0,0.0,0.0,-255.0,-255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,101.0,-191.1,296.8,,,,0.0,0.0,0.0,-4.7,0.0,-27.0,-0.3,206.3,
09/30/2015,376.3,-7.2,350.5,-27.3,14.6,-19.9,-22.0,60.3,-5.2,-8.7,74.2,0.0,-315.8,-300.1,0.0,0.0,0.0,-300.1,-300.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.7,-10.3,-11.5,22.2,,,,-20.0,0.0,-20.0,-1.0,0.0,50.2,2.3,46.5,
12/31/2015,270.3,140.5,333.5,-201.7,12.4,87.0,-301.1,-2.0,-10.6,69.0,-60.4,0.0,250.7,-310.9,0.0,0.0,0.0,-310.9,-310.9,0.0,0.0,0.0,0.0,574.2,574.2,0.0,0.0,-12.6,-586.9,-15.1,-587.4,,,,-26.2,0.0,-26.2,41.8,0.0,-65.9,0.3,283.9,
03/31/2016,127.2,-231.9,304.8,136.8,13.7,-27.5,150.6,-82.5,-2.0,-100.2,19.7,0.0,-257.6,-257.6,6.2,6.2,0.0,-263.8,-263.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.7,-14.9,236.1,,,,-28.9,0.0,-28.9,-18.6,0.0,43.3,6.5,178.6,
06/30/2016,297.3,1.5,308.2,-23.1,8.9,-12.8,-19.2,10.7,-0.2,19.3,-8.4,0.0,-250.8,-246.5,0.0,0.0,0.0,-246.5,-246.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3,-79.5,-14.6,-64.3,,,,0.0,0.0,0.0,-0.6,0.0,-33.0,1.4,268.1,
09/30/2016,197.6,-66.2,321.0,-36.7,9.2,-39.7,-6.2,-20.5,-33.7,-10.4,23.6,0.0,-245.2,-243.0,0.1,0.1,0.0,-243.1,-243.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,67.4,-14.6,82.3,,,,0.0,0.0,0.0,-0.3,0.0,19.8,0.3,58.0,
12/31/2016,302.3,-86.9,329.5,8.7,9.8,-58.3,57.2,51.0,20.8,44.1,-13.9,0.0,-236.4,-236.4,0.0,0.0,0.0,-236.4,-236.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.2,-14.5,-53.8,,,,0.0,0.0,0.0,0.1,0.0,-2.3,-2.1,237.8,
03/31/2017,153.7,-111.3,338.5,-32.0,16.8,-55.2,6.4,-41.5,33.8,-61.5,-13.8,0.0,-240.9,-243.4,0.0,0.0,0.0,-243.4,-243.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,79.6,-23.7,111.7,-8.7,1315.6,-1195.2,9.6,9.6,0.0,-18.0,0.0,-7.6,-0.2,168.9,
06/30/2017,221.2,-68.1,362.4,-29.6,15.6,-42.1,-3.1,-43.5,-18.1,5.2,-30.6,0.0,-273.7,-264.4,0.0,,,-264.4,-264.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3,25.7,-11.9,37.5,,,,0.0,0.0,0.0,0.1,0.0,-26.8,15.1,193.0,
09/30/2017,271.7,-101.5,365.4,-26.6,12.8,-48.0,8.6,34.4,-24.6,25.1,33.9,0.0,-277.3,-216.4,0.0,0.0,0.0,-216.4,-216.4,0.0,0.0,0.0,0.0,-63.3,0.0,-63.3,0.0,2.4,37.4,-28.8,85.7,,,,-19.0,0.0,-19.0,-0.5,0.0,31.8,0.2,59.2,
12/31/2017,328.0,-1835.7,403.7,1658.0,10.2,-267.4,1915.2,102.0,26.6,74.5,0.9,0.0,-191.3,-184.4,0.0,0.0,0.0,-184.4,-184.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.9,-149.8,0.0,-129.8,,,,0.0,0.0,0.0,-20.0,0.0,-13.1,15.1,419.1,
03/31/2018,239.3,-121.4,381.8,-2.5,9.9,-34.7,22.3,-18.6,43.7,-36.3,-26.0,0.0,-254.8,-217.6,0.0,0.0,0.0,-217.6,-217.6,0.0,0.0,0.0,0.0,-37.6,0.0,-37.6,0.0,0.4,32.6,0.0,37.9,,,,0.0,0.0,0.0,-5.3,0.0,17.1,-3.2,184.9,
06/30/2018,300.4,-93.7,370.7,-2.7,8.5,-30.0,18.8,26.1,-37.9,53.5,10.5,0.0,-197.9,-188.7,0.0,0.0,0.0,-188.7,-188.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,-117.7,0.0,-120.1,,,,11.1,11.1,0.0,-8.7,0.0,-15.2,11.9,126.7,
09/30/2018,216.5,41.3,383.8,-174.7,7.1,-2.9,-178.9,-33.9,-31.7,-29.9,27.7,0.0,-205.0,-196.9,0.0,0.0,0.0,-196.9,-196.9,0.0,0.0,0.0,0.0,-9.3,0.0,-9.3,0.0,1.2,-19.5,0.0,-8.8,,,,1.1,1.1,0.0,-11.8,0.0,-8.0,0.0,95.4,
12/31/2018,256.9,-549.2,390.4,367.2,-14.2,508.8,-127.4,48.5,-21.1,17.9,51.7,0.0,103.5,-217.0,0.0,0.0,0.0,-217.0,-217.0,0.0,0.0,0.0,0.0,320.9,0.0,320.9,0.0,-0.4,-36.7,0.0,-82.6,,,,0.0,0.0,0.0,45.9,0.0,323.7,0.0,130.7,
03/31/2019,218.2,-2310.3,271.5,2148.8,2.0,-268.2,2415.0,108.2,-16.1,226.4,-102.1,0.0,-197.0,-192.8,0.0,0.0,0.0,-192.8,-192.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,57.5,0.0,72.8,,,,0.0,0.0,0.0,-15.3,0.0,78.7,-1.6,103.3,
06/30/2019,75.7,-544.1,276.0,386.4,-1.7,-54.0,442.1,-42.6,-6.7,-29.2,-6.7,0.0,-218.7,-214.6,0.0,0.0,0.0,-214.6,-214.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,173.8,0.0,182.7,,,,0.0,0.0,0.0,-8.9,0.0,30.8,1.6,81.3,
09/30/2019,171.0,-115.5,262.2,-25.8,1.0,-29.0,2.2,50.1,10.7,2.1,37.3,0.0,-237.8,-221.5,0.0,0.0,0.0,-221.5,-221.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.3,-10.8,0.0,-9.8,,,,0.0,0.0,0.0,-1.0,0.0,-77.6,1.1,85.7,
12/31/2019,68.9,-187.9,258.5,-11.0,1.4,31.6,-44.0,9.3,-21.0,-26.5,56.8,0.0,-249.9,-276.2,0.0,0.0,0.0,-276.2,-249.6,-26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,-12.3,0.0,-12.3,,,,0.0,0.0,0.0,0.0,0.0,-193.3,7.4,79.6,
03/31/2020,101.7,-101.6,232.6,4.8,0.6,9.0,-4.8,-34.1,52.4,-23.5,-63.0,0.0,-234.2,-232.4,0.0,0.0,0.0,-232.4,-232.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,395.4,0.0,395.5,,,,0.0,0.0,0.0,-0.1,0.0,262.9,0.1,76.0,
06/30/2020,20.0,-162.4,219.9,2.1,0.4,12.7,-11.0,-39.6,-17.4,-23.0,0.8,0.0,-257.4,-261.5,0.0,0.0,0.0,-261.5,-247.7,-13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,-7.3,0.0,-7.1,0.0,,-7.1,0.0,0.0,0.0,-0.2,0.0,-244.7,-0.9,146.3,
