Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
10/01/1992,295.135986,,,-126.832001,,168.303986,,-136.927002,,,,,31.377001,-9.253,,9.441,,0.0,,-0.188,22.124001,-10.227,11.897,0.0,,,11.897001,-2.813,9.084,0.0,,9.084,9.084,,49.732661,0.165,0.165,,49.732661,0.165,0.165,0.165,
12/31/1992,328.200012,,,-153.207993,,174.992019,,-125.370003,,,,,49.622002,64.575002,,9.06,,0.0,,-73.635002,114.197004,-49.797001,64.400002,0.0,,,64.400003,-4.115,60.285,0.0,,60.285,60.285,,49.733327,1.215,1.215,1.215,49.733327,1.215,1.215,1.215,
03/31/1993,283.652008,,,-140.229004,,143.423004,,-98.185997,,,,,45.237,16.123001,,7.911,,0.0,,-24.034,61.36,-26.681999,34.678001,0.0,,,34.678001,-2.08,32.598,0.0,,32.598,32.598,,49.741994,0.66,0.66,,49.741994,0.66,0.66,0.66,
06/30/1993,306.989014,,,-147.084,,159.905014,,-107.483002,,,,,52.422001,-6.805,,7.148,,0.0,,-0.343,45.617001,-20.975,24.642,0.0,,,24.642001,-2.555,22.087,0.0,,22.087,22.087,,49.751328,0.45,0.45,,49.751328,0.45,0.45,0.45,
09/30/1993,292.179993,,,-150.776993,,141.403,,-104.055,,,,,37.348,-9.904,,6.119,,0.0,,3.785,27.444,-11.521,15.923,0.0,,,15.923,-1.856,14.067,0.0,,14.067,14.067,,49.759328,0.285,0.285,,49.759328,0.285,0.285,0.285,
12/31/1993,322.950012,,,-80.953003,,241.997009,,-187.0,,,,,54.997002,66.085001,,6.108,,0.0,,-72.193001,121.082003,-49.421001,71.661003,0.0,,,71.661002,-11.727,59.933998,0.0,,59.933998,59.933998,,49.814662,1.2,1.2,1.2,49.814662,1.2,1.2,1.2,
03/31/1994,223.367996,,,-110.515999,,112.851997,,-70.432999,,,,,42.418999,-4.404,,4.576,,0.0,,-0.172,38.014999,-16.681,21.334,-5.68,,,27.013999,-1.917,25.097,0.0,,25.097,25.097,,49.841995,0.51,0.39,,49.841995,0.51,0.39,0.39,
06/30/1994,244.332993,,,-116.181,,128.151993,,-72.445999,,,,,55.706001,26.721,,4.529,,0.0,,-31.25,82.427001,-35.685001,46.742001,-3.968,,,50.71,-2.886,47.824001,0.0,,47.824001,47.824001,,49.850662,0.96,0.885,,49.850662,0.96,0.885,0.885,
09/30/1994,232.033997,,,-114.480003,,117.553993,,-74.417999,,,,,43.136002,-4.017,,3.829,,0.0,,0.188,39.119002,-15.231,23.888,-4.482,,,28.370002,-2.265,26.105,0.0,,26.105,26.105,,50.425329,0.525,0.435,,50.425329,0.525,0.435,0.435,
12/31/1994,264.859985,,,-131.694,,133.165985,,-90.817001,,,,,42.348999,-20.84,,3.34,,0.0,,17.5,21.508999,-12.844,8.665,-15.757,,,24.421999,-0.765,23.657,0.0,,23.657,23.657,,53.205327,0.45,0.15,0.15,53.205327,0.45,0.15,0.15,
03/31/1995,245.268997,,,-105.216003,,140.052994,,-99.816002,,,,,40.237,-2.571,,3.353,,0.0,,-0.782,37.666,-16.971001,20.695,-9.354,,,30.048999,-0.935,29.114,0.0,,29.114,29.114,,53.235992,0.54,0.375,0.375,53.235992,0.54,0.375,0.375,
06/30/1995,259.307007,,,-107.216003,,152.091003,,-100.541,,,,,51.549999,-2.435,,2.829,,0.0,,-0.394,49.114999,-21.127001,27.988001,-9.019,,,37.006998,-0.868,36.139,0.0,,36.139,36.139,,53.284663,0.675,0.51,0.51,53.284663,0.675,0.51,0.51,
09/30/1995,244.731003,,,-130.949997,,113.781006,,-80.439003,,,,,33.341999,-1.014,,2.441,,0.0,,-1.427,32.327999,-14.187,18.141001,-10.277,,,28.417999,-0.784,27.634001,0.0,,27.634001,27.634001,,53.339996,0.525,0.33,0.33,53.339996,0.525,0.33,0.33,
12/31/1995,281.071014,,,-177.554001,,103.517013,,-47.490002,,,,,56.027,-3.668,,2.6,,0.0,,1.068,52.359,-22.247,30.112,-11.139,,,41.251,-0.76,40.491001,0.0,,40.491001,40.491001,,53.353993,0.765,0.57,0.57,53.353993,0.765,0.57,0.57,
03/31/1996,254.244995,,,-112.366997,,141.877998,,-104.402,,,,,37.476002,-1.795,,1.413,,0.0,,0.382,35.681002,-15.274,20.407,-9.595,,,30.002002,-0.687,29.315001,0.0,,29.315001,29.315001,,53.405995,0.555,0.375,0.375,53.731328,0.54,0.36,0.36,
06/30/1996,277.322998,,,-116.614998,,160.708,,-106.285004,,,,,54.423,-3.038,,2.224,,0.0,,0.814,51.385,-22.997999,28.386999,-12.782,,,41.169001,-0.798,41.889999,0.0,,41.889999,41.889999,,53.479995,0.78,0.54,0.585,53.833328,0.78,0.54,0.585,
09/30/1996,265.483002,,,-119.480003,,146.002998,,-100.758003,,,,,45.244999,-2.422,,2.713,,0.0,,-0.291,42.822999,-18.330999,24.492001,-12.268,,,36.759999,-0.841,35.918999,0.0,,35.918999,35.918999,,53.50533,0.675,0.435,0.435,53.879994,0.66,0.435,0.435,
12/31/1996,324.807037,,,-224.615028,,100.192009,,-31.485012,,,,,68.706997,19.472008,,3.279,,0.0,,-22.751008,88.179005,-29.408004,58.771001,7.382,,,51.389001,-1.11,50.278999,0.0,,50.278999,50.278999,,53.555328,0.945,1.08,1.08,54.131995,0.93,1.065,1.065,
03/31/1997,290.709991,,,-121.786003,,168.923988,,-113.072998,,,,,55.851002,-2.453,,2.566,,0.0,,-0.113,53.398002,-22.476999,30.921,0.0,,,30.921002,-0.898,30.023001,0.0,,30.023001,30.023001,,53.663996,0.555,0.555,0.555,54.391993,0.555,0.555,0.555,
06/30/1997,305.511993,,,-121.475998,,184.035995,,-113.675003,,,,,70.361,-2.116,,2.484,,0.0,,-0.368,68.245,-28.728001,39.516998,0.0,,,39.516999,-0.938,38.578999,0.0,,38.578999,38.578999,,53.707992,0.72,0.72,0.72,54.467325,0.705,0.705,0.705,
09/30/1997,286.181,,,-127.695,,158.486,,-108.911003,,,,,49.575001,19.595001,,2.3,,0.0,,-21.895,69.170001,-29.667999,39.501999,0.0,,,39.502002,-0.924,38.577999,0.0,,38.577999,38.577999,,53.762659,0.72,0.72,0.51,54.542663,0.705,0.705,0.495,
12/31/1997,359.553986,,,-237.792007,,121.761978,,-46.724998,,,,,75.037003,14.450999,,11.193,,0.0,,-25.643999,89.488002,-36.637001,52.851002,0.0,,,52.851001,-2.329,50.521999,0.0,,50.521999,50.521999,,53.531326,0.945,0.945,0.69,54.317327,0.93,0.93,0.69,
03/31/1998,346.80899,,,-151.619995,,195.188995,,-137.733994,,,,,57.455002,-13.45,,12.012,,0.0,,1.438,44.005002,-17.959,26.046,0.0,,,26.046002,-0.968,25.077999,0.0,,25.077999,25.077999,,53.571996,0.465,0.465,0.465,54.410659,0.465,0.465,0.465,
06/30/1998,366.918,,,-25.1,,341.818,,-266.611,,,,,75.207,-10.832,11.747,11.747,,0.0,,-0.915,64.375,-26.38,37.995,0.0,,,37.995,-1.571,36.424,0.0,0.0,36.424,36.424,,53.602661,0.675,0.675,0.675,54.458661,0.675,0.675,0.675,
09/30/1998,343.423,,,-26.095,,317.328,,-259.872,,,,,57.456,-11.427,11.712,11.712,,0.0,,-0.285,46.029,-18.852,27.177,0.0,,,27.177,-1.099,26.078,0.0,0.0,26.078,26.078,,53.249328,0.495,0.495,0.495,54.027328,0.48,0.48,0.48,
12/31/1998,397.404999,,,-257.454987,,139.950012,,-54.023998,,,,,85.926003,-11.173,,11.637,,0.0,,-0.464,74.753002,-29.884001,44.868999,0.0,,,44.869002,-1.235,43.633999,0.0,,43.633999,43.633999,,52.15066,0.84,0.84,0.84,52.892659,0.825,0.825,0.825,
03/31/1999,376.26,,,,,,0.0,-310.523,,,,,65.737,-9.771,,11.073,,,,-1.302,55.966,-22.932,33.034,,,,33.034,-1.033,32.001,,,32.001,32.001,,52.063995,0.615,0.615,0.615,52.750661,0.6,0.6,0.6,
06/30/1999,388.313,,,-28.98,,359.333,,-273.059,,,,,86.274,-9.374,11.026,11.026,,0.0,,-1.652,76.9,-31.556,45.344,0.0,,,45.344,-1.113,44.231,0.0,0.0,44.231,44.231,,51.957995,0.855,0.855,0.855,52.633328,0.84,0.84,0.84,
09/30/1999,372.932007,,,-290.884003,,82.048004,,-26.683001,,,,,55.365002,-11.493,11.279,11.279,,0.0,,0.214,43.872001,-17.933001,25.938999,0.0,,,25.939001,-1.077,24.862,0.0,,24.862,24.862,,51.915995,0.48,0.48,0.54,52.616663,0.48,0.48,0.54,
12/31/1999,430.815,,,,,,,-342.837,,,,,87.978,-10.532,11.841,11.841,,0.0,,-1.309,77.446,-31.191,46.255,0.0,,,46.255,-1.227,45.028,0.0,,45.028,45.028,,51.891328,0.87,0.87,0.87,52.535328,0.855,0.855,0.855,
03/31/2000,410.859,,,,,,,-336.602,,,,,74.257,-14.483,12.636,12.636,,,,1.847,59.774,-25.114,34.66,,,,34.66,-1.056,33.604,0.0,0.0,33.604,33.604,,51.984661,0.645,0.645,0.645,52.549328,0.645,0.645,0.645,
06/30/2000,439.458,,,,,,,-344.556,,,,,94.902,-14.885,,13.481,,,,1.404,80.017,-32.833,47.184,,,,47.184,-1.063,46.121,,0.0,46.121,46.121,,52.076661,0.885,0.885,0.885,52.663328,0.87,0.87,0.87,
09/30/2000,409.858,,,,,,0.0,-335.507,,,,,74.351,-11.564,,13.393,,,,-1.829,62.787,-26.319,36.468,,,,36.468,-1.04,35.428,0.0,0.0,35.428,35.428,,52.123995,0.675,0.675,0.675,52.781995,0.675,0.675,0.675,
12/31/2000,441.583,,,,,,,-340.004,,,,,101.579,-28.155,12.424,12.424,,0.0,,15.731,73.424,-23.824,49.6,0.0,,,49.6,-1.3,48.3,0.0,0.0,48.3,48.3,,52.267995,0.93,0.93,0.93,53.101328,0.915,0.915,0.915,
03/31/2001,362.08,,,,,,,-300.831,,,,,61.249,46.677,,12.461,,,,-59.138,107.926,-40.642,67.284,,,,67.284,-0.846,66.438,,0.0,66.438,66.438,,52.479328,1.26,1.26,1.26,53.242661,1.245,1.245,1.245,
06/30/2001,368.40799,,,,,,,-292.076996,,,,,76.331001,-7.422,,10.859,,0.0,,-3.437,68.909001,-28.584,40.325001,0.0,,,40.325001,-0.975,39.349998,0.0,0.0,39.349998,39.349998,,52.562663,0.75,0.75,0.855,53.334661,0.735,0.735,0.84,
09/30/2001,336.052002,,,,,,,-275.296997,,,,,60.755001,-19.094,8.417,8.417,,0.0,,10.677,41.661001,-18.023001,23.638,0.0,,,23.638,-1.005,22.632999,0.0,0.0,22.632999,22.632999,,52.651326,0.435,0.435,0.72,53.444661,0.42,0.42,0.705,
12/31/2001,325.416,,,,,,,-285.306,,,,,40.11,-17.224,7.46,7.46,,0.0,,9.764,22.886,-12.373,10.513,0.0,,,10.513,-0.971,9.542,0.0,0.0,9.542,9.542,,52.506661,0.18,0.18,0.18,53.231328,0.18,0.18,0.18,
03/31/2002,344.685,,,,,,,-278.025,,,,,66.66,0.922,,6.592,,0.0,-15.756,8.242,67.582,-26.868,40.714,0.0,,,40.714,-0.834,39.88,0.0,0.0,39.88,39.88,,52.677995,0.75,0.75,0.75,53.508661,0.75,0.75,0.75,
06/30/2002,380.435,,,-0.307,,380.128,,-290.694,,,,,89.434,-52.441,,6.629,,,,45.812,36.993,-9.085,27.908,,,,27.908,-0.952,26.956,,0.0,26.956,26.956,,53.030661,0.51,0.51,0.51,53.819328,0.495,0.495,0.495,
09/30/2002,354.266998,,,,,,,-279.071014,,,,,75.195999,2.003,7.843,7.843,,0.0,,-9.846,77.198999,-30.622,46.577,0.0,,,46.576999,-0.901,45.675999,0.0,0.0,45.675999,45.675999,,53.10733,0.855,0.855,0.975,53.778661,0.855,0.855,0.975,
12/31/2002,456.277008,,,,,,,-348.959015,,,,,107.318001,19.829999,,7.237,,0.0,,-27.066999,127.148,-49.043999,78.103996,0.0,,,78.104001,-2.319,75.785004,0.0,0.0,75.785004,75.785004,,53.143325,1.425,1.425,1.365,53.876663,1.41,1.41,1.35,
03/31/2003,445.194,,,,,,,-368.342,,,,,76.852,11.191,8.003,8.003,,0.0,,-19.194,88.043,-35.089,52.954,0.0,,,52.954,-0.265,52.689,0.0,0.0,52.689,52.689,,53.264661,0.99,0.99,0.99,53.997995,0.975,0.975,0.975,
06/30/2003,474.846,,,-37.238,,437.608,,-337.385,,,,,100.223,12.523,7.832,7.832,,,,-20.355,112.746,-45.783,66.963,,,,66.963,-2.23,64.733,0.0,0.0,64.733,64.733,,53.437328,1.215,1.215,1.215,54.221995,1.2,1.2,1.2,
09/30/2003,440.481,,,-84.468,,356.013,,-281.756,,,,,74.257,13.747,6.743,7.944,-1.201,,,-20.49,88.004,-33.841,54.163,,,,54.163,-2.304,51.859,,,51.859,51.859,,107.198656,0.48,0.48,0.48,108.806656,0.48,0.48,0.48,
12/31/2003,514.323975,,,,,,,-398.472992,,,,,115.850998,18.418,,7.814,,0.0,,-26.232,134.268998,-27.431,106.837997,0.0,,,106.837998,-5.304,101.533997,0.0,0.0,101.533997,101.533997,,54.626663,1.86,1.86,1.38,54.626663,1.86,1.86,1.38,
03/31/2004,513.656006,,,,,,,-415.397003,,,,,98.259003,25.371998,7.395,7.395,,0.0,,-32.766998,123.631001,-44.869999,78.761002,0.0,,,78.761002,-8.242,70.518997,0.0,0.0,70.518997,70.518997,,53.889994,1.305,1.305,1.125,54.789327,1.29,1.29,1.11,
06/30/2004,547.316,,,-93.097,,454.219,,-313.688,,,,,140.531,12.043,7.969,8.272,-0.303,0.0,-20.212,0.2,152.574,-54.489,98.085,0.0,,,98.085,-11.661,86.424,0.0,0.0,86.424,86.424,,54.090661,1.605,1.605,1.605,55.053994,1.575,1.575,1.575,
09/30/2004,499.792,,,-99.226,,400.566,,-313.508,,,,,87.058,15.431,7.031,7.149,-0.118,,,-22.462,102.489,-37.623,64.866,,,,64.866,-9.272,55.594,,,55.594,55.594,,54.172995,1.02,1.02,1.02,55.062328,1.02,1.02,1.02,
12/31/2004,606.690979,,,-444.049988,,162.640991,,-19.66,,,,,142.981003,17.004999,,8.062,,0.0,,-25.066999,159.986002,-57.306999,102.679001,-2.489,,,105.168003,-13.894,91.274002,0.0,0.0,91.274002,91.274002,,54.217997,1.68,1.65,1.65,54.983327,1.65,1.62,1.62,
03/31/2005,482.903,,,-153.741,,329.162,,-209.256,,,,,119.906,11.277,7.164,7.372,-0.208,0.0,,-18.441,131.183,-46.916,84.267,2.921,,,81.346,-11.335,70.011,0.0,0.0,70.011,70.011,,54.297661,1.29,1.35,1.35,55.031661,1.26,1.32,1.32,
06/30/2005,540.471008,,,-159.477997,,380.993011,,-210.190002,,,,,170.802994,15.601,7.185,7.559,-0.374,0.0,,-22.786,186.403994,-66.156998,120.247002,5.368,,,114.878996,-17.290001,97.588997,0.0,0.0,97.588997,97.588997,,54.454996,1.8,1.89,1.86,55.258661,1.77,1.86,1.83,
09/30/2005,515.33197,,,-167.082993,,348.248978,,-236.817001,,,,,111.431999,2.028,12.136,12.136,,0.0,,-14.164,113.459999,-37.895,75.565002,-18.320001,,,93.884999,-11.729,82.155998,0.0,0.0,82.155998,82.155998,,54.501993,1.5,1.17,1.17,55.234329,1.5,1.17,1.17,
12/31/2005,615.928,,,-165.991,,449.937,,-267.552,,,,,182.385,0.366,12.306,11.724,,0.0,,-12.672,182.751,-65.847,116.904,99.394,,,17.51,-18.113,-0.603,0.0,0.0,-0.603,-0.603,,54.450661,0.0,1.8,1.83,55.055328,0.0,1.8,1.8,
03/31/2006,589.729,,,-169.5,,420.229,0.0,-278.085,58.321,,,219.764,142.144,4.235,11.611,12.153,-0.542,0.0,-14.905,-0.941,146.379,-50.548,95.831,6.417,,,89.414,-14.349,75.065,0.0,0.0,75.065,75.065,,54.477995,1.38,1.5,1.44,55.080661,1.35,1.47,1.44,
06/30/2006,641.914001,,,-179.589005,,462.324997,,-273.042999,,,,,189.281998,0.565,14.928,15.537,-0.609,0.0,,-15.492999,189.846997,-65.249001,124.598,33.728001,,,90.869996,-19.726,71.143997,0.0,0.0,71.143997,71.143997,,54.414662,1.32,1.92,1.92,54.928329,1.29,1.92,1.92,
09/30/2006,583.448975,,,-179.548004,,403.90097,,-266.195007,,,,,137.705994,0.668,15.281,15.281,,0.0,,-15.949,138.373994,-44.132,94.241997,5.373,,,88.868994,-15.806,73.063004,0.0,0.0,73.063004,73.063004,,54.363327,1.35,1.44,1.44,54.837326,1.32,1.44,1.44,
12/31/2006,682.985,,,-439.258,,243.727,,-29.19,,,,,214.537,1.067,12.994,12.994,,0.0,,-14.061,215.604,-59.332,156.272,-1.561,,,157.833,-23.885,133.948,0.0,0.0,133.948,133.948,,54.974661,2.43,2.4,2.28,54.974661,2.43,2.4,2.28,
03/31/2007,601.424011,,,-204.033005,,397.391006,,-278.806,,,,,118.584999,-5.821,10.201,10.201,,0.0,,-4.38,112.763999,-31.535,81.228996,-5.235,,,86.463999,-17.98,68.484001,0.0,0.0,68.484001,68.484001,,54.466659,1.26,1.17,1.17,54.973663,1.26,1.14,1.14,
06/30/2007,640.073975,,,-212.658997,,427.414978,,-261.45401,,,,,165.960999,5.573999,10.729,10.729,,0.0,,-16.302999,171.534998,-54.780998,116.753998,-1.695,,,118.449,-20.988001,97.460999,0.0,0.0,97.460999,97.460999,,18.131665,5.37,5.28,5.610001,18.265665,5.34,5.250001,5.550001,
09/30/2007,253.102005,,,-105.917,,147.185005,,-131.125,,,,,16.059999,10.719001,8.856,8.856,,0.0,,-19.575001,26.779,-9.983,16.796,-71.773003,,,88.569003,-0.202,88.366997,0.0,0.0,88.366997,88.366997,,18.090998,4.89,0.93,0.96,18.208665,4.860001,0.9,0.93,
12/31/2007,282.308,,,-232.424,,49.884,,-11.406,,,,,38.478,6.208,7.998,7.998,,0.0,,-14.206,44.686,-4.216,40.47,296.291,,,-255.821,-0.112,-255.933,0.0,0.0,-255.933,-255.933,,54.221049,-4.719996,0.739998,0.736641,54.221049,-4.719996,0.739998,0.736641,
03/31/2008,255.694,,,-107.098,,148.596,,-139.213,,,,,9.383,3.208,,6.101,,0.0,-8.513,-0.796,12.591,-3.97,8.621,-97.74,,,106.361,-22.293,84.068,0.0,0.0,84.068,84.068,0.06695,54.217995,1.550556,-0.252168,-0.250932,54.552995,1.541034,-0.252168,-0.250941,
06/30/2008,250.894,,,-113.677,,137.217,,-129.313,,,,,7.904,-901.707,,4.393,,0.0,-2.46,899.774,-893.803,285.36,-608.443,-101.643,,,-506.8,-24.441,-531.241,0.0,0.0,-531.241,-531.241,589.2029,54.305049,-9.782533,-11.654239,-0.804366,54.305049,-9.782533,-11.654239,-0.804366,
09/30/2008,230.245,,,-102.84,,127.405,,-135.098,,,,,-7.693,0.124,,0.0,,0.0,-0.649,0.525,-7.569,4.514,-3.055,13.677,,,-16.732,-0.067,-16.799,0.0,0.0,-16.799,-16.799,30.514,54.182,-0.31,-0.06,0.503176,54.182,-0.31,-0.06,0.503176,
12/31/2008,264.895,,,-223.369,,41.526,,-12.384,,,,,29.142,-39.956,,0.078,,0.0,-0.866,40.744,-10.814,7.261,-3.553,9.176,,,-12.729,0.111,-12.618,0.0,0.0,-12.618,-12.618,26.1456,53.625,-0.24,-0.06,0.423377,53.625,-0.24,-0.06,0.423377,
03/31/2009,205.349,174.03,31.319,-100.713,100.713,104.636,0.0,-338.438,,,11.745,326.693,-233.802,-1.58,,0.092,,,,1.488,-235.382,29.399,-205.983,14.864,14.864,0.0,-220.847,0.147,-220.7,0.0,0.0,-220.7,-64.162,141.674,53.573,-4.12,-3.84,-1.197656,53.573,-4.12,-3.84,-1.197656,
06/30/2009,179.45,165.99,13.46,-82.413,82.413,97.037,0.0,-95.746,,,10.605,85.141,1.291,0.271,,0.317,,,,-0.588,1.562,0.772,2.334,0.081,0.081,0.0,2.253,,2.253,0.0,-0.341,1.912,3.12725,1.13425,53.636,0.04,0.04,0.058305,53.636,0.04,0.04,0.058305,
09/30/2009,169.073,157.719,11.354,-76.725,76.725,92.348,0.0,-98.827,,,10.744,88.083,-6.479,-0.447,,1.149,,,,-0.702,-6.926,1.235,-5.691,-2.43,-2.43,0.0,-3.261,,-3.261,0.0,0.0,-3.261,-4.98185,0.70915,53.986,-0.06,-0.11,-0.09228,53.986,-0.06,-0.11,-0.096864,
12/31/2009,196.479,196.479,,-167.09,167.09,29.389,0.0,-16.539,,,11.43,5.109,12.85,0.072,,0.996,,,,-1.068,12.922,-0.579,12.343,0.135,0.135,0.0,12.208,-0.105,12.103,0.0,-1.786,10.317,13.61585,3.16385,54.383,0.19,0.19,0.25037,54.383,0.19,0.19,0.248177,
03/31/2010,184.28,170.46,13.82,-83.049,83.049,101.231,0.0,-102.44,,,11.619,90.821,-1.209,-1.235,,0.848,,,,0.387,-2.444,0.379,-2.065,-1.185,-1.185,0.0,-0.88,,-0.88,0.0,0.0,-0.88,0.5714,2.6364,55.076,-0.02,-0.04,0.010375,55.076,-0.02,-0.04,0.007868,
06/30/2010,188.785,173.956,14.829,-84.566,84.566,104.219,0.0,-101.007,,,11.577,89.43,3.212,0.453,,0.845,,,,-1.298,3.665,-1.817,1.848,-97.659,-97.659,0.0,99.507,,99.507,0.0,-10.672,88.835,-6.3917,2.4323,57.001,1.56,0.03,-0.112133,57.213,1.55,0.03,-0.112133,
09/30/2010,183.587,171.563,12.024,-79.855,79.855,103.732,0.0,-103.064,,,10.724,92.34,0.668,-0.702,,0.741,,,,-0.039,-0.034,5.459,5.425,-0.82,-0.82,0.0,6.245,,6.245,0.0,0.0,6.245,7.85015,2.42515,57.435,0.1,0.08,0.136679,57.502,0.1,0.08,0.122175,
12/31/2010,220.238,220.238,,-177.99,177.99,42.248,0.0,-13.341,,,10.974,2.367,28.907,-0.384,,1.232,,,,-0.848,28.523,-4.861,23.662,-1.872,-1.872,0.0,25.534,0.103,25.637,0.0,-2.507,23.13,22.79655,1.53855,57.882,0.4,0.367264,0.393845,58.057,0.4,0.367264,0.393765,
03/31/2011,180.358,164.212,16.146,-86.7,86.7,93.658,0.0,-104.157,,,10.42,93.737,-10.499,-1.082,,0.393,,,,0.689,-11.581,2.686,-8.895,0.0,0.0,0.0,-8.895,,-8.895,0.0,0.0,-8.895,-7.5105,1.3845,58.689,-0.15,-0.15,-0.127971,58.689,-0.15,-0.15,-0.127971,
06/30/2011,183.034,168.482,14.552,-87.931,87.931,95.103,0.0,-97.322,,,10.029,87.293,-2.219,-0.455,,0.412,,,,0.043,-2.674,0.462,-2.212,0.0,0.0,0.0,-2.212,,-2.212,0.0,0.0,-2.212,-0.89445,1.31755,58.707,-0.04,-0.04,-0.015236,58.707,-0.04,-0.04,-0.017557,
09/30/2011,167.871,155.253,12.618,-81.566,81.566,86.305,0.0,-104.248,,,10.052,94.196,-17.943,-0.252,,0.362,,,,-0.11,-18.195,7.473,-10.722,0.0,0.0,0.0,-10.722,,-10.722,0.0,0.0,-10.722,-3.4823,7.2397,56.834,-0.19,-0.19,-0.061271,56.834,-0.19,-0.19,-0.062617,
