Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2018,6304.0,6304.0,-4040.0,4040.0,2264.0,0.0,-764.0,764.0,0.0,1500.0,-227.0,317.0,317.0,0.0,,-90.0,1273.0,-270.0,1003.0,0.0,0.0,0.0,1003.0,0.0,1003.0,0.0,0.0,1003.0,1110.0,107.0,1219.0,0.82,0.82,0.910582,1228.0,0.82,0.82,0.907134,
06/30/2018,6690.0,6690.0,-4343.0,4343.0,2347.0,0.0,-990.0,756.0,234.0,1357.0,-296.0,316.0,316.0,0.0,,-20.0,1061.0,-308.0,753.0,0.0,0.0,0.0,753.0,1.0,754.0,0.0,0.0,754.0,1208.3,454.3,1219.0,0.62,0.62,0.991222,1226.0,0.62,0.62,0.990555,
09/29/2018,6383.0,6383.0,-4289.0,4289.0,2094.0,0.0,-1020.0,803.0,217.0,1074.0,-255.0,326.0,326.0,0.0,,-71.0,819.0,-201.0,618.0,0.0,0.0,0.0,618.0,1.0,619.0,0.0,0.0,619.0,1107.43,488.43,1219.0,0.51,0.51,0.908474,1226.0,0.5,0.5,0.898393,
12/29/2018,6891.0,6891.0,-4675.0,4675.0,2216.0,0.0,-16352.0,867.0,15485.0,-14136.0,-338.0,325.0,325.0,0.0,,13.0,-14474.0,1846.0,-12628.0,0.0,0.0,0.0,-12628.0,60.0,-12568.0,0.0,0.0,-12568.0,1020.85,13588.85,1220.0,-10.3,-10.3,0.836762,1220.0,-10.3,-10.3,0.836762,
03/30/2019,5959.0,5959.0,-3948.0,3948.0,2011.0,0.0,-1449.0,829.0,620.0,562.0,59.0,321.0,321.0,0.0,,-380.0,621.0,-217.0,404.0,0.0,0.0,0.0,404.0,1.0,405.0,0.0,0.0,405.0,1225.32,820.32,1220.0,0.33,0.33,1.004361,1224.0,0.33,0.33,1.000196,
06/29/2019,6406.0,6406.0,-4324.0,4324.0,2082.0,0.0,-1348.0,750.0,598.0,734.0,-183.0,316.0,316.0,0.0,,-133.0,551.0,-103.0,448.0,0.0,0.0,0.0,448.0,1.0,449.0,0.0,0.0,449.0,953.0,504.0,1220.0,0.37,0.37,0.781148,1222.0,0.37,0.37,0.781148,
09/28/2019,6076.0,6076.0,-4129.0,4129.0,1947.0,0.0,-767.0,762.0,5.0,1180.0,-18.0,398.0,398.0,0.0,,-380.0,1162.0,-264.0,898.0,0.0,0.0,0.0,898.0,1.0,899.0,0.0,0.0,899.0,839.95,-59.05,1221.0,0.74,0.74,0.68792,1223.0,0.74,0.74,0.68792,
12/28/2019,6536.0,6536.0,-4429.0,4429.0,2107.0,0.0,-1513.0,837.0,676.0,594.0,-267.0,326.0,326.0,0.0,,-59.0,327.0,-144.0,183.0,0.0,0.0,0.0,183.0,-1.0,182.0,0.0,0.0,182.0,911.8,729.8,1221.0,0.15,0.15,0.746765,1225.0,0.15,0.15,0.745755,
03/28/2020,6157.0,6157.0,-4299.0,4299.0,1858.0,0.0,-1088.0,862.0,226.0,770.0,-229.0,310.0,310.0,0.0,,-81.0,541.0,-160.0,381.0,0.0,0.0,0.0,381.0,-3.0,378.0,0.0,0.0,378.0,715.0,337.0,1222.0,0.31,0.31,0.585106,1224.0,0.31,0.31,0.585106,
06/27/2020,6648.0,6648.0,-4196.0,4196.0,2452.0,0.0,-3791.0,918.0,2873.0,-1339.0,-364.0,442.0,442.0,0.0,,-78.0,-1703.0,51.0,-1652.0,0.0,0.0,0.0,-1652.0,1.0,-1651.0,0.0,0.0,-1651.0,976.84,2627.84,1223.0,-1.35,-1.35,0.798724,1223.0,-1.35,-1.35,0.798684,
09/30/2020,6210.0,,,,2021.4792,,,,,1171.25,,,,,,,942.308,,680.533,,,,,,680.533,,,680.533,680.533,,,0.557,0.557,0.557,,0.557,0.557,0.557,
12/31/2020,6591.941,,,,2060.04748191,,,,,1251.333,,,,,,,1021.25,,806.143,,,,,,806.143,,,806.143,806.143,,,0.659,0.659,0.659,,0.659,0.659,0.659,
