Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2010,3173.366,416.795,416.795,0.0,471.258,471.258,0.0,0.0,0.0,0.0,0.0,0.0,327.701,,,,327.701,1215.754,237.413,,,45.333,45.333,1674.866,1570.53,666.502,904.028,,104.336,1957.612,,133.285,12.527,,,120.758,0.0,0.0,,,,46.379,,,46.379,179.664,884.357,884.357,,,198.925,,38.311,,81.013,79.601,1083.282,1262.946,0.0,1308.211,1.665,1306.546,0,322.793,-2.938,1628.066,282.354,1910.42,3173.366,
12/31/2010,3388.432,549.897,549.897,0.0,505.392,505.392,0.0,0.0,0.0,0.0,0.0,0.0,615.586,0.0,,44.046,353.318,1670.875,214.131,386.378,-172.247,48.536,48.536,1454.89,1361.086,510.484,850.602,,93.804,1717.557,,126.648,9.672,0.0,0.0,116.976,0.0,0.0,0.0,0.0,,97.427,0.0,0.0,53.381,224.075,884.395,884.395,0.0,0.0,199.668,0.0,52.583,,81.96,65.125,1084.063,1308.138,0.0,1372.726,1.676,1371.05,0,414.972,-11.525,1776.173,304.121,2080.294,3388.432,
03/31/2011,3541.317,793.664,793.664,0.0,491.091,491.091,0.0,0.0,0.0,0.0,0.0,0.0,322.681,,,,322.681,1607.436,247.038,,,52.281,52.281,1634.562,1544.405,666.502,877.903,,90.157,1933.881,,112.668,11.092,,,101.576,0.0,0.0,,,,58.274,,,58.274,170.942,884.432,884.432,,,218.14,,52.458,,92.451,73.231,1102.572,1273.514,0.0,1414.732,1.681,1413.051,0,502.864,-11.112,1906.484,361.319,2267.803,3541.317,
06/30/2011,3347.484,713.456,713.456,0.0,531.433,531.433,0.0,0.0,0.0,0.0,0.0,0.0,381.155,,,,381.155,1626.044,216.163,,,59.962,59.962,1445.315,1365.601,510.484,855.117,,79.714,1721.44,,114.903,9.742,,,105.161,0.0,0.0,,,,87.463,,,87.463,202.366,884.47,884.47,,,210.497,,46.443,,89.851,74.203,1094.967,1297.333,0.0,1370.645,1.617,1369.028,0,317.564,-11.044,1677.165,372.986,2050.151,3347.484,
09/30/2011,3447.346,315.302,315.302,0.0,514.11,514.11,0.0,0.0,0.0,0.0,0.0,0.0,381.313,,,,381.313,1210.725,216.791,,,455.074,455.074,1564.756,1360.374,510.484,849.89,,204.382,2236.621,,109.979,8.603,,,101.376,0.0,0.0,,,,97.365,,,97.365,207.344,984.507,984.507,,,201.109,,46.058,,78.179,76.872,1185.616,1392.96,0.0,1356.633,1.594,1355.039,0,320.667,-13.105,1664.195,390.191,2054.386,3447.346,
12/31/2011,3961.67,760.092,760.092,0.0,553.022,553.022,0.0,0.0,0.0,0.0,0.0,0.0,402.854,0.0,,,402.854,1715.968,219.845,430.785,-210.94,455.267,455.267,1570.59,1365.668,510.484,855.184,,204.922,2245.702,,129.683,12.482,0.0,0.0,117.201,0.0,0.0,0.0,0.0,,103.216,0.0,0.0,103.216,232.899,1383.945,1383.945,0.0,0.0,248.431,0.0,78.282,,100.002,70.147,1632.376,1865.275,0.0,1348.0,1.571,1346.429,0,364.073,-33.347,1678.726,417.669,2096.395,3961.67,
03/31/2012,3848.882,645.53,645.53,0.0,512.799,512.799,0.0,0.0,0.0,0.0,0.0,0.0,399.608,,,,399.608,1557.937,224.44,,,473.6,473.6,1592.905,1397.921,532.035,865.886,,194.984,2290.945,,134.414,9.904,,,124.51,0.0,0.0,,,,81.14,,,81.14,215.554,1384.013,1384.013,,,281.113,,79.308,,114.628,87.177,1665.126,1880.68,0.0,1326.425,1.522,1324.903,0,257.528,-27.721,1556.232,411.97,1968.202,3848.882,
06/30/2012,3695.141,261.773,261.773,0.0,592.789,592.789,0.0,0.0,0.0,0.0,0.0,0.0,404.658,,,,404.658,1259.22,223.403,,,468.786,468.786,1743.732,1557.843,571.79,986.053,,185.889,2435.921,,112.559,10.588,,,101.971,0.0,0.0,,,,86.005,,,86.005,198.564,1384.081,1384.081,,,263.487,,70.575,,75.802,117.11,1647.568,1846.132,0.0,1345.531,1.49,1344.041,0,172.369,-44.805,1473.095,375.914,1849.009,3695.141,
09/30/2012,3899.973,439.238,439.238,0.0,530.178,530.178,0.0,0.0,0.0,0.0,0.0,0.0,463.344,,,,463.344,1432.76,223.205,,,477.551,477.551,1766.457,1589.367,573.482,1015.885,,177.09,2467.213,,129.218,9.422,,,119.796,0.0,0.0,,,,80.698,,,80.698,209.916,1384.148,1384.148,,,275.899,,71.208,,65.935,138.756,1660.047,1869.963,0.0,1382.86,1.498,1381.362,0,272.75,-24.701,1630.909,399.101,2030.01,3899.973,
12/31/2012,4138.798,437.525,437.525,0.0,565.298,565.298,0.0,0.0,0.0,0.0,0.0,0.0,481.453,0.0,148.501,,455.115,1484.276,237.308,485.091,-247.783,489.703,489.703,1927.511,1602.177,551.821,1050.356,,176.833,2654.522,,171.452,12.633,0.0,0.0,158.819,0.0,0.0,0.0,0.0,,81.177,0.0,0.0,81.177,252.629,1384.216,1384.216,0.0,0.0,237.402,0.0,92.758,,,144.644,1621.618,1874.247,0.0,1407.188,1.489,1405.699,0,452.598,-38.862,1820.924,443.627,2264.551,4138.798,
03/31/2013,4031.363,421.224,421.224,0.0,569.945,569.945,0.0,0.0,0.0,0.0,0.0,0.0,495.585,,84.776,,463.899,1486.754,240.031,,,464.324,464.324,1840.254,1598.642,556.82,1041.822,,156.836,2544.609,,171.974,31.003,,,140.971,0.0,0.0,,,,82.097,,,82.097,254.071,1384.284,1384.284,,,241.299,,92.227,,,149.072,1625.583,1879.654,0.0,1410.142,1.469,1408.673,0,411.436,-66.918,1754.66,397.049,2151.709,4031.363,
06/30/2013,4076.492,347.461,347.461,0.0,614.753,614.753,0.0,0.0,0.0,0.0,0.0,0.0,518.018,,65.167,,491.932,1480.232,242.622,,,470.303,470.303,1883.335,1666.349,594.915,1071.434,,151.819,2596.26,,131.145,17.167,,,113.978,0.0,0.0,,,,81.636,,,81.636,212.781,1384.352,1384.352,,,244.631,,92.031,,,152.6,1628.983,1841.764,0.0,1422.988,1.459,1421.529,0,463.801,-62.272,1824.517,410.211,2234.728,4076.492,
09/30/2013,4285.66,556.574,556.574,0.0,575.041,575.041,0.0,0.0,0.0,0.0,0.0,0.0,519.387,,79.117,,491.076,1651.002,238.403,,,486.571,486.571,1909.684,1675.296,597.306,1077.99,,155.271,2634.658,,157.956,14.993,,,142.963,0.0,0.0,,,,105.951,,,105.951,263.907,1384.42,1384.42,,,238.628,,88.596,,,150.032,1623.048,1886.955,0.0,1436.252,1.461,1434.791,0,568.155,-37.999,1966.408,432.297,2398.705,4285.66,
12/31/2013,4438.447,686.371,686.371,0.0,619.619,619.619,0.0,0.0,0.0,0.0,0.0,0.0,555.32,,39.075,,514.18,1861.31,246.35,493.112,-246.762,488.198,488.198,1842.589,1642.648,574.582,1068.066,,160.866,2577.137,,177.86,18.278,0.0,0.0,159.582,0.0,0.0,0.0,0.0,,100.839,,,100.839,278.699,1384.488,1384.488,0.0,0.0,223.368,,64.952,,,158.416,1607.856,1886.555,0.0,1448.958,1.462,1447.496,0,662.574,-12.529,2099.003,452.889,2551.892,4438.447,
03/31/2014,4256.83,509.137,509.137,0.0,592.205,592.205,0.0,0.0,0.0,0.0,0.0,0.0,543.556,,52.701,,490.296,1644.898,242.812,,,501.542,501.542,1867.578,1653.616,574.849,1078.767,,161.261,2611.932,,192.261,24.594,,,167.667,884.881,0.0,,,884.881,90.544,,,90.544,1167.686,499.675,499.675,,,229.211,,61.49,,,167.721,728.886,1896.572,0.0,1453.623,1.439,1452.184,0,543.724,-8.828,1988.519,371.739,2360.258,4256.83,
06/30/2014,4069.277,202.005,202.005,0.0,656.176,656.176,0.0,0.0,0.0,0.0,0.0,0.0,590.735,,52.758,,536.888,1448.916,237.359,,,504.802,504.802,1878.2,1665.112,574.94,1090.172,,160.33,2620.361,,169.382,17.725,,,151.657,884.919,0.0,,,884.919,86.283,,,86.283,1140.584,499.705,499.705,,,218.217,,55.356,,,162.861,717.922,1858.506,0.0,1426.821,1.401,1425.42,0,412.434,-6.371,1832.884,377.887,2210.771,4069.277,
09/30/2014,3921.558,157.285,157.285,0.0,590.154,590.154,0.0,0.0,0.0,0.0,0.0,0.0,567.242,,68.042,,514.15,1314.681,232.24,,,488.628,488.628,1886.009,1661.693,574.21,1087.483,,156.274,2606.877,,157.319,16.661,,,140.658,884.956,0.0,,,884.956,84.378,,,84.378,1126.653,499.736,499.736,,,220.051,,64.281,,,155.77,719.787,1846.44,0.0,1406.202,1.371,1404.831,0,299.783,-24.068,1681.917,393.201,2075.118,3921.558,
12/31/2014,4657.481,878.164,878.164,0.0,629.775,629.775,0.0,0.0,0.0,0.0,0.0,0.0,588.391,,79.096,,588.391,2096.33,226.246,504.798,-278.552,463.344,463.344,1871.561,1638.083,573.119,1064.964,,154.382,2561.151,,115.708,21.499,0.0,22.742,71.467,883.895,0.0,0.0,0.0,883.895,157.252,0.0,,109.323,1156.855,1485.359,1485.359,0.0,0.0,234.429,0.0,81.012,41.096,,112.321,1719.788,2876.643,0.0,1360.344,1.321,1359.023,0,79.994,-57.891,1382.447,398.391,1780.838,4657.481,
03/31/2015,3935.624,154.785,154.785,0.0,630.322,630.322,0.0,0.0,0.0,0.0,0.0,0.0,620.96,,50.045,,564.966,1406.067,214.779,493.165,-278.386,439.24,439.24,1875.538,1643.354,572.047,1071.307,,182.139,2529.557,,238.84,20.075,,,218.765,0.0,0.0,,,0.0,88.415,,,88.415,327.255,1844.622,1844.622,,,239.693,,84.009,,,155.684,2084.315,2411.57,0.0,1332.753,1.284,1331.469,0,-71.745,-83.962,1177.046,347.008,1524.054,3935.624,
06/30/2015,5710.602,1140.814,1140.814,0.0,723.322,723.322,0.0,0.0,0.0,0.0,0.0,0.0,1249.876,,36.692,,1209.29,3114.012,208.968,493.799,-284.831,495.626,495.626,1891.996,1655.379,573.412,1081.967,,199.925,2596.59,,39.24,35.281,,,3.959,0.0,0.0,,,0.0,257.687,,,257.687,296.927,3440.654,3440.654,,,232.2,,86.967,,,145.233,3672.854,3969.781,0.0,1343.61,1.285,1342.325,0,92.262,-53.624,1382.248,358.573,1740.821,5710.602,
09/30/2015,6731.655,247.352,247.352,0.0,773.173,773.173,0.0,0.0,0.0,0.0,0.0,0.0,663.953,,46.156,,630.397,1684.478,292.448,593.05,-300.602,63.482,63.482,4691.247,3633.881,1797.754,1836.127,792.021,219.189,5047.177,,62.313,56.113,,,6.2,16.864,0.0,,,16.864,429.404,,,429.404,508.581,4133.06,4133.06,,,231.995,,71.734,40.284,,119.977,4365.055,4873.636,0.0,1355.58,1.286,1354.294,0,187.104,-62.732,1479.952,378.067,1858.019,6731.655,
12/31/2015,6672.314,223.444,223.444,0.0,816.679,816.679,0.0,0.0,0.0,0.0,0.0,0.0,687.758,,91.954,,687.758,1727.881,293.23,592.383,-299.153,65.807,65.807,4585.396,3590.311,1804.748,1785.563,741.823,161.308,4944.433,,195.277,35.308,2.029,8.4,149.54,499.174,0.0,0.0,0.0,499.174,280.198,0.0,,184.158,974.649,3511.098,3511.098,0.0,0.0,250.391,0.0,108.457,41.992,,99.942,3761.489,4736.138,0.0,1348.778,1.287,1347.491,0,305.386,-130.233,1523.931,412.245,1936.176,6672.314,
03/31/2016,6638.324,216.798,216.798,0.0,763.283,763.283,0.0,0.0,0.0,0.0,0.0,0.0,673.694,,124.341,,673.694,1653.775,288.908,600.593,-311.685,812.337,812.337,3883.304,3603.341,1822.337,1781.004,,155.622,4984.549,,323.798,48.042,,,275.756,499.399,0.0,,,499.399,228.677,,,142.188,1051.874,3200.794,3200.794,,,269.106,,73.012,44.034,,152.06,3469.9,4521.774,0.0,1367.591,1.29,1366.301,0,566.621,-88.749,1845.463,271.087,2116.55,6638.324,
06/30/2016,6512.715,185.923,185.923,0.0,835.644,835.644,0.0,0.0,0.0,0.0,0.0,0.0,671.375,,142.563,,671.375,1692.942,279.62,604.602,-324.982,743.974,743.974,3796.179,3501.654,1785.349,1716.305,,151.962,4819.773,,216.038,61.464,,8.407,146.167,749.487,0.0,,,749.487,234.836,,,133.428,1200.361,2877.451,2877.451,,,266.875,,73.341,44.564,,148.97,3144.326,4344.687,0.0,1376.596,1.29,1375.306,0,718.292,-210.334,1884.554,283.474,2168.028,6512.715,
09/30/2016,6647.774,329.573,329.573,0.0,777.794,777.794,0.0,0.0,0.0,0.0,0.0,0.0,692.719,,148.692,,692.719,1800.086,286.392,629.917,-343.525,58.155,58.155,4503.141,3514.912,1806.72,1708.192,687.911,151.626,4847.688,,189.237,28.092,2.621,38.838,119.686,749.747,0.0,,,749.747,261.912,,,159.179,1200.896,2832.971,2832.971,,,279.76,,72.795,47.724,,159.241,3112.731,4313.627,0.0,1379.459,1.291,1378.168,0,826.795,-178.573,2027.681,306.466,2334.147,6647.774,
12/31/2016,6200.294,122.937,122.937,0.0,808.133,808.133,0.0,0.0,0.0,0.0,0.0,0.0,727.029,,175.291,,727.029,1658.099,286.399,640.834,-354.435,58.154,58.154,4197.642,3234.873,1642.169,1592.704,641.327,146.151,4542.195,,194.703,42.223,0.456,6.644,145.38,249.932,0.0,0.0,0.0,249.932,271.896,0.0,,193.909,716.531,2952.454,2952.454,0.0,0.0,302.881,0.0,165.468,47.008,,90.405,3255.335,3971.866,0.0,1391.704,1.293,1390.411,0,871.766,-363.701,1899.769,328.659,2228.428,6200.294,
03/31/2017,6202.592,107.673,107.673,0.0,784.514,784.514,0.0,0.0,0.0,0.0,0.0,0.0,683.659,,176.446,,683.659,1575.846,302.042,650.669,-348.627,58.154,58.154,4266.55,3266.728,1666.131,1600.597,676.328,147.048,4626.746,,221.834,30.316,,27.507,164.011,249.967,0.0,,,249.967,188.45,,,119.719,660.251,2803.592,2803.592,,,313.587,,82.911,58.452,,172.224,3117.179,3777.43,0.0,1418.702,1.298,1417.404,0,1035.764,-296.371,2158.095,267.067,2425.162,6202.592,
06/30/2017,6516.569,131.557,131.557,0.0,912.018,912.018,0.0,0.0,0.0,0.0,0.0,0.0,709.836,,192.753,,709.836,1753.411,315.543,672.482,-356.939,76.601,76.601,4371.014,3379.093,1756.514,1622.579,647.139,152.029,4763.158,,160.099,25.728,,6.528,127.843,0.0,0.0,,,0.0,262.232,,,142.255,422.331,2979.729,2979.729,,,319.736,,82.615,59.798,,177.323,3299.465,3721.796,0.0,1426.909,1.298,1425.611,0,1230.668,-143.353,2514.224,280.549,2794.773,6516.569,
09/30/2017,6476.414,114.729,114.729,0.0,815.116,815.116,0.0,0.0,0.0,0.0,0.0,0.0,726.564,,208.543,,726.564,1656.409,318.875,680.947,-362.072,76.101,76.101,4425.029,3375.47,1788.794,1586.676,654.461,186.555,4820.005,,205.944,40.797,,27.469,137.678,0.0,0.0,,,0.0,314.105,,,163.858,520.049,2665.867,2665.867,,,318.541,,80.709,56.351,,181.481,2984.408,3504.457,0.0,1440.024,1.3,1438.724,0,1315.549,-86.0,2669.573,302.384,2971.957,6476.414,
12/31/2017,6521.68,130.357,130.357,0.0,914.812,914.812,0.0,0.0,0.0,0.0,0.0,0.0,703.351,,104.859,,703.351,1748.52,333.068,703.894,-370.826,78.501,78.501,4361.591,3404.079,1819.693,1584.386,662.309,190.344,4773.16,,237.805,48.149,35.841,6.504,147.311,0.0,0.0,0.0,0.0,0.0,335.465,0.0,,187.331,573.27,2522.005,2522.005,0.0,0.0,315.217,0.0,176.686,65.319,,73.212,2837.222,3410.492,0.0,1450.024,1.301,1448.723,0,1341.974,-13.809,2778.189,332.999,3111.188,6521.68,
