Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch of Interbank Asset,Net Ch of Interbank Liab,Net Ch in Operating Loans,Change of Accrued Interest Receivable,Change of Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2002,65.0,45.0,44.0,-29.5,,,,-29.5,5.5,,,,,,,,,,,-4.1,,-4.1,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,15.6,24.299999,
03/31/2003,39.5,38.599998,36.700001,-20.200001,,,,-20.200001,-15.6,,,,,,,,,,,-2.1,,-2.1,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,1.3,3.1,
06/30/2003,18.9,47.5,33.4,-31.2,,,,-31.2,-30.8,,,,,,,,,,-138.7,-3.0,,-3.0,-135.7,26.5,-162.2,,,,,,,,,0.0,-16.4,,,,,,,-1.3,5.1,-6.4,,-15.1,,-136.2,47.1,26.5,
09/30/2003,109.800003,50.900002,32.099998,3.1,,,,3.1,23.700001,,,,,,,,,,,-7.9,,-7.9,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,17.0,3.1,
12/31/2003,92.0,812.900024,32.200001,-856.200012,,,,-856.200012,103.099998,,,,,,,,,,,-10.9,,-10.9,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,16.6,26.6,
03/31/2004,78.300003,-22.1,40.099998,-18.200001,,,,-18.200001,78.5,,,,,,,,,,-20.700001,-5.0,0.0,-5.0,-11.7,0.0,-11.7,0.0,,,,,,,,-4.000001,-1.9,0.0,0.0,,,,,-1.6,4.7,-6.3,0.0,-0.3,,55.700001,9.7,3.1,
06/30/2004,45.0,130.2,31.9,-190.2,,,,-190.2,73.1,,,,,,,,,,315.4,-10.8,0.0,-10.8,314.5,336.6,-22.1,0.0,,,,,,,,11.7,-538.3,0.0,-529.0,,,,,0.2,1.4,-1.2,0.0,-9.5,,-177.9,26.0,24.4,
09/30/2004,-178.0,51.299999,28.299999,-4.7,,,,-4.7,-252.899994,,,,,,,,,,-4.1,-7.6,0.0,-7.6,3.5,14.8,-11.3,0.0,,,,,,,,0.0,-53.900002,-9.6,0.0,,,,,-42.800002,0.6,-43.400002,0.0,-1.5,,-236.0,176.100006,4.8,
12/31/2004,44.299999,18.200001,53.0,-45.799999,,,,-45.799999,18.9,,,,,,,,,,-336.399994,-3.1,0.0,-3.1,-333.299988,0.0,-333.299988,0.0,,,,,,,,-6e-06,-45.399999,0.0,0.0,,,,,-45.699999,3.1,-48.799999,0.0,0.3,,-337.5,0.9,18.799999,
03/31/2005,43.799999,19.6,32.599998,13.9,,,,13.9,-22.299999,,,,,,,,,,-5.8,-2.4,0.0,-2.4,2.399994,135.399994,-133.0,0.0,,,,,,,,-5.799994,-110.299997,0.0,0.0,,,,,-104.199997,2.0,-106.199997,0.0,-6.1,,-72.300003,1.1,3.1,
06/30/2005,100.1,25.7,31.4,-3.5,,,,-3.5,46.5,,,,,,,,,,83.4,-7.3,0.0,-7.3,90.7,93.9,-3.2,0.0,,,,,,,,0.0,-62.3,0.0,0.0,,,,,-55.6,3.1,-58.7,0.0,-6.7,,121.2,2.8,10.5,
09/30/2005,58.5,31.7,30.3,-18.6,,,,-18.6,15.1,,,,,,,,,,2.8,-7.2,0.0,-7.2,10.0,16.2,-6.2,0.0,,,,,,,,0.0,-111.2,-9.1,0.0,,,,,-100.6,2.2,-102.8,0.0,-1.5,,-49.9,25.0,3.1,
12/31/2005,70.800003,10.8,29.9,59.900002,,,,59.900002,-29.799999,,,,,,,,,,-15.6,-6.7,0.0,-6.7,-12.5,8.1,-20.6,0.0,,,,,,,,3.599999,-28.600001,0.0,0.0,,,,,-29.000001,13.7,-42.700001,0.0,0.4,,26.6,48.799999,10.4,
03/31/2006,32.2,35.3,32.3,10.4,,7.6,,2.8,-45.8,,,,,,,,,,-128.2,-5.5,0.0,-5.5,-32.7,19.8,-52.5,0.0,,,,,,,,-90.0,-129.4,0.0,0.0,,,,,-117.8,23.1,-140.9,0.0,-11.6,,-225.4,6.9,3.1,
06/30/2006,114.6,31.1,32.3,-2.1,,,,-2.1,53.3,,,,,,,,,,10.4,-2.4,0.0,-2.4,12.8,15.6,-2.8,0.0,,,,,,,,0.0,-114.3,-8.3,0.0,,,,,-98.1,11.3,-109.4,0.0,-7.9,,10.7,12.6,10.6,
09/30/2006,43.6,29.5,13.3,4.4,,,,4.4,-3.6,,,,,,,,,,-66.0,-1.3,0.0,-1.3,50.0,55.4,-5.4,0.0,,,,,,,,-114.7,137.2,0.0,275.0,,,,,-133.4,4.7,-138.1,0.0,-4.4,,114.8,36.0,8.4,
12/31/2006,106.2,37.7,26.2,-10.0,,,,-10.0,52.3,,,,,,,,,,229.6,-5.6,0.0,-5.6,122.7,127.3,-4.6,0.0,,,,,,,,112.5,-234.0,0.0,-113.1,,,,,-120.8,7.2,-128.0,0.0,-0.1,,107.1,26.2,10.4,
03/31/2007,-18.5,35.6,21.8,20.4,,19.0,,1.4,-96.3,,,,,,,,,,-21.5,-5.9,,-5.9,66.1,114.4,-48.3,,,,,,,,,-81.7,-208.9,,,,,,,-196.0,18.4,-214.4,,-12.9,,-248.9,8.9,11.1,
06/30/2007,122.7,48.8,18.7,-9.4,,,,-9.4,64.6,,,,,,,,,,-13.4,-3.9,0.0,-3.9,-9.3,3.4,-12.7,0.0,,,,,,,,-0.2,316.4,-7.2,590.3,,,,,-250.1,27.2,-277.3,0.0,-16.6,,425.7,9.4,8.4,
09/30/2007,53.6,12.2,17.2,-2.2,,,,-2.2,26.4,,,,,,,,,,-2.7,-3.8,0.0,-3.8,1.6,2.6,-1.0,0.0,,,,,,,,-0.5,-176.8,0.0,0.0,,,,,-172.8,11.1,-183.9,0.0,-4.0,,-125.9,32.9,8.1,
12/31/2007,64.8,29.7,25.7,-12.0,,,,-12.0,21.4,,,,,,,,,,-111.9,-3.1,0.0,-3.1,-108.2,7.3,-115.5,0.0,,,,,,,,-0.6,-144.6,0.0,0.0,,,,,-142.9,27.1,-170.0,0.0,-1.7,,-201.7,34.5,27.9,
03/31/2008,1.3,37.4,18.5,23.4,,10.9,,12.5,-78.0,,,,,,,,,,-76.6,-4.2,,-4.2,-11.5,35.9,-47.4,,,,,,,,,-60.9,-135.9,,,,,,,-131.8,10.7,-142.5,,-4.1,,-211.2,19.6,8.1,
06/30/2008,73.3,66.3,19.6,-20.6,,,,-20.6,8.0,,,,,,,,,,9.4,-4.8,0.0,-4.8,5.2,10.0,-4.8,0.0,,,,,,,,9.0,-80.3,-6.5,0.0,,,,,-65.4,9.9,-75.3,0.0,-8.4,,2.4,41.0,40.6,
09/30/2008,87.0,25.4,17.9,34.1,,,,34.1,9.6,,,,,,,,,,3.8,-5.1,0.0,-5.1,8.4,19.9,-11.5,0.0,,,,,,,,0.5,-68.8,0.0,0.0,,,,,-66.7,5.3,-72.0,0.0,-2.1,,22.0,33.5,-4.7,
12/31/2008,68.4,7.8,15.3,1.3,,,,1.3,44.0,,,,,,,,,,-82.6,-6.0,0.0,-6.0,17.1,25.7,-8.6,0.0,,,,,,,,-93.7,-2.5,0.0,0.0,,,,,-1.8,0.1,-1.9,0.0,-0.7,,-16.7,5.8,27.8,
03/31/2009,-27.4,-818.1,8.9,836.9,7.2,-37.7,9.2,858.2,-55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.1,0.0,-17.6,-4.2,0.0,-4.2,-12.2,27.3,-39.5,0.0,0.0,0.0,0.0,-1.2,0.0,-1.2,0.0,0.0,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,-5.7,0.0,-50.5,4.3,8.4,
06/30/2009,47.4,15.8,8.0,14.2,-0.3,4.6,9.3,0.6,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,-0.1,-2.5,0.0,-2.5,2.5,7.1,-4.6,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,0.0,0.0,-60.7,-6.5,-22.0,0.0,0.0,0.0,-22.0,0.3,0.3,0.0,0.0,-32.5,0.0,-13.4,8.9,28.9,
09/30/2009,60.9,8.2,8.7,32.3,-0.9,19.4,13.1,0.7,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,14.4,-1.4,0.0,-1.4,15.8,20.9,-5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.6,0.0,-264.5,0.0,0.0,170.0,-434.5,218.9,218.9,0.0,0.0,-12.0,0.0,17.7,-13.8,10.2,
12/31/2009,95.6,37.0,10.3,14.7,-0.4,1.8,9.4,3.9,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.0,-6.3,-0.9,0.0,-0.9,-5.4,11.6,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.1,0.0,0.0,0.0,-0.1,0.3,0.3,0.0,0.0,-1.2,0.0,88.3,1.3,19.4,
03/31/2010,-4.8,31.3,9.9,26.6,-0.7,11.3,13.1,2.9,-72.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.6,0.0,-19.3,-2.4,0.0,-2.4,-16.9,30.2,-47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.6,0.0,-0.3,0.0,0.0,0.0,-0.3,3.6,3.6,0.0,0.0,-34.9,0.0,-55.7,14.7,5.5,
06/30/2010,88.2,30.2,9.9,11.3,-3.2,-0.7,14.3,0.9,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0.0,-79.6,-3.4,0.0,-3.4,-76.2,19.5,-95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.1,-7.4,-0.2,0.0,0.0,0.0,-0.2,0.6,0.6,0.0,0.0,-11.1,0.0,-9.5,36.4,19.4,
09/30/2010,61.5,32.5,9.8,24.1,-0.9,6.0,14.3,4.7,-4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9,0.0,-30.8,-2.2,0.0,-2.2,-28.6,7.2,-35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,0.0,-0.3,0.0,0.0,0.0,-0.3,0.7,0.7,0.0,0.0,-2.6,0.0,28.5,20.3,5.5,
12/31/2010,101.7,65.9,9.5,12.0,-19.9,12.5,14.3,5.1,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,-18.3,-2.2,0.0,-2.2,-16.1,24.3,-40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,-0.2,0.0,0.0,0.0,-0.2,3.0,3.0,0.0,0.0,-1.0,0.0,85.2,8.9,19.4,
03/31/2011,9.2,37.9,9.0,36.8,-1.7,15.0,9.1,14.4,-74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.5,0.0,25.6,-0.8,0.0,-0.8,26.4,65.8,-39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.4,0.0,-131.0,0.0,0.0,0.0,-131.0,4.6,4.6,0.0,0.0,-3.0,0.0,-94.6,-0.2,6.1,
06/30/2011,93.3,41.9,8.4,10.8,1.4,-6.9,11.5,4.8,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,0.0,-86.8,-1.7,0.0,-1.7,-85.1,22.9,-108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.6,-9.3,-0.3,0.0,0.0,0.0,-0.3,1.4,1.4,0.0,0.0,-7.4,0.0,-9.1,41.8,14.8,
09/30/2011,47.8,27.4,8.1,26.7,23.4,-9.0,10.8,1.5,-14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.4,0.0,116.0,-2.5,0.0,-2.5,118.5,129.3,-10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.9,-9.3,-92.4,0.0,0.0,0.0,-92.4,0.4,0.4,0.0,0.0,-2.6,0.0,59.9,24.9,5.5,
12/31/2011,74.3,35.7,7.8,12.2,-1.2,3.2,3.3,6.9,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,-33.1,-2.3,0.0,-2.3,-30.8,10.0,-40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.6,-9.4,-0.3,0.0,0.0,0.0,-0.3,0.5,0.5,0.0,0.0,-1.4,0.0,30.6,23.5,14.9,
03/31/2012,-4.9,22.6,8.1,31.8,-6.3,15.0,9.7,13.4,-67.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.4,0.0,-24.3,-1.8,0.0,-1.8,-22.5,39.5,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.7,-9.4,-65.8,0.0,0.0,0.0,-65.8,-0.3,2.1,-2.4,0.0,-3.2,0.0,-107.9,1.8,3.9,
06/30/2012,71.1,23.4,8.0,11.2,7.0,-4.3,6.4,2.1,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,6.9,-1.0,0.0,-1.0,7.9,18.4,-10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.0,-11.3,-0.5,0.0,0.0,0.0,-0.5,-5.9,0.4,-6.3,0.0,-8.3,0.0,52.0,17.6,13.3,
09/30/2012,75.3,25.1,9.9,4.7,-7.6,1.4,6.4,4.5,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,-13.9,-1.6,0.0,-1.6,-12.3,11.6,-23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.8,-11.2,-0.3,0.0,0.0,0.0,-0.3,2.8,9.0,-6.2,0.0,-4.1,0.0,48.6,7.9,2.7,
12/31/2012,67.4,31.2,12.5,1.7,-4.2,-0.9,3.6,3.2,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,-6.9,-2.8,0.0,-2.8,-4.1,30.5,-34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.2,-22.5,-0.2,0.0,0.0,0.0,-0.2,-1.7,0.9,-2.6,0.0,-1.8,0.0,34.3,10.4,13.1,
03/31/2013,-13.3,28.0,7.5,21.3,-4.6,16.8,5.5,3.6,-70.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.1,0.0,-50.2,-1.3,0.0,-1.3,-48.9,68.2,-117.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6,0.0,-0.2,0.0,0.0,0.0,-0.2,0.3,3.9,-3.6,0.0,-3.7,0.0,-67.1,0.8,2.8,
06/30/2013,67.0,15.8,7.3,23.6,6.1,-4.3,6.5,15.3,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,0.0,-5.9,-2.3,0.0,-2.3,-3.6,25.7,-29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.2,-13.3,-0.3,0.0,0.0,0.0,-0.3,-5.6,3.4,-9.0,0.0,-11.0,-1.5,29.4,33.0,14.5,
09/30/2013,78.3,32.6,7.1,3.5,-7.9,1.0,6.5,3.9,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,-4.5,-1.4,0.0,-1.4,-3.1,18.3,-21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.8,-13.2,-9.2,0.0,0.0,0.0,-9.2,-8.2,1.4,-9.6,0.0,-34.2,-0.1,8.9,12.4,1.1,
12/31/2013,92.1,38.3,6.8,-0.9,-0.1,-11.4,6.5,4.1,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9,0.0,-174.7,-2.6,0.0,-2.6,-172.1,45.4,-217.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.9,-13.3,-16.4,0.0,0.0,0.0,-16.4,0.9,12.1,-11.2,0.0,97.7,0.0,-13.7,5.3,12.6,
03/31/2014,-36.0,30.5,6.6,37.0,1.1,29.6,4.2,2.1,-110.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.1,0.0,95.6,-1.6,0.0,-1.6,97.2,120.3,-23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.1,-13.4,-0.2,0.0,0.0,0.0,-0.2,-9.2,2.1,-11.3,0.0,-1.3,0.0,35.5,21.9,1.5,
06/30/2014,65.9,36.3,6.2,7.8,-0.9,3.0,3.6,2.1,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,71.5,-3.5,0.0,-3.5,75.0,101.7,-26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.1,-15.2,-39.3,0.0,0.0,0.0,-39.3,-23.6,1.8,-25.4,0.0,-1.0,-0.1,58.2,33.7,12.7,
09/30/2014,100.1,40.9,6.2,-1.4,-1.3,-3.4,3.9,-0.6,54.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4,0.0,-2.5,-2.4,0.0,-2.4,-0.1,109.5,-109.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.9,-15.0,-60.4,0.0,0.0,0.0,-60.4,-24.7,0.8,-25.5,0.0,-0.8,0.0,-3.3,18.5,1.4,
12/31/2014,88.4,46.7,6.6,0.8,3.0,-9.1,8.1,-1.2,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,-36.2,-3.9,0.0,-3.9,-3.9,5.3,-9.2,0.0,0.0,0.0,0.0,-28.4,0.0,-28.4,0.0,0.0,-34.2,-14.8,-0.2,0.0,0.0,0.0,-0.2,-19.2,5.8,-25.0,0.0,0.0,-0.4,17.6,15.6,11.6,
03/31/2015,-58.9,44.6,7.4,41.2,-4.4,32.9,13.1,-0.4,-152.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-152.1,0.0,-33.0,-1.0,0.0,-1.0,-32.0,3.3,-35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2,-15.0,-0.3,0.0,0.0,0.0,-0.3,-10.3,13.2,-23.5,0.0,20.4,-0.3,-97.4,21.0,0.4,
06/30/2015,87.3,44.7,7.6,16.6,3.1,-1.0,12.9,1.6,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,-116.6,-3.6,0.0,-3.6,-24.3,27.1,-51.4,0.0,0.0,0.0,0.0,-88.7,0.0,-88.7,0.0,0.0,-23.1,-16.8,-0.1,0.0,0.0,0.0,-0.1,-9.0,2.2,-11.2,0.0,2.8,-3.5,-55.9,46.5,11.6,
09/30/2015,122.0,19.9,9.0,55.1,7.2,-1.3,13.3,35.9,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,-7.3,-3.1,0.0,-3.1,-11.5,12.0,-23.5,0.0,0.0,0.0,0.0,7.3,0.0,7.3,0.0,0.0,-120.6,-16.8,-83.4,0.0,0.0,297.1,-380.5,-25.5,0.5,-26.0,0.0,5.1,-0.9,-6.8,10.0,5.2,
12/31/2015,124.0,46.6,9.0,9.3,2.3,-6.7,12.9,0.8,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.1,0.0,-26.8,-6.0,0.0,-6.0,-20.8,25.2,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.3,-16.6,-0.4,0.0,0.0,0.0,-0.4,-26.9,4.2,-31.1,0.0,18.6,0.1,72.0,12.9,0.0,
03/31/2016,-44.0,35.1,9.1,37.3,-1.7,22.3,15.2,1.5,-125.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125.5,0.0,41.4,-1.9,0.0,-1.9,43.3,67.0,-23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.6,-16.7,-0.3,0.0,0.0,0.0,-0.3,-26.4,6.2,-32.6,0.0,-11.2,0.0,-57.2,3.7,7.8,
06/30/2016,104.3,39.0,8.9,13.5,-0.7,-2.3,13.3,3.2,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0.0,-29.7,-2.5,0.0,-2.5,-27.2,6.7,-33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.5,-20.3,-0.4,0.0,0.0,0.0,-0.4,-23.0,1.2,-24.2,0.0,-0.8,-0.2,29.9,28.9,0.0,
09/30/2016,110.1,41.1,9.0,12.9,1.8,-2.3,14.5,-1.1,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1,0.0,-37.6,-2.4,0.0,-2.4,-35.2,16.9,-52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.5,-20.1,-12.6,0.0,0.0,0.0,-12.6,-13.2,0.4,-13.6,0.0,5.4,0.0,32.0,20.5,7.7,
12/31/2016,94.5,30.9,8.5,9.2,3.1,-14.4,13.2,7.3,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,0.0,39.2,-2.5,0.0,-2.5,41.7,54.4,-12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.4,-20.1,11.9,,,,,-0.9,0.8,-1.7,0.0,-7.3,-0.5,116.8,21.0,0.0,
03/31/2017,-50.1,30.9,7.8,29.0,-1.2,22.1,10.6,-2.5,-117.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.8,0.0,18.1,-1.8,0.0,-1.8,19.9,29.8,-9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.5,-20.3,-0.2,0.0,0.0,0.0,-0.2,-10.8,2.6,-13.4,0.0,-64.2,0.3,-127.2,10.8,7.7,
