Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1994,1210,,,,-1028,,,,182,-40,,39,,0.0,1,142,-55,87,10.0,,,77,0.0,77,-5.0,,72.0,72.0,,270.870003,0.263333,0.3,0.3,270.870003,0.263333,0.3,0.3,
06/30/1994,1192,,,,-1014,,,,178,-44,0.0,39,0.0,0.0,5,134,-52,82,0.0,,,82,0.0,82,-4.9,0.0,77.1,77.1,0.0,270.732009,0.283333,0.283333,0.0,270.732009,0.283333,0.283333,0.283333,
09/30/1994,1249,,,,-1020,,,,229,-41,,40,,0.0,1,188,-73,115,0.0,,,115,0.0,115,-5.0,,110.0,110.0,,270.501,0.406667,0.406667,0.406667,270.501,0.406667,0.406667,0.406667,
12/31/1994,1344,,,,-848,,,,264,-33,,37,,0.0,-4,231,-89,142,0.0,,,142,0.0,142,-7.1,,134.9,134.9,,270.285003,0.503333,0.503333,0.503333,270.285003,0.503333,0.503333,0.503333,
03/31/1995,1342,,,,-1137,,,,205,-40,,43,,0.0,-3,165,-64,101,100.0,,,1,0.0,1,0.0,,1.0,1.0,,270.900009,-0.02,0.35,0.35,270.900009,-0.02,0.35,0.35,
06/30/1995,1279,,,,-1037,,,,242,-35,,50,,0.0,-15,207,-83,124,0.0,,,124,0.0,124,-4.8,,119.2,119.2,,272.502,0.436667,0.436667,0.436667,272.502,0.42,0.42,0.42,
09/30/1995,1455,,,,-1201,,,,254,-31,,52,,0.0,-21,223,-90,133,0.0,,,133,0.0,133,-5.0,,128.0,128.0,,290.610009,0.44,0.44,0.44,290.610009,0.426667,0.426667,0.426667,
12/31/1995,2087,,,,-2262,,,,-175,-91,,75,,0.0,16,-266,106,-166,0.0,,,-160,0.0,-166,-6.2,,-172.2,-172.2,,429.599991,-0.4,-0.4,0.443333,429.599991,-0.4,-0.4,0.443333,
03/31/1996,2027,,,,-1642,,,,385,-79,,75,,0.0,4,306,-119,187,0.0,,,187,0.0,187,0.0,,187.0,187.0,,465.0,0.416667,0.416667,0.416667,465.0,0.406667,0.406667,0.406667,
06/30/1996,2024,,,,-1606,,,,418,-74,,73,,0.0,1,344,-133,211,0.0,,,211,0.0,211,0.0,,211.0,211.0,,468.300018,0.46,0.46,0.46,468.300018,0.453333,0.453333,0.453333,
09/30/1996,2044,,,,-1568,,,,476,-72,,76,,0.0,-4,404,-157,247,0.0,,,247,0.0,247,0.0,,247.0,247.0,,468.900009,0.54,0.54,0.54,468.900009,0.53,0.53,0.53,
12/31/1996,2046,,,,-1577,,,,469,-83,,77,,0.0,6,386,-142,244,0.0,,,244,0.0,244,0.0,,244.0,244.0,,470.400009,0.53,0.53,0.53,470.400009,0.523333,0.523333,0.523333,
03/31/1997,2024,,,,-1707,,,,329,-87,,84,,0.0,3,242,-92,150,0.0,,,150,0.0,150,0.0,,150.0,150.0,,461.699982,0.323333,0.323333,0.323333,469.199982,0.32,0.32,0.32,
06/30/1997,2064,,,,-1605,,,,459,-85,,85,,0.0,0,374,-139,235,0.0,,,235,0.0,235,0.0,,235.0,235.0,,462.599991,0.51,0.51,0.51,469.5,0.5,0.5,0.5,
09/30/1997,2138,,,,-1597,,,,541,-96,,86,,0.0,10,445,-162,283,0.0,,,283,0.0,283,0.0,,283.0,283.0,,465.800994,0.61,0.61,0.61,472.199982,0.6,0.6,0.6,
12/31/1997,2144,,,,-1646,,,,528,-185,,89,,0.0,96,343,-126,217,0.0,,,217,0.0,217,0.0,,217.0,217.0,,467.400009,0.466667,0.466667,0.583333,467.400009,0.46,0.46,0.58,
03/31/1998,2148,,,,-1701,,,,447,-11,,88,,0.0,-77,436,-171,265,0.0,,,265,0.0,265,0.0,,265.0,265.0,,469.199982,0.56,0.56,0.496667,475.199982,0.56,0.56,0.49,
06/30/1998,2205,,,,-1690,,,,529,-89,,85,,0.0,4,440,-163,277,0.0,,,277,0.0,277,0.0,,277.0,277.0,,472.101012,0.59,0.59,0.59,478.298997,0.58,0.58,0.58,
09/30/1998,2294,,,,-1680,,,,614,-110,91.0,91,,0.0,19,504,-187,317,0.0,,,317,0.0,317,0.0,0.0,317.0,317.0,,471.7,0.67,0.67,0.67,477.0,0.66,0.66,0.66,
12/31/1998,2294,,,,-1726,,,,568,-99,,90,,0.0,9,469,-173,296,0.0,,,296,0.0,296,0.0,,296.0,296.0,,469.299988,0.63,0.63,0.63,474.200012,0.63,0.63,0.63,
03/31/1999,2190,,,,-1710,,,,480,-103,94.0,94,,,9,377,-141,236,,,,236,,236,,,236.0,236.0,,469.3,0.5,0.5,0.5,474.7,0.5,0.5,0.5,
06/30/1999,2194,,,,-1655,,,,539,-158,98.0,98,,0.0,60,381,-143,238,0.0,,,238,0.0,238,0.0,,238.0,238.0,48.0,467.5,0.51,0.51,0.51,471.5,0.5,0.5,0.5,
09/30/1999,2346,,,,-1715,,,,631,-74,99.0,99,,0.0,-25,557,-209,348,0.0,,,348,0.0,348,0.0,0.0,348.0,348.0,,460.9,0.76,0.76,0.76,464.1,0.75,0.75,0.75,
12/31/1999,2390,,,,-1787,,,,603,-99,96.0,96,,,3,504,-189,315,,,,315,,315,,,315.0,315.0,,455.2,0.69,0.69,0.69,456.8,0.69,0.69,0.69,
03/31/2000,2238,,,,-1728,,,,510,-119,104.0,104,,,15,391,-148,243,,,,243,,243,,,243.0,243.0,,444.2,0.55,0.55,0.55,445.5,0.55,0.55,0.55,
06/30/2000,2235,,,,-1752,,,,483,-123,115.0,115,,,8,360,-137,223,,,,223,,223,,,223.0,223.0,,417.1,0.53,0.53,0.53,418.4,0.53,0.53,0.53,
09/30/2000,2315,,,,-1744,,,,571,-153,117.0,117,,,36,418,-159,259,,,,259,,259,,,259.0,259.0,,401.3,0.65,0.65,0.65,402.5,0.64,0.64,0.64,
12/31/2000,2339,,,,-1795,,,,544,-128,117.0,117,,,11,416,-161,255,,,,255,,255,0.0,0.0,255.0,255.0,,391.4,0.65,0.65,0.65,394.4,0.65,0.65,0.65,
03/31/2001,2292,,,,-1873,,,,419,-193,120.0,120,,,73,226,-86,140,6.0,,,134,,134,,,134.0,134.0,,391.7,0.34,0.36,0.36,394.1,0.34,0.36,0.36,
06/30/2001,2271,,,,-1843,,,,428,-120,115.0,115,,,5,308,-113,195,,,,195,,195,,,195.0,195.0,,389.0,0.5,0.5,0.5,393.8,0.5,0.5,0.5,
09/30/2001,2343,,,,-1841,,,,502,-137,117.0,117,,,20,365,-140,225,,,,225,,225,,,225.0,225.0,,387.3,0.58,0.58,0.58,390.2,0.58,0.58,0.58,
12/31/2001,2301,,,,-1900,,,,401,-121,,111,,0.0,10,280,-103,177,0.0,,,177,0.0,177,0.0,0.0,177.0,177.0,,386.5,0.46,0.46,0.57,386.5,0.46,0.46,0.57,
03/31/2002,2163,,,,-1795,,,,368,-93,109.0,109,,,-16,275,-103,172,,,,172,,172,,,172.0,172.0,,382.5,0.45,0.45,0.45,385.5,0.45,0.45,0.45,
06/30/2002,2207,,,,-1786,,,,421,-111,105.0,105,,,6,310,-116,194,,,,194,,194,,,194.0,194.0,,379.7,0.51,0.51,0.51,382.3,0.51,0.51,0.51,
09/30/2002,2308,,,,-1887,,,,421,-114,107.0,107,,,7,307,-115,192,,,,192,,192,,,192.0,192.0,,376.4,0.51,0.51,0.51,379.5,0.51,0.51,0.51,
12/31/2002,2301,,,,-1865,,,,436,-112,,107,,0.0,5,324,-122,202,0.0,,,202,0.0,202,0.0,0.0,202.0,202.0,,376.100006,0.54,0.54,0.54,376.100006,0.54,0.54,0.54,
03/31/2003,2232,,,,-1886,,,,346,-108,106.0,106,,,2,238,-90,148,-39.0,,,187,,187,,,187.0,187.0,,371.1,0.5,0.4,0.4,373.4,0.5,0.4,0.4,
06/30/2003,2294,,,,-1882,,,,412,-109,106.0,106,,,3,303,-103,200,,,,200,,200,,,200.0,200.0,,369.5,0.54,0.54,0.54,372.4,0.54,0.54,0.54,
09/30/2003,2395,,,,-1965,,,,430,-102,106.0,106,,,-4,328,-125,203,,,,203,,203,,,203.0,203.0,,368.3,0.55,0.55,0.55,371.4,0.55,0.55,0.55,
12/31/2003,2492,,,,-2015,,,,477,-115,102.0,102,,0.0,13,362,-136,226,0.0,,,226,0.0,226,0.0,0.0,226.0,226.0,,365.5,0.62,0.62,0.62,365.5,0.62,0.62,0.62,
03/31/2004,2490,,,,-2080,,,,410,-99,102.0,102,,,-3,311,-118,193,,,,193,,193,,,193.0,193.0,,369.4,0.52,0.52,0.52,374.0,0.52,0.52,0.52,
06/30/2004,2685,,,,-2177,,,,508,-106,101.0,101,,,5,402,-153,249,,,,249,,249,,,249.0,249.0,,368.3,0.68,0.68,0.68,373.5,0.67,0.67,0.67,
09/30/2004,2793,,,,-2693,,,,100,-97,102.0,102,,,-5,3,-1,2,,,,2,,2,,,2.0,2.0,,369.5,0.01,0.01,0.01,376.5,0.01,0.01,0.01,
12/31/2004,2978,,,,-2310,,,,668,-111,104.0,104,,0.0,7,557,-210,347,0.0,,,347,0.0,347,0.0,0.0,347.0,347.0,288.0,373.12,0.93,0.93,1.71,382.5,0.9,0.9,1.67,
03/31/2005,2982,,,,-2348,,,,634,-116,109.0,109,,0.0,7,518,-197,321,0.0,,,321,0.0,321,0.0,0.0,321.0,321.0,,374.0,0.86,0.86,0.86,384.6,0.83,0.83,0.83,
06/30/2005,3138,,,,-2428,,,,710,-120,112.0,112,,0.0,8,590,-224,366,0.0,,,366,0.0,366,0.0,0.0,366.0,366.0,,372.3,0.98,0.98,0.98,381.7,0.96,0.96,0.96,
09/30/2005,3317,,,,-2539,,,,778,-122,106.0,106,,0.0,16,656,-242,414,0.0,,,414,0.0,414,0.0,0.0,414.0,414.0,,370.8,1.12,1.12,1.12,380.4,1.09,1.09,1.09,
12/31/2005,3550,,,,-2750,,,,800,-110,,110,,0.0,6,684,-254,430,0.0,,,430,0.0,430,0.0,0.0,430.0,430.0,46.15,371.8,1.16,1.16,1.28,381.8,1.13,1.13,1.25,
03/31/2006,3463,,,,-2670,,,,793,-130,,121,,0.0,9,663,-253,410,0.0,,,410,0.0,410,0.0,0.0,410.0,410.0,,366.7,1.12,1.12,1.12,376.7,1.09,1.09,1.09,
06/30/2006,3701,,,,-2837,,,,864,-129,118.0,118,,0.0,11,735,-264,471,0.0,,,471,0.0,471,0.0,0.0,471.0,471.0,-14.828,361.7,1.3,1.3,1.26,370.7,1.27,1.27,1.23,
09/30/2006,3939,,,,-3019,,,,920,-135,125.0,125,,0.0,10,785,-297,488,0.0,,,488,0.0,488,0.0,0.0,488.0,488.0,,358.7,1.36,1.36,1.36,366.8,1.33,1.33,1.33,
12/31/2006,3882,,,,-2939,,,,943,-131,121.0,121,,0.0,10,812,-293,519,0.0,,,519,0.0,519,0.0,0.0,519.0,519.0,-12.002,358.0,1.45,1.45,1.42,365.3,1.42,1.42,1.39,
03/31/2007,3645,,,0.0,-2951,,,,694,-126,,121,,0.0,5,568,-219,349,0.0,,,349,0.0,349,0.0,0.0,349.0,349.0,,355.8,0.98,0.98,1.12,363.7,0.96,0.96,1.1,
06/30/2007,3843,,,,-3002,,,,841,-138,132.0,132,,0.0,6,703,-270,433,0.0,,,433,0.0,433,0.0,0.0,433.0,433.0,,354.1,1.22,1.22,1.22,360.8,1.2,1.2,1.2,
09/30/2007,4069,,,,-3068,,,,1001,-138,,132,,0.0,6,863,-333,530,,,,530,,530,0.0,0.0,530.0,530.0,,351.3,1.51,1.51,1.51,357.1,1.48,1.48,1.48,
12/31/2007,4245,,,,-3295,,,,950,-127,126.0,126,,0.0,1,823,-306,517,0.0,,,517,0.0,517,0.0,0.0,517.0,517.0,,349.342,1.48,1.48,1.48,354.3,1.46,1.46,1.46,
03/31/2008,4261,,,0.0,-3386,,,,875,-134,,134,,0.0,0,741,-286,455,0.0,,,455,0.0,455,0.0,0.0,455.0,455.0,,346.3,1.31,1.31,1.31,351.3,1.3,1.3,1.3,
06/30/2008,4478,,,0.0,-3764,,,,714,-145,,140,,,5,569,-219,350,0.0,,,350,0.0,350,0.0,0.0,350.0,350.0,116.85,344.9,1.01,1.01,1.35,349.2,1.0,1.0,1.34,
09/30/2008,4906,,,,-3699,,,,1207,-128,122.0,122,,0.0,6,1079,-384,695,0.0,,,695,0.0,695,0.0,0.0,695.0,695.0,-31.25,343.5,2.02,2.02,1.93,347.2,2.0,2.0,1.91,
12/31/2008,4373,,,,-3257,,,,1116,-137,137.0,137,,0.0,0,979,-364,615,0.0,,,615,0.0,615,0.0,,615.0,615.0,,343.5,1.79,1.79,1.79,343.5,1.79,1.79,1.79,
03/31/2009,3424,3424.0,,0.0,-2755,370.0,,2385.0,669,-201,,198,,,3,468,-175,293,0.0,0.0,0.0,293,0.0,293,0.0,0.0,293.0,359.261,66.261,339.3,0.86,0.86,1.05883,341.9,0.86,0.86,1.053802,
06/30/2009,3316,3316.0,,0.0,-2519,379.0,,2140.0,797,-138,,137,,,1,659,-255,404,0.0,0.0,0.0,404,,404,0.0,0.0,404.0,408.55,4.55,339.8,1.18,1.18,1.202325,341.9,1.18,1.18,1.193308,
09/30/2009,3595,3595.0,,0.0,-2694,386.0,,2308.0,901,-128,,127,,,1,773,-285,488,0.0,0.0,0.0,488,0.0,488,0.0,0.0,488.0,469.388,-18.612,340.2,1.43,1.43,1.379741,342.7,1.42,1.42,1.36569,
12/31/2009,3681,3570.0,111.0,0.0,-2786,402.0,,2384.0,895,-154,,151,,,3,741,-205,536,0.0,0.0,0.0,536,0.0,536,0.0,0.0,536.0,537.95,1.95,342.5,1.55,1.55,1.570657,342.5,1.55,1.55,1.555693,
03/31/2010,3864,3864.0,,0.0,-2874,419.0,,2455.0,990,-137,,135,,,2,853,-347,506,0.0,0.0,0.0,506,0.0,506,0.0,0.0,506.0,546.3,40.3,,,,,,,,,
06/30/2010,4094,4094.0,,0.0,-3008,434.0,,2574.0,1086,-112,,110,,,2,974,-371,603,0.0,0.0,0.0,603,0.0,603,0.0,0.0,603.0,603.0,0.0,,,,,,,,,
09/30/2010,4391,4391.0,,0.0,-3130,435.0,,2695.0,1261,-134,,132,,,2,1127,-421,706,0.0,0.0,0.0,706,0.0,706,0.0,0.0,706.0,706.0,0.0,,,,,,,,,
12/31/2010,4501,4501.0,,0.0,-3334,436.0,,2898.0,1167,-133,,130,,,3,1034,-390,644,0.0,0.0,0.0,644,0.0,644,0.0,0.0,644.0,603.7,-40.3,,,,,,,,,
03/31/2011,4533,4533.0,,0.0,-3429,446.0,,2983.0,1104,-139,,136,,,3,965,-358,607,0.0,0.0,0.0,607,0.0,607,0.0,0.0,607.0,607.0,0.0,,,,,,,,,
06/30/2011,4790,4790.0,,0.0,-3581,450.0,,3131.0,1209,-139,,138,,,1,1070,-380,690,0.0,0.0,0.0,690,0.0,690,0.0,0.0,690.0,690.0,0.0,,,,,,,,,
09/30/2011,4961,4961.0,,0.0,-3581,454.0,,3127.0,1380,-144,,142,,,2,1236,-470,766,0.0,0.0,0.0,766,0.0,766,0.0,0.0,766.0,766.0,0.0,,,,,,,,,
12/31/2011,5264,5264.0,,0.0,-3647,457.0,,3190.0,1617,-147,,144,,,3,1470,-561,909,0.0,0.0,0.0,909,0.0,909,0.0,0.0,909.0,909.0,0.0,,,,,,,,,
03/31/2012,5002,5002.0,,0.0,-3737,463.0,,3274.0,1265,-150,,148,,,2,1115,-414,701,0.0,0.0,0.0,701,0.0,701,0.0,0.0,701.0,701.0,0.0,,,,,,,,,
06/30/2012,5062,5062.0,,0.0,-3624,470.0,,3154.0,1438,-158,,155,,,3,1280,-478,802,0.0,0.0,0.0,802,0.0,802,0.0,0.0,802.0,802.0,0.0,,,,,,,,,
09/30/2012,5343,5343.0,,0.0,-3674,475.0,,3199.0,1669,-161,,157,,,4,1508,-571,937,0.0,0.0,0.0,937,,937,0.0,0.0,937.0,937.0,0.0,,,,,,,,,
12/31/2012,5428,5428.0,,0.0,-3788,481.0,,3307.0,1640,-166,,163,,,3,1474,-542,932,0.0,0.0,0.0,932,0.0,932,0.0,0.0,932.0,932.0,0.0,,,,,,,,,
03/31/2013,5284,5284.0,,0.0,-3816,483.0,,3333.0,1468,-179,,178,,,1,1289,-491,798,0.0,0.0,0.0,798,0.0,798,0.0,0.0,798.0,798.0,0.0,,,,,,,,,
06/30/2013,5322,5322.0,,0.0,-3745,489.0,,3256.0,1577,-180,,177,,,3,1397,-513,884,0.0,0.0,0.0,884,0.0,884,0.0,0.0,884.0,884.0,0.0,,,,,,,,,
09/30/2013,5651,5651.0,,0.0,-3911,493.0,,3418.0,1740,-184,,181,,,3,1556,-567,989,0.0,0.0,0.0,989,0.0,989,0.0,0.0,989.0,989.0,0.0,,,,,,,,,
12/31/2013,5757,5757.0,,0.0,-3875,508.0,,3367.0,1882,-196,,193,,,3,1686,-564,1122,0.0,0.0,0.0,1122,0.0,1122,0.0,,1122.0,1122.0,0.0,,,,,,,,,
03/31/2014,5447,5447.0,,0.0,-4079,515.0,,3564.0,1368,-199,,196,,,3,1169,-445,724,0.0,0.0,0.0,724,0.0,724,0.0,0.0,724.0,724.0,0.0,,,,,,,,,
06/30/2014,5735,5735.0,,0.0,-4055,523.0,,3532.0,1680,-208,,206,,,2,1472,-556,916,0.0,0.0,0.0,916,0.0,916,0.0,,916.0,916.0,0.0,,,,,,,,,
09/30/2014,5881,5881.0,,0.0,-4013,531.0,,3482.0,1868,-214,,211,,,3,1654,-619,1035,0.0,0.0,0.0,1035,0.0,1035,0.0,0.0,1035.0,1035.0,0.0,,,,,,,,,
12/31/2014,6176,6176.0,,0.0,-4079,554.0,,3525.0,2097,-223,,220,,,3,1874,-680,1194,0.0,0.0,0.0,1194,0.0,1194,0.0,0.0,1194.0,1194.0,0.0,,,,,,,,,
03/31/2015,5602,5602.0,,0.0,-3708,496.0,,3212.0,1894,-222,,217,,,5,1672,-627,1045,0.0,0.0,0.0,1045,0.0,1045,0.0,0.0,1045.0,1045.0,0.0,,,,,,,,,
06/30/2015,5369,5369.0,,0.0,-3600,489.0,,3111.0,1769,-233,,228,,,5,1536,-573,963,0.0,0.0,0.0,963,0.0,963,0.0,0.0,963.0,963.0,0.0,,,,,,,,,
09/30/2015,5600,5600.0,,0.0,-3511,503.0,,3008.0,2089,-250,,238,,,12,1839,-683,1156,0.0,0.0,0.0,1156,0.0,1156,0.0,0.0,1156.0,1156.0,0.0,,,,,,,,,
12/31/2015,5396,5396.0,,0.0,-3424,513.0,,2911.0,1972,-244,,245,,,-1,1728,-644,1084,0.0,0.0,0.0,1084,0.0,1084,0.0,0.0,1084.0,1084.0,0.0,,,,,,,,,
03/31/2016,4767,4767.0,,0.0,-3262,520.0,,2742.0,1505,-247,,245,,,2,1258,-474,784,0.0,0.0,0.0,784,0.0,784,0.0,0.0,784.0,784.0,0.0,,,,,,,,,
06/30/2016,4585,4585.0,,0.0,-3098,530.0,,2568.0,1487,-249,,249,,,0,1238,-466,772,0.0,0.0,0.0,772,0.0,772,0.0,0.0,772.0,772.0,0.0,,,,,,,,,
09/30/2016,5167,5167.0,,0.0,-3287,534.0,,2753.0,1880,-247,,250,,,-3,1633,-613,1020,0.0,0.0,0.0,1020,0.0,1020,0.0,0.0,1020.0,1020.0,0.0,,,,,,,,,
12/31/2016,5310,5310.0,,0.0,-3497,544.0,,2953.0,1813,-249,,248,,,1,1564,-571,993,0.0,0.0,0.0,993,0.0,993,0.0,0.0,993.0,993.0,0.0,,,,,,,,,
03/31/2017,5185,5185.0,,0.0,-3605,573.0,,3032.0,1580,-235,,252,,,-17,1345,-507,838,0.0,0.0,0.0,838,0.0,838,0.0,0.0,838.0,838.0,0.0,,,,,,,,,
06/30/2017,5250,5250.0,,0.0,-3476,592.0,,2884.0,1774,-237,,256,,,-19,1537,-579,958,0.0,0.0,0.0,958,0.0,958,0.0,0.0,958.0,958.0,0.0,,,,,,,,,
09/30/2017,5314,5314.0,,0.0,-3374,591.0,,2783.0,1940,-230,,253,,,-23,1710,-668,1042,0.0,0.0,0.0,1042,0.0,1042,0.0,0.0,1042.0,1042.0,0.0,,,,,,,,,
12/31/2017,5638,5638.0,,0.0,-3740,596.0,,3144.0,1898,-162,,255,,,-93,1736,6726,8462,0.0,0.0,0.0,8462,0.0,8462,0.0,0.0,8462.0,1162.0,-7300.0,,,,,,,,,
03/31/2018,5624,5624.0,,0.0,-3877,571.0,,3306.0,1747,-234,,256,,,-22,1513,-368,1145,0.0,0.0,0.0,1145,0.0,1145,0.0,0.0,1145.0,1145.0,0.0,,,,,,,,,
06/30/2018,5878,5878.0,,0.0,-3995,575.0,,3420.0,1883,-228,,256,,,-28,1655,-346,1309,0.0,0.0,0.0,1309,0.0,1309,0.0,0.0,1309.0,1309.0,0.0,,,,,,,,,
09/30/2018,6147,6147.0,,0.0,-4038,580.0,,3458.0,2109,-230,,262,,,-32,1879,-486,1393,0.0,0.0,0.0,1393,0.0,1393,0.0,0.0,1393.0,1393.0,0.0,,,,,,,,,
12/31/2018,6206,6206.0,,0.0,-4145,591.0,,3554.0,2061,-245,,267,,,-22,1816,-444,1372,0.0,0.0,0.0,1372,0.0,1372,0.0,0.0,1372.0,1372.0,0.0,,,,,,,,,
03/31/2019,5762,5762.0,,0.0,-3983,591.0,,3392.0,1779,-114,,268,,,-154,1665,-412,1253,0.0,0.0,0.0,1253,0.0,1253,0.0,0.0,1253.0,1253.0,0.0,,,,,,,,,
06/30/2019,5893,5893.0,,0.0,-3886,595.0,,3291.0,2007,-234,,267,,,-33,1773,-435,1338,0.0,0.0,0.0,1338,0.0,1338,0.0,0.0,1338.0,1338.0,0.0,,,,,,,,,
09/30/2019,6021,6021.0,,0.0,-3841,602.0,,3239.0,2180,-239,,271,,,-32,1941,-475,1466,0.0,0.0,0.0,1466,0.0,1466,0.0,0.0,1466.0,1466.0,0.0,,,,,,,,,
12/31/2019,5839,5839.0,,0.0,-3734,615.0,,3119.0,2105,-234,,264,,,-30,1871,-447,1424,0.0,0.0,0.0,1424,0.0,1424,0.0,0.0,1424.0,1424.0,0.0,,,,,,,,,
03/31/2020,5417,5417.0,,0.0,-3594,615.0,,2979.0,1823,-239,,262,,,-23,1584,-394,1190,0.0,0.0,0.0,1190,0.0,1190,0.0,0.0,1190.0,1190.0,0.0,341.243913,3.487242,3.487242,3.487242,341.243913,3.487242,3.487242,3.487242,
