Date,Revenue,Sales & Services Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1999,157.045,,0.0,157.045,,-138.971,,,,,18.074,-1.85,1.834,,,0.0,,0.016,16.224,-7.419,8.805,0.1,,,8.705,-0.008,8.697,0.0,,8.697,8.697,,84.166,0.04,0.04,0.15,88.268,0.04,0.04,0.15,
09/30/1999,236.648,,,,,-195.742,,,,,40.906,-42.051,2.041,,,0.0,,40.01,-1.145,-2.089,-3.234,0.0,,,-3.234,0.0,-3.234,0.0,,-3.234,-3.234,,84.754,-0.04,-0.04,0.205,84.754,-0.04,-0.04,0.2,
12/31/1999,232.379,,,,,-226.747,,,,,5.631999,-25.178,10.506,10.506,,0.0,,14.672,-19.546001,5.629,-13.917,0.0,,,-13.917001,0.0,-13.917,0.0,,-13.917,-13.917,,80.564,-0.03,-0.03,0.16,80.564,-0.03,-0.03,0.15,
03/31/2000,284.237,,,,0.0,-271.581,98.665,30.042,,172.916,12.656,1.468,-1.377,,,,,-0.091,14.124,-7.694,6.43,,,,6.43,0.081,6.511,0.0,0.0,6.511,6.511,,99.495,0.07,0.07,0.07,107.406,0.06,0.06,0.06,
06/30/2000,346.61,,,,0.0,-325.75,119.871,39.846,,205.879,20.86,4.422,-4.761,,,0.0,,0.339,25.282,-13.394,11.888,0.0,,,11.888,0.243,12.131,0.0,0.0,12.131,12.131,,104.988,0.12,0.12,0.24,111.474,0.11,0.11,0.22,
09/30/2000,381.114,,,,0.0,-349.668,135.013,50.241,,214.655,31.446,4.953,-5.589,,,,,0.636,36.399,-15.451,20.948,,,,20.948,0.062,21.01,0.0,0.0,21.01,21.01,,105.723,0.2,0.2,0.2,112.533,0.19,0.19,0.19,
12/31/2000,483.323,,,,0.0,-470.378,,,,,12.945,6.232,-6.232,,,,,-75.37,94.547,-23.143,12.409,0.0,,,71.404,0.056,12.465,0.0,0.0,12.465,12.465,,118.348,0.105325,0.105325,0.105325,123.105,0.101255,0.101255,0.101255,
03/31/2001,377.195,,,,0.0,-365.926,141.322,54.677,,224.604,11.269,2.956,-5.046,,,0.0,,2.09,14.225,-8.712,5.513,0.0,,,5.513,0.181,5.694,0.0,0.0,5.694,5.694,,107.965,0.09,0.05,0.05,113.003,0.09,0.05,0.05,
06/30/2001,383.606,,,,0.0,-352.723,129.171,56.017,,223.552,30.883,5.819,,,,,,-5.819,36.702,-17.254,19.448,,,,19.448,0.379,19.827,0.0,0.0,19.827,19.827,,109.024,0.18,0.18,0.18,113.717,0.17,0.17,0.17,
09/30/2001,361.173,,,,0.0,-320.944,113.465,41.743,,207.479,40.229,2.257,,,,,,-2.257,42.486,-17.389,25.097,,,,25.097,0.534,25.631,0.0,0.0,25.631,25.631,,109.862,0.23,0.23,0.23,113.665,0.23,0.23,0.23,
12/31/2001,326.083,,,,0.0,-295.032,116.228,43.667,,178.804,31.051,6.121,-6.121,,,,,5.591,31.581,-14.211,17.37,0.0,,,17.37,0.498,17.868,0.0,0.0,17.868,17.868,,110.929,0.161076,0.161076,0.161076,113.319,0.157679,0.157679,0.157679,
03/31/2002,181.492,,,,0.0,-154.017,68.244,27.742,,85.773,27.475,-0.16,0.16,,,0.0,,0.0,27.315,-9.564,17.751,439.889,,,-422.138,0.067,-422.071,0.0,0.0,-422.071,-422.071,,111.186,-3.8,0.15,0.15,114.407,-3.8,0.15,0.15,
06/30/2002,177.012,,,,0.0,-212.944,73.283,31.773,,139.661,-35.932,-0.004,0.004,,,0.0,,0.0,-35.936,3.858,-32.078,44.636,,,-76.714,0.985,-75.729,0.0,0.0,-75.729,-75.729,,111.399,-0.68,-0.28,0.15,111.399,-0.68,-0.28,0.15,
09/30/2002,178.891,,,,0.0,-153.24,73.033,37.271,,80.207,25.651,0.347,-0.347,,,,,0.0,25.998,-8.033,17.965,3.962,,,14.003,,14.003,,0.0,14.003,14.003,,111.519,0.13,0.16,0.16,112.076,0.12,0.16,0.16,
12/31/2002,163.145,,,,0.0,-186.989,70.094,30.247,,116.895,-23.844,0.457,-0.457,,,0.0,,-0.837,-22.55,3.89,-18.66,31.387,,,-50.047,-1.052,-51.099,0.0,0.0,-51.099,-51.099,,111.246,-0.459309,-0.177183,-0.177183,111.246,-0.459309,-0.177183,-0.627999,
03/31/2003,168.538,,,,0.0,-199.763,76.211,33.588,,123.552,-31.225,-0.855,,,,,,0.855,-32.08,3.558,-28.522,87.344,,,-115.866,,-115.866,0.0,0.0,-115.866,-115.866,,111.455,-1.04,-0.256329,-1.04,111.455,-1.04,-0.256329,-1.04,
06/30/2003,166.674,,,,0.0,-150.222,70.543,32.887,,79.679,16.452,-0.012,,,,,,0.012,16.44,-6.05,10.39,0.743,,,9.647,,9.647,0.0,0.0,9.647,9.647,,111.86,0.09,0.09,0.09,113.636,0.08,0.09,0.09,
09/30/2003,173.65,,,,0.0,-153.465,70.242,30.432,,83.223,20.185,0.036,-0.036,,,,,0.0,20.221,-7.337,12.884,0.661,,,12.223,,12.223,,0.0,12.223,12.223,,112.342,0.11,0.11,0.11,115.249,0.11,0.11,0.11,
12/31/2003,169.915,,,,0.0,-148.194,62.556,24.469,,85.638,21.721,0.319,-0.319,,,0.0,,0.458,21.582,-7.315,14.267,1.009,,,13.258,-1.124,12.134,0.0,0.0,12.134,12.134,,112.839,0.107534,0.116476,0.116476,116.008,0.104596,0.104596,0.104596,
03/31/2004,187.733,,,,0.0,-167.943,80.168,38.985,,87.775,19.79,-0.365,,,,,,0.365,19.425,-6.806,12.619,0.214,,,12.405,,12.405,0.0,0.0,12.405,12.405,,115.533,0.11,0.109224,0.11,118.03,0.11,0.109224,0.11,
06/30/2004,209.384,,,,0.0,-183.577,83.329,39.522,,100.248,25.807,-0.574,,,,,,0.574,25.233,-8.838,16.395,0.155,,,16.24,,16.24,0.0,0.0,16.24,16.24,,117.431,0.14,0.14,0.14,120.192,0.14,0.14,0.14,
09/30/2004,224.2,,,,,-191.981,,,,,32.219,-0.355,,,,0.0,,0.355,31.864,-10.743,21.121,1.133,,,19.988,0.0,19.988,0.0,0.0,19.988,19.988,,118.584,0.17,0.18,0.18,120.351,0.17,0.18,0.18,
12/31/2004,236.841,,,,,-199.676,,,,,37.165,-0.038,,,,0.0,,0.038,37.127,-12.98,24.147,-0.324,,,24.471,0.0,24.471,0.0,0.0,24.471,24.471,,119.373,0.2,0.2,0.2,122.353,0.2,0.2,0.2,
03/31/2005,228.524,,,,,-191.469,,,,,37.055,-0.291,0.082,,,,,0.209,36.764,-13.068,23.696,3.126,,,20.57,,20.57,0.0,0.0,20.57,20.57,,120.655,0.17,0.2,0.2,123.577,0.17,0.19,0.19,
06/30/2005,217.023,,,,,-181.27,,,,,35.753,0.557,-0.924,,,,,0.367,36.31,-13.041,23.269,5.252,,,18.017,,18.017,,,18.017,18.017,,121.049,0.15,0.19,0.19,123.181,0.15,0.19,0.19,
09/30/2005,206.834,,,,,-172.012,,,,,34.822,0.043,-0.684,,,,,0.641,34.865,-13.015,21.85,-4.216,,,26.066,,26.066,,,26.066,26.066,,122.128,0.21,0.18,0.18,124.757,0.21,0.18,0.18,
12/31/2005,165.89,,,,,-132.888,,,,,33.002,1.124,-1.744,,,0.0,,0.62,34.126,-12.517,21.609,-11.932,,,33.541,0.0,33.541,0.0,0.0,33.541,33.541,,124.348,0.27,0.17,0.17,127.418,0.26,0.17,0.17,
03/31/2006,257.036,,,,,-204.097,,,,,52.939,1.889,-3.13,,,0.0,,1.241,54.828,-20.411,34.417,-7.845,,,42.262,0.0,42.262,0.0,0.0,42.262,42.262,,126.753,0.33,0.27,0.27,130.619,0.32,0.26,0.26,
06/30/2006,275.169,,,,,-215.901,,,,,59.268,1.656,-3.94,,,0.0,,2.284,60.924,-22.077,38.847,-0.77,,,39.617,0.0,39.617,0.0,0.0,39.617,39.617,,128.551,0.31,0.3,0.3,132.009,0.3,0.29,0.29,
09/30/2006,285.855,,,,,-226.028,,,,,59.827,2.958,-5.012,,,,,2.054,62.785,-22.692,40.093,123.91,,,-83.817,,-83.817,,,-83.817,-83.817,,128.484,-0.65,0.31,0.31,130.827,-0.64,0.31,0.31,
12/31/2006,298.616,,,,,-240.786,,,,,57.83,4.881,-6.398,,,0.0,,1.517,62.711,-22.481,40.23,1.155,,,39.075,0.0,39.075,0.0,0.0,39.075,39.075,,128.489,0.3,0.31,0.31,131.209,0.3,0.31,0.31,
03/31/2007,329.028,,,,,-270.833,,,,,58.195,3.884,-5.304,0.0,,0.0,,1.42,62.079,-22.352,39.727,0.245,,,39.482,0.0,39.482,0.0,0.0,39.482,39.482,9.8,129.653,0.3,0.31,0.39,132.464,0.3,0.3,0.37,
06/30/2007,323.985,,,,,-281.142,,,,,42.843,3.937,-6.903,,,0.0,,2.966,46.78,-17.587,29.193,0.577,,,28.616,0.0,28.616,0.0,0.0,28.616,28.616,,130.542,0.22,0.22,0.32,133.121,0.21,0.22,0.32,
09/30/2007,337.144,,,,,-275.977,,,,,61.167,-7.941,-6.288,,,0.0,,14.229,53.226,-19.998,33.228,-0.073,,,33.301,0.0,33.301,0.0,0.0,33.301,33.301,,129.499,0.26,0.26,0.36,130.757,0.25,0.25,0.35,
12/31/2007,353.988,,,,0.0,-284.415,151.587,80.697,,132.828,69.573,0.56,,,-6.84,0.0,,5.442,70.133,-24.843,45.29,0.29,,,45.0,0.0,45.0,0.0,0.0,45.0,45.0,,125.504,0.36,0.36,0.39,126.704,0.36,0.36,0.39,
03/31/2008,366.472,,,,0.0,-326.201,185.753,111.854,,140.448,40.271,0.456,,,,,-1.822,-0.456,40.727,-15.143,23.762,1.171,,,22.591,,22.591,0.0,0.0,22.591,22.591,,122.711,0.18,0.19,0.24,123.332,0.18,0.19,0.24,
06/30/2008,354.294,,,,0.0,-320.313,144.334,68.976,,175.979,33.981,-3.267,-3.057,,,,,2.732,30.714,-12.153,18.561,-12.269,,,30.83,,30.83,,0.0,30.83,30.83,,120.885,0.26,0.15,0.4,121.541,0.25,0.15,0.4,
09/30/2008,332.189,,,,0.0,-266.024,129.518,57.684,,136.506,66.165,-0.395,-5.283,,,0.0,,3.592,65.77,-22.734,43.036,0.258,,,42.778,0.0,42.778,0.0,0.0,42.778,42.778,,120.057,0.36,0.36,0.4,120.722,0.35,0.36,0.4,
12/31/2008,290.672,,,,0.0,-244.727,114.292,52.684,,130.435,45.945,-1.935,-1.56,,,,,3.156,44.01,-14.88,29.13,0.536,,,28.594,,28.594,,0.0,28.594,28.594,,118.601,0.24,0.25,0.26,119.38,0.24,0.24,0.26,
03/31/2009,254.403,254.403,,,0.0,-269.197,135.804,73.691,62.113,133.393,-14.794,1.203,,,,,-1.239,-1.203,-13.591,4.489,-10.341,0.0,0.0,0.0,-10.341,0.0,-10.341,0.0,0.0,-10.341,-5.133638,5.207362,118.855,-0.09,-0.09,-0.043192,118.855,-0.09,-0.09,-0.046187,
06/30/2009,223.057,223.057,,,0.0,-223.396,104.815,44.953,59.862,118.581,-0.339,0.076,,,,,-1.19,-0.076,-0.263,0.083,-1.37,0.0,0.0,0.0,-1.37,0.0,-1.37,0.0,0.0,-1.37,4.151,5.521,119.274,-0.01,-0.01,0.034802,119.274,-0.01,-0.01,0.034802,
09/30/2009,214.533,214.533,,,0.0,-211.581,105.598,45.757,59.841,105.983,2.952,-0.048,,,,,-1.044,0.048,2.904,30.891,32.751,0.0,0.0,0.0,32.751,0.0,32.751,0.0,0.0,32.751,64.583,31.832,119.473,0.27,0.27,0.540566,121.676,0.27,0.27,0.531613,
12/31/2009,213.149,213.149,,,0.0,-209.779,94.732,45.26,49.472,115.047,3.37,-7.059,,,,,-0.844,7.059,-3.689,2.42,-2.113,0.0,0.0,0.0,-2.113,0.0,-2.113,0.0,0.0,-2.113,-9.581,-7.468,119.575,-0.02,-0.02,-0.080125,119.575,-0.02,-0.02,-0.082455,
03/31/2010,215.305,215.305,,,0.0,-250.179,121.729,59.581,62.148,128.45,-34.874,-0.653,,,,,-0.831,0.653,-35.527,12.179,-24.179,0.0,0.0,0.0,-24.179,0.0,-24.179,0.0,0.0,-24.179,-9.708,14.471,120.032,-0.2,-0.2,-0.080878,120.032,-0.2,-0.2,-0.080878,
06/30/2010,214.917,214.917,,,0.0,-218.797,103.831,46.925,56.906,114.966,-3.88,0.901,,,,,-0.807,-0.901,-2.979,0.829,-2.957,0.0,0.0,0.0,-2.957,0.0,-2.957,0.0,0.0,-2.957,3.612,6.569,120.701,-0.02,-0.02,0.029925,120.701,-0.02,-0.02,0.029925,
09/30/2010,228.842,228.842,,,0.0,-234.23,114.933,51.661,63.272,119.297,-5.388,-1.286,,,,,-0.873,1.286,-6.674,1.823,-5.724,0.0,0.0,0.0,-5.724,0.0,-5.724,0.0,0.0,-5.724,4.853,10.577,120.796,-0.05,-0.05,0.040175,120.796,-0.05,-0.05,0.037561,
12/31/2010,255.069,255.069,,,0.0,-252.948,124.87,64.399,60.471,128.078,2.121,-0.835,,,,,-0.359,0.835,1.286,-0.426,0.501,0.0,0.0,0.0,0.501,0.0,0.501,0.0,0.0,0.501,2.63625,2.13525,120.892,0.004144,0.004144,0.021807,124.525,0.004023,0.004023,0.02117,
03/31/2011,261.382,261.382,,,0.0,-259.929,124.268,57.698,66.57,135.661,1.453,-0.441,,,,,-0.578,0.441,1.012,-0.356,0.078,0.0,0.0,0.0,0.078,0.0,0.078,0.0,0.0,0.078,9.511,9.433,121.425,0.0,0.0,0.078328,124.636,0.0,0.0,0.075684,
06/30/2011,269.696,269.696,,,0.0,-252.708,120.495,58.524,61.971,132.213,16.988,-0.511,,,,,-0.05,0.511,16.477,-5.441,10.986,0.0,0.0,0.0,10.986,0.0,10.986,0.0,0.0,10.986,10.986,0.0,122.2,0.09,0.09,0.09,124.386,0.09,0.09,0.09,
09/30/2011,248.58,248.58,,,0.0,-219.429,95.823,42.911,52.912,123.606,29.151,-1.422,,,,,-0.368,1.422,27.729,-8.813,18.548,-13.279,-13.279,0.0,31.827,0.0,31.827,0.0,0.0,31.827,21.223,2.675,122.991,0.26,0.15,0.172557,123.972,0.26,0.15,0.171577,
12/31/2011,234.786,234.786,,,0.0,-207.701,96.285,43.522,52.763,111.416,27.085,-0.56,,,,,-0.246,0.56,26.525,-6.248,20.031,9.125,9.125,0.0,10.906,0.0,10.906,0.0,0.0,10.906,22.00375,1.97275,121.378,0.09,0.17,0.181283,122.685,0.09,0.16,0.17608,
03/31/2012,233.75,233.75,,,0.0,-233.036,101.806,49.298,52.508,131.23,0.714,-1.463,,,,,-0.2,1.463,-0.749,14.304,13.355,9.613,9.613,0.0,3.742,0.0,3.742,0.0,0.0,3.742,13.40855,0.05355,116.199,0.03,0.11,0.115393,117.611,0.03,0.11,0.110455,
06/30/2012,224.577,224.577,,,0.0,-210.198,109.371,51.426,57.945,100.827,14.379,-1.189,,,,,-0.255,1.189,13.19,-3.93,9.005,4.203,4.203,0.0,4.802,0.0,4.802,0.0,0.0,4.802,10.8184,1.8134,110.932,0.04,0.08,0.097523,111.937,0.03,0.08,0.0962,
09/30/2012,220.821,220.821,,,0.0,-202.774,103.75,43.099,60.651,99.024,18.047,-1.532,,,,,-0.271,1.532,16.515,24.871,41.115,235.354,235.354,0.0,-194.239,0.0,-194.239,0.0,0.0,-194.239,11.674,-29.441,111.239,-1.75,0.37,0.104945,112.212,-1.75,0.37,0.104945,
12/31/2012,211.244,211.244,,,0.0,-212.232,100.0,44.503,55.497,112.232,-0.988,-1.699,,,,,-0.355,1.699,-2.687,-2.267,-5.309,67.716,67.716,0.0,-73.025,0.0,-73.025,0.0,0.0,-73.025,-9.84925,-4.54025,111.098,-0.66,-0.05,-0.088654,111.098,-0.66,-0.05,-0.090867,
03/31/2013,211.986,211.986,,,0.0,-211.141,100.399,49.267,51.132,110.742,0.845,-1.268,,,,,-0.458,1.268,-0.423,11.999,11.118,6.134,6.134,0.0,4.984,0.0,4.984,0.0,0.0,4.984,8.7189,-2.3991,111.402,0.04,0.1,0.078265,112.637,0.04,0.1,0.078265,
06/30/2013,200.058,200.058,,,0.0,-191.951,95.656,43.394,52.262,96.295,8.107,-1.357,,,,,-0.245,1.357,6.75,-2.366,4.139,0.759,0.759,0.0,3.38,0.0,3.38,0.0,0.0,3.38,9.5705,5.4315,110.932,0.03,0.04,0.086274,111.937,0.03,0.04,0.086274,
09/30/2013,196.817,196.817,,,0.0,-182.562,89.631,38.089,51.542,92.931,14.255,-1.482,,,,,-0.119,1.482,12.773,-4.48,8.174,-3.095,-3.095,0.0,11.269,0.0,11.269,0.0,0.0,11.269,11.09035,2.91635,105.394,0.11,0.08,0.105228,105.967,0.11,0.08,0.105228,
12/31/2013,198.718,198.718,,,0.0,-188.734,89.301,38.84,50.461,99.433,9.984,-1.663,,,,,-0.086,1.663,8.321,-28.157,-19.922,0.0,0.0,0.0,-19.922,-0.193,-20.115,0.0,0.0,-20.115,5.1301,25.2451,97.872,-0.21,-0.21,0.052416,97.872,-0.21,-0.21,0.04794,
03/31/2014,198.149,198.149,,,0.0,-198.619,96.62,41.413,55.207,101.999,-0.47,10.505,,,,,-0.133,-10.505,10.035,-6.663,3.239,0.0,0.0,0.0,3.239,-1.174,2.065,0.0,0.0,2.065,10.30615,8.24115,91.102,0.02,0.02,0.113128,94.416,0.02,0.02,0.107286,
06/30/2014,194.441,194.441,,,0.0,-189.728,86.508,37.377,49.131,103.22,4.713,-1.66,,,,,0.058,1.66,3.053,-1.615,1.496,0.0,0.0,0.0,1.496,-1.462,0.034,0.0,0.0,0.034,1.06505,1.03105,87.08,0.0,0.0,0.012231,89.955,0.0,0.0,0.011462,
09/30/2014,179.591,179.591,,,0.0,-179.559,83.759,33.383,50.376,95.8,0.032,-1.93,,,,,0.075,1.93,-1.898,-0.841,-2.664,-2.313,-2.313,0.0,-0.351,-1.318,-1.669,0.0,0.0,-1.669,0.4472,4.4292,86.576,-0.02,-0.03,0.020389,86.576,-0.02,-0.03,0.020389,
12/31/2014,175.314,175.314,,,0.0,-509.054,80.207,30.961,49.246,428.847,-333.74,-3.825,,,,,-0.078,3.825,-337.565,46.697,-290.946,-2.755,-2.755,0.0,-288.191,-1.528,-289.719,0.0,0.0,-289.719,134.13245,426.60645,87.478,-3.31,-3.33,1.550795,87.478,-3.31,-3.33,1.546728,
03/31/2015,172.882,172.882,,,0.0,-184.867,75.425,30.631,44.794,109.442,-11.985,5.643,,,,,-0.22,-5.643,-6.342,13.945,7.383,-1.806,-1.806,0.0,9.189,-1.019,8.17,0.0,0.0,8.17,37.25015,30.88615,89.137,0.09,0.08,0.42933,91.474,0.09,0.08,0.417649,
06/30/2015,167.73,167.73,,,0.0,-164.692,73.414,30.416,42.998,91.278,3.038,-3.409,,,,,0.292,3.409,-0.371,-1.819,-1.898,-2.036,-2.036,0.0,0.138,-1.181,-1.043,0.0,0.0,-1.043,-0.54925,2.52975,90.067,-0.01,-0.02,-0.006098,90.067,-0.01,-0.02,-0.006098,
09/30/2015,167.082,167.082,,,0.0,-156.249,73.682,30.044,43.638,82.567,10.833,-3.674,,,,,0.249,3.674,7.159,2.361,9.769,-2.163,-2.163,0.0,11.932,-1.512,10.42,0.0,0.0,10.42,20.126,11.869,90.34,0.12,0.11,0.239517,96.839,0.11,0.1,0.222564,
12/31/2015,159.209,159.209,,,0.0,-152.006,76.639,28.086,48.553,75.367,7.203,-3.423,,,,,0.144,3.423,3.78,-6.018,-2.094,-58.508,-58.508,0.0,56.414,-0.349,56.065,0.0,0.0,56.065,-9.91005,-7.46705,90.205,0.62,-0.02,-0.105992,90.205,0.62,-0.02,-0.105992,
03/31/2016,157.787,157.787,,,0.0,-149.412,71.263,29.482,41.781,78.149,8.375,-3.477,,,,,0.25,3.477,4.898,-3.307,1.841,0.0,0.0,0.0,1.841,0.0,1.841,0.0,0.0,1.841,4.7174,2.8764,88.922,0.02,0.02,0.053051,89.786,0.02,0.02,0.052036,
06/30/2016,150.912,150.912,,,0.0,-301.532,77.813,33.426,44.387,223.719,-150.62,-2.929,,,,,-0.041,2.929,-153.549,29.435,-124.155,0.0,0.0,0.0,-124.155,0.0,-124.155,0.0,0.0,-124.155,20.057,144.212,88.683,-1.4,-1.4,0.226165,88.683,-1.4,-1.4,0.226152,
09/30/2016,144.753,144.753,,,0.0,-337.964,76.211,28.287,47.924,261.753,-193.211,-3.195,,,,,-0.222,3.195,-196.406,16.124,-180.504,0.0,0.0,0.0,-180.504,0.0,-180.504,0.0,0.0,-180.504,1.70385,182.20785,88.932,-2.03,-2.03,0.019159,88.932,-2.03,-2.03,0.018845,
