Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,Impairment of Assets,Impairment from Affiliates,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Recurring Capital Expenditure,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
06/30/1998,31.684,30.273001,,0.0,0.0,1.411,-16.265,9.617,,,1.016,5.632,0.0,,0.0,15.419,-5.414,5.414,0.0,0.0,10.005,0.0,,,,0.0,,,10.005,,7.548,,,6.673,6.673,,16.632999,0.4,0.4,0.4,20.549999,0.4,0.4,0.4,,,,,,,,,14.34,,14.34,,14.34,0.69781,0.69781,0.5,71.652716,71.652716,57.998607,
09/30/1998,32.651001,31.068001,,0.0,0.0,1.583,-17.196,9.684,,,1.007,5.575,0.93,,0.0,15.455,-5.448,5.457,0.0,-0.009,10.007,0.0,,,,0.806,,,9.201,,6.678,,,5.803,5.803,,16.635,0.35,0.35,0.35,20.523001,0.35,0.35,0.35,,,,,,,,,15.114,,15.114,,15.114,0.736442,0.736442,0.5,67.894006,67.894006,55.035065,
12/31/1998,33.088001,31.525999,,0.0,0.0,1.562,-16.875,9.879,,,0.924,6.072,0.0,,0.0,16.213,-5.28,5.28,0.0,0.0,10.933,0.0,,,,3.912,,,7.021,,4.177,,,3.302,3.302,,16.635,0.2,0.2,0.2,20.523001,0.2,0.2,0.2,,,,,,,,,15.357,,15.357,,15.357,0.748282,0.748282,0.5,66.819692,66.819692,54.177245,
03/31/1999,33.889999,31.902,,0.0,0.0,1.988,-17.136,10.08,,,1.011,6.045,0.0,,0.0,16.754,-5.064,5.064,0.0,0.0,11.69,0.0,,,,0.0,,,11.69,,8.454,,,7.623,7.623,,16.736,0.46,0.46,0.46,16.888988,0.45,0.45,0.45,,,,,,,,,15.739,,15.739,,15.739,0.931909,0.931909,0.5,53.653307,53.653307,53.230828,
06/30/1999,34.897999,33.074001,,0.0,0.0,1.824,-17.175001,9.817,,,1.111,6.247,0.0,,0.0,17.723,-5.388,5.388,0.0,0.0,12.335,0.0,,,,0.09,,,12.245,,8.876,,,8.64,8.64,,17.239,0.5,0.51,0.51,18.44771,0.49,0.49,0.49,,,,,,,,,16.551001,,16.551001,,16.551001,0.897185,0.897185,0.55,61.302884,61.302884,59.893661,
09/30/1999,37.744999,35.699001,0.0,0.0,0.0,2.046,-18.612,7.11,,,4.418,7.084,0.0,,0.0,19.132999,-0.999,5.707,0.0,-4.708,18.134,0.0,,,,0.0,,,18.134,,13.073,,,12.924,12.924,,18.035999,0.72,0.72,0.72,18.472,0.71,0.71,0.71,,,,,,,,,17.26,,17.26,,17.26,0.934387,0.934387,0.55,58.86211,58.86211,57.473928,
12/31/1999,39.512001,36.587002,0.0,0.0,0.0,2.925,-19.196,1.018,,,11.404,6.774,0.0,,0.0,20.316,-0.859,5.675,0.0,-4.816,19.457,0.0,,,,0.124,,,19.333,,13.159,,,13.042,13.042,,18.052999,0.72,0.73,0.73,18.471001,0.71,0.72,0.72,,,,,,,,,17.417,,17.417,,17.417,0.942938,0.942938,0.55,58.328361,58.328361,54.309007,
03/31/2000,39.535999,36.846001,0.0,0.0,0.0,2.69,-18.647,10.137,,,1.843,6.667,0.0,,0.0,20.889,-1.945,5.967,0.0,-4.022,18.944,0.0,,,,0.0,,,18.944,,12.75,,,12.633,12.633,,18.068001,0.7,0.7,0.7,18.5,0.69,0.69,0.69,,,,,,,,,17.872,,17.872,,17.872,0.966054,0.966054,0.55,56.932632,56.932632,55.60094,
06/30/2000,42.411999,39.056,0.0,0.0,0.0,3.356,-19.567,7.243,,,5.374,6.95,0.0,,0.0,22.845,-6.627,6.627,0.0,0.0,16.218,0.0,,,,0.0,,,16.218,,10.273,,,10.144,10.144,,18.110001,0.56,0.56,0.56,18.618,0.55,0.55,0.55,,,,,,,,,19.444,,19.444,,19.444,1.044366,1.044366,0.61,58.408661,58.408661,56.814441,
09/30/2000,47.358002,42.587002,0.0,0.0,0.0,4.771,-22.907,7.585,,,6.633,8.689,0.0,,0.0,24.451,-8.505,8.505,0.0,0.0,15.946,0.0,,,,0.0,,,15.946,,10.249,,,10.249,10.249,,18.327999,0.56,0.56,0.56,20.891729,0.54,0.54,0.54,,,,,,,,,21.264999,,21.264999,,21.264999,1.017867,1.017867,0.61,59.929251,59.929251,52.574656,
12/31/2000,49.433998,44.470001,0.0,0.0,0.0,4.964,-22.395999,4.834,,,9.103,8.459,0.0,,0.0,27.038,-9.924,9.924,0.0,0.0,17.114,0.0,,,,0.119,,,16.995,,11.081,,0.0,11.081,11.081,,18.299999,0.6,0.6,0.6,18.5,0.59,0.59,0.59,,,,,,,,,22.194,,22.194,,22.194,1.199676,1.199676,0.61,50.847076,50.847076,50.612777,
03/31/2001,50.110001,44.591,0.0,0.0,0.0,5.519,-23.606,12.906,,,1.874,8.826,0.0,,0.0,26.504,-9.584,9.584,0.0,0.0,16.92,0.0,,,,0.0,,,16.92,,11.049,,0.0,11.049,11.049,,18.427999,0.6,0.6,0.6,18.809999,0.59,0.59,0.59,,,,,,,,,22.378,,22.378,,22.378,1.189686,1.189686,0.7,58.839035,58.839035,57.645902,
06/30/2001,50.519001,44.529999,0.0,0.0,0.0,5.989,-23.664,12.883,,,1.854,8.927,0.0,,0.0,27.381001,-9.844,9.844,0.0,0.0,17.537001,0.0,,,,0.0,,,17.537001,,11.527,,0.0,11.527,11.527,,18.462,0.62,0.61,0.61,18.778,0.61,0.6,0.6,,,,,,,,,23.063,,23.063,,23.063,1.228193,1.228193,0.7,56.99432,56.99432,56.033474,
09/30/2001,51.236,44.325001,0.0,0.0,0.0,6.911,-18.995,8.278,,,1.52,9.197,0.0,,0.0,27.799001,-6.46,10.248,0.0,-3.788,21.339001,0.0,,,,0.0,,,21.339001,,14.899,,0.0,14.899,14.899,,18.490999,0.81,0.8,0.8,21.094,0.79,0.78,0.78,,,,,,,,,23.349001,,23.349001,,23.349001,1.106902,1.106902,0.7,63.239536,63.239536,55.437061,
12/31/2001,52.187,42.952,0.0,0.0,0.0,9.235,-25.252,14.07,,,1.932,9.25,0.0,,0.0,26.935,-9.997,9.997,0.0,0.0,16.938,0.0,,,,-0.188,,,17.126,,11.07,,0.0,11.07,11.07,,18.450001,0.6,0.6,0.6,18.763,0.59,0.59,0.59,,,,,,,,,23.487,,23.487,,23.487,1.251772,1.251772,0.7,55.920722,55.920722,67.603355,
03/31/2002,49.412,43.435,0.0,,0.0,5.977,-23.267,8.955,,,5.326,8.986,,,,26.145,-8.937,8.937,,,17.208,,,,,-0.152,,,,,11.296,,0.0,11.296,11.296,,18.5,0.61,0.6,0.6,18.681,0.61,0.6,0.6,,,,,,,,,23.683001,,23.683001,,23.683001,1.267759,1.267759,0.77,60.737108,60.737108,60.148627,
06/30/2002,50.983002,41.769001,0.0,0.0,0.0,9.214,-22.674,11.995,,,1.565,9.114,0.0,,0.0,28.309,-8.799,8.799,0.0,0.0,19.51,0.0,,,,-8.133,,,27.643,,21.358,,0.0,21.358,21.358,,18.603001,1.15,0.71,0.71,18.794001,1.14,0.71,0.71,,,,,,,,,24.672001,,24.672001,,24.672001,1.312759,1.312759,0.77,58.655075,58.655075,57.960439,
09/30/2002,48.794998,43.629002,0.0,0.0,0.0,5.166,-23.449,12.838,,,1.482,9.129,0.0,,0.0,25.345999,-8.768,8.768,0.0,0.0,16.577999,0.0,,,,0.0,,,16.577999,,10.614,,0.0,10.614,10.614,,18.346001,0.58,0.58,0.58,18.509001,0.57,0.57,0.57,,,,,,,,,23.250999,,23.250999,,23.250999,1.2562,1.2562,0.77,61.295993,61.295993,68.977681,
12/31/2002,50.933998,45.686001,0.0,0.0,0.0,5.248,-26.399,15.042,,,1.544,9.813,0.0,,0.0,24.535,-9.113,9.113,0.0,0.0,15.422,0.0,,,,0.0,,,15.422,,9.605,,0.0,9.605,9.605,,18.833,0.51,0.51,0.51,18.833,0.51,0.51,0.51,,,,,,,,,22.98,,22.98,,22.98,1.220199,1.220199,0.77,63.104482,63.104482,63.102698,
03/31/2003,58.995,55.896,,,,3.099,-31.894,12.462,,,7.823,11.609,,,,27.101,-10.973,10.973,,,16.128,,,,,,,,,,10.231,,0.0,10.231,10.231,,20.996,0.46,0.46,0.46,21.208,0.45,0.45,0.45,,,,,,,,,25.173,,25.173,,25.173,1.186958,1.186958,0.78,65.714218,65.714218,65.057804,
06/30/2003,65.315002,60.960999,0.0,0.0,0.0,4.354,-35.707001,20.120001,,,2.362,13.225,0.0,,0.0,29.608,-13.275,13.275,0.0,0.0,16.333,0.0,,,,-0.041,,,16.374,,9.797,,0.0,9.797,9.797,,21.035999,0.47,0.47,0.47,23.558001,0.46,0.46,0.46,,,,,,,,,24.768999,,24.768999,,24.768999,1.051405,1.051405,0.78,74.186449,74.186449,66.244102,
09/30/2003,64.515999,60.849998,0.0,0.0,0.0,3.666,-37.343,20.549,,,2.288,14.506,0.0,,0.0,27.173,-12.246,13.329,-1.083,0.0,14.927,0.0,,,,0.019,,,14.908,,8.735,,0.0,8.735,8.735,,21.125999,0.41,0.41,0.41,21.378,0.41,0.41,0.41,,,,,,,,,24.796,,24.796,,24.796,1.159884,1.159884,0.78,67.248105,67.248105,66.200198,
12/31/2003,66.300003,62.235001,0.0,0.0,0.0,4.065,-40.583001,21.493,,,2.675,16.415001,0.0,,0.0,25.717,-12.822,13.575,-0.753,0.0,12.895,0.0,,,,-0.426,,,13.321,,6.917,,-0.962,5.76,5.76,,22.902,0.25,0.23,0.23,25.211,0.25,0.23,0.23,,,,,,,,,23.608999,,23.608999,,23.608999,0.936456,0.936456,0.78,83.292731,83.292731,75.666063,
03/31/2004,68.162003,64.209,0.0,0.0,0.0,3.953,-43.106001,21.83,,,2.93,18.346001,0.0,,0.0,25.056,-13.483,14.583,-1.1,0.0,11.573,0.0,,,,-0.407,,,11.98,,6.45,,0.0,5.962,5.962,,22.843,0.26,0.24,0.24,23.105,0.26,0.24,0.24,,,,,,,,,26.292,,26.292,,26.292,1.137936,1.137936,0.79,69.423969,69.423969,73.767686,
06/30/2004,72.696999,67.907997,0.0,0.0,0.0,4.789,-45.288001,24.047001,,,3.502,17.739,0.0,,0.0,27.409,-15.538,15.538,0.0,0.0,11.871,0.0,,,,0.575,,,11.296,,5.713,,0.0,5.225,5.225,,22.907,0.23,0.26,0.26,23.129,0.23,0.26,0.26,,,,,,,,,24.604,,24.604,,24.604,1.063773,1.063773,0.79,74.263981,74.263981,72.939355,
09/30/2004,88.27,71.733,,15.701,,0.836,-50.626,24.926,,,7.639,18.061,,,,37.644,6.431,16.843,-15.365,-7.909,44.075,-0.122,,,,-0.586,,,44.539,,35.03,,,34.542,34.542,,22.940419,1.51,1.48,1.48,23.205958,1.49,1.46,1.46,,,,,,,,,34.47,,34.47,,34.47,1.485394,1.485394,0.79,53.184528,53.184528,52.575953,
12/31/2004,76.521004,71.917999,0.0,0.0,0.0,4.603,-29.872001,25.773001,,,4.099,18.375999,0.0,,0.0,28.224,10.920999,17.646,-28.566999,0.0,39.144999,0.0,,,,-0.276,,,39.420999,,32.513,,0.0,32.025,32.025,,23.040001,1.39,1.38,1.38,23.207001,1.38,1.37,1.37,,,,,,,,,29.379999,,29.379999,,29.379999,1.265997,1.265997,0.79,62.4014,62.4014,61.953712,
03/31/2005,85.376,78.277,0.0,6.576,0.0,0.523,-51.089,27.069,,,4.441,19.579,0.0,,0.0,34.287,-2.797,18.623,-14.711,-1.115,31.49,-0.101,,,,-1.941,,,33.33,,26.878,,0.0,26.389,26.389,,23.044075,1.15,1.07,1.07,23.330358,1.13,1.05,1.05,,,,,,,,,32.832,,32.832,,32.832,1.407265,1.407265,0.81,57.558449,57.558449,56.852159,
06/30/2005,83.024,79.662,0.0,0.931,0.0,2.431,-53.411,27.295,,,4.573,20.043,0.0,,1.5,29.613,-10.716,18.716,-2.724,-5.276,18.897,-1.1,,,,-26.441,,,44.238,,38.878,,0.0,38.39,38.39,,23.06962,1.66,0.52,0.52,23.372873,1.64,0.51,0.51,,,,,,,,,27.54,,27.54,,27.54,1.178289,1.178289,0.81,68.743744,68.743744,67.851824,
09/30/2005,88.46,81.881,0.0,1.601,0.0,4.978,-54.603,28.32,,,4.56,20.323,0.0,,1.4,33.857,-19.115,19.017,0.098,0.0,14.742,-1.185,,,,-0.108,,,13.665,,8.747,,0.0,8.259,8.259,,23.106569,0.36,0.36,0.36,23.411959,0.35,0.35,0.35,,,,,,,,,29.666,,29.666,,29.666,1.26713,1.26713,0.81,63.923976,63.923976,63.09014,
12/31/2005,73.585,71.15,0.0,1.843,0.0,0.592,-50.43,25.026,,,5.574,16.903,0.0,,2.927,23.155,-15.159,16.375,-1.216,0.0,7.996,-0.152,,,,-1.575,,,9.419,,5.213,,0.0,4.725,4.725,,22.934,0.23,0.16,0.16,23.4397,0.22,0.15,0.15,,,,,,,,,21.5,,21.5,,21.5,0.917247,0.917247,0.81,88.307707,88.307707,95.439936,
03/31/2006,85.451,82.233,0.0,0.824,0.0,2.394,-54.019,28.83,,,4.899,19.32,0.0,,0.97,31.432,-19.55,19.108,0.442,0.0,11.882,-0.037,,,9.834,-3.284,,,15.129,2.054,10.322,0.0,0.0,9.834,9.834,,22.8718,0.43,0.29,0.29,23.095493,0.43,0.29,0.29,,20.091,,,,0.0,-3.062,0.0,28.917,,28.917,,28.917,1.130782,1.130782,0.84,74.284895,74.284895,66.439506,
06/30/2006,85.195,83.717,0.0,0.83,0.0,0.648,-54.094,28.407,,,4.98,19.907,0.0,,0.8,31.101,-19.79,19.416,0.374,0.0,11.311,-0.138,,,22.023,-15.894,,,27.067,3.254,22.512,0.0,0.0,22.023,22.023,,22.950172,0.96,0.27,0.27,23.226466,0.95,0.26,0.26,,20.675,,,,0.0,-8.8,0.0,37.152,,37.152,,37.152,1.445759,1.445759,0.84,58.100988,58.100988,51.889924,
09/30/2006,90.408,86.85,0.0,1.872,0.0,1.686,-54.984,29.797,,,5.289,19.898,0.0,,0.0,35.424,-19.091,18.723,0.368,0.0,16.333,-0.15,,,10.686,-1.345,,,17.528,2.217,12.477,0.0,0.0,10.686,10.686,,23.142385,0.46,0.4,0.4,23.677569,0.45,0.39,0.39,,20.666,,,,0.0,-0.714,0.0,32.855,,32.855,,32.855,1.256697,1.256697,0.84,66.841867,66.841867,59.167869,
12/31/2006,91.07,88.118,0.0,1.504,0.0,1.448,-58.254,29.932,,,7.045,21.277,0.0,,0.0,32.819,-17.943,17.624,0.319,0.0,14.876,-0.2,,,15.06,-7.583,,,22.259,2.023,17.437,0.0,0.0,15.06,15.06,,27.245,0.64,0.37,0.37,27.677,0.63,0.36,0.36,,21.602,,,,0.0,-7.09,0.0,31.595,,31.595,,31.595,1.19186,1.19186,0.84,70.478098,70.478098,78.917361,
03/31/2007,92.888,89.666,0.0,1.04,0.0,2.182,-56.846,29.594,,,6.096,21.156,0.0,,0.0,36.042,-16.961,18.943,-1.982,0.0,19.081,0.0,,,35.303,-23.772,,,42.853,2.406,37.546,0.0,0.0,35.303,35.303,,23.432419,1.51,0.49,0.49,24.214984,1.46,0.48,0.48,,21.718,,,,0.0,-14.04,0.0,45.387,,45.387,,45.387,1.697655,1.697655,0.93,54.781455,54.781455,48.014078,
06/30/2007,98.413,94.194,0.0,1.354,0.0,2.865,-61.509,30.871,,,6.008,24.63,0.0,,0.0,36.904,-20.706,21.169,-0.463,0.0,16.198,0.0,,,9.877,-1.058,,,17.256,1.915,12.187,,,9.877,9.877,,24.493816,0.4,0.36,0.36,25.104021,0.39,0.35,0.35,,25.166,,,,,-0.461,,36.497,,36.497,,36.497,1.322692,1.322692,0.93,70.31117,70.31117,62.414031,
09/30/2007,96.28,95.012,0.0,1.268,0.0,0.0,-61.718,31.134,,,6.415,24.169,0.0,,0.0,34.562,-17.431,20.16,-0.322,-2.407,17.131,0.0,,,9.997,-0.265,,,17.396,1.777,12.308,,0.0,9.997,9.997,,25.165276,0.4,0.39,0.39,25.555928,0.39,0.38,0.38,,25.612,,,,,-0.064,,37.322,,37.322,,37.322,1.330879,1.330879,0.93,69.878641,69.878641,62.707536,
12/31/2007,102.496,98.212,0.0,1.428,0.0,2.856,-71.179,33.014,,,7.754,28.611,0.0,,1.8,31.317,-20.897,21.25,-0.353,0.0,10.42,-0.4,,,51.287,-48.118,,,58.138,5.563,53.597,,0.0,51.287,51.287,,25.4,2.04,0.15,0.15,25.4,2.02,0.12,0.12,,29.754,,,,,-51.905,,34.699,,34.699,,34.699,1.246439,1.246439,0.93,74.612582,74.612582,67.274175,
03/31/2008,102.725,98.73,,1.227,0.0,2.768,-38.375,31.75,,,6.625,26.766,,,0.0,37.584,-14.509,21.139,-6.63,0.0,23.075,0.0,,,14.78,0.0,,0.0,22.849,2.312,17.09,,0.0,14.78,14.78,0.0,24.747925,0.6,0.61,0.61,24.877626,0.59,0.599084,0.59,,27.734,,,,,,,44.826,,44.826,,44.826,1.636069,1.636069,1.02,62.34457,62.34457,56.31304,
06/30/2008,101.547,100.119,0.0,1.428,0.0,0.0,-39.473,32.961,,,6.512,27.564,0.0,,0.0,34.51,-17.964,20.757,-0.36,-2.433,16.546,0.0,,,8.745,0.0,,0.0,16.318,1.808,11.056,,0.0,8.745,8.745,0.0,24.768626,0.35,0.36,0.36,25.153826,0.35,0.36,0.36,,28.682,,,,,,,39.235,,39.235,,39.235,1.420326,1.420326,1.02,71.814497,71.814497,64.391483,
09/30/2008,103.253,101.942,0.0,1.311,0.0,0.0,-40.532,34.008,,,6.524,27.712,0.0,,0.0,35.009,-15.5,21.122,-0.335,-5.287,19.509,0.0,,,11.421,0.243,,,19.266,2.134,13.731,,0.0,11.421,11.421,0.0,25.11071,0.45,0.46,0.46,25.474924,0.45,0.46,0.46,,28.581,,,,,-0.046,,42.09,,42.09,-5.944,36.146,1.508046,1.295078,1.02,67.637213,78.75976,60.852754,
12/31/2008,104.912,103.711,0.0,1.201,0.0,0.0,-41.414,34.09,,,7.324,28.0,0.0,,,35.498,-13.477,22.046,-0.495,-8.074,22.021,0.0,,,17.954,-3.943,,,25.964,2.733,20.264,,0.0,17.954,17.954,1.35,26.194207,0.69,0.534889,0.584889,26.194207,0.68,0.529471,0.579471,,28.296,,,,,-5.356,,43.627,,43.627,-6.218,37.409,1.522014,1.305087,1.02,67.016464,78.155719,61.2421,
