Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Special EPS,Source: Bloomberg
09/30/1992,2262.689941,-1549.185059,713.504883,-286.572998,426.932007,-55.110001,,-10.481,361.341006,-144.595001,216.746002,0.0,,216.746002,0.0,216.746002,,,216.746005,,0.44,0.44,492.390991,,,,,,
12/31/1992,2203.080078,-1501.072021,702.008057,-297.247009,404.760986,-57.078999,,-42.640999,305.040989,-122.236,182.804993,0.0,,182.804993,0.0,182.804993,,,182.804989,,0.37,0.37,489.40799,,,,,,
03/31/1993,2135.341064,-1479.079956,656.261108,-284.886993,371.373993,-59.443001,,13.729,325.659992,-126.375,199.285004,0.0,,199.285004,0.0,199.285004,,,199.284992,,0.41,0.41,490.194,,,,,,
06/30/1993,2290.582031,-1579.850952,710.731079,-302.067993,408.662994,-75.556,,58.580002,391.686996,-136.438004,255.248993,0.0,-37.525002,217.723999,0.0,217.723999,,,217.723991,,0.45,0.45,484.446014,,,,,,
09/30/1993,2322.745117,-1610.071045,712.674072,-310.182007,402.492004,-81.248001,,-523.934998,-202.690994,28.985001,-173.705994,0.0,46.549999,-127.155998,0.0,-127.155998,,,-127.155994,,-0.26,-0.26,482.920013,,,,,,
12/31/1993,2386.908936,-1677.911987,708.996949,-325.455994,383.540985,-84.630997,,53.591,352.500988,-122.567001,229.934006,0.0,-67.011002,162.923004,0.0,162.923004,,,162.922985,0.34,0.34,0.34,483.453003,0.34,0.34,0.34,483.453003,,
03/31/1994,2284.066895,-1596.911011,687.155884,-314.144989,373.010986,-84.230003,,28.174,316.954983,-125.563004,191.391998,0.0,-28.780001,162.612,0.0,162.612,,,162.611979,,0.34,0.34,483.846985,,,,,,
06/30/1994,2551.721924,-1766.889038,784.832886,-325.412994,459.420013,-78.271004,,18.43,399.57901,-154.492004,245.087006,0.0,-41.970001,203.117004,0.0,203.117004,,,203.117004,,0.42,0.42,483.915009,,,,,,
09/30/1994,2603.110107,-1809.484985,793.625122,-320.950989,472.674011,-83.528,,27.353001,416.499012,-161.729004,254.770004,0.0,-41.884998,212.884995,0.0,212.884995,,,212.88501,,0.44,0.44,484.161987,,,,,,
12/31/1994,2658.418945,-1861.067993,797.350952,-333.830994,463.519989,-94.778999,,27.098,395.83899,-153.003998,242.835007,0.0,-37.068001,205.766998,0.0,205.766998,,,205.766991,0.42,0.42,0.42,484.561005,0.42,0.42,0.42,484.561005,,
03/31/1995,2445.185059,-1683.949951,761.235107,-317.040009,444.195007,-106.523003,,-114.792999,222.879005,-92.273003,130.606003,-0.047,-29.313999,101.245003,0.0,101.245003,,,101.292004,,0.21,0.21,484.813995,,,,,,
06/30/1995,2635.665039,-1817.192017,818.473022,-329.865997,488.606995,-111.847,,27.806,404.565994,-151.987,252.578995,6.665,-40.117001,219.126999,0.0,219.126999,,,212.461994,,0.436,0.45,485.082001,,,,,,
09/30/1995,2619.227051,-1794.619019,824.608032,-321.088013,503.519989,-104.733002,,31.702999,430.489986,-161.667007,268.822998,3.047,-38.021999,233.848007,0.0,233.848007,,,230.80098,,0.474,0.48,486.286011,,,,,,
12/31/1995,1352.94104,-925.098022,427.843018,-36.894001,390.949005,-98.469002,,-166.563995,125.916008,-77.742996,48.173,2.675,25.514999,49.679001,0.0,49.679001,,,73.688011,0.11,0.11,0.1,487.496002,0.11,0.11,0.1,487.496002,,
03/31/1996,2144.5,-1532.699951,611.800049,-261.799988,350.0,-102.5,0.0,23.799999,271.299999,-111.199997,160.100006,4.8,-26.5,138.399994,0.0,138.399994,0.1,-0.045,133.655002,0.27,0.27,0.28,489.912994,0.27,0.27,0.28,489.912994,,
06/30/1996,2331.0,-1701.400024,629.599976,-259.600006,370.0,-105.300003,0.0,9.7,274.399997,-130.800003,143.600006,20.5,-29.5,134.600006,0.0,134.600006,11.7,-6.248,119.551993,0.24,0.23,0.27,496.031006,0.24,0.23,0.27,496.031006,,
09/30/1996,2372.699951,-1716.800049,655.899902,-264.700012,391.200012,-111.400002,0.0,36.0,315.800011,-132.199997,183.600006,-72.800003,-28.299999,82.5,0.0,82.5,1.7,-0.782,156.218015,0.32,0.32,0.17,490.692993,0.31,0.31,0.17,490.692993,,
12/31/1996,2377.399902,-1709.900024,667.499878,-309.399994,358.100006,-115.300003,0.0,-402.5,-159.699997,-62.299999,-222.0,-215.800003,43.0,-394.799988,0.0,-394.799988,421.899994,-278.876007,-35.976009,-0.08,-0.37,-0.81,485.894989,-0.08,-0.37,-0.81,485.894989,,
03/31/1997,2204.985107,-1697.527954,507.457153,-249.815994,257.640991,-115.055,0.0,126.105003,268.690994,-127.231003,141.460007,0.647,-27.075001,115.031998,0.0,115.031998,-129.0,50.299999,35.68499,0.08,0.24,0.24,484.0,0.07,0.23,0.23,499.299988,,
06/30/1997,2333.300049,-1715.5,617.800049,-257.100006,360.700012,-101.099998,0.0,-19.700001,239.900013,-127.900002,112.0,7.6,-27.9,91.699997,0.0,91.699997,47.799999,-28.837999,103.062012,0.22,0.18,0.19,466.276001,0.22,0.18,0.19,466.276001,0.041,
09/30/1997,2351.199951,-1819.5,531.699951,-292.200012,239.5,-99.699997,0.0,-19.0,120.800003,-61.599998,59.200001,0.2,-29.4,30.0,0.0,30.0,27.1,-18.264,38.636005,0.09,0.07,0.07,455.945007,0.09,0.07,0.07,455.945007,0.019,
12/31/1997,2299.100098,-1962.900024,336.200073,-330.100006,6.1,-105.800003,0.0,-1537.900024,-1637.600028,101.0,-1536.599976,84.800003,39.0,-1412.800049,,-1412.800049,1529.5,-313.546997,-281.647025,-0.62,-3.29,-3.1,455.411011,-0.62,-3.29,-3.1,455.411011,2.67,
03/31/1998,2131.621094,-1621.984985,509.636108,-263.881989,245.753998,-115.573997,0.0,66.089996,196.269997,-96.551003,99.719002,0.0,-25.302,74.417,0.0,74.417,-41.700001,35.599998,68.316992,0.15,0.16,0.16,455.096008,0.15,0.16,0.16,455.334015,,
