Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2009,-396,237,19,-27,-31.0,-127.0,44.0,87,-625,23.0,,-648.0,0.0,-192,-27,0.0,-27.0,-90,3228,,,,-3318,,,,-82,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,7,106,-46,172,0.0,0.0,172.0,0.0,3,5,-2,30.0,-53,-1.0,-483,85,167.0,
03/31/2010,119,214,22,489,-32.0,437.0,39.0,45,-606,5.0,,-611.0,0.0,851,-21,0.0,-21.0,996,3219,,,,-2223,,,,-124,-124.0,0.0,0.0,0.0,0.0,0.0,0.0,0,759,-45,743,0.0,0.0,744.0,-1.0,18,33,-15,384.0,-341,-10.0,1719,154,4.0,
06/30/2010,1279,259,26,68,-7.0,-11.0,31.0,55,926,2.0,,924.0,,-1040,-33,0.0,-33.0,-82,2202,,,,-2284,,,,-53,-53.0,0.0,0.0,-866.0,0.0,-866.0,0.0,-6,-1226,-46,366,484.0,0.0,58.0,-176.0,-174,17,-191,79.0,-1451,-2.0,-989,-101,57.0,
09/30/2010,425,344,31,-206,-4.0,147.0,41.0,-390,256,-17.0,,273.0,,-833,-34,0.0,-34.0,-706,2148,,,,-2854,,,,-84,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,-9,259,-47,480,385.0,0.0,98.0,-3.0,-175,8,-183,159.0,-158,7.0,-142,3,96.0,
12/31/2010,24,280,31,56,-29.0,-118.0,47.0,156,-343,28.0,,-371.0,,288,-43,0.0,-43.0,370,2548,,,,-2178,,,,-39,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1135,-45,-926,-472.0,0.0,7.0,-461.0,-129,64,-193,220.0,-255,-1.0,-824,5,74.0,
03/31/2011,15,241,30,19,-1.0,-19.0,42.0,-3,-275,-3.0,,-272.0,,-73,-47,0.0,-47.0,33,3121,,,,-3088,,,,-63,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-347,-46,77,100.0,0.0,15.0,-38.0,-340,53,-393,244.0,-282,4.0,-401,10,41.0,
06/30/2011,643,315,37,123,32.0,67.0,38.0,-14,168,-70.0,,238.0,,-523,-42,,-42.0,-374,2585,,,,-2959,,,,-103,-103.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,-27,-57,-34,8.0,0.0,106.0,-148.0,-369,33,-402,620.0,-187,0.0,93,213,63.0,
09/30/2011,793,324,-6,283,112.0,103.0,21.0,47,192,57.0,-118.0,253.0,,-463,-60,0.0,-60.0,-333,1888,,,,-2221,,,,-67,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-185,-55,-3,-1.0,0.0,42.0,-44.0,-385,53,-438,228.0,30,-5.0,140,132,38.0,
12/31/2011,727,236,49,-189,-176.0,-68.0,44.0,11,631,21.0,149.0,461.0,,-87,-101,0.0,-101.0,-2,2259,,,,-2261,,,,-128,-128.0,0.0,0.0,150.0,150.0,0.0,0.0,-6,-552,-54,-393,0.0,0.0,0.0,-393.0,-245,17,-262,2339.0,-2199,0.0,88,15,59.0,
03/31/2012,175,244,56,-75,-3.0,-56.0,32.0,-48,-50,2.0,83.0,-135.0,,-234,-61,0.0,-61.0,-134,1795,,,,-1929,,,,-40,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-417,-62,-86,0.0,0.0,4.0,-90.0,-237,55,-292,149.0,-181,7.0,-469,-79,37.0,
06/30/2012,293,223,54,152,58.0,61.0,34.0,-1,-136,13.0,-68.0,-81.0,,407,-38,0.0,-38.0,385,1938,,,,-1553,,,,68,68.0,0.0,0.0,0.0,0.0,0.0,0.0,-8,-286,-77,-32,-7.0,0.0,79.0,-104.0,-356,18,-374,200.0,-21,-5.0,409,210,58.0,
09/30/2012,415,173,58,103,88.0,-5.0,32.0,-12,81,4.0,-84.0,161.0,,940,-44,0.0,-44.0,939,2290,,,,-1351,,,,47,47.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-758,-73,-86,2.0,0.0,92.0,-180.0,-297,45,-342,-595.0,293,7.0,604,43,38.0,
12/31/2012,622,389,57,-137,-186.0,50.0,36.0,-37,313,-8.0,71.0,250.0,,3304,6,,,3074,5205,,,,-2131,,,,207,207.0,0.0,0.0,0.0,0.0,0.0,0.0,17,-4881,-93,-335,0.0,0.0,0.0,-335.0,-267,106,-373,-2127.0,-2059,1.0,-954,43,57.0,
03/31/2013,-466,335,58,99,-4.0,41.0,33.0,29,-958,-6.0,-71.0,-881.0,,389,-14,0.0,-14.0,371,2175,,,,-1804,,,,34,34.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-114,-92,175,-1.0,0.0,467.0,-291.0,-307,99,-406,,110,-20.0,-211,10,35.0,
06/30/2013,373,321,58,-54,-10.0,-23.0,38.0,-59,48,7.0,-90.0,131.0,,301,-24,0.0,-24.0,291,2586,,,,-2295,,,,13,13.0,0.0,0.0,0.0,0.0,0.0,0.0,21,-504,-105,87,0.0,0.0,587.0,-500.0,-349,52,-401,,-137,1.0,171,83,55.0,
09/30/2013,1199,382,59,-150,-62.0,-91.0,35.0,-32,908,-3.0,-242.0,1153.0,,-833,-30,0.0,-30.0,-844,1855,,,,-2699,,,,23,23.0,0.0,0.0,0.0,0.0,0.0,0.0,18,411,-103,-46,-1.0,0.0,133.0,-178.0,-348,50,-398,,908,17.0,794,89,34.0,
12/31/2013,258,296,64,93,53.0,-45.0,37.0,48,-195,-4.0,-336.0,145.0,,-659,-37,0.0,-37.0,-990,1416,,,,-2406,,,,359,359.0,0.0,0.0,0.0,0.0,0.0,0.0,9,-99,-101,111,0.0,0.0,538.0,-427.0,-341,37,-378,,232,7.0,-493,209,32.0,
03/31/2014,434,400,63,112,-6.0,-37.0,30.0,125,-141,0.0,-52.0,-89.0,,-145,-20,0.0,-20.0,-142,1740,,,,-1882,,,,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-521,-100,193,-200.0,0.0,478.0,-85.0,-354,103,-457,,-260,3.0,-229,50,32.0,
06/30/2014,-70,374,66,107,-1.0,-8.0,33.0,83,-617,-43.0,-357.0,-217.0,,303,-20,0.0,-20.0,309,1775,,,,-1466,,,,12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-506,-111,185,-101.0,0.0,1076.0,-790.0,-356,25,-381,1021.0,-1245,11.0,-262,175,59.0,
09/30/2014,1617,420,64,-159,-348.0,-30.0,34.0,185,1292,-109.0,625.0,776.0,,-330,-49,0.0,-49.0,-295,1572,,,,-1867,,,,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-531,-108,-238,0.0,0.0,5.0,-243.0,-323,30,-353,505.0,-367,-21.0,735,120,32.0,
12/31/2014,2399,2000,254,355,-52.0,228.0,130.0,49,-210,-37.0,-120.0,-53.0,,-715,-113,0.0,-113.0,-641,7092,,,,-7733,,,,60,60.0,0.0,0.0,0.0,0.0,0.0,0.0,-21,-1657,-426,647,-301.0,0.0,2159.0,-1211.0,-1382,195,-1577,2042.0,-2538,-21.0,6,578,178.0,
03/31/2015,913,393,66,174,-12.0,66.0,35.0,85,280,-55.0,-42.0,377.0,,182,-29,0.0,-29.0,92,1795,,,,-1703,,,,113,113.0,0.0,0.0,0.0,0.0,0.0,0.0,6,-905,-107,7,0.0,0.0,199.0,-192.0,-343,51,-394,470.0,-932,-19.0,171,21,54.0,
06/30/2015,619,415,57,123,-5.0,22.0,35.0,71,24,108.0,22.0,-106.0,,-364,-38,0.0,-38.0,-331,1689,,,,-2020,,,,-21,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,26,-516,-122,500,0.0,0.0,569.0,-69.0,-418,14,-432,,-476,22.0,-239,59,67.0,
09/30/2015,371,397,62,-60,3.0,-111.0,38.0,10,-28,8.0,-147.0,111.0,0.0,-265,-42,0.0,-42.0,-223,1706,,,,-1929,,,,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,119,-119,630,0.0,0.0,815.0,-185.0,-448,19,-467,530.0,-474,-15.0,210,165,202.0,
12/31/2015,669,357,63,-103,0.0,53.0,37.0,-193,352,20.0,-79.0,411.0,0.0,-67,-24,0.0,-24.0,-3,1891,,,,-1894,,,,-22,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,-18,-1016,-117,-616,-1.0,0.0,67.0,-682.0,-435,13,-448,1061.0,-909,-9.0,-423,194,120.0,
03/31/2016,616,364,65,171,16.0,36.0,34.0,85,16,-4.0,,20.0,0.0,1,-28,0.0,-28.0,-246,1324,,,,-1570,,,,291,291.0,0.0,0.0,0.0,0.0,0.0,0.0,-16,-322,-115,-45,0.0,0.0,0.0,-45.0,-479,2,-481,481.0,-164,-12.0,283,23,53.0,
06/30/2016,901,335,62,-104,-10.0,-90.0,34.0,-38,608,-8.0,,616.0,0.0,62,-8,0.0,-8.0,-26,1916,,,,-1942,,,,38,38.0,0.0,0.0,0.0,0.0,0.0,0.0,58,-591,-124,-266,0.0,0.0,0.0,-266.0,-418,2,-420,518.0,-301,-26.0,346,152,77.0,
09/30/2016,505,215,60,312,-7.0,7.0,33.0,279,-82,21.0,-165.0,62.0,0.0,-430,-30,0.0,-30.0,-469,1395,,,,-1864,,,,42,42.0,0.0,0.0,0.0,0.0,0.0,0.0,27,340,-122,-77,0.0,0.0,0.0,-77.0,-416,2,-418,533.0,422,-15.0,400,26,65.0,
12/31/2016,309,399,61,-212,-15.0,13.0,33.0,-243,61,240.0,127.0,-306.0,0.0,-416,-26,0.0,-26.0,-410,1826,,,,-2236,,,,-12,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,32,-569,-118,-386,0.0,0.0,0.0,-386.0,-385,3,-388,554.0,-234,-22.0,-698,-46,95.0,
03/31/2017,6,403,63,95,-16.0,38.0,31.0,42,-555,-98.0,,-457.0,0.0,211,-33,0.0,-33.0,232,1706,,,,-1474,,,,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7,-434,-117,-2,0.0,0.0,0.0,-2.0,-430,6,-436,502.0,-387,5.0,-212,137,60.0,
06/30/2017,730,393,58,253,-22.0,-32.0,30.0,277,26,-9.0,,35.0,0.0,16,-39,0.0,-39.0,53,433,,,,-380,,,,-13,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,15,-432,-127,-27,0.0,0.0,0.0,-27.0,-350,2,-352,540.0,-468,16.0,330,174,72.0,
09/30/2017,443,507,55,-350,1.0,-64.0,30.0,-317,231,-32.0,,263.0,0.0,-333,-53,0.0,-53.0,-234,1374,,,,-1608,0.0,-165.0,-1443.0,-265,-265.0,,,0.0,0.0,0.0,0.0,219,-420,-124,-38,0.0,0.0,0.0,-38.0,-368,5,-373,496.0,-386,11.0,-299,76,63.0,
12/31/2017,344,177,58,-61,-13.0,214.0,30.0,-292,170,301.0,,-131.0,0.0,3635,-37,0.0,-37.0,-115,4009,0.0,4009.0,,-4124,-4124.0,0.0,,493,493.0,0.0,0.0,0.0,0.0,0.0,0.0,3294,-499,-123,-62,0.0,0.0,0.0,-62.0,-322,2,-324,521.0,-513,3.0,3483,31,74.0,
03/31/2018,-188,594,56,228,-5.0,104.0,32.0,97,-1066,-115.0,,-951.0,0.0,67,-33,0.0,-33.0,66,1910,,,,-1844,,,,35,35.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-564,-122,-55,0.0,0.0,0.0,-55.0,-423,2,-425,444.0,-408,12.0,-673,118,65.0,
06/30/2018,686,462,51,89,-31.0,-51.0,37.0,134,84,66.0,4.0,18.0,0.0,212,-36,0.0,-36.0,272,2945,,,,-2673,0.0,-4517.0,0.0,129,129.0,0.0,0.0,0.0,0.0,0.0,0.0,-153,-583,-131,-469,0.0,0.0,0.0,-469.0,-404,0,-404,541.0,-120,-12.0,303,71,105.0,
09/30/2018,548,503,45,78,20.0,-45.0,36.0,67,-78,-114.0,,36.0,0.0,-565,-48,,-48.0,-492,2538,,,,-3030,0.0,-2165.0,-865.0,-92,-92.0,,,0.0,0.0,0.0,0.0,67,-57,-127,-617,0.0,0.0,0.0,-617.0,-363,0,-363,526.0,524,-3.0,-77,106,74.0,
12/31/2018,1551,539,46,-227,7.0,17.0,39.0,-290,1193,137.0,499.0,1056.0,0.0,-301,-45,0.0,-45.0,-275,1588,0.0,7173.0,1808.0,-1863,0.0,-8346.0,-1064.0,-12,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,31,-59,-126,536,0.0,0.0,936.0,-400.0,-438,0,-438,422.0,-453,-5.0,1186,243,97.0,
03/31/2019,172,395,46,-12,-6.0,-2.0,30.0,-34,-257,,,-257.0,0.0,-481,-31,0.0,-31.0,-120,2261,0.0,2210.0,51.0,-2381,,,,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-351,180,-124,-15,0.0,0.0,0.0,-15.0,-384,1,-385,585.0,118,7.0,-122,18,82.0,
06/30/2019,980,492,45,-8,1.0,-62.0,34.0,19,451,89.0,,362.0,0.0,-1148,-36,0.0,-36.0,-1135,2329,,,,-3464,,,,110,110.0,0.0,0.0,0.0,0.0,0.0,0.0,-87,1482,-129,-325,0.0,0.0,0.0,-325.0,-442,0,-442,2771.0,-393,-5.0,1309,184,102.0,
09/30/2019,1422,543,41,-67,-2.0,-175.0,36.0,74,905,146.0,,759.0,0.0,-107,-33,0.0,-33.0,58,2472,,,,-2414,,,,-140,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,8,-394,-127,-27,0.0,0.0,0.0,-27.0,-564,1,-565,807.0,-483,-17.0,904,143,89.0,
12/31/2019,-233,463,51,-254,0.0,-69.0,35.0,-220,-493,,-211.0,-282.0,0.0,-1498,-43,0.0,-43.0,-2242,2342,,,,-4584,,,,-73,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,860,-54,-124,-30,0.0,0.0,0.0,-30.0,-550,1,-551,1777.0,-1127,24.0,-1761,264,83.0,
03/31/2020,4893,2036,47,718,1.0,1273.0,36.0,-592,2092,,,2092.0,0.0,-40,-29,0.0,-29.0,124,2901,0.0,2824.0,77.0,-2777,,,,-8,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-127,628,-122,-782,0.0,0.0,0.0,-782.0,-479,1,-480,2627.0,-616,-17.0,5464,34,72.0,
06/30/2020,-190,-539,49,-295,2.0,-752.0,36.0,419,595,,,595.0,0.0,-856,-33,0.0,-33.0,-840,3031,0.0,2999.0,32.0,-3871,,,,-32,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,49,-511,-128,-11,0.0,0.0,0.0,-11.0,-235,1,-236,-343.0,206,-1.0,-1558,17,61.0,
