Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
05/31/1998,435.963989,63.568001,102.141998,-34.789001,,,-34.789001,305.042999,,,,305.042999,,-158.436996,-134.335991,49.566002,,,-183.901993,,,0.0,0.0,0.0,,,,,-24.101006,44.570007,0.0,-168.229996,,55.847,55.847,0.0,156.953003,,322.096985,,,
08/28/1998,221.607,93.691,66.131,0.249,,29.872,-29.623,61.536,-130.614,141.621,,50.529,,-79.494,-45.417,,,,-45.417,,,,,,,,,,-34.077,-41.585,,-12.0,,-23.188,6.293,-29.481,-6.397,,100.528,,,
11/27/1998,265.413,132.913,65.705,89.778,,,89.778,-22.983,,,,-22.983,,-239.243,-80.945,0.0,,,-80.945,,,0.0,0.0,0.0,,,,,-158.298,-48.573,0.0,0.0,,-54.063,46.854,-100.917,5.49,,-22.403,,,
02/26/1999,333.446991,89.737,69.523003,0.969,,,0.969,173.218002,,,,173.218002,,-105.339996,-53.740004,14.601,,,-68.341003,,,0.0,0.0,0.0,,,,,-51.599993,146.307001,0.0,7.723,,136.776001,136.776001,0.0,1.808,,374.414001,,,
05/28/1999,350.322998,87.532997,69.717003,101.114998,,,101.114998,91.958,,,,91.958,,-150.992004,-84.099998,0.0,,,-84.099998,,,0.0,0.0,0.0,,,,,-66.892006,-218.428006,0.0,-0.979,,-215.913006,32.254002,-248.167007,-1.536,,-19.097,,4.132,
08/27/1999,426.978,137.491,79.717,-46.248,,23.423,-69.671,256.018,156.19,22.658,52.78,24.39,,-12.1,-38.902,0.0,,,-38.902,,,0.0,0.0,0.0,,,,,26.802,-400.512,0.0,-12.0,,-368.308,23.436,-391.744,-20.204,,14.366,,,
11/26/1999,335.402,177.325,73.475,-119.606,,,-119.606,204.208,,,,204.208,,-186.401,-48.528,0.0,,,-48.528,,,0.0,0.0,0.0,,,,,-137.873,-49.095,0.0,0.0,,-100.65,48.386,-149.036,51.555,,99.906,,,
02/25/2000,333.002991,506.313995,71.362,-548.841003,,,-548.841003,304.167999,,,,304.167999,,225.569,-53.731003,85.0,,,-138.731003,,,0.0,0.0,0.0,,,,,279.300003,158.320006,0.0,2.499,,157.031006,157.031006,0.0,-1.21,,716.892029,,,
06/02/2000,43.414001,-146.826996,76.266998,177.936005,,,177.936005,-63.962002,,,,-63.962002,,-249.201004,-41.990999,1.379,,,-43.369999,,,0.0,0.0,0.0,,,,,-207.210005,94.181996,0.0,-2.357,,100.700996,100.700996,0.0,-4.162,,-111.605003,,2.256,
09/01/2000,-125.175003,-59.200001,67.588997,57.379002,,,57.379002,-190.942993,,,,-190.942993,,-529.833008,-61.355999,0.0,,,-61.355999,,,0.0,0.0,0.0,,,,,-468.477009,-80.323001,0.0,-24.204,,-55.776001,194.399994,-250.175995,-0.343,,-735.330994,,,
12/01/2000,-305.73999,-142.406006,63.021999,-123.713997,,,-123.713997,-102.641998,,,,-102.641998,,437.28299,185.730003,238.966003,,,-53.236,,,0.0,0.0,0.0,,,,,251.552986,-167.751991,0.0,-0.145,,-137.390991,61.955002,-199.345993,-30.216,,-36.209,,,
03/02/2001,-362.789001,-246.042999,67.163002,16.594999,,,16.594999,-200.503998,,,,-200.503998,,329.994995,-30.98,19.054001,,,-50.034,,,-96.252998,0.0,-96.252998,,,,,457.227993,-110.336,0.0,0.0,,-110.767,17.469999,-128.237,0.431,,-143.130005,,,
06/01/2001,-185.925995,-517.72699,79.640999,-236.102005,,,-236.102005,488.261993,,,,488.261993,,418.362,-27.773001,0.91,,,-28.683001,,,879.847046,1527.249023,-647.401978,,,,,-433.712046,-120.388999,0.0,-2.109,,22.653,22.653,0.0,-140.932999,,112.046997,,1.094,
08/31/2001,-189.572998,-232.384003,82.065002,12.411,,,12.411,-51.665001,,,,-51.665001,,105.098999,-7.472,3.198,,,-10.67,,,0.0,0.0,0.0,,,,,112.570999,1.823,0.0,-0.024,,1.62,1.62,0.0,0.227,,-82.651001,,,
11/30/2001,52.932999,-103.674004,79.615997,80.710999,,,80.710999,-3.72,,,,-3.72,,-279.596985,-325.412006,0.869,,,-326.281006,,,0.0,0.0,0.0,,,,,45.815021,209.674997,0.0,207.094997,,8.073,11.733,-3.66,-5.493,,-16.989,,,
03/01/2002,-25.266001,-236.134003,55.858002,131.276001,,,131.276001,23.733999,,,,23.733999,,-191.669998,1.497,11.353,,,-9.856,,,-34.781006,532.815002,-567.596008,,,,,-158.385992,5.398998,0.0,-15.260002,,20.358,20.358,0.0,0.301,,-211.537003,0.0,0.0,
05/31/2002,22.544001,-23.757999,49.280998,86.119003,,,86.119003,-89.098,,,,-89.098,,79.204002,-4.213,0.793,,,-5.006,,,83.416992,273.799988,-190.382996,,,,,1e-05,-9.312998,0.0,-25.076998,,15.728,15.728,0.0,0.036,,92.434998,,2.605,
08/30/2002,21.922,-97.581,32.189,82.561,1.586,-0.325,81.3,4.753,8.908,10.955,-24.027,8.917,,-249.915,-4.862,,,,-4.862,,,,,,,,,,-245.053,-32.592,0.0,-35.018,,1.562,1.562,0.0,0.864,,-260.585,,,
11/29/2002,36.821999,-68.513,41.196999,66.413002,,,66.413002,-2.275,,,,-2.275,,58.208,55.286,61.201,,,-5.915,,,0.0,0.0,0.0,,,,,2.922,-45.808,0.0,-57.563,,7.494,9.042,-1.548,4.261,,49.222,,,
02/28/2003,19.410999,-79.241997,55.345001,41.66,,,41.66,1.648,,,,1.648,,18.761999,-6.227,0.723,,,-6.95,,,0.0,0.0,0.0,,,,,24.988999,-2.406,0.0,-8.439,,2.044,2.044,0.0,3.989,,35.766998,,,
05/30/2003,1.627,-38.417999,29.006001,-54.262001,,,-54.262001,65.301003,,,,65.301003,,52.470001,-7.238,0.416,,,-7.654,,,-271.863953,1018.439026,-1290.302979,,,,,331.571954,-41.708,0.0,-68.306,,22.223,22.223,0.0,4.375,,12.389,,4.492,
08/29/2003,-41.042,-105.994,26.637,26.746,,,26.746,11.569,,,,11.569,,64.158,33.026,37.233,,,-4.207,,,31.0,257.986,-226.986,,,,,0.132,13.416,0.0,4.038,,9.378,9.378,0.0,0.0,,36.549,,,
11/28/2003,-40.102001,-138.981003,41.259998,28.731001,,,28.731001,28.888,,,,28.888,,-122.890999,58.382001,62.407001,,,-4.025,,,9.859009,562.549988,-552.690979,,,,,-191.132009,54.541998,0.0,-0.173,,49.863998,49.863998,0.0,4.851,,-108.450996,,,
02/27/2004,-67.792999,-85.571999,28.892,15.333,,,15.333,-26.445999,,,,-26.445999,,100.497002,-3.72,0.6,,,-4.32,,,104.216995,214.259995,-110.042999,,,,,7e-06,47.842999,0.0,0.0,,47.278999,47.278999,0.0,0.564,,80.546997,,,
05/28/2004,-26.382999,-18.716,12.618,0.449,,,0.449,-20.733999,,,,-20.733999,,64.300003,31.153002,34.615002,,,-3.462,,,33.146988,279.286987,-246.139999,,,,,1.3e-05,13.414,0.0,0.0,,13.902,13.902,0.0,-0.488,,51.331001,,,
08/27/2004,-42.088001,-35.544998,12.388,1.828,,0.047,1.781,-20.759001,2.949,2.053,,-25.761001,,-25.191999,-3.247,0.203,,,-3.45,,,-20.270004,211.716995,-231.987,,,,,-1.674995,-68.767998,0.0,0.0,,-68.606998,4.758,-73.364998,-0.161,,-136.048004,,,
11/26/2004,-23.82,-48.811001,12.343,3.723,,-0.096,3.819,8.925,-0.978,-3.551,,13.454,,35.860001,33.569,37.583,,,-4.014,,,2.291,201.455994,-199.164993,,,,,0.0,6.853,0.0,0.0,,4.335,4.335,0.0,2.518,,18.893,,,
02/25/2005,-43.787,-53.005,12.066,-1.847,,-0.069,-1.778,-1.001,-9.617,-3.083,,11.699,,-89.371,6.92,13.16,,,-6.24,,,0.0,0.0,0.0,,,,,-96.291,1.018,0.0,-1.308,,2.686,2.686,0.0,-0.36,,-132.14,,,
06/03/2005,-25.899,-58.325001,15.055,11.709,,3.162,8.547,5.662,12.354,-5.048,,-1.644,,65.998001,-7.063,0.354,,,-7.417,,,17.919001,17.919001,0.0,,,,,55.142,1.457,0.0,0.0,,3.5,3.68,-0.18,-2.043,,41.556,10.402,0.528,
09/02/2005,-55.728001,-42.041,13.129,0.84,,-0.143,0.983,-27.656,-12.695,-7.497,,-7.464,,-256.307007,-4.288,0.0,,,-4.288,,,0.0,0.0,0.0,,,,,-252.019007,0.437,0.0,0.0,,-0.017,0.655,-0.672,0.454,,-311.597992,,,
12/02/2005,-26.964001,-10.7,8.513,9.939,,-0.071,10.01,-34.716,-18.671,0.651,,-16.696,,317.613007,-3.672,0.0,,,-3.672,,,69.266006,319.723999,-250.457993,,,,,252.019,4.748,0.0,0.0,,5.68,6.275,-0.595,-0.932,,295.397003,,,
03/03/2006,-18.381001,-32.759998,7.764,-13.309,,-0.009,-13.3,19.924,3.131,-0.035,,16.828,,-4.102,-3.225,0.0,,,-3.225,,,27.123001,163.809998,-136.686996,,,,,-28.000001,1.994,0.0,0.0,,1.283,5.51,-4.227,0.711,,-20.489,0.0,0.0,
06/02/2006,14.909,-15.174,15.279,-13.94,,0.344,-14.284,28.743999,34.147999,-16.166,,10.762001,,243.556,-6.219,0.0,,,-6.219,,,0.0,0.0,0.0,,,,,249.775,10.787,0.0,0.0,,8.779,10.361,-1.582,2.008,,269.252014,,,
09/01/2006,3.286,-14.068,20.095,31.382,,-3.716,35.098,-34.123,-5.838,-21.662,,-6.623,,17.31,27.096,33.108,,,-6.012,,,0.0,0.0,0.0,,,,,-9.786,3.484,0.0,0.0,,2.747,2.934,-0.187,0.737,,24.08,0.0,,
11/30/2006,-8.294,-3.516,19.694,22.102,,-2.191,24.293,-46.574,-47.311,25.011,,-24.274,,44.613,-10.106,0.0,,,-10.106,,,0.0,0.0,0.0,,,,,54.719,-32.316,0.0,0.0,,5.18,9.701,-4.521,-37.496,,4.003,,,
03/02/2007,99.863,-4.779,18.466,22.215,,-2.929,25.144,63.961,40.757,20.405,,2.799,,210.142,-8.031,0.003,,,-8.034,,,270.936,495.941,-225.005,,,,,-52.763,3.576,-40.785,0.0,,0.373,0.453,-0.08,43.988,,313.581,,,
05/31/2007,70.683,-66.226,16.735,112.286,,-1.651,113.937,7.888,-12.285,26.835,,-6.662,,-778.008,-0.71,3.469,,,-4.179,,,270.936,495.941,-225.005,,,,,-1048.234,423.781,0.0,415.811,,1.825,10.5,-8.675,6.145,,-283.544,-18.97,5.596,
08/31/2007,-59.007,-18.654,34.666,-58.563,3.863,-0.845,-61.581,-16.456,-17.152,4.697,-4.001,0.0,,-4.52,-4.962,0.645,,,-5.607,,,0.0,0.0,0.0,,,,,0.442,5.356,0.0,0.0,,0.654,0.837,-0.183,4.702,,-58.171,,,
11/30/2007,6.448,-35.624,34.613,-0.8,6.005,-0.389,-6.416,8.259,6.734,12.166,-10.641,0.0,,-3.92,-3.92,0.219,,,-4.139,,,0.0,0.0,0.0,,,,,0.0,-84.431,0.0,-94.0,,3.68,4.819,-1.139,5.889,,-81.903,,,
02/29/2008,42.528,-7.84,33.452,58.806,15.413,0.786,42.607,-41.89,-48.926,5.841,-13.447,14.642,,-3.443,-3.443,0.08,,,-3.523,,,0.0,0.0,0.0,,,,,0.0,7.802,0.0,0.0,,-0.531,0.468,-0.999,8.333,,46.887,,,
05/30/2008,64.908,-166.723,33.299,130.655,25.207,-7.758,113.206,67.677,67.239,9.917,-22.926,13.447,,-4.472,-4.472,0.152,,,-4.624,,,0.0,0.0,0.0,,,,,0.0,-22.822,0.0,-35.0,,1.322,2.181,-0.859,10.856,,37.614,,,
08/29/2008,39.314,79.837,33.131,-11.345,6.442,-3.377,-14.41,-62.309,-50.684,-18.566,6.941,0.0,,-7.53,-7.53,0.068,0.068,0.0,-7.598,-7.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.257,0.0,0.0,,-0.257,0.286,-0.543,0.0,6.257,37.784,,,
11/28/2008,56.779,12.87,31.982,39.003,5.638,0.856,32.509,-27.076,-13.286,-6.912,-6.878,0.0,0.0,-3.745,-3.745,0.082,0.082,0.0,-3.827,-3.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.469,0.0,-88.0,-88.0,-47.469,2.562,-50.031,0.0,1.794,-80.641,,,
02/27/2009,100.239,1.867,32.043,33.439,6.107,-4.945,32.277,32.89,50.41,3.472,-20.992,0.0,0.0,-1.28,-1.28,0.073,0.073,0.0,-1.353,-1.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.635,0.0,0.0,0.0,-0.635,0.174,-0.809,0.0,0.85,99.174,,,
05/29/2009,84.137,20.151,27.638,-20.477,11.893,-2.612,-29.758,56.825,49.307,18.664,-11.146,0.0,0.0,-86.839,-3.804,0.005,0.005,0.0,-3.809,-3.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.035,-11.446,0.0,-13.0,-13.0,1.554,3.549,-1.995,0.0,0.005,-14.143,,,
08/28/2009,16.863,7.461,21.657,-21.751,4.885,-1.522,-25.114,9.496,4.948,4.633,-0.085,0.0,0.0,55.737,-2.962,0.008,0.008,0.0,-2.97,-2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.699,6.415,0.0,0.0,,6.415,7.631,-1.216,0.0,1.075,80.09,,,
11/27/2009,118.238,19.992,23.11,66.009,6.233,-10.586,70.362,9.127,2.497,-7.949,14.579,0.0,0.0,35.549,-4.413,0.031,0.031,0.0,-4.444,-4.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.962,-75.141,0.0,-88.0,-88.0,12.859,13.885,-1.026,0.0,-0.475,78.171,,,
02/26/2010,89.699,41.391,21.7,65.546,6.461,-0.015,59.1,-38.938,-10.688,-20.003,-8.247,0.0,0.0,-3.755,-3.755,0.001,0.001,0.0,-3.756,-3.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048,0.0,0.0,0.0,5.048,6.964,-1.916,0.0,-0.057,90.935,,,
