Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1992,44.582001,,-35.292,,9.290001,,-8.028,,,,1.262,-1.243,,1.562,,0.0,-0.319,0.019,-0.003,,,,0.016,0.0,,,0.016,0.0,0.016,0.0,,0.016,0.016,,12.062,,0.0,,12.062,,0.0,0.0,
09/30/1992,47.472,,-35.772999,,11.699001,,-10.281,,,,1.418,-1.295,,1.601,,0.0,-0.306,0.123,-0.021,,,,0.102,-0.008,,,0.11,0.0,0.11,0.0,,0.11,0.11,,12.068,0.01,0.01,,12.068,0.01,0.01,0.01,
12/31/1992,54.575001,,-44.158001,,10.417,,-9.627,,,,0.79,-1.261,,1.549,,0.0,-0.288,-0.471,0.08,,,,-0.391,0.152,,,-0.543,0.0,-0.543,0.0,,-0.543,-0.543,,12.047999,-0.05,-0.04,-0.04,12.047999,-0.05,-0.04,-0.04,
03/31/1993,51.306999,,-37.619999,,13.687,,-10.433,,,,3.254,-1.445,,1.601,,0.0,-0.156,1.809,-0.669,,,,1.14,0.333,,,0.807,0.0,0.807,0.0,,0.807,0.807,,12.038,0.07,0.1,,12.038,0.07,0.1,0.1,
06/30/1993,52.136002,,-38.252998,,13.883003,,-10.105,,,,3.778,-1.508,,1.637,,0.0,-0.129,2.27,-0.839,,,,1.431,0.476,,,0.955,0.0,0.955,0.0,,0.955,0.955,,12.031,0.08,0.12,,12.031,0.08,0.12,0.12,
09/30/1993,69.098,,-50.870998,,18.227001,,-12.542,,,,5.685,-1.695,,2.038,,0.0,-0.343,3.99,-1.476,,,,2.514,0.301,,,2.213,0.0,2.213,0.0,,2.213,2.213,,12.025,0.18,0.21,,12.025,0.18,0.21,0.21,
12/31/1993,73.475998,,-54.998001,,18.477997,,-12.64,,,,5.838,-1.096,,2.299,,0.0,-1.203,4.742,-1.88,,,,2.862,0.947,,,1.915,0.0,1.915,0.0,,1.915,1.915,,12.172,0.16,0.24,0.24,12.172,0.16,0.24,0.24,
03/31/1994,55.118,,-40.191002,,14.926998,,-11.505,,,,3.422,-2.086,,2.385,,0.0,-0.299,1.336,-0.481,,,,0.855,3.784,,,-2.929,0.0,-2.929,0.0,,-2.929,-2.929,,12.494,-0.23,0.07,,12.494,-0.23,0.07,0.07,
06/30/1994,50.566002,,-35.692001,,14.874001,,-11.373,,,,3.501,-3.306,,3.46,,0.0,-0.154,0.195,-0.068,,,,0.127,0.0,,,0.127,0.0,0.127,0.0,,0.127,0.127,,12.68,0.01,0.01,,12.68,0.01,0.01,0.01,
09/30/1994,68.079002,,-49.389999,,18.689003,,-12.527,,,,6.162,-3.464,,3.836,,0.0,-0.372,2.698,-1.019,,,,1.679,0.0,,,1.679,0.0,1.679,0.0,,1.679,1.679,,12.673,0.13,0.13,,12.673,0.13,0.13,0.13,
12/31/1994,74.774002,,-55.863998,,18.910004,,-12.526,,,,6.384,-4.165,,4.034,,0.0,0.131,2.219,-0.238,,,,1.981,0.0,,,1.981,0.0,1.981,0.0,,1.981,1.981,,12.665,0.16,0.16,0.16,12.665,0.16,0.16,0.16,
03/31/1995,72.660004,,-53.155998,,19.504005,,-12.85,,,,6.654,-4.024,,3.965,,0.0,0.059,2.63,-0.999,,,,1.631,0.0,,,1.631,0.0,1.631,0.0,,1.631,1.631,,12.659,0.13,0.13,,12.659,0.13,0.13,0.13,
06/30/1995,79.747002,,-59.651001,,20.096001,,-13.209,,,,6.887,-4.144,,4.196,,0.0,-0.052,2.743,-0.99,,,,1.753,0.0,,,1.753,0.0,1.753,0.0,,1.753,1.753,,12.684,0.14,0.14,,12.684,0.14,0.14,0.14,
09/30/1995,93.796997,,-69.541,,24.255997,,-15.061,,,,9.195,-4.51,,4.722,,0.0,-0.212,4.685,-1.129,,,,3.556,0.0,,,3.556,0.0,3.556,0.0,,3.556,3.556,,15.099,0.24,0.24,,15.099,0.24,0.24,0.24,
12/31/1995,25.471001,,-22.882,,2.589001,,-7.36,,,,-4.771,-2.925,,3.404,,0.0,-0.479,-7.696,3.358,,,,-4.338,-8.709,,,4.371,0.0,4.371,0.0,,4.371,4.371,,18.385,0.24,-0.23,-0.23,18.385,0.24,-0.23,-0.23,
03/31/1996,90.325996,,-69.290001,,21.035995,,-12.859,,,,8.177,-3.953,,3.828,,0.0,0.125,4.224,-1.477,,,,2.747,-1.6,,,4.347,0.0,4.347,0.0,,4.347,4.347,,18.421,0.24,0.16,0.16,18.421,0.24,0.16,0.16,
06/30/1996,98.936996,,-74.892998,,24.043999,,-13.759,,,,10.285,-4.059,,4.292,,0.0,-0.233,6.226,-2.18,,,,4.046,-1.017,,,5.063,0.0,5.063,0.0,,5.063,5.063,,18.628,0.28,0.22,0.22,18.628,0.28,0.22,0.22,
09/30/1996,134.376007,,-105.047997,,29.32801,,-14.672,,,,14.656,-4.015,,4.145,,0.0,-0.13,10.641,-3.724,,,,6.917,-2.842,,,9.759,0.0,9.759,0.0,,9.759,9.759,,21.513,0.46,0.32,0.32,21.513,0.46,0.32,0.32,
12/31/1996,154.380997,,-124.278,,30.102997,,-16.934,,,,13.169,-2.714,,4.189,,0.0,-1.475,10.455,0.34,,,,10.795,-68.202003,,,78.997003,0.0,78.997002,0.0,,78.997002,78.997002,,22.816999,3.46,0.48,0.48,22.816999,3.46,0.48,0.48,
03/31/1997,164.639999,,-123.013,,41.626999,,-19.032,,,,22.594999,-0.355,,3.669,,0.0,-3.314,22.239999,-7.895,,,,14.345,0.0,,,14.344999,0.0,14.345,0.0,,14.345,14.345,,22.836,0.62,0.62,0.62,23.382999,0.62,0.62,0.62,
06/30/1997,476.999,,-337.186,,139.813,,-64.651,,,,75.162,-4.8,9.213,10.603,-1.39,,-4.413,70.362,-24.621,,,,45.741,,,,45.741,,45.741,,,45.741,45.741,,95.462,0.48,0.48,0.48,96.941,0.47,0.47,0.47,
09/30/1997,509.717987,,-351.45401,,158.263977,,-66.682999,,,,91.581001,-8.797,,10.125,,0.0,-1.328,82.784001,-29.058001,,,,53.726002,0.0,,,53.726,0.0,53.726002,0.0,,53.726002,53.726002,,96.346001,0.56,0.56,0.56,97.936996,0.55,0.55,0.55,
12/31/1997,279.395996,,-186.757004,,92.638992,,-42.782001,,,,49.856998,-8.298,,10.054,,0.0,-1.756,41.558999,-14.365,,,,27.194,9.01,,,18.183999,0.0,18.184,0.0,,18.184,18.184,,46.352001,0.39,0.58,0.58,46.918999,0.38,0.57,0.57,
03/31/1998,570.52002,,-384.358002,,186.162018,,-76.911003,,,,109.250999,-11.279,,12.011,,0.0,-0.732,97.971999,-36.819,,,,61.153,0.0,,,61.152999,-0.01,61.143002,0.0,,61.143002,61.143002,,96.761002,0.63,0.63,0.63,97.625,0.63,0.63,0.63,
06/30/1998,530.833,,-363.715,,167.118,,-71.629,,,,95.489,-118.3,13.327,13.748,-0.421,,104.973,-22.811,8.019,,,,-14.792,,,,-14.792,-0.099,-14.891,,,-14.891,-14.891,107.647,96.771,-0.15,-0.15,-0.15,96.771,-0.15,-0.15,-0.15,
09/30/1998,322.257996,,-221.970993,,100.287003,,-57.217999,,,,43.069,-10.457,,11.752,,0.0,-1.295,32.612,-10.382812,,,,22.229,-20.514999,,,42.744187,0.01,42.754002,0.0,,42.754002,42.754002,,97.386002,0.44,0.23,0.23,97.819,0.44,0.23,0.23,
12/31/1998,301.953003,,-236.688004,,65.264999,,-88.527,,,,-23.261999,-10.075,,11.128,,0.0,-1.053,-33.336999,13.287,,,,-20.049999,4.123,,,-24.173,0.004,-24.169001,0.0,,-24.169001,-24.169001,,97.339996,-0.25,-0.209999,0.25,97.339996,-0.25,-0.21,0.25,
03/31/1999,265.341003,,-183.675003,,81.666,,-66.489998,,,,15.176,-8.977,,10.0,,0.0,-1.023,6.199,-1.699,,,,4.5,1.224,,,3.276,-0.738,2.538,0.0,,2.538,2.538,,97.315002,0.03,0.04,0.04,98.007004,0.03,0.04,0.04,
06/30/1999,278.588013,,-201.753998,,76.834015,,-67.183998,,,,9.65,-6.773,,10.898,,0.0,-4.125,2.877,-0.356,,,,2.521,3.953,,,-1.432,-0.588,-2.02,0.0,,-2.02,-2.02,,97.585999,-0.02,0.02,0.02,99.43,-0.02,0.02,0.02,
09/30/1999,323.631989,,-237.981003,,85.650986,,-68.709999,,,,16.941,-10.576,,11.019,,0.0,-0.443,6.365,-1.848,,,,4.517,14.115,,,-9.598,-1.495,-11.093,0.0,,-11.093,-11.093,,101.407997,-0.11,0.03,0.03,103.481003,-0.11,0.03,0.03,
12/31/1999,372.639008,,-223.473251,,149.165756,,-125.693001,,,,23.47275,-10.53,,12.987,,0.0,-2.457,12.942749,-4.574,,,,8.36875,17.789,,,-9.42025,-0.88,-10.30025,0.0,,-10.30025,-10.30025,,108.668999,-0.09,0.07,0.07,110.636002,-0.09,0.07,0.07,
03/31/2000,395.381989,,-280.992004,,114.389985,,-87.551003,,,,26.839001,-10.601,,13.022,,0.0,-2.421,16.238001,-5.682,,,,10.556,3.458,,,7.098001,-0.563,6.535,0.0,,6.535,6.535,,108.751999,0.06,0.09,0.09,111.318001,0.06,0.09,0.09,
06/30/2000,421.847992,,-294.470001,,127.377991,,-93.442001,,,,33.936001,-13.085,,16.52,,0.0,-3.435,20.851001,-7.502,,,,13.349,0.0,,,13.349001,-0.145,13.204,0.0,0.0,13.204,13.204,,108.896004,0.12,0.12,0.12,112.904999,0.12,0.12,0.12,
09/30/2000,462.170013,,-322.394989,,139.775024,,-95.443001,,,,44.332001,-10.24,,15.818,,0.0,-5.578,34.092001,-12.442,,,,21.65,0.0,,,21.650001,-0.127,21.523001,0.0,,21.523001,21.523001,,109.792,0.2,0.2,0.2,114.5,0.19,0.19,0.19,
12/31/2000,534.861023,,-363.089996,,171.771027,,-103.634003,,,,68.137001,-68.042999,,13.902,,0.0,54.140999,0.094002,-83.823997,,,,-83.730003,0.0,,,-83.729995,0.118,-83.612,0.0,,-83.612,-83.612,,110.389,-0.76,-0.76,0.36,110.389,-0.76,-0.76,0.36,
03/31/2001,526.15802,,-436.651001,,89.507019,,-9.719,,,,79.788002,-11.77,,15.291,,0.0,-3.521,68.018002,-24.486,,,,43.532001,0.0,,,43.532002,-0.022,43.509998,0.0,0.0,43.509998,43.509998,,110.541,0.39,0.39,0.39,124.849998,0.37,0.37,0.37,
06/30/2001,573.0,,-460.493988,,112.506012,,-9.947,,,,102.558998,-12.271001,,18.353001,,0.0,-6.082,90.287997,-33.408001,,,,56.880001,0.0,,,56.879996,-0.444,56.436001,0.0,0.0,56.436001,56.436001,,113.669998,0.5,0.5,0.5,135.546997,0.46,0.46,0.46,
09/30/2001,608.620972,,-489.424011,,119.196961,,-9.984,,,,109.212997,-13.902,,19.958,,0.0,-6.056,95.310997,-34.789001,,,,60.521999,0.0,,,60.521996,-0.341,60.181,0.0,0.0,60.181,60.181,,115.068001,0.52,0.52,0.52,135.080994,0.49,0.49,0.49,
12/31/2001,620.935974,,-514.531006,,106.404968,,-10.019,,,,96.386002,-11.415999,,20.403999,,0.0,-8.988,84.970003,-30.365,,,,54.605,0.0,,,54.605003,-0.081,54.523998,0.0,0.0,54.523998,54.523998,,116.792999,0.47,0.47,0.47,137.539993,0.44,0.44,0.44,
03/31/2002,568.249023,,-391.023987,,177.225036,,-93.842003,,,,83.383003,-15.065999,,20.955999,,0.0,-5.89,68.317004,-23.098,,,,45.219002,0.0,,,45.219004,0.0,45.219002,0.0,0.0,45.219002,45.219002,,119.161003,0.38,0.38,0.38,133.807007,0.36,0.36,0.36,
06/30/2002,593.866028,,-486.744995,,107.121033,,-33.345001,,,,73.776001,-14.908,,20.041,,0.0,-5.133,58.868001,-20.016001,,,,38.852001,0.0,,,38.852,0.0,38.852001,0.0,0.0,38.852001,38.852001,,120.032997,0.32,0.32,0.32,135.759003,0.31,0.31,0.31,
09/30/2002,584.929993,,-505.710999,,79.218994,,-29.396,,,,49.823002,-232.931999,,20.403999,,0.0,212.528,-183.108997,61.466999,,,,-121.641998,0.0,,,-121.641998,0.0,-121.641998,0.0,0.0,-121.641998,-121.641998,,120.193001,-1.01,-1.01,0.28,120.193001,-1.01,-1.01,0.28,
12/31/2002,581.88501,,-496.14801,,85.737,,-34.578999,,,,51.158001,-6.115001,,21.481001,,-1.712,-13.654,45.043,-13.502,,,,31.541,0.0,,,31.541,0.0,31.541,0.0,0.0,31.541,31.541,,120.843002,0.26,0.26,0.26,125.821999,0.25,0.25,0.25,
03/31/2003,589.338013,,-494.428009,,94.910004,,-29.844,,,,65.066002,-18.817001,,20.808001,,,-1.991,46.249001,-12.719,,,,33.529999,0.0,,,33.530001,0.0,33.529999,0.0,0.0,33.529999,33.529999,,121.184998,0.28,0.28,0.28,126.554001,0.27,0.27,0.27,
06/30/2003,616.19397,,-527.768982,,88.424988,,-32.087002,,,,56.338001,-14.941001,,20.874001,,,-5.933,41.397,-11.001,,,,30.396,1.823,,,28.573,0.0,28.573,0.0,0.0,28.573,28.573,,121.471001,0.24,0.25,0.334343,127.488998,0.22,0.24,0.318561,
09/30/2003,647.64801,,-544.093018,,103.554992,,-31.893999,,,,71.661003,-29.237,,17.164,,,12.073,42.424003,-9.682,,,,32.742001,0.33,,,32.412003,0.0,32.411999,0.0,0.0,32.411999,32.411999,,131.595993,0.25,0.25,0.352093,136.464996,0.24,0.24,0.33953,
12/31/2003,723.887024,,-514.687012,,209.200012,,-132.826996,,,,76.373001,-9.99,,15.877,,,-5.887,66.383001,-17.546,,,,48.837002,0.0,,,48.837001,0.0,48.837002,0.0,0.0,48.837002,48.837002,,131.845001,0.37,0.37,0.37,145.444,0.36,0.36,0.36,
03/31/2004,712.640015,,-497.48999,,215.150025,,-132.792999,,,,82.357002,-9.793,,15.674,,,-5.881,72.564002,-19.063999,,,,53.5,0.895,,,52.605003,0.0,52.605,0.0,0.0,52.605,52.605,,132.311996,0.4,0.4,0.4,146.949997,0.38,0.38,0.38,
06/30/2004,742.188049,,-623.984009,,118.20404,,-32.207001,,,,85.997002,15.000001,,15.054,,,-30.054001,100.997003,-19.965,,,,81.031998,7.143,,,73.889003,0.0,73.889,0.0,0.0,73.889,73.889,,133.106995,0.56,0.61,0.42,147.596985,0.52,0.57,0.4,
09/30/2004,794.341003,,-652.462952,,141.878051,,-36.127998,,,,105.75,-10.686,,15.06,,,-4.374,95.064,-25.226,,,,69.837997,-0.259,,,70.097,0.0,70.097,0.0,0.0,70.097,70.097,,134.147003,0.52,0.52,0.52,149.088989,0.49,0.49,0.49,
12/31/2004,882.605,,-604.554,,278.051,,-158.813,,,,119.238,42.884,,17.774,,0.0,-60.658,162.122,-28.417,,,,133.705,-0.626,,,134.331,-0.776,133.555,0.0,0.0,133.555,133.555,,136.435,0.98,0.97,0.59,151.52,0.9,0.9,0.55,
03/31/2005,857.706,,-582.736,,274.97,,-152.128,,,,122.842,-14.061,13.658,13.658,,0.0,0.403,108.781,-28.346,,,,80.435,-0.161,,,80.596,0.0,80.596,0.0,0.0,80.596,80.596,6.1,137.813,0.58,0.58,0.62,152.366,0.55,0.55,0.59,
06/30/2005,937.295,,-634.219,,303.076,,-170.685,,,,132.391,-3.529,13.379,13.379,,0.0,-9.85,128.862,-34.137,,,,94.725,-0.463,,,95.188,0.0,95.188,0.0,0.0,95.188,95.188,,138.936,0.69,0.68,0.68,153.513,0.64,0.64,0.64,
09/30/2005,1076.816,,-747.973,,328.843,,-181.476,,,,147.367,-87.819,17.197,17.197,,0.0,70.622,59.548,-12.249,,,,47.299,-0.587,,,47.886,0.0,47.886,0.0,0.0,47.886,47.886,66.29315,150.486,0.32,0.31,0.75,155.894,0.31,0.3,0.72,
12/31/2005,1461.41,,-1162.151,,299.259,,-56.339,,,,242.92,35.756,,49.488,,0.0,-85.244,278.676,-84.434,,,,244.023,0.0,,,194.242,-0.273,243.75,0.0,0.0,243.75,243.75,,346.874,0.7,0.7,0.56,355.63,0.69,0.69,0.55,
03/31/2006,1536.011,,-987.641,,548.37,,-243.645,,,,304.725,-18.473,18.988,18.988,,0.0,-0.515,286.252,-82.935,,,,203.317,0.0,,,203.317,0.0,203.317,0.0,0.0,203.317,203.317,,349.16,0.58,0.58,0.58,358.326,0.57,0.57,0.57,
06/30/2006,1538.576,,-998.272,,540.304,,-245.089,,,,295.215,-31.793,23.715,23.715,,0.0,8.078,263.422,-76.575,,,,186.847,0.0,,,186.847,0.0,186.847,0.0,0.0,186.847,186.847,,348.853,0.54,0.54,0.54,358.433,0.52,0.52,0.52,
09/30/2006,1696.753,,-1077.846,,618.907,,-255.322,,,,363.585,-27.345,27.487,27.487,,0.0,-0.142,336.24,-94.022,,,,242.218,1.939,,,240.279,-6.076,234.203,0.0,0.0,234.203,234.203,,345.733,0.68,0.68,0.68,354.471,0.66,0.67,0.67,
12/31/2006,1807.588,,-1149.074,,658.514,,-267.352,,,,391.162,-38.167,,39.026,,0.0,-0.859,352.995,-67.941,,,,285.054,7.798,,,277.256,-5.254,272.002,0.0,0.0,272.002,272.002,,340.75,0.8,0.8,0.8,340.75,0.78,0.78,0.76,
03/31/2007,1852.285,,-1164.841,,687.444,,-275.583,,,,411.861,-35.616,34.034,34.034,,0.0,1.582,376.245,-90.299,,,,285.946,0.0,,,285.946,-4.374,281.572,0.0,0.0,281.572,281.572,2.664,339.01,0.83,0.83,0.84,346.308,0.81,0.81,0.82,
06/30/2007,1815.945,,-1192.468,,623.477,,-297.025,,,,326.452,-40.238,35.293,35.293,,0.0,4.945,286.214,-105.271,,,,180.943,11.17,,,169.773,-4.463,165.31,0.0,0.0,165.31,165.31,58.558,338.331,0.49,0.52,0.69,347.817,0.48,0.51,0.68,
09/30/2007,1971.991,,-1273.247,,698.744,,-283.304,,,,415.44,-44.763,50.194,50.194,,0.0,-5.431,370.677,-70.429,,,,300.248,2.211,,,298.037,-5.324,292.713,0.0,0.0,292.713,292.713,,338.176,0.87,0.87,0.87,348.248,0.84,0.85,0.85,
12/31/2007,2191.841,,-1427.054,,764.787,,-294.204,,,,470.583,-59.233,,63.607,,0.0,-4.374,411.35,-66.761,,,,344.589,7.988,,,336.601,-5.59,331.011,0.0,0.0,331.011,331.011,,338.547,0.98,0.99,1.01,349.649,0.95,0.97,0.99,
03/31/2008,2195.892,,-1449.678,,746.214,0.0,-330.68,288.041,,42.639,415.534,-52.304,52.803,52.803,,0.0,-0.499,363.23,-73.625,,,,289.605,19.868,,,269.737,-5.536,264.201,0.0,0.0,264.201,264.201,,680.19,0.39,0.42,0.526,697.086,0.38,0.41,0.516,
06/30/2008,2229.25,,-1454.154,,775.096,0.0,-359.516,268.798,,90.718,415.58,13.663,62.399,,,,-76.062,429.243,-57.875,,,,371.368,-6.94,,,378.308,-7.324,370.984,0.0,0.0,370.984,370.984,-94.705,681.87,0.54,0.53,0.3912,701.927,0.53,0.52,0.3851,
09/30/2008,2540.796,,-1640.923,,899.873,0.0,-365.133,313.107,,52.026,534.74,-68.764,60.521,60.521,,0.0,8.243,465.976,-82.99,,,,382.986,0.0,,,382.986,-12.386,370.6,0.0,0.0,370.6,370.6,,682.532,0.54,0.54,0.56,701.284,0.53,0.53,0.549,
12/31/2008,2634.626,,-1697.705,,936.921,0.0,-405.57,,,,531.351,-99.886,67.956,67.956,,0.0,31.93,431.465,-35.071,,,0.0,396.394,0.0,,,396.394,-9.026,387.368,0.0,0.0,387.368,387.368,,686.222,0.56,0.56,0.58,686.222,0.56,0.56,0.58,
03/31/2009,2256.141,2256.141,-1534.52,1534.52,721.621,0.0,-410.896,361.875,49.021,0.0,310.725,-104.602,91.063,,,,13.539,206.123,-32.463,,,,173.66,0.0,0.0,0.0,173.66,-8.858,164.802,0.0,0.0,164.802,181.052,16.25,698.327,0.24,0.24,0.259265,702.636,0.23,0.23,0.253127,
06/30/2009,1994.832,1994.832,-1442.842,1442.842,551.99,0.0,-398.625,352.512,46.113,0.0,153.365,-97.369,93.498,,,,3.871,55.996,-5.441,,,,50.555,0.0,0.0,0.0,50.555,-8.574,41.981,0.0,0.0,41.981,62.131,20.15,700.424,0.06,0.06,0.088705,709.412,0.06,0.06,0.088404,
09/30/2009,2149.879,2149.879,-1609.241,1609.241,540.638,0.0,-390.716,341.416,49.3,0.0,149.922,-101.331,90.285,,,,11.046,48.591,34.369,,,,82.96,0.0,0.0,0.0,82.96,-5.586,77.374,0.0,0.0,77.374,71.2848,-6.0892,724.114,0.11,0.11,0.098444,735.109,0.11,0.11,0.098444,
12/31/2009,2432.153,2432.153,-1876.039,1876.039,556.114,0.0,-482.262,432.046,50.216,0.0,73.852,-101.079,91.902,,,,9.177,-27.227,-83.648,,,,-110.875,0.0,0.0,0.0,-110.875,-3.141,-114.016,0.0,0.0,-114.016,-116.56425,-2.54825,737.061,-0.15469,-0.15469,-0.158147,746.639,-0.15469,-0.15469,-0.158147,
03/31/2010,2331.067,2331.067,-1752.46,1752.46,578.607,0.0,-471.046,422.189,48.857,0.0,107.561,-168.416,95.339,,,,73.077,-60.855,-3.467,,,,-64.322,0.0,0.0,0.0,-64.322,-4.035,-68.357,0.0,0.0,-68.357,12.75135,81.10835,737.865,-0.09,-0.09,0.017281,737.865,-0.09,-0.09,0.017281,
06/30/2010,2437.163,2437.163,-1806.751,1806.751,630.412,0.0,-525.323,471.793,53.53,0.0,105.089,-109.905,95.719,,,,14.186,-4.816,-39.758,,,,-44.574,0.0,0.0,0.0,-44.574,-3.316,-47.89,0.0,0.0,-47.89,23.0003,70.8903,743.209,-0.06,-0.06,0.030947,743.209,-0.06,-0.06,0.030947,
09/30/2010,2529.752,2529.752,-1895.856,1895.856,633.896,0.0,-358.472,304.015,54.457,0.0,275.424,-122.326,99.318,,,,23.008,153.098,-54.159,,,,98.939,0.0,0.0,0.0,98.939,-4.286,94.653,0.0,0.0,94.653,99.671,5.018,745.502,0.13,0.13,0.133696,751.394,0.13,0.13,0.133696,
12/31/2010,2910.324,2910.324,-2123.803,2123.803,786.521,0.0,-502.911,443.755,59.156,0.0,283.61,-176.353,115.624,,,,60.729,107.257,-331.167,,,,-223.91,0.0,0.0,0.0,-223.91,-6.363,-230.273,0.0,0.0,-230.273,-178.21255,52.06045,726.854,-0.308915,-0.308915,-0.239075,726.854,-0.308915,-0.308915,-0.239075,
03/31/2011,2856.0,2856.0,-2131.0,2131.0,725.0,0.0,-508.0,448.0,60.0,0.0,217.0,-132.0,113.0,,,,19.0,85.0,-46.0,,,,39.0,0.0,0.0,0.0,39.0,-2.0,37.0,0.0,0.0,37.0,71.05,34.05,748.0,0.05,0.05,0.094987,758.0,0.05,0.05,0.094921,
06/30/2011,3052.0,3052.0,-2269.0,2269.0,783.0,0.0,-491.0,429.0,62.0,0.0,292.0,-136.0,114.0,,,,22.0,156.0,-100.0,,,,56.0,0.0,0.0,0.0,56.0,-5.0,51.0,0.0,0.0,51.0,67.0,16.0,751.0,0.07,0.07,0.089214,758.0,0.07,0.07,0.089214,
09/30/2011,3370.0,3370.0,-2480.0,2480.0,890.0,0.0,-480.0,421.0,59.0,0.0,410.0,-141.0,115.0,,,,26.0,269.0,-145.0,,,,124.0,0.0,0.0,0.0,124.0,-3.0,121.0,0.0,0.0,121.0,132.4,11.4,754.0,0.16,0.16,0.175597,760.0,0.16,0.16,0.175,
