Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/01/2001,8917,,,-7253,,1664,,-2004,,,,,-340,-200,,88,2.0,0.0,110,-540,163,-377,0.0,,,-377,0.0,-377,0.0,0.0,-377,-377.0,,496.391405,-0.761016,-0.761016,-0.631545,496.391405,-0.761016,-0.761016,-0.631545,
10/31/2001,8019,,,-6463,,1556,,-1831,,,,,-275,-101,,96,,0.0,5,-376,127,-249,0.0,,,-249,0.0,-249,0.0,0.0,-249,-249.0,,503.67638,-0.494167,-0.494167,-0.306383,503.67638,-0.494167,-0.494167,-0.306383,
01/30/2002,10878,,,-9303,,1575,,-2041,,,,,-466,-888,,76,,0.0,812,-1354,-399,-1753,-166.0,,,-1587,0.0,-1587,0.0,0.0,-1587,-1587.0,,499.932721,-3.162666,-3.498699,-1.692026,499.932721,-3.162666,-3.498699,-1.692026,
05/01/2002,7181,,,-6519,,662,,-1670,,,,,-1008,-279,,33,0.0,0.0,246,-1287,12,-1275,167.0,,,-1442,0.0,-1442,0.0,0.0,-1442,-1442.0,,508.836591,-2.836516,-2.510366,0.820316,508.836591,-2.836516,-2.510366,0.820316,
07/31/2002,7183,,,-5912,,1271,,-1535,,,,,-264,-36,,32,-1.0,0.0,5,-300,0,-300,-7.0,,,-293,0.0,-293,0.0,0.0,-293,-293.0,,508.634248,-0.573233,-0.593,-0.50405,508.634248,-0.573233,-0.593,-0.50405,
10/30/2002,6459,,,-5353,,1106,,-1449,,,,,-343,-26,,37,-1.0,0.0,-10,-369,7,-362,21.0,,,-383,0.0,-383,0.0,0.0,-383,-383.0,,508.431875,-0.751133,-0.7116,-0.7116,508.431875,-0.751133,-0.7116,-0.7116,
01/29/2003,8529,,,-7058,,1471,,-1588,1588.0,,,0.0,-117,-722,53.0,53,,0.0,669,-839,5,-834,267.0,,,-1101,0.0,-1101,0.0,0.0,-1101,-1101.0,,523.001863,-2.105149,-1.591216,-0.761016,523.001863,-2.105149,-1.591216,-0.761016,
04/30/2003,6181,,,-4762,,1419,,-1421,,,,,-2,-856,,58,-1.0,0.0,799,-858,6,-852,10.0,,,-862,0.0,-862,0.0,0.0,-862,-862.0,,528.870342,-1.630749,-1.610983,-0.08895,528.870342,-1.630749,-1.610983,-0.08895,
07/30/2003,5652,,,-4419,,1233,,-1225,,,,,8,-22,,23,-2.0,0.0,1,-14,6,-8,0.0,,,-8,0.0,-8,0.0,0.0,-8,-8.0,,90.758881,-0.08895,-0.08895,-0.098833,90.758881,-0.08895,-0.08895,-0.098833,
10/29/2003,5092,,,-3925,,1167,,-1179,,,,,-12,-30,,32,-2.0,0.0,0,-42,14,-28,0.0,,,-28,0.0,-28,0.0,0.0,-28,-28.0,,90.657701,-0.306383,-0.306383,-0.316267,90.657701,-0.306383,-0.306383,-0.316267,
01/28/2004,6328,,,-4740,,1588,,-1177,,,,,411,23,,69,-6.0,0.0,-86,434,-164,270,0.0,,,270,0.0,270,0.0,0.0,270,270.0,,90.556523,2.984766,2.984766,2.362116,100.775749,2.747566,2.747566,2.194099,
04/28/2004,4615,,,-3478,,1137,,-1004,,,,,133,14,,33,-5.0,0.0,-42,147,-56,91,0.0,,,91,0.0,91,0.0,0.0,91,91.0,,90.556523,1.0081,1.0081,0.74125,101.484017,0.929033,0.929033,0.691833,
07/28/2004,4797,,,-3607,,1190,,-987,,,,,203,44,,33,-7.0,0.0,-70,247,-93,154,0.0,,,154,0.0,154,0.0,0.0,154,154.0,,90.556523,1.699933,1.699933,1.166233,102.69818,1.522033,1.522033,1.057516,
10/27/2004,4426,,,-3324,,1102,,-1000,,,,,102,784,,25,-9.0,0.0,-800,886,-334,552,0.0,,,552,0.0,552,0.0,0.0,552,552.0,,90.252979,6.117781,6.117781,0.721483,102.799358,5.386415,5.386415,0.6523,
01/26/2005,5909,,,-4402,,1507,,-1070,,,,,437,58,,23,-17.0,0.0,-64,495,-186,309,0.0,,,309,0.0,309,0.0,0.0,309,309.0,,89.747079,3.439399,3.439399,2.964999,102.293458,3.053949,3.053949,2.628966,
04/30/2005,7626,,,-5655,,1971,,-1823,,,1.0,,148,-13,42.0,42,0.0,0.0,-29,135,-52,83,90.0,,,-7,-2.0,-9,0.0,0.0,-9,-9.0,,123.440177,-0.069183,0.6523,0.553466,126.27323,-0.069183,0.642416,0.543583,
10/29/2005,12202,,,-8783,,3419,,-3256,,,21.0,,163,-91,70.0,70,0.0,0.0,21,72,-28,44,0.0,,,44,14.0,58,0.0,0.0,58,58.0,,165.430073,0.345917,0.345917,0.069183,165.531253,0.345917,0.345917,0.069183,
01/28/2006,16086,,,-11508,,4578,,-3372,3090.0,,,282.0,1206,283,47.0,88,-41.0,0.0,-330,1489,-533,956,0.0,,,956,-308.0,648,0.0,0.0,648,648.0,-199.02,162.597019,3.982982,3.982982,2.757449,162.597019,3.982982,3.982982,2.757449,
04/29/2006,11998,,,-8665,,3333,,-3010,,,,,323,-27,47.0,47,0.0,0.0,-20,296,-118,178,0.0,,,178,2.0,180,0.0,0.0,180,180.0,,159.865147,1.1267,1.1267,1.09705,159.865147,1.1267,1.1267,1.09705,
07/29/2006,12785,,,-9158,,3627,,-3103,,,,,524,-22,42.0,42,0.0,0.0,-20,502,-201,301,0.0,,,301,-7.0,294,0.0,0.0,294,294.0,-24.0,158.246259,1.858066,1.858066,1.709816,158.34744,1.858066,1.858066,1.709816,
10/28/2006,11941,,,-8557,,3384,,-3112,,,,,272,55,-51.0,89,-140.0,0.0,-4,327,-119,208,0.0,,,208,-12.0,196,0.0,0.0,196,196.0,-65.508,156.22265,1.255183,1.255183,0.840083,156.22265,1.255183,1.255183,0.840083,
02/03/2007,16292,,,-11444,,4848,,-3492,,,,,1356,-10,82.0,157,-217.0,0.0,70,1346,-495,851,0.0,,,851,-29.0,822,0.0,0.0,822,822.0,,157.436815,5.238165,5.238165,5.277698,157.537996,5.228282,5.228282,5.267815,
05/05/2007,11747,,,-8437,,3310,0.0,-2906,2644.0,,,262.0,404,-23,33.0,73,-40.0,,-10,381,-148,233,0.0,,,233,-10.0,223,0.0,0.0,223,223.0,-33.15,155.615567,1.433083,1.433083,1.220058,155.716747,1.433083,1.433083,1.220058,
08/04/2007,12260,,,-8869,,3391,0.0,-3064,2802.0,,,262.0,327,-12,29.0,71,-42.0,,-17,315,-128,187,0.0,,,187,-14.0,173,0.0,0.0,173,173.0,-3.25,152.580153,1.136583,1.136583,1.115283,152.681333,1.136583,1.136583,1.115283,
11/03/2007,11622,,,-8432,,3190,0.0,-3139,2884.0,,,255.0,51,-36,36.0,67,-31.0,,0,15,4,19,,,,19,-15.0,4,0.0,0.0,4,4.0,,141.551481,0.02965,0.02965,0.02965,141.551481,0.02965,0.02965,0.02965,
02/02/2008,15074,,,-10900,,4174,,-3408,,,,,766,-25,53.0,75,-22.0,0.0,-28,741,-278,361,0.0,,,463,-37.0,426,0.0,0.0,426,426.0,-17.485,136.087736,3.133016,3.133016,3.004532,136.087736,3.133016,3.133016,3.004532,
05/03/2008,11068,11068.0,,-8045,8045.0,3023,0.0,-3031,2815.0,248.0,,-32.0,-8,-56,,66,,,-10,-64,28,-36,0.0,0.0,0.0,-36,-20.0,-56,0.0,0.0,-56,-76.8,-20.8,133.254682,-0.424983,-0.424983,-0.57634,133.254682,-0.424983,-0.424983,-0.581076,
08/02/2008,11762,11762.0,,-8640,8640.0,3122,0.0,-2935,2694.0,247.0,,-6.0,187,-46,,65,,,-19,141,-56,85,0.0,0.0,0.0,85,-20.0,65,0.0,0.0,65,-13.252,-78.252,130.320449,0.494167,0.494167,-0.101688,130.320449,0.494167,0.494167,-0.106292,
11/01/2008,10660,10660.0,,-7806,7806.0,2854,0.0,-3056,2731.0,250.0,,75.0,-202,18,,71,,,-89,-184,73,-111,0.0,0.0,0.0,-111,-35.0,-146,0.0,0.0,-146,-109.3,36.7,126.981493,-1.146466,-1.146466,-0.860755,126.981493,-1.146466,-1.146466,-0.860755,
01/31/2009,13280,13280.0,,-9627,9627.0,3653,0.0,-3328,2820.0,236.0,,272.0,325,-34,,70,,,-36,291,-130,161,0.0,0.0,0.0,161,29.0,190,0.0,0.0,190,360.2,170.2,123.946079,1.531916,1.531916,2.906102,123.946079,1.531916,1.531916,2.905094,
05/02/2009,10055,10055.0,,-7182,7182.0,2873,0.0,-2745,2573.0,226.0,,-54.0,128,-70,,59,,,11,58,-24,34,0.0,0.0,0.0,34,-8.0,26,0.0,0.0,26,30.9,4.9,122.226011,0.217433,0.217433,0.252811,122.428372,0.20755,0.20755,0.247573,
08/01/2009,10551,10551.0,,-7756,7756.0,2795,0.0,-2853,2630.0,228.0,,-5.0,-58,-80,,63,,,17,-138,52,-86,0.0,0.0,0.0,-86,-8.0,-94,0.0,0.0,-94,-23.25,70.75,120.505943,-0.780783,-0.780783,-0.192936,120.505943,-0.780783,-0.780783,-0.193675,
10/31/2009,10190,10190.0,,-7419,7419.0,2771,0.0,-2877,2664.0,224.0,,-11.0,-106,-72,,72,,,0,-178,66,-112,0.0,0.0,0.0,-112,-15.0,-127,0.0,0.0,-127,-101.15,25.85,118.279972,-1.077283,-1.077283,-0.855174,118.279972,-1.077283,-1.077283,-0.858734,
01/30/2010,13247,13247.0,,-9467,9467.0,3780,0.0,-3031,2787.0,248.0,,-4.0,749,-71,,71,,,0,678,-217,461,0.0,0.0,0.0,461,-31.0,430,0.0,0.0,430,422.4,-7.6,116.256363,3.696365,3.696365,3.633349,116.256363,3.696365,3.696365,3.630993,
05/01/2010,10046,10046.0,,-7216,7216.0,2830,0.0,-2732,2555.0,221.0,,-44.0,98,-66,,67,,,-1,32,-15,17,0.0,0.0,0.0,17,-1.0,16,0.0,0.0,16,11.4,-4.6,115.952822,0.138367,0.138367,0.098315,116.054002,0.138367,0.138367,0.098315,
07/31/2010,10458,10458.0,,-7635,7635.0,2823,0.0,-2818,2606.0,221.0,,-9.0,5,-58,,69,,,-11,-53,19,-34,0.0,0.0,0.0,-34,-5.0,-39,0.0,0.0,-39,-26.85,12.15,113.929212,-0.345917,-0.345917,-0.235673,113.929212,-0.345917,-0.345917,-0.239271,
10/30/2010,9678,9678.0,,-7121,7121.0,2557,0.0,-2849,2630.0,219.0,,0.0,-292,-70,,77,,,-7,-362,147,-215,0.0,0.0,0.0,-215,-3.0,-218,0.0,0.0,-218,-188.0,30.0,111.197339,-1.956899,-1.956899,-1.690688,111.197339,-1.956899,-1.956899,-1.690688,
01/29/2011,13144,13144.0,,-9476,9476.0,3668,0.0,-3005,2780.0,239.0,,-14.0,663,-94,,97,,,-3,569,-187,382,0.0,0.0,0.0,382,-8.0,374,0.0,0.0,374,390.9,16.9,110.387896,3.389982,3.389982,3.541149,110.387896,3.389982,3.389982,3.541149,
04/30/2011,9540,9540.0,,-6996,6996.0,2544,0.0,-2716,2507.0,211.0,,-2.0,-172,-73,,75,,,-2,-245,76,-169,5.0,5.0,0.0,-174,4.0,-170,0.0,0.0,-170,-145.3,19.7,109.072549,-1.561566,-1.512149,-1.33214,109.072549,-1.561566,-1.512149,-1.33214,
07/30/2011,10138,10138.0,,-7537,7537.0,2601,0.0,-2792,2601.0,220.0,,-29.0,-191,-56,,71,,,-15,-247,97,-150,-6.0,-6.0,0.0,-144,-2.0,-146,0.0,0.0,-146,-131.85,20.15,108.060745,-1.354016,-1.403433,-1.220147,108.060745,-1.354016,-1.403433,-1.220147,
10/29/2011,9405,9405.0,,-7011,7011.0,2394,0.0,-2841,2635.0,210.0,,-4.0,-447,-58,,70,,,-12,-505,91,-414,11.0,11.0,0.0,-425,4.0,-421,0.0,0.0,-421,-274.6,135.4,107.757203,-3.903915,-3.805082,-2.548322,107.757203,-3.903915,-3.805082,-2.548553,
01/28/2012,12484,12484.0,,-9422,9422.0,3062,0.0,-3753,2921.0,212.0,,620.0,-691,-63,,73,,,-10,-754,-1633,-2387,17.0,17.0,0.0,-2404,1.0,-2403,0.0,0.0,-2403,54.7,2440.7,107.453662,-22.365976,-22.207843,0.509057,107.453662,-22.365976,-22.207843,0.506134,
04/28/2012,9270,9270.0,,-6703,6703.0,2567,0.0,-2252,2445.0,202.0,,-395.0,315,-54,,66,,,-12,261,-67,194,0.0,0.0,0.0,194,-5.0,189,0.0,0.0,189,-56.75,-245.75,107.15012,1.759233,1.759233,-0.529631,107.352481,1.759233,1.759233,-0.529955,
07/28/2012,9467,9467.0,,-6936,6936.0,2531,0.0,-2634,2437.0,212.0,,-15.0,-103,-55,,65,,,-10,-158,25,-133,0.0,0.0,0.0,-133,1.0,-132,0.0,0.0,-132,-121.75,10.25,107.15012,-1.235416,-1.235416,-1.136256,107.15012,-1.235416,-1.235416,-1.139756,
10/27/2012,8857,8857.0,,-6604,6604.0,2253,0.0,-2681,2496.0,211.0,,-26.0,-428,-59,,68,,,-9,-487,-11,-498,0.0,0.0,0.0,-498,0.0,-498,0.0,0.0,-498,-234.3,263.7,107.15012,-4.645165,-4.645165,-2.186652,107.15012,-4.645165,-4.645165,-2.186652,
02/02/2013,12260,12260.0,,-9097,9097.0,3163,0.0,-3785,3282.0,205.0,,298.0,-622,-4,,68,,,-64,-626,9,-617,0.0,0.0,0.0,-617,128.0,-489,0.0,0.0,-489,122.273,611.273,107.251301,-4.556215,-4.556215,1.140061,107.251301,-4.556215,-4.556215,1.140061,
05/04/2013,8452,8452.0,,-6296,6296.0,2156,0.0,-2403,2218.0,191.0,,-6.0,-247,-54,,61,,,-7,-301,9,-292,0.0,0.0,0.0,-292,13.0,-279,0.0,0.0,-279,-150.8,128.2,107.251301,-2.599316,-2.599316,-1.406044,107.251301,-2.599316,-2.599316,-1.406044,
08/03/2013,8871,8871.0,,-6685,6685.0,2186,0.0,-2237,2291.0,187.0,,-241.0,-51,-46,,59,,,-13,-97,-30,-127,0.0,0.0,0.0,-127,-67.0,-194,0.0,0.0,-194,-264.5,-70.5,107.352481,-1.808649,-1.808649,-2.463846,107.352481,-1.808649,-1.808649,-2.465364,
