Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2010,1328.5,1328.5,-746.4,746.4,582.1,0.0,-410.8,379.8,,,31.0,171.3,-44.6,,50.1,,-5.5,126.7,-25.9,100.8,-3.9,-3.9,0.0,104.7,-2.1,102.6,,0.0,102.6,127.105,28.405,152.6,0.67,0.66,0.832929,154.3,0.66,0.65,0.832929,
12/31/2010,629.8,629.8,-273.3,273.3,356.5,0.0,-216.4,201.6,92.9,108.7,14.8,140.1,-28.7,,36.9,,-8.2,111.4,-31.8,79.6,-7.9,-7.9,0.0,87.5,-2.1,85.4,,0.0,85.4,96.2,18.7,152.9,0.56,0.52,0.629169,155.7,0.55,0.51,0.629169,
03/31/2011,524.0,524.0,-229.6,229.6,294.4,0.0,-182.4,167.2,66.5,100.7,15.2,112.0,-31.0,,30.9,,0.1,81.0,-19.3,61.7,-21.5,-21.5,0.0,83.2,-2.0,81.2,0.0,0.0,81.2,61.7,2.0,153.7,0.53,0.4,0.401431,156.6,0.52,0.39,0.401431,
06/30/2011,570.4,570.4,-241.7,241.7,328.7,0.0,-209.0,197.1,99.3,97.8,11.9,119.7,-32.1,,29.1,,3.0,87.6,-25.2,62.4,-267.6,-267.6,0.0,330.0,-1.4,328.6,0.0,0.0,328.6,76.7,15.7,154.3,2.13,0.4,0.497084,157.3,2.09,0.4,0.497084,
09/30/2011,579.2,579.2,-243.4,243.4,335.8,0.0,-308.2,231.6,96.0,135.6,76.6,27.6,-122.8,,26.5,,96.3,-95.2,13.2,-82.0,-495.8,-495.8,0.0,413.8,-0.7,413.1,-0.2,0.0,412.9,172.9,255.8,154.8,2.67,-0.53,1.116925,154.8,2.67,-0.53,1.116925,
12/31/2011,637.5,637.5,-273.1,273.1,364.4,0.0,-228.2,192.8,97.0,95.8,35.4,136.2,-40.3,,30.9,,9.4,95.9,0.9,96.8,2.7,2.7,0.0,94.1,,94.1,,0.0,94.1,148.34,51.54,155.8,0.6,0.62,0.952118,158.7,0.59,0.61,0.934764,
03/31/2012,533.8,533.8,-219.1,219.1,314.7,0.0,-183.6,177.1,76.7,100.4,6.5,131.1,-18.6,,24.5,,-5.9,112.5,-34.1,78.4,-0.7,-0.7,0.0,79.1,0.0,79.1,,0.0,79.1,84.4,6.0,157.1,0.5,0.5,0.537237,159.6,0.49,0.49,0.527594,
06/30/2012,597.0,597.0,-249.4,249.4,347.6,0.0,-221.2,202.7,98.0,104.7,18.5,126.4,-4.4,,26.9,,-22.5,122.0,-20.1,101.9,0.8,0.8,0.0,101.1,0.0,101.1,,0.0,101.1,105.9,4.0,158.0,0.63,0.64,0.670253,160.8,0.62,0.63,0.654876,
09/30/2012,626.7,626.7,-255.7,255.7,371.0,0.0,-209.1,203.8,107.5,96.3,5.3,161.9,-26.6,,28.5,,-1.9,135.3,-36.9,98.4,2.2,2.2,0.0,96.2,0.0,96.2,,0.0,96.2,99.4,1.0,158.6,0.61,0.62,0.626734,161.4,0.6,0.61,0.616196,
12/31/2012,709.2,709.2,-303.8,303.8,405.4,0.0,-248.6,228.0,116.5,111.5,20.6,156.8,-24.3,,29.1,,-4.8,132.5,-5.7,126.8,15.9,15.9,0.0,110.9,0.0,110.9,0.0,0.0,110.9,184.884,58.084,159.4,0.7,0.8,1.159875,161.2,0.69,0.79,1.150323,
03/31/2013,577.7,577.7,-228.6,228.6,349.1,0.0,-170.1,177.7,74.8,102.9,-7.6,179.0,-25.0,,26.4,,-1.4,154.0,-38.2,115.8,1.3,1.3,0.0,114.5,0.0,114.5,0.0,0.0,114.5,103.5,-12.3,160.5,0.71,0.72,0.64486,161.8,0.71,0.72,0.64398,
06/30/2013,637.6,637.6,-263.5,263.5,374.1,0.0,-214.0,210.0,104.1,105.9,4.0,160.1,-68.0,,25.7,,42.3,92.1,-17.5,74.6,0.3,0.3,0.0,74.3,0.0,74.3,0.0,0.0,74.3,104.4,29.8,161.7,0.46,0.46,0.64564,163.1,0.46,0.46,0.64271,
09/30/2013,598.7,598.7,-255.3,255.3,343.4,0.0,-198.5,182.9,104.7,78.2,15.6,144.9,-34.4,,20.9,,13.5,110.5,-25.6,84.9,0.1,0.1,0.0,84.8,0.0,84.8,0.0,0.0,84.8,96.1,11.2,162.5,0.52,0.52,0.591385,163.8,0.52,0.52,0.588376,
12/31/2013,739.5,739.5,-324.9,324.9,414.6,0.0,-279.7,222.6,117.4,105.2,57.1,134.9,-12.3,,18.6,,-6.3,122.6,-31.0,91.6,1.3,1.3,0.0,90.3,0.0,90.3,0.0,0.0,90.3,132.1,40.5,163.6,0.55,0.56,0.807457,164.8,0.55,0.56,0.805752,
03/31/2014,590.5,,,,,,,,,,,171.5,,,,,,151.0,,113.0,,,,,,113.0,,,113.0,113.0,,,0.655,0.655,0.66,,0.655,0.655,0.66,
06/30/2014,654.5,,,,,,,,,,,170.5,,,,,,150.0,,108.0,,,,,,108.0,,,108.0,108.0,,,0.67,0.67,0.673,,0.67,0.67,0.673,
