Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2003,7480.0,,-4559.0,,2921.0,0.0,-1528.0,1526.0,,2.0,1393.0,-142.0,-195.0,159.0,-354.0,0.0,337.0,1251.0,-439.0,,812.0,0.0,,,812.0,-2.0,810.0,0.0,0.0,810.0,810.0,,1728.0,0.47,0.47,0.46,1729.0,0.47,0.47,0.46,
12/31/2003,8207.0,,-5149.0,,3058.0,,-1618.0,,,,1440.0,-142.0,,163.0,,0.0,-21.0,1298.0,-445.0,,853.0,-16.0,,,869.0,0.0,869.0,0.0,0.0,869.0,869.0,,1722.0,0.5,0.49,0.49,1723.0,0.5,0.49,0.49,
03/31/2004,7575.0,,-4676.0,,2899.0,0.0,-1648.0,1646.0,,2.0,1251.0,-437.0,,165.0,,0.0,272.0,814.0,-263.0,,551.0,-10.0,,,561.0,-1.0,560.0,0.0,0.0,560.0,560.0,,1717.0,0.33,0.32,0.45,1720.0,0.33,0.32,0.45,
06/30/2004,8091.0,,-5107.0,,2984.0,0.0,-1661.0,1657.0,,4.0,1323.0,-262.0,158.0,159.0,-1.0,0.0,104.0,1061.0,-383.0,,678.0,-22.0,,,700.0,-2.0,698.0,0.0,0.0,698.0,698.0,,1712.0,0.41,0.4,0.46,1715.0,0.41,0.4,0.46,
09/30/2004,7718.0,,-4853.0,,2865.0,0.0,-1598.0,1596.0,,2.0,1267.0,-190.0,161.0,163.0,-2.0,0.0,29.0,1077.0,-310.0,,767.0,-13.0,,,780.0,-1.0,779.0,0.0,0.0,779.0,779.0,,1707.0,0.46,0.45,0.48,1710.0,0.46,0.45,0.48,
12/31/2004,8784.0,,-5645.0,,3139.0,,-1807.0,,,,1332.0,-313.0,,179.0,,0.0,134.0,1019.0,-343.0,,676.0,49.0,,,627.0,0.0,628.0,0.0,0.0,628.0,628.0,,1702.0,0.37,0.4,0.49,1707.0,0.37,0.4,0.49,
03/31/2005,8059.0,,-5104.0,,2955.0,,-1764.0,,,,1191.0,-210.0,176.0,176.0,,0.0,34.0,981.0,-282.0,,699.0,-14.0,,,713.0,0.0,713.0,0.0,0.0,713.0,713.0,49.0,1696.0,0.42,0.41,0.44,1703.0,0.42,0.41,0.43,
06/30/2005,8334.0,,-5275.0,,3059.0,,-1779.0,,,,1280.0,-204.0,352.0,352.0,,0.0,-148.0,1076.0,-316.0,,760.0,286.0,,,474.0,-2.0,472.0,0.0,0.0,472.0,472.0,40.0,1691.0,0.28,0.45,0.47,1698.0,0.28,0.45,0.47,
09/30/2005,8057.0,,-5193.0,,2864.0,,-1674.0,,,,1190.0,-181.0,139.0,139.0,,0.0,42.0,1009.0,-334.0,,675.0,0.0,,,675.0,-1.0,674.0,0.0,0.0,674.0,674.0,,1681.0,0.4,0.4,0.01,1689.0,0.4,0.4,0.01,
12/31/2005,9663.0,,-6243.0,,3420.0,,-1917.0,,,,1503.0,-453.0,,166.0,,0.0,287.0,1050.0,-277.0,,773.0,0.0,,,773.0,0.0,773.0,0.0,0.0,773.0,773.0,,1668.0,0.46,0.46,0.58,1693.0,0.46,0.46,0.58,
03/31/2006,8123.0,,-5185.0,,2938.0,,-1702.0,,,,1236.0,-314.0,96.0,96.0,,0.0,218.0,922.0,85.0,,1007.0,0.0,,,1007.0,-1.0,1006.0,0.0,0.0,1006.0,1006.0,-238.0,1657.0,0.61,0.61,0.45,1662.0,0.61,0.61,0.45,
06/30/2006,8619.0,,-5430.0,,3189.0,,-1761.0,,1770.0,-9.0,1428.0,-398.0,147.0,200.0,,,251.0,1030.0,-347.0,,683.0,,,,683.0,-1.0,682.0,0.0,,682.0,682.0,,1647.0,0.41,0.41,0.51,1656.0,0.41,0.41,0.51,
09/30/2006,8243.0,,-5241.0,,3002.0,,-1745.0,,,,1257.0,-34.0,134.0,134.0,,0.0,-100.0,1223.0,-473.0,,750.0,0.0,,,750.0,-2.0,748.0,0.0,0.0,748.0,748.0,6.0,1638.0,0.46,0.46,0.47,1648.0,0.45,0.45,0.46,
12/31/2006,9371.0,,-6059.0,,3312.0,,-1978.0,2007.0,1950.0,-29.0,1334.0,-493.0,,80.0,-69.0,0.0,482.0,841.0,-216.0,,625.0,0.0,,,625.0,-1.0,624.0,0.0,0.0,624.0,624.0,,1630.0,0.38,0.38,0.52,1642.0,0.38,0.38,0.52,
03/31/2007,8586.0,,-5530.0,,3056.0,,-1858.0,,,,1198.0,-140.0,64.0,64.0,,0.0,76.0,1058.0,-356.0,,702.0,0.0,,,702.0,0.0,702.0,0.0,0.0,702.0,702.0,,1627.0,0.43,0.43,0.469,1636.0,0.43,0.43,0.469,
06/30/2007,9205.0,,-5920.0,,3285.0,0.0,-1948.0,,1969.0,-21.0,1337.0,-298.0,,149.0,,0.0,149.0,1039.0,-332.0,,707.0,0.0,,,707.0,0.0,707.0,0.0,0.0,707.0,707.0,,1587.0,0.45,0.45,0.51,1606.0,0.44,0.44,0.5,
09/30/2007,8760.0,,-5835.0,,2925.0,,-1867.0,,,,1058.0,-338.0,165.0,165.0,,0.0,173.0,720.0,-185.0,,535.0,-61.0,,,596.0,0.0,596.0,0.0,0.0,596.0,596.0,104.0,1557.0,0.38,0.34,0.4,1576.0,0.38,0.34,0.4,
12/31/2007,10396.0,,-7176.0,,3220.0,0.0,-2071.0,,2000.0,71.0,1149.0,-335.0,226.0,226.0,,,109.0,814.0,-229.0,,585.0,,,,585.0,,585.0,0.0,0.0,585.0,585.0,,1532.0,0.38,0.38,0.44,1552.0,0.38,0.38,0.44,
03/31/2008,10046.0,,-6745.0,,3301.0,0.0,-2136.0,,2129.0,7.0,1165.0,-403.0,305.0,,,,98.0,762.0,-215.0,,547.0,-54.0,,,601.0,-2.0,599.0,0.0,0.0,599.0,599.0,83.2703,1532.0,0.39,0.35,0.4,1542.0,0.39,0.35,0.4,
06/30/2008,10804.0,,-6936.0,,3868.0,0.0,-2268.0,,2264.0,4.0,1600.0,-508.0,331.0,331.0,,0.0,177.0,1092.0,-414.0,,678.0,-69.0,,,747.0,-2.0,745.0,0.0,0.0,745.0,745.0,115.05,1522.0,0.49,0.44,0.51,1532.0,0.49,0.44,0.51,
09/30/2008,10401.0,,-7096.0,,3305.0,0.0,-2158.0,,2151.0,7.0,1147.0,-422.0,298.0,298.0,,0.0,124.0,725.0,-205.0,,520.0,-845.0,,,1365.0,-3.0,1362.0,0.0,0.0,1362.0,1362.0,,1493.0,0.91,0.34,0.34,1503.0,0.91,0.34,0.34,
12/31/2008,10681.0,,-7311.0,,3370.0,,-2323.0,,,,1047.0,-1023.0,,338.0,,0.0,685.0,24.0,79.0,,103.0,-77.0,,,180.0,-2.0,178.0,0.0,0.0,178.0,178.0,,1473.0,0.12,0.07,0.44,1481.0,0.12,0.07,0.44,
03/31/2009,8979.0,8979.0,-5879.0,5879.0,3100.0,0.0,-1925.0,1919.0,,6.0,1175.0,-280.0,,305.0,,,-25.0,895.0,-292.0,,603.0,-59.0,-59.0,0.0,662.0,-2.0,660.0,0.0,0.0,660.0,612.05,11.05,1475.0,0.45,0.41,0.414949,1483.0,0.45,0.41,0.414949,
06/30/2009,9781.0,9781.0,-6269.0,6269.0,3512.0,0.0,-2056.0,2062.0,,-6.0,1456.0,-312.0,,309.0,,,3.0,1144.0,-363.0,,781.0,-48.0,-48.0,0.0,829.0,-2.0,827.0,0.0,0.0,827.0,754.19,-24.81,1478.0,0.56,0.53,0.510277,1484.0,0.56,0.53,0.510277,
09/30/2009,9397.0,9397.0,-6019.0,6019.0,3378.0,0.0,-2039.0,2033.0,,6.0,1339.0,-323.0,,322.0,,,1.0,1016.0,-242.0,,774.0,-52.0,-52.0,0.0,826.0,-2.0,824.0,0.0,0.0,824.0,807.1,35.1,1479.0,0.56,0.52,0.545707,1487.0,0.55,0.52,0.543605,
12/31/2009,10597.0,10597.0,-6652.0,6652.0,3945.0,0.0,-2732.0,2770.0,,-38.0,1213.0,-322.0,324.0,324.0,0.0,,-2.0,891.0,-239.0,,652.0,-59.0,-59.0,0.0,711.0,-1.0,710.0,0.0,0.0,710.0,876.55,225.55,1480.0,0.48,0.44,0.592264,1487.0,0.48,0.44,0.591681,
03/31/2010,11318.0,11318.0,-7229.0,7229.0,4089.0,0.0,-2883.0,2850.0,,33.0,1206.0,-624.0,,378.0,,,246.0,582.0,-333.0,,249.0,-1644.0,-1644.0,0.0,1893.0,-10.0,1883.0,0.0,0.0,1883.0,822.55,583.55,1614.0,1.17,0.15,0.509634,1620.0,1.16,0.15,0.509634,
06/30/2010,12253.0,12253.0,-7559.0,7559.0,4694.0,0.0,-2993.0,2933.0,,60.0,1701.0,-439.0,,457.0,,,-18.0,1262.0,-323.0,,939.0,0.0,0.0,0.0,939.0,-2.0,937.0,0.0,0.0,937.0,1196.14,259.14,1747.0,0.54,0.54,0.684682,1752.0,0.53,0.53,0.677911,
09/30/2010,11863.0,11863.0,-7542.0,7542.0,4321.0,0.0,-2802.0,2758.0,,44.0,1519.0,-433.0,,433.0,,,0.0,1086.0,-326.0,,760.0,0.0,0.0,0.0,760.0,-6.0,754.0,0.0,0.0,754.0,826.8,72.8,1748.0,0.43,0.43,0.472998,1754.0,0.43,0.43,0.471505,
12/31/2010,13773.0,13773.0,-8975.0,8975.0,4798.0,0.0,-3558.0,3460.0,,98.0,1240.0,-528.0,522.0,522.0,0.0,,6.0,712.0,-165.0,,547.0,0.0,0.0,0.0,547.0,-7.0,540.0,0.0,0.0,540.0,902.05,362.05,1751.0,0.31,0.31,0.515163,1757.0,0.31,0.31,0.515163,
03/31/2011,12573.0,12573.0,-7937.0,7937.0,4636.0,0.0,-2990.0,2933.0,,57.0,1646.0,-446.0,,462.0,,,-16.0,1200.0,-398.0,,802.0,0.0,0.0,0.0,802.0,-3.0,799.0,0.0,0.0,799.0,853.6,54.6,1754.0,0.46,0.46,0.486659,1760.0,0.45,0.45,0.481023,
06/30/2011,13878.0,13878.0,-9007.0,9007.0,4871.0,0.0,-3065.0,3008.0,,57.0,1806.0,-441.0,,465.0,,,-24.0,1365.0,-389.0,,976.0,0.0,0.0,0.0,976.0,0.0,976.0,,0.0,976.0,1098.02,122.02,1764.0,0.55,0.55,0.62246,1771.0,0.55,0.55,0.618899,
09/30/2011,13226.0,13226.0,-8611.0,8611.0,4615.0,0.0,-2917.0,2866.0,,51.0,1698.0,-425.0,,439.0,,,-14.0,1273.0,-346.0,,927.0,0.0,0.0,0.0,927.0,-5.0,922.0,,0.0,922.0,1012.37,90.37,1770.0,0.52,0.52,0.57196,1777.0,0.52,0.52,0.570855,
12/31/2011,9679.0,9679.0,-6254.0,6254.0,3425.0,0.0,-2602.0,2549.0,,53.0,823.0,-504.0,,718.0,,,-214.0,319.0,140.0,,459.0,-383.0,-383.0,0.0,842.0,-12.0,830.0,0.0,0.0,830.0,706.9,259.9,1771.0,0.47,0.25,0.399153,1779.0,0.47,0.25,0.396093,
03/31/2012,8667.0,8667.0,-5472.0,5472.0,3195.0,0.0,-2292.0,2192.0,,100.0,903.0,-487.0,,568.0,,,-81.0,416.0,-77.0,,339.0,-480.0,-480.0,0.0,819.0,-6.0,813.0,0.0,0.0,813.0,500.0,167.0,1773.0,0.46,0.19,0.282008,1783.0,0.46,0.19,0.282008,
06/30/2012,8527.0,8527.0,-5316.0,5316.0,3211.0,0.0,-2274.0,2194.0,,80.0,937.0,-344.0,445.0,445.0,0.0,,-101.0,593.0,-103.0,,490.0,-544.0,-544.0,0.0,1034.0,-5.0,1029.0,0.0,0.0,1029.0,626.0,141.0,1777.0,0.58,0.27,0.352279,1786.0,0.58,0.27,0.348947,
09/30/2012,8326.0,8326.0,-5206.0,5206.0,3120.0,0.0,-2282.0,2215.0,,67.0,838.0,-737.0,,882.0,,,-145.0,101.0,76.0,,177.0,-482.0,-482.0,0.0,659.0,-7.0,652.0,0.0,0.0,652.0,623.9,453.9,1779.0,0.37,0.1,0.350703,1789.0,0.36,0.1,0.350703,
12/31/2012,9495.0,9495.0,-5945.0,5945.0,3550.0,0.0,-2591.0,2575.0,,16.0,959.0,-295.0,,558.0,,,-263.0,664.0,-68.0,,596.0,18.0,18.0,0.0,578.0,-9.0,569.0,0.0,0.0,569.0,703.86,116.86,1781.0,0.3,0.31,0.395205,1793.0,0.3,0.31,0.375176,
03/31/2013,8744.0,8744.0,-5502.0,5502.0,3242.0,0.0,-2408.0,2332.0,,76.0,834.0,-279.0,,297.0,,,-18.0,555.0,-13.0,,542.0,0.0,0.0,0.0,542.0,-6.0,536.0,0.0,0.0,536.0,576.0,40.0,1784.0,0.3,0.3,0.32287,1798.0,0.3,0.3,0.322247,
06/30/2013,8595.0,8595.0,-5364.0,5364.0,3231.0,0.0,-2366.0,2269.0,,97.0,865.0,-235.0,,244.0,,,-9.0,630.0,-28.0,,602.0,0.0,0.0,0.0,602.0,-1.0,601.0,0.0,0.0,601.0,654.0,53.0,1788.0,0.34,0.34,0.365772,1803.0,0.33,0.33,0.359395,
09/30/2013,8472.0,8472.0,-5328.0,5328.0,3144.0,0.0,-1882.0,1784.0,,98.0,1262.0,-218.0,,257.0,,,-39.0,1044.0,-26.0,,1018.0,0.0,0.0,0.0,1018.0,-6.0,1012.0,0.0,0.0,1012.0,1090.03,78.03,1779.0,0.57,0.57,0.612721,1794.0,0.56,0.56,0.603495,
12/31/2013,9488.0,9488.0,-5995.0,5995.0,3493.0,0.0,-2483.0,2294.0,,189.0,1010.0,-847.0,242.0,242.0,0.0,,605.0,163.0,7.0,,170.0,-1603.0,-1603.0,0.0,1773.0,-7.0,1766.0,0.0,0.0,1766.0,735.8,572.8,1743.0,1.01,0.09,0.422146,1761.0,1.0,0.09,0.41527,
03/31/2014,8641.0,8641.0,-5437.0,5437.0,3204.0,0.0,-2361.0,2265.0,,96.0,843.0,-720.0,240.0,240.0,0.0,,480.0,123.0,27.0,,150.0,0.0,0.0,0.0,150.0,13.0,163.0,0.0,0.0,163.0,27.8,-135.2,1704.0,0.1,0.1,0.016315,1722.0,0.09,0.09,0.011487,
06/30/2014,8436.0,8436.0,-5331.0,5331.0,3105.0,0.0,-2148.0,2038.0,,110.0,957.0,-224.0,234.0,234.0,0.0,,-10.0,733.0,-91.0,,642.0,0.0,0.0,0.0,642.0,-20.0,622.0,0.0,0.0,622.0,688.0,66.0,1694.0,0.37,0.37,0.406139,1712.0,0.36,0.36,0.398551,
09/30/2014,8337.0,8337.0,-5195.0,5195.0,3142.0,0.0,-2289.0,2053.0,,236.0,853.0,227.0,188.0,188.0,0.0,,-415.0,1080.0,-178.0,0.0,902.0,0.0,0.0,0.0,902.0,-3.0,899.0,0.0,0.0,899.0,1096.0,197.0,1688.0,0.53,0.53,0.649289,1705.0,0.53,0.53,0.645543,
12/31/2014,8830.0,8830.0,-5684.0,5684.0,3146.0,0.0,-2557.0,2101.0,,456.0,589.0,29.0,116.0,116.0,0.0,,-145.0,618.0,-111.0,0.0,507.0,0.0,0.0,0.0,507.0,-7.0,500.0,0.0,0.0,500.0,874.65,374.65,1677.0,0.3,0.3,0.521556,1695.0,0.29,0.29,0.511032,
03/31/2015,7762.0,7762.0,-4821.0,4821.0,2941.0,0.0,-2130.0,1924.0,,206.0,811.0,-386.0,175.0,175.0,0.0,,211.0,425.0,-113.0,0.0,312.0,0.0,0.0,0.0,312.0,12.0,324.0,0.0,0.0,324.0,193.0,-131.0,1648.0,0.2,0.2,0.117112,1665.0,0.19,0.19,0.111321,
06/30/2015,7661.0,7661.0,-4595.0,4595.0,3066.0,0.0,-2225.0,1961.0,,264.0,841.0,-314.0,170.0,170.0,0.0,,144.0,527.0,-100.0,0.0,427.0,0.0,0.0,0.0,427.0,-21.0,406.0,0.0,0.0,406.0,317.0,-89.0,1625.0,0.25,0.25,0.195077,1643.0,0.25,0.25,0.195077,
09/30/2015,6849.0,6849.0,-4179.0,4179.0,2670.0,0.0,5132.0,1790.0,,-6922.0,7802.0,-114.0,143.0,143.0,0.0,,-29.0,7688.0,-348.0,-72.0,7268.0,0.0,0.0,0.0,7268.0,-2.0,7266.0,0.0,0.0,7266.0,575.0,-6691.0,1609.0,4.52,4.52,0.357365,1629.0,4.46,4.46,0.352572,
12/31/2015,7364.0,7364.0,-4529.0,4529.0,2835.0,0.0,-3392.0,1902.0,,1490.0,-557.0,-199.0,148.0,148.0,0.0,,51.0,-756.0,-32.0,72.0,-716.0,0.0,0.0,0.0,-716.0,-13.0,-729.0,0.0,0.0,-729.0,735.0,1464.0,1589.0,-0.46,-0.46,0.462555,1610.0,-0.46,-0.46,0.449317,
03/31/2016,6455.0,6455.0,-3920.0,3920.0,2535.0,0.0,-1813.0,1615.0,,198.0,722.0,-244.0,147.0,147.0,0.0,,97.0,478.0,-49.0,128.0,557.0,0.0,0.0,0.0,557.0,-3.0,554.0,0.0,0.0,554.0,808.0,254.0,1569.0,0.35,0.35,0.514978,1587.0,0.35,0.35,0.51005,
06/30/2016,6302.0,6302.0,-3786.0,3786.0,2516.0,0.0,-1878.0,1668.0,,210.0,638.0,-151.0,151.0,151.0,0.0,,0.0,487.0,-118.0,102.0,471.0,0.0,0.0,0.0,471.0,-7.0,464.0,0.0,0.0,464.0,703.0,239.0,1557.0,0.3,0.3,0.451509,1576.0,0.29,0.29,0.44165,
09/30/2016,6396.0,6396.0,-3908.0,3908.0,2488.0,0.0,-1786.0,1552.0,,234.0,702.0,-145.0,145.0,145.0,0.0,,0.0,557.0,-40.0,31.0,548.0,0.0,0.0,0.0,548.0,0.0,548.0,0.0,0.0,548.0,743.0,195.0,1557.0,0.35,0.35,0.4772,1576.0,0.35,0.35,0.473731,
12/31/2016,6770.0,6770.0,-4181.0,4181.0,2589.0,0.0,-2082.0,1705.0,,377.0,507.0,-575.0,575.0,575.0,0.0,,0.0,-68.0,78.0,83.0,93.0,0.0,0.0,0.0,93.0,0.0,93.0,0.0,0.0,93.0,878.3,785.3,1540.0,0.06,0.06,0.570325,1559.0,0.06,0.06,0.56372,
03/31/2017,6414.0,6414.0,-3896.0,3896.0,2518.0,0.0,-1693.0,1483.0,,210.0,825.0,-104.0,,119.0,,,-15.0,721.0,-154.0,66.0,633.0,0.0,0.0,0.0,633.0,-3.0,630.0,0.0,0.0,630.0,775.75,145.75,1529.0,0.41,0.41,0.507358,1550.0,0.41,0.41,0.504032,
06/30/2017,5986.0,5986.0,-3672.0,3672.0,2314.0,0.0,-1678.0,1455.0,,223.0,636.0,-119.0,,114.0,,,5.0,517.0,-84.0,67.0,500.0,0.0,0.0,0.0,500.0,-2.0,498.0,0.0,0.0,498.0,735.0,237.0,1519.0,0.33,0.33,0.483871,1539.0,0.32,0.32,0.473996,
09/30/2017,6530.0,6530.0,-3981.0,3981.0,2549.0,0.0,-1378.0,1338.0,,40.0,1171.0,-9.0,,19.0,,,-10.0,1162.0,-272.0,92.0,982.0,0.0,0.0,0.0,982.0,-1.0,981.0,0.0,0.0,981.0,858.65,-122.35,1507.0,0.65,0.65,0.569774,1524.0,0.64,0.64,0.559718,
12/31/2017,6966.0,6966.0,-4313.0,4313.0,2653.0,0.0,-1823.0,1662.0,,161.0,830.0,-106.0,,93.0,,,13.0,724.0,-156.0,135.0,703.0,0.0,0.0,0.0,703.0,-8.0,695.0,0.0,0.0,695.0,796.95,101.95,1497.0,0.46,0.46,0.532365,1513.0,0.46,0.46,0.527383,
03/31/2018,6765.0,6765.0,-3916.0,3916.0,2849.0,0.0,-1625.0,1527.0,,98.0,1224.0,-67.0,,94.0,,,-27.0,1157.0,-337.0,232.0,1052.0,0.0,0.0,0.0,1052.0,-6.0,1046.0,0.0,0.0,1046.0,943.0,-103.0,1489.0,0.7,0.7,0.633311,1505.0,0.7,0.7,0.631561,
06/30/2018,6112.0,6112.0,-3572.0,3572.0,2540.0,0.0,-2059.0,1904.0,,155.0,481.0,-233.0,,115.0,,,118.0,248.0,-15.0,87.0,320.0,0.0,0.0,0.0,320.0,-2.0,318.0,0.0,0.0,318.0,817.42,499.42,1475.0,0.22,0.22,0.554183,1488.0,0.21,0.21,0.545632,
09/30/2018,6288.0,6288.0,-3874.0,3874.0,2414.0,0.0,-1677.0,1508.0,,169.0,737.0,-67.0,,117.0,,,-50.0,670.0,-310.0,837.0,1197.0,0.0,0.0,0.0,1197.0,-3.0,1194.0,0.0,0.0,1194.0,909.0,-285.0,1466.0,0.81,0.81,0.620055,1480.0,0.81,0.81,0.617432,
12/31/2018,6773.0,6773.0,-4224.0,4224.0,2549.0,0.0,-1679.0,1536.0,,143.0,870.0,-103.0,,128.0,,,-25.0,767.0,-111.0,170.0,826.0,0.0,0.0,0.0,826.0,-3.0,823.0,0.0,0.0,823.0,922.0,99.0,1457.0,0.56,0.56,0.632807,1470.0,0.56,0.56,0.627347,
03/31/2019,6538.0,6538.0,-3945.0,3945.0,2593.0,0.0,-1557.0,1493.0,,64.0,1036.0,-63.0,,80.0,,,-17.0,973.0,-189.0,136.0,920.0,0.0,0.0,0.0,920.0,-6.0,914.0,0.0,0.0,914.0,952.0,38.0,1449.0,0.63,0.63,0.657005,1461.0,0.63,0.63,0.65601,
