Date,P/E,Average,High,Low,P/Book,P/Sales,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1996,8.634021,13927.748498,14626.783209,13319.835853,0.889815,0.786126,10.740274,1.936183,5.006088,7.905584,25.125,13323.328035,
12/31/1996,8.778317,13636.663476,14134.763971,13319.835853,0.959603,0.841967,8.644766,2.038784,5.218364,8.225238,27.125,14143.091536,
03/31/1997,7.080171,13395.347916,14296.499967,12456.499623,0.687516,0.606978,5.295697,1.799783,4.808036,7.873256,19.5,12461.530537,
06/30/1997,9.614675,12896.941933,13455.291506,12348.522122,0.798282,0.679678,5.886635,1.853799,5.311458,9.109631,22.25,13092.489612,
09/30/1997,12.469661,13293.974384,13822.863229,12889.608051,0.814392,0.714537,5.697791,1.838837,5.470463,9.718608,23.375,12992.651365,
12/31/1997,16.403939,13917.472712,14673.572895,13033.110688,1.35448,0.939185,9.537897,2.072727,6.535609,12.248494,30.75,14681.167961,
03/31/1998,19.247913,14975.603195,15715.055657,14592.418394,1.552702,1.06354,12.81633,2.170866,6.993919,13.320311,35.0,15466.213232,
06/30/1998,16.237307,15394.145526,15872.790113,14985.901438,1.557385,1.052391,14.691961,2.158423,6.778664,12.380776,35.0625,15577.479163,
09/30/1998,16.472014,15664.934986,16092.68554,15344.000187,1.601258,1.118865,51.392578,2.168632,6.898517,12.448374,37.375,15704.556704,
12/31/1998,16.399862,15980.616636,19560.410457,15657.454125,1.641694,1.169637,52.343033,2.73521,8.399079,14.662946,38.5625,19560.179209,
03/31/1999,14.432233,19023.764349,19601.116894,17165.083872,1.56743,1.137159,25.225537,2.460621,7.181357,12.16353,36.5625,17167.314354,
06/30/1999,14.538765,17817.634776,18510.96714,16988.694183,1.640549,1.216113,31.607495,2.565821,7.273208,12.522055,38.5625,17661.544124,
09/30/1999,13.227908,17808.496518,18453.863876,17146.114511,1.516553,1.170864,18.636672,2.547239,7.192449,12.062179,36.9375,17452.924301,
12/31/1999,10.46875,17075.484032,17925.712358,14156.340271,1.376109,1.066772,,2.075357,5.810937,9.251579,33.5,14169.505951,
03/31/2000,9.656085,15034.182464,15954.88092,13884.53653,1.649003,1.106158,,2.085355,5.664786,9.727351,36.5,14487.974792,
06/30/2000,9.39017,15933.555467,17329.970661,14858.085077,1.723979,1.091658,,2.09551,5.674006,9.444885,38.6875,14813.933535,
09/30/2000,14.752509,16027.243401,17738.346573,14735.858643,2.288975,1.565,,2.549065,7.404805,13.669582,56.207062,18064.066497,
12/31/2000,,17301.19437,17758.257446,16824.188204,,,,,,,54.8125,,
