Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
07/02/2006,348.1,,-245.4,,102.7,,-69.2,,,33.5,-0.6,1.1,1.1,0.0,,-0.5,32.9,-12.0,,20.9,0.0,,,20.9,0.0,20.9,0.0,0.0,20.9,20.9,,34.4,0.61,0.61,0.61,35.4,0.59,0.59,0.59,
10/01/2006,363.6,,-261.3,,102.3,0.0,-70.2,70.2,0.0,32.1,-1.1,1.4,1.4,,,-0.3,31.0,-8.4,,22.6,,,,22.6,,22.6,,0.0,22.6,22.6,,34.6,0.65,0.65,0.56,35.7,0.63,0.63,0.54,
12/31/2006,391.3,,-276.7,,114.6,0.0,-81.4,81.4,0.0,33.2,-4.1,3.8,3.8,0.0,,0.3,29.1,-10.2,,18.9,0.0,,,18.9,0.0,18.9,0.0,0.0,18.9,18.9,,35.8,0.53,0.53,0.54,35.8,0.53,0.53,0.53,
04/01/2007,385.6,,-272.0,,113.6,0.0,-76.7,76.7,0.0,36.9,-3.3,3.6,,,,-0.3,33.6,-12.4,,21.2,,,,21.2,-0.7,20.5,,0.0,20.5,20.5,,34.8,0.59,0.59,0.59,35.8,0.57,0.57,0.57,
07/01/2007,400.3,,-274.9,,125.4,,-81.8,,,43.6,-3.3,3.5,3.5,0.0,,-0.2,40.3,-15.1,,25.2,0.0,,,25.2,-0.9,24.3,0.0,0.0,24.3,24.3,,35.0,0.69,0.69,0.69,36.1,0.67,0.67,0.67,
09/30/2007,408.899994,,-284.899994,,124.0,,-84.0,,,40.0,-2.1,3.0,3.0,0.0,,-0.9,37.9,-9.9,,28.0,0.0,,,28.0,-0.9,27.1,0.0,0.0,27.1,27.1,,35.0,0.77,0.77,0.67,36.200001,0.75,0.75,0.66,
12/30/2007,427.5,,-304.6,,122.9,,-81.1,,,41.8,-0.9,,2.4,0.0,,-1.5,40.9,-13.4,,27.5,0.0,,,27.5,-0.9,26.6,0.0,0.0,26.6,26.6,,35.0,0.76,0.76,0.75,36.4,0.73,0.73,0.72,
03/30/2008,451.799988,,-315.299988,,136.5,,-88.800003,,,47.700001,-3.2,3.0,3.0,0.0,,0.2,44.500001,-15.6,,28.9,0.0,,,28.9,-1.0,27.9,0.0,0.0,27.9,27.9,,35.200001,0.79,0.79,0.75,36.299999,0.77,0.77,0.73,
06/29/2008,478.8,,-330.9,,147.9,,-92.1,,,55.8,-1.8,2.5,2.5,0.0,,-0.7,54.0,-20.7,,33.3,0.0,,,33.3,-0.7,32.6,0.0,0.0,32.6,32.6,,35.4,0.92,0.92,0.92,36.5,0.89,0.89,0.89,
09/28/2008,497.6,,-348.5,,149.1,,-97.2,,,51.9,-2.6,2.5,2.5,0.0,,0.1,49.3,-18.2,,31.1,0.0,,,31.1,-0.2,30.9,0.0,0.0,30.9,30.9,,35.6,0.87,0.87,0.85,36.7,0.84,0.84,0.82,
12/28/2008,464.8,,-344.8,,120.0,,-86.5,86.5,0.0,33.5,-2.7,2.9,,,,-0.2,30.8,-10.5,,20.3,0.0,,,20.3,-0.4,19.9,0.0,0.0,19.9,19.9,,36.6,0.54,0.54,0.54,36.6,0.54,0.54,0.54,
03/29/2009,440.3,440.3,-313.8,313.8,126.5,0.0,-91.2,91.2,0.0,35.3,-0.7,1.1,,,,-0.4,34.6,-13.6,,21.0,0.0,0.0,0.0,21.0,-0.2,20.8,0.0,0.0,20.8,23.18,2.38,36.0,0.58,0.58,0.643889,36.5,0.57,0.57,0.635205,
06/28/2009,441.1,441.1,-313.8,313.8,127.3,0.0,-83.6,83.6,0.0,43.7,-2.1,1.5,,,,0.6,41.6,-16.2,,25.4,0.0,0.0,0.0,25.4,-0.2,25.2,0.0,0.0,25.2,25.2,0.0,36.0,0.7,0.7,0.7,36.6,0.69,0.69,0.69,
09/27/2009,429.4,429.4,-304.2,304.2,125.2,0.0,-81.5,81.5,0.0,43.7,-1.1,1.1,,,,0.0,42.6,-7.4,,35.2,0.0,0.0,0.0,35.2,-0.1,35.1,0.0,0.0,35.1,35.1,0.0,36.0,0.98,0.98,0.98,36.6,0.96,0.96,0.96,
01/03/2010,454.4,454.4,-324.2,324.2,130.2,0.0,-86.9,86.9,0.0,43.3,-1.0,1.1,,,,-0.1,42.3,-10.1,,32.2,0.0,0.0,0.0,32.2,,32.2,0.0,0.0,32.2,38.2,6.0,36.7,0.88,0.88,1.040872,36.7,0.88,0.88,1.040872,
04/04/2010,404.9,404.9,-287.8,287.8,117.1,0.0,-77.1,77.1,0.0,40.0,-0.3,1.0,,,,-0.7,39.7,-14.7,,25.0,0.0,0.0,0.0,25.0,,25.0,0.0,0.0,25.0,24.6,-0.4,36.2,0.69,0.69,0.679558,36.8,0.68,0.68,0.66913,
07/04/2010,408.0,408.0,-287.4,287.4,120.6,0.0,-76.9,76.9,0.0,43.7,-0.1,0.6,,,,-0.5,43.6,-15.6,,28.0,-0.6,-0.6,0.0,28.6,,28.6,0.0,0.0,28.6,33.13,5.13,36.2,0.79,0.77,0.915193,36.9,0.78,0.76,0.899024,
10/03/2010,409.8,409.8,-284.9,284.9,124.9,0.0,-79.0,79.0,0.0,45.9,-1.9,1.6,,,,0.3,44.0,-14.0,,30.0,-0.4,-0.4,0.0,30.4,-0.1,30.3,0.0,0.0,30.3,28.8,-1.1,36.2,0.84,0.83,0.79558,36.8,0.82,0.81,0.780109,
01/02/2011,452.3,452.3,-309.1,309.1,143.2,0.0,-95.4,95.4,0.0,47.8,-2.7,3.4,,,,-0.7,45.1,-8.5,,36.6,0.0,0.0,0.0,36.6,,36.6,0.0,0.0,36.6,30.552,-6.048,36.9,0.99,0.99,0.827967,36.9,0.99,0.99,0.826098,
04/03/2011,468.1,468.1,-313.1,313.1,155.0,0.0,-100.3,100.3,0.0,54.7,-4.7,4.4,,,,0.3,50.0,-17.5,,32.5,0.5,0.5,0.0,32.0,,32.0,0.0,0.0,32.0,31.1,-1.4,36.5,0.88,0.89,0.852055,37.2,0.86,0.87,0.832366,
07/03/2011,502.9,502.9,-330.6,330.6,172.3,0.0,-110.4,110.4,0.0,61.9,-2.7,4.3,,,,-1.6,59.2,-20.4,,38.8,-113.6,-113.6,0.0,152.4,-0.1,152.3,0.0,0.0,152.3,38.2,-0.5,36.6,4.16,1.06,1.043716,37.3,4.08,1.04,1.026595,
10/02/2011,496.4,496.4,-331.3,331.3,165.1,0.0,-108.3,108.3,0.0,56.8,-7.5,3.7,,,,3.8,49.3,-15.2,,34.1,0.0,0.0,0.0,34.1,,34.1,0.0,0.0,34.1,32.5,-1.6,36.7,0.93,0.93,0.885559,37.4,0.91,0.91,0.867219,
01/01/2012,474.5,474.5,-315.7,315.7,158.8,0.0,-105.0,105.0,0.0,53.8,-0.7,3.8,,,,-3.1,53.1,-16.4,,36.7,0.0,0.0,0.0,36.7,0.1,36.8,0.0,0.0,36.8,36.8,0.0,37.3,0.99,0.99,0.99,37.3,0.99,0.99,0.99,
04/01/2012,494.0,494.0,-328.1,328.1,165.9,0.0,-110.4,110.4,0.0,55.5,-4.4,4.0,,,,0.4,51.1,-15.5,,35.6,0.0,0.0,0.0,35.6,0.1,35.7,0.0,0.0,35.7,32.8,-2.9,36.5,0.98,0.98,0.89863,37.2,0.96,0.96,0.882043,
07/01/2012,518.5,518.5,-343.0,343.0,175.5,0.0,-115.8,115.8,0.0,59.7,-2.7,4.1,,,,-1.4,57.0,-17.4,,39.6,0.0,0.0,0.0,39.6,-0.1,39.5,0.0,0.0,39.5,39.455,-0.045,36.6,1.08,1.08,1.078005,37.3,1.06,1.06,1.058794,
09/30/2012,547.4,547.4,-349.0,349.0,198.4,0.0,-138.1,138.1,0.0,60.3,-3.3,4.5,,,,-1.2,57.0,-13.9,,43.1,0.0,0.0,0.0,43.1,-0.4,42.7,0.0,0.0,42.7,40.77,-1.93,36.7,1.16,1.16,1.110899,37.4,1.14,1.14,1.088396,
12/30/2012,567.4,567.4,-359.0,359.0,208.4,0.0,-140.8,140.8,0.0,67.6,-4.5,5.2,,,,-0.7,63.1,-18.6,,44.5,-2.3,-2.3,0.0,46.8,-0.6,46.2,0.0,0.0,46.2,40.305,-3.595,37.6,1.23,1.17,1.071941,37.6,1.23,1.17,1.071941,
03/31/2013,569.4,569.4,-365.4,365.4,204.0,0.0,-145.1,145.1,0.0,58.9,-5.9,5.4,,,,0.5,53.0,-13.2,,39.8,0.0,0.0,0.0,39.8,0.6,40.4,0.0,0.0,40.4,39.195,-1.205,37.2,1.09,1.09,1.053629,37.8,1.07,1.07,1.038122,
06/30/2013,601.0,601.0,-383.6,383.6,217.4,0.0,-152.5,152.5,0.0,64.9,-5.1,5.1,,,,0.0,59.8,-16.5,,43.3,0.0,0.0,0.0,43.3,-0.4,42.9,0.0,0.0,42.9,43.365,0.465,37.3,1.15,1.15,1.162601,38.0,1.13,1.13,1.142237,
09/29/2013,571.6,571.6,-369.0,369.0,202.6,0.0,-149.6,149.6,0.0,53.0,-5.8,5.1,,,,0.7,47.2,-0.3,,46.9,0.0,0.0,0.0,46.9,-0.1,46.8,0.0,0.0,46.8,44.495,-2.305,37.3,1.25,1.25,1.192895,38.1,1.23,1.23,1.169501,
12/29/2013,596.6,596.6,-382.0,382.0,214.6,0.0,-151.1,151.1,0.0,63.5,0.5,4.8,,,,-5.3,64.0,-9.5,,54.5,0.0,0.0,0.0,54.5,0.4,54.9,0.0,0.0,54.9,50.685,-4.215,38.2,1.44,1.44,1.326832,38.2,1.44,1.44,1.326832,
03/30/2014,573.5,573.5,-351.7,351.7,221.8,0.0,-155.8,155.8,0.0,66.0,-4.1,4.7,,,,-0.6,61.9,-15.9,,46.0,0.0,0.0,0.0,46.0,-0.2,45.8,0.0,0.0,45.8,43.5,-2.3,37.5,1.22,1.22,1.16,38.3,1.2,1.2,1.139948,
06/29/2014,597.1,597.1,-368.4,368.4,228.7,0.0,-154.4,154.4,0.0,74.3,3.6,4.6,,,,-8.2,77.9,-22.1,,55.8,0.0,0.0,0.0,55.8,0.3,56.1,0.0,0.0,56.1,49.805,-6.295,37.4,1.5,1.5,1.331684,38.1,1.47,1.47,1.304777,
09/28/2014,601.1,601.1,-375.4,375.4,225.7,0.0,-151.4,151.4,0.0,74.3,-6.4,4.6,,,,1.8,67.9,-13.0,,54.9,0.0,0.0,0.0,54.9,0.7,55.6,0.0,0.0,55.6,47.225,-8.375,37.2,1.49,1.49,1.269489,37.8,1.47,1.47,1.248439,
12/28/2014,622.3,622.3,-391.6,391.6,230.7,0.0,-150.8,150.8,0.0,79.9,-5.5,5.1,,,,0.4,74.4,-15.5,,58.9,0.0,0.0,0.0,58.9,1.3,60.2,0.0,0.0,60.2,63.005,2.805,36.3,1.658402,1.658402,1.735675,37.4,1.609626,1.609626,1.684626,
03/29/2015,565.0,565.0,-345.9,345.9,219.1,0.0,-151.8,151.8,0.0,67.3,-5.1,5.9,,,,-0.8,62.2,-18.5,,43.7,0.0,0.0,0.0,43.7,0.0,43.7,0.0,0.0,43.7,43.12,-0.58,35.7,1.22,1.22,1.207843,36.5,1.2,1.2,1.18411,
06/28/2015,573.6,573.6,-353.9,353.9,219.7,0.0,-150.6,150.6,0.0,69.1,-2.6,6.0,,,,-3.4,66.5,-18.4,,48.1,0.1,0.1,0.0,48.0,0.3,48.3,0.0,0.0,48.3,46.515,-1.885,35.3,1.37,1.37,1.317705,36.1,1.34,1.34,1.287784,
09/27/2015,551.7,551.7,-340.3,340.3,211.4,0.0,-139.6,139.6,0.0,71.8,-8.1,6.0,,,,2.1,63.7,-13.9,,49.8,1.5,1.5,0.0,48.3,0.0,48.3,0.0,0.0,48.3,44.415,-5.385,35.3,1.37,1.41,1.258215,36.1,1.34,1.38,1.230831,
01/03/2016,604.1,604.1,-382.2,382.2,221.9,0.0,-146.1,146.1,0.0,75.8,-7.7,6.0,,,,1.7,68.1,-12.7,,55.4,-0.1,-0.1,0.0,55.5,0.0,55.5,0.0,0.0,55.5,56.18,0.78,34.9,1.590258,1.587393,1.609742,35.3,1.572238,1.569405,1.591501,
04/03/2016,530.5,530.5,-324.8,324.8,205.7,0.0,-144.8,144.8,0.0,60.9,-7.0,5.7,,,,1.3,53.9,-14.9,,39.0,0.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,39.0,38.4,-0.6,34.4,1.13,1.13,1.116279,35.2,1.11,1.11,1.092955,
07/03/2016,534.9,534.9,-331.8,331.8,203.1,0.0,-148.8,148.8,0.0,54.3,11.3,5.9,,,,-17.2,65.6,-19.5,,46.1,0.4,0.4,0.0,45.7,0.0,45.7,0.0,0.0,45.7,42.12,-3.98,34.4,1.33,1.34,1.224419,35.0,1.31,1.32,1.206286,
10/02/2016,526.8,526.8,-317.0,317.0,209.8,0.0,-139.3,139.3,0.0,70.5,-6.3,5.6,,,,0.7,64.2,-11.1,,53.1,1.1,1.1,0.0,52.0,0.0,52.0,0.0,0.0,52.0,45.77,-7.33,34.7,1.5,1.53,1.31902,35.6,1.46,1.49,1.284101,
01/01/2017,557.7,557.7,-344.4,344.4,213.3,0.0,-145.3,145.3,0.0,68.0,-10.5,6.0,,,,4.5,57.5,-4.2,,53.3,-1.5,-1.5,0.0,54.8,0.0,54.8,0.0,0.0,54.8,52.025,-1.275,34.9,1.570201,1.527221,1.490688,36.5,1.50137,1.460274,1.425342,
04/02/2017,566.1,566.1,-357.0,357.0,209.1,0.0,-154.3,154.3,0.0,54.8,-14.2,8.2,,,,6.0,40.6,-10.1,,30.5,0.0,0.0,0.0,30.5,0.0,30.5,0.0,0.0,30.5,42.88,12.38,35.1,0.87,0.87,1.221652,36.1,0.84,0.84,1.182936,
07/02/2017,671.1,671.1,-421.2,421.2,249.9,0.0,-167.1,167.1,0.0,82.8,-6.4,9.1,,,,-2.7,76.4,-16.3,,60.1,0.0,0.0,0.0,60.1,0.0,60.1,0.0,0.0,60.1,58.396,-1.704,35.2,1.71,1.71,1.658977,36.2,1.66,1.66,1.612928,
10/01/2017,662.2,662.2,-408.6,408.6,253.6,0.0,-164.1,164.1,0.0,89.5,-7.8,8.2,,,,-0.4,81.7,-12.7,,69.0,0.0,0.0,0.0,69.0,0.0,69.0,0.0,0.0,69.0,60.985,-8.015,35.3,1.95,1.95,1.72762,36.4,1.9,1.9,1.679808,
12/31/2017,704.4,704.4,-437.2,437.2,267.2,0.0,-172.6,172.6,0.0,94.6,-6.3,7.6,,0.0,0.0,-1.3,88.3,-20.7,,67.6,0.0,0.0,0.0,67.6,0.0,67.6,0.0,0.0,67.6,69.03,1.43,36.7,1.84,1.84,1.880926,36.7,1.84,1.84,1.878965,
04/01/2018,695.6,695.6,-438.2,438.2,257.4,0.0,-169.0,169.0,0.0,88.4,-6.2,7.1,,,,-0.9,82.2,-15.7,,66.5,0.0,0.0,0.0,66.5,0.0,66.5,0.0,0.0,66.5,65.0,-1.5,35.6,1.87,1.87,1.825843,36.8,1.81,1.81,1.769239,
07/01/2018,732.5,732.5,-447.0,447.0,285.5,0.0,-174.0,174.0,0.0,111.5,-7.1,6.7,,,,0.4,104.4,-18.5,,85.9,0.0,0.0,0.0,85.9,0.0,85.9,0.0,0.0,85.9,82.5,-3.4,35.8,2.4,2.4,2.304469,37.0,2.32,2.32,2.228108,
09/30/2018,725.3,725.3,-446.2,446.2,279.1,0.0,-173.6,173.6,0.0,105.5,-5.3,6.0,,,,-0.7,100.2,-9.9,,90.3,0.0,0.0,0.0,90.3,0.0,90.3,0.0,0.0,90.3,78.9,-11.4,35.9,2.52,2.52,2.197772,37.2,2.43,2.43,2.123548,
12/31/2018,748.4,748.4,-459.6,459.6,288.8,0.0,-177.6,177.6,0.0,111.2,-4.1,5.7,,0.0,0.0,-1.6,107.1,-16.0,,91.1,0.0,0.0,0.0,91.1,0.0,91.1,0.0,0.0,91.1,86.975,-4.125,37.2,2.45,2.45,2.338038,37.2,2.45,2.45,2.338038,
03/31/2019,745.2,745.2,-463.9,463.9,281.3,0.0,-184.0,184.0,0.0,97.3,-4.4,5.4,,0.0,,-1.0,92.9,-17.6,,75.3,0.0,0.0,0.0,75.3,0.0,75.3,0.0,0.0,75.3,75.1,-0.2,36.1,2.09,2.09,2.080332,37.2,2.02,2.02,2.014624,
06/30/2019,782.0,782.0,-463.6,463.6,318.4,0.0,-186.5,186.5,0.0,131.9,-4.0,5.4,,0.0,,-1.4,127.9,-23.3,,104.6,0.0,0.0,0.0,104.6,0.0,104.6,0.0,0.0,104.6,100.3,-4.3,36.2,2.89,2.89,2.770718,37.4,2.8,2.8,2.685027,
09/29/2019,802.2,802.2,-487.7,487.7,314.5,0.0,-185.8,185.8,0.0,128.7,-5.3,5.5,,0.0,,-0.2,123.4,-16.7,16.7,106.7,0.0,0.0,0.0,106.7,0.0,106.7,0.0,0.0,106.7,96.3,-10.4,36.4,2.93,2.93,2.645604,37.6,2.84,2.84,2.563404,
12/29/2019,834.2,834.2,-505.1,505.1,329.1,0.0,-195.3,195.3,0.0,133.8,-4.3,4.7,,,,-0.4,129.5,-13.8,,115.7,0.0,0.0,0.0,115.7,0.0,115.7,0.0,0.0,115.7,109.059,-6.641,37.8,3.06,3.06,2.885159,37.8,3.06,3.06,2.884312,
03/29/2020,784.6,784.6,-492.6,492.6,292.0,0.0,-188.0,188.0,0.0,104.0,-3.0,4.1,,0.0,,-1.1,101.0,-18.8,,82.2,0.0,0.0,0.0,82.2,0.0,82.2,0.0,0.0,82.2,86.216,4.016,36.6,2.25,2.25,2.355628,37.8,2.17,2.17,2.276243,
06/28/2020,743.3,743.3,-460.6,460.6,282.7,0.0,-172.9,172.9,0.0,109.8,-1.9,3.7,,,,-1.8,107.9,-14.2,,93.7,0.0,0.0,0.0,93.7,0.0,93.7,0.0,0.0,93.7,86.223,-7.477,36.7,2.55,2.55,2.349401,37.8,2.48,2.48,2.282196,
09/30/2020,749.2,,,,292.5626,,,,,114.0,,,,,,,112.8,,,90.633,,,,,,90.633,,,90.633,88.88,,,2.368,2.368,2.344,,2.368,2.368,2.344,
12/31/2020,807.8,,,,320.89855,,,,,131.333,,,,,,,129.8,,,104.0,,,,,,104.0,,,104.0,101.62,,,2.705,2.705,2.666,,2.705,2.705,2.666,
