Date,Revenue,Sales & Services Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2004,910.777,,,,,-842.647,,,,68.13,-18.364,,8.51,,0.0,9.854,49.766,-21.541,36.735,-2.322,,,30.547,-1.883,37.174,0.0,0.0,37.174,37.174,,115.27,0.32,0.3,0.245,128.984,0.305,0.29,0.23,
03/31/2005,924.237,,,,,-819.204,,82.408,,105.033,-10.676,21.352,22.676,-1.324,,-10.676,94.357,-31.748,62.609,-3.849,,,66.458,-7.919,58.539,0.0,0.0,58.539,58.539,,115.046,0.535,0.475,0.455,128.832,0.495,0.445,0.425,
06/30/2005,895.41,,,,,-822.004,,95.478,,73.406,-7.45,7.45,7.45,,,0.0,65.956,-21.398,44.558,-122.211,,,166.769,-7.926,158.843,0.0,0.0,158.843,158.843,0.0,112.85,1.405,0.325,0.325,127.296,1.265,0.305,0.305,
09/30/2005,868.038,,,,,-795.424,,102.734,,72.614,-53.59,6.404,6.404,0.0,0.0,47.186,19.024,-5.531,13.493,1.16,,,12.333,-4.014,8.319,0.0,0.0,8.319,8.319,,109.364,0.075,0.085,0.27,110.296,0.075,0.085,0.27,
12/31/2005,879.737,,,,,-816.749,,,,62.988,-44.536,,8.403,,0.0,36.133,18.452,-3.624,18.452,-3.232,,,18.06,-5.786,12.274,0.0,0.0,12.274,12.274,,108.004,0.115,0.085,0.225,108.448,0.115,0.085,0.225,
03/31/2006,959.282,,,,,-874.108,,75.007,,85.174,6.862,8.525,8.525,,,-15.387,92.036,-30.367,61.669,-0.592,,,62.261,-11.177,51.084,0.0,0.0,51.084,51.084,,107.536,0.475,0.47,0.4,121.012,0.44,0.435,0.365,
06/30/2006,960.491,,,,,-864.726,,87.182,,95.765,12.947,8.697,8.697,,,-21.644,108.712,-36.349,72.363,0.612,,,71.751,-11.492,60.259,,,60.259,60.259,,107.46,0.56,0.565,0.43,119.974,0.52,0.525,0.39,
09/30/2006,945.556,,,,,-875.063,,97.901,,70.493,124.188,6.14,6.14,,,-130.328,194.681,-65.704,128.977,0.084,,,128.893,-14.948,113.945,0.0,0.0,113.945,113.945,,113.588,1.005,1.005,0.275,114.002,1.0,1.0,0.27,
12/31/2006,976.941,,,,,-905.104,,88.94,,71.837,-8.556,9.196,9.196,,,-0.64,63.281,-20.458,42.823,0.032,,,42.791,-8.621,34.17,0.0,0.0,34.17,34.17,,108.47619,0.315,0.315,0.304161,108.47619,0.315,0.315,0.304161,
03/31/2007,1098.508,,,,,-991.342,,99.093,,107.166,-12.289,12.722,12.722,,,-0.433,94.877,-31.113,63.764,0.064,,,63.7,-14.192,49.508,0.0,0.0,49.508,49.508,,106.986,0.465,0.465,0.47,107.372,0.46,0.46,0.465,
06/30/2007,1075.937,,,,,-967.929,,103.039,,108.008,-14.098,13.04,13.04,,,1.058,93.91,-33.193,60.717,-0.029,,,60.746,-8.675,52.071,0.0,0.0,52.071,52.071,,106.998,0.485,0.485,0.395,107.456,0.485,0.485,0.395,
09/30/2007,1054.966,,,,,-987.924,,108.639,,67.042,-12.963,12.881,12.881,,,0.082,54.079,-14.961,39.118,0.48,,,38.638,-9.784,28.854,0.0,0.0,28.854,28.854,,106.962,0.27,0.275,0.325,107.258,0.27,0.275,0.325,
12/31/2007,1040.788,,,,,-952.75,,,,88.038,-12.276,,14.043,,0.0,-1.767,76.101,-25.358,50.404,-0.26,,,51.003,-10.71,39.954,0.0,0.0,39.954,39.954,,106.102,0.375,0.375,0.375,106.466,0.375,0.375,0.375,
03/31/2008,1277.976,,,,0.0,-1153.554,,119.797,,124.422,-13.479,13.479,,,,0.0,110.943,-37.611,73.332,-1.61,,,74.942,-13.279,61.663,0.0,0.0,61.663,61.663,0.0,102.526,0.6,0.585,0.585,102.56,0.6,0.585,0.585,
06/30/2008,1262.577,,,,0.0,-1147.506,,120.646,,115.071,-13.249,13.249,,,,0.0,101.822,-35.205,66.617,0.95,,,65.667,-11.427,54.24,0.0,0.0,54.24,54.24,,101.258,0.535,0.545,0.545,101.484,0.53,0.54,0.54,
09/30/2008,1244.462,,,,0.0,-1161.968,,125.003,,82.494,-13.419,13.419,,,,0.0,69.075,-22.536,46.539,0.226,,,46.313,-9.316,36.997,0.0,0.0,36.997,36.997,0.0,101.088,0.365,0.365,0.365,101.522,0.365,0.365,0.365,
12/31/2008,1237.402,,,,0.0,-1149.17,,111.299,,88.232,-13.06,13.06,,,,0.0,75.172,-28.026,47.146,0.0,0.0,,53.148,-6.671,46.477,0.0,0.0,46.477,46.477,,200.032,0.23,0.2,0.2,200.544,0.23,0.2,0.2,
03/31/2009,1193.441,1193.441,,,0.0,-1056.691,51.134,,1005.557,136.75,-12.638,12.638,12.773,-0.135,,0.0,124.112,-42.078,82.034,0.0,0.0,0.0,82.034,-14.493,67.541,0.0,0.0,67.541,67.541,0.0,98.412,0.685,0.685,0.685,98.412,0.685,0.685,0.685,
06/30/2009,1182.97,1182.97,,,0.0,-1019.927,51.085,,968.842,163.043,-11.879,11.879,12.024,-0.145,,0.0,151.164,-57.187,93.977,0.0,0.0,0.0,93.977,-13.084,80.893,0.0,0.0,80.893,85.224,4.331,97.7,0.825,0.825,0.872303,98.104,0.82,0.82,0.864147,
09/30/2009,1154.023,1154.023,,,0.0,-1052.146,51.205,,1000.941,101.877,-10.78,10.78,11.124,-0.344,,0.0,91.097,-32.043,59.054,0.0,0.0,0.0,59.054,-7.98,51.074,0.0,0.0,51.074,51.074,0.0,97.774,0.52,0.52,0.52,98.504,0.515,0.515,0.515,
12/31/2009,1163.342,1163.342,,,0.0,-1044.48,51.279,,993.201,118.862,-10.513,10.513,10.836,-0.323,,0.0,108.349,-39.167,69.182,0.0,0.0,0.0,69.182,-8.317,60.865,0.0,0.0,60.865,60.865,0.0,97.29,0.62,0.62,0.62,98.08,0.62,0.62,0.62,
03/31/2010,1221.763,1221.763,,,0.0,-1081.215,53.511,,1027.704,140.548,-12.377,12.377,12.594,-0.217,,0.0,128.171,-45.409,82.762,0.0,0.0,0.0,82.762,-10.943,71.819,0.0,0.0,71.819,70.519,-1.3,96.539,0.74,0.74,0.730472,97.45,0.73,0.73,0.71666,
06/30/2010,1194.551,1194.551,,,0.0,-1064.802,54.025,,1010.777,129.749,-12.277,12.277,12.33,-0.053,,0.0,117.472,-41.057,76.415,0.0,0.0,0.0,76.415,-10.843,65.572,0.0,0.0,65.572,76.86,11.288,96.703,0.68,0.68,0.794805,98.054,0.67,0.67,0.78512,
09/30/2010,1189.797,1189.797,,,0.0,-1085.113,55.53,,1029.583,104.684,-11.478,11.478,11.525,-0.047,,0.0,93.206,-27.404,65.802,0.0,0.0,0.0,65.802,-10.192,55.61,0.0,0.0,55.61,53.733,-1.877,96.777,0.57,0.57,0.555225,97.935,0.57,0.57,0.550834,
12/31/2010,1415.165,1415.165,,,0.0,-1284.449,60.849,,1223.6,130.716,-41.468,41.468,,,,0.0,89.248,-38.432,50.816,0.0,0.0,0.0,50.816,-13.634,37.182,0.0,0.0,37.182,62.115,24.933,97.125,0.38,0.38,0.639537,98.453,0.38,0.38,0.633248,
03/31/2011,1757.412,1757.412,,,0.0,-1496.999,71.351,,1425.648,260.413,-56.417,56.417,56.461,-0.044,,0.0,203.996,-74.009,129.987,0.0,0.0,0.0,129.987,-15.794,114.193,0.0,0.0,114.193,114.193,0.0,97.381,1.17,1.17,1.17,98.868,1.15,1.15,1.15,
06/30/2011,1714.464,1714.464,,,0.0,-1482.227,71.215,,1411.012,232.237,-49.808,49.808,49.85,-0.042,,0.0,182.429,-66.395,116.034,0.0,0.0,0.0,116.034,-12.385,103.649,0.0,0.0,103.649,103.649,0.0,97.563,1.06,1.06,1.06,99.258,1.04,1.04,1.04,
09/30/2011,1662.675,1662.675,,,0.0,-1467.147,73.17,,1393.977,195.528,-48.452,48.452,48.496,-0.044,,0.0,147.076,-52.234,94.842,0.0,0.0,0.0,94.842,-9.788,85.054,0.0,0.0,85.054,85.054,0.0,97.397,0.87,0.87,0.87,98.598,0.86,0.86,0.86,
12/31/2011,1662.996,1662.996,,,0.0,-1454.046,73.383,,1380.663,208.95,-46.115,46.115,,,,0.0,162.835,-54.828,108.007,0.0,0.0,0.0,108.007,-12.736,95.271,0.0,-0.081,95.19,95.19,0.0,96.455,0.99,0.99,0.99,97.424,0.98,0.98,0.98,
03/31/2012,1793.036,1793.036,,,0.0,-1524.008,71.792,,1452.216,269.028,-46.71,46.71,46.739,-0.029,,0.0,222.318,-79.748,142.57,0.0,0.0,0.0,142.57,-13.963,128.607,0.0,0.0,128.607,109.854,-18.753,96.593,1.33,1.33,1.137287,97.791,1.31,1.31,1.118234,
06/30/2012,1723.083,1723.083,,,1.955,-1494.706,72.983,,1421.723,230.332,-45.888,45.888,45.908,-0.02,,0.0,184.444,-67.0,117.444,0.0,0.0,0.0,117.444,-9.883,107.561,0.0,0.0,107.561,107.561,0.0,96.691,1.11,1.11,1.11,97.729,1.1,1.1,1.1,
09/30/2012,1680.353,1680.353,,,10.551,-1522.192,77.032,,1445.16,168.712,-45.207,45.207,45.228,-0.021,,0.0,123.505,-42.132,81.373,0.0,0.0,0.0,81.373,-9.556,71.817,0.0,0.0,71.817,89.943,18.126,96.817,0.74,0.74,0.929,97.611,0.73,0.73,0.915696,
12/31/2012,1764.927,1764.927,,,17.532,-1507.95,80.619,,1427.331,274.509,-41.113,41.113,41.128,-0.015,,0.0,233.396,-85.736,147.66,0.0,0.0,0.0,147.66,-12.199,135.461,0.0,0.0,135.461,122.7594,-12.7016,97.181,1.39,1.39,1.263204,97.711,1.39,1.39,1.260008,
03/31/2013,1831.632,1831.632,,,4.712,-1592.422,79.812,,1512.61,243.922,-39.938,39.938,39.947,-0.009,,0.0,203.984,-74.049,129.935,0.0,0.0,0.0,129.935,-10.151,119.784,0.0,0.0,119.784,119.784,0.0,97.711,1.23,1.23,1.23,98.571,1.21,1.21,1.21,
06/30/2013,1834.975,1834.975,,,0.083,-1531.004,81.682,,1449.322,304.054,-38.236,38.236,38.254,-0.018,,0.0,265.818,-98.015,167.803,0.0,0.0,0.0,167.803,-15.962,151.841,0.0,0.0,151.841,151.841,0.0,98.033,1.55,1.55,1.55,99.211,1.53,1.53,1.53,
09/30/2013,1816.369,1816.369,,,23.148,-1614.631,86.971,,1527.66,224.886,-32.314,32.314,37.0,-4.686,,0.0,192.572,-69.473,123.099,0.0,0.0,0.0,123.099,-8.512,114.587,0.0,0.0,114.587,114.587,0.0,98.151,1.17,1.17,1.17,99.587,1.15,1.15,1.15,
