Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2010,43098,814,814,0.0,657,657,0.0,0.0,0.0,0.0,0.0,0.0,285,,165.0,130.0,154.0,1756,13722,,,933,933.0,26687,26338,2090,24248,,,184,41342,,1706,333,82.0,508.0,783.0,0.0,,,,,1159,,0.0,962,2865,21547,21547.0,,,9510,,,9110.0,400,31057,33922,0.0,9722,4.0,9718.0,0.0,-257,-293,9172,4,9176,43098,
09/30/2010,43686,1128,1128,0.0,673,673,0.0,0.0,0.0,0.0,0.0,0.0,542,,240.0,133.0,408.0,2343,13666,,,905,905.0,26772,26321,2090,24231,,,211,41343,,1660,342,95.0,436.0,787.0,0.0,0.0,,,0.0,1136,,,953,2796,21614,21614.0,,,9843,,,9382.0,461,31457,34253,0.0,9611,4.0,9607.0,0.0,103,-289,9425,8,9433,43686,
12/31/2010,45822,3047,3047,0.0,718,718,0.0,0.0,0.0,0.0,0.0,0.0,575,402.0,176.0,150.0,22.0,4340,13873,28649.0,-14776.0,21,21.0,27588,26314,2091,24223,113.0,845.0,140,41482,,1893,529,92.0,507.0,765.0,0.0,0.0,,,0.0,1193,0.0,0.0,1010,3086,23421,23421.0,,,10098,0.0,30.0,9637.0,431,33519,36605,0.0,9447,3.0,9444.0,0.0,54,-291,9210,7,9217,45822,
03/31/2011,45139,3033,3033,0.0,632,632,0.0,0.0,0.0,0.0,0.0,0.0,377,,143.0,176.0,201.0,4042,13562,,,836,836.0,26699,26315,2091,24224,,,241,41097,,1636,290,68.0,466.0,812.0,0.0,0.0,,,,1129,,11.0,924,2765,23377,23377.0,,,10358,,,9892.0,455,33735,36500,0.0,9054,3.0,9051.0,0.0,-135,-287,8632,7,8639,45139,
06/30/2011,45904,3510,3510,0.0,704,704,0.0,0.0,0.0,0.0,0.0,0.0,317,,221.0,147.0,168.0,4531,13583,,,809,809.0,26981,26521,2233,24288,,,239,41373,,1715,300,68.0,520.0,827.0,261.0,0.0,,,261.0,1165,,,918,3141,24222,24222.0,,,10492,,,9981.0,511,34714,37855,0.0,8631,3.0,8628.0,0.0,-273,-317,8041,8,8049,45904,
09/30/2011,48113,5573,5573,0.0,708,708,0.0,0.0,0.0,0.0,0.0,0.0,406,,306.0,201.0,188.0,6687,13506,,,781,781.0,27139,26534,2233,24301,,,299,41426,,1728,331,80.0,492.0,825.0,1774.0,0.0,,,1774.0,1143,,168.0,961,4645,24999,24999.0,,,10815,,,10186.0,461,35814,40459,0.0,8296,3.0,8293.0,0.0,-279,-370,7647,7,7654,48113,
12/31/2011,48276,5177,5177,0.0,767,767,0.0,0.0,0.0,0.0,0.0,0.0,454,154.0,297.0,267.0,33.0,6398,13905,30376.0,-16471.0,774,774.0,27199,26747,2247,24500,,,155,41878,,2043,545,106.0,585.0,807.0,2122.0,0.0,,,2122.0,1205,0.0,0.0,947,5370,24620,24620.0,,,10749,0.0,46.0,10198.0,505,35369,40739,0.0,8021,3.0,8018.0,0.0,68,-559,7530,7,7537,48276,
03/31/2012,49296,2629,2629,0.0,647,647,0.0,0.0,0.0,0.0,0.0,0.0,612,,281.0,398.0,214.0,3888,14542,,,770,770.0,30096,29649,2817,26832,,,166,45408,,1916,352,159.0,535.0,870.0,2495.0,0.0,,,2495.0,1173,,49.0,953,5584,24644,24644.0,,,11542,,,11022.0,471,36186,41770,0.0,7969,3.0,7966.0,0.0,100,-551,7518,8,7526,49296,
06/30/2012,49937,3226,3226,0.0,791,791,0.0,0.0,0.0,0.0,0.0,0.0,569,,312.0,379.0,190.0,4586,14526,,,771,771.0,30054,29570,2879,26691,,,172,45351,,2081,399,244.0,554.0,884.0,1855.0,0.0,,,1855.0,1217,,128.0,1013,5153,25681,25681.0,,,11738,,,11084.0,526,37419,42572,0.0,7872,3.0,7869.0,0.0,79,-594,7357,8,7365,49937,
09/30/2012,50085,3853,3853,0.0,899,899,0.0,0.0,0.0,0.0,0.0,0.0,610,,377.0,372.0,238.0,5362,14510,,,88,88.0,30125,29570,2893,26677,,,178,44723,,2086,458,263.0,490.0,875.0,2176.0,300.0,,,1876.0,1272,,33.0,1058,5534,25187,25187.0,,,11747,,,11262.0,452,36934,42468,0.0,7710,3.0,7707.0,0.0,440,-541,7609,8,7617,50085,
12/31/2012,49809,3454,3304,150.0,883,883,0.0,0.0,0.0,0.0,0.0,0.0,540,188.0,407.0,317.0,35.0,4877,14742,33272.0,-18530.0,87,87.0,30103,29541,2889,26652,,,155,44932,,2204,647,99.0,586.0,872.0,1518.0,0.0,,,1518.0,1603,0.0,1.0,1401,5325,25171,25171.0,,,12030,0.0,204.0,11280.0,545,37201,42526,0.0,7579,3.0,7576.0,0.0,363,-663,7279,4,7283,49809,
03/31/2013,49299,3268,2793,475.0,762,762,0.0,0.0,0.0,0.0,0.0,0.0,574,,304.0,322.0,252.0,4604,14653,,,77,77.0,29965,29516,2885,26631,,,145,44695,,2090,511,156.0,524.0,899.0,2273.0,0.0,,,2273.0,1511,,52.0,1304,5874,24248,24248.0,,,12235,,,11407.0,776,36483,42357,0.0,7488,3.0,7485.0,0.0,90,-640,6938,4,6942,49299,
06/30/2013,49228,3198,2623,575.0,858,858,0.0,0.0,0.0,0.0,0.0,0.0,554,,219.0,317.0,237.0,4610,14690,,,84,84.0,29844,29494,2885,26609,,,131,44618,,2163,521,179.0,576.0,887.0,3281.0,0.0,,,3281.0,1562,,50.0,1310,7006,23111,23111.0,,,12399,,,11538.0,811,35510,42516,0.0,7269,3.0,7266.0,0.0,42,-603,6708,4,6712,49228,
09/30/2013,47431,1126,876,250.0,892,892,0.0,0.0,0.0,0.0,0.0,0.0,638,,418.0,309.0,329.0,2656,14627,,,83,83.0,30065,29471,2886,26585,,,176,44775,,1930,468,127.0,438.0,897.0,1771.0,0.0,,,1771.0,1263,,31.0,1059,4964,23261,23261.0,,,12540,,,11714.0,795,35801,40765,0.0,7059,3.0,7056.0,0.0,119,-516,6662,4,6666,47431,
12/31/2013,48273,525,525,0.0,954,954,0.0,0.0,0.0,0.0,0.0,0.0,665,297.0,456.0,334.0,34.0,2144,15056,35619.0,-20563.0,56,56.0,31017,29760,3196,26564,611.0,,190,46129,,2095,565,132.0,529.0,869.0,1767.0,0.0,,,1767.0,1364,0.0,50.0,1165,5226,23285,23285.0,,,12815,0.0,32.0,12098.0,635,36100,41326,0.0,6954,3.0,6951.0,0.0,-55,44,6943,4,6947,48273,
03/31/2014,49153,1557,1557,0.0,836,836,0.0,0.0,0.0,0.0,0.0,0.0,721,,375.0,326.0,395.0,3114,15077,,,64,64.0,30898,29750,3138,26612,,,773,46039,,2014,445,175.0,487.0,907.0,3062.0,0.0,,,3062.0,1323,,40.0,1130,6399,22792,22792.0,,,12864,,,12101.0,723,35656,42055,0.0,6841,3.0,6838.0,0.0,255,-2,7094,4,7098,49153,
06/30/2014,48456,403,403,0.0,906,906,0.0,0.0,0.0,0.0,0.0,0.0,679,,365.0,348.0,331.0,1988,15604,,,68,68.0,30796,29725,3137,26588,,,706,46468,,2238,565,297.0,481.0,895.0,1663.0,0.0,,,1663.0,1373,,,1156,5274,22917,22917.0,,,12851,,,12162.0,689,35768,41042,0.0,6943,3.0,6940.0,0.0,539,-72,7410,4,7414,48456,
09/30/2014,48636,526,526,0.0,950,950,0.0,0.0,0.0,0.0,0.0,0.0,598,,90.0,319.0,279.0,2074,15794,,,69,69.0,30699,29699,3138,26561,,,910,46562,,2201,462,442.0,395.0,902.0,1540.0,0.0,,,1540.0,1278,,223.0,1085,5019,22762,22762.0,,,12946,,,12230.0,493,35708,40727,0.0,7096,3.0,7093.0,0.0,824,-15,7905,4,7909,48636,
12/31/2014,48135,707,707,0.0,949,949,0.0,0.0,0.0,0.0,0.0,0.0,383,365.0,290.0,,18.0,2039,15990,38552.0,-22562.0,4,4.0,30102,29672,3137,26535,,60.0,80,46096,,2087,567,132.0,486.0,902.0,1017.0,0.0,,,1017.0,1393,0.0,19.0,1195,4497,22604,22604.0,,,13017,0.0,95.0,12291.0,612,35621,40118,0.0,7175,3.0,7172.0,0.0,1162,-324,8013,4,8017,48135,
03/31/2015,48330,547,547,0.0,811,811,0.0,0.0,0.0,0.0,0.0,0.0,648,390.0,229.0,232.0,26.0,2006,16207,,,67,67.0,30050,29660,3137,26523,,,161,46324,,1978,446,113.0,448.0,971.0,647.0,0.0,,,647.0,1534,,51.0,1327,4159,22639,22639.0,,,13388,,,12616.0,721,36027,40186,0.0,7287,3.0,7284.0,0.0,1189,-336,8140,4,8144,48330,
06/30/2015,48886,480,480,0.0,1029,1029,0.0,0.0,0.0,0.0,0.0,0.0,565,303.0,349.0,235.0,27.0,2074,16604,,,69,69.0,30139,29638,3138,26500,,,152,46812,,2292,496,353.0,475.0,968.0,320.0,0.0,,,320.0,1543,,8.0,1328,4155,22732,22732.0,,,13487,,,12715.0,764,36219,40374,0.0,7372,3.0,7369.0,0.0,1436,-300,8508,4,8512,48886,
09/30/2015,48721,485,485,0.0,935,935,0.0,0.0,0.0,0.0,0.0,0.0,469,,256.0,219.0,250.0,1889,16746,,,68,68.0,30018,29615,3139,26476,,,147,46832,,2158,482,324.0,392.0,960.0,6.0,0.0,,,6.0,1599,,37.0,1385,3763,22689,22689.0,,,13520,,,12688.0,795,36209,39972,0.0,7434,3.0,7431.0,0.0,1656,-345,8745,4,8749,48721,
12/31/2015,49277,1170,1170,0.0,916,916,0.0,0.0,0.0,0.0,0.0,0.0,373,356.0,159.0,,17.0,2459,16945,41776.0,-24831.0,3,3.0,29870,29590,3139,26451,,62.0,59,46818,,2272,656,150.0,481.0,985.0,5.0,0.0,,,5.0,1672,0.0,87.0,1448,3949,22497,22497.0,,,13832,0.0,342.0,12830.0,573,36329,40278,0.0,7484,3.0,7481.0,0.0,1925,-414,8995,4,8999,49277,
03/31/2016,49751,1297,1297,0.0,846,846,0.0,0.0,0.0,0.0,0.0,0.0,476,460.0,148.0,,16.0,2619,17276,,,68,68.0,29788,29567,3140,26427,,,73,47132,,2253,624,119.0,450.0,1060.0,5.0,0.0,,,5.0,1595,,129.0,1353,3853,22487,22487.0,,,14050,,,12991.0,930,36537,40390,0.0,7588,3.0,7585.0,0.0,2202,-433,9357,4,9361,49751,
