Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2012,1550.677,1550.677,-1106.869,1106.869,443.808,0.0,-400.84,280.943,94.259,25.638,42.968,-32.18,28.557,29.488,-0.931,,-1.801,5.424,10.788,-5.228,,,5.56,0.0,0.0,0.0,5.56,2.132,7.692,0.0,0.0,7.692,15.57195,7.87995,186.893774,0.04,0.04,0.08332,189.325338,0.04,0.04,0.081621,
09/30/2012,1963.146,1963.146,-1457.423,1457.423,505.723,0.0,-401.208,283.846,84.684,32.678,104.515,-24.389,34.541,35.535,-0.994,,-3.117,-7.035,80.126,-11.95,,,68.176,0.0,0.0,0.0,68.176,-10.228,57.948,0.0,0.0,57.948,59.1414,1.1934,187.153788,0.31,0.31,0.316004,189.754343,0.31,0.31,0.316004,
12/31/2012,1437.227,1437.227,-1048.271,1048.271,388.956,0.0,-515.275,310.708,170.901,33.666,-126.319,-30.806,27.662,29.007,-1.345,,-1.122,4.266,-157.125,-8.28,,,-165.405,0.0,0.0,0.0,-165.405,5.688,-159.717,0.0,0.0,-159.717,-106.8616,52.8554,187.254918,-0.85,-0.85,-0.570674,187.254918,-0.85,-0.85,-0.570674,
03/31/2013,923.698,923.698,-576.934,576.934,346.764,0.0,-379.953,279.522,82.165,18.266,-33.189,-27.439,26.383,28.151,-1.768,,-2.582,3.638,-60.628,-3.559,,,-64.187,0.0,0.0,0.0,-64.187,0.948,-63.239,0.0,0.0,-63.239,-64.79185,-1.55285,188.82719,-0.33,-0.33,-0.343128,188.82719,-0.33,-0.33,-0.343128,
06/30/2013,1679.513,1679.513,-1209.918,1209.918,469.595,0.0,-371.789,295.719,82.688,-6.618,97.806,-30.39,29.151,30.041,-0.89,,-2.629,3.868,67.416,-8.401,,,59.015,0.0,0.0,0.0,59.015,-0.885,58.13,0.0,0.0,58.13,39.6505,-18.4795,193.069783,0.3,0.3,0.205369,196.770405,0.3,0.3,0.205369,
09/30/2013,2262.236,2262.236,-1698.731,1698.731,563.505,0.0,-437.468,325.005,92.729,19.734,126.037,-61.209,27.846,29.393,-1.547,,2.363,31.0,64.828,-14.41,,,50.418,0.0,0.0,0.0,50.418,-6.644,43.774,0.0,0.0,43.774,62.98865,19.21465,196.396704,0.22,0.22,0.320722,202.109783,0.22,0.22,0.31507,
12/31/2013,1613.1,1613.1,-1194.924,1194.924,418.176,0.0,-469.17,326.646,111.341,31.183,-50.994,-25.759,23.208,24.074,-0.866,,1.992,0.559,-76.753,-4.508,,,-81.261,0.0,0.0,0.0,-81.261,-0.782,-82.043,0.0,0.0,-82.043,-65.4641,,197.246587,-0.42,-0.42,-0.33189,197.246587,-0.42,-0.42,-0.33189,
03/31/2014,1127.316,1127.316,-731.151,731.151,396.165,0.0,-408.473,302.405,82.588,23.48,-12.308,-19.844,23.826,24.492,-0.666,,-2.806,-1.176,-32.152,2.055,,,-30.097,0.0,0.0,0.0,-30.097,-2.351,-32.448,0.0,0.0,-32.448,-30.9491,1.4989,197.857662,-0.16,-0.16,-0.156421,197.857662,-0.16,-0.16,-0.156421,
06/30/2014,1665.785,1665.785,-1184.696,1184.696,481.089,0.0,-425.403,325.925,76.219,23.259,55.686,-25.154,26.444,27.59,-1.146,,-0.96,-0.33,30.532,-4.71,,,25.822,0.0,0.0,0.0,25.822,-2.888,22.934,0.0,-0.46,22.474,20.8763,-1.5977,198.701762,0.11,0.11,0.105063,205.989271,0.11,0.11,0.102244,
09/30/2014,2502.008,2502.008,-1876.519,1876.519,625.489,0.0,-474.885,349.676,97.925,27.284,150.604,-37.914,27.482,28.346,-0.864,,-2.155,12.587,112.69,3.137,,,115.827,0.0,0.0,0.0,115.827,-10.664,105.163,0.0,-1.198,103.965,104.37905,0.41405,199.26181,0.52,0.52,0.523829,221.581583,0.49,0.49,0.491869,
03/31/2015,1120.312,1120.312,-721.289,721.289,399.023,0.0,-422.958,314.545,84.541,23.872,-23.935,-41.846,23.798,25.363,-1.565,,-2.98,21.028,-65.781,-0.745,,,-66.526,0.0,0.0,0.0,-66.526,8.247,-58.279,0.0,-3.889,-62.168,-62.4852,-0.3172,200.155435,-0.31,-0.31,-0.312183,200.155435,-0.31,-0.31,-0.312183,
06/30/2015,1765.777,1765.777,-1279.099,1279.099,486.678,0.0,-444.433,326.839,88.571,29.023,42.245,-17.123,25.256,25.65,-0.394,,0.367,-8.5,25.122,-4.91,,,20.212,0.0,0.0,0.0,20.212,-5.156,15.056,0.0,-3.105,11.951,13.79895,1.84795,200.767811,0.06,0.06,0.068731,208.778589,0.06,0.06,0.068731,
09/30/2015,2622.917,2622.917,-1974.322,1974.322,648.595,0.0,-495.085,361.975,99.054,34.056,153.51,-35.551,25.384,25.844,-0.46,,2.04,8.127,117.959,-13.577,,,104.382,0.0,0.0,0.0,104.382,-15.333,89.049,0.0,-10.118,78.931,81.5752,2.6442,201.392591,0.39,0.39,0.405056,208.73878,0.38,0.38,0.392668,
12/31/2015,1736.725,1736.725,-1221.763,1221.763,514.962,0.0,-555.41,394.549,125.075,35.786,-40.448,-30.499,24.915,26.024,-1.109,,-0.929,6.513,-70.947,-2.89,,,-73.837,0.0,0.0,0.0,-73.837,-4.497,-78.334,0.0,-16.067,-94.401,-88.863,5.538,201.578103,-0.46831,-0.46831,-0.440837,201.578103,-0.46831,-0.46831,-0.440837,
03/31/2016,1207.716,1207.716,-784.203,784.203,423.513,0.0,-456.803,336.181,94.955,25.667,-33.29,-15.737,24.876,25.432,-0.556,,-0.592,-8.547,-49.027,-6.927,,,-55.954,0.0,0.0,0.0,-55.954,11.436,-44.518,0.0,-13.336,-57.854,-57.09935,0.75465,201.696142,-0.29,-0.29,-0.283096,201.696142,-0.29,-0.29,-0.286258,
06/30/2016,2179.258,2179.258,-1605.688,1605.688,573.57,0.0,-499.411,374.826,95.424,29.161,74.159,-32.292,24.634,25.284,-0.65,,0.305,7.353,41.867,-5.406,,,36.461,0.0,0.0,0.0,36.461,1.28,37.741,0.0,-11.292,26.449,28.56215,2.11315,201.896009,0.13,0.13,0.14147,208.601733,0.13,0.13,0.14013,
09/30/2016,3170.416,3170.416,-2428.003,2428.003,742.413,0.0,-551.127,414.412,104.862,31.853,191.286,-44.701,24.624,25.249,-0.625,,17.471,2.606,146.585,-13.824,,,132.761,0.0,0.0,0.0,132.761,-21.682,111.079,0.0,-8.576,102.503,101.53775,-0.96525,202.118412,0.51,0.51,0.502368,217.690217,0.49,0.49,0.485566,
12/31/2016,1797.544,1797.544,-1264.814,1264.814,532.73,0.0,-569.945,423.031,108.41,38.504,-37.215,-53.884,29.799,30.541,-0.742,,0.618,23.467,-91.099,-1.872,,,-92.971,0.0,0.0,0.0,-92.971,-8.389,-101.36,0.0,-16.748,-118.108,-105.1418,12.9662,202.594409,-0.582978,-0.582978,-0.518977,202.594409,-0.582978,-0.582978,-0.518977,
03/31/2017,1242.879,1242.879,-775.261,775.261,467.618,0.0,-488.984,383.308,80.532,25.144,-21.366,-19.883,25.065,26.01,-0.945,,-2.34,-2.842,-41.249,-6.521,,,-47.77,0.0,0.0,0.0,-47.77,14.777,-32.993,0.0,-12.577,-45.57,-42.42335,3.14665,203.730897,-0.22,-0.22,-0.208232,203.730897,-0.22,-0.22,-0.208232,
06/30/2017,2683.585,2683.585,-2022.471,2022.471,661.114,0.0,-547.681,434.385,81.165,32.131,113.433,-22.894,25.847,26.878,-1.031,,-0.536,-2.417,90.539,-9.984,,,80.555,0.0,0.0,0.0,80.555,0.923,81.478,0.0,-18.837,62.641,65.89945,3.25845,204.688374,0.31,0.31,0.32195,213.879152,0.29,0.29,0.305235,
09/30/2017,3440.308,3440.308,-2633.94,2633.94,806.368,0.0,-605.021,475.864,89.228,39.929,201.347,-26.892,25.156,26.627,-1.471,,0.816,0.92,174.455,-25.685,,,148.77,0.0,0.0,0.0,148.77,-12.377,136.393,0.0,-21.397,114.996,125.3921,10.3961,205.287843,0.56,0.56,0.610811,223.132186,0.53,0.53,0.576592,
12/31/2017,2320.45,2320.45,-1750.226,1750.226,570.224,0.0,-772.241,614.166,121.276,36.799,-202.017,-31.108,24.937,27.207,-2.27,,0.899,5.272,-233.125,59.344,,,-173.781,0.0,0.0,0.0,-173.781,-17.112,-190.893,0.0,-38.82,-229.713,-188.3866,41.3264,205.987846,-1.115177,-1.115177,-0.914552,205.987846,-1.115177,-1.115177,-0.914552,
03/31/2018,1482.384,1482.384,-932.084,932.084,550.3,0.0,-556.33,434.611,87.871,33.848,-6.03,-28.114,28.558,29.741,-1.183,,-3.715,3.271,-34.144,-6.884,,,-41.028,0.0,0.0,0.0,-41.028,7.122,-33.906,0.0,-16.385,-50.291,-47.14601,3.14499,206.728167,-0.24,-0.24,-0.228058,206.728167,-0.24,-0.24,-0.228058,
06/30/2018,2868.315,2868.315,-2135.107,2135.107,733.208,0.0,-598.483,476.438,89.785,32.26,134.725,-39.57,33.287,35.992,-2.705,,0.313,5.97,95.155,-11.799,,,83.356,0.0,0.0,0.0,83.356,-13.997,69.359,0.0,-17.172,52.187,57.67671,5.48971,207.331781,0.25,0.25,0.278186,215.105119,0.24,0.24,0.265521,
09/30/2018,3835.246,3835.246,-2924.356,2924.356,910.89,0.0,-676.671,524.654,99.606,52.411,234.219,-33.991,33.733,35.993,-2.26,,-0.004,0.262,200.228,-17.031,,,183.197,0.0,0.0,0.0,183.197,-10.514,172.683,0.0,-20.789,151.894,169.02594,17.13194,207.614413,0.73,0.73,0.814134,216.788983,0.7,0.7,0.779026,
12/31/2018,2601.855,2601.855,-1976.385,1976.385,625.47,0.0,-715.848,561.325,109.267,45.256,-90.378,-39.756,33.966,36.779,-2.813,,0.659,5.131,-130.134,-5.051,,,-135.185,0.0,0.0,0.0,-135.185,-12.702,-147.887,0.0,-23.554,-171.441,-147.47165,23.96935,208.091511,-0.823873,-0.823873,-0.708687,208.091511,-0.823873,-0.823873,-0.708687,
03/31/2019,1727.828,1727.828,-1151.604,1151.604,576.224,0.0,-600.087,464.866,98.912,36.309,-23.863,-27.42,33.967,36.515,-2.548,,-3.144,-3.403,-51.283,-3.958,,,-55.241,0.0,0.0,0.0,-55.241,2.797,-52.444,0.0,-12.312,-64.756,-56.93974,7.81626,208.908323,-0.31,-0.31,-0.272559,208.908323,-0.31,-0.31,-0.272585,
06/30/2019,3157.009,3157.009,-2327.414,2327.414,829.595,0.0,-658.009,513.497,103.826,40.686,171.586,-26.716,32.974,36.792,-3.818,,-5.828,-0.43,144.87,-28.75,,,116.12,0.0,0.0,0.0,116.12,-12.765,103.355,0.0,-13.515,89.84,101.73345,11.89345,209.998048,0.43,0.43,0.48445,219.977612,0.41,0.41,0.464067,
09/30/2019,3773.684,3773.684,-2800.429,2800.429,973.255,0.0,-713.214,542.547,126.306,44.361,260.041,-38.789,30.724,36.587,-5.863,,2.681,5.384,221.252,-27.28,,,193.972,0.0,0.0,0.0,193.972,-15.047,178.925,0.0,-23.58,155.345,162.4155,7.0705,210.621971,0.74,0.74,0.771123,218.957376,0.71,0.71,0.742292,
12/31/2019,2889.448,2889.448,-2187.735,2187.735,701.713,0.0,-784.633,624.576,114.947,45.11,-82.92,-46.815,45.45,47.627,-2.177,,0.834,0.531,-129.735,-6.904,,,-136.639,0.0,0.0,0.0,-136.639,-23.308,-159.947,0.0,-25.364,-185.311,-176.86669,8.44431,210.802442,-0.879074,-0.879074,-0.839016,210.802442,-0.879074,-0.879074,-0.839016,
03/31/2020,1365.693,1365.693,-873.82,873.82,491.873,0.0,-664.543,514.021,122.08,28.442,-172.67,-41.582,39.526,43.999,-4.473,,-2.572,4.628,-214.252,3.33,,,-210.922,0.0,0.0,0.0,-210.922,26.138,-184.784,0.0,-14.54,-199.324,-199.70557,-0.38157,211.048294,-0.94,-0.94,-0.946255,211.048294,-0.94,-0.94,-0.946255,
06/30/2020,74.084,74.084,-194.557,194.557,-120.473,0.0,-467.594,323.352,122.767,21.475,-588.067,-51.7,50.26,52.689,-2.429,,6.613,-5.173,-639.767,29.183,,,-610.584,0.0,0.0,0.0,-610.584,43.067,-567.517,0.0,1.595,-565.922,-580.4659,-14.5439,211.693923,-2.67,-2.67,-2.742005,211.693923,-2.67,-2.67,-2.742005,
09/30/2020,411.091,,,,,,,,,,-404.0,,,,,,,,-470.111,,,,-531.667,,,,,,-531.667,,,-531.667,-416.857,,,-2.032,-2.032,-1.863,,-2.032,-2.032,-1.863,
12/31/2020,464.2,,,,,,,,,,-336.5,,,,,,,,-405.125,,,,-581.0,,,,,,-581.0,,,-581.0,-394.143,,,-1.873,-1.873,-1.679,,-1.873,-1.873,-1.679,
