Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/1993,0.301,-4.246,1.475,0.045,,,0.045,3.027,,,,3.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,1.135,-3.216,1.492,0.063,,,0.063,2.796,,,,2.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-2.59,-2.694,1.547,0.014,,,0.014,-1.457,,,,-1.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,0.499,-1.749,1.564,0.215,,,0.215,0.469,,,,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,0.913,0.128,1.201,-0.094,,,-0.094,-0.322,,,,-0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,-2.333,0.174,1.246,0.304,,,0.304,-4.057,,,,-4.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,1.022,0.562,1.418,0.049,,,0.049,-1.007,,,,-1.007,,,-0.506,,,,-0.506,,,,,,,,,,0.506,,,,,,,,,,,,
03/31/1995,0.744,-1.048,1.403,0.963,,,0.963,-0.574,,,,-0.574,,,-0.499,,,,-0.499,,,,,,,,,,0.499,,,,,,,,,,,,
06/30/1995,0.67,0.762,1.103,0.124,,,0.124,-1.319,,,,-1.319,,,-0.388,,,,-0.388,,,,,,,,,,0.388,,,,,,,,,,,,
09/30/1995,2.852,1.231,1.392,-0.941,,,-0.941,1.17,,,,1.17,,-1.969,-1.969,,,,-1.969,,,,,,,,,,0.0,,,,,,,,,0.883,,,
12/31/1995,5.584,1.778,1.182,0.003,,,0.003,2.621,,,,2.621,,,-1.165,,,,-1.165,,,,,,,,,,1.165,,,,,,,,,,,,
03/31/1996,2.705,2.562,1.218,0.001,,,0.001,-1.076,,,,-1.076,,,-2.185,,,,-2.185,,,,,,,,,,2.185,,,,,,,,,,,,
06/30/1996,2.349,3.788,1.295,0.095,,,0.095,-2.829,,,,-2.829,,,-1.903,,,,-1.903,,,,,,,,,,1.903,,,,,,,,,,,,
09/30/1996,6.098,4.517,1.278,-0.001,,,-0.001,0.304,,,,0.304,,-5.75,-5.75,,,,-5.75,,,,,,,,,,0.0,,,,,,,,,0.348,,,
12/31/1996,8.131,6.003,1.387,-0.097,,,-0.097,0.838,,,,0.838,,,-3.811,,,,-3.811,,,,,,,,,,3.811,,,,,,,,,,,,
03/31/1997,11.709,7.782,1.506,0.019,,,0.019,2.402,,,,2.402,,,-4.647,,,,-4.647,,,,,,,,,,4.647,,,,,,,,,,,,
06/30/1997,15.777,8.955,1.841,0.12,,,0.12,4.861,,,,4.861,,,-8.848,,,,-8.848,,,,,,,,,,8.848,,,,,,,,,,,,
09/30/1997,19.566999,10.148,2.204,0.233,,,0.233,6.982,,,,6.982,,-13.424,-13.424,,,,-13.424,,,,,,,,,,0.0,,,,,,,,,6.142999,,,
12/31/1997,13.114,10.0,2.786,0.592,,,0.592,-0.264,,,,-0.264,,30.437,-4.705,0.0,,,-4.705,,,0.0,0.0,0.0,,,,,35.142,0.169,0.0,-0.131,,0.3,0.3,0.0,0.0,43.720001,,,
03/31/1998,5.791,11.468,3.358,0.147,,,0.147,-9.182,,,,-9.182,,-56.943001,-15.121,0.0,,,-15.121,,,0.0,0.0,0.0,,,,,-41.822001,2.317,0.0,-0.048,,2.365,2.365,0.0,0.0,-48.834999,,,
06/30/1998,14.085,13.242,3.447,1.087,,,1.087,-3.691,,,,-3.691,,-44.106998,-3.308,0.0,,,-3.308,,,0.0,0.0,0.0,,,,,-40.798998,2.214,0.0,-0.043,,2.257,2.257,0.0,0.0,-27.808001,,,
09/30/1998,12.022,15.79,5.894,2.345,,,2.345,-12.007,,,,-12.007,,-16.556,-7.763,0.0,,,-7.763,,,0.0,0.0,0.0,,,,,-8.793,14.445,0.0,0.581,,13.864,13.864,0.0,0.0,9.911,,,
12/31/1998,21.561001,14.604,4.834,0.834,,,0.834,1.289,,,,1.289,,-13.195,-9.218,0.0,,,-9.218,,,0.0,0.0,0.0,,,,,-3.976999,3.364,0.0,-0.043,,3.407,3.407,0.0,0.0,11.73,0.832,0.004,
03/31/1999,17.601,15.518,5.234,2.127,,,2.127,-5.278,,,,-5.278,,-13.408,-9.679,0.0,,,-9.679,,,0.0,0.0,0.0,,,,,-3.729,10.962,0.0,-0.033,,10.995,10.995,0.0,0.0,15.155,0.75,0.003,
06/30/1999,11.452,15.035,7.152,-6.24,,,-6.24,-4.495,,,,-4.495,,-57.158001,-16.441,0.0,,,-16.441,,,0.0,0.0,0.0,,,,,-40.717001,19.917,0.0,1.413,,18.504,18.504,0.0,0.0,-25.789,0.088,0.022,
09/30/1999,28.71,19.37,7.39,-0.27,,,-0.27,2.22,,,,2.22,,-29.1,-9.18,0.0,,,-9.18,,,0.0,0.0,0.0,,,,,-19.92,4.07,0.0,-1.32,,4.56,4.56,0.0,0.83,3.68,0.12,0.07,
12/31/1999,26.032,19.889999,7.049,13.782,,,13.782,-14.689,,,,-14.689,,-50.410999,-13.418,0.0,,,-13.418,,,0.0,0.0,0.0,,,,,-36.992999,4.724,0.0,-1.948,,6.672,6.672,0.0,0.0,-19.655001,0.075,0.026,
03/31/2000,5.983,-16.874001,9.276,78.995003,,,78.995003,-65.414001,,,,-65.414001,,-754.268982,-20.209999,0.0,,,-20.209999,,,0.0,0.0,0.0,,,,,-734.058983,720.869001,0.0,724.12,,12.588,12.588,0.0,-15.839,-27.417,0.181,0.011,
06/30/2000,37.323002,13.284,31.787001,-1.874,,,-1.874,-5.874,,,,-5.874,,236.466003,-24.006001,0.0,,,-24.006001,,,0.0,0.0,0.0,,,,,260.472004,7.232,0.0,0.103,,4.159,4.159,0.0,2.97,281.020996,0.111,0.224,
09/30/2000,76.42,11.589,31.74,-1.229,,,-1.229,34.32,,,,34.32,,-148.61,-32.87,0.0,,,-32.87,,,0.0,0.0,0.0,,,,,-115.74,6.86,0.0,0.21,,6.65,6.65,0.0,0.0,-65.33,0.41,14.89,
12/31/2000,50.630001,28.101999,34.514999,5.72,,,5.72,-17.707001,,,,-17.707001,,87.113998,-62.096001,0.0,,,-62.096001,,,0.0,0.0,0.0,,,,,149.209999,-1.942,0.0,-7.379,,4.487,4.487,0.0,0.95,135.802002,0.289,0.265,
03/31/2001,-0.323,-11.224,36.848,26.263,,,26.263,-52.209999,,,,-52.209999,,-299.257996,-49.127998,0.0,,,-49.127998,,,0.0,0.0,0.0,,,,,-250.129997,24.203,0.0,-0.127,,21.09,21.09,0.0,3.24,-275.377991,8.079,14.375,
06/30/2001,-24.586,-69.568001,39.708,58.674,,,58.674,-53.400002,,,,-53.400002,,42.118,-22.271,0.0,,,-22.271,,,0.0,0.0,0.0,,,,,64.389,-51.154,0.0,-53.903,,2.15,2.15,0.0,0.599,-33.622002,0.349,0.422,
09/30/2001,-27.922001,-59.185001,45.325001,-104.814003,,,-104.814003,90.751999,,,,90.751999,,131.904999,-19.01,0.0,,,-19.01,,,0.0,0.0,0.0,,,,,150.914999,-95.019001,0.0,-98.775002,,3.755,3.755,0.0,0.001,8.964,0.337,13.304,
12/31/2001,-30.579,-106.882004,30.198999,65.981003,,,65.981003,-19.877001,,,,-19.877001,,102.878998,-20.014,0.0,,,-20.014,,,0.0,0.0,0.0,,,,,122.892998,-64.791002,0.0,-65.274002,,0.421,0.421,0.0,0.062,7.509,0.174,0.015,
03/31/2002,-32.306,-44.401001,28.479,1.755,,,1.755,-18.139,,,,-18.139,,28.583,-16.468,0.0,,,-16.468,,,0.0,0.0,0.0,,,,,45.051001,3.488,0.0,-0.245,,3.714,3.714,0.0,0.019,-0.235,0.14,6.726,
06/30/2002,-16.267,-735.903992,20.780001,695.124023,,,695.124023,3.733,,,,3.733,,124.727997,-20.739,0.0,,,-20.739,,,0.0,0.0,0.0,,,,,145.466997,-0.112,0.0,0.152,,0.198,0.198,0.0,-0.462,108.348999,0.218,0.05,
09/30/2002,-6.458,3.661,18.707001,-48.521999,,,-48.521999,19.695999,,,,19.695999,,45.694,-18.051001,0.0,,,-18.051001,,,0.0,0.0,0.0,,,,,63.745001,-135.816998,0.0,-138.919998,,3.103,3.103,0.0,0.0,-96.581001,0.08,5.514,
12/31/2002,-13.0,-11.049,13.674,-11.688,,,-11.688,-3.937,,,,-3.937,,-12.03,-0.317,0.0,,,-0.317,,,0.0,0.0,0.0,,,,,-11.713,-50.897998,0.0,-51.051998,,0.154,0.154,0.0,0.0,-75.928001,0.015,0.015,
03/31/2003,-12.452,-25.146,19.658001,-3.241,,,-3.241,-3.723,,,,-3.723,,23.271,-2.961,0.0,,,-2.961,,,0.0,0.0,0.0,,,,,26.232,2.393,0.0,-0.615,,3.008,3.008,0.0,0.0,13.212,0.031,2.682,
06/30/2003,-15.338,-94.992996,25.407,48.606998,,,48.606998,5.641,,,,5.641,,-11.685,-8.376,0.0,,,-8.376,,,0.0,0.0,0.0,,,,,-3.309,-49.905001,0.0,-50.817001,,0.912,0.912,0.0,0.0,-76.928001,0.113,-2.632,
09/30/2003,-5.157,-38.095001,17.972,15.23,,,15.23,-0.264,,,,-0.264,,-0.631,-7.766,0.0,,,-7.766,,,0.0,0.0,0.0,,,,,7.135,6.837,0.0,-0.198,,3.676,3.676,0.0,3.359,1.049,0.227,6.025,
12/31/2003,-3.254,-7.95,15.423,-0.569,,,-0.569,-10.158,,,,-10.158,,3.091,-4.46,0.0,,,-4.46,,,0.0,0.0,0.0,,,,,7.551,0.716,0.0,-0.655,,1.439,1.439,0.0,-0.068,0.553,0.08,0.12,
03/31/2004,0.78,-17.451,15.282,10.647,,,10.647,-7.698,,,,-7.698,,-10.55,-2.525,0.0,,,-2.525,,,0.0,0.0,0.0,,,,,-8.025,4.468,0.0,-1.058,,5.385,5.385,0.0,0.141,-5.302,0.024,3.466,
06/30/2004,9.279,-4.56,-0.729,18.452999,,,18.452999,-3.885,,,,-3.885,,-11.726,0.206,3.62,,,-3.414,,,0.0,0.0,0.0,,,,,-11.932,-0.759,0.0,-1.796,,0.5,0.5,0.0,0.537,-3.206,0.163,0.001,
09/30/2004,-2.061,-3.104,9.538,-6.014,,,-6.014,-2.481,,,,-2.481,,-24.285999,4.589,13.78,,,-9.191,,,0.0,0.0,0.0,,,,,-28.874999,7.048,0.0,23.679001,,-16.021001,3.96,-19.981001,-0.61,-19.299,0.066,3.931,
12/31/2004,-5.083,-17.215,10.414,1.339,,,1.339,0.379,-2.614,0.101,,2.892,,127.906998,-9.992,0.0,,,-9.992,,,0.0,0.0,0.0,,,,,137.898997,-125.920993,0.0,-126.367993,,0.642,0.642,0.0,-0.195,-3.097,0.054,0.901,
03/31/2005,-9.434,-28.898001,9.956,15.538,,,15.538,-6.03,0.084,0.216,,-6.33,,16.746,-4.149,0.0,,,-4.149,,,0.0,0.0,0.0,,,,,20.895,6.86,0.0,2.343,,4.322,4.322,0.0,0.195,14.172,0.006,0.011,
06/30/2005,4.332,-11.836,9.671,-3.984,,0.0,-3.984,10.481,5.602,0.081,,4.798,,-3.238,-2.988,0.0,,,-2.988,,,0.0,0.0,0.0,,,,,-0.25,-1.295,0.0,-1.742,,0.447,0.447,0.0,0.0,-0.201,0.053,0.765,
09/30/2005,48.184,-68.93,10.817,55.105,,,55.105,51.192,2.972,5.606,,42.614,,-68.369,-62.146,0.0,,,-62.146,,,153.398,256.895,-103.497,,,,,-159.621,11.584,0.0,20.567,,3.387,3.387,0.0,-12.37,-8.601,0.076,0.337,
12/31/2005,-1.981,-14.056,7.858,4.739,,,4.739,-0.522,-2.559,0.018,,2.019,,7.471,0.484,5.774,,,-5.29,,,0.0,0.0,0.0,,,,,6.987,-1.261,0.0,-1.914,,0.653,1.001,-0.348,0.0,4.229,0.178,0.861,
12/31/2006,-7.395,-8.548,3.061,5.91,2.17,,3.74,-7.818,-3.579,-0.584,0.466,-4.121,,-0.956,-0.273,0.0,,,-0.273,,,0.0,0.0,0.0,,,,,-0.683,-1.422,0.0,-1.422,,0.0,0.0,0.0,0.0,-9.773,,,
03/31/2007,2.326,-4.068,2.723,3.949,,,3.949,-0.278,2.405,6.089,,-8.772,,0.034,-0.17,0.0,,,-0.17,,,0.0,0.0,0.0,,,,,0.204,-1.571,0.0,-1.446,,0.0,0.0,0.0,-0.125,0.789,,,
06/30/2007,4.434,-7.034,2.519,3.478,,,3.478,5.471,-3.874,14.23,,-4.885,,0.349,-0.179,0.0,,,-0.179,,,0.0,0.0,0.0,,,,,0.528,-0.188,0.0,0.0,,0.0,0.0,0.0,-0.188,4.595,,,
09/30/2007,6.413,-1.997,2.357,3.154,,,3.154,2.899,1.961,4.945,,-4.007,,-0.44,-0.257,0.0,,,-0.257,,,0.0,0.0,0.0,,,,,-0.183,-0.92,0.0,0.0,,0.0,0.0,0.0,-0.92,5.053,0.796,4.773,
12/31/2007,-13.776,1.459,1.95,-20.5,1.345,,-21.845,3.315,1.038,-4.493,5.973,0.797,,60.615,-0.983,0.0,,,-0.983,,,0.0,0.0,0.0,,,,,61.598,-31.267,0.0,-30.221,,0.0,0.0,0.0,-1.046,15.572,,,
03/31/2008,-6.792,3.786,1.313,-2.125,0.902,,-3.027,-9.766,-0.037,-6.894,-2.767,-0.068,,1.251,1.254,3.207,,,-1.953,,,0.0,0.0,0.0,,,,,-0.003,0.0,0.0,0.0,,,,,0.0,-5.541,,,
06/30/2008,-6.62,1.112,1.061,-1.649,0.844,,-2.493,-7.144,0.594,3.552,1.213,-12.503,,4.323,-1.354,0.0,,,-1.354,,,0.0,0.0,0.0,,,,,5.677,0.0,0.0,0.0,,,,,0.0,-2.297,,,
09/30/2008,4.568,10.197,1.056,0.89,,,0.89,-7.575,-0.667,3.068,,-9.976,,-0.601,-0.598,0.073,,,-0.671,,,0.0,0.0,0.0,,,,,-0.003,-0.955,0.0,0.0,,0.0,0.0,0.0,-0.955,3.012,,,
12/31/2008,5.681,-189.958,1.075,189.545,0.871,,188.674,5.019,1.268,3.666,-3.831,3.916,,5.004,5.554,6.5,6.5,0.0,-0.946,-0.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.685,,,
03/31/2009,-5.84,-7.085,1.129,0.88,0.712,,0.168,-0.764,-1.349,5.622,-0.847,-4.19,0.0,-2.185,-2.206,0.0,0.0,0.0,-2.206,-0.224,-1.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-8.025,,,
06/30/2009,12.41,12.48,1.056,5.622,0.798,,4.824,-6.748,-8.473,4.242,5.558,-8.075,,-0.37,-0.37,0.0,0.0,0.0,-0.37,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.04,,,
09/30/2009,6.946,-9.478,0.898,8.686,0.752,,7.934,6.84,3.527,5.127,-2.79,0.976,,-0.8,-0.799,0.0,0.0,0.0,-0.799,-0.8,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,-0.024,0.0,-0.024,,0.0,0.0,0.0,0.0,6.122,,,
12/31/2009,-3.717,-33.86,0.883,31.109,0.679,,30.43,-1.849,-1.511,-0.584,0.246,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.539,0.0,-5.124,-5.124,0.0,0.0,0.0,-12.415,-21.956,,,
03/31/2010,2.214,-34.061,0.847,31.768,0.448,,31.32,3.66,-1.558,-0.463,-0.105,5.786,0.0,-0.531,-0.528,0.0,0.0,0.0,-0.528,-0.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,-0.081,0.0,-0.081,-0.081,0.0,0.0,0.0,0.0,1.602,,,
06/30/2010,2.542,33.03,0.885,-31.43,0.597,,-32.027,0.057,4.878,-4.385,3.584,-4.02,0.0,-1.033,-1.033,0.0,0.0,0.0,-1.033,-1.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.078,0.0,-0.078,-0.078,0.0,0.0,0.0,0.0,1.431,0.643,4.155,
09/30/2010,0.433,14.837,0.925,-12.305,0.512,,-12.817,-3.024,-2.5,-3.032,-1.7,4.208,,-0.924,-0.924,0.0,0.0,0.0,-0.924,-0.925,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,-0.003,-0.003,0.0,0.0,0.0,0.0,-0.494,-0.078,0.413,
12/31/2010,-8.109,-7.732,0.969,5.188,0.684,,4.504,-6.534,2.093,0.234,-4.751,-4.11,,-1.114,-1.114,0.0,0.0,0.0,-1.114,-1.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,-0.002,-0.002,0.0,0.0,0.0,0.0,-9.225,0.316,2.422,
03/31/2011,-8.708,-16.773,1.856,12.281,1.608,,10.673,-6.072,0.393,1.366,-2.124,-5.707,0.0,-2.488,-2.488,0.0,0.0,0.0,-2.488,-2.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.698,0.0,-8.084,-8.084,0.0,0.0,0.0,-0.614,-19.894,0.336,3.056,
06/30/2011,-6.671,-10.223,2.765,5.847,2.534,,3.313,-5.06,3.287,2.325,-3.559,-7.113,0.0,-3.178,-3.178,0.0,0.0,0.0,-3.178,-3.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.122,0.0,-8.008,-8.008,0.0,0.0,0.0,-2.114,-19.971,0.511,5.249,
09/30/2011,-0.54,-4.589,0.863,-0.639,0.618,,-1.257,3.825,0.675,4.091,-4.459,3.518,0.0,-0.279,-0.159,0.0,0.0,0.0,-0.159,-0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.019,0.0,-1.5,-1.5,0.0,0.0,0.0,1.481,-0.838,-0.119,0.446,
12/31/2011,0.553,-0.844,0.751,-1.631,1.063,,-2.694,2.277,-0.808,2.724,2.123,-1.762,0.0,-0.645,-0.645,0.0,0.0,0.0,-0.645,-0.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.177,0.0,-0.003,-0.003,0.0,0.0,0.0,-0.174,-0.269,0.172,2.27,
03/31/2012,2.911,-6.197,0.741,7.696,1.146,,6.55,0.671,0.066,1.235,-1.363,0.733,0.0,-0.301,0.387,0.387,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.688,-0.447,0.0,-0.003,-0.003,0.008,0.008,0.0,-0.452,2.163,0.092,0.39,
06/30/2012,1.746,4.711,0.736,-4.049,1.092,,-5.141,0.348,-0.392,2.103,-0.724,-0.639,0.0,-0.371,-0.278,0.0,0.0,0.0,-0.278,-0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.093,-0.001,0.0,0.006,0.006,0.008,0.008,0.0,-0.007,1.374,1.21,2.259,
09/30/2012,1.862,1.217,0.735,-1.63,1.141,,-2.771,1.539,1.322,2.735,0.492,-3.01,0.0,-0.285,-0.199,0.0,0.0,0.0,-0.199,-0.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.086,1.728,0.0,0.0,0.0,1.737,1.737,0.0,-0.017,3.305,-0.034,0.422,
12/31/2012,-3.608,-5.032,0.686,0.991,1.143,,-0.152,-0.253,-0.198,-0.586,1.674,-1.143,0.0,-0.161,-0.161,0.0,0.0,0.0,-0.161,-0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.956,0.0,0.0,,16.959,17.213,-0.254,-0.003,13.187,0.04,2.262,
03/31/2013,0.37,-4.847,0.641,2.364,1.006,,1.358,2.212,1.172,0.08,-0.86,1.82,0.0,-0.251,-0.153,0.156,0.156,0.0,-0.309,-0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.098,-0.283,0.0,0.0,,-0.282,0.0,-0.282,-0.001,-0.164,0.036,0.402,
06/30/2013,-2.602,-6.434,0.55,1.824,1.156,,0.668,1.458,-1.975,0.685,1.825,0.923,0.0,-0.349,-0.105,0.0,0.0,0.0,-0.105,-0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.244,38.235,0.0,0.0,,38.237,38.321,-0.084,-0.002,35.284,-1.17,2.253,
09/30/2013,-3.279,-5.765,0.498,1.07,1.091,,-0.021,0.918,0.597,1.189,-0.929,0.061,0.0,-0.731,-0.731,0.0,0.0,0.0,-0.731,-0.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.538,0.0,0.0,,2.155,2.155,0.0,-0.617,-2.472,-0.151,0.406,
12/31/2013,-4.523,-5.371,0.496,3.257,1.265,,1.992,-2.905,-1.599,-1.852,2.013,-1.467,0.0,-0.788,-0.701,0.183,0.183,0.0,-0.884,-0.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.087,-15.197,0.0,0.0,,-0.343,0.0,-0.343,-14.854,-20.508,0.025,2.371,
03/31/2014,-0.04,-5.831,0.512,2.077,1.615,,0.462,3.202,1.485,1.197,-1.701,2.221,0.0,-0.17,-0.17,0.0,0.0,0.0,-0.17,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,-14.606,-14.606,0.057,0.956,-0.899,14.605,-0.154,0.014,0.398,
06/30/2014,-3.039,-4.388,0.533,2.082,1.586,,0.496,-1.266,-0.18,0.11,-0.255,-0.941,0.0,-0.526,-0.103,0.0,0.0,0.0,-0.103,-0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.423,26.863,0.0,14.606,14.606,26.863,26.872,-0.009,0.0,23.298,0.141,1.702,
09/30/2014,0.656,-2.485,0.5,2.088,1.609,-0.015,0.494,0.553,-0.749,-1.555,-0.73,3.587,0.0,-0.327,-0.327,0.0,0.0,0.0,-0.327,-0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,-14.606,-14.606,0.762,0.765,-0.003,-0.687,0.404,-0.2,0.39,
12/31/2014,-5.987,-5.041,0.519,2.054,1.831,,0.223,-3.519,0.769,-2.913,1.184,-2.559,0.0,-0.93,-0.474,0.0,0.0,0.0,-0.474,-0.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.456,-33.241,0.0,0.0,,-1.034,0.034,-1.068,-32.207,-40.158,0.196,1.921,
