Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Other Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Other Gas Revenue,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2009,1666.0,1095.0,,,,,,,0.0,571.0,-1204.0,1186.0,1186.0,,,,18.0,462.0,-318.0,,85.0,89.0,144.0,144.0,-81.0,86.0,-1.0,,1.0,87.0,87.0,,,-5.0,63.0,-24.0,39.0,14.0,14.0,0.0,25.0,,25.0,0.0,0.0,25.0,37.7,-1.3,220.0,0.11,0.18,0.171364,220.0,0.11,0.18,0.171364,
09/30/2009,2050.0,1428.0,,,,,,,0.0,622.0,-1467.0,1442.0,1442.0,,,,25.0,583.0,-348.0,,93.0,100.0,155.0,235.0,-80.0,85.0,,,,85.0,85.0,,,-5.0,155.0,-51.0,104.0,-20.0,-20.0,0.0,124.0,,124.0,0.0,0.0,124.0,86.45,-17.55,221.0,0.56,0.47,0.391176,221.0,0.56,0.47,0.390588,
12/31/2009,1649.0,1085.0,,,,,,,0.0,564.0,-1188.0,1163.0,1163.0,,,,25.0,461.0,-333.0,,84.0,89.0,160.0,128.0,-82.0,86.0,,,,86.0,86.0,,,-4.0,46.0,-7.0,39.0,-2.0,-2.0,0.0,41.0,,41.0,0.0,0.0,41.0,17.0,-22.0,221.0,0.18,0.17,0.076923,221.0,0.18,0.17,0.070452,
03/31/2010,1819.0,1262.0,,,,,,,0.0,557.0,-1312.0,1287.0,1287.0,,,,25.0,507.0,-376.0,,89.0,92.0,195.0,131.0,-78.0,83.0,,,,83.0,83.0,,,-5.0,53.0,-25.0,28.0,-8.0,-8.0,0.0,36.0,,36.0,0.0,0.0,36.0,28.65,0.65,222.0,0.16,0.13,0.129054,222.0,0.16,0.13,0.129054,
06/30/2010,1636.0,1149.0,,,,,,,0.0,487.0,-1112.0,1077.0,1077.0,,,,35.0,524.0,-331.0,,93.0,105.0,133.0,193.0,-84.0,89.0,,,,89.0,89.0,,,-5.0,109.0,-33.0,76.0,130.0,130.0,0.0,-54.0,,-54.0,0.0,0.0,-54.0,76.0,0.0,223.0,-0.24,0.34,0.34,223.0,-0.24,0.34,0.34,
09/30/2010,2067.0,1600.0,,,,,,,0.0,467.0,-1357.0,1319.0,1319.0,,,,38.0,710.0,-498.0,,104.0,130.0,264.0,212.0,-197.0,68.0,,,,68.0,68.0,,,129.0,15.0,6.0,21.0,4.0,4.0,0.0,17.0,,17.0,0.0,0.0,17.0,123.7,102.7,224.0,0.08,0.09,0.552232,224.0,0.08,0.09,0.548482,
12/31/2010,1517.0,1103.0,,,,,,,0.0,414.0,-990.0,948.0,948.0,,,,42.0,527.0,-439.0,,107.0,107.0,225.0,88.0,-115.0,66.0,,,,66.0,66.0,,,49.0,-27.0,41.0,14.0,-19.0,-19.0,0.0,33.0,,33.0,0.0,0.0,33.0,56.0,42.0,224.0,0.14,0.06,0.25,224.0,0.14,0.06,0.2475,
03/31/2011,1634.0,1249.0,,,,,,,0.0,385.0,-1038.0,995.0,995.0,,,,43.0,596.0,-447.0,,105.0,111.0,231.0,149.0,-53.0,62.0,,,,62.0,62.0,,,-9.0,96.0,-34.0,62.0,-2.0,-2.0,0.0,64.0,0.0,64.0,0.0,0.0,64.0,62.65,0.65,225.0,0.28,0.27,0.278444,225.0,0.28,0.27,0.272889,
06/30/2011,1412.0,1093.0,,,,,,,0.0,319.0,-855.0,812.0,812.0,,,,43.0,557.0,-355.0,,105.0,109.0,141.0,202.0,-53.0,63.0,,,,63.0,63.0,,,-10.0,149.0,-54.0,95.0,1.0,1.0,0.0,94.0,0.0,94.0,0.0,0.0,94.0,94.0,-1.0,226.0,0.42,0.42,0.415929,226.0,0.42,0.42,0.415575,
09/30/2011,1648.0,1329.0,,,,,,,0.0,319.0,-990.0,948.0,948.0,,,,42.0,658.0,-463.0,,115.0,126.0,222.0,195.0,-60.0,64.0,,,,64.0,64.0,,,-4.0,135.0,-55.0,80.0,0.0,0.0,0.0,80.0,0.0,80.0,0.0,0.0,80.0,84.95,4.95,226.0,0.35,0.35,0.375885,226.0,0.35,0.35,0.371903,
12/31/2011,1234.0,979.0,,,,,,,0.0,255.0,-719.0,675.0,675.0,,,,44.0,515.0,-424.0,,100.0,105.0,219.0,91.0,-62.0,64.0,-1.0,,1.0,65.0,65.0,,,-2.0,29.0,-6.0,23.0,4.0,4.0,0.0,19.0,0.0,19.0,0.0,0.0,19.0,13.2,-9.8,227.0,0.08,0.1,0.05815,227.0,0.08,0.1,0.056828,
03/31/2012,1242.0,1055.0,,,,,,,0.0,187.0,-688.0,641.0,641.0,,,,47.0,554.0,-423.0,,110.0,104.0,209.0,131.0,-57.0,65.0,,,,65.0,65.0,,,-8.0,74.0,-11.0,63.0,-5.0,-5.0,0.0,68.0,0.0,68.0,0.0,0.0,68.0,51.3,-11.7,228.0,0.3,0.28,0.225,228.0,0.3,0.28,0.225,
06/30/2012,1070.0,984.0,,,,,,,0.0,86.0,-514.0,465.0,465.0,,,,49.0,556.0,-419.0,,111.0,105.0,203.0,137.0,-55.0,65.0,,,,65.0,65.0,,,-10.0,82.0,-29.0,53.0,-9.0,-9.0,0.0,62.0,0.0,62.0,0.0,0.0,62.0,39.0,-14.0,229.0,0.27,0.23,0.170306,229.0,0.27,0.23,0.168865,
09/30/2012,1389.0,1335.0,,,,,,,0.0,54.0,-686.0,648.0,648.0,,,,38.0,703.0,-502.0,,122.0,121.0,259.0,201.0,-57.0,66.0,,,,66.0,66.0,,,-9.0,144.0,-57.0,87.0,-25.0,-25.0,0.0,112.0,0.0,112.0,0.0,0.0,112.0,83.0,-4.0,229.0,0.49,0.38,0.362445,231.0,0.49,0.38,0.362445,
12/31/2012,1134.0,1004.0,,,,,,,0.0,130.0,-566.0,528.0,528.0,,,,38.0,568.0,-453.0,,111.0,102.0,240.0,115.0,-58.0,66.0,-1.0,,1.0,67.0,67.0,,,-8.0,57.0,-14.0,43.0,0.0,0.0,0.0,43.0,0.0,43.0,0.0,0.0,43.0,43.99,0.99,229.0,0.18,0.18,0.192096,232.0,0.18,0.18,0.184267,
03/31/2013,1180.0,1124.0,,,,,,,0.0,56.0,-602.0,562.0,562.0,,,,40.0,578.0,-445.0,,112.0,105.0,228.0,133.0,-59.0,67.0,,,,67.0,67.0,,,-8.0,74.0,-185.0,-111.0,319.0,319.0,0.0,-430.0,0.0,-430.0,0.0,0.0,-430.0,-45.0,66.0,237.0,-1.82,-0.47,-0.189873,237.0,-1.82,-0.47,-0.191519,
06/30/2013,1051.0,977.0,508.0,453.0,16.0,29.0,24.0,5.0,0.0,45.0,-481.0,446.0,446.0,,,,35.0,570.0,-425.0,,116.0,101.0,208.0,145.0,-62.0,70.0,,,,70.0,70.0,,,-8.0,83.0,-30.0,53.0,11.0,11.0,0.0,42.0,0.0,42.0,0.0,0.0,42.0,53.0,0.0,249.0,0.17,0.21,0.21,249.0,0.17,0.21,0.21,
09/30/2013,1344.0,1275.0,626.0,636.0,13.0,23.0,17.0,6.0,0.0,46.0,-616.0,579.0,579.0,,,,37.0,728.0,-493.0,,124.0,119.0,250.0,235.0,-60.0,68.0,,,,68.0,68.0,,,-8.0,175.0,-65.0,110.0,-8.0,-8.0,0.0,118.0,0.0,118.0,0.0,0.0,118.0,110.0,0.0,249.0,0.48,0.44,0.44,249.0,0.48,0.44,0.44,
12/31/2013,1091.0,990.0,522.0,454.0,14.0,54.0,51.0,3.0,0.0,47.0,-517.0,483.0,483.0,,,,34.0,574.0,-419.0,,121.0,103.0,195.0,155.0,-58.0,68.0,,,,68.0,68.0,,,-10.0,97.0,-39.0,58.0,0.0,0.0,0.0,58.0,0.0,58.0,0.0,0.0,58.0,61.0,3.0,250.0,0.23,0.23,0.244,250.0,0.23,0.23,0.242,
03/31/2014,1330.0,1175.0,539.0,619.0,17.0,97.0,87.0,10.0,0.0,58.0,-660.0,614.0,614.0,,,,46.0,670.0,-497.0,,133.0,104.0,260.0,173.0,-52.0,65.0,,,,65.0,65.0,,,-13.0,121.0,-46.0,75.0,0.0,0.0,0.0,75.0,,75.0,0.0,0.0,75.0,75.0,0.0,251.0,0.3,0.3,0.3,251.0,0.3,0.3,0.3,
06/30/2014,1117.0,1012.0,547.0,451.0,14.0,28.0,25.0,3.0,0.0,77.0,-524.0,463.0,463.0,,,,61.0,593.0,-442.0,,132.0,102.0,208.0,151.0,-53.0,66.0,-1.0,,1.0,67.0,67.0,,,-13.0,98.0,-45.0,53.0,0.0,0.0,0.0,53.0,0.0,53.0,0.0,0.0,53.0,71.0,18.0,252.0,0.21,0.21,0.281746,252.0,0.21,0.21,0.281429,
09/30/2014,1313.0,1222.0,650.0,559.0,13.0,20.0,17.0,3.0,0.0,71.0,-599.0,545.0,545.0,,,,54.0,714.0,-548.0,,145.0,109.0,294.0,166.0,-53.0,68.0,,,,68.0,68.0,,,-15.0,113.0,-34.0,79.0,0.0,0.0,0.0,79.0,0.0,79.0,0.0,0.0,79.0,116.0,37.0,252.0,0.31,0.31,0.460317,252.0,0.31,0.31,0.456825,
12/31/2014,1048.0,1205.0,,,,49.0,,,0.0,-206.0,-274.0,-1505.0,-1505.0,,,,-161.0,774.0,-659.0,,116.0,122.0,421.0,115.0,-67.0,56.0,,,,69.0,90.0,,,11.0,48.0,-13.0,35.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,0.0,35.0,-20.0,-55.0,252.0,0.14,0.14,-0.079365,253.0,0.14,0.14,-0.079365,
03/31/2015,1354.0,1268.0,,,,86.0,,,0.0,0.0,-639.0,639.0,51.0,588.0,0.0,0.0,0.0,715.0,-573.0,,155.0,118.0,300.0,142.0,-59.0,68.0,,,,68.0,68.0,,,-9.0,83.0,-30.0,53.0,0.0,0.0,0.0,53.0,0.0,53.0,0.0,0.0,53.0,61.0,8.0,253.0,0.21,0.21,0.241107,253.0,0.21,0.21,0.241107,
06/30/2015,1119.0,1094.0,,,,25.0,,,0.0,,-429.0,429.0,12.0,417.0,,,0.0,690.0,-551.0,,152.0,111.0,288.0,139.0,-59.0,71.0,,,,71.0,71.0,,,-12.0,80.0,-27.0,53.0,0.0,0.0,0.0,53.0,0.0,53.0,0.0,0.0,53.0,53.0,0.0,253.0,0.21,0.21,0.21,254.0,0.21,0.21,0.21,
09/30/2015,1336.0,1317.0,,,,19.0,,,0.0,,-579.0,579.0,9.0,570.0,,,0.0,757.0,-573.0,,166.0,120.0,287.0,184.0,-44.0,71.0,,,,71.0,71.0,,,-27.0,140.0,-49.0,91.0,0.0,0.0,0.0,91.0,0.0,91.0,0.0,0.0,91.0,91.0,0.0,254.0,0.36,0.36,0.36,254.0,0.36,0.36,0.36,
12/31/2015,1150.0,1063.0,587.0,458.0,18.0,35.0,34.0,1.0,0.0,52.0,-490.0,446.0,446.0,,,,44.0,660.0,-451.0,,157.0,100.0,194.0,209.0,-65.0,70.0,,,,70.0,70.0,,,-5.0,144.0,-23.0,121.0,-9.0,-9.0,0.0,130.0,0.0,130.0,0.0,0.0,130.0,78.0,-43.0,254.0,0.51,0.48,0.307087,254.0,0.51,0.48,0.307087,
03/31/2016,1258.0,1186.0,,,,60.0,,,0.0,12.0,-535.0,535.0,38.0,497.0,,,0.0,723.0,-1029.0,,166.0,120.0,743.0,-306.0,-73.0,71.0,,,,71.0,71.0,,,2.0,-379.0,89.0,-290.0,0.0,0.0,0.0,-290.0,0.0,-290.0,0.0,0.0,-290.0,-290.0,0.0,189.9,-1.52712,-1.52712,-1.52712,189.9,-1.52712,-1.52712,-1.52712,
06/30/2016,1066.0,1030.0,,,,26.0,,,0.0,10.0,-416.0,416.0,153.0,263.0,,,0.0,650.0,-514.0,,160.0,108.0,246.0,136.0,-55.0,66.0,,,,66.0,66.0,,,-11.0,81.0,-29.0,52.0,0.0,0.0,0.0,52.0,0.0,52.0,0.0,0.0,52.0,52.0,0.0,,,,,,,,,
09/30/2016,1394.0,1366.0,,,,17.0,,,0.0,11.0,-583.0,583.0,213.0,370.0,,,0.0,811.0,-532.0,,182.0,124.0,226.0,279.0,-45.0,64.0,,,,64.0,64.0,,,-19.0,234.0,-68.0,166.0,0.0,0.0,0.0,166.0,0.0,166.0,0.0,0.0,166.0,166.0,0.0,,,,,,,,,
12/31/2016,1078.0,1004.0,,,,46.0,,,0.0,28.0,-410.0,410.0,143.0,267.0,,,0.0,668.0,-579.0,,160.0,106.0,313.0,89.0,-47.0,30.0,,,,60.0,75.0,,,17.0,42.0,-12.0,30.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,30.0,30.65,0.65,,,,,,,,,
03/31/2017,1175.0,1097.0,,,,66.0,,,0.0,12.0,-461.0,461.0,173.0,288.0,,,0.0,714.0,-534.0,,167.0,111.0,256.0,180.0,-49.0,62.0,,,,62.0,62.0,,,-13.0,131.0,9.0,140.0,0.0,0.0,0.0,140.0,0.0,140.0,0.0,0.0,140.0,140.0,0.0,,,,,,,,,
06/30/2017,1074.0,1032.0,,,,22.0,,,0.0,20.0,-383.0,383.0,124.0,259.0,0.0,0.0,0.0,691.0,-543.0,,165.0,110.0,268.0,148.0,-46.0,59.0,,,,59.0,59.0,,,-13.0,102.0,-36.0,66.0,0.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,66.0,65.0,-1.0,,,,,,,,,
09/30/2017,1310.0,1278.0,,,,18.0,,,0.0,14.0,-473.0,473.0,119.0,354.0,,,0.0,837.0,-552.0,,179.0,122.0,251.0,285.0,-49.0,62.0,,,,62.0,62.0,,,-13.0,236.0,-83.0,153.0,0.0,0.0,0.0,153.0,0.0,153.0,0.0,0.0,153.0,153.0,0.0,,,,,,,,,
