Date,Revenue,Sales & Services Revenue,Other Revenue,Gross Profit,Other Operating Income,Operating Expenses,Selling & Marketing,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2009,6805.0,6032.0,773.0,,0.0,-6851.0,,384.0,6467.0,-46.0,-309.0,323.0,327.0,-4.0,,-14.0,-355.0,330.0,,,-25.0,0.0,0.0,0.0,-25.0,0.0,-25.0,0.0,0.0,-25.0,-225.0,-200.0,830.0,-0.03,-0.03,-0.271084,830.0,-0.03,-0.03,-0.271084,
03/31/2010,6848.0,5982.0,866.0,,0.0,-6780.0,,385.0,6395.0,68.0,-314.0,306.0,326.0,-20.0,,8.0,-246.0,-10.0,,,-256.0,0.0,0.0,0.0,-256.0,0.0,-256.0,0.0,0.0,-256.0,-202.0,54.0,832.0,-0.31,-0.31,-0.242788,832.0,-0.31,-0.31,-0.245096,
06/30/2010,8168.0,7220.0,948.0,,0.0,-7316.0,,379.0,6937.0,852.0,-384.0,312.0,315.0,-3.0,,72.0,468.0,-1.0,,,467.0,0.0,0.0,0.0,467.0,0.0,467.0,0.0,0.0,467.0,549.0,82.0,834.0,0.56,0.56,0.658273,842.0,0.55,0.55,0.647387,
09/30/2010,8950.0,8002.0,948.0,,0.0,-7947.0,,375.0,7572.0,1003.0,-637.0,249.0,256.0,-7.0,,388.0,366.0,-3.0,,,363.0,0.0,0.0,0.0,363.0,0.0,363.0,0.0,0.0,363.0,929.0,566.0,835.0,0.43,0.43,1.112575,842.0,0.43,0.43,1.102209,
12/31/2010,7789.0,6904.0,885.0,,0.0,-7495.0,,372.0,7123.0,294.0,-273.0,219.0,224.0,-5.0,,54.0,21.0,-2.0,,,19.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,19.0,158.0,139.0,836.0,0.02,0.02,0.188995,845.0,0.02,0.02,0.184497,
03/31/2011,7747.0,6825.0,922.0,,0.0,-7839.0,,376.0,7463.0,-92.0,-297.0,221.0,,,,76.0,-389.0,71.0,,,-318.0,0.0,0.0,0.0,-318.0,0.0,-318.0,0.0,0.0,-318.0,-320.0,-2.0,837.0,-0.38,-0.38,-0.382318,837.0,-0.38,-0.38,-0.382389,
06/30/2011,9153.0,8155.0,998.0,,0.0,-8672.0,,381.0,8291.0,481.0,-286.0,233.0,,,,53.0,195.0,3.0,,,198.0,0.0,0.0,0.0,198.0,0.0,198.0,0.0,0.0,198.0,366.0,168.0,838.0,0.24,0.24,0.436754,844.0,0.23,0.23,0.429052,
09/30/2011,9816.0,8825.0,991.0,,0.0,-8956.0,,384.0,8572.0,860.0,-313.0,229.0,,,,84.0,547.0,2.0,,,549.0,0.0,0.0,0.0,549.0,0.0,549.0,0.0,0.0,549.0,765.0,216.0,838.0,0.66,0.66,0.912888,844.0,0.65,0.65,0.905924,
12/31/2011,8399.0,7479.0,920.0,,0.0,-7673.0,,382.0,7291.0,726.0,-309.0,218.0,,,,91.0,417.0,8.0,,,425.0,0.0,0.0,0.0,425.0,0.0,425.0,0.0,0.0,425.0,379.0,-46.0,840.0,0.51,0.51,0.45119,845.0,0.5,0.5,0.445562,
03/31/2012,8413.0,7470.0,943.0,,0.0,-8031.0,,386.0,7645.0,382.0,-255.0,221.0,,,,34.0,127.0,-3.0,,,124.0,0.0,0.0,0.0,124.0,0.0,124.0,0.0,0.0,124.0,-73.8,-197.8,843.0,0.15,0.15,-0.087544,847.0,0.15,0.15,-0.087544,
06/30/2012,9732.0,8713.0,1019.0,,0.0,-9598.0,,388.0,9210.0,134.0,-298.0,207.0,,,,91.0,-164.0,-4.0,,,-168.0,0.0,0.0,0.0,-168.0,0.0,-168.0,0.0,0.0,-168.0,586.0,754.0,845.0,-0.2,-0.2,0.693491,845.0,-0.2,-0.2,0.692308,
09/30/2012,9923.0,8935.0,988.0,,0.0,-8615.0,,392.0,8223.0,1308.0,-256.0,195.0,,,,61.0,1052.0,-5.0,,,1047.0,0.0,0.0,0.0,1047.0,0.0,1047.0,0.0,0.0,1047.0,768.0,-279.0,846.0,1.24,1.24,0.907801,850.0,1.23,1.23,0.901765,
12/31/2012,8602.0,7679.0,923.0,,0.0,-8250.0,,399.0,7851.0,352.0,-342.0,189.0,,,,153.0,10.0,-3.0,,,7.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,238.0,231.0,846.0,0.01,0.01,0.281324,852.0,0.01,0.01,0.281127,
03/31/2013,8500.0,7558.0,942.0,,0.0,-8278.0,,405.0,7873.0,222.0,-219.0,178.0,,,,41.0,3.0,4.0,-4.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,85.0,78.0,848.0,0.01,0.01,0.100236,855.0,0.01,0.01,0.100236,
06/30/2013,9707.0,8726.0,981.0,,0.0,-8793.0,,415.0,8378.0,914.0,-228.0,172.0,,,,56.0,686.0,-1.0,,,685.0,0.0,0.0,0.0,685.0,0.0,685.0,0.0,0.0,685.0,844.0,159.0,850.0,0.81,0.81,0.992941,859.0,0.8,0.8,0.985099,
09/30/2013,10490.0,9483.0,1007.0,,0.0,-8927.0,,418.0,8509.0,1563.0,-200.0,176.0,,,,24.0,1363.0,6.0,,,1369.0,0.0,0.0,0.0,1369.0,0.0,1369.0,0.0,0.0,1369.0,1190.0,-179.0,851.0,1.61,1.61,1.398355,861.0,1.59,1.59,1.382102,
12/31/2013,9076.0,8112.0,964.0,,0.0,-8375.0,,420.0,7955.0,701.0,-226.0,172.0,,,,54.0,475.0,8004.0,,,8479.0,0.0,0.0,0.0,8479.0,0.0,8479.0,0.0,0.0,8479.0,558.0,-7921.0,846.0,10.02,10.02,0.659574,858.0,9.89,9.89,0.658065,
03/31/2014,8916.0,7894.0,1022.0,,0.0,-8296.0,,442.0,7854.0,620.0,-285.0,165.0,,,,120.0,335.0,-122.0,1.0,121.0,213.0,0.0,0.0,0.0,213.0,0.0,213.0,0.0,0.0,213.0,281.0,68.0,844.0,0.25,0.25,0.332938,853.0,0.25,0.25,0.329719,
06/30/2014,10621.0,9496.0,1125.0,,0.0,-9042.0,,451.0,8591.0,1579.0,-281.0,155.0,,,,126.0,1298.0,-497.0,,,801.0,0.0,0.0,0.0,801.0,0.0,801.0,0.0,0.0,801.0,889.0,88.0,841.0,0.95,0.95,1.057075,850.0,0.94,0.94,1.043529,
09/30/2014,11178.0,10020.0,1158.0,,0.0,-10343.0,,440.0,9903.0,835.0,-256.0,140.0,,,,116.0,579.0,-222.0,,,357.0,0.0,0.0,0.0,357.0,0.0,357.0,0.0,0.0,357.0,1014.0,657.0,834.0,0.43,0.43,1.215827,843.0,0.42,0.42,1.199359,
12/31/2014,9647.0,8478.0,1169.0,,0.0,-10475.0,,438.0,10037.0,-828.0,-312.0,131.0,,,,181.0,-1140.0,428.0,,,-712.0,0.0,0.0,0.0,-712.0,0.0,-712.0,0.0,0.0,-712.0,649.0,1361.0,825.0,-0.86,-0.86,0.786667,825.0,-0.86,-0.86,0.786667,
03/31/2015,9388.0,8140.0,1248.0,,0.0,-7990.0,,470.0,7520.0,1398.0,-212.0,131.0,,,,81.0,1186.0,-440.0,,,746.0,0.0,0.0,0.0,746.0,0.0,746.0,0.0,0.0,746.0,372.0,-374.0,818.0,0.91,0.91,0.454768,826.0,0.9,0.9,0.447215,
06/30/2015,10707.0,9346.0,1361.0,,0.0,-8233.0,,448.0,7785.0,2474.0,-108.0,127.0,,,,-19.0,2366.0,-881.0,,,1485.0,0.0,0.0,0.0,1485.0,0.0,1485.0,0.0,0.0,1485.0,1027.0,-458.0,803.0,1.85,1.85,1.278954,811.0,1.83,1.83,1.265265,
09/30/2015,11107.0,9791.0,1316.0,,0.0,-8894.0,,466.0,8428.0,2213.0,-141.0,121.0,,,,20.0,2072.0,-757.0,,,1315.0,0.0,0.0,0.0,1315.0,0.0,1315.0,0.0,0.0,1315.0,1384.0,69.0,788.0,1.67,1.67,1.756345,795.0,1.65,1.65,1.736792,
12/31/2015,9502.0,8318.0,1184.0,,0.0,-7785.0,402.0,451.0,6932.0,1717.0,-184.0,102.0,,,,82.0,1533.0,-553.0,,,980.0,0.0,0.0,0.0,980.0,0.0,980.0,0.0,0.0,980.0,926.0,-54.0,778.0,1.26,1.26,1.190231,785.0,1.25,1.25,1.18121,
03/31/2016,9251.0,7924.0,1327.0,,0.0,-7711.0,,486.0,7225.0,1540.0,-106.0,107.0,,,,-1.0,1434.0,-488.0,,,946.0,0.0,0.0,0.0,946.0,0.0,946.0,0.0,0.0,946.0,1026.0,80.0,774.0,1.22,1.22,1.325581,780.0,1.21,1.21,1.312564,
06/30/2016,10447.0,9135.0,1312.0,,0.0,-8024.0,,470.0,7554.0,2423.0,-73.0,93.0,,,,-20.0,2350.0,-804.0,,,1546.0,0.0,0.0,0.0,1546.0,0.0,1546.0,0.0,0.0,1546.0,1124.0,-422.0,758.0,2.04,2.04,1.48285,763.0,2.03,2.03,1.47692,
09/30/2016,10483.0,9238.0,1245.0,,0.0,-8514.0,,474.0,8040.0,1969.0,-69.0,95.0,,,,-26.0,1900.0,-641.0,,,1259.0,0.0,0.0,0.0,1259.0,0.0,1259.0,0.0,0.0,1259.0,1263.0,4.0,740.0,1.7,1.7,1.706757,744.0,1.69,1.69,1.695376,
12/31/2016,9458.0,8148.0,1310.0,,0.0,-8438.0,,472.0,7966.0,1020.0,-68.0,93.0,,,,-25.0,952.0,-330.0,,,622.0,0.0,0.0,0.0,622.0,0.0,622.0,0.0,0.0,622.0,604.0,-18.0,732.0,0.85,0.85,0.825137,737.0,0.84,0.84,0.815577,
03/31/2017,9101.0,8341.0,760.0,,0.0,-8102.0,,537.0,7565.0,999.0,-150.0,94.0,,,,56.0,849.0,-288.0,,,561.0,0.0,0.0,0.0,561.0,0.0,561.0,0.0,0.0,561.0,518.0,-43.0,728.0,0.77,0.77,0.711538,731.0,0.77,0.77,0.711176,
06/30/2017,10747.0,9955.0,792.0,,0.0,-8765.0,,531.0,8234.0,1982.0,-151.0,103.0,103.0,0.0,,48.0,1831.0,-645.0,,,1186.0,0.0,0.0,0.0,1186.0,0.0,1186.0,0.0,0.0,1186.0,1163.0,-23.0,728.0,1.63,1.63,1.597527,731.0,1.62,1.62,1.588536,
09/30/2017,11061.0,10170.0,891.0,,0.0,-9238.0,,571.0,8667.0,1823.0,-47.0,100.0,100.0,0.0,,-53.0,1776.0,-617.0,,,1159.0,0.0,0.0,0.0,1159.0,0.0,1159.0,0.0,0.0,1159.0,1108.0,-51.0,716.0,1.62,1.62,1.547486,719.0,1.61,1.61,1.539068,
12/31/2017,10229.0,9225.0,1004.0,,0.0,-9067.0,,583.0,8484.0,1162.0,-118.0,99.0,99.0,0.0,,19.0,1044.0,-745.0,,,299.0,0.0,0.0,0.0,299.0,0.0,299.0,0.0,0.0,299.0,652.0,353.0,707.0,0.42,0.42,0.922207,711.0,0.42,0.42,0.916484,
03/31/2018,9968.0,8967.0,1001.0,,0.0,-9124.0,,603.0,8521.0,844.0,-112.0,92.0,92.0,0.0,,20.0,732.0,-175.0,,,557.0,0.0,0.0,0.0,557.0,0.0,557.0,0.0,0.0,557.0,533.0,-24.0,704.0,0.79,0.79,0.757102,706.0,0.79,0.79,0.756006,
06/30/2018,11775.0,10769.0,1006.0,,0.0,-10091.0,,583.0,9508.0,1684.0,-298.0,79.0,79.0,0.0,,219.0,1386.0,-350.0,,,1036.0,0.0,0.0,0.0,1036.0,0.0,1036.0,0.0,0.0,1036.0,1239.0,203.0,695.0,1.49,1.49,1.782734,697.0,1.49,1.49,1.781248,
09/30/2018,11953.0,11022.0,931.0,,0.0,-10308.0,,573.0,9735.0,1645.0,43.0,73.0,73.0,0.0,,-116.0,1688.0,-366.0,,,1322.0,0.0,0.0,0.0,1322.0,0.0,1322.0,0.0,0.0,1322.0,1239.0,-83.0,686.0,1.93,1.93,1.806122,688.0,1.92,1.92,1.79936,
12/31/2018,10742.0,9861.0,881.0,,0.0,-9652.0,,570.0,9082.0,1090.0,254.0,67.0,67.0,0.0,,-321.0,1344.0,-325.0,,,1019.0,0.0,0.0,0.0,1019.0,0.0,1019.0,0.0,0.0,1019.0,885.0,-134.0,680.0,1.5,1.5,1.301471,683.0,1.49,1.49,1.293807,
03/31/2019,10472.0,9446.0,1026.0,,0.0,-9452.0,,615.0,8837.0,1020.0,-74.0,83.0,83.0,0.0,,-9.0,946.0,-216.0,,,730.0,0.0,0.0,0.0,730.0,0.0,730.0,0.0,0.0,730.0,639.0,-91.0,665.0,1.1,1.1,0.960902,667.0,1.09,1.09,0.953568,
06/30/2019,12536.0,11554.0,982.0,,0.0,-10408.0,,713.0,9695.0,2128.0,-221.0,75.0,75.0,0.0,,146.0,1907.0,-464.0,,,1443.0,0.0,0.0,0.0,1443.0,0.0,1443.0,0.0,0.0,1443.0,1532.0,89.0,650.0,2.22,2.22,2.356923,652.0,2.21,2.21,2.346503,
09/30/2019,12560.0,11599.0,961.0,,0.0,-10489.0,,631.0,9858.0,2071.0,-124.0,70.0,70.0,0.0,,54.0,1947.0,-452.0,,,1495.0,0.0,0.0,0.0,1495.0,0.0,1495.0,0.0,0.0,1495.0,1506.0,11.0,646.0,2.32,2.32,2.331269,648.0,2.31,2.31,2.326975,
12/31/2019,11439.0,10432.0,1007.0,,0.0,-10040.0,,622.0,9418.0,1399.0,-2.0,72.0,72.0,0.0,,-70.0,1397.0,-298.0,,,1099.0,0.0,0.0,0.0,1099.0,0.0,1099.0,0.0,0.0,1099.0,988.56,-110.44,642.0,1.71,1.71,1.539813,644.0,1.71,1.71,1.538509,
03/31/2020,8592.0,7721.0,871.0,,0.0,-9002.0,,678.0,8324.0,-410.0,-197.0,79.0,79.0,0.0,,118.0,-607.0,73.0,,,-534.0,0.0,0.0,0.0,-534.0,0.0,-534.0,0.0,0.0,-534.0,-326.0,208.0,637.0,-0.84,-0.84,-0.511774,637.0,-0.84,-0.84,-0.513469,
06/30/2020,1468.0,786.0,682.0,,0.0,-6283.0,,591.0,5692.0,-4815.0,-2199.0,194.0,194.0,0.0,,2005.0,-7014.0,1297.0,,,-5717.0,0.0,0.0,0.0,-5717.0,0.0,-5717.0,0.0,0.0,-5717.0,-5772.0,-55.0,635.0,-9.01,-9.01,-9.089764,635.0,-9.01,-9.01,-9.096614,
09/30/2020,3141.143,,,-2114.42899902,,,,,,-2086.0,,,,,,,-2275.889,,,,-1907.875,,,,,,-1907.875,,,-1907.875,-1853.455,,,-3.176,-3.176,-2.96,,-3.176,-3.176,-2.96,
12/31/2020,4760.786,,,-1384.10331378,,,,,,-828.9,,,,,,,-1178.7,,,,-1014.125,,,,,,-1014.125,,,-1014.125,-972.182,,,-1.219,-1.219,-1.605,,-1.219,-1.219,-1.605,
