Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/27/2015,220,8.0,,228.0,0.0,,,0.0,4.149378,0.150886,0.0,4.300264,1.596285,0.058047,0.0,1.654332,
06/26/2015,229,7.0,,236.0,,8.0,,8.0,4.343703,0.132777,0.0,4.47648,1.679748,0.051346,0.0,1.731094,
09/25/2015,182,2.0,,184.0,0.0,15.0,0.0,15.0,3.906418,0.042928,,3.949345,1.396134,0.015342,,1.411476,
12/31/2015,187,2.0,0.0,189.0,0.0,16.0,0.0,16.0,4.222172,0.045157,0.0,4.267329,1.549424,0.016571,0.0,1.565996,
03/25/2016,329,7.0,0.0,336.0,0.0,11.0,0.0,11.0,7.391597,0.157268,0.0,7.548865,2.762153,0.058769,0.0,2.820922,
06/24/2016,150,10.0,0.0,160.0,0.0,9.0,0.0,9.0,3.290195,0.219346,0.0,3.509542,1.282051,0.08547,0.0,1.367521,
09/23/2016,128,9.0,0.0,137.0,0.0,8.0,0.0,8.0,2.758621,0.193966,0.0,2.952586,1.083736,0.0762,0.0,1.159936,
12/31/2016,104,12.0,0.0,116.0,0.0,6.0,29.0,35.0,2.249135,0.259516,0.0,2.508651,0.876528,0.101138,0.0,0.977665,
03/31/2017,12,11.0,0.0,23.0,0.0,3.0,31.0,34.0,0.249896,0.229071,0.0,0.478967,0.098652,0.090431,0.0,0.189083,
06/30/2017,111,12.0,0.0,123.0,0.0,2.0,0.0,2.0,2.199326,0.237765,0.0,2.437091,0.892857,0.096525,0.0,0.989382,
09/29/2017,91,16.0,0.0,107.0,0.0,2.0,40.0,42.0,1.795226,0.315644,0.0,2.11087,0.729868,0.128329,0.0,0.858197,
12/31/2017,310,11.0,0.0,321.0,0.0,1.0,31.0,32.0,6.018249,0.213551,0.0,6.2318,2.435384,0.086417,0.0,2.521801,
03/30/2018,12,11.0,0.0,23.0,0.0,4.0,34.0,38.0,0.225564,0.206767,0.0,0.432331,0.093218,0.08545,0.0,0.178669,
06/29/2018,955,3.0,0.0,958.0,0.0,8.0,27.0,35.0,17.325835,0.054427,0.0,17.380261,7.058389,0.022173,0.0,7.080562,
09/28/2018,167,4.0,0.0,171.0,0.0,6.0,16.0,22.0,2.924181,0.07004,0.0,2.994222,1.266687,0.03034,0.0,1.297027,
12/31/2018,660,1.0,0.0,661.0,0.0,17.0,20.0,37.0,11.173184,0.016929,0.0,11.190113,4.882379,0.007398,0.0,4.889777,
03/29/2019,756,3.0,0.0,759.0,0.0,25.0,16.0,41.0,12.356979,0.049036,0.0,12.406015,5.300428,0.021033,0.0,5.321461,
