Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/1996,86.900002,713.0,50.0,,-676.099976,,-676.099976,0.0,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,86.900002,,,
03/31/1997,2131.0,734.099976,40.0,,1356.900024,,1356.900024,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
06/30/1997,985.299988,752.700012,40.0,,192.600006,,192.600006,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
09/30/1997,2240.0,775.0,20.0,,1445.0,,1445.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12/31/1997,1139.5,794.0,0.0,,345.5,,345.5,0.0,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1139.5,,,
03/31/1998,1703.099976,824.200012,-5.0,,883.900024,,883.900024,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
06/30/1998,1937.400024,848.0,-10.0,,1099.400024,,1099.400024,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
09/30/1998,1838.300049,857.400024,-15.0,,995.900024,,995.900024,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12/31/1998,2217.199951,888.5,-20.0,,1348.699951,,1348.699951,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
03/31/1999,4823.899902,924.900024,-20.0,,3919.0,,3919.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
06/30/1999,2698.5,957.599976,-25.0,,1765.900024,,1765.900024,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
09/30/1999,2838.600098,991.0,-40.0,,1887.599976,,1887.599976,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12/31/1999,1493.5,1038.399902,-35.0,,490.100098,,490.100098,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
03/31/2000,2940.5,1062.400024,-30.0,,1908.099976,,1908.099976,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
06/30/2000,3117.100098,1096.900024,-30.0,,2050.199951,,2050.199951,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
09/30/2000,3145.699951,1124.099976,-30.0,,2051.600098,,2051.600098,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12/31/2000,3305.600098,1164.199951,-30.0,,2171.399902,,2171.399902,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
03/31/2001,2837.0,1293.400024,-25.0,,1568.599976,,1568.599976,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
06/30/2001,3025.300049,1402.400024,-30.0,,1652.900024,,1652.900024,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
09/30/2001,5732.299805,1229.5,-30.0,,4532.799805,,4532.799805,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12/31/2001,3106.399902,1968.800049,-30.0,,1167.599976,,1167.599976,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
03/31/2002,4273.0,1208.599976,-30.0,,3094.399902,,3094.399902,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,172.0,9584.0,
06/30/2002,2757.0,1463.699951,-30.0,,1323.300049,,1323.300049,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1370.0,10590.0,
09/30/2002,1882.0,994.299988,-40.0,,927.700012,,927.700012,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,701.0,10059.0,
12/31/2002,3226.0,952.2,228.0,,2045.8,,2045.8,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,789.0,10168.0,
03/31/2003,5291.0,1941.0,23.0,,3327.0,,3327.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,70.0,8990.0,
06/30/2003,3406.0,1102.0,26.0,,2278.0,,2278.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1945.0,9396.0,
09/30/2003,4323.0,2666.0,28.0,,1629.0,,1629.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,8323.0,
12/31/2003,6499.0,2196.0,23.0,,4280.0,,4280.0,0.0,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6499.0,2396.0,8005.0,
03/31/2004,4850.0,1899.0,32.0,,2919.0,,2919.0,0.0,,,,,19182.0,0.0,0.0,0.0,2455.0,416946.0,,,,-414491.0,,,,15905.0,,,,,,,,822.0,-22233.0,,-19705.0,,,,,0.0,0.0,,0.0,-2528.0,,1799.0,0.0,10107.0,
06/30/2004,2339.0,1112.0,-12.0,,1239.0,,1239.0,0.0,,,,,83.0,0.0,0.0,0.0,10075.0,740827.0,,,,-730752.0,,,,-11038.0,,,,,,,,1046.0,-6704.0,,-1115.0,,,,,-1408.0,0.0,-1408.0,0.0,-4181.0,,-2874.0,1713.0,8361.0,
03/31/2006,9333.0,2026.0,0.0,,1063.0,,1063.0,6244.0,,,,,-2876.0,0.0,0.0,0.0,5019.0,49516.0,,,,-44497.0,,,,-8352.0,,,,,,,,457.0,-4602.0,0.0,-4107.0,,,,,0.0,0.0,0.0,0.0,-495.0,,1855.0,223.0,8004.0,
06/30/2006,12812.0,2058.0,0.0,,3999.0,,3999.0,6755.0,,,,,-14303.0,0.0,0.0,0.0,-5310.0,65833.0,,,,-71143.0,,,,-9095.0,,,,,,,,102.0,15715.0,0.0,16096.0,,,,,0.0,0.0,0.0,0.0,-381.0,,14224.0,15.0,8236.0,
09/30/2006,3499.0,-629.0,0.0,,1641.0,,1641.0,2487.0,,,,,12323.0,0.0,0.0,0.0,21640.0,82240.0,,,,-60600.0,,,,-9606.0,,,,,,,,289.0,-31642.0,0.0,-31395.0,,,,,0.0,0.0,0.0,0.0,-247.0,,-15820.0,0.0,9173.0,
12/31/2006,6025.0,604.0,589.0,,725.0,,725.0,4107.0,,,,,-8917.0,0.0,0.0,0.0,2415.0,50917.0,,,,-48502.0,,,,-13126.0,,,,,,,,1794.0,3052.0,-1650.0,3553.0,,,,,26.0,29.0,-3.0,,1123.0,,160.0,530.0,9075.0,
03/31/2007,-3729.0,961.0,0.0,,3174.0,,3174.0,-7864.0,,,,,10915.0,0.0,0.0,0.0,18119.0,69777.0,,,,-51658.0,,,,-7812.0,,,,,,,,608.0,-6717.0,0.0,-5491.0,,,,,0.0,0.0,0.0,0.0,-1226.0,,469.0,1088.0,9965.0,
06/30/2007,649.0,1947.0,683.0,,1812.0,,1812.0,-3793.0,,,,,-9420.0,0.0,0.0,0.0,7223.0,45600.0,,,,-38377.0,,,,-16403.0,,,,,,,,-240.0,10911.0,0.0,11907.0,,,,,0.0,0.0,0.0,0.0,-996.0,,2140.0,800.0,9371.0,
09/30/2007,20026.0,-1399.0,1087.0,,5753.0,,5753.0,14585.0,,,,,-749.0,0.0,0.0,0.0,28360.0,48797.0,,,,-20437.0,,,,-29098.0,,,,,,,,-11.0,-20645.0,0.0,-21044.0,,,,,1019.0,1019.0,0.0,0.0,-620.0,,-1368.0,0.0,9933.0,
12/31/2007,26003.0,-3559.0,2794.0,,3915.0,,3915.0,22853.0,,,,,-66360.0,0.0,0.0,0.0,-21327.0,36386.0,,,,-57713.0,,,,-45805.0,,,,,,,,772.0,39818.0,-2483.0,32731.0,,,,,6728.0,7833.0,-1105.0,0.0,2842.0,,-539.0,0.0,11376.0,
03/31/2008,30118.0,-2186.0,0.0,,4792.0,,4792.0,27512.0,,,,,7737.0,0.0,0.0,0.0,39737.0,45444.0,,,,-5707.0,,,,-31835.0,,,,,,,,-165.0,-39799.0,0.0,-39135.0,,,,,0.0,0.0,0.0,0.0,-664.0,,-1944.0,220.0,10187.0,
06/30/2008,-185.0,-2300.0,8158.0,,-2345.0,,-2345.0,-3698.0,,,,,-31806.0,0.0,0.0,0.0,-4410.0,70047.0,,,,-74457.0,,,,-26386.0,,,,,,,,-1010.0,43487.0,0.0,36919.0,,,,,7211.0,7211.0,0.0,0.0,-643.0,,11496.0,625.0,9184.0,
09/30/2008,10197.0,-28994.0,8763.0,,8195.0,,8195.0,22233.0,,,,,-17926.0,0.0,0.0,0.0,7407.0,37629.0,,,,-30222.0,,,,-23025.0,,,,,,,,-2308.0,30537.0,0.0,31004.0,,,,,0.0,0.0,0.0,0.0,-467.0,,22808.0,0.0,8093.0,
12/31/2008,-24277.0,-25227.0,11030.0,,6525.0,,6525.0,-16605.0,,,,,-30512.0,0.0,0.0,0.0,-15612.0,40274.0,,,,-55886.0,,,,-14006.0,,,,,,,,-894.0,36421.0,-1805.0,36452.0,,,,,0.0,0.0,0.0,0.0,1774.0,,-18368.0,0.0,8495.0,
03/31/2009,-30345.0,-23168.0,,20334.0,6707.0,5400.0,1307.0,-34218.0,1949.0,-33037.0,-3130.0,0.0,38288.0,0.0,0.0,0.0,47246.0,79802.0,0.0,0.0,79802.0,-32556.0,0.0,0.0,-32556.0,-13317.0,-13317.0,0.0,0.0,0.0,0.0,0.0,0.0,4359.0,-2630.0,0.0,-17805.0,-57445.0,0.0,105057.0,-65417.0,15200.0,15200.0,0.0,0.0,-25.0,,5313.0,848.0,7806.0,
06/30/2009,-37192.0,-14754.0,,18225.0,-1086.0,-1908.0,822.0,-39577.0,1216.0,-37931.0,-2862.0,0.0,45733.0,0.0,0.0,0.0,57501.0,152372.0,0.0,0.0,152372.0,-94871.0,0.0,0.0,-94871.0,-16926.0,-16926.0,0.0,0.0,0.0,0.0,0.0,0.0,5158.0,-3553.0,0.0,-22144.0,-15517.0,0.0,82220.0,-88847.0,19000.0,19000.0,0.0,0.0,-409.0,,4988.0,-848.0,7624.0,
09/30/2009,-10986.0,-18872.0,,21896.0,-621.0,-1239.0,618.0,-13389.0,5985.0,-18930.0,-444.0,0.0,19091.0,0.0,0.0,0.0,57606.0,116255.0,0.0,0.0,116255.0,-58649.0,0.0,0.0,-58649.0,-44343.0,-44343.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.0,-20957.0,0.0,-30771.0,-19279.0,0.0,45701.0,-57193.0,10700.0,10700.0,0.0,0.0,-886.0,,-12852.0,876.0,5973.0,
12/31/2009,-7386.0,-48801.0,,12171.0,-25453.0,8080.0,-33533.0,-12555.0,2826.0,-17373.0,1992.0,0.0,14623.0,0.0,0.0,0.0,34300.0,62674.0,0.0,0.0,62674.0,-28374.0,0.0,0.0,-28374.0,-27086.0,-27086.0,0.0,0.0,0.0,0.0,0.0,0.0,7409.0,-15807.0,-2470.0,-29657.0,-40671.0,0.0,56886.0,-45872.0,15000.0,15000.0,0.0,0.0,1320.0,,-8570.0,,4941.0,
03/31/2010,-30885.0,-11530.0,,,,,,,,,,0.0,108714.0,0.0,0.0,0.0,130442.0,137244.0,112823.0,8548.0,15873.0,-6802.0,0.0,-107.0,-6695.0,-23063.0,-23063.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.0,-54164.0,-1527.0,-67937.0,15698.0,0.0,88750.0,-172385.0,15300.0,15300.0,0.0,0.0,0.0,,23665.0,,36788.0,
06/30/2010,-16248.0,-1218.0,,,,,,,,,,0.0,142244.0,0.0,0.0,0.0,126908.0,128135.0,115745.0,-2599.0,14989.0,-1227.0,0.0,-35.0,-1192.0,-25811.0,-25811.0,0.0,0.0,0.0,0.0,0.0,0.0,41147.0,-128629.0,-1909.0,-135083.0,-15556.0,0.0,639567.0,-759094.0,8400.0,8400.0,0.0,0.0,-37.0,,-2633.0,,36484.0,
09/30/2010,4686.0,-1339.0,,,,,,,,,,0.0,130427.0,0.0,0.0,0.0,171323.0,171540.0,164843.0,6978.0,-281.0,-217.0,0.0,-120.0,-97.0,-48125.0,-48125.0,0.0,0.0,0.0,0.0,0.0,0.0,7229.0,-151575.0,-2118.0,-150961.0,43.0,0.0,353918.0,-504922.0,1500.0,1500.0,0.0,0.0,4.0,,-16462.0,,34265.0,
12/31/2010,15052.0,73.0,,24896.0,-1093.0,-1215.0,122.0,-37184.0,-23612.0,7.0,-13579.0,0.0,158794.0,0.0,0.0,0.0,-367977.0,7482.0,0.0,262.0,7220.0,-375459.0,-372696.0,-12927.0,10164.0,550567.0,550567.0,0.0,0.0,0.0,0.0,0.0,0.0,-23796.0,-167931.0,-2152.0,-168267.0,-136.0,0.0,350333.0,-518464.0,2500.0,2500.0,0.0,0.0,-12.0,,5915.0,,33114.0,
03/31/2011,2566.0,-6471.0,,,,,,,,,,0.0,123839.0,0.0,0.0,0.0,131965.0,132194.0,126914.0,4349.0,931.0,-229.0,0.0,-44.0,-185.0,-31391.0,-31391.0,0.0,0.0,0.0,0.0,0.0,0.0,23265.0,-123871.0,-2216.0,-124255.0,26.0,0.0,236343.0,-360624.0,2600.0,2600.0,0.0,0.0,0.0,,2534.0,,32689.0,
06/30/2011,-4661.0,-2893.0,,,,,,,,,,0.0,112323.0,0.0,0.0,0.0,115728.0,116088.0,111018.0,2584.0,2486.0,-360.0,0.0,0.0,-360.0,-22599.0,-22599.0,0.0,0.0,0.0,0.0,0.0,0.0,19194.0,-113219.0,-2281.0,-119547.0,-26.0,0.0,226445.0,-345966.0,8500.0,8500.0,0.0,0.0,109.0,,-5557.0,,33021.0,
09/30/2011,-4619.0,-5085.0,,,,,,,,,,0.0,91668.0,0.0,0.0,0.0,147841.0,149779.0,145035.0,3062.0,1682.0,-1938.0,0.0,0.0,-1938.0,-33649.0,-33649.0,0.0,0.0,0.0,0.0,0.0,0.0,-22524.0,-77016.0,-2495.0,-79649.0,0.0,0.0,267320.0,-346969.0,5087.0,5087.0,0.0,0.0,41.0,,10033.0,,31882.0,
12/31/2011,-8524.0,-2406.0,,26718.0,-859.0,-490.0,-369.0,-24242.0,-17048.0,-669.0,-6525.0,0.0,136558.0,0.0,0.0,0.0,-352521.0,2157.0,0.0,44.0,2113.0,-354678.0,-357777.0,-9995.0,13094.0,530019.0,530019.0,0.0,0.0,0.0,0.0,0.0,0.0,-40940.0,-134802.0,-2621.0,-139968.0,0.0,0.0,270006.0,-409974.0,7791.0,7791.0,0.0,0.0,-4.0,,-6768.0,,31214.0,
03/31/2012,-114.0,2719.0,,,,,,,,,,0.0,157530.0,0.0,0.0,0.0,186074.0,186309.0,181810.0,3330.0,1169.0,-235.0,0.0,-9.0,-226.0,-15936.0,-15936.0,0.0,0.0,0.0,0.0,0.0,0.0,-12608.0,-152906.0,-2819.0,-154650.0,0.0,0.0,248781.0,-403431.0,4571.0,4571.0,0.0,0.0,-8.0,,4510.0,,30590.0,
06/30/2012,24249.0,5114.0,,,,,,,,,,0.0,119429.0,0.0,0.0,0.0,191276.0,192161.0,-166878.0,357752.0,1287.0,-885.0,0.0,9.0,-894.0,-40553.0,-40553.0,0.0,0.0,0.0,0.0,0.0,0.0,-31294.0,-140999.0,-2931.0,-138068.0,153.0,0.0,249425.0,-387646.0,0.0,0.0,0.0,0.0,0.0,,2679.0,,30336.0,
09/30/2012,8144.0,1821.0,,,,,,,,,,0.0,109444.0,0.0,0.0,0.0,226869.0,227325.0,7608.0,217222.0,2495.0,-456.0,0.0,0.0,-456.0,-41019.0,-41019.0,0.0,0.0,0.0,0.0,0.0,0.0,-76406.0,-121642.0,-2929.0,-118712.0,-153.0,0.0,322433.0,-440992.0,0.0,0.0,0.0,0.0,-1.0,,-4054.0,,29412.0,
12/31/2012,4722.0,7570.0,,-852.0,-3803.0,-1464.0,-2339.0,24432.0,31972.0,-426.0,-7114.0,0.0,141290.0,0.0,0.0,0.0,-554836.0,1542.0,0.0,0.0,1542.0,-556378.0,8782.0,-578304.0,13144.0,578972.0,578972.0,0.0,0.0,0.0,0.0,0.0,0.0,117154.0,-145569.0,-2929.0,-142640.0,0.0,0.0,311939.0,-454579.0,0.0,0.0,0.0,0.0,0.0,,443.0,,28921.0,
03/31/2013,-6420.0,58685.0,,,,,,,,,,0.0,100120.0,0.0,0.0,0.0,161689.0,224214.0,202004.0,1051.0,21159.0,-62525.0,0.0,-2021.0,-60504.0,-38471.0,-38471.0,0.0,0.0,0.0,0.0,0.0,0.0,-23098.0,-91404.0,-4224.0,-87396.0,0.0,0.0,277969.0,-365365.0,0.0,0.0,0.0,0.0,216.0,,2296.0,,27824.0,
06/30/2013,11222.0,10084.0,,,,,,,,,,0.0,169041.0,0.0,0.0,0.0,152582.0,213164.0,194261.0,5439.0,13464.0,-60582.0,0.0,-1964.0,-58618.0,-37964.0,-37964.0,0.0,0.0,0.0,0.0,0.0,0.0,54423.0,-178958.0,-59368.0,-119372.0,0.0,0.0,206767.0,-326139.0,0.0,0.0,0.0,0.0,-218.0,,1305.0,1016.0,27631.0,
09/30/2013,6716.0,8737.0,,,,,,,,,,0.0,114133.0,0.0,0.0,0.0,124706.0,152218.0,138182.0,1967.0,12069.0,-27512.0,0.0,15103.0,-42615.0,-38149.0,-38149.0,0.0,0.0,0.0,0.0,0.0,0.0,27576.0,-114783.0,-10243.0,-104542.0,0.0,0.0,180987.0,-285529.0,0.0,0.0,0.0,0.0,2.0,,6066.0,860.0,26631.0,
12/31/2013,1385.0,6457.0,,-8949.0,-5085.0,,-5085.0,-57026.0,1575.0,,-58601.0,0.0,69460.0,0.0,0.0,0.0,-354934.0,150619.0,0.0,-11118.0,161737.0,-505553.0,-493093.0,-8457.0,-4003.0,450048.0,450048.0,0.0,0.0,0.0,0.0,0.0,0.0,-25654.0,-82401.0,-8617.0,-73639.0,0.0,0.0,116617.0,-190256.0,0.0,0.0,0.0,0.0,-145.0,,-11556.0,474.0,27154.0,
03/31/2014,-1321.0,5325.0,,-774.0,0.0,,0.0,,,,,0.0,80721.0,0.0,0.0,0.0,64641.0,89127.0,87646.0,1481.0,0.0,-24486.0,-24486.0,0.0,0.0,-20501.0,-20501.0,0.0,0.0,0.0,0.0,0.0,0.0,36581.0,-84572.0,-7191.0,-77399.0,0.0,0.0,127302.0,-204701.0,0.0,0.0,0.0,0.0,18.0,,-5172.0,425.0,26567.0,
06/30/2014,4741.0,3666.0,,,,,,,,,,0.0,52694.0,0.0,0.0,0.0,76514.0,107871.0,104590.0,3281.0,0.0,-31357.0,-31357.0,0.0,0.0,-22044.0,-22044.0,0.0,0.0,0.0,0.0,0.0,0.0,-1776.0,-50644.0,-5691.0,-44928.0,0.0,0.0,151483.0,-196411.0,0.0,0.0,0.0,0.0,-25.0,,6791.0,2050.0,27027.0,
09/30/2014,-2460.0,3905.0,,774.0,0.0,,0.0,,,,,0.0,41973.0,0.0,0.0,0.0,76621.0,113807.0,116108.0,-4762.0,2461.0,-37186.0,-37186.0,0.0,0.0,-28723.0,-28723.0,0.0,0.0,0.0,0.0,0.0,0.0,-5925.0,-44031.0,-3712.0,-40828.0,0.0,0.0,194200.0,-235028.0,0.0,0.0,0.0,0.0,509.0,,-4518.0,0.0,28353.0,
12/31/2014,-2298.0,1312.0,,-466.0,,,,,,,,0.0,49279.0,0.0,0.0,0.0,-178913.0,93029.0,93029.0,0.0,0.0,-271942.0,-271942.0,0.0,0.0,223374.0,223374.0,0.0,0.0,0.0,0.0,0.0,0.0,4818.0,-41287.0,-4000.0,-36855.0,0.0,0.0,182650.0,-219505.0,0.0,0.0,0.0,0.0,-432.0,0.0,5694.0,340.0,26720.0,
03/31/2015,-1249.0,1888.0,,-533.0,,,,,,,,0.0,66582.0,0.0,0.0,0.0,9530.0,9530.0,6580.0,0.0,2950.0,0.0,0.0,0.0,0.0,40688.0,40688.0,0.0,0.0,0.0,0.0,0.0,0.0,16364.0,-63496.0,-1920.0,-61607.0,0.0,0.0,183410.0,-245017.0,0.0,0.0,0.0,0.0,31.0,0.0,1837.0,0.0,26235.0,
