Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
06/30/1995,187.817993,198.240997,198.240997,,16.878446,7.309285,12.348606,2.34563,1.56,1.56,,1.56,1.56,1.56,0.75,-7.253797,-7.516104,9.647638,49.925994,
09/30/1995,187.570007,199.300995,199.300995,,17.53629,7.772164,13.030542,2.644242,1.78,1.78,,1.78,1.78,1.78,0.75,4.365257,4.089292,8.09831,51.282186,
12/31/1995,187.115997,199.830002,199.830002,,18.010309,7.396287,14.432267,2.442076,1.8,1.8,1.8,1.8,1.8,1.8,0.81,2.892459,2.507131,8.203467,53.212981,
03/31/1996,187.300003,202.134003,190.707993,,20.439626,9.123897,16.155589,3.43457,2.26,2.26,2.26,2.13,2.13,2.13,0.81,5.610672,5.39044,3.908169,54.207153,
06/30/1996,186.600006,202.134003,190.748993,,20.566295,9.232028,15.475835,3.444317,2.27,2.27,2.27,2.14,2.14,2.14,0.81,-24.534861,-24.692136,3.488746,55.396568,
09/30/1996,185.917999,201.755997,189.362,,20.062103,8.1801,15.092785,2.175727,1.41,1.41,1.41,1.32,1.32,1.32,0.81,0.575617,0.517527,5.852042,55.85258,
12/31/1996,184.923004,201.537994,188.9375,,22.47304,9.553424,18.561694,3.217995,2.17,2.17,2.17,2.04,2.04,2.04,0.88,-53.605028,-54.134304,4.899336,58.067411,
03/31/1997,181.126007,203.138,189.350998,,22.577119,9.680435,17.105798,3.390529,2.19,2.19,2.19,2.04,2.04,2.04,0.88,-5.212542,-5.365697,6.481675,57.760893,
06/30/1997,179.057007,198.149002,184.992996,,23.379263,9.681448,18.114199,2.973086,1.98,1.98,1.98,1.85,1.85,1.85,0.88,-40.736677,-40.969119,4.19978,59.500604,
09/30/1997,178.203995,197.776001,184.046005,,25.020918,10.410441,19.332123,3.20572,2.1,2.1,2.1,1.96,1.96,1.96,0.88,3.884898,3.662128,4.562187,61.379095,
12/31/1997,176.317993,197.356995,184.0,,24.217391,8.913043,,1.804348,1.44,1.44,1.44,1.33,1.33,1.33,0.95,-17.336957,-17.472826,9.970622,60.742524,
03/31/1998,177.934006,198.188995,181.796005,,27.079803,10.98484,20.110453,3.190389,1.26,1.26,1.97,1.15,1.15,1.8,0.95,17.723162,17.376619,6.255128,61.275527,
06/30/1998,176.658005,200.063995,183.470001,,26.369434,11.020875,20.412056,3.302992,2.57,2.57,2.14,2.36,2.36,1.96,0.95,-14.045893,-14.318417,8.615517,62.391738,
09/30/1998,174.951004,196.395004,181.664001,,23.323278,7.266162,19.31588,0.803682,0.81,0.81,0.62,0.75,0.75,0.58,0.95,35.648229,35.108772,19.462592,61.874466,
12/31/1998,175.005997,194.154999,181.5,,23.360882,8.479339,,1.410468,0.44,0.44,0.92,0.42,0.42,0.88,0.99,52.055096,51.856749,6.87405,60.380788,
03/31/1999,176.697006,196.382996,182.740997,,26.589545,13.631314,20.488013,5.056337,3.23999,3.24,3.24,3.01,3.01,3.01,0.99,-32.926383,-33.457189,8.206138,61.891258,
06/30/1999,175.949997,196.539001,182.962997,,23.906473,11.401212,18.867203,4.230364,2.71,2.71,2.71,2.52,2.52,2.52,0.99,-15.795544,-16.13441,11.901108,63.137256,
09/30/1999,174.880997,194.671997,181.511993,,23.87721,10.687999,18.808674,3.547975,2.39,2.39,2.39,2.22,2.22,2.22,0.99,56.740052,56.365421,9.200542,64.695423,
12/31/1999,164.796997,190.097,176.324997,,25.543741,12.051609,18.301432,4.157096,2.83,2.83,2.83,2.63,2.63,2.63,1.0,-34.754006,-35.247413,14.945661,65.201431,
03/31/2000,162.501999,183.589996,170.854004,,31.687873,16.598967,24.389244,5.741744,3.62,3.62,3.62,3.37,3.37,3.37,1.0,-4.705772,-5.015978,11.698318,67.254557,
06/30/2000,159.869003,183.731003,171.660004,,31.108004,14.418035,22.270767,4.771059,3.099976,3.1,3.1,2.9,2.9,2.9,1.0,14.109285,13.561691,15.625293,69.162876,
09/30/2000,159.770004,181.479004,169.246994,,31.427441,13.678234,22.759636,4.212778,2.97,2.97,2.97,2.77,2.77,2.77,1.0,4.72682,4.52593,5.514176,70.52638,
