Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2015,316,220,120,76,19,-5,20.0,7.0,-3,-119,-8,-111,0.0,774,-14,,,1767,3224,289,2785,150,-1457,0,-1329,-128,-919,-742,-177,0,0,0,0,0,-60,-2203,-60,-3144,-901.0,-2491.0,250.0,-2.0,-250,0,-250,1251,0,0.0,-1113,,,
12/31/2015,398,221,125,91,161,-10,173.0,2.0,-4,-200,117,-317,0.0,-1709,-64,3.0,-67.0,99,1691,78,1568,45,-1592,-121,-1365,-106,-1697,-1704,7,0,0,0,0,0,-47,2640,-53,2020,-3231.0,-491.0,6500.0,-758.0,0,0,0,673,0,0.0,1329,,,
03/31/2016,374,223,127,91,29,-9,30.0,4.0,4,-96,-22,-74,0.0,-2321,-5,3.0,-8.0,320,1114,131,926,57,-794,0,-706,-88,-2579,-2401,-178,0,0,0,0,0,-57,717,-53,703,670.0,-88.0,750.0,-629.0,0,0,0,67,0,0.0,-1230,,,
06/30/2016,330,243,134,90,73,3,64.0,7.0,-1,-210,-87,-123,0.0,-3316,-14,0.0,-14.0,-283,1454,290,1060,104,-1737,0,-1649,-88,-2837,-2644,-193,0,0,0,0,0,-182,4786,-71,1206,-2040.0,3.0,6245.0,-3002.0,0,0,0,3651,0,0.0,1800,,,
09/30/2016,494,297,132,86,58,-8,49.0,4.0,13,-79,-33,-46,0.0,-3062,-22,0.0,-22.0,-1314,1740,213,1457,70,-3054,-523,-2419,-112,-1672,-1679,7,0,0,0,0,0,-54,1828,-62,70,-265.0,183.0,2649.0,-2497.0,-250,0,-250,2070,0,0.0,-740,,,
12/31/2016,292,282,122,102,3,-6,10.0,8.0,-9,-217,-127,-90,0.0,-2627,-94,0.0,-94.0,-413,2601,217,2308,76,-3014,0,-2890,-124,-2069,-2350,281,0,0,0,0,0,-51,3124,-69,1896,-1551.0,248.0,5500.0,-2301.0,-180,0,-180,1477,0,0.0,789,,,
03/31/2017,853,320,124,96,54,-4,39.0,18.0,1,259,156,103,,-1143,-14,0.0,-14.0,-398,1535,136,1213,186,-1933,-57,-1705,-171,-681,-769,88,0,0,0,0,0,-50,579,-72,-1508,-450.0,-55.0,2997.0,-4000.0,-130,0,-130,2308,-19,0.0,289,,,
06/30/2017,-316,318,134,70,-51,1,-59.0,9.0,-2,-787,-61,-726,0.0,-742,-50,0.0,-50.0,463,1400,141,864,395,-937,-114,-577,-246,-1098,-1016,-82,0,0,0,0,0,-57,1232,-78,-61,-758.0,-664.0,7112.0,-5751.0,-130,0,-130,1501,0,,174,,,
09/30/2017,914,348,113,72,5,-7,-3.0,8.0,7,376,46,330,0.0,-2039,-51,0.0,-51.0,-305,1677,145,1401,131,-1982,0,-1806,-176,-1618,-1764,146,0,0,0,0,0,-65,-921,-90,-227,-500.0,24.0,1999.0,-1750.0,-245,0,-245,-378,19,0.0,-2046,,,
12/31/2017,432,666,116,83,-103,-2,-113.0,13.0,-1,-330,-2,-328,0.0,-60,-138,0.0,-138.0,99,1566,139,1249,178,-1467,0,-1306,-161,10,-85,95,0,0,0,0,0,-31,539,-96,-884,-3251.0,362.0,3255.0,-1250.0,-335,0,-335,1854,0,0.0,911,,,
03/31/2018,704,388,122,78,16,-8,8.0,18.0,-2,100,24,76,0.0,-1118,-32,0.0,-32.0,-46,1249,131,951,167,-1295,0,-1099,-196,-970,-1020,50,0,0,0,0,0,-70,1241,-108,896,-1604.0,-500.0,6250.0,-3250.0,-175,0,-175,641,-13,0.0,827,,,
06/30/2018,711,425,121,85,11,0,2.0,10.0,-1,69,-29,98,0.0,-2255,-62,0.0,-62.0,-166,1296,140,958,198,-1462,0,-1244,-218,-1944,-1972,28,0,0,0,0,0,-83,1550,-114,175,-752.0,11.0,5250.0,-4334.0,-150,0,-150,1343,296,,6,,,
09/30/2018,-208,443,114,78,23,-5,13.0,12.0,3,-866,-113,-753,0.0,-1690,-63,0.0,-63.0,-238,1190,131,1008,51,-1428,0,-741,-687,-1314,-1286,-28,0,0,0,0,0,-75,2024,-129,2551,-751.0,48.0,6003.0,-2749.0,-400,0,-400,2,0,,126,,,
12/31/2018,560,465,132,85,69,-6,74.0,1.0,0,-191,144,-335,0.0,-2014,-75,0.0,-75.0,285,1835,120,1339,376,-1550,0,-1186,-364,-2173,-2167,-6,0,0,0,0,0,-51,1537,-134,-826,-2104.0,782.0,5000.0,-4504.0,280,593,-313,2500,-283,0.0,83,,,
03/31/2019,472,439,132,85,7,-8,-1.0,20.0,-4,-191,116,-307,0.0,-1471,15,15.0,0.0,-597,1596,80,1516,0,-2193,0,-2047,-146,-836,-1047,211,0,0,0,0,0,-53,-639,-149,-4890,-638.0,0.0,2750.0,-7002.0,-200,0,-200,4341,259,0.0,-1638,,,
06/30/2019,105,453,141,97,8,-7,-9.0,12.0,12,-594,-587,-7,0.0,183,-25,0.0,-25.0,-85,2174,91,1359,724,-2259,0,-1455,-804,222,241,-19,0,0,0,0,0,71,311,-178,508,297.0,464.0,1750.0,-2003.0,-119,1,-120,88,12,0.0,599,,,
09/30/2019,393,449,165,101,-21,-6,-31.0,12.0,4,-301,-226,-75,0.0,-498,-37,0.0,-37.0,164,816,280,4223,428,-652,0,-4633,-457,-700,-728,28,0,0,0,0,0,75,912,-180,882,-102.0,-265.0,2800.0,-1551.0,-500,0,-500,710,0,0.0,807,,,
12/31/2019,727,450,193,110,84,-4,105.0,-3.0,-14,-110,25,-135,0.0,-2089,-48,0.0,-48.0,1129,5818,118,4739,961,-4689,0,-3789,-900,-2939,-2800,-139,0,0,0,0,0,-231,906,-175,445,-202.0,-602.0,5550.0,-4301.0,309,730,-421,599,-272,0.0,-456,,,
03/31/2020,-1327,34,201,600,-110,0,-134.0,21.0,3,-2052,-860,-1192,0.0,-8768,-16,0.0,-16.0,-964,1141,131,1010,0,-2105,0,-2102,-3,-7733,-7630,-103,0,0,0,0,0,-55,10767,-168,3080,780.0,0.0,6800.0,-4500.0,-270,0,-270,8162,-37,0.0,672,,,
06/30/2020,-86,253,115,464,-78,-3,-74.0,2.0,-3,-840,123,-963,0.0,1169,-37,0.0,-37.0,723,1929,218,1511,200,-1206,0,-1206,0,538,616,-78,0,0,0,0,0,-55,2305,-213,-8042,-780.0,0.0,1509.0,-8771.0,395,395,0,10143,22,0.0,3388,,,
