Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2015,1585.0,1022.0,158.0,495.0,119.0,376.0,-90.0,-544.0,-75.0,529.0,0,-873.0,-145.0,0.0,0.0,0.0,-145.0,-145.0,0,,,,-736.0,0,-736.0,0,8.0,-930.0,-786,144,144,0.0,0.0,-295,47.0,-342.0,7.0,-224,-442.0,
06/30/2015,1832.0,1366.0,190.0,224.0,55.0,169.0,52.0,-44.0,-85.0,181.0,0,-12511.0,-115.0,0.0,0.0,0.0,-115.0,-115.0,0,,,,-11546.0,0,-11546.0,0,-850.0,10169.0,-818,16075,-569,16655.0,-11.0,-4948,54.0,-5002.0,-140.0,4,-506.0,
09/30/2015,2155.0,1239.0,227.0,159.0,55.0,104.0,530.0,-254.0,-286.0,1070.0,0,745.0,-127.0,0.0,0.0,0.0,-127.0,-127.0,0,,,,0.0,0,0.0,0,872.0,-1056.0,-850,761,760,5.0,-4.0,-976,22.0,-998.0,9.0,-21,1823.0,
12/31/2015,1963.0,1517.0,261.0,173.0,53.0,120.0,12.0,-234.0,12.0,234.0,0,-297.0,-145.0,0.0,0.0,0.0,-145.0,-145.0,0,,,,-170.0,0,-170.0,0,18.0,-2431.0,-840,-357,-354,4000.0,-4003.0,-1212,32.0,-1244.0,-22.0,-59,-824.0,
03/31/2016,2128.0,1354.0,268.0,523.0,138.0,385.0,-17.0,81.0,19.0,-117.0,0,-1458.0,-121.0,0.0,0.0,0.0,-121.0,-121.0,0,,,,-28.0,0,-28.0,0,-1309.0,-1219.0,-924,-6,-6,0.0,0.0,-332,77.0,-409.0,43.0,-294,-843.0,
06/30/2016,1918.0,1610.0,289.0,249.0,71.0,178.0,-230.0,-275.0,-19.0,64.0,0,-4298.0,-131.0,0.0,0.0,0.0,-131.0,-131.0,0,,,,-2559.0,0,-2559.0,0,-1608.0,1164.0,-927,5860,94,7771.0,-2005.0,-3716,92.0,-3808.0,-53.0,-13,-1229.0,
09/30/2016,1454.0,1598.0,304.0,503.0,69.0,434.0,-951.0,65.0,28.0,-1044.0,0,-199.0,-113.0,0.0,,,-113.0,-113.0,0,,,,-62.0,0,-62.0,0,-24.0,-1371.0,-933,-495,-494,0.0,-1.0,30,41.0,-11.0,27.0,7,-109.0,
12/31/2016,1541.0,1391.0,328.0,313.0,75.0,238.0,-491.0,58.0,-66.0,-483.0,0,-119.0,-114.0,0.0,,,-114.0,-114.0,0,,,,-108.0,0,-108.0,0,103.0,-2502.0,-933,229,377,3856.0,-4004.0,-1752,58.0,-1810.0,-46.0,-38,-1118.0,
03/31/2017,2102.0,1711.0,374.0,299.0,141.0,158.0,-282.0,-34.0,71.0,-319.0,0,-684.0,-95.0,0.0,,,-95.0,-95.0,0,,,,-63.0,0,-63.0,0,-526.0,-1794.0,-1027,17,23,,-6.0,-810,85.0,-895.0,26.0,16,-360.0,
06/30/2017,2003.0,1915.0,379.0,251.0,76.0,175.0,-542.0,-133.0,-70.0,-339.0,0,318.0,-126.0,0.0,,,-126.0,-126.0,0,,,,-37.0,0,-37.0,0,481.0,-980.0,-1024,-7,0,,-7.0,59,64.0,-5.0,-8.0,7,1348.0,
09/30/2017,3271.0,1631.0,379.0,297.0,71.0,226.0,964.0,4.0,-120.0,1080.0,0,-109.0,-126.0,0.0,,,-126.0,-126.0,0,,,,-80.0,0,-80.0,0,97.0,-810.0,-1026,395,400,,-5.0,60,65.0,-5.0,-239.0,6,2358.0,
12/31/2017,2584.0,52.0,369.0,2294.0,77.0,2217.0,-131.0,-228.0,212.0,-115.0,0,201.0,-182.0,0.0,0.0,0.0,-182.0,-182.0,0,,,,-128.0,0,-128.0,0,511.0,-1928.0,-1030,-408,-401,0.0,-7.0,-465,40.0,-505.0,-25.0,0,857.0,
03/31/2018,2645.0,2783.0,445.0,245.0,191.0,54.0,-828.0,-681.0,-71.0,-76.0,0,-447.0,-119.0,0.0,,,-119.0,-119.0,0,,,,-372.0,0,-372.0,0,44.0,-2509.0,-1137,-40,-33,0.0,-7.0,-1369,62.0,-1431.0,37.0,15,-296.0,
06/30/2018,2866.0,1983.0,443.0,1142.0,85.0,1057.0,-702.0,-124.0,-120.0,-458.0,0,687.0,-114.0,0.0,,,-114.0,-114.0,0,,,,-29.0,0,-29.0,0,830.0,-8978.0,-1531,-2862,144,0.0,-3006.0,-4514,3002.0,-7516.0,-71.0,-35,-5460.0,
09/30/2018,4524.0,2747.0,435.0,530.0,75.0,455.0,812.0,-1.0,-176.0,989.0,0,-963.0,-282.0,0.0,0.0,0.0,-282.0,-282.0,0,,,,-140.0,0,-140.0,0,-541.0,916.0,-1461,3446,-509,5963.0,-2008.0,-1007,2.0,-1009.0,-62.0,-9,4468.0,
12/31/2018,3392.0,-1826.0,442.0,5184.0,70.0,5114.0,-408.0,215.0,141.0,-764.0,0,-283.0,-123.0,0.0,0.0,0.0,-123.0,-123.0,0,,,,-195.0,0,-195.0,0,35.0,-3825.0,-1451,2685,3699,0.0,-1014.0,-5051,,,-8.0,-10,-726.0,
03/31/2019,3017.0,2456.0,503.0,520.0,189.0,331.0,-462.0,-316.0,-128.0,-18.0,0,-27.0,-107.0,0.0,0.0,0.0,-107.0,-107.0,0,,,,-320.0,0,-320.0,0,400.0,-5383.0,-1588,-3200,-3200,0.0,0.0,-616,4.0,-620.0,21.0,1,-2392.0,
06/30/2019,2477.0,741.0,502.0,2540.0,87.0,2453.0,-1306.0,220.0,-160.0,-1366.0,0,-140.0,-128.0,0.0,0.0,0.0,-128.0,-128.0,0,,,,-120.0,0,-120.0,0,108.0,-2070.0,-1592,-197,-193,0.0,-4.0,-2,1.0,-3.0,-279.0,8,275.0,
09/30/2019,4555.0,1884.0,503.0,1407.0,75.0,1332.0,761.0,-111.0,-113.0,985.0,0,1378.0,-154.0,0.0,,,-154.0,-154.0,0,,,,-36.0,0,-36.0,0,1568.0,-441.0,-1591,1227,-306,1534.0,-1.0,-3,1.0,-4.0,-74.0,-16,5476.0,
12/31/2019,3275.0,2801.0,509.0,287.0,79.0,208.0,-322.0,133.0,170.0,-625.0,0,-615.0,-163.0,0.0,0.0,0.0,-163.0,-163.0,0,,,,-659.0,0,-659.0,0,207.0,26602.0,-1595,28417,0,29948.0,-1531.0,0,2.0,-2.0,-220.0,14,29276.0,
03/31/2020,3815.0,3010.0,559.0,332.0,219.0,113.0,-86.0,-1025.0,-107.0,1046.0,0,-129.0,-125.0,0.0,0.0,0.0,-125.0,-125.0,0,,,,-12.0,0,-12.0,0,8.0,-2422.0,-1763,0,0,0.0,0.0,-631,12.0,-643.0,-28.0,-46,1218.0,
06/30/2020,3089.0,-738.0,1555.0,2123.0,236.0,1887.0,149.0,482.0,-197.0,-136.0,0,-35652.0,-177.0,0.0,0.0,0.0,-177.0,-177.0,0,0.0,0.0,0.0,-38126.0,0,-38126.0,0,2651.0,-2570.0,-1752,-763,0,3000.0,-3763.0,46,65.0,-19.0,-101.0,8,-35125.0,
