Date,Returns,Return on Assets,Return on Capital,Return on Invested Capital,Margins,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Source: Bloomberg
09/30/2016,,7.84953,17.451882,14.866041,,18.841285,14.021422,30.193237,9.912366,7.254138,6.017527,6.017527,,26.817289,0.0,
12/31/2016,,8.691468,18.531304,14.137265,,20.637158,15.910159,13.010204,14.707264,10.19641,8.645804,8.645804,,30.670927,0.0,
03/31/2017,,8.577308,18.194306,14.432094,,18.780006,13.875553,,10.03483,7.314318,6.203521,6.203521,,27.110694,0.0,
06/30/2017,,8.422482,17.853056,14.175614,,19.351533,14.497345,0.724638,10.807789,7.407062,6.121308,6.121308,,31.465517,0.0,
09/30/2017,,7.731854,16.421039,13.046787,,16.482797,11.44353,,7.273747,4.955123,3.982797,3.982797,,31.876607,0.0,
12/31/2017,,6.299839,14.129021,11.397765,,20.35115,15.594188,11.94354,11.909704,5.544024,4.099637,4.099637,,53.449528,0.0,
03/31/2018,,7.598391,15.948211,13.476118,,18.462751,13.621641,10.25,13.472818,11.222971,10.014882,10.014882,,16.699155,10.734047,
06/30/2018,,7.921668,16.590431,14.046421,,19.25579,14.381126,12.81407,10.738139,8.378871,7.112499,7.112499,,21.970921,14.879909,
09/30/2018,,8.666893,17.628497,14.966908,,18.225482,13.142957,37.218543,9.335429,7.824644,6.628242,6.628242,,16.183349,0.0,
12/31/2018,,9.992084,20.124915,17.478965,,20.400847,15.667264,16.853933,12.131335,10.143393,8.668731,8.668731,,16.386837,11.326861,
03/31/2019,,9.127643,18.171986,18.06001,,20.96349,15.267237,32.449726,11.664137,9.435168,8.300711,8.300711,,19.109589,13.200231,
06/30/2019,,8.762967,17.572565,17.433616,,18.917632,13.085225,,9.506428,7.355975,6.213299,6.213299,,22.621035,17.479949,
09/30/2019,,8.536288,17.474913,17.839023,,18.709627,12.872223,10.378117,7.712305,6.018591,4.821175,4.821175,,21.961185,22.273791,
12/31/2019,,8.318994,17.191024,17.626369,,20.853361,14.967093,8.086469,11.883458,9.413592,7.91984,7.91984,,20.78407,13.923448,
03/31/2020,,6.862613,14.537922,15.605562,,17.051551,11.810901,,6.298111,5.427261,4.517534,4.517534,,13.82716,25.033401,
06/30/2020,,7.100831,15.326685,16.534536,,24.078424,17.835201,,14.094687,10.986628,9.748825,9.748825,,22.051282,0.0,
