Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1995,25.613001,,-1.051,,,24.562001,,-12.648,,,,,,,11.914,-10.266,,0.0,,0.0,10.266,1.648,-1.218,0.43,0.0,,,0.43,0.0,0.43,0,,0.43,0.43,,74.277,0.005926,0.005926,,74.277,0.005926,0.005926,0.005926,
12/31/1995,29.362,,-1.262,,,28.1,,-14.166,,,,,,,13.934,-1.545,,0.0,,0.0,1.545,12.389,-5.079,7.31,0.0,,,7.31,0.0,7.31,0,0.0,7.31,7.31,,77.115378,0.094815,0.094815,0.094815,77.115378,0.094815,0.094815,0.094815,
03/31/1996,33.845001,,-2.067,,,31.778001,,-16.656,,,,,,,15.122,-7.7,,0.0,,0.0,7.7,7.422,-6.339,1.083,0.0,,,1.083,0.0,1.083,0,,1.083,1.083,,77.692502,0.014815,0.014815,0.014815,77.692502,0.014815,0.014815,0.014815,
06/30/1996,40.766998,,-2.45,,,38.316998,,-20.408001,,,,,,,17.909,-2.223,,0.0,,0.0,2.223,15.686,-6.286,9.4,0.0,,,9.400001,0.0,9.4,0,,9.4,9.4,,78.923249,0.12,0.12,0.142222,78.923249,0.12,0.12,0.142222,
09/30/1996,47.290001,,-2.703,,,44.587001,,-23.983,,,,,,,20.604,0.922,,0.0,,0.0,-0.922,21.526,-8.628,12.898,0.0,,,12.898,0.0,12.898,0,,12.898,12.898,,81.029251,0.16,0.16,0.16,81.029251,0.16,0.16,0.16,
12/31/1996,144.593994,,,,,,,-102.606003,,,,,,,41.987999,2.823,,0.0,,0.0,-2.823,44.810999,-16.167999,28.643,0.0,,,28.643,0.0,28.643,0,,28.643,28.643,,110.220005,0.26,0.26,0.26,110.220005,0.26,0.26,0.26,
03/31/1997,170.757996,,-31.903999,,,138.853996,,-112.120003,,,,,,,26.733999,3.949,,,,0.0,-3.949,30.682999,-19.458,11.225,0.0,,,11.224999,0.0,11.225,0,,11.225,11.225,,198.985497,0.053333,0.053333,0.053333,198.985497,0.053333,0.053333,0.053333,
06/30/1997,178.399994,,-31.493,,,146.906994,,-101.490997,,,,,,,45.416,5.715,,,,0.0,-5.715,51.131001,-20.174999,30.955999,0.0,,,30.956001,0.0,30.955999,0,,30.955999,30.955999,,198.292511,0.153333,0.153333,0.153333,198.292511,0.153333,0.153333,0.153333,
09/30/1997,188.406998,,-34.012001,,,154.394997,,-109.873001,,,,,,,44.521999,6.481,,,,0.0,-6.481,51.002999,-22.221001,28.782,0.0,,,28.781999,0.0,28.782,0,,28.782,28.782,,190.649998,0.153333,0.153333,0.153333,198.654007,0.146667,0.146667,0.146667,
12/31/1997,198.126999,,-44.689999,,,153.437,,-97.709999,,,,,,,55.727001,-105.731003,,,,0.0,105.731003,-50.004002,-10.32,-60.324001,0.0,,,-60.324001,0.0,-60.324001,0,,-60.324001,-60.324001,,191.467495,-0.313333,-0.313333,0.353333,198.75,-0.313333,-0.313333,0.353333,
03/31/1998,226.093002,,-43.265999,,,182.827003,,-133.498993,,,,,,,49.327999,5.696,,,,0.0,-5.696,55.023999,-22.280001,32.743999,0.0,,,32.743999,0.0,32.743999,0,,32.743999,32.743999,,210.618004,0.16,0.16,0.16,210.618004,0.16,0.16,0.16,
06/30/1998,249.317001,,-49.873001,,,199.444,,-217.942993,,,,,,,-18.499001,4.151,,,,0.0,-4.151,-14.348001,-24.198999,-38.547001,0.0,,,-38.547,0.0,-38.547001,0,,-38.547001,-38.547001,,131.503006,-0.29,-0.29,-0.29,131.503006,-0.29,-0.29,-0.29,
09/30/1998,242.444,,-44.556,,,197.888,,-126.321999,,,,,,,71.566002,-59.299999,,,,0.0,59.299999,12.266003,-26.709999,-14.444,0.0,,,-14.443996,0.0,-14.444,0,,-14.444,-14.444,,133.531006,-0.11,-0.11,0.36,133.531006,-0.11,-0.11,0.36,
12/31/1998,272.19101,,-39.353001,,,232.838009,,-151.867996,,,,,,,80.970001,4.255,,,,0.0,-4.255,85.225001,-28.57,56.654999,0.0,,,56.655002,0.0,56.654999,0,,56.654999,56.654999,,149.001999,0.4,0.4,0.5,149.001999,0.4,0.4,0.5,
03/31/1999,245.192001,,-35.243,,,209.949001,,-165.720993,,,,,,,44.228001,1.574,,,,0.0,-1.574,45.802001,-19.561001,26.240999,0.0,,,26.241,0.0,26.240999,0,0.0,26.240999,26.240999,,138.395004,0.19,0.19,0.19,142.606995,0.18,0.18,0.18,
06/30/1999,25.195999,,-23.554001,,,1.641998,,-180.748993,,,,,,,-179.106995,-11.798,,,,0.0,11.798,-190.904995,-4.88,-195.785004,0.0,,,-195.784995,0.0,-195.785004,0,0.0,-195.785004,-195.785004,,138.477997,-1.41,-1.41,-1.05,138.477997,-1.41,-1.41,-1.05,
09/30/1999,195.201004,,-33.337002,,,161.864002,,-152.065002,,,,,,,9.799,-8.718,,,,0.0,8.718,1.080999,-1.322,-0.241,0.0,,,-0.241001,0.0,-0.241,0,0.0,-0.241,-0.241,,139.037994,0.0,0.0,0.1,139.037994,0.0,0.0,0.1,
12/31/1999,218.078995,,-34.320999,,,183.757996,,-179.039993,,,,,,,4.718,8.646,,,,0.0,-8.646,13.364,-3.48,9.884,0.0,,,9.884,0.0,9.884,0,0.0,9.884,9.884,,143.783005,0.07,0.07,-0.415,143.783005,0.08,0.08,-0.415,
03/31/2000,187.188004,,-32.013,,,155.175003,,-162.332993,,,,,,,-7.158,40.330002,,,,0.0,-40.330002,33.172002,-7.252,19.468,0.0,,,25.920002,1.123,20.591,0,0.0,20.591,20.591,,138.876999,0.15,0.15,0.15,144.371994,0.14,0.14,0.14,
06/30/2000,220.041,,-38.902,,,181.139,,-177.992004,,,,,,,3.147,6.317,,,,0.0,-6.317,9.464,-7.5,1.964,0.0,,,1.964,1.213,3.177,0,0.0,3.177,3.177,,138.072006,0.02,0.02,0.02,142.238007,0.02,0.02,0.02,
09/30/2000,221.772995,,-40.026001,,,181.746994,,-181.626999,,,,,,,0.12,5.336,,,,0.0,-5.336,5.456,-9.577,-4.121,0.0,,,-4.121,1.05,-3.071,0,0.0,-3.071,-3.071,,137.481995,-0.02,-0.02,-0.02,137.481995,-0.02,-0.02,-0.02,
12/31/2000,68.739998,,-44.754002,,,23.985996,,-189.287003,,,,,,,-165.300995,-2.462001,,18.169001,,0.0,-15.707,-167.762996,21.572001,-146.190994,0.0,,,-146.190995,1.568,-144.623001,0,0.0,-144.623001,-144.623001,,137.856995,-1.05,-1.05,-1.05,137.856995,-1.05,-1.05,-1.05,
03/31/2001,155.595993,,-36.687,,,118.908993,,-178.774002,,,,,,,-59.865002,1.362,,4.68,,0.0,-6.042,-58.503002,10.44,-48.063,0.0,,,-48.063002,0.702,-47.361,0,0.0,-47.361,-47.361,,137.139999,-0.35,-0.35,-0.14,137.139999,-0.35,-0.35,-0.14,
06/30/2001,192.561996,,-39.653999,,,152.907997,,-180.867996,,,,,,,-27.959999,-9.97,,4.735,,0.0,5.235,-37.929999,0.732,-37.198002,0.0,,,-37.197999,0.019,-37.179001,0,0.0,-37.179001,-37.179001,,136.878998,-0.27,-0.27,-0.02,136.878998,-0.27,-0.27,-0.02,
09/30/2001,205.270004,,-42.418999,,,162.851005,,-171.692001,,,,,,,-8.841,0.693,,7.163,,0.0,-7.856,-8.148,-4.028,-12.176,-1.077,,,-11.099,-0.152,-11.251,0,0.0,-11.251,-11.251,,137.75,-0.08,-0.09,0.05,137.75,-0.08,-0.09,0.05,
03/31/2002,255.647995,,-42.754002,,,212.893993,,-163.908997,,,,,,,48.985001,4.572999,,7.69,,0.0,-12.263,53.558,0.103,53.660999,0.0,,,53.661,-2.023,51.638,0,0.0,51.638,51.638,,144.436005,0.36,0.36,0.32,174.074005,0.31,0.31,0.28,
06/30/2002,263.44101,,-41.571999,,,221.869011,,-166.194,,,,,,,55.674999,0.421,,7.899,,0.0,-8.32,56.095999,0.108,56.203999,0.0,,,56.203999,-2.458,53.745998,0,0.0,53.745998,53.745998,,147.222,0.37,0.37,0.37,173.839005,0.33,0.33,0.33,
09/30/2002,254.429993,,-40.297001,,,214.132992,,-174.427002,,,,,,,39.706001,-8.264,,6.99,,0.0,1.274,31.442001,0.096,31.538,0.0,,,31.538001,2.586,34.124001,0,0.0,34.124001,34.124001,,149.343994,0.23,0.23,0.32,173.914001,0.21,0.21,0.29,
12/31/2002,357.182937,,-45.576996,,,311.605941,,-169.607985,,,,,,,141.997995,-66.922999,,2.505999,,0.0,64.417,75.074996,8.04,83.115,0.026,,,83.088996,-0.82,82.268996,0,0.0,82.268996,82.268996,,149.440994,0.55,0.55,0.976,176.248993,0.45,0.45,0.816,
03/31/2003,219.314,,-31.92,,,187.394,0.0,-170.008,117.149,88.941,,,-0.323,53.182,17.386,-15.91,-4.548,3.171,-7.719,0.0,20.458,1.476,-0.144,1.332,-11.142,,,12.474,0.0,12.474,0,0.0,12.474,12.474,,159.552,0.08,0.01,0.074,165.366,0.08,0.01,0.072,
06/30/2003,217.024994,,-36.143002,,,180.881992,,-166.447006,,,,,,,14.435,-11.532,,2.034,,0.0,9.498,2.903,-0.412,2.491,0.0,,,2.491,0.0,2.491,0,0.0,2.491,2.491,,160.341003,0.02,0.02,0.13,164.608002,0.02,0.02,0.12,
09/30/2003,227.774994,,-37.935001,,,189.839993,,-179.490005,,,,,,,10.35,2.918,,1.222,,0.0,-4.14,13.268,-2.494,10.774,0.0,,,10.774,0.0,10.774,0,0.0,10.774,10.774,,160.347,0.07,0.07,0.16,164.141006,0.07,0.07,0.15,
12/31/2003,268.937988,,-41.887001,,,227.050987,,-176.125,,,,,,,50.925999,1.268,,1.116,,0.0,-2.384,52.193999,-10.889,41.305,0.805,,,40.499999,0.0,40.5,0,0.0,40.5,40.5,,161.080002,0.26,0.26,0.29,184.143997,0.24,0.24,0.26,
03/31/2004,216.624,,-33.799,,,182.825,0.0,-173.603,120.733,92.657,,,0.525,52.345,9.222,67.514,-4.351,0.741,-5.092,0.0,-63.163,76.736,-20.718,56.018,0.0,,,56.018,0.0,56.018,0,0.0,56.018,56.018,,163.423,0.34,0.34,0.1,186.564,0.32,0.32,0.1,
06/30/2004,225.677994,,-37.563999,,,188.113995,,-179.847,,,,,,,8.267,5.702,,2.137,,0.0,-7.839,13.969,-3.769,10.2,0.0,,,10.2,0.0,10.2,0,0.0,10.2,10.2,,160.313004,0.06,0.06,0.09,163.925003,0.06,0.06,0.09,
09/30/2004,221.632996,,-34.272999,,,187.359997,,-158.309998,,,,,,,29.049999,170.407006,,0.54,,0.0,-170.947006,199.457005,-81.308998,118.148003,0.0,,,118.148007,0.0,118.148003,0,0.0,118.148003,118.148003,,158.151001,0.75,0.75,0.23,172.102997,0.7,0.7,0.18,
12/31/2004,244.153,,-39.880001,,,204.272999,,-175.516006,,,,,,,31.211,-6.854,,1.897,,0.0,4.957,24.357001,14.39,38.747002,0.0,,,38.747001,0.0,38.747002,0,0.0,38.747002,38.747002,,160.860992,0.24,0.24,0.24,166.397995,0.23,0.23,0.23,
03/31/2005,235.727005,,-38.657001,,,197.070004,,-146.722,,,,,,,50.348,2.085,-4.96,,-4.96,0.0,2.875,52.433,-16.462999,35.970001,0.0,,,35.97,0.0,35.970001,0,0.0,35.970001,35.970001,,162.992004,0.22,0.22,0.28,167.339005,0.21,0.21,0.27,
06/30/2005,243.214,,-40.646,,,202.568,,-156.913,,,,,,,45.655,-1.353,-6.621,,-6.621,0.0,7.974,44.302,-8.627,35.675,0.0,,,35.675,0.0,35.675,0,0.0,35.675,35.675,,163.513,0.22,0.22,0.29,167.44,0.21,0.21,0.28,
09/30/2005,250.289,,-39.782,,,210.507,,-202.425,,,,,,,8.082,6.507,-6.657,,-6.657,0.0,0.15,14.589,-2.276,12.313,0.0,,,12.313,0.0,12.313,0,0.0,12.313,12.313,,166.174,0.07,0.07,0.38,170.756,0.07,0.07,0.38,
12/31/2005,252.398,,-50.953,,,201.445,,-156.759,,,,,,,44.686,10.668,-8.465,,-8.465,0.0,-2.203,55.354,-21.095,34.259,0.0,,,34.259,0.0,34.259,0,0.0,34.259,34.259,,167.59,0.21,0.21,0.21,171.45,0.21,0.21,0.21,
03/31/2006,275.248,,-54.146,,,221.102,,-167.598,,,,,,,53.504,10.812,-11.465,,-11.465,0.0,0.653,64.316,-20.009,44.307,0.0,,,44.307,0.0,44.307,0,0.0,44.307,44.307,,164.94,0.27,0.27,0.29,166.7,0.27,0.27,0.29,
06/30/2006,277.606,,-59.504,,,218.102,,-201.384,,,,,,,16.718,6.186,-7.198,,-7.198,0.0,1.012,22.904,3.294,26.198,0.0,,,26.198,0.0,26.198,0,0.0,26.198,26.198,,159.418,0.16,0.16,0.19,161.294,0.16,0.16,0.19,
09/30/2006,287.063,,-64.153,,,222.91,,-187.513,,,,,,,35.397,15.469,-13.922,,-13.922,0.0,-1.547,50.866,-16.776,34.09,0.0,,,34.09,0.0,34.09,0,0.0,34.09,34.09,,159.728,0.21,0.21,0.27,161.485,0.21,0.21,0.27,
12/31/2006,305.241,,-69.037,,,236.204,,-201.606,,,,,,,34.598,11.097,-11.23,,-11.812,0.0,0.715,45.695,-12.819,32.876,0.0,,,32.876,0.0,32.876,0,0.0,32.876,32.876,,159.78,0.21,0.21,0.22,162.91,0.2,0.2,0.21,
03/31/2007,314.878,,-70.053,,,244.825,,-200.279,,,,,,,44.546,11.298,-14.315,,-14.315,0.0,3.017,55.844,-12.494,43.35,0.0,,,43.35,0.0,43.35,0,0.0,43.35,43.35,,159.799,0.27,0.27,0.33,163.174,0.27,0.27,0.33,
06/30/2007,314.83,,-71.384,,,243.446,,-204.772,,,,,,,38.674,18.943,-18.715,,-18.715,,-0.228,57.617,-9.573,48.044,0.0,,,48.044,0.0,48.044,0,0.0,48.044,48.044,,159.8,0.3,0.3,0.38,163.814,0.29,0.29,0.37,
09/30/2007,321.986,,-77.865,,,244.121,,-197.372,,,,,,,46.749,19.712,-19.45,,-19.45,,-0.262,66.461,-3.06,63.401,0.0,,,63.401,0.0,63.401,0,0.0,63.401,63.401,,159.808,0.4,0.4,0.49,164.513,0.39,0.39,0.47,
12/31/2007,356.526,,-86.442,,,270.084,,-231.43,,,,,,,38.654,10.628,-15.807,,-15.807,,5.179,49.282,-37.097,12.185,0.0,,,12.185,0.0,12.185,0,0.0,12.185,12.185,,159.87,0.08,0.08,0.2,165.07,0.07,0.07,0.2,
03/31/2008,369.641,,-89.936,,,279.705,,-226.387,,,,,,,53.318,15.426,-13.035,,-13.035,0.0,-2.391,68.744,-38.575,30.169,0.0,,,30.169,0.0,30.169,0,0.0,30.169,30.169,,160.992,0.19,0.19,0.28,164.867,0.18,0.18,0.27,
06/30/2008,396.758,,-76.376,,,320.382,,-248.94,,,,,,,71.442,-6.575,-10.252,,-10.252,0.0,16.827,64.867,-17.041,47.826,0.0,,,47.826,0.0,47.826,0,0.0,47.826,47.826,,158.77,0.3,0.3,0.42,161.553,0.3,0.3,0.42,
09/30/2008,409.679,,-98.509,,,311.17,,-259.132,,,,,,,52.038,1.874,-16.242,,-16.242,0.0,14.368,53.912,-5.104,48.808,0.0,,,48.808,0.0,48.808,0,0.0,48.808,48.808,,152.347,0.32,0.32,0.5,155.006,0.31,0.31,0.49,
12/31/2008,423.987,,-105.35,,,318.637,,-261.711,,,,,,,56.926,-22.243,-5.726,,-5.726,0.0,27.969,34.683,10.723,45.406,0.0,,,45.406,0.0,45.406,0,0.0,45.406,45.406,,152.792,0.3,0.3,0.5,155.378,0.29,0.29,0.48,
03/31/2009,447.709,447.709,-113.056,93.662,19.394,334.653,0.0,-282.883,188.924,148.764,40.16,78.904,,15.055,51.77,2.267,-2.811,,,,0.544,54.037,-0.581,53.456,0.0,0.0,0.0,53.456,0.0,53.456,0,0.0,53.456,58.491233,5.035233,153.721,0.35,0.35,0.380503,156.169,0.34,0.34,0.372242,
06/30/2009,468.686,468.686,-115.222,96.783,18.439,353.464,0.0,-297.588,204.075,160.824,43.251,79.255,,14.258,55.876,-0.797,0.857,,,,-0.06,55.079,-26.426,28.653,0.0,0.0,0.0,28.653,0.0,28.653,0,0.0,28.653,37.97318,9.32018,155.763,0.18,0.18,0.243788,158.336,0.18,0.18,0.238863,
09/30/2009,485.271,485.271,-126.77,107.41,19.36,358.501,0.0,-315.996,221.542,155.594,65.948,82.248,,12.206,42.505,1.069,-1.028,,,,-0.041,43.574,-6.785,36.789,0.0,0.0,0.0,36.789,0.0,36.789,0,0.0,36.789,58.071919,21.282919,157.186,0.23,0.23,0.369447,159.925,0.23,0.23,0.363081,
12/31/2009,525.666,525.666,-131.339,110.571,20.768,394.327,0.0,-322.171,221.742,177.263,44.479,84.031,,16.398,72.156,-0.623,0.623,,,,0.0,71.533,-17.011,54.522,0.0,0.0,0.0,54.522,0.0,54.522,0,0.0,54.522,59.33492,4.81292,157.82,0.35,0.35,0.375966,161.032,0.34,0.34,0.369888,
03/31/2010,502.745,502.745,-132.575,112.082,20.493,370.17,0.0,-318.616,211.096,166.245,44.851,84.124,,23.396,51.554,0.529,-0.57,,,,0.041,52.083,-14.507,37.576,0.0,0.0,0.0,37.576,0.0,37.576,0,0.0,37.576,51.241842,13.665842,157.738,0.24,0.24,0.324854,160.567,0.23,0.23,0.31511,
06/30/2010,489.239,489.239,-130.801,110.456,20.345,358.438,0.0,-303.348,204.315,155.471,48.844,82.403,,16.63,55.09,0.122,0.056,,,,-0.178,55.212,-15.808,39.404,0.0,0.0,0.0,39.404,0.0,39.404,0,0.0,39.404,48.502926,9.098926,154.456,0.26,0.26,0.314024,156.151,0.25,0.25,0.30827,
09/30/2010,523.259,523.259,-142.083,121.608,20.475,381.176,0.0,-317.126,221.33,162.697,58.633,86.952,,8.844,64.05,-0.809,0.872,,,,-0.063,63.241,-16.681,46.56,0.0,0.0,0.0,46.56,0.0,46.56,0,0.0,46.56,57.597489,11.037489,152.788,0.3,0.3,0.376977,154.988,0.3,0.3,0.371215,
12/31/2010,549.564,549.564,-152.089,132.66,19.429,397.475,0.0,-338.747,220.862,171.951,48.911,92.067,,25.818,58.728,0.376,-0.376,,,,0.0,59.104,1.468,60.572,0.0,0.0,0.0,60.572,0.0,60.572,0,0.0,60.572,72.361953,11.789953,154.819,0.39,0.39,0.467397,157.893,0.38,0.38,0.454671,
